context: So return to the capital response:	What the hell are you playing at?!
context: What was that, Second Princess?\Stop calling me that!\What's gotten into you?\I have a name! It's Melty!\So why do you keep calling me Second Princess, Shield Hero?\Don't treat me like some outsider!\Hey, you call me Shield Hero, too.\If you don't like that, I'll call you Naofumi. response:	So you call me Melty, too.
context: Stop calling me that!\What's gotten into you?\I have a name! It's Melty!\So why do you keep calling me Second Princess, Shield Hero?\Don't treat me like some outsider!\Hey, you call me Shield Hero, too.\If you don't like that, I'll call you Naofumi.\So you call me Melty, too. response:	Come on, Naofumi!
context: What's gotten into you?\I have a name! It's Melty!\So why do you keep calling me Second Princess, Shield Hero?\Don't treat me like some outsider!\Hey, you call me Shield Hero, too.\If you don't like that, I'll call you Naofumi.\So you call me Melty, too.\Come on, Naofumi! response:	Straight to first names?
context: I have a name! It's Melty!\So why do you keep calling me Second Princess, Shield Hero?\Don't treat me like some outsider!\Hey, you call me Shield Hero, too.\If you don't like that, I'll call you Naofumi.\So you call me Melty, too.\Come on, Naofumi!\Straight to first names? response:	Gotcha, Second Princess...
context: So why do you keep calling me Second Princess, Shield Hero?\Don't treat me like some outsider!\Hey, you call me Shield Hero, too.\If you don't like that, I'll call you Naofumi.\So you call me Melty, too.\Come on, Naofumi!\Straight to first names?\Gotcha, Second Princess... response:	Hey!
context: Don't treat me like some outsider!\Hey, you call me Shield Hero, too.\If you don't like that, I'll call you Naofumi.\So you call me Melty, too.\Come on, Naofumi!\Straight to first names?\Gotcha, Second Princess...\Hey! response:	Melty.
context: Hey, you call me Shield Hero, too.\If you don't like that, I'll call you Naofumi.\So you call me Melty, too.\Come on, Naofumi!\Straight to first names?\Gotcha, Second Princess...\Hey!\Melty. response:	Happy now?
context: If you don't like that, I'll call you Naofumi.\So you call me Melty, too.\Come on, Naofumi!\Straight to first names?\Gotcha, Second Princess...\Hey!\Melty.\Happy now? response:	One more time.
context: So you call me Melty, too.\Come on, Naofumi!\Straight to first names?\Gotcha, Second Princess...\Hey!\Melty.\Happy now?\One more time. response:	Huh?
context: Come on, Naofumi!\Straight to first names?\Gotcha, Second Princess...\Hey!\Melty.\Happy now?\One more time.\Huh? response:	Say my name one more time.
context: Straight to first names?\Gotcha, Second Princess...\Hey!\Melty.\Happy now?\One more time.\Huh?\Say my name one more time. response:	Melty.
context: Gotcha, Second Princess...\Hey!\Melty.\Happy now?\One more time.\Huh?\Say my name one more time.\Melty. response:	And don't you forget it.
context: Hey!\Melty.\Happy now?\One more time.\Huh?\Say my name one more time.\Melty.\And don't you forget it. response:	Also, thank you.
context: Melty.\Happy now?\One more time.\Huh?\Say my name one more time.\Melty.\And don't you forget it.\Also, thank you. response:	What's up?
context: Happy now?\One more time.\Huh?\Say my name one more time.\Melty.\And don't you forget it.\Also, thank you.\What's up? response:	It's nothing!
context: One more time.\Huh?\Say my name one more time.\Melty.\And don't you forget it.\Also, thank you.\What's up?\It's nothing! response:	What's that smell?
context: Huh?\Say my name one more time.\Melty.\And don't you forget it.\Also, thank you.\What's up?\It's nothing!\What's that smell? response:	Everlasting Memory
