context: Well then, I'll head to the bath. response:	I guess I'll join you.
context: When did you?\I saw an opening!\She wasn't much...\If it's battle of strength, then I am on top of you.\These eyes that wear glasses can overcome anything.\No way!\Here, here, here!\Kureha! response:	As if you could win against my tickling attack...
context: I saw an opening!\She wasn't much...\If it's battle of strength, then I am on top of you.\These eyes that wear glasses can overcome anything.\No way!\Here, here, here!\Kureha!\As if you could win against my tickling attack... response:	Eh?
context: She wasn't much...\If it's battle of strength, then I am on top of you.\These eyes that wear glasses can overcome anything.\No way!\Here, here, here!\Kureha!\As if you could win against my tickling attack...\Eh? response:	Next is your turn!
context: If it's battle of strength, then I am on top of you.\These eyes that wear glasses can overcome anything.\No way!\Here, here, here!\Kureha!\As if you could win against my tickling attack...\Eh?\Next is your turn! response:	You don't have to worry cause I'll leave your glasses alone.
context: These eyes that wear glasses can overcome anything.\No way!\Here, here, here!\Kureha!\As if you could win against my tickling attack...\Eh?\Next is your turn!\You don't have to worry cause I'll leave your glasses alone. response:	Only the glasses, just wonderful!
context: No way!\Here, here, here!\Kureha!\As if you could win against my tickling attack...\Eh?\Next is your turn!\You don't have to worry cause I'll leave your glasses alone.\Only the glasses, just wonderful! response:	I can't lose.
context: Here, here, here!\Kureha!\As if you could win against my tickling attack...\Eh?\Next is your turn!\You don't have to worry cause I'll leave your glasses alone.\Only the glasses, just wonderful!\I can't lose. response:	At any cost.
context: Kureha!\As if you could win against my tickling attack...\Eh?\Next is your turn!\You don't have to worry cause I'll leave your glasses alone.\Only the glasses, just wonderful!\I can't lose.\At any cost. response:	I will win!
context: As if you could win against my tickling attack...\Eh?\Next is your turn!\You don't have to worry cause I'll leave your glasses alone.\Only the glasses, just wonderful!\I can't lose.\At any cost.\I will win! response:	Don't move.
context: Eh?\Next is your turn!\You don't have to worry cause I'll leave your glasses alone.\Only the glasses, just wonderful!\I can't lose.\At any cost.\I will win!\Don't move. response:	Suzutsuki!
context: Next is your turn!\You don't have to worry cause I'll leave your glasses alone.\Only the glasses, just wonderful!\I can't lose.\At any cost.\I will win!\Don't move.\Suzutsuki! response:	Looks like we were the only ones left...
context: You don't have to worry cause I'll leave your glasses alone.\Only the glasses, just wonderful!\I can't lose.\At any cost.\I will win!\Don't move.\Suzutsuki!\Looks like we were the only ones left... response:	When did you?
context: Only the glasses, just wonderful!\I can't lose.\At any cost.\I will win!\Don't move.\Suzutsuki!\Looks like we were the only ones left...\When did you? response:	If you surrender, I'll consider letting this hostage go...
context: I can't lose.\At any cost.\I will win!\Don't move.\Suzutsuki!\Looks like we were the only ones left...\When did you?\If you surrender, I'll consider letting this hostage go... response:	Hostage?
context: At any cost.\I will win!\Don't move.\Suzutsuki!\Looks like we were the only ones left...\When did you?\If you surrender, I'll consider letting this hostage go...\Hostage? response:	No, that is just cruel!
context: I will win!\Don't move.\Suzutsuki!\Looks like we were the only ones left...\When did you?\If you surrender, I'll consider letting this hostage go...\Hostage?\No, that is just cruel! response:	What sins have they committed?
context: Don't move.\Suzutsuki!\Looks like we were the only ones left...\When did you?\If you surrender, I'll consider letting this hostage go...\Hostage?\No, that is just cruel!\What sins have they committed? response:	No!
context: Suzutsuki!\Looks like we were the only ones left...\When did you?\If you surrender, I'll consider letting this hostage go...\Hostage?\No, that is just cruel!\What sins have they committed?\No! response:	Stop!
context: Looks like we were the only ones left...\When did you?\If you surrender, I'll consider letting this hostage go...\Hostage?\No, that is just cruel!\What sins have they committed?\No!\Stop! response:	I surrender!
context: When did you?\If you surrender, I'll consider letting this hostage go...\Hostage?\No, that is just cruel!\What sins have they committed?\No!\Stop!\I surrender! response:	So please!
context: If you surrender, I'll consider letting this hostage go...\Hostage?\No, that is just cruel!\What sins have they committed?\No!\Stop!\I surrender!\So please! response:	Here!
context: Hostage?\No, that is just cruel!\What sins have they committed?\No!\Stop!\I surrender!\So please!\Here! response:	No, darling...
context: No, that is just cruel!\What sins have they committed?\No!\Stop!\I surrender!\So please!\Here!\No, darling... response:	What the, this is a... deja vu?
context: What sins have they committed?\No!\Stop!\I surrender!\So please!\Here!\No, darling...\What the, this is a... deja vu? response:	Hey, my glasses!
context: No!\Stop!\I surrender!\So please!\Here!\No, darling...\What the, this is a... deja vu?\Hey, my glasses! response:	That was just a dummy!
context: Stop!\I surrender!\So please!\Here!\No, darling...\What the, this is a... deja vu?\Hey, my glasses!\That was just a dummy! response:	I prepared them because I thought something like that might happen.
context: I surrender!\So please!\Here!\No, darling...\What the, this is a... deja vu?\Hey, my glasses!\That was just a dummy!\I prepared them because I thought something like that might happen. response:	Man, how good are your preparations?
context: So please!\Here!\No, darling...\What the, this is a... deja vu?\Hey, my glasses!\That was just a dummy!\I prepared them because I thought something like that might happen.\Man, how good are your preparations? response:	Say, Jirou-kun...
context: Here!\No, darling...\What the, this is a... deja vu?\Hey, my glasses!\That was just a dummy!\I prepared them because I thought something like that might happen.\Man, how good are your preparations?\Say, Jirou-kun... response:	Get away from me!
context: No, darling...\What the, this is a... deja vu?\Hey, my glasses!\That was just a dummy!\I prepared them because I thought something like that might happen.\Man, how good are your preparations?\Say, Jirou-kun...\Get away from me! response:	You tried your best even though you were a chicken.
context: What the, this is a... deja vu?\Hey, my glasses!\That was just a dummy!\I prepared them because I thought something like that might happen.\Man, how good are your preparations?\Say, Jirou-kun...\Get away from me!\You tried your best even though you were a chicken. response:	You were cool for a moment there.
context: Hey, my glasses!\That was just a dummy!\I prepared them because I thought something like that might happen.\Man, how good are your preparations?\Say, Jirou-kun...\Get away from me!\You tried your best even though you were a chicken.\You were cool for a moment there. response:	I can't have you win...
context: That was just a dummy!\I prepared them because I thought something like that might happen.\Man, how good are your preparations?\Say, Jirou-kun...\Get away from me!\You tried your best even though you were a chicken.\You were cool for a moment there.\I can't have you win... response:	The one who won the battle royal is...
context: I prepared them because I thought something like that might happen.\Man, how good are your preparations?\Say, Jirou-kun...\Get away from me!\You tried your best even though you were a chicken.\You were cool for a moment there.\I can't have you win...\The one who won the battle royal is... response:	Suzutsuki Kanade!
context: Man, how good are your preparations?\Say, Jirou-kun...\Get away from me!\You tried your best even though you were a chicken.\You were cool for a moment there.\I can't have you win...\The one who won the battle royal is...\Suzutsuki Kanade! response:	So you were awake!
context: Say, Jirou-kun...\Get away from me!\You tried your best even though you were a chicken.\You were cool for a moment there.\I can't have you win...\The one who won the battle royal is...\Suzutsuki Kanade!\So you were awake! response:	Where is this...
context: Get away from me!\You tried your best even though you were a chicken.\You were cool for a moment there.\I can't have you win...\The one who won the battle royal is...\Suzutsuki Kanade!\So you were awake!\Where is this... response:	Don't misunderstand me.
context: You tried your best even though you were a chicken.\You were cool for a moment there.\I can't have you win...\The one who won the battle royal is...\Suzutsuki Kanade!\So you were awake!\Where is this...\Don't misunderstand me. response:	You didn't get up so...
context: You were cool for a moment there.\I can't have you win...\The one who won the battle royal is...\Suzutsuki Kanade!\So you were awake!\Where is this...\Don't misunderstand me.\You didn't get up so... response:	I didn't have any weird intentions by it...
context: I can't have you win...\The one who won the battle royal is...\Suzutsuki Kanade!\So you were awake!\Where is this...\Don't misunderstand me.\You didn't get up so...\I didn't have any weird intentions by it... response:	I wasn't secretly watching your sleeping face...
context: The one who won the battle royal is...\Suzutsuki Kanade!\So you were awake!\Where is this...\Don't misunderstand me.\You didn't get up so...\I didn't have any weird intentions by it...\I wasn't secretly watching your sleeping face... response:	Where are Suzutsuki and the others?
context: Suzutsuki Kanade!\So you were awake!\Where is this...\Don't misunderstand me.\You didn't get up so...\I didn't have any weird intentions by it...\I wasn't secretly watching your sleeping face...\Where are Suzutsuki and the others? response:	Nakuru-chan went on a rampage, undressing people around her since she thought your glasses were broken...
context: So you were awake!\Where is this...\Don't misunderstand me.\You didn't get up so...\I didn't have any weird intentions by it...\I wasn't secretly watching your sleeping face...\Where are Suzutsuki and the others?\Nakuru-chan went on a rampage, undressing people around her since she thought your glasses were broken... response:	What?
context: Where is this...\Don't misunderstand me.\You didn't get up so...\I didn't have any weird intentions by it...\I wasn't secretly watching your sleeping face...\Where are Suzutsuki and the others?\Nakuru-chan went on a rampage, undressing people around her since she thought your glasses were broken...\What? response:	Ojou-sama went to tell her that they weren't, so everything will be fine.
context: Don't misunderstand me.\You didn't get up so...\I didn't have any weird intentions by it...\I wasn't secretly watching your sleeping face...\Where are Suzutsuki and the others?\Nakuru-chan went on a rampage, undressing people around her since she thought your glasses were broken...\What?\Ojou-sama went to tell her that they weren't, so everything will be fine. response:	I think it will go smoothly.
context: You didn't get up so...\I didn't have any weird intentions by it...\I wasn't secretly watching your sleeping face...\Where are Suzutsuki and the others?\Nakuru-chan went on a rampage, undressing people around her since she thought your glasses were broken...\What?\Ojou-sama went to tell her that they weren't, so everything will be fine.\I think it will go smoothly. response:	I see...
context: I didn't have any weird intentions by it...\I wasn't secretly watching your sleeping face...\Where are Suzutsuki and the others?\Nakuru-chan went on a rampage, undressing people around her since she thought your glasses were broken...\What?\Ojou-sama went to tell her that they weren't, so everything will be fine.\I think it will go smoothly.\I see... response:	Ah, that's...
context: I wasn't secretly watching your sleeping face...\Where are Suzutsuki and the others?\Nakuru-chan went on a rampage, undressing people around her since she thought your glasses were broken...\What?\Ojou-sama went to tell her that they weren't, so everything will be fine.\I think it will go smoothly.\I see...\Ah, that's... response:	Ojou-sama gave this to me as a present.
context: Where are Suzutsuki and the others?\Nakuru-chan went on a rampage, undressing people around her since she thought your glasses were broken...\What?\Ojou-sama went to tell her that they weren't, so everything will be fine.\I think it will go smoothly.\I see...\Ah, that's...\Ojou-sama gave this to me as a present. response:	Good for you.
context: Nakuru-chan went on a rampage, undressing people around her since she thought your glasses were broken...\What?\Ojou-sama went to tell her that they weren't, so everything will be fine.\I think it will go smoothly.\I see...\Ah, that's...\Ojou-sama gave this to me as a present.\Good for you. response:	Yes.
context: What?\Ojou-sama went to tell her that they weren't, so everything will be fine.\I think it will go smoothly.\I see...\Ah, that's...\Ojou-sama gave this to me as a present.\Good for you.\Yes. response:	It's creepy after all.
context: Ojou-sama went to tell her that they weren't, so everything will be fine.\I think it will go smoothly.\I see...\Ah, that's...\Ojou-sama gave this to me as a present.\Good for you.\Yes.\It's creepy after all. response:	Creepy?
context: I think it will go smoothly.\I see...\Ah, that's...\Ojou-sama gave this to me as a present.\Good for you.\Yes.\It's creepy after all.\Creepy? response:	You don't get its loveliness?
context: I see...\Ah, that's...\Ojou-sama gave this to me as a present.\Good for you.\Yes.\It's creepy after all.\Creepy?\You don't get its loveliness? response:	Unfortunately, not at all.
context: Ah, that's...\Ojou-sama gave this to me as a present.\Good for you.\Yes.\It's creepy after all.\Creepy?\You don't get its loveliness?\Unfortunately, not at all. response:	Have a proper look!
context: Ojou-sama gave this to me as a present.\Good for you.\Yes.\It's creepy after all.\Creepy?\You don't get its loveliness?\Unfortunately, not at all.\Have a proper look! response:	Everything is so lovable about this!
context: Good for you.\Yes.\It's creepy after all.\Creepy?\You don't get its loveliness?\Unfortunately, not at all.\Have a proper look!\Everything is so lovable about this! response:	I got it!
context: Yes.\It's creepy after all.\Creepy?\You don't get its loveliness?\Unfortunately, not at all.\Have a proper look!\Everything is so lovable about this!\I got it! response:	Are you sure?
context: It's creepy after all.\Creepy?\You don't get its loveliness?\Unfortunately, not at all.\Have a proper look!\Everything is so lovable about this!\I got it!\Are you sure? response:	Really, I do!
context: Creepy?\You don't get its loveliness?\Unfortunately, not at all.\Have a proper look!\Everything is so lovable about this!\I got it!\Are you sure?\Really, I do! response:	Please stop that!
context: You don't get its loveliness?\Unfortunately, not at all.\Have a proper look!\Everything is so lovable about this!\I got it!\Are you sure?\Really, I do!\Please stop that! response:	Oh!
context: Unfortunately, not at all.\Have a proper look!\Everything is so lovable about this!\I got it!\Are you sure?\Really, I do!\Please stop that!\Oh! response:	I kind of feel like the summer is about to end.
context: Have a proper look!\Everything is so lovable about this!\I got it!\Are you sure?\Really, I do!\Please stop that!\Oh!\I kind of feel like the summer is about to end. response:	We're still in the middle of August.
context: Everything is so lovable about this!\I got it!\Are you sure?\Really, I do!\Please stop that!\Oh!\I kind of feel like the summer is about to end.\We're still in the middle of August. response:	Yes, but the summer will end in an instant.
context: I got it!\Are you sure?\Really, I do!\Please stop that!\Oh!\I kind of feel like the summer is about to end.\We're still in the middle of August.\Yes, but the summer will end in an instant. response:	I feel lonely that the summer vacation will end but,
context: Are you sure?\Really, I do!\Please stop that!\Oh!\I kind of feel like the summer is about to end.\We're still in the middle of August.\Yes, but the summer will end in an instant.\I feel lonely that the summer vacation will end but, response:	but I can live with you or Ojou-sama when the second term comes around.
context: Really, I do!\Please stop that!\Oh!\I kind of feel like the summer is about to end.\We're still in the middle of August.\Yes, but the summer will end in an instant.\I feel lonely that the summer vacation will end but,\but I can live with you or Ojou-sama when the second term comes around. response:	I had lots of fun.
context: Please stop that!\Oh!\I kind of feel like the summer is about to end.\We're still in the middle of August.\Yes, but the summer will end in an instant.\I feel lonely that the summer vacation will end but,\but I can live with you or Ojou-sama when the second term comes around.\I had lots of fun. response:	Well it seems that the second term will be be a hectic one as well.
context: Oh!\I kind of feel like the summer is about to end.\We're still in the middle of August.\Yes, but the summer will end in an instant.\I feel lonely that the summer vacation will end but,\but I can live with you or Ojou-sama when the second term comes around.\I had lots of fun.\Well it seems that the second term will be be a hectic one as well. response:	I am already used to it.
context: I kind of feel like the summer is about to end.\We're still in the middle of August.\Yes, but the summer will end in an instant.\I feel lonely that the summer vacation will end but,\but I can live with you or Ojou-sama when the second term comes around.\I had lots of fun.\Well it seems that the second term will be be a hectic one as well.\I am already used to it. response:	That has become our everyday.
context: We're still in the middle of August.\Yes, but the summer will end in an instant.\I feel lonely that the summer vacation will end but,\but I can live with you or Ojou-sama when the second term comes around.\I had lots of fun.\Well it seems that the second term will be be a hectic one as well.\I am already used to it.\That has become our everyday. response:	Right? We'll always be friends!
context: Yes, but the summer will end in an instant.\I feel lonely that the summer vacation will end but,\but I can live with you or Ojou-sama when the second term comes around.\I had lots of fun.\Well it seems that the second term will be be a hectic one as well.\I am already used to it.\That has become our everyday.\Right? We'll always be friends! response:	Oh!
context: I feel lonely that the summer vacation will end but,\but I can live with you or Ojou-sama when the second term comes around.\I had lots of fun.\Well it seems that the second term will be be a hectic one as well.\I am already used to it.\That has become our everyday.\Right? We'll always be friends!\Oh! response:	I don't like this.
context: but I can live with you or Ojou-sama when the second term comes around.\I had lots of fun.\Well it seems that the second term will be be a hectic one as well.\I am already used to it.\That has become our everyday.\Right? We'll always be friends!\Oh!\I don't like this. response:	I don't want to be just friends...
context: I had lots of fun.\Well it seems that the second term will be be a hectic one as well.\I am already used to it.\That has become our everyday.\Right? We'll always be friends!\Oh!\I don't like this.\I don't want to be just friends... response:	I can't take it any longer!
context: Well it seems that the second term will be be a hectic one as well.\I am already used to it.\That has become our everyday.\Right? We'll always be friends!\Oh!\I don't like this.\I don't want to be just friends...\I can't take it any longer! response:	It's coming out!
context: I am already used to it.\That has become our everyday.\Right? We'll always be friends!\Oh!\I don't like this.\I don't want to be just friends...\I can't take it any longer!\It's coming out! response:	It would go out!
context: That has become our everyday.\Right? We'll always be friends!\Oh!\I don't like this.\I don't want to be just friends...\I can't take it any longer!\It's coming out!\It would go out! response:	No way!
context: Right? We'll always be friends!\Oh!\I don't like this.\I don't want to be just friends...\I can't take it any longer!\It's coming out!\It would go out!\No way! response:	Because...
context: Oh!\I don't like this.\I don't want to be just friends...\I can't take it any longer!\It's coming out!\It would go out!\No way!\Because... response:	I can no longer hold out!
context: I don't like this.\I don't want to be just friends...\I can't take it any longer!\It's coming out!\It would go out!\No way!\Because...\I can no longer hold out! response:	Seriously?
context: I don't want to be just friends...\I can't take it any longer!\It's coming out!\It would go out!\No way!\Because...\I can no longer hold out!\Seriously? response:	It can't be helped, right?
context: I can't take it any longer!\It's coming out!\It would go out!\No way!\Because...\I can no longer hold out!\Seriously?\It can't be helped, right? response:	Stop!
context: It's coming out!\It would go out!\No way!\Because...\I can no longer hold out!\Seriously?\It can't be helped, right?\Stop! response:	Aren't you ashamed?
context: It would go out!\No way!\Because...\I can no longer hold out!\Seriously?\It can't be helped, right?\Stop!\Aren't you ashamed? response:	Something like being embarrassed...
context: No way!\Because...\I can no longer hold out!\Seriously?\It can't be helped, right?\Stop!\Aren't you ashamed?\Something like being embarrassed... response:	Jirou-kun, please watch over me!
context: Because...\I can no longer hold out!\Seriously?\It can't be helped, right?\Stop!\Aren't you ashamed?\Something like being embarrassed...\Jirou-kun, please watch over me! response:	What kind of shyness play is that?
context: I can no longer hold out!\Seriously?\It can't be helped, right?\Stop!\Aren't you ashamed?\Something like being embarrassed...\Jirou-kun, please watch over me!\What kind of shyness play is that? response:	What are you saying?
context: Seriously?\It can't be helped, right?\Stop!\Aren't you ashamed?\Something like being embarrassed...\Jirou-kun, please watch over me!\What kind of shyness play is that?\What are you saying? response:	What I'm saying is...
context: It can't be helped, right?\Stop!\Aren't you ashamed?\Something like being embarrassed...\Jirou-kun, please watch over me!\What kind of shyness play is that?\What are you saying?\What I'm saying is... response:	Episode 9: I will go out on a journey for awhile.
context: Stop!\Aren't you ashamed?\Something like being embarrassed...\Jirou-kun, please watch over me!\What kind of shyness play is that?\What are you saying?\What I'm saying is...\Episode 9: I will go out on a journey for awhile. response:	I will go out on a journey for a while
context: Aren't you ashamed?\Something like being embarrassed...\Jirou-kun, please watch over me!\What kind of shyness play is that?\What are you saying?\What I'm saying is...\Episode 9: I will go out on a journey for awhile.\I will go out on a journey for a while response:	I will go out on a journey for a while
