context: Rendezvous in the blue sky, cuckoo response:	Discovery of the Suspect's Body
context: What connection did Osada Hisako have with Yonagahime?\She was the president of the agency. The creator of the group.\The words of love, Yokohama\Shinjurou!\Blue Light Yokohama\Both of them are already here!\Yonaga'! Yonaga'!\Idiot! response:	Yumeno-san and Kumi-san, yes?
context: She was the president of the agency. The creator of the group.\The words of love, Yokohama\Shinjurou!\Blue Light Yokohama\Both of them are already here!\Yonaga'! Yonaga'!\Idiot!\Yumeno-san and Kumi-san, yes? response:	Yonaga'! Yonaga'!
context: The words of love, Yokohama\Shinjurou!\Blue Light Yokohama\Both of them are already here!\Yonaga'! Yonaga'!\Idiot!\Yumeno-san and Kumi-san, yes?\Yonaga'! Yonaga'! response:	P-Please stop it!
context: Shinjurou!\Blue Light Yokohama\Both of them are already here!\Yonaga'! Yonaga'!\Idiot!\Yumeno-san and Kumi-san, yes?\Yonaga'! Yonaga'!\P-Please stop it! response:	Tsunemi Kumi
context: Blue Light Yokohama\Both of them are already here!\Yonaga'! Yonaga'!\Idiot!\Yumeno-san and Kumi-san, yes?\Yonaga'! Yonaga'!\P-Please stop it!\Tsunemi Kumi response:	Former Member of Yonagahime 3 + 1
context: Both of them are already here!\Yonaga'! Yonaga'!\Idiot!\Yumeno-san and Kumi-san, yes?\Yonaga'! Yonaga'!\P-Please stop it!\Tsunemi Kumi\Former Member of Yonagahime 3 + 1 response:	Umezawa Yumeno
context: Yonaga'! Yonaga'!\Idiot!\Yumeno-san and Kumi-san, yes?\Yonaga'! Yonaga'!\P-Please stop it!\Tsunemi Kumi\Former Member of Yonagahime 3 + 1\Umezawa Yumeno response:	Former Member of Yonagahime 3 + 1
context: Idiot!\Yumeno-san and Kumi-san, yes?\Yonaga'! Yonaga'!\P-Please stop it!\Tsunemi Kumi\Former Member of Yonagahime 3 + 1\Umezawa Yumeno\Former Member of Yonagahime 3 + 1 response:	The authorities know who killed Ms. Osada, right?
context: Yumeno-san and Kumi-san, yes?\Yonaga'! Yonaga'!\P-Please stop it!\Tsunemi Kumi\Former Member of Yonagahime 3 + 1\Umezawa Yumeno\Former Member of Yonagahime 3 + 1\The authorities know who killed Ms. Osada, right? response:	Apparently, you two met the victim here once a month.
context: Yonaga'! Yonaga'!\P-Please stop it!\Tsunemi Kumi\Former Member of Yonagahime 3 + 1\Umezawa Yumeno\Former Member of Yonagahime 3 + 1\The authorities know who killed Ms. Osada, right?\Apparently, you two met the victim here once a month. response:	That's...
context: P-Please stop it!\Tsunemi Kumi\Former Member of Yonagahime 3 + 1\Umezawa Yumeno\Former Member of Yonagahime 3 + 1\The authorities know who killed Ms. Osada, right?\Apparently, you two met the victim here once a month.\That's... response:	I checked into it.
context: Tsunemi Kumi\Former Member of Yonagahime 3 + 1\Umezawa Yumeno\Former Member of Yonagahime 3 + 1\The authorities know who killed Ms. Osada, right?\Apparently, you two met the victim here once a month.\That's...\I checked into it. response:	The victim was being threatened by someone.
context: Former Member of Yonagahime 3 + 1\Umezawa Yumeno\Former Member of Yonagahime 3 + 1\The authorities know who killed Ms. Osada, right?\Apparently, you two met the victim here once a month.\That's...\I checked into it.\The victim was being threatened by someone. response:	You have the wrong idea! The president...
context: Umezawa Yumeno\Former Member of Yonagahime 3 + 1\The authorities know who killed Ms. Osada, right?\Apparently, you two met the victim here once a month.\That's...\I checked into it.\The victim was being threatened by someone.\You have the wrong idea! The president... response:	Ms. Osada was worried about us, so she gave us living expenses...
context: Former Member of Yonagahime 3 + 1\The authorities know who killed Ms. Osada, right?\Apparently, you two met the victim here once a month.\That's...\I checked into it.\The victim was being threatened by someone.\You have the wrong idea! The president...\Ms. Osada was worried about us, so she gave us living expenses... response:	Miss, if you didn't say anything, you could be taken for a man, you know?
context: The authorities know who killed Ms. Osada, right?\Apparently, you two met the victim here once a month.\That's...\I checked into it.\The victim was being threatened by someone.\You have the wrong idea! The president...\Ms. Osada was worried about us, so she gave us living expenses...\Miss, if you didn't say anything, you could be taken for a man, you know? response:	I hear Osada Hisako's body was carried by a mystery man and woman.
context: Apparently, you two met the victim here once a month.\That's...\I checked into it.\The victim was being threatened by someone.\You have the wrong idea! The president...\Ms. Osada was worried about us, so she gave us living expenses...\Miss, if you didn't say anything, you could be taken for a man, you know?\I hear Osada Hisako's body was carried by a mystery man and woman. response:	You can't be serious!
context: That's...\I checked into it.\The victim was being threatened by someone.\You have the wrong idea! The president...\Ms. Osada was worried about us, so she gave us living expenses...\Miss, if you didn't say anything, you could be taken for a man, you know?\I hear Osada Hisako's body was carried by a mystery man and woman.\You can't be serious! response:	Are you saying that we had a hand in the president's death?!
context: I checked into it.\The victim was being threatened by someone.\You have the wrong idea! The president...\Ms. Osada was worried about us, so she gave us living expenses...\Miss, if you didn't say anything, you could be taken for a man, you know?\I hear Osada Hisako's body was carried by a mystery man and woman.\You can't be serious!\Are you saying that we had a hand in the president's death?! response:	You didn't?
context: The victim was being threatened by someone.\You have the wrong idea! The president...\Ms. Osada was worried about us, so she gave us living expenses...\Miss, if you didn't say anything, you could be taken for a man, you know?\I hear Osada Hisako's body was carried by a mystery man and woman.\You can't be serious!\Are you saying that we had a hand in the president's death?!\You didn't? response:	No! Of course not!
context: You have the wrong idea! The president...\Ms. Osada was worried about us, so she gave us living expenses...\Miss, if you didn't say anything, you could be taken for a man, you know?\I hear Osada Hisako's body was carried by a mystery man and woman.\You can't be serious!\Are you saying that we had a hand in the president's death?!\You didn't?\No! Of course not! response:	Now that the president's gone, I don't know what I'll do to make ends meet...
context: Ms. Osada was worried about us, so she gave us living expenses...\Miss, if you didn't say anything, you could be taken for a man, you know?\I hear Osada Hisako's body was carried by a mystery man and woman.\You can't be serious!\Are you saying that we had a hand in the president's death?!\You didn't?\No! Of course not!\Now that the president's gone, I don't know what I'll do to make ends meet... response:	At a glance, a man and woman duo...
context: Miss, if you didn't say anything, you could be taken for a man, you know?\I hear Osada Hisako's body was carried by a mystery man and woman.\You can't be serious!\Are you saying that we had a hand in the president's death?!\You didn't?\No! Of course not!\Now that the president's gone, I don't know what I'll do to make ends meet...\At a glance, a man and woman duo... response:	A Shinagawa hotel and a complicated relationship with Osada Hisako...
context: I hear Osada Hisako's body was carried by a mystery man and woman.\You can't be serious!\Are you saying that we had a hand in the president's death?!\You didn't?\No! Of course not!\Now that the president's gone, I don't know what I'll do to make ends meet...\At a glance, a man and woman duo...\A Shinagawa hotel and a complicated relationship with Osada Hisako... response:	It seems that someone wanted us to think you two were the culprits.
context: You can't be serious!\Are you saying that we had a hand in the president's death?!\You didn't?\No! Of course not!\Now that the president's gone, I don't know what I'll do to make ends meet...\At a glance, a man and woman duo...\A Shinagawa hotel and a complicated relationship with Osada Hisako...\It seems that someone wanted us to think you two were the culprits. response:	Someone?!
context: Are you saying that we had a hand in the president's death?!\You didn't?\No! Of course not!\Now that the president's gone, I don't know what I'll do to make ends meet...\At a glance, a man and woman duo...\A Shinagawa hotel and a complicated relationship with Osada Hisako...\It seems that someone wanted us to think you two were the culprits.\Someone?! response:	So we'll never forget that day...
context: You didn't?\No! Of course not!\Now that the president's gone, I don't know what I'll do to make ends meet...\At a glance, a man and woman duo...\A Shinagawa hotel and a complicated relationship with Osada Hisako...\It seems that someone wanted us to think you two were the culprits.\Someone?!\So we'll never forget that day... response:	What if it's the ghost of Eri-chan?!
context: No! Of course not!\Now that the president's gone, I don't know what I'll do to make ends meet...\At a glance, a man and woman duo...\A Shinagawa hotel and a complicated relationship with Osada Hisako...\It seems that someone wanted us to think you two were the culprits.\Someone?!\So we'll never forget that day...\What if it's the ghost of Eri-chan?! response:	Eri died...
context: Now that the president's gone, I don't know what I'll do to make ends meet...\At a glance, a man and woman duo...\A Shinagawa hotel and a complicated relationship with Osada Hisako...\It seems that someone wanted us to think you two were the culprits.\Someone?!\So we'll never forget that day...\What if it's the ghost of Eri-chan?!\Eri died... response:	in the attack on 12/23.
context: At a glance, a man and woman duo...\A Shinagawa hotel and a complicated relationship with Osada Hisako...\It seems that someone wanted us to think you two were the culprits.\Someone?!\So we'll never forget that day...\What if it's the ghost of Eri-chan?!\Eri died...\in the attack on 12/23. response:	Yumeno?!
context: A Shinagawa hotel and a complicated relationship with Osada Hisako...\It seems that someone wanted us to think you two were the culprits.\Someone?!\So we'll never forget that day...\What if it's the ghost of Eri-chan?!\Eri died...\in the attack on 12/23.\Yumeno?! response:	Inga!
context: It seems that someone wanted us to think you two were the culprits.\Someone?!\So we'll never forget that day...\What if it's the ghost of Eri-chan?!\Eri died...\in the attack on 12/23.\Yumeno?!\Inga! response:	I can't... I can't hold it in anymore, Shinjurou!
context: Someone?!\So we'll never forget that day...\What if it's the ghost of Eri-chan?!\Eri died...\in the attack on 12/23.\Yumeno?!\Inga!\I can't... I can't hold it in anymore, Shinjurou! response:	What's wrong?!
context: So we'll never forget that day...\What if it's the ghost of Eri-chan?!\Eri died...\in the attack on 12/23.\Yumeno?!\Inga!\I can't... I can't hold it in anymore, Shinjurou!\What's wrong?! response:	Don't play dumb!
context: What if it's the ghost of Eri-chan?!\Eri died...\in the attack on 12/23.\Yumeno?!\Inga!\I can't... I can't hold it in anymore, Shinjurou!\What's wrong?!\Don't play dumb! response:	You know very well what I mean!
context: Eri died...\in the attack on 12/23.\Yumeno?!\Inga!\I can't... I can't hold it in anymore, Shinjurou!\What's wrong?!\Don't play dumb!\You know very well what I mean! response:	Where's the truth?!
context: in the attack on 12/23.\Yumeno?!\Inga!\I can't... I can't hold it in anymore, Shinjurou!\What's wrong?!\Don't play dumb!\You know very well what I mean!\Where's the truth?! response:	But there's no motive...
context: Yumeno?!\Inga!\I can't... I can't hold it in anymore, Shinjurou!\What's wrong?!\Don't play dumb!\You know very well what I mean!\Where's the truth?!\But there's no motive... response:	Let's get to the bottom of it!
context: Inga!\I can't... I can't hold it in anymore, Shinjurou!\What's wrong?!\Don't play dumb!\You know very well what I mean!\Where's the truth?!\But there's no motive...\Let's get to the bottom of it! response:	You said it yourself...
context: I can't... I can't hold it in anymore, Shinjurou!\What's wrong?!\Don't play dumb!\You know very well what I mean!\Where's the truth?!\But there's no motive...\Let's get to the bottom of it!\You said it yourself... response:	I'll show you what a real human is.
context: What's wrong?!\Don't play dumb!\You know very well what I mean!\Where's the truth?!\But there's no motive...\Let's get to the bottom of it!\You said it yourself...\I'll show you what a real human is. response:	I'll show you human truth.
context: Don't play dumb!\You know very well what I mean!\Where's the truth?!\But there's no motive...\Let's get to the bottom of it!\You said it yourself...\I'll show you what a real human is.\I'll show you human truth. response:	All right! But I still haven't found the truth...
context: You know very well what I mean!\Where's the truth?!\But there's no motive...\Let's get to the bottom of it!\You said it yourself...\I'll show you what a real human is.\I'll show you human truth.\All right! But I still haven't found the truth... response:	Don't lie to me!
context: Where's the truth?!\But there's no motive...\Let's get to the bottom of it!\You said it yourself...\I'll show you what a real human is.\I'll show you human truth.\All right! But I still haven't found the truth...\Don't lie to me! response:	What are you searching for?
context: But there's no motive...\Let's get to the bottom of it!\You said it yourself...\I'll show you what a real human is.\I'll show you human truth.\All right! But I still haven't found the truth...\Don't lie to me!\What are you searching for? response:	What do you want to protect?
context: Let's get to the bottom of it!\You said it yourself...\I'll show you what a real human is.\I'll show you human truth.\All right! But I still haven't found the truth...\Don't lie to me!\What are you searching for?\What do you want to protect? response:	Sweet Shinjurou...
context: You said it yourself...\I'll show you what a real human is.\I'll show you human truth.\All right! But I still haven't found the truth...\Don't lie to me!\What are you searching for?\What do you want to protect?\Sweet Shinjurou... response:	But I feel sorry for that girl...
context: I'll show you what a real human is.\I'll show you human truth.\All right! But I still haven't found the truth...\Don't lie to me!\What are you searching for?\What do you want to protect?\Sweet Shinjurou...\But I feel sorry for that girl... response:	Yourself?
context: I'll show you human truth.\All right! But I still haven't found the truth...\Don't lie to me!\What are you searching for?\What do you want to protect?\Sweet Shinjurou...\But I feel sorry for that girl...\Yourself? response:	If you take pity on yourself, nothing will change.
context: All right! But I still haven't found the truth...\Don't lie to me!\What are you searching for?\What do you want to protect?\Sweet Shinjurou...\But I feel sorry for that girl...\Yourself?\If you take pity on yourself, nothing will change. response:	Tell me. What should I ask?
context: Don't lie to me!\What are you searching for?\What do you want to protect?\Sweet Shinjurou...\But I feel sorry for that girl...\Yourself?\If you take pity on yourself, nothing will change.\Tell me. What should I ask? response:	Now... answer me...
context: What are you searching for?\What do you want to protect?\Sweet Shinjurou...\But I feel sorry for that girl...\Yourself?\If you take pity on yourself, nothing will change.\Tell me. What should I ask?\Now... answer me... response:	Who is the real fourth member of Yonagahime?
context: What do you want to protect?\Sweet Shinjurou...\But I feel sorry for that girl...\Yourself?\If you take pity on yourself, nothing will change.\Tell me. What should I ask?\Now... answer me...\Who is the real fourth member of Yonagahime? response:	I'm not supposed to tell anyone...
context: Sweet Shinjurou...\But I feel sorry for that girl...\Yourself?\If you take pity on yourself, nothing will change.\Tell me. What should I ask?\Now... answer me...\Who is the real fourth member of Yonagahime?\I'm not supposed to tell anyone... response:	There's nothing you can do...
context: But I feel sorry for that girl...\Yourself?\If you take pity on yourself, nothing will change.\Tell me. What should I ask?\Now... answer me...\Who is the real fourth member of Yonagahime?\I'm not supposed to tell anyone...\There's nothing you can do... response:	People have no choice but to answer her question.
context: Yourself?\If you take pity on yourself, nothing will change.\Tell me. What should I ask?\Now... answer me...\Who is the real fourth member of Yonagahime?\I'm not supposed to tell anyone...\There's nothing you can do...\People have no choice but to answer her question. response:	Just one question...
context: If you take pity on yourself, nothing will change.\Tell me. What should I ask?\Now... answer me...\Who is the real fourth member of Yonagahime?\I'm not supposed to tell anyone...\There's nothing you can do...\People have no choice but to answer her question.\Just one question... response:	Answer me.
context: Tell me. What should I ask?\Now... answer me...\Who is the real fourth member of Yonagahime?\I'm not supposed to tell anyone...\There's nothing you can do...\People have no choice but to answer her question.\Just one question...\Answer me. response:	Who's the fourth member of Yonagahime?!
context: Now... answer me...\Who is the real fourth member of Yonagahime?\I'm not supposed to tell anyone...\There's nothing you can do...\People have no choice but to answer her question.\Just one question...\Answer me.\Who's the fourth member of Yonagahime?! response:	Who is it?!
context: Who is the real fourth member of Yonagahime?\I'm not supposed to tell anyone...\There's nothing you can do...\People have no choice but to answer her question.\Just one question...\Answer me.\Who's the fourth member of Yonagahime?!\Who is it?! response:	Yonagahime was a three-person group...
context: I'm not supposed to tell anyone...\There's nothing you can do...\People have no choice but to answer her question.\Just one question...\Answer me.\Who's the fourth member of Yonagahime?!\Who is it?!\Yonagahime was a three-person group... response:	What about Anzai Eri, who was caught up in that terrorist attack?
context: There's nothing you can do...\People have no choice but to answer her question.\Just one question...\Answer me.\Who's the fourth member of Yonagahime?!\Who is it?!\Yonagahime was a three-person group...\What about Anzai Eri, who was caught up in that terrorist attack? response:	When our debut was decided on, Ms. Osada brought that footage with her.
context: People have no choice but to answer her question.\Just one question...\Answer me.\Who's the fourth member of Yonagahime?!\Who is it?!\Yonagahime was a three-person group...\What about Anzai Eri, who was caught up in that terrorist attack?\When our debut was decided on, Ms. Osada brought that footage with her. response:	She said the story would be that the girl was one of us.
context: Just one question...\Answer me.\Who's the fourth member of Yonagahime?!\Who is it?!\Yonagahime was a three-person group...\What about Anzai Eri, who was caught up in that terrorist attack?\When our debut was decided on, Ms. Osada brought that footage with her.\She said the story would be that the girl was one of us. response:	She even had vocal tracks laid down.
context: Answer me.\Who's the fourth member of Yonagahime?!\Who is it?!\Yonagahime was a three-person group...\What about Anzai Eri, who was caught up in that terrorist attack?\When our debut was decided on, Ms. Osada brought that footage with her.\She said the story would be that the girl was one of us.\She even had vocal tracks laid down. response:	We never even met a girl named Eri!
context: Who's the fourth member of Yonagahime?!\Who is it?!\Yonagahime was a three-person group...\What about Anzai Eri, who was caught up in that terrorist attack?\When our debut was decided on, Ms. Osada brought that footage with her.\She said the story would be that the girl was one of us.\She even had vocal tracks laid down.\We never even met a girl named Eri! response:	But we couldn't refuse.
context: Who is it?!\Yonagahime was a three-person group...\What about Anzai Eri, who was caught up in that terrorist attack?\When our debut was decided on, Ms. Osada brought that footage with her.\She said the story would be that the girl was one of us.\She even had vocal tracks laid down.\We never even met a girl named Eri!\But we couldn't refuse. response:	We were told we'd become stars that way...
context: Yonagahime was a three-person group...\What about Anzai Eri, who was caught up in that terrorist attack?\When our debut was decided on, Ms. Osada brought that footage with her.\She said the story would be that the girl was one of us.\She even had vocal tracks laid down.\We never even met a girl named Eri!\But we couldn't refuse.\We were told we'd become stars that way... response:	When the war was over, Yonagahime broke up...
context: What about Anzai Eri, who was caught up in that terrorist attack?\When our debut was decided on, Ms. Osada brought that footage with her.\She said the story would be that the girl was one of us.\She even had vocal tracks laid down.\We never even met a girl named Eri!\But we couldn't refuse.\We were told we'd become stars that way...\When the war was over, Yonagahime broke up... response:	We were told we couldn't say anything about Eri.
context: When our debut was decided on, Ms. Osada brought that footage with her.\She said the story would be that the girl was one of us.\She even had vocal tracks laid down.\We never even met a girl named Eri!\But we couldn't refuse.\We were told we'd become stars that way...\When the war was over, Yonagahime broke up...\We were told we couldn't say anything about Eri. response:	If we did...
context: She said the story would be that the girl was one of us.\She even had vocal tracks laid down.\We never even met a girl named Eri!\But we couldn't refuse.\We were told we'd become stars that way...\When the war was over, Yonagahime broke up...\We were told we couldn't say anything about Eri.\If we did... response:	Emergency Exit
context: She even had vocal tracks laid down.\We never even met a girl named Eri!\But we couldn't refuse.\We were told we'd become stars that way...\When the war was over, Yonagahime broke up...\We were told we couldn't say anything about Eri.\If we did...\Emergency Exit response:	The city lights are so beautiful, aren't they?
context: We never even met a girl named Eri!\But we couldn't refuse.\We were told we'd become stars that way...\When the war was over, Yonagahime broke up...\We were told we couldn't say anything about Eri.\If we did...\Emergency Exit\The city lights are so beautiful, aren't they? response:	A-Are you sure about this?
context: But we couldn't refuse.\We were told we'd become stars that way...\When the war was over, Yonagahime broke up...\We were told we couldn't say anything about Eri.\If we did...\Emergency Exit\The city lights are so beautiful, aren't they?\A-Are you sure about this? response:	Wherever we walk, wherever we walk...
context: We were told we'd become stars that way...\When the war was over, Yonagahime broke up...\We were told we couldn't say anything about Eri.\If we did...\Emergency Exit\The city lights are so beautiful, aren't they?\A-Are you sure about this?\Wherever we walk, wherever we walk... response:	Hello? Yes...
context: When the war was over, Yonagahime broke up...\We were told we couldn't say anything about Eri.\If we did...\Emergency Exit\The city lights are so beautiful, aren't they?\A-Are you sure about this?\Wherever we walk, wherever we walk...\Hello? Yes... response:	Why? What are you saying?!
context: We were told we couldn't say anything about Eri.\If we did...\Emergency Exit\The city lights are so beautiful, aren't they?\A-Are you sure about this?\Wherever we walk, wherever we walk...\Hello? Yes...\Why? What are you saying?! response:	Why is it canceled?!
context: If we did...\Emergency Exit\The city lights are so beautiful, aren't they?\A-Are you sure about this?\Wherever we walk, wherever we walk...\Hello? Yes...\Why? What are you saying?!\Why is it canceled?! response:	No good. It's still hard to get a connection.
context: Emergency Exit\The city lights are so beautiful, aren't they?\A-Are you sure about this?\Wherever we walk, wherever we walk...\Hello? Yes...\Why? What are you saying?!\Why is it canceled?!\No good. It's still hard to get a connection. response:	The call got dropped.
context: The city lights are so beautiful, aren't they?\A-Are you sure about this?\Wherever we walk, wherever we walk...\Hello? Yes...\Why? What are you saying?!\Why is it canceled?!\No good. It's still hard to get a connection.\The call got dropped. response:	There were two culprits...
context: A-Are you sure about this?\Wherever we walk, wherever we walk...\Hello? Yes...\Why? What are you saying?!\Why is it canceled?!\No good. It's still hard to get a connection.\The call got dropped.\There were two culprits... response:	And they often used a hotel in Shinagawa as a meeting place
context: Wherever we walk, wherever we walk...\Hello? Yes...\Why? What are you saying?!\Why is it canceled?!\No good. It's still hard to get a connection.\The call got dropped.\There were two culprits...\And they often used a hotel in Shinagawa as a meeting place response:	to get money from your mother every month.
context: Hello? Yes...\Why? What are you saying?!\Why is it canceled?!\No good. It's still hard to get a connection.\The call got dropped.\There were two culprits...\And they often used a hotel in Shinagawa as a meeting place\to get money from your mother every month. response:	The people who fit those qualifications like a glove...
context: Why? What are you saying?!\Why is it canceled?!\No good. It's still hard to get a connection.\The call got dropped.\There were two culprits...\And they often used a hotel in Shinagawa as a meeting place\to get money from your mother every month.\The people who fit those qualifications like a glove... response:	are Yonagahime's Yumeno-san and Kumi-san.
context: Why is it canceled?!\No good. It's still hard to get a connection.\The call got dropped.\There were two culprits...\And they often used a hotel in Shinagawa as a meeting place\to get money from your mother every month.\The people who fit those qualifications like a glove...\are Yonagahime's Yumeno-san and Kumi-san. response:	I don't believe it... Those two...
context: No good. It's still hard to get a connection.\The call got dropped.\There were two culprits...\And they often used a hotel in Shinagawa as a meeting place\to get money from your mother every month.\The people who fit those qualifications like a glove...\are Yonagahime's Yumeno-san and Kumi-san.\I don't believe it... Those two... response:	But I see... If Kumi-san was in disguise, she could look like a man...
context: The call got dropped.\There were two culprits...\And they often used a hotel in Shinagawa as a meeting place\to get money from your mother every month.\The people who fit those qualifications like a glove...\are Yonagahime's Yumeno-san and Kumi-san.\I don't believe it... Those two...\But I see... If Kumi-san was in disguise, she could look like a man... response:	That's what you wanted everybody to think, right?
context: There were two culprits...\And they often used a hotel in Shinagawa as a meeting place\to get money from your mother every month.\The people who fit those qualifications like a glove...\are Yonagahime's Yumeno-san and Kumi-san.\I don't believe it... Those two...\But I see... If Kumi-san was in disguise, she could look like a man...\That's what you wanted everybody to think, right? response:	But Kaishou picked somebody else as the murderer.
context: And they often used a hotel in Shinagawa as a meeting place\to get money from your mother every month.\The people who fit those qualifications like a glove...\are Yonagahime's Yumeno-san and Kumi-san.\I don't believe it... Those two...\But I see... If Kumi-san was in disguise, she could look like a man...\That's what you wanted everybody to think, right?\But Kaishou picked somebody else as the murderer. response:	Did you panic?
context: to get money from your mother every month.\The people who fit those qualifications like a glove...\are Yonagahime's Yumeno-san and Kumi-san.\I don't believe it... Those two...\But I see... If Kumi-san was in disguise, she could look like a man...\That's what you wanted everybody to think, right?\But Kaishou picked somebody else as the murderer.\Did you panic? response:	What are you talking about?
context: The people who fit those qualifications like a glove...\are Yonagahime's Yumeno-san and Kumi-san.\I don't believe it... Those two...\But I see... If Kumi-san was in disguise, she could look like a man...\That's what you wanted everybody to think, right?\But Kaishou picked somebody else as the murderer.\Did you panic?\What are you talking about? response:	Anzai Eri is supposed to be resting in peace here...
context: are Yonagahime's Yumeno-san and Kumi-san.\I don't believe it... Those two...\But I see... If Kumi-san was in disguise, she could look like a man...\That's what you wanted everybody to think, right?\But Kaishou picked somebody else as the murderer.\Did you panic?\What are you talking about?\Anzai Eri is supposed to be resting in peace here... response:	But she's really you, Osada An.
context: I don't believe it... Those two...\But I see... If Kumi-san was in disguise, she could look like a man...\That's what you wanted everybody to think, right?\But Kaishou picked somebody else as the murderer.\Did you panic?\What are you talking about?\Anzai Eri is supposed to be resting in peace here...\But she's really you, Osada An. response:	To make Yonagahime's debut possible, Osada Hisako created
context: But I see... If Kumi-san was in disguise, she could look like a man...\That's what you wanted everybody to think, right?\But Kaishou picked somebody else as the murderer.\Did you panic?\What are you talking about?\Anzai Eri is supposed to be resting in peace here...\But she's really you, Osada An.\To make Yonagahime's debut possible, Osada Hisako created response:	the fictional identity of a fourth member who was killed in a terrorist attack.
context: That's what you wanted everybody to think, right?\But Kaishou picked somebody else as the murderer.\Did you panic?\What are you talking about?\Anzai Eri is supposed to be resting in peace here...\But she's really you, Osada An.\To make Yonagahime's debut possible, Osada Hisako created\the fictional identity of a fourth member who was killed in a terrorist attack. response:	She used recordings of your exceptional voice to back it up.
context: But Kaishou picked somebody else as the murderer.\Did you panic?\What are you talking about?\Anzai Eri is supposed to be resting in peace here...\But she's really you, Osada An.\To make Yonagahime's debut possible, Osada Hisako created\the fictional identity of a fourth member who was killed in a terrorist attack.\She used recordings of your exceptional voice to back it up. response:	I analyzed it.
context: Did you panic?\What are you talking about?\Anzai Eri is supposed to be resting in peace here...\But she's really you, Osada An.\To make Yonagahime's debut possible, Osada Hisako created\the fictional identity of a fourth member who was killed in a terrorist attack.\She used recordings of your exceptional voice to back it up.\I analyzed it. response:	Your voice is nearly a perfect match with Anzai Eri's,
context: What are you talking about?\Anzai Eri is supposed to be resting in peace here...\But she's really you, Osada An.\To make Yonagahime's debut possible, Osada Hisako created\the fictional identity of a fourth member who was killed in a terrorist attack.\She used recordings of your exceptional voice to back it up.\I analyzed it.\Your voice is nearly a perfect match with Anzai Eri's, response:	and it's also the same voice from the Dol-pli expansion data
context: Anzai Eri is supposed to be resting in peace here...\But she's really you, Osada An.\To make Yonagahime's debut possible, Osada Hisako created\the fictional identity of a fourth member who was killed in a terrorist attack.\She used recordings of your exceptional voice to back it up.\I analyzed it.\Your voice is nearly a perfect match with Anzai Eri's,\and it's also the same voice from the Dol-pli expansion data response:	that was prohibited before it could go on sale the other day.
context: But she's really you, Osada An.\To make Yonagahime's debut possible, Osada Hisako created\the fictional identity of a fourth member who was killed in a terrorist attack.\She used recordings of your exceptional voice to back it up.\I analyzed it.\Your voice is nearly a perfect match with Anzai Eri's,\and it's also the same voice from the Dol-pli expansion data\that was prohibited before it could go on sale the other day. response:	Oh?
context: To make Yonagahime's debut possible, Osada Hisako created\the fictional identity of a fourth member who was killed in a terrorist attack.\She used recordings of your exceptional voice to back it up.\I analyzed it.\Your voice is nearly a perfect match with Anzai Eri's,\and it's also the same voice from the Dol-pli expansion data\that was prohibited before it could go on sale the other day.\Oh? response:	I was suspicious from the start.
context: the fictional identity of a fourth member who was killed in a terrorist attack.\She used recordings of your exceptional voice to back it up.\I analyzed it.\Your voice is nearly a perfect match with Anzai Eri's,\and it's also the same voice from the Dol-pli expansion data\that was prohibited before it could go on sale the other day.\Oh?\I was suspicious from the start. response:	Why would the murderer go out of their way
context: She used recordings of your exceptional voice to back it up.\I analyzed it.\Your voice is nearly a perfect match with Anzai Eri's,\and it's also the same voice from the Dol-pli expansion data\that was prohibited before it could go on sale the other day.\Oh?\I was suspicious from the start.\Why would the murderer go out of their way response:	to hand over that suitcase in front of the victim's home?
context: I analyzed it.\Your voice is nearly a perfect match with Anzai Eri's,\and it's also the same voice from the Dol-pli expansion data\that was prohibited before it could go on sale the other day.\Oh?\I was suspicious from the start.\Why would the murderer go out of their way\to hand over that suitcase in front of the victim's home? response:	It was so the person who lived there wouldn't be suspected, right, Osada An?
context: Your voice is nearly a perfect match with Anzai Eri's,\and it's also the same voice from the Dol-pli expansion data\that was prohibited before it could go on sale the other day.\Oh?\I was suspicious from the start.\Why would the murderer go out of their way\to hand over that suitcase in front of the victim's home?\It was so the person who lived there wouldn't be suspected, right, Osada An? response:	I wanted to sing...
context: and it's also the same voice from the Dol-pli expansion data\that was prohibited before it could go on sale the other day.\Oh?\I was suspicious from the start.\Why would the murderer go out of their way\to hand over that suitcase in front of the victim's home?\It was so the person who lived there wouldn't be suspected, right, Osada An?\I wanted to sing... response:	I'm sure.
context: that was prohibited before it could go on sale the other day.\Oh?\I was suspicious from the start.\Why would the murderer go out of their way\to hand over that suitcase in front of the victim's home?\It was so the person who lived there wouldn't be suspected, right, Osada An?\I wanted to sing...\I'm sure. response:	Your singing is wonderful...
context: Oh?\I was suspicious from the start.\Why would the murderer go out of their way\to hand over that suitcase in front of the victim's home?\It was so the person who lived there wouldn't be suspected, right, Osada An?\I wanted to sing...\I'm sure.\Your singing is wonderful... response:	I was a child when Yonagahime was formed, so I didn't really understand.
context: I was suspicious from the start.\Why would the murderer go out of their way\to hand over that suitcase in front of the victim's home?\It was so the person who lived there wouldn't be suspected, right, Osada An?\I wanted to sing...\I'm sure.\Your singing is wonderful...\I was a child when Yonagahime was formed, so I didn't really understand. response:	It didn't bother me that my voice was being used for Anzai Eri.
