context: I heard you're Embryo's knight. response:	I wanted to see how strong you've become.
context: It's our mother's light.\Aura.\Ange.\You lose, Embryo.\Alektra.\You're leaving, aren't you?\Whether you win or lose, you're ditching this world.\Take me with you. response:	What?
context: Aura.\Ange.\You lose, Embryo.\Alektra.\You're leaving, aren't you?\Whether you win or lose, you're ditching this world.\Take me with you.\What? response:	What's gotten into you?
context: Ange.\You lose, Embryo.\Alektra.\You're leaving, aren't you?\Whether you win or lose, you're ditching this world.\Take me with you.\What?\What's gotten into you? response:	I understand now.
context: You lose, Embryo.\Alektra.\You're leaving, aren't you?\Whether you win or lose, you're ditching this world.\Take me with you.\What?\What's gotten into you?\I understand now. response:	I still...
context: Alektra.\You're leaving, aren't you?\Whether you win or lose, you're ditching this world.\Take me with you.\What?\What's gotten into you?\I understand now.\I still... response:	Unfortunately, I can't.
context: You're leaving, aren't you?\Whether you win or lose, you're ditching this world.\Take me with you.\What?\What's gotten into you?\I understand now.\I still...\Unfortunately, I can't. response:	Why?
context: Whether you win or lose, you're ditching this world.\Take me with you.\What?\What's gotten into you?\I understand now.\I still...\Unfortunately, I can't.\Why? response:	You loved me so much.
context: Take me with you.\What?\What's gotten into you?\I understand now.\I still...\Unfortunately, I can't.\Why?\You loved me so much. response:	I only saved you.
context: What?\What's gotten into you?\I understand now.\I still...\Unfortunately, I can't.\Why?\You loved me so much.\I only saved you. response:	I couldn't just stand by while you struggled with your taboo passion.
context: What's gotten into you?\I understand now.\I still...\Unfortunately, I can't.\Why?\You loved me so much.\I only saved you.\I couldn't just stand by while you struggled with your taboo passion. response:	That's how you took everything from me.
context: I understand now.\I still...\Unfortunately, I can't.\Why?\You loved me so much.\I only saved you.\I couldn't just stand by while you struggled with your taboo passion.\That's how you took everything from me. response:	My heart, and everything else!
context: I still...\Unfortunately, I can't.\Why?\You loved me so much.\I only saved you.\I couldn't just stand by while you struggled with your taboo passion.\That's how you took everything from me.\My heart, and everything else! response:	Are you going to use that right arm of yours to kill me?
context: Unfortunately, I can't.\Why?\You loved me so much.\I only saved you.\I couldn't just stand by while you struggled with your taboo passion.\That's how you took everything from me.\My heart, and everything else!\Are you going to use that right arm of yours to kill me? response:	No.
context: Why?\You loved me so much.\I only saved you.\I couldn't just stand by while you struggled with your taboo passion.\That's how you took everything from me.\My heart, and everything else!\Are you going to use that right arm of yours to kill me?\No. response:	You wouldn't die, would you?
context: You loved me so much.\I only saved you.\I couldn't just stand by while you struggled with your taboo passion.\That's how you took everything from me.\My heart, and everything else!\Are you going to use that right arm of yours to kill me?\No.\You wouldn't die, would you? response:	So I'm doing this instead.
context: I only saved you.\I couldn't just stand by while you struggled with your taboo passion.\That's how you took everything from me.\My heart, and everything else!\Are you going to use that right arm of yours to kill me?\No.\You wouldn't die, would you?\So I'm doing this instead. response:	Now you can't get away.
context: I couldn't just stand by while you struggled with your taboo passion.\That's how you took everything from me.\My heart, and everything else!\Are you going to use that right arm of yours to kill me?\No.\You wouldn't die, would you?\So I'm doing this instead.\Now you can't get away. response:	Now...
context: That's how you took everything from me.\My heart, and everything else!\Are you going to use that right arm of yours to kill me?\No.\You wouldn't die, would you?\So I'm doing this instead.\Now you can't get away.\Now... response:	Alektra here.
context: My heart, and everything else!\Are you going to use that right arm of yours to kill me?\No.\You wouldn't die, would you?\So I'm doing this instead.\Now you can't get away.\Now...\Alektra here. response:	I've captured Embryo.
context: Are you going to use that right arm of yours to kill me?\No.\You wouldn't die, would you?\So I'm doing this instead.\Now you can't get away.\Now...\Alektra here.\I've captured Embryo. response:	I'm about to destroy his mach
context: No.\You wouldn't die, would you?\So I'm doing this instead.\Now you can't get away.\Now...\Alektra here.\I've captured Embryo.\I'm about to destroy his mach response:	I see. So that was your plan.
context: You wouldn't die, would you?\So I'm doing this instead.\Now you can't get away.\Now...\Alektra here.\I've captured Embryo.\I'm about to destroy his mach\I see. So that was your plan. response:	Huh?
context: So I'm doing this instead.\Now you can't get away.\Now...\Alektra here.\I've captured Embryo.\I'm about to destroy his mach\I see. So that was your plan.\Huh? response:	No.
context: Now you can't get away.\Now...\Alektra here.\I've captured Embryo.\I'm about to destroy his mach\I see. So that was your plan.\Huh?\No. response:	Your main body...
context: Now...\Alektra here.\I've captured Embryo.\I'm about to destroy his mach\I see. So that was your plan.\Huh?\No.\Your main body... response:	Goodbye, Alektra.
context: Alektra here.\I've captured Embryo.\I'm about to destroy his mach\I see. So that was your plan.\Huh?\No.\Your main body...\Goodbye, Alektra. response:	I have no need for women from my past.
context: I've captured Embryo.\I'm about to destroy his mach\I see. So that was your plan.\Huh?\No.\Your main body...\Goodbye, Alektra.\I have no need for women from my past. response:	Captain, space-time convergence is at 95 and counting.
context: I'm about to destroy his mach\I see. So that was your plan.\Huh?\No.\Your main body...\Goodbye, Alektra.\I have no need for women from my past.\Captain, space-time convergence is at 95 and counting. response:	What?!
context: I see. So that was your plan.\Huh?\No.\Your main body...\Goodbye, Alektra.\I have no need for women from my past.\Captain, space-time convergence is at 95 and counting.\What?! response:	What's going on?
context: Huh?\No.\Your main body...\Goodbye, Alektra.\I have no need for women from my past.\Captain, space-time convergence is at 95 and counting.\What?!\What's going on? response:	It should be out of energy!
context: No.\Your main body...\Goodbye, Alektra.\I have no need for women from my past.\Captain, space-time convergence is at 95 and counting.\What?!\What's going on?\It should be out of energy! response:	I don't know, it's...
context: Your main body...\Goodbye, Alektra.\I have no need for women from my past.\Captain, space-time convergence is at 95 and counting.\What?!\What's going on?\It should be out of energy!\I don't know, it's... response:	Aura's energy will act as a detonator for the space-time convergence.
context: Goodbye, Alektra.\I have no need for women from my past.\Captain, space-time convergence is at 95 and counting.\What?!\What's going on?\It should be out of energy!\I don't know, it's...\Aura's energy will act as a detonator for the space-time convergence. response:	The universe's phase energy will take care of the rest.
context: I have no need for women from my past.\Captain, space-time convergence is at 95 and counting.\What?!\What's going on?\It should be out of energy!\I don't know, it's...\Aura's energy will act as a detonator for the space-time convergence.\The universe's phase energy will take care of the rest. response:	Embryo!
context: Captain, space-time convergence is at 95 and counting.\What?!\What's going on?\It should be out of energy!\I don't know, it's...\Aura's energy will act as a detonator for the space-time convergence.\The universe's phase energy will take care of the rest.\Embryo! response:	Ange.
context: What?!\What's going on?\It should be out of energy!\I don't know, it's...\Aura's energy will act as a detonator for the space-time convergence.\The universe's phase energy will take care of the rest.\Embryo!\Ange. response:	Space-time convergence is at 97!
context: What's going on?\It should be out of energy!\I don't know, it's...\Aura's energy will act as a detonator for the space-time convergence.\The universe's phase energy will take care of the rest.\Embryo!\Ange.\Space-time convergence is at 97! response:	Next Episode
context: It should be out of energy!\I don't know, it's...\Aura's energy will act as a detonator for the space-time convergence.\The universe's phase energy will take care of the rest.\Embryo!\Ange.\Space-time convergence is at 97!\Next Episode response:	Next week's the final episode. Is everyone ready?
context: I don't know, it's...\Aura's energy will act as a detonator for the space-time convergence.\The universe's phase energy will take care of the rest.\Embryo!\Ange.\Space-time convergence is at 97!\Next Episode\Next week's the final episode. Is everyone ready? response:	Are we really going to be able to wrap this up in one more episode?
context: Aura's energy will act as a detonator for the space-time convergence.\The universe's phase energy will take care of the rest.\Embryo!\Ange.\Space-time convergence is at 97!\Next Episode\Next week's the final episode. Is everyone ready?\Are we really going to be able to wrap this up in one more episode? response:	We could do a theatrical release or extras on releases. There are plenty of ways.
context: The universe's phase energy will take care of the rest.\Embryo!\Ange.\Space-time convergence is at 97!\Next Episode\Next week's the final episode. Is everyone ready?\Are we really going to be able to wrap this up in one more episode?\We could do a theatrical release or extras on releases. There are plenty of ways. response:	What the hell did Cross in Cross Ange mean, anyway?
context: Embryo!\Ange.\Space-time convergence is at 97!\Next Episode\Next week's the final episode. Is everyone ready?\Are we really going to be able to wrap this up in one more episode?\We could do a theatrical release or extras on releases. There are plenty of ways.\What the hell did Cross in Cross Ange mean, anyway? response:	To the End of Time
context: Ange.\Space-time convergence is at 97!\Next Episode\Next week's the final episode. Is everyone ready?\Are we really going to be able to wrap this up in one more episode?\We could do a theatrical release or extras on releases. There are plenty of ways.\What the hell did Cross in Cross Ange mean, anyway?\To the End of Time response:	Ange is always cross, I guess?
context: Space-time convergence is at 97!\Next Episode\Next week's the final episode. Is everyone ready?\Are we really going to be able to wrap this up in one more episode?\We could do a theatrical release or extras on releases. There are plenty of ways.\What the hell did Cross in Cross Ange mean, anyway?\To the End of Time\Ange is always cross, I guess? response:	It's a pun?!
