context: That bastard! Where the hell did he go? response:	If I go into the alley, I'll only get cornered.
context: Th-That sounds scary.\Well, it's not uncommon, you know.\But I hear they've stopped construction for the last few days.\Stopped it?\Th-Then it's like a vacant house right now?\Pretty sketchy, huh?\All right, why don't we go inside and check it out?\B-But how are we gonna do that? response:	Hey, hey, just leave it to me.
context: Well, it's not uncommon, you know.\But I hear they've stopped construction for the last few days.\Stopped it?\Th-Then it's like a vacant house right now?\Pretty sketchy, huh?\All right, why don't we go inside and check it out?\B-But how are we gonna do that?\Hey, hey, just leave it to me. response:	Keep an eye out for me, will you?
context: But I hear they've stopped construction for the last few days.\Stopped it?\Th-Then it's like a vacant house right now?\Pretty sketchy, huh?\All right, why don't we go inside and check it out?\B-But how are we gonna do that?\Hey, hey, just leave it to me.\Keep an eye out for me, will you? response:	All right!
context: Stopped it?\Th-Then it's like a vacant house right now?\Pretty sketchy, huh?\All right, why don't we go inside and check it out?\B-But how are we gonna do that?\Hey, hey, just leave it to me.\Keep an eye out for me, will you?\All right! response:	Okay, now we're in business!
context: Th-Then it's like a vacant house right now?\Pretty sketchy, huh?\All right, why don't we go inside and check it out?\B-But how are we gonna do that?\Hey, hey, just leave it to me.\Keep an eye out for me, will you?\All right!\Okay, now we're in business! response:	All right, why don't we...
context: Pretty sketchy, huh?\All right, why don't we go inside and check it out?\B-But how are we gonna do that?\Hey, hey, just leave it to me.\Keep an eye out for me, will you?\All right!\Okay, now we're in business!\All right, why don't we... response:	Hey, come on!
context: All right, why don't we go inside and check it out?\B-But how are we gonna do that?\Hey, hey, just leave it to me.\Keep an eye out for me, will you?\All right!\Okay, now we're in business!\All right, why don't we...\Hey, come on! response:	This isn't anything hard core!
context: B-But how are we gonna do that?\Hey, hey, just leave it to me.\Keep an eye out for me, will you?\All right!\Okay, now we're in business!\All right, why don't we...\Hey, come on!\This isn't anything hard core! response:	I just used some tools I picked up online,
context: Hey, hey, just leave it to me.\Keep an eye out for me, will you?\All right!\Okay, now we're in business!\All right, why don't we...\Hey, come on!\This isn't anything hard core!\I just used some tools I picked up online, response:	and I've only ever tried it out a few times.
context: Keep an eye out for me, will you?\All right!\Okay, now we're in business!\All right, why don't we...\Hey, come on!\This isn't anything hard core!\I just used some tools I picked up online,\and I've only ever tried it out a few times. response:	That was too easy for you.
context: All right!\Okay, now we're in business!\All right, why don't we...\Hey, come on!\This isn't anything hard core!\I just used some tools I picked up online,\and I've only ever tried it out a few times.\That was too easy for you. response:	Now, now...
context: Okay, now we're in business!\All right, why don't we...\Hey, come on!\This isn't anything hard core!\I just used some tools I picked up online,\and I've only ever tried it out a few times.\That was too easy for you.\Now, now... response:	Come on, let's get going!
context: All right, why don't we...\Hey, come on!\This isn't anything hard core!\I just used some tools I picked up online,\and I've only ever tried it out a few times.\That was too easy for you.\Now, now...\Come on, let's get going! response:	The place seems to be deserted, huh?
context: Hey, come on!\This isn't anything hard core!\I just used some tools I picked up online,\and I've only ever tried it out a few times.\That was too easy for you.\Now, now...\Come on, let's get going!\The place seems to be deserted, huh? response:	Upstairs or downstairs?
context: This isn't anything hard core!\I just used some tools I picked up online,\and I've only ever tried it out a few times.\That was too easy for you.\Now, now...\Come on, let's get going!\The place seems to be deserted, huh?\Upstairs or downstairs? response:	Either way, I think we should all stick together.
context: I just used some tools I picked up online,\and I've only ever tried it out a few times.\That was too easy for you.\Now, now...\Come on, let's get going!\The place seems to be deserted, huh?\Upstairs or downstairs?\Either way, I think we should all stick together. response:	I heartily second that motion.
context: and I've only ever tried it out a few times.\That was too easy for you.\Now, now...\Come on, let's get going!\The place seems to be deserted, huh?\Upstairs or downstairs?\Either way, I think we should all stick together.\I heartily second that motion. response:	Since I'm not a good brawler.
context: That was too easy for you.\Now, now...\Come on, let's get going!\The place seems to be deserted, huh?\Upstairs or downstairs?\Either way, I think we should all stick together.\I heartily second that motion.\Since I'm not a good brawler. response:	This is the part where you say, I'm a man, leave it to me.
context: Now, now...\Come on, let's get going!\The place seems to be deserted, huh?\Upstairs or downstairs?\Either way, I think we should all stick together.\I heartily second that motion.\Since I'm not a good brawler.\This is the part where you say, I'm a man, leave it to me. response:	But there is such a thing as right man, right job!
context: Come on, let's get going!\The place seems to be deserted, huh?\Upstairs or downstairs?\Either way, I think we should all stick together.\I heartily second that motion.\Since I'm not a good brawler.\This is the part where you say, I'm a man, leave it to me.\But there is such a thing as right man, right job! response:	Besides, I've done my due diligence.
context: The place seems to be deserted, huh?\Upstairs or downstairs?\Either way, I think we should all stick together.\I heartily second that motion.\Since I'm not a good brawler.\This is the part where you say, I'm a man, leave it to me.\But there is such a thing as right man, right job!\Besides, I've done my due diligence. response:	Due diligence?
context: Upstairs or downstairs?\Either way, I think we should all stick together.\I heartily second that motion.\Since I'm not a good brawler.\This is the part where you say, I'm a man, leave it to me.\But there is such a thing as right man, right job!\Besides, I've done my due diligence.\Due diligence? response:	Since I won't be of any use myself,
context: Either way, I think we should all stick together.\I heartily second that motion.\Since I'm not a good brawler.\This is the part where you say, I'm a man, leave it to me.\But there is such a thing as right man, right job!\Besides, I've done my due diligence.\Due diligence?\Since I won't be of any use myself, response:	all I have to do is call on someone who will be, right?
context: I heartily second that motion.\Since I'm not a good brawler.\This is the part where you say, I'm a man, leave it to me.\But there is such a thing as right man, right job!\Besides, I've done my due diligence.\Due diligence?\Since I won't be of any use myself,\all I have to do is call on someone who will be, right? response:	What the hell's that?!
context: Since I'm not a good brawler.\This is the part where you say, I'm a man, leave it to me.\But there is such a thing as right man, right job!\Besides, I've done my due diligence.\Due diligence?\Since I won't be of any use myself,\all I have to do is call on someone who will be, right?\What the hell's that?! response:	Is that... Is that a human?
context: This is the part where you say, I'm a man, leave it to me.\But there is such a thing as right man, right job!\Besides, I've done my due diligence.\Due diligence?\Since I won't be of any use myself,\all I have to do is call on someone who will be, right?\What the hell's that?!\Is that... Is that a human? response:	There's all this Mana concentrated around there.
context: But there is such a thing as right man, right job!\Besides, I've done my due diligence.\Due diligence?\Since I won't be of any use myself,\all I have to do is call on someone who will be, right?\What the hell's that?!\Is that... Is that a human?\There's all this Mana concentrated around there. response:	It's probably Setting Magic.
context: Besides, I've done my due diligence.\Due diligence?\Since I won't be of any use myself,\all I have to do is call on someone who will be, right?\What the hell's that?!\Is that... Is that a human?\There's all this Mana concentrated around there.\It's probably Setting Magic. response:	Either way, looks like we are in the right place!
context: Due diligence?\Since I won't be of any use myself,\all I have to do is call on someone who will be, right?\What the hell's that?!\Is that... Is that a human?\There's all this Mana concentrated around there.\It's probably Setting Magic.\Either way, looks like we are in the right place! response:	What the hell? That wasn't much of a spell.
context: Since I won't be of any use myself,\all I have to do is call on someone who will be, right?\What the hell's that?!\Is that... Is that a human?\There's all this Mana concentrated around there.\It's probably Setting Magic.\Either way, looks like we are in the right place!\What the hell? That wasn't much of a spell. response:	I'll bet even I can handle...
context: all I have to do is call on someone who will be, right?\What the hell's that?!\Is that... Is that a human?\There's all this Mana concentrated around there.\It's probably Setting Magic.\Either way, looks like we are in the right place!\What the hell? That wasn't much of a spell.\I'll bet even I can handle... response:	How many do you think there are?
context: What the hell's that?!\Is that... Is that a human?\There's all this Mana concentrated around there.\It's probably Setting Magic.\Either way, looks like we are in the right place!\What the hell? That wasn't much of a spell.\I'll bet even I can handle...\How many do you think there are? response:	Don't ask me.
context: Is that... Is that a human?\There's all this Mana concentrated around there.\It's probably Setting Magic.\Either way, looks like we are in the right place!\What the hell? That wasn't much of a spell.\I'll bet even I can handle...\How many do you think there are?\Don't ask me. response:	Hey, this must be autonomous-type power, right?
context: There's all this Mana concentrated around there.\It's probably Setting Magic.\Either way, looks like we are in the right place!\What the hell? That wasn't much of a spell.\I'll bet even I can handle...\How many do you think there are?\Don't ask me.\Hey, this must be autonomous-type power, right? response:	These guys can only execute simple commands for the most part!
context: It's probably Setting Magic.\Either way, looks like we are in the right place!\What the hell? That wasn't much of a spell.\I'll bet even I can handle...\How many do you think there are?\Don't ask me.\Hey, this must be autonomous-type power, right?\These guys can only execute simple commands for the most part! response:	They must've been ordered to get rid of any intruders!
context: Either way, looks like we are in the right place!\What the hell? That wasn't much of a spell.\I'll bet even I can handle...\How many do you think there are?\Don't ask me.\Hey, this must be autonomous-type power, right?\These guys can only execute simple commands for the most part!\They must've been ordered to get rid of any intruders! response:	I see.
context: What the hell? That wasn't much of a spell.\I'll bet even I can handle...\How many do you think there are?\Don't ask me.\Hey, this must be autonomous-type power, right?\These guys can only execute simple commands for the most part!\They must've been ordered to get rid of any intruders!\I see. response:	Then there's no reason for us to deal with them.
context: I'll bet even I can handle...\How many do you think there are?\Don't ask me.\Hey, this must be autonomous-type power, right?\These guys can only execute simple commands for the most part!\They must've been ordered to get rid of any intruders!\I see.\Then there's no reason for us to deal with them. response:	Kirin! Sorry!
context: How many do you think there are?\Don't ask me.\Hey, this must be autonomous-type power, right?\These guys can only execute simple commands for the most part!\They must've been ordered to get rid of any intruders!\I see.\Then there's no reason for us to deal with them.\Kirin! Sorry! response:	Can you cover me for a second?
context: Don't ask me.\Hey, this must be autonomous-type power, right?\These guys can only execute simple commands for the most part!\They must've been ordered to get rid of any intruders!\I see.\Then there's no reason for us to deal with them.\Kirin! Sorry!\Can you cover me for a second? response:	Roger that!
context: Hey, this must be autonomous-type power, right?\These guys can only execute simple commands for the most part!\They must've been ordered to get rid of any intruders!\I see.\Then there's no reason for us to deal with them.\Kirin! Sorry!\Can you cover me for a second?\Roger that! response:	My legs...
context: These guys can only execute simple commands for the most part!\They must've been ordered to get rid of any intruders!\I see.\Then there's no reason for us to deal with them.\Kirin! Sorry!\Can you cover me for a second?\Roger that!\My legs... response:	39-type Lux Ray Gun, Wolfdora...
context: They must've been ordered to get rid of any intruders!\I see.\Then there's no reason for us to deal with them.\Kirin! Sorry!\Can you cover me for a second?\Roger that!\My legs...\39-type Lux Ray Gun, Wolfdora... response:	Burst.
context: I see.\Then there's no reason for us to deal with them.\Kirin! Sorry!\Can you cover me for a second?\Roger that!\My legs...\39-type Lux Ray Gun, Wolfdora...\Burst. response:	Strafe.
context: Then there's no reason for us to deal with them.\Kirin! Sorry!\Can you cover me for a second?\Roger that!\My legs...\39-type Lux Ray Gun, Wolfdora...\Burst.\Strafe. response:	Are you all right, Saya?
context: Kirin! Sorry!\Can you cover me for a second?\Roger that!\My legs...\39-type Lux Ray Gun, Wolfdora...\Burst.\Strafe.\Are you all right, Saya? response:	No problem.
context: Can you cover me for a second?\Roger that!\My legs...\39-type Lux Ray Gun, Wolfdora...\Burst.\Strafe.\Are you all right, Saya?\No problem. response:	I probably only have two or three more shots left, huh?
context: Roger that!\My legs...\39-type Lux Ray Gun, Wolfdora...\Burst.\Strafe.\Are you all right, Saya?\No problem.\I probably only have two or three more shots left, huh? response:	Hey! I think it's too soon to relax!
context: My legs...\39-type Lux Ray Gun, Wolfdora...\Burst.\Strafe.\Are you all right, Saya?\No problem.\I probably only have two or three more shots left, huh?\Hey! I think it's too soon to relax! response:	What? Not again!
context: 39-type Lux Ray Gun, Wolfdora...\Burst.\Strafe.\Are you all right, Saya?\No problem.\I probably only have two or three more shots left, huh?\Hey! I think it's too soon to relax!\What? Not again! response:	Th-This could be endless!
context: Burst.\Strafe.\Are you all right, Saya?\No problem.\I probably only have two or three more shots left, huh?\Hey! I think it's too soon to relax!\What? Not again!\Th-This could be endless! response:	Kirin, I know it's a little reckless, but we're going to charge in.
context: Strafe.\Are you all right, Saya?\No problem.\I probably only have two or three more shots left, huh?\Hey! I think it's too soon to relax!\What? Not again!\Th-This could be endless!\Kirin, I know it's a little reckless, but we're going to charge in. response:	Yes... I think that's our only choice.
context: Are you all right, Saya?\No problem.\I probably only have two or three more shots left, huh?\Hey! I think it's too soon to relax!\What? Not again!\Th-This could be endless!\Kirin, I know it's a little reckless, but we're going to charge in.\Yes... I think that's our only choice. response:	Jeez!
context: No problem.\I probably only have two or three more shots left, huh?\Hey! I think it's too soon to relax!\What? Not again!\Th-This could be endless!\Kirin, I know it's a little reckless, but we're going to charge in.\Yes... I think that's our only choice.\Jeez! response:	What the hell do you think you're doing?!
context: I probably only have two or three more shots left, huh?\Hey! I think it's too soon to relax!\What? Not again!\Th-This could be endless!\Kirin, I know it's a little reckless, but we're going to charge in.\Yes... I think that's our only choice.\Jeez!\What the hell do you think you're doing?! response:	Just the man I've been waiting for!
context: Hey! I think it's too soon to relax!\What? Not again!\Th-This could be endless!\Kirin, I know it's a little reckless, but we're going to charge in.\Yes... I think that's our only choice.\Jeez!\What the hell do you think you're doing?!\Just the man I've been waiting for! response:	MacPhail-senpai!
context: What? Not again!\Th-This could be endless!\Kirin, I know it's a little reckless, but we're going to charge in.\Yes... I think that's our only choice.\Jeez!\What the hell do you think you're doing?!\Just the man I've been waiting for!\MacPhail-senpai! response:	Why are you here?
context: Th-This could be endless!\Kirin, I know it's a little reckless, but we're going to charge in.\Yes... I think that's our only choice.\Jeez!\What the hell do you think you're doing?!\Just the man I've been waiting for!\MacPhail-senpai!\Why are you here? response:	Damned Yabuki forced me to come!
context: Kirin, I know it's a little reckless, but we're going to charge in.\Yes... I think that's our only choice.\Jeez!\What the hell do you think you're doing?!\Just the man I've been waiting for!\MacPhail-senpai!\Why are you here?\Damned Yabuki forced me to come! response:	Hey, now. What do you mean by forced?
context: Yes... I think that's our only choice.\Jeez!\What the hell do you think you're doing?!\Just the man I've been waiting for!\MacPhail-senpai!\Why are you here?\Damned Yabuki forced me to come!\Hey, now. What do you mean by forced? response:	All I did was ask you for a favor!
context: Jeez!\What the hell do you think you're doing?!\Just the man I've been waiting for!\MacPhail-senpai!\Why are you here?\Damned Yabuki forced me to come!\Hey, now. What do you mean by forced?\All I did was ask you for a favor! response:	Blackmailing as a negotiating tactic! Is that how you ask for favors?!
context: What the hell do you think you're doing?!\Just the man I've been waiting for!\MacPhail-senpai!\Why are you here?\Damned Yabuki forced me to come!\Hey, now. What do you mean by forced?\All I did was ask you for a favor!\Blackmailing as a negotiating tactic! Is that how you ask for favors?! response:	Threatening is more like it!
context: Just the man I've been waiting for!\MacPhail-senpai!\Why are you here?\Damned Yabuki forced me to come!\Hey, now. What do you mean by forced?\All I did was ask you for a favor!\Blackmailing as a negotiating tactic! Is that how you ask for favors?!\Threatening is more like it! response:	Okay, MacPhail, take care of the rest, okay?
context: MacPhail-senpai!\Why are you here?\Damned Yabuki forced me to come!\Hey, now. What do you mean by forced?\All I did was ask you for a favor!\Blackmailing as a negotiating tactic! Is that how you ask for favors?!\Threatening is more like it!\Okay, MacPhail, take care of the rest, okay? response:	Hey!
context: Why are you here?\Damned Yabuki forced me to come!\Hey, now. What do you mean by forced?\All I did was ask you for a favor!\Blackmailing as a negotiating tactic! Is that how you ask for favors?!\Threatening is more like it!\Okay, MacPhail, take care of the rest, okay?\Hey! response:	W-We're so sorry!
context: Damned Yabuki forced me to come!\Hey, now. What do you mean by forced?\All I did was ask you for a favor!\Blackmailing as a negotiating tactic! Is that how you ask for favors?!\Threatening is more like it!\Okay, MacPhail, take care of the rest, okay?\Hey!\W-We're so sorry! response:	We're counting on you to take care of this!
context: Hey, now. What do you mean by forced?\All I did was ask you for a favor!\Blackmailing as a negotiating tactic! Is that how you ask for favors?!\Threatening is more like it!\Okay, MacPhail, take care of the rest, okay?\Hey!\W-We're so sorry!\We're counting on you to take care of this! response:	H-Hey!
context: All I did was ask you for a favor!\Blackmailing as a negotiating tactic! Is that how you ask for favors?!\Threatening is more like it!\Okay, MacPhail, take care of the rest, okay?\Hey!\W-We're so sorry!\We're counting on you to take care of this!\H-Hey! response:	Well, then, best of luck, man!
context: Blackmailing as a negotiating tactic! Is that how you ask for favors?!\Threatening is more like it!\Okay, MacPhail, take care of the rest, okay?\Hey!\W-We're so sorry!\We're counting on you to take care of this!\H-Hey!\Well, then, best of luck, man! response:	H-Hold up, you guys!
context: Threatening is more like it!\Okay, MacPhail, take care of the rest, okay?\Hey!\W-We're so sorry!\We're counting on you to take care of this!\H-Hey!\Well, then, best of luck, man!\H-Hold up, you guys! response:	So Kirin... upstairs or downstairs?
context: Okay, MacPhail, take care of the rest, okay?\Hey!\W-We're so sorry!\We're counting on you to take care of this!\H-Hey!\Well, then, best of luck, man!\H-Hold up, you guys!\So Kirin... upstairs or downstairs? response:	Which do you think, Saya?
context: Hey!\W-We're so sorry!\We're counting on you to take care of this!\H-Hey!\Well, then, best of luck, man!\H-Hold up, you guys!\So Kirin... upstairs or downstairs?\Which do you think, Saya? response:	Down.
context: W-We're so sorry!\We're counting on you to take care of this!\H-Hey!\Well, then, best of luck, man!\H-Hold up, you guys!\So Kirin... upstairs or downstairs?\Which do you think, Saya?\Down. response:	Me, too.
context: We're counting on you to take care of this!\H-Hey!\Well, then, best of luck, man!\H-Hold up, you guys!\So Kirin... upstairs or downstairs?\Which do you think, Saya?\Down.\Me, too. response:	I heard what's going down.
context: H-Hey!\Well, then, best of luck, man!\H-Hold up, you guys!\So Kirin... upstairs or downstairs?\Which do you think, Saya?\Down.\Me, too.\I heard what's going down. response:	But even still...
context: Well, then, best of luck, man!\H-Hold up, you guys!\So Kirin... upstairs or downstairs?\Which do you think, Saya?\Down.\Me, too.\I heard what's going down.\But even still... response:	Why should I have to take on a role like this?!
context: H-Hold up, you guys!\So Kirin... upstairs or downstairs?\Which do you think, Saya?\Down.\Me, too.\I heard what's going down.\But even still...\Why should I have to take on a role like this?! response:	COUNTDOWN TO THE FINAL
context: So Kirin... upstairs or downstairs?\Which do you think, Saya?\Down.\Me, too.\I heard what's going down.\But even still...\Why should I have to take on a role like this?!\COUNTDOWN TO THE FINAL response:	It's almost time, huh?
context: Which do you think, Saya?\Down.\Me, too.\I heard what's going down.\But even still...\Why should I have to take on a role like this?!\COUNTDOWN TO THE FINAL\It's almost time, huh? response:	Is it?
context: Down.\Me, too.\I heard what's going down.\But even still...\Why should I have to take on a role like this?!\COUNTDOWN TO THE FINAL\It's almost time, huh?\Is it? response:	We never did hear from Saya and Kirin, did we?
context: Me, too.\I heard what's going down.\But even still...\Why should I have to take on a role like this?!\COUNTDOWN TO THE FINAL\It's almost time, huh?\Is it?\We never did hear from Saya and Kirin, did we? response:	Julis...
context: I heard what's going down.\But even still...\Why should I have to take on a role like this?!\COUNTDOWN TO THE FINAL\It's almost time, huh?\Is it?\We never did hear from Saya and Kirin, did we?\Julis... response:	Don't give me that look, Ayato.
context: But even still...\Why should I have to take on a role like this?!\COUNTDOWN TO THE FINAL\It's almost time, huh?\Is it?\We never did hear from Saya and Kirin, did we?\Julis...\Don't give me that look, Ayato. response:	Come on, let's go.
context: Why should I have to take on a role like this?!\COUNTDOWN TO THE FINAL\It's almost time, huh?\Is it?\We never did hear from Saya and Kirin, did we?\Julis...\Don't give me that look, Ayato.\Come on, let's go. response:	Hey, Ayato...
context: COUNTDOWN TO THE FINAL\It's almost time, huh?\Is it?\We never did hear from Saya and Kirin, did we?\Julis...\Don't give me that look, Ayato.\Come on, let's go.\Hey, Ayato... response:	It's nice to have friends you can trust, isn't it?
context: It's almost time, huh?\Is it?\We never did hear from Saya and Kirin, did we?\Julis...\Don't give me that look, Ayato.\Come on, let's go.\Hey, Ayato...\It's nice to have friends you can trust, isn't it? response:	The thing about me, Ayato...
context: Is it?\We never did hear from Saya and Kirin, did we?\Julis...\Don't give me that look, Ayato.\Come on, let's go.\Hey, Ayato...\It's nice to have friends you can trust, isn't it?\The thing about me, Ayato... response:	Flora... Everyone back home... They mean everything to me.
context: We never did hear from Saya and Kirin, did we?\Julis...\Don't give me that look, Ayato.\Come on, let's go.\Hey, Ayato...\It's nice to have friends you can trust, isn't it?\The thing about me, Ayato...\Flora... Everyone back home... They mean everything to me. response:	That's why I swore I'd do anything for them,
context: Julis...\Don't give me that look, Ayato.\Come on, let's go.\Hey, Ayato...\It's nice to have friends you can trust, isn't it?\The thing about me, Ayato...\Flora... Everyone back home... They mean everything to me.\That's why I swore I'd do anything for them, response:	and I always thought they were all I'd ever need.
context: Don't give me that look, Ayato.\Come on, let's go.\Hey, Ayato...\It's nice to have friends you can trust, isn't it?\The thing about me, Ayato...\Flora... Everyone back home... They mean everything to me.\That's why I swore I'd do anything for them,\and I always thought they were all I'd ever need. response:	But now that I think of it,
context: Come on, let's go.\Hey, Ayato...\It's nice to have friends you can trust, isn't it?\The thing about me, Ayato...\Flora... Everyone back home... They mean everything to me.\That's why I swore I'd do anything for them,\and I always thought they were all I'd ever need.\But now that I think of it, response:	by doing that, I was only closing off the world.
context: Hey, Ayato...\It's nice to have friends you can trust, isn't it?\The thing about me, Ayato...\Flora... Everyone back home... They mean everything to me.\That's why I swore I'd do anything for them,\and I always thought they were all I'd ever need.\But now that I think of it,\by doing that, I was only closing off the world. response:	Ayato...
context: It's nice to have friends you can trust, isn't it?\The thing about me, Ayato...\Flora... Everyone back home... They mean everything to me.\That's why I swore I'd do anything for them,\and I always thought they were all I'd ever need.\But now that I think of it,\by doing that, I was only closing off the world.\Ayato... response:	Because I have you as my, uh...
context: The thing about me, Ayato...\Flora... Everyone back home... They mean everything to me.\That's why I swore I'd do anything for them,\and I always thought they were all I'd ever need.\But now that I think of it,\by doing that, I was only closing off the world.\Ayato...\Because I have you as my, uh... response:	my partner...
context: Flora... Everyone back home... They mean everything to me.\That's why I swore I'd do anything for them,\and I always thought they were all I'd ever need.\But now that I think of it,\by doing that, I was only closing off the world.\Ayato...\Because I have you as my, uh...\my partner... response:	that really hit home.
context: That's why I swore I'd do anything for them,\and I always thought they were all I'd ever need.\But now that I think of it,\by doing that, I was only closing off the world.\Ayato...\Because I have you as my, uh...\my partner...\that really hit home. response:	Julis...
context: and I always thought they were all I'd ever need.\But now that I think of it,\by doing that, I was only closing off the world.\Ayato...\Because I have you as my, uh...\my partner...\that really hit home.\Julis... response:	I know I'm not done making more friends I can cherish.
context: But now that I think of it,\by doing that, I was only closing off the world.\Ayato...\Because I have you as my, uh...\my partner...\that really hit home.\Julis...\I know I'm not done making more friends I can cherish. response:	Like Saya and Kirin, you know?
context: by doing that, I was only closing off the world.\Ayato...\Because I have you as my, uh...\my partner...\that really hit home.\Julis...\I know I'm not done making more friends I can cherish.\Like Saya and Kirin, you know? response:	Right now, I can believe in them whole-heartedly.
context: Ayato...\Because I have you as my, uh...\my partner...\that really hit home.\Julis...\I know I'm not done making more friends I can cherish.\Like Saya and Kirin, you know?\Right now, I can believe in them whole-heartedly. response:	So don't worry.
context: Because I have you as my, uh...\my partner...\that really hit home.\Julis...\I know I'm not done making more friends I can cherish.\Like Saya and Kirin, you know?\Right now, I can believe in them whole-heartedly.\So don't worry. response:	I'll be fine!
context: my partner...\that really hit home.\Julis...\I know I'm not done making more friends I can cherish.\Like Saya and Kirin, you know?\Right now, I can believe in them whole-heartedly.\So don't worry.\I'll be fine! response:	I see...
context: that really hit home.\Julis...\I know I'm not done making more friends I can cherish.\Like Saya and Kirin, you know?\Right now, I can believe in them whole-heartedly.\So don't worry.\I'll be fine!\I see... response:	That's good, then.
context: Julis...\I know I'm not done making more friends I can cherish.\Like Saya and Kirin, you know?\Right now, I can believe in them whole-heartedly.\So don't worry.\I'll be fine!\I see...\That's good, then. response:	All right, emerging from the east gate
context: I know I'm not done making more friends I can cherish.\Like Saya and Kirin, you know?\Right now, I can believe in them whole-heartedly.\So don't worry.\I'll be fine!\I see...\That's good, then.\All right, emerging from the east gate response:	is Seidoukan Academy's Amagiri/Riessfeld team!
context: Like Saya and Kirin, you know?\Right now, I can believe in them whole-heartedly.\So don't worry.\I'll be fine!\I see...\That's good, then.\All right, emerging from the east gate\is Seidoukan Academy's Amagiri/Riessfeld team! response:	And from the west gate, Arlequint Academy's AR-D/RM-C team!
context: Right now, I can believe in them whole-heartedly.\So don't worry.\I'll be fine!\I see...\That's good, then.\All right, emerging from the east gate\is Seidoukan Academy's Amagiri/Riessfeld team!\And from the west gate, Arlequint Academy's AR-D/RM-C team! response:	We've seen all kinds of battles over the last two weeks,
context: So don't worry.\I'll be fine!\I see...\That's good, then.\All right, emerging from the east gate\is Seidoukan Academy's Amagiri/Riessfeld team!\And from the west gate, Arlequint Academy's AR-D/RM-C team!\We've seen all kinds of battles over the last two weeks, response:	and now the Phoenix Festa is down to its last battle!
context: I'll be fine!\I see...\That's good, then.\All right, emerging from the east gate\is Seidoukan Academy's Amagiri/Riessfeld team!\And from the west gate, Arlequint Academy's AR-D/RM-C team!\We've seen all kinds of battles over the last two weeks,\and now the Phoenix Festa is down to its last battle! response:	This is the final match!
context: I see...\That's good, then.\All right, emerging from the east gate\is Seidoukan Academy's Amagiri/Riessfeld team!\And from the west gate, Arlequint Academy's AR-D/RM-C team!\We've seen all kinds of battles over the last two weeks,\and now the Phoenix Festa is down to its last battle!\This is the final match! response:	Oh, wow, I can't wait!
context: That's good, then.\All right, emerging from the east gate\is Seidoukan Academy's Amagiri/Riessfeld team!\And from the west gate, Arlequint Academy's AR-D/RM-C team!\We've seen all kinds of battles over the last two weeks,\and now the Phoenix Festa is down to its last battle!\This is the final match!\Oh, wow, I can't wait! response:	It really is mystifying.
context: All right, emerging from the east gate\is Seidoukan Academy's Amagiri/Riessfeld team!\And from the west gate, Arlequint Academy's AR-D/RM-C team!\We've seen all kinds of battles over the last two weeks,\and now the Phoenix Festa is down to its last battle!\This is the final match!\Oh, wow, I can't wait!\It really is mystifying. response:	Despite our situation...
context: is Seidoukan Academy's Amagiri/Riessfeld team!\And from the west gate, Arlequint Academy's AR-D/RM-C team!\We've seen all kinds of battles over the last two weeks,\and now the Phoenix Festa is down to its last battle!\This is the final match!\Oh, wow, I can't wait!\It really is mystifying.\Despite our situation... response:	Right now, I want to win this match so badly, I can hardly stand it!
context: And from the west gate, Arlequint Academy's AR-D/RM-C team!\We've seen all kinds of battles over the last two weeks,\and now the Phoenix Festa is down to its last battle!\This is the final match!\Oh, wow, I can't wait!\It really is mystifying.\Despite our situation...\Right now, I want to win this match so badly, I can hardly stand it! response:	Yeah, same here.
context: We've seen all kinds of battles over the last two weeks,\and now the Phoenix Festa is down to its last battle!\This is the final match!\Oh, wow, I can't wait!\It really is mystifying.\Despite our situation...\Right now, I want to win this match so badly, I can hardly stand it!\Yeah, same here. response:	All right, then,
context: and now the Phoenix Festa is down to its last battle!\This is the final match!\Oh, wow, I can't wait!\It really is mystifying.\Despite our situation...\Right now, I want to win this match so badly, I can hardly stand it!\Yeah, same here.\All right, then, response:	let's go for it all, you and I!
context: This is the final match!\Oh, wow, I can't wait!\It really is mystifying.\Despite our situation...\Right now, I want to win this match so badly, I can hardly stand it!\Yeah, same here.\All right, then,\let's go for it all, you and I! response:	Why don't we take everything we've ever wanted?
context: Oh, wow, I can't wait!\It really is mystifying.\Despite our situation...\Right now, I want to win this match so badly, I can hardly stand it!\Yeah, same here.\All right, then,\let's go for it all, you and I!\Why don't we take everything we've ever wanted? response:	Without missing a single one, right?
context: It really is mystifying.\Despite our situation...\Right now, I want to win this match so badly, I can hardly stand it!\Yeah, same here.\All right, then,\let's go for it all, you and I!\Why don't we take everything we've ever wanted?\Without missing a single one, right? response:	So we meet at last, Ayato Amagiri!
context: Despite our situation...\Right now, I want to win this match so badly, I can hardly stand it!\Yeah, same here.\All right, then,\let's go for it all, you and I!\Why don't we take everything we've ever wanted?\Without missing a single one, right?\So we meet at last, Ayato Amagiri! response:	I have been looking forward to this day!
context: Right now, I want to win this match so badly, I can hardly stand it!\Yeah, same here.\All right, then,\let's go for it all, you and I!\Why don't we take everything we've ever wanted?\Without missing a single one, right?\So we meet at last, Ayato Amagiri!\I have been looking forward to this day! response:	As I'm always hearing about you from my master,
