context: I'm going to run in the Hakone Ekiden. response:	Starting today, I'm going to win over all the guys.
context: An ogre has arrived in hell!\What? The landlord's bath broke?\Surely Haiji didn't...\Don't say it. I don't want to think about it.\Well, Kurahara? Nice bathhouse, right?\Everyone else thinks it's too hot, though.\So do you.\You're never in for more than a minute. response:	You're here.
context: What? The landlord's bath broke?\Surely Haiji didn't...\Don't say it. I don't want to think about it.\Well, Kurahara? Nice bathhouse, right?\Everyone else thinks it's too hot, though.\So do you.\You're never in for more than a minute.\You're here. response:	Oh, excuse me.
context: Surely Haiji didn't...\Don't say it. I don't want to think about it.\Well, Kurahara? Nice bathhouse, right?\Everyone else thinks it's too hot, though.\So do you.\You're never in for more than a minute.\You're here.\Oh, excuse me. response:	Haiji, are these guys...
context: Don't say it. I don't want to think about it.\Well, Kurahara? Nice bathhouse, right?\Everyone else thinks it's too hot, though.\So do you.\You're never in for more than a minute.\You're here.\Oh, excuse me.\Haiji, are these guys... response:	Yes. They're the residents of Aotake.
context: Well, Kurahara? Nice bathhouse, right?\Everyone else thinks it's too hot, though.\So do you.\You're never in for more than a minute.\You're here.\Oh, excuse me.\Haiji, are these guys...\Yes. They're the residents of Aotake. response:	I see.
context: Everyone else thinks it's too hot, though.\So do you.\You're never in for more than a minute.\You're here.\Oh, excuse me.\Haiji, are these guys...\Yes. They're the residents of Aotake.\I see. response:	So you've finally got ten.
context: So do you.\You're never in for more than a minute.\You're here.\Oh, excuse me.\Haiji, are these guys...\Yes. They're the residents of Aotake.\I see.\So you've finally got ten. response:	No.
context: You're never in for more than a minute.\You're here.\Oh, excuse me.\Haiji, are these guys...\Yes. They're the residents of Aotake.\I see.\So you've finally got ten.\No. response:	I'm not a resident.
context: You're here.\Oh, excuse me.\Haiji, are these guys...\Yes. They're the residents of Aotake.\I see.\So you've finally got ten.\No.\I'm not a resident. response:	I met him after I left yesterday.
context: Oh, excuse me.\Haiji, are these guys...\Yes. They're the residents of Aotake.\I see.\So you've finally got ten.\No.\I'm not a resident.\I met him after I left yesterday. response:	He's new, huh?
context: Haiji, are these guys...\Yes. They're the residents of Aotake.\I see.\So you've finally got ten.\No.\I'm not a resident.\I met him after I left yesterday.\He's new, huh? response:	I said I'm not
context: Yes. They're the residents of Aotake.\I see.\So you've finally got ten.\No.\I'm not a resident.\I met him after I left yesterday.\He's new, huh?\I said I'm not response:	Let's have a contest.
context: I see.\So you've finally got ten.\No.\I'm not a resident.\I met him after I left yesterday.\He's new, huh?\I said I'm not\Let's have a contest. response:	What?
context: So you've finally got ten.\No.\I'm not a resident.\I met him after I left yesterday.\He's new, huh?\I said I'm not\Let's have a contest.\What? response:	To see who can stay in the bath longer.
context: No.\I'm not a resident.\I met him after I left yesterday.\He's new, huh?\I said I'm not\Let's have a contest.\What?\To see who can stay in the bath longer. response:	What?
context: I'm not a resident.\I met him after I left yesterday.\He's new, huh?\I said I'm not\Let's have a contest.\What?\To see who can stay in the bath longer.\What? response:	The loser does whatever the winner says.
context: I met him after I left yesterday.\He's new, huh?\I said I'm not\Let's have a contest.\What?\To see who can stay in the bath longer.\What?\The loser does whatever the winner says. response:	You don't have to accept his challenge, Kurahara.
context: He's new, huh?\I said I'm not\Let's have a contest.\What?\To see who can stay in the bath longer.\What?\The loser does whatever the winner says.\You don't have to accept his challenge, Kurahara. response:	If you refuse, I'll assume you're running away.
context: I said I'm not\Let's have a contest.\What?\To see who can stay in the bath longer.\What?\The loser does whatever the winner says.\You don't have to accept his challenge, Kurahara.\If you refuse, I'll assume you're running away. response:	If you want to run, then run. I won't keep chasing you.
context: Let's have a contest.\What?\To see who can stay in the bath longer.\What?\The loser does whatever the winner says.\You don't have to accept his challenge, Kurahara.\If you refuse, I'll assume you're running away.\If you want to run, then run. I won't keep chasing you. response:	After all, you're fast...
context: What?\To see who can stay in the bath longer.\What?\The loser does whatever the winner says.\You don't have to accept his challenge, Kurahara.\If you refuse, I'll assume you're running away.\If you want to run, then run. I won't keep chasing you.\After all, you're fast... response:	It's been three minutes.
context: To see who can stay in the bath longer.\What?\The loser does whatever the winner says.\You don't have to accept his challenge, Kurahara.\If you refuse, I'll assume you're running away.\If you want to run, then run. I won't keep chasing you.\After all, you're fast...\It's been three minutes. response:	Hey, don't push yourselves too hard.
context: What?\The loser does whatever the winner says.\You don't have to accept his challenge, Kurahara.\If you refuse, I'll assume you're running away.\If you want to run, then run. I won't keep chasing you.\After all, you're fast...\It's been three minutes.\Hey, don't push yourselves too hard. response:	You heard him.
context: The loser does whatever the winner says.\You don't have to accept his challenge, Kurahara.\If you refuse, I'll assume you're running away.\If you want to run, then run. I won't keep chasing you.\After all, you're fast...\It's been three minutes.\Hey, don't push yourselves too hard.\You heard him. response:	Feel free to get out first.
context: You don't have to accept his challenge, Kurahara.\If you refuse, I'll assume you're running away.\If you want to run, then run. I won't keep chasing you.\After all, you're fast...\It's been three minutes.\Hey, don't push yourselves too hard.\You heard him.\Feel free to get out first. response:	Haiji's tenacity is amazing.
context: If you refuse, I'll assume you're running away.\If you want to run, then run. I won't keep chasing you.\After all, you're fast...\It's been three minutes.\Hey, don't push yourselves too hard.\You heard him.\Feel free to get out first.\Haiji's tenacity is amazing. response:	He's a fourth-year. It's his last year.
context: If you want to run, then run. I won't keep chasing you.\After all, you're fast...\It's been three minutes.\Hey, don't push yourselves too hard.\You heard him.\Feel free to get out first.\Haiji's tenacity is amazing.\He's a fourth-year. It's his last year. response:	Why are you getting so sentimental?
context: After all, you're fast...\It's been three minutes.\Hey, don't push yourselves too hard.\You heard him.\Feel free to get out first.\Haiji's tenacity is amazing.\He's a fourth-year. It's his last year.\Why are you getting so sentimental? response:	You're not going to run with him, are you?
context: It's been three minutes.\Hey, don't push yourselves too hard.\You heard him.\Feel free to get out first.\Haiji's tenacity is amazing.\He's a fourth-year. It's his last year.\Why are you getting so sentimental?\You're not going to run with him, are you? response:	Four minutes.
context: Hey, don't push yourselves too hard.\You heard him.\Feel free to get out first.\Haiji's tenacity is amazing.\He's a fourth-year. It's his last year.\Why are you getting so sentimental?\You're not going to run with him, are you?\Four minutes. response:	Yuki, why don't we have our own contest?
context: You heard him.\Feel free to get out first.\Haiji's tenacity is amazing.\He's a fourth-year. It's his last year.\Why are you getting so sentimental?\You're not going to run with him, are you?\Four minutes.\Yuki, why don't we have our own contest? response:	Huh?
context: Feel free to get out first.\Haiji's tenacity is amazing.\He's a fourth-year. It's his last year.\Why are you getting so sentimental?\You're not going to run with him, are you?\Four minutes.\Yuki, why don't we have our own contest?\Huh? response:	We'll bet on who wins.
context: Haiji's tenacity is amazing.\He's a fourth-year. It's his last year.\Why are you getting so sentimental?\You're not going to run with him, are you?\Four minutes.\Yuki, why don't we have our own contest?\Huh?\We'll bet on who wins. response:	If you win, I'll do whatever you want.
context: He's a fourth-year. It's his last year.\Why are you getting so sentimental?\You're not going to run with him, are you?\Four minutes.\Yuki, why don't we have our own contest?\Huh?\We'll bet on who wins.\If you win, I'll do whatever you want. response:	What? That's not fair.
context: Why are you getting so sentimental?\You're not going to run with him, are you?\Four minutes.\Yuki, why don't we have our own contest?\Huh?\We'll bet on who wins.\If you win, I'll do whatever you want.\What? That's not fair. response:	Hurry up.
context: You're not going to run with him, are you?\Four minutes.\Yuki, why don't we have our own contest?\Huh?\We'll bet on who wins.\If you win, I'll do whatever you want.\What? That's not fair.\Hurry up. response:	The newbie, then.
context: Four minutes.\Yuki, why don't we have our own contest?\Huh?\We'll bet on who wins.\If you win, I'll do whatever you want.\What? That's not fair.\Hurry up.\The newbie, then. response:	Are you even trying to win?
context: Yuki, why don't we have our own contest?\Huh?\We'll bet on who wins.\If you win, I'll do whatever you want.\What? That's not fair.\Hurry up.\The newbie, then.\Are you even trying to win? response:	Water! Water, water!
context: Huh?\We'll bet on who wins.\If you win, I'll do whatever you want.\What? That's not fair.\Hurry up.\The newbie, then.\Are you even trying to win?\Water! Water, water! response:	Hang in there, guys!
context: We'll bet on who wins.\If you win, I'll do whatever you want.\What? That's not fair.\Hurry up.\The newbie, then.\Are you even trying to win?\Water! Water, water!\Hang in there, guys! response:	Why'd you have to be so stubborn?
context: If you win, I'll do whatever you want.\What? That's not fair.\Hurry up.\The newbie, then.\Are you even trying to win?\Water! Water, water!\Hang in there, guys!\Why'd you have to be so stubborn? response:	Not bad, newbie.
context: What? That's not fair.\Hurry up.\The newbie, then.\Are you even trying to win?\Water! Water, water!\Hang in there, guys!\Why'd you have to be so stubborn?\Not bad, newbie. response:	That was disgraceful.
context: Hurry up.\The newbie, then.\Are you even trying to win?\Water! Water, water!\Hang in there, guys!\Why'd you have to be so stubborn?\Not bad, newbie.\That was disgraceful. response:	He's been waiting a long time to get all ten guys.
context: The newbie, then.\Are you even trying to win?\Water! Water, water!\Hang in there, guys!\Why'd you have to be so stubborn?\Not bad, newbie.\That was disgraceful.\He's been waiting a long time to get all ten guys. response:	I think he's reckless, but I've been watching him for four years.
context: Are you even trying to win?\Water! Water, water!\Hang in there, guys!\Why'd you have to be so stubborn?\Not bad, newbie.\That was disgraceful.\He's been waiting a long time to get all ten guys.\I think he's reckless, but I've been watching him for four years. response:	He always follows through when he says he'd do something.
context: Water! Water, water!\Hang in there, guys!\Why'd you have to be so stubborn?\Not bad, newbie.\That was disgraceful.\He's been waiting a long time to get all ten guys.\I think he's reckless, but I've been watching him for four years.\He always follows through when he says he'd do something. response:	In that case, can I make him give up?
context: Hang in there, guys!\Why'd you have to be so stubborn?\Not bad, newbie.\That was disgraceful.\He's been waiting a long time to get all ten guys.\I think he's reckless, but I've been watching him for four years.\He always follows through when he says he'd do something.\In that case, can I make him give up? response:	Can I make him give up?
context: Why'd you have to be so stubborn?\Not bad, newbie.\That was disgraceful.\He's been waiting a long time to get all ten guys.\I think he's reckless, but I've been watching him for four years.\He always follows through when he says he'd do something.\In that case, can I make him give up?\Can I make him give up? response:	I don't know what happened, but go ahead.
context: Not bad, newbie.\That was disgraceful.\He's been waiting a long time to get all ten guys.\I think he's reckless, but I've been watching him for four years.\He always follows through when he says he'd do something.\In that case, can I make him give up?\Can I make him give up?\I don't know what happened, but go ahead. response:	It'll make things easier for me.
context: That was disgraceful.\He's been waiting a long time to get all ten guys.\I think he's reckless, but I've been watching him for four years.\He always follows through when he says he'd do something.\In that case, can I make him give up?\Can I make him give up?\I don't know what happened, but go ahead.\It'll make things easier for me. response:	Wait! I've still got time, right?
context: He's been waiting a long time to get all ten guys.\I think he's reckless, but I've been watching him for four years.\He always follows through when he says he'd do something.\In that case, can I make him give up?\Can I make him give up?\I don't know what happened, but go ahead.\It'll make things easier for me.\Wait! I've still got time, right? response:	Sure, but it's better to start packing early.
context: I think he's reckless, but I've been watching him for four years.\He always follows through when he says he'd do something.\In that case, can I make him give up?\Can I make him give up?\I don't know what happened, but go ahead.\It'll make things easier for me.\Wait! I've still got time, right?\Sure, but it's better to start packing early. response:	Right?
context: He always follows through when he says he'd do something.\In that case, can I make him give up?\Can I make him give up?\I don't know what happened, but go ahead.\It'll make things easier for me.\Wait! I've still got time, right?\Sure, but it's better to start packing early.\Right? response:	Someone help!
context: In that case, can I make him give up?\Can I make him give up?\I don't know what happened, but go ahead.\It'll make things easier for me.\Wait! I've still got time, right?\Sure, but it's better to start packing early.\Right?\Someone help! response:	It's an ogre!
context: Can I make him give up?\I don't know what happened, but go ahead.\It'll make things easier for me.\Wait! I've still got time, right?\Sure, but it's better to start packing early.\Right?\Someone help!\It's an ogre! response:	Next time: A Single Flower.
context: I don't know what happened, but go ahead.\It'll make things easier for me.\Wait! I've still got time, right?\Sure, but it's better to start packing early.\Right?\Someone help!\It's an ogre!\Next time: A Single Flower. response:	Next Time: A Single Flower
