context: Everyone, brace yourselves and listen well! response:	I have an extremely important announcement to make.
context: I couldn't bring myself to tell you.\And time just flew by...\Cornelia is the only woman I ever loved.\She's the only one I married.\She left me after getting frustrated from me always being away on jobs, 18 years ago.\I heard that she had passed away.\But to think she left a child...\I'm sorry, I didn't realize it was you. response:	It's okay.
context: And time just flew by...\Cornelia is the only woman I ever loved.\She's the only one I married.\She left me after getting frustrated from me always being away on jobs, 18 years ago.\I heard that she had passed away.\But to think she left a child...\I'm sorry, I didn't realize it was you.\It's okay. response:	I purposefully hid it from you. Sorry about being so selfish.
context: Cornelia is the only woman I ever loved.\She's the only one I married.\She left me after getting frustrated from me always being away on jobs, 18 years ago.\I heard that she had passed away.\But to think she left a child...\I'm sorry, I didn't realize it was you.\It's okay.\I purposefully hid it from you. Sorry about being so selfish. response:	I finally feel a weight has been lifted off my chest.
context: She's the only one I married.\She left me after getting frustrated from me always being away on jobs, 18 years ago.\I heard that she had passed away.\But to think she left a child...\I'm sorry, I didn't realize it was you.\It's okay.\I purposefully hid it from you. Sorry about being so selfish.\I finally feel a weight has been lifted off my chest. response:	I had a daughter this close to me...
context: She left me after getting frustrated from me always being away on jobs, 18 years ago.\I heard that she had passed away.\But to think she left a child...\I'm sorry, I didn't realize it was you.\It's okay.\I purposefully hid it from you. Sorry about being so selfish.\I finally feel a weight has been lifted off my chest.\I had a daughter this close to me... response:	Don't be like that...
context: I heard that she had passed away.\But to think she left a child...\I'm sorry, I didn't realize it was you.\It's okay.\I purposefully hid it from you. Sorry about being so selfish.\I finally feel a weight has been lifted off my chest.\I had a daughter this close to me...\Don't be like that... response:	I'm not saying you should take responsibility for me or anything.
context: But to think she left a child...\I'm sorry, I didn't realize it was you.\It's okay.\I purposefully hid it from you. Sorry about being so selfish.\I finally feel a weight has been lifted off my chest.\I had a daughter this close to me...\Don't be like that...\I'm not saying you should take responsibility for me or anything. response:	Let's just stay as we are.
context: I'm sorry, I didn't realize it was you.\It's okay.\I purposefully hid it from you. Sorry about being so selfish.\I finally feel a weight has been lifted off my chest.\I had a daughter this close to me...\Don't be like that...\I'm not saying you should take responsibility for me or anything.\Let's just stay as we are. response:	But, let me say this, just once...
context: It's okay.\I purposefully hid it from you. Sorry about being so selfish.\I finally feel a weight has been lifted off my chest.\I had a daughter this close to me...\Don't be like that...\I'm not saying you should take responsibility for me or anything.\Let's just stay as we are.\But, let me say this, just once... response:	I'm glad I got to meet you, Father.
context: I purposefully hid it from you. Sorry about being so selfish.\I finally feel a weight has been lifted off my chest.\I had a daughter this close to me...\Don't be like that...\I'm not saying you should take responsibility for me or anything.\Let's just stay as we are.\But, let me say this, just once...\I'm glad I got to meet you, Father. response:	Cana!
context: I finally feel a weight has been lifted off my chest.\I had a daughter this close to me...\Don't be like that...\I'm not saying you should take responsibility for me or anything.\Let's just stay as we are.\But, let me say this, just once...\I'm glad I got to meet you, Father.\Cana! response:	I'll never let you feel lonely again!
context: I had a daughter this close to me...\Don't be like that...\I'm not saying you should take responsibility for me or anything.\Let's just stay as we are.\But, let me say this, just once...\I'm glad I got to meet you, Father.\Cana!\I'll never let you feel lonely again! response:	Never again!
context: Don't be like that...\I'm not saying you should take responsibility for me or anything.\Let's just stay as we are.\But, let me say this, just once...\I'm glad I got to meet you, Father.\Cana!\I'll never let you feel lonely again!\Never again! response:	From now on, when I go on a job... or out drinking...
context: I'm not saying you should take responsibility for me or anything.\Let's just stay as we are.\But, let me say this, just once...\I'm glad I got to meet you, Father.\Cana!\I'll never let you feel lonely again!\Never again!\From now on, when I go on a job... or out drinking... response:	It'll be together with you, always!
context: Let's just stay as we are.\But, let me say this, just once...\I'm glad I got to meet you, Father.\Cana!\I'll never let you feel lonely again!\Never again!\From now on, when I go on a job... or out drinking...\It'll be together with you, always! response:	That could get a little annoying.
context: But, let me say this, just once...\I'm glad I got to meet you, Father.\Cana!\I'll never let you feel lonely again!\Never again!\From now on, when I go on a job... or out drinking...\It'll be together with you, always!\That could get a little annoying. response:	So... Please give me the right to love you!
context: I'm glad I got to meet you, Father.\Cana!\I'll never let you feel lonely again!\Never again!\From now on, when I go on a job... or out drinking...\It'll be together with you, always!\That could get a little annoying.\So... Please give me the right to love you! response:	Her father, huh?
context: Cana!\I'll never let you feel lonely again!\Never again!\From now on, when I go on a job... or out drinking...\It'll be together with you, always!\That could get a little annoying.\So... Please give me the right to love you!\Her father, huh? response:	When I get back, maybe I'll go see him again.
context: I'll never let you feel lonely again!\Never again!\From now on, when I go on a job... or out drinking...\It'll be together with you, always!\That could get a little annoying.\So... Please give me the right to love you!\Her father, huh?\When I get back, maybe I'll go see him again. response:	We all stood there under the warm sun.
context: Never again!\From now on, when I go on a job... or out drinking...\It'll be together with you, always!\That could get a little annoying.\So... Please give me the right to love you!\Her father, huh?\When I get back, maybe I'll go see him again.\We all stood there under the warm sun. response:	Year 784, December 16th.
context: From now on, when I go on a job... or out drinking...\It'll be together with you, always!\That could get a little annoying.\So... Please give me the right to love you!\Her father, huh?\When I get back, maybe I'll go see him again.\We all stood there under the warm sun.\Year 784, December 16th. response:	Tenroujima...
context: It'll be together with you, always!\That could get a little annoying.\So... Please give me the right to love you!\Her father, huh?\When I get back, maybe I'll go see him again.\We all stood there under the warm sun.\Year 784, December 16th.\Tenroujima... response:	Its destruction came so quickly...
context: That could get a little annoying.\So... Please give me the right to love you!\Her father, huh?\When I get back, maybe I'll go see him again.\We all stood there under the warm sun.\Year 784, December 16th.\Tenroujima...\Its destruction came so quickly... response:	Natsu, I've got something I'd like to talk with you about...
context: So... Please give me the right to love you!\Her father, huh?\When I get back, maybe I'll go see him again.\We all stood there under the warm sun.\Year 784, December 16th.\Tenroujima...\Its destruction came so quickly...\Natsu, I've got something I'd like to talk with you about... response:	What's up? Why're you so fidgety?
context: Her father, huh?\When I get back, maybe I'll go see him again.\We all stood there under the warm sun.\Year 784, December 16th.\Tenroujima...\Its destruction came so quickly...\Natsu, I've got something I'd like to talk with you about...\What's up? Why're you so fidgety? response:	I guess asking Natsu isn't going to help...
context: When I get back, maybe I'll go see him again.\We all stood there under the warm sun.\Year 784, December 16th.\Tenroujima...\Its destruction came so quickly...\Natsu, I've got something I'd like to talk with you about...\What's up? Why're you so fidgety?\I guess asking Natsu isn't going to help... response:	No, there's always the slight chance a miracle could happen!
context: We all stood there under the warm sun.\Year 784, December 16th.\Tenroujima...\Its destruction came so quickly...\Natsu, I've got something I'd like to talk with you about...\What's up? Why're you so fidgety?\I guess asking Natsu isn't going to help...\No, there's always the slight chance a miracle could happen! response:	What are you muttering to yourself about?
context: Year 784, December 16th.\Tenroujima...\Its destruction came so quickly...\Natsu, I've got something I'd like to talk with you about...\What's up? Why're you so fidgety?\I guess asking Natsu isn't going to help...\No, there's always the slight chance a miracle could happen!\What are you muttering to yourself about? response:	U-Um, I... If I'm going to hold Carla's ha...
context: Tenroujima...\Its destruction came so quickly...\Natsu, I've got something I'd like to talk with you about...\What's up? Why're you so fidgety?\I guess asking Natsu isn't going to help...\No, there's always the slight chance a miracle could happen!\What are you muttering to yourself about?\U-Um, I... If I'm going to hold Carla's ha... response:	You and Carla?
context: Its destruction came so quickly...\Natsu, I've got something I'd like to talk with you about...\What's up? Why're you so fidgety?\I guess asking Natsu isn't going to help...\No, there's always the slight chance a miracle could happen!\What are you muttering to yourself about?\U-Um, I... If I'm going to hold Carla's ha...\You and Carla? response:	Quiet! Not so loud!
context: Natsu, I've got something I'd like to talk with you about...\What's up? Why're you so fidgety?\I guess asking Natsu isn't going to help...\No, there's always the slight chance a miracle could happen!\What are you muttering to yourself about?\U-Um, I... If I'm going to hold Carla's ha...\You and Carla?\Quiet! Not so loud! response:	Next time: Hold Hands!
context: What's up? Why're you so fidgety?\I guess asking Natsu isn't going to help...\No, there's always the slight chance a miracle could happen!\What are you muttering to yourself about?\U-Um, I... If I'm going to hold Carla's ha...\You and Carla?\Quiet! Not so loud!\Next time: Hold Hands! response:	Oh, that? That's easy!
context: I guess asking Natsu isn't going to help...\No, there's always the slight chance a miracle could happen!\What are you muttering to yourself about?\U-Um, I... If I'm going to hold Carla's ha...\You and Carla?\Quiet! Not so loud!\Next time: Hold Hands!\Oh, that? That's easy! response:	If you're a man, just give it a shot, make it or break it!
context: No, there's always the slight chance a miracle could happen!\What are you muttering to yourself about?\U-Um, I... If I'm going to hold Carla's ha...\You and Carla?\Quiet! Not so loud!\Next time: Hold Hands!\Oh, that? That's easy!\If you're a man, just give it a shot, make it or break it! response:	Yeah, I don't want anything broken is why I'm asking...
context: What are you muttering to yourself about?\U-Um, I... If I'm going to hold Carla's ha...\You and Carla?\Quiet! Not so loud!\Next time: Hold Hands!\Oh, that? That's easy!\If you're a man, just give it a shot, make it or break it!\Yeah, I don't want anything broken is why I'm asking... response:	Well, then you've got the wrong guy.
