context: Do you believe in the urban legend? response:	You can retrieve what you once lost inside the gate.
context: That is... If you want to continue with your research. Is that clear?\Y-Yes.\The female victim was a courier sent by the CIA.\She was planning on handing us the meteor fragment in exchange for her release from the facility.\Unfortunately, she didn't mention its location.\I understand. I'll do my best.\We will now commence an area search using the surveillance camera operated by Dr. Sergei's Third Sector team.\All personnel with corresponding ID numbers, please proceed to Conference Room Two. response:	Within the premises, a phenomenon observed by different people will result in a myriad of experiences.
context: Y-Yes.\The female victim was a courier sent by the CIA.\She was planning on handing us the meteor fragment in exchange for her release from the facility.\Unfortunately, she didn't mention its location.\I understand. I'll do my best.\We will now commence an area search using the surveillance camera operated by Dr. Sergei's Third Sector team.\All personnel with corresponding ID numbers, please proceed to Conference Room Two.\Within the premises, a phenomenon observed by different people will result in a myriad of experiences. response:	The reason I asked you to come here is to gather as much observational data as possible.
context: The female victim was a courier sent by the CIA.\She was planning on handing us the meteor fragment in exchange for her release from the facility.\Unfortunately, she didn't mention its location.\I understand. I'll do my best.\We will now commence an area search using the surveillance camera operated by Dr. Sergei's Third Sector team.\All personnel with corresponding ID numbers, please proceed to Conference Room Two.\Within the premises, a phenomenon observed by different people will result in a myriad of experiences.\The reason I asked you to come here is to gather as much observational data as possible. response:	Let me know exactly what you see, hear, and feel.
context: She was planning on handing us the meteor fragment in exchange for her release from the facility.\Unfortunately, she didn't mention its location.\I understand. I'll do my best.\We will now commence an area search using the surveillance camera operated by Dr. Sergei's Third Sector team.\All personnel with corresponding ID numbers, please proceed to Conference Room Two.\Within the premises, a phenomenon observed by different people will result in a myriad of experiences.\The reason I asked you to come here is to gather as much observational data as possible.\Let me know exactly what you see, hear, and feel. response:	The interrogation must have been tough.
context: Unfortunately, she didn't mention its location.\I understand. I'll do my best.\We will now commence an area search using the surveillance camera operated by Dr. Sergei's Third Sector team.\All personnel with corresponding ID numbers, please proceed to Conference Room Two.\Within the premises, a phenomenon observed by different people will result in a myriad of experiences.\The reason I asked you to come here is to gather as much observational data as possible.\Let me know exactly what you see, hear, and feel.\The interrogation must have been tough. response:	Nick-san.
context: I understand. I'll do my best.\We will now commence an area search using the surveillance camera operated by Dr. Sergei's Third Sector team.\All personnel with corresponding ID numbers, please proceed to Conference Room Two.\Within the premises, a phenomenon observed by different people will result in a myriad of experiences.\The reason I asked you to come here is to gather as much observational data as possible.\Let me know exactly what you see, hear, and feel.\The interrogation must have been tough.\Nick-san. response:	I know the feeling. I've experienced it myself.
context: We will now commence an area search using the surveillance camera operated by Dr. Sergei's Third Sector team.\All personnel with corresponding ID numbers, please proceed to Conference Room Two.\Within the premises, a phenomenon observed by different people will result in a myriad of experiences.\The reason I asked you to come here is to gather as much observational data as possible.\Let me know exactly what you see, hear, and feel.\The interrogation must have been tough.\Nick-san.\I know the feeling. I've experienced it myself. response:	Don't worry, I'm on your side.
context: All personnel with corresponding ID numbers, please proceed to Conference Room Two.\Within the premises, a phenomenon observed by different people will result in a myriad of experiences.\The reason I asked you to come here is to gather as much observational data as possible.\Let me know exactly what you see, hear, and feel.\The interrogation must have been tough.\Nick-san.\I know the feeling. I've experienced it myself.\Don't worry, I'm on your side. response:	You're not the type of person that can kill people.
context: Within the premises, a phenomenon observed by different people will result in a myriad of experiences.\The reason I asked you to come here is to gather as much observational data as possible.\Let me know exactly what you see, hear, and feel.\The interrogation must have been tough.\Nick-san.\I know the feeling. I've experienced it myself.\Don't worry, I'm on your side.\You're not the type of person that can kill people. response:	It's time. Begin the search.
context: The reason I asked you to come here is to gather as much observational data as possible.\Let me know exactly what you see, hear, and feel.\The interrogation must have been tough.\Nick-san.\I know the feeling. I've experienced it myself.\Don't worry, I'm on your side.\You're not the type of person that can kill people.\It's time. Begin the search. response:	The surveillance camera is now in motion.
context: Let me know exactly what you see, hear, and feel.\The interrogation must have been tough.\Nick-san.\I know the feeling. I've experienced it myself.\Don't worry, I'm on your side.\You're not the type of person that can kill people.\It's time. Begin the search.\The surveillance camera is now in motion. response:	It will soon pass Chiyoda Ward, Kanda 3-chome, and head toward Chuo-dori Avenue.
context: The interrogation must have been tough.\Nick-san.\I know the feeling. I've experienced it myself.\Don't worry, I'm on your side.\You're not the type of person that can kill people.\It's time. Begin the search.\The surveillance camera is now in motion.\It will soon pass Chiyoda Ward, Kanda 3-chome, and head toward Chuo-dori Avenue. response:	Stop it right there.
context: Nick-san.\I know the feeling. I've experienced it myself.\Don't worry, I'm on your side.\You're not the type of person that can kill people.\It's time. Begin the search.\The surveillance camera is now in motion.\It will soon pass Chiyoda Ward, Kanda 3-chome, and head toward Chuo-dori Avenue.\Stop it right there. response:	Can you zoom in just beyond that car?
context: I know the feeling. I've experienced it myself.\Don't worry, I'm on your side.\You're not the type of person that can kill people.\It's time. Begin the search.\The surveillance camera is now in motion.\It will soon pass Chiyoda Ward, Kanda 3-chome, and head toward Chuo-dori Avenue.\Stop it right there.\Can you zoom in just beyond that car? response:	It looks like we'll have to rewrite the map again.
context: Don't worry, I'm on your side.\You're not the type of person that can kill people.\It's time. Begin the search.\The surveillance camera is now in motion.\It will soon pass Chiyoda Ward, Kanda 3-chome, and head toward Chuo-dori Avenue.\Stop it right there.\Can you zoom in just beyond that car?\It looks like we'll have to rewrite the map again. response:	Return and travel on the west route.
context: You're not the type of person that can kill people.\It's time. Begin the search.\The surveillance camera is now in motion.\It will soon pass Chiyoda Ward, Kanda 3-chome, and head toward Chuo-dori Avenue.\Stop it right there.\Can you zoom in just beyond that car?\It looks like we'll have to rewrite the map again.\Return and travel on the west route. response:	Did you see that?
context: It's time. Begin the search.\The surveillance camera is now in motion.\It will soon pass Chiyoda Ward, Kanda 3-chome, and head toward Chuo-dori Avenue.\Stop it right there.\Can you zoom in just beyond that car?\It looks like we'll have to rewrite the map again.\Return and travel on the west route.\Did you see that? response:	Yes, definitely.
context: The surveillance camera is now in motion.\It will soon pass Chiyoda Ward, Kanda 3-chome, and head toward Chuo-dori Avenue.\Stop it right there.\Can you zoom in just beyond that car?\It looks like we'll have to rewrite the map again.\Return and travel on the west route.\Did you see that?\Yes, definitely. response:	Right there!
context: It will soon pass Chiyoda Ward, Kanda 3-chome, and head toward Chuo-dori Avenue.\Stop it right there.\Can you zoom in just beyond that car?\It looks like we'll have to rewrite the map again.\Return and travel on the west route.\Did you see that?\Yes, definitely.\Right there! response:	Play it in slow motion from here.
context: Stop it right there.\Can you zoom in just beyond that car?\It looks like we'll have to rewrite the map again.\Return and travel on the west route.\Did you see that?\Yes, definitely.\Right there!\Play it in slow motion from here. response:	Right there!
context: Can you zoom in just beyond that car?\It looks like we'll have to rewrite the map again.\Return and travel on the west route.\Did you see that?\Yes, definitely.\Right there!\Play it in slow motion from here.\Right there! response:	Lancernopt synchrotron radiation?
context: It looks like we'll have to rewrite the map again.\Return and travel on the west route.\Did you see that?\Yes, definitely.\Right there!\Play it in slow motion from here.\Right there!\Lancernopt synchrotron radiation? response:	My, my... This is...
context: Return and travel on the west route.\Did you see that?\Yes, definitely.\Right there!\Play it in slow motion from here.\Right there!\Lancernopt synchrotron radiation?\My, my... This is... response:	The meteor fragment?
context: Did you see that?\Yes, definitely.\Right there!\Play it in slow motion from here.\Right there!\Lancernopt synchrotron radiation?\My, my... This is...\The meteor fragment? response:	Within the gate, you can retrieve what you once lost.
context: Yes, definitely.\Right there!\Play it in slow motion from here.\Right there!\Lancernopt synchrotron radiation?\My, my... This is...\The meteor fragment?\Within the gate, you can retrieve what you once lost. response:	What was seen inside the green mist was either a demon or a cursed remnant from the past.
context: Right there!\Play it in slow motion from here.\Right there!\Lancernopt synchrotron radiation?\My, my... This is...\The meteor fragment?\Within the gate, you can retrieve what you once lost.\What was seen inside the green mist was either a demon or a cursed remnant from the past. response:	The irrevocable past is a bloody memory.
context: Play it in slow motion from here.\Right there!\Lancernopt synchrotron radiation?\My, my... This is...\The meteor fragment?\Within the gate, you can retrieve what you once lost.\What was seen inside the green mist was either a demon or a cursed remnant from the past.\The irrevocable past is a bloody memory. response:	The starry sky that disappeared beyond the mirror is the one I saw with you.
context: Right there!\Lancernopt synchrotron radiation?\My, my... This is...\The meteor fragment?\Within the gate, you can retrieve what you once lost.\What was seen inside the green mist was either a demon or a cursed remnant from the past.\The irrevocable past is a bloody memory.\The starry sky that disappeared beyond the mirror is the one I saw with you. response:	Contractors do not dream.
context: Lancernopt synchrotron radiation?\My, my... This is...\The meteor fragment?\Within the gate, you can retrieve what you once lost.\What was seen inside the green mist was either a demon or a cursed remnant from the past.\The irrevocable past is a bloody memory.\The starry sky that disappeared beyond the mirror is the one I saw with you.\Contractors do not dream. response:	Episode Twelve When One Takes Back What Was Lost Within the Wall... (Part Two)
context: My, my... This is...\The meteor fragment?\Within the gate, you can retrieve what you once lost.\What was seen inside the green mist was either a demon or a cursed remnant from the past.\The irrevocable past is a bloody memory.\The starry sky that disappeared beyond the mirror is the one I saw with you.\Contractors do not dream.\Episode Twelve When One Takes Back What Was Lost Within the Wall... (Part Two) response:	The remuneration is complete.
