context: Takeshi, you've received an invitation from the Schuberstein Competition. response:	It's in Germany... You're finally going overseas!
context: That being the case - today...\It wouldn't be a surprise to see those waves reach their crest.\Hey, hey...\I'm in sync with the piano. My fingers feel light.\Today, I'm in the zone. It's probably...\Because my new dress looks good on me. Because I'm having a good hair day.\That's got to be it.\No, of course that's not it! response:	I'm not a child.
context: It wouldn't be a surprise to see those waves reach their crest.\Hey, hey...\I'm in sync with the piano. My fingers feel light.\Today, I'm in the zone. It's probably...\Because my new dress looks good on me. Because I'm having a good hair day.\That's got to be it.\No, of course that's not it!\I'm not a child. response:	So why am I making excuses to myself?
context: Hey, hey...\I'm in sync with the piano. My fingers feel light.\Today, I'm in the zone. It's probably...\Because my new dress looks good on me. Because I'm having a good hair day.\That's got to be it.\No, of course that's not it!\I'm not a child.\So why am I making excuses to myself? response:	He's here. After two years, he's so near...
context: I'm in sync with the piano. My fingers feel light.\Today, I'm in the zone. It's probably...\Because my new dress looks good on me. Because I'm having a good hair day.\That's got to be it.\No, of course that's not it!\I'm not a child.\So why am I making excuses to myself?\He's here. After two years, he's so near... response:	He's gotten taller. He looks a little more mature.
context: Today, I'm in the zone. It's probably...\Because my new dress looks good on me. Because I'm having a good hair day.\That's got to be it.\No, of course that's not it!\I'm not a child.\So why am I making excuses to myself?\He's here. After two years, he's so near...\He's gotten taller. He looks a little more mature. response:	But I knew him at a glance.
context: Because my new dress looks good on me. Because I'm having a good hair day.\That's got to be it.\No, of course that's not it!\I'm not a child.\So why am I making excuses to myself?\He's here. After two years, he's so near...\He's gotten taller. He looks a little more mature.\But I knew him at a glance. response:	Ever since that moment, my excitement has been surging.
context: That's got to be it.\No, of course that's not it!\I'm not a child.\So why am I making excuses to myself?\He's here. After two years, he's so near...\He's gotten taller. He looks a little more mature.\But I knew him at a glance.\Ever since that moment, my excitement has been surging. response:	He's right there, and he's watching me.
context: No, of course that's not it!\I'm not a child.\So why am I making excuses to myself?\He's here. After two years, he's so near...\He's gotten taller. He looks a little more mature.\But I knew him at a glance.\Ever since that moment, my excitement has been surging.\He's right there, and he's watching me. response:	Do you feel that way, too?
context: I'm not a child.\So why am I making excuses to myself?\He's here. After two years, he's so near...\He's gotten taller. He looks a little more mature.\But I knew him at a glance.\Ever since that moment, my excitement has been surging.\He's right there, and he's watching me.\Do you feel that way, too? response:	Don't make me laugh. Because I...
context: So why am I making excuses to myself?\He's here. After two years, he's so near...\He's gotten taller. He looks a little more mature.\But I knew him at a glance.\Ever since that moment, my excitement has been surging.\He's right there, and he's watching me.\Do you feel that way, too?\Don't make me laugh. Because I... response:	I've been playing the piano all this time in order to reject Kousei Arima.
context: He's here. After two years, he's so near...\He's gotten taller. He looks a little more mature.\But I knew him at a glance.\Ever since that moment, my excitement has been surging.\He's right there, and he's watching me.\Do you feel that way, too?\Don't make me laugh. Because I...\I've been playing the piano all this time in order to reject Kousei Arima. response:	I know that she has the technique. But not at this level...
context: He's gotten taller. He looks a little more mature.\But I knew him at a glance.\Ever since that moment, my excitement has been surging.\He's right there, and he's watching me.\Do you feel that way, too?\Don't make me laugh. Because I...\I've been playing the piano all this time in order to reject Kousei Arima.\I know that she has the technique. But not at this level... response:	Go! Go! Emi!
context: But I knew him at a glance.\Ever since that moment, my excitement has been surging.\He's right there, and he's watching me.\Do you feel that way, too?\Don't make me laugh. Because I...\I've been playing the piano all this time in order to reject Kousei Arima.\I know that she has the technique. But not at this level...\Go! Go! Emi! response:	Let it all out with a bang! Let your feelings reach them!
context: Ever since that moment, my excitement has been surging.\He's right there, and he's watching me.\Do you feel that way, too?\Don't make me laugh. Because I...\I've been playing the piano all this time in order to reject Kousei Arima.\I know that she has the technique. But not at this level...\Go! Go! Emi!\Let it all out with a bang! Let your feelings reach them! response:	A fourteen-year-old girl has this audience enthralled.
context: He's right there, and he's watching me.\Do you feel that way, too?\Don't make me laugh. Because I...\I've been playing the piano all this time in order to reject Kousei Arima.\I know that she has the technique. But not at this level...\Go! Go! Emi!\Let it all out with a bang! Let your feelings reach them!\A fourteen-year-old girl has this audience enthralled. response:	Is she really a junior high student?
context: Do you feel that way, too?\Don't make me laugh. Because I...\I've been playing the piano all this time in order to reject Kousei Arima.\I know that she has the technique. But not at this level...\Go! Go! Emi!\Let it all out with a bang! Let your feelings reach them!\A fourteen-year-old girl has this audience enthralled.\Is she really a junior high student? response:	I'm going to reject you. Even if I lose,
context: Don't make me laugh. Because I...\I've been playing the piano all this time in order to reject Kousei Arima.\I know that she has the technique. But not at this level...\Go! Go! Emi!\Let it all out with a bang! Let your feelings reach them!\A fourteen-year-old girl has this audience enthralled.\Is she really a junior high student?\I'm going to reject you. Even if I lose, response:	even if I get trounced, I'm going to reject you every time.
context: I've been playing the piano all this time in order to reject Kousei Arima.\I know that she has the technique. But not at this level...\Go! Go! Emi!\Let it all out with a bang! Let your feelings reach them!\A fourteen-year-old girl has this audience enthralled.\Is she really a junior high student?\I'm going to reject you. Even if I lose,\even if I get trounced, I'm going to reject you every time. response:	Playing for competitions...
context: I know that she has the technique. But not at this level...\Go! Go! Emi!\Let it all out with a bang! Let your feelings reach them!\A fourteen-year-old girl has this audience enthralled.\Is she really a junior high student?\I'm going to reject you. Even if I lose,\even if I get trounced, I'm going to reject you every time.\Playing for competitions... response:	That's not the Kousei Arima that I want to hear.
context: Go! Go! Emi!\Let it all out with a bang! Let your feelings reach them!\A fourteen-year-old girl has this audience enthralled.\Is she really a junior high student?\I'm going to reject you. Even if I lose,\even if I get trounced, I'm going to reject you every time.\Playing for competitions...\That's not the Kousei Arima that I want to hear. response:	I'm going to reject you with my playing.
context: Let it all out with a bang! Let your feelings reach them!\A fourteen-year-old girl has this audience enthralled.\Is she really a junior high student?\I'm going to reject you. Even if I lose,\even if I get trounced, I'm going to reject you every time.\Playing for competitions...\That's not the Kousei Arima that I want to hear.\I'm going to reject you with my playing. response:	What I want to hear is...
context: A fourteen-year-old girl has this audience enthralled.\Is she really a junior high student?\I'm going to reject you. Even if I lose,\even if I get trounced, I'm going to reject you every time.\Playing for competitions...\That's not the Kousei Arima that I want to hear.\I'm going to reject you with my playing.\What I want to hear is... response:	Red, yellow, yellow...
context: Is she really a junior high student?\I'm going to reject you. Even if I lose,\even if I get trounced, I'm going to reject you every time.\Playing for competitions...\That's not the Kousei Arima that I want to hear.\I'm going to reject you with my playing.\What I want to hear is...\Red, yellow, yellow... response:	Are these her emotions?
context: I'm going to reject you. Even if I lose,\even if I get trounced, I'm going to reject you every time.\Playing for competitions...\That's not the Kousei Arima that I want to hear.\I'm going to reject you with my playing.\What I want to hear is...\Red, yellow, yellow...\Are these her emotions? response:	Red and yellow... Anger and...
context: even if I get trounced, I'm going to reject you every time.\Playing for competitions...\That's not the Kousei Arima that I want to hear.\I'm going to reject you with my playing.\What I want to hear is...\Red, yellow, yellow...\Are these her emotions?\Red and yellow... Anger and... response:	Do you feel that way, too?
context: Playing for competitions...\That's not the Kousei Arima that I want to hear.\I'm going to reject you with my playing.\What I want to hear is...\Red, yellow, yellow...\Are these her emotions?\Red and yellow... Anger and...\Do you feel that way, too? response:	Yes, I do.
context: That's not the Kousei Arima that I want to hear.\I'm going to reject you with my playing.\What I want to hear is...\Red, yellow, yellow...\Are these her emotions?\Red and yellow... Anger and...\Do you feel that way, too?\Yes, I do. response:	I'm only here because of you.
context: I'm going to reject you with my playing.\What I want to hear is...\Red, yellow, yellow...\Are these her emotions?\Red and yellow... Anger and...\Do you feel that way, too?\Yes, I do.\I'm only here because of you. response:	Just under four minutes...
context: What I want to hear is...\Red, yellow, yellow...\Are these her emotions?\Red and yellow... Anger and...\Do you feel that way, too?\Yes, I do.\I'm only here because of you.\Just under four minutes... response:	A performance lasting just under four minutes...
context: Red, yellow, yellow...\Are these her emotions?\Red and yellow... Anger and...\Do you feel that way, too?\Yes, I do.\I'm only here because of you.\Just under four minutes...\A performance lasting just under four minutes... response:	That's what made me a pianist.
context: Are these her emotions?\Red and yellow... Anger and...\Do you feel that way, too?\Yes, I do.\I'm only here because of you.\Just under four minutes...\A performance lasting just under four minutes...\That's what made me a pianist. response:	Come back, come back,
context: Red and yellow... Anger and...\Do you feel that way, too?\Yes, I do.\I'm only here because of you.\Just under four minutes...\A performance lasting just under four minutes...\That's what made me a pianist.\Come back, come back, response:	the Kousei Arima that I looked up to!
context: Do you feel that way, too?\Yes, I do.\I'm only here because of you.\Just under four minutes...\A performance lasting just under four minutes...\That's what made me a pianist.\Come back, come back,\the Kousei Arima that I looked up to! response:	Let it ring! Let it ring!
context: Yes, I do.\I'm only here because of you.\Just under four minutes...\A performance lasting just under four minutes...\That's what made me a pianist.\Come back, come back,\the Kousei Arima that I looked up to!\Let it ring! Let it ring! response:	Let it ring!
context: I'm only here because of you.\Just under four minutes...\A performance lasting just under four minutes...\That's what made me a pianist.\Come back, come back,\the Kousei Arima that I looked up to!\Let it ring! Let it ring!\Let it ring! response:	My piano!
context: Just under four minutes...\A performance lasting just under four minutes...\That's what made me a pianist.\Come back, come back,\the Kousei Arima that I looked up to!\Let it ring! Let it ring!\Let it ring!\My piano! response:	Let it ring! Let it ring!
context: A performance lasting just under four minutes...\That's what made me a pianist.\Come back, come back,\the Kousei Arima that I looked up to!\Let it ring! Let it ring!\Let it ring!\My piano!\Let it ring! Let it ring! response:	Let it ring!
context: That's what made me a pianist.\Come back, come back,\the Kousei Arima that I looked up to!\Let it ring! Let it ring!\Let it ring!\My piano!\Let it ring! Let it ring!\Let it ring! response:	I see...
context: Come back, come back,\the Kousei Arima that I looked up to!\Let it ring! Let it ring!\Let it ring!\My piano!\Let it ring! Let it ring!\Let it ring!\I see... response:	Red and yellow. Her anger, and... Her loneliness.
context: the Kousei Arima that I looked up to!\Let it ring! Let it ring!\Let it ring!\My piano!\Let it ring! Let it ring!\Let it ring!\I see...\Red and yellow. Her anger, and... Her loneliness. response:	Chopin's Etude,
context: Let it ring! Let it ring!\Let it ring!\My piano!\Let it ring! Let it ring!\Let it ring!\I see...\Red and yellow. Her anger, and... Her loneliness.\Chopin's Etude, response:	Op. 25, No. 11.
context: Let it ring!\My piano!\Let it ring! Let it ring!\Let it ring!\I see...\Red and yellow. Her anger, and... Her loneliness.\Chopin's Etude,\Op. 25, No. 11. response:	Le vent d'hiver - Winter Wind.
context: My piano!\Let it ring! Let it ring!\Let it ring!\I see...\Red and yellow. Her anger, and... Her loneliness.\Chopin's Etude,\Op. 25, No. 11.\Le vent d'hiver - Winter Wind. response:	Super-cute!
context: Let it ring! Let it ring!\Let it ring!\I see...\Red and yellow. Her anger, and... Her loneliness.\Chopin's Etude,\Op. 25, No. 11.\Le vent d'hiver - Winter Wind.\Super-cute! response:	Dial it down, Watari!
context: Let it ring!\I see...\Red and yellow. Her anger, and... Her loneliness.\Chopin's Etude,\Op. 25, No. 11.\Le vent d'hiver - Winter Wind.\Super-cute!\Dial it down, Watari! response:	Right... So you play by pouring your soul into the notes, too, huh?
context: I see...\Red and yellow. Her anger, and... Her loneliness.\Chopin's Etude,\Op. 25, No. 11.\Le vent d'hiver - Winter Wind.\Super-cute!\Dial it down, Watari!\Right... So you play by pouring your soul into the notes, too, huh? response:	Let it ring.
context: Red and yellow. Her anger, and... Her loneliness.\Chopin's Etude,\Op. 25, No. 11.\Le vent d'hiver - Winter Wind.\Super-cute!\Dial it down, Watari!\Right... So you play by pouring your soul into the notes, too, huh?\Let it ring. response:	Let it ring.
context: Chopin's Etude,\Op. 25, No. 11.\Le vent d'hiver - Winter Wind.\Super-cute!\Dial it down, Watari!\Right... So you play by pouring your soul into the notes, too, huh?\Let it ring.\Let it ring. response:	Let it ring.
context: Op. 25, No. 11.\Le vent d'hiver - Winter Wind.\Super-cute!\Dial it down, Watari!\Right... So you play by pouring your soul into the notes, too, huh?\Let it ring.\Let it ring.\Let it ring. response:	Let it Ring
context: Le vent d'hiver - Winter Wind.\Super-cute!\Dial it down, Watari!\Right... So you play by pouring your soul into the notes, too, huh?\Let it ring.\Let it ring.\Let it ring.\Let it Ring response:	Let it ring.
context: Super-cute!\Dial it down, Watari!\Right... So you play by pouring your soul into the notes, too, huh?\Let it ring.\Let it ring.\Let it ring.\Let it Ring\Let it ring. response:	Episode 9 Resonance
context: Dial it down, Watari!\Right... So you play by pouring your soul into the notes, too, huh?\Let it ring.\Let it ring.\Let it ring.\Let it Ring\Let it ring.\Episode 9 Resonance response:	Watch Again Next Week!
