context: A Village Out in the Boonies: Hage response:	Here we go again...
context: D-Do something!\But...\Do it!\I can't let you go and burn that.\Don't bother to resist.\My Creation Magic: Binding Iron Chain\restricts the magic and movements of the one it captures.\Who are you? response:	Until recently, I was a pretty well-known Magic Knight called Revchi of Chain Magic.
context: But...\Do it!\I can't let you go and burn that.\Don't bother to resist.\My Creation Magic: Binding Iron Chain\restricts the magic and movements of the one it captures.\Who are you?\Until recently, I was a pretty well-known Magic Knight called Revchi of Chain Magic. response:	But I got kicked out, so now I'm just a wretched thief.
context: Do it!\I can't let you go and burn that.\Don't bother to resist.\My Creation Magic: Binding Iron Chain\restricts the magic and movements of the one it captures.\Who are you?\Until recently, I was a pretty well-known Magic Knight called Revchi of Chain Magic.\But I got kicked out, so now I'm just a wretched thief. response:	And I'll be taking that grimoire.
context: I can't let you go and burn that.\Don't bother to resist.\My Creation Magic: Binding Iron Chain\restricts the magic and movements of the one it captures.\Who are you?\Until recently, I was a pretty well-known Magic Knight called Revchi of Chain Magic.\But I got kicked out, so now I'm just a wretched thief.\And I'll be taking that grimoire. response:	Revchi, was it? It's pointless for you to steal that.
context: Don't bother to resist.\My Creation Magic: Binding Iron Chain\restricts the magic and movements of the one it captures.\Who are you?\Until recently, I was a pretty well-known Magic Knight called Revchi of Chain Magic.\But I got kicked out, so now I'm just a wretched thief.\And I'll be taking that grimoire.\Revchi, was it? It's pointless for you to steal that. response:	The only one
context: My Creation Magic: Binding Iron Chain\restricts the magic and movements of the one it captures.\Who are you?\Until recently, I was a pretty well-known Magic Knight called Revchi of Chain Magic.\But I got kicked out, so now I'm just a wretched thief.\And I'll be taking that grimoire.\Revchi, was it? It's pointless for you to steal that.\The only one response:	The only one who can use a grimoire is the one it chose.
context: restricts the magic and movements of the one it captures.\Who are you?\Until recently, I was a pretty well-known Magic Knight called Revchi of Chain Magic.\But I got kicked out, so now I'm just a wretched thief.\And I'll be taking that grimoire.\Revchi, was it? It's pointless for you to steal that.\The only one\The only one who can use a grimoire is the one it chose. response:	However, underground collectors are buying grimoires
context: Who are you?\Until recently, I was a pretty well-known Magic Knight called Revchi of Chain Magic.\But I got kicked out, so now I'm just a wretched thief.\And I'll be taking that grimoire.\Revchi, was it? It's pointless for you to steal that.\The only one\The only one who can use a grimoire is the one it chose.\However, underground collectors are buying grimoires response:	with four-leaf clovers for insane prices.
context: Until recently, I was a pretty well-known Magic Knight called Revchi of Chain Magic.\But I got kicked out, so now I'm just a wretched thief.\And I'll be taking that grimoire.\Revchi, was it? It's pointless for you to steal that.\The only one\The only one who can use a grimoire is the one it chose.\However, underground collectors are buying grimoires\with four-leaf clovers for insane prices. response:	A four-leaf clover may have chosen you,
context: But I got kicked out, so now I'm just a wretched thief.\And I'll be taking that grimoire.\Revchi, was it? It's pointless for you to steal that.\The only one\The only one who can use a grimoire is the one it chose.\However, underground collectors are buying grimoires\with four-leaf clovers for insane prices.\A four-leaf clover may have chosen you, response:	but you only just received it. You're still just a little chick.
context: And I'll be taking that grimoire.\Revchi, was it? It's pointless for you to steal that.\The only one\The only one who can use a grimoire is the one it chose.\However, underground collectors are buying grimoires\with four-leaf clovers for insane prices.\A four-leaf clover may have chosen you,\but you only just received it. You're still just a little chick. response:	How unfortunate for you that I happened to be here.
context: Revchi, was it? It's pointless for you to steal that.\The only one\The only one who can use a grimoire is the one it chose.\However, underground collectors are buying grimoires\with four-leaf clovers for insane prices.\A four-leaf clover may have chosen you,\but you only just received it. You're still just a little chick.\How unfortunate for you that I happened to be here. response:	Your legend is going to end before it even begins.
context: The only one\The only one who can use a grimoire is the one it chose.\However, underground collectors are buying grimoires\with four-leaf clovers for insane prices.\A four-leaf clover may have chosen you,\but you only just received it. You're still just a little chick.\How unfortunate for you that I happened to be here.\Your legend is going to end before it even begins. response:	Hey, that pendant looks like it's worth something, too.
context: The only one who can use a grimoire is the one it chose.\However, underground collectors are buying grimoires\with four-leaf clovers for insane prices.\A four-leaf clover may have chosen you,\but you only just received it. You're still just a little chick.\How unfortunate for you that I happened to be here.\Your legend is going to end before it even begins.\Hey, that pendant looks like it's worth something, too. response:	I guess I'll be taking that...
context: However, underground collectors are buying grimoires\with four-leaf clovers for insane prices.\A four-leaf clover may have chosen you,\but you only just received it. You're still just a little chick.\How unfortunate for you that I happened to be here.\Your legend is going to end before it even begins.\Hey, that pendant looks like it's worth something, too.\I guess I'll be taking that... response:	Hold it!
context: with four-leaf clovers for insane prices.\A four-leaf clover may have chosen you,\but you only just received it. You're still just a little chick.\How unfortunate for you that I happened to be here.\Your legend is going to end before it even begins.\Hey, that pendant looks like it's worth something, too.\I guess I'll be taking that...\Hold it! response:	What do you think you're doing?!
context: A four-leaf clover may have chosen you,\but you only just received it. You're still just a little chick.\How unfortunate for you that I happened to be here.\Your legend is going to end before it even begins.\Hey, that pendant looks like it's worth something, too.\I guess I'll be taking that...\Hold it!\What do you think you're doing?! response:	I've come to save...
context: but you only just received it. You're still just a little chick.\How unfortunate for you that I happened to be here.\Your legend is going to end before it even begins.\Hey, that pendant looks like it's worth something, too.\I guess I'll be taking that...\Hold it!\What do you think you're doing?!\I've come to save... response:	Huh?
context: How unfortunate for you that I happened to be here.\Your legend is going to end before it even begins.\Hey, that pendant looks like it's worth something, too.\I guess I'll be taking that...\Hold it!\What do you think you're doing?!\I've come to save...\Huh? response:	Who the hell are you?!
context: Your legend is going to end before it even begins.\Hey, that pendant looks like it's worth something, too.\I guess I'll be taking that...\Hold it!\What do you think you're doing?!\I've come to save...\Huh?\Who the hell are you?! response:	That's Yuno's grimoire!
context: Hey, that pendant looks like it's worth something, too.\I guess I'll be taking that...\Hold it!\What do you think you're doing?!\I've come to save...\Huh?\Who the hell are you?!\That's Yuno's grimoire! response:	Why do you have it? You thief!
context: I guess I'll be taking that...\Hold it!\What do you think you're doing?!\I've come to save...\Huh?\Who the hell are you?!\That's Yuno's grimoire!\Why do you have it? You thief! response:	Aren't you the pathetic little brat who wasn't even given a grimoire?
context: Hold it!\What do you think you're doing?!\I've come to save...\Huh?\Who the hell are you?!\That's Yuno's grimoire!\Why do you have it? You thief!\Aren't you the pathetic little brat who wasn't even given a grimoire? response:	Oh, you remember me!
context: What do you think you're doing?!\I've come to save...\Huh?\Who the hell are you?!\That's Yuno's grimoire!\Why do you have it? You thief!\Aren't you the pathetic little brat who wasn't even given a grimoire?\Oh, you remember me! response:	Yeah, I'm that pathetic little brat!
context: I've come to save...\Huh?\Who the hell are you?!\That's Yuno's grimoire!\Why do you have it? You thief!\Aren't you the pathetic little brat who wasn't even given a grimoire?\Oh, you remember me!\Yeah, I'm that pathetic little brat! response:	A grimoire is precious to the person who received it!
context: Huh?\Who the hell are you?!\That's Yuno's grimoire!\Why do you have it? You thief!\Aren't you the pathetic little brat who wasn't even given a grimoire?\Oh, you remember me!\Yeah, I'm that pathetic little brat!\A grimoire is precious to the person who received it! response:	Give it back to Yuno, you jerk!
context: Who the hell are you?!\That's Yuno's grimoire!\Why do you have it? You thief!\Aren't you the pathetic little brat who wasn't even given a grimoire?\Oh, you remember me!\Yeah, I'm that pathetic little brat!\A grimoire is precious to the person who received it!\Give it back to Yuno, you jerk! response:	The outside world is a place where crooked deeds like this can be overlooked.
context: That's Yuno's grimoire!\Why do you have it? You thief!\Aren't you the pathetic little brat who wasn't even given a grimoire?\Oh, you remember me!\Yeah, I'm that pathetic little brat!\A grimoire is precious to the person who received it!\Give it back to Yuno, you jerk!\The outside world is a place where crooked deeds like this can be overlooked. response:	But you'll be dead before you find that out for yourself.
context: Why do you have it? You thief!\Aren't you the pathetic little brat who wasn't even given a grimoire?\Oh, you remember me!\Yeah, I'm that pathetic little brat!\A grimoire is precious to the person who received it!\Give it back to Yuno, you jerk!\The outside world is a place where crooked deeds like this can be overlooked.\But you'll be dead before you find that out for yourself. response:	Asta, run!
context: Aren't you the pathetic little brat who wasn't even given a grimoire?\Oh, you remember me!\Yeah, I'm that pathetic little brat!\A grimoire is precious to the person who received it!\Give it back to Yuno, you jerk!\The outside world is a place where crooked deeds like this can be overlooked.\But you'll be dead before you find that out for yourself.\Asta, run! response:	I'm not going to run away
context: Oh, you remember me!\Yeah, I'm that pathetic little brat!\A grimoire is precious to the person who received it!\Give it back to Yuno, you jerk!\The outside world is a place where crooked deeds like this can be overlooked.\But you'll be dead before you find that out for yourself.\Asta, run!\I'm not going to run away response:	from a disgraced loser like him!
context: Yeah, I'm that pathetic little brat!\A grimoire is precious to the person who received it!\Give it back to Yuno, you jerk!\The outside world is a place where crooked deeds like this can be overlooked.\But you'll be dead before you find that out for yourself.\Asta, run!\I'm not going to run away\from a disgraced loser like him! response:	I'm not done yet!
context: A grimoire is precious to the person who received it!\Give it back to Yuno, you jerk!\The outside world is a place where crooked deeds like this can be overlooked.\But you'll be dead before you find that out for yourself.\Asta, run!\I'm not going to run away\from a disgraced loser like him!\I'm not done yet! response:	No... You're finished.
context: Give it back to Yuno, you jerk!\The outside world is a place where crooked deeds like this can be overlooked.\But you'll be dead before you find that out for yourself.\Asta, run!\I'm not going to run away\from a disgraced loser like him!\I'm not done yet!\No... You're finished. response:	Dance of the Pitless Viper!
context: The outside world is a place where crooked deeds like this can be overlooked.\But you'll be dead before you find that out for yourself.\Asta, run!\I'm not going to run away\from a disgraced loser like him!\I'm not done yet!\No... You're finished.\Dance of the Pitless Viper! response:	Wh-What a heavy blow...
context: But you'll be dead before you find that out for yourself.\Asta, run!\I'm not going to run away\from a disgraced loser like him!\I'm not done yet!\No... You're finished.\Dance of the Pitless Viper!\Wh-What a heavy blow... response:	So this is the power of the mages from outside this town.
context: Asta, run!\I'm not going to run away\from a disgraced loser like him!\I'm not done yet!\No... You're finished.\Dance of the Pitless Viper!\Wh-What a heavy blow...\So this is the power of the mages from outside this town. response:	I can't possibly beat him with just my physical training.
context: I'm not going to run away\from a disgraced loser like him!\I'm not done yet!\No... You're finished.\Dance of the Pitless Viper!\Wh-What a heavy blow...\So this is the power of the mages from outside this town.\I can't possibly beat him with just my physical training. response:	Thank you for that useless struggle, brat.
context: from a disgraced loser like him!\I'm not done yet!\No... You're finished.\Dance of the Pitless Viper!\Wh-What a heavy blow...\So this is the power of the mages from outside this town.\I can't possibly beat him with just my physical training.\Thank you for that useless struggle, brat. response:	Not yet. I'm not finished...
context: I'm not done yet!\No... You're finished.\Dance of the Pitless Viper!\Wh-What a heavy blow...\So this is the power of the mages from outside this town.\I can't possibly beat him with just my physical training.\Thank you for that useless struggle, brat.\Not yet. I'm not finished... response:	I'm going to be... the Wizard King.
context: No... You're finished.\Dance of the Pitless Viper!\Wh-What a heavy blow...\So this is the power of the mages from outside this town.\I can't possibly beat him with just my physical training.\Thank you for that useless struggle, brat.\Not yet. I'm not finished...\I'm going to be... the Wizard King. response:	You? The Wizard King?
context: Dance of the Pitless Viper!\Wh-What a heavy blow...\So this is the power of the mages from outside this town.\I can't possibly beat him with just my physical training.\Thank you for that useless struggle, brat.\Not yet. I'm not finished...\I'm going to be... the Wizard King.\You? The Wizard King? response:	I have the ability to find out
context: Wh-What a heavy blow...\So this is the power of the mages from outside this town.\I can't possibly beat him with just my physical training.\Thank you for that useless struggle, brat.\Not yet. I'm not finished...\I'm going to be... the Wizard King.\You? The Wizard King?\I have the ability to find out response:	just how much magical power one has with these chains.
context: So this is the power of the mages from outside this town.\I can't possibly beat him with just my physical training.\Thank you for that useless struggle, brat.\Not yet. I'm not finished...\I'm going to be... the Wizard King.\You? The Wizard King?\I have the ability to find out\just how much magical power one has with these chains. response:	And you have no magic whatsoever.
context: I can't possibly beat him with just my physical training.\Thank you for that useless struggle, brat.\Not yet. I'm not finished...\I'm going to be... the Wizard King.\You? The Wizard King?\I have the ability to find out\just how much magical power one has with these chains.\And you have no magic whatsoever. response:	You must've been born that way. No wonder you couldn't get a grimoire.
context: Thank you for that useless struggle, brat.\Not yet. I'm not finished...\I'm going to be... the Wizard King.\You? The Wizard King?\I have the ability to find out\just how much magical power one has with these chains.\And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire. response:	To think that you lack even an ounce of magic
context: Not yet. I'm not finished...\I'm going to be... the Wizard King.\You? The Wizard King?\I have the ability to find out\just how much magical power one has with these chains.\And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic response:	in this world where magic is everything.
context: I'm going to be... the Wizard King.\You? The Wizard King?\I have the ability to find out\just how much magical power one has with these chains.\And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic\in this world where magic is everything. response:	What a priceless find!
context: You? The Wizard King?\I have the ability to find out\just how much magical power one has with these chains.\And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic\in this world where magic is everything.\What a priceless find! response:	Huh?
context: I have the ability to find out\just how much magical power one has with these chains.\And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic\in this world where magic is everything.\What a priceless find!\Huh? response:	What the hell?
context: just how much magical power one has with these chains.\And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic\in this world where magic is everything.\What a priceless find!\Huh?\What the hell? response:	Then no matter how hard I try, I won't be able to use magic?
context: And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic\in this world where magic is everything.\What a priceless find!\Huh?\What the hell?\Then no matter how hard I try, I won't be able to use magic? response:	To think that someone so pathetic existed.
context: You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic\in this world where magic is everything.\What a priceless find!\Huh?\What the hell?\Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed. response:	You won't even be able to find a job, let alone become the Wizard King!
context: To think that you lack even an ounce of magic\in this world where magic is everything.\What a priceless find!\Huh?\What the hell?\Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King! response:	I'm sure your friend, the great genius over there, mocks you, too.
context: in this world where magic is everything.\What a priceless find!\Huh?\What the hell?\Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too. response:	Yeah, maybe.
context: What a priceless find!\Huh?\What the hell?\Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe. response:	Yuno's so amazing that he was chosen by the four-leaf.
context: Huh?\What the hell?\Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf. response:	I'm just...
context: What the hell?\Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf.\I'm just... response:	You can't do a thing in this world. Just give up on everything.
context: Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf.\I'm just...\You can't do a thing in this world. Just give up on everything. response:	You were born a loser!
context: To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf.\I'm just...\You can't do a thing in this world. Just give up on everything.\You were born a loser! response:	He's right.
context: You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf.\I'm just...\You can't do a thing in this world. Just give up on everything.\You were born a loser!\He's right. response:	No matter how hard I try, some things just can't be helped.
context: I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf.\I'm just...\You can't do a thing in this world. Just give up on everything.\You were born a loser!\He's right.\No matter how hard I try, some things just can't be helped. response:	I'm just going to give...
context: Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf.\I'm just...\You can't do a thing in this world. Just give up on everything.\You were born a loser!\He's right.\No matter how hard I try, some things just can't be helped.\I'm just going to give... response:	Hey!
context: Yuno's so amazing that he was chosen by the four-leaf.\I'm just...\You can't do a thing in this world. Just give up on everything.\You were born a loser!\He's right.\No matter how hard I try, some things just can't be helped.\I'm just going to give...\Hey! response:	Who are you calling a loser?
context: I'm just...\You can't do a thing in this world. Just give up on everything.\You were born a loser!\He's right.\No matter how hard I try, some things just can't be helped.\I'm just going to give...\Hey!\Who are you calling a loser? response:	Asta, it's true that you won't be able to become the Wizard King,
context: You can't do a thing in this world. Just give up on everything.\You were born a loser!\He's right.\No matter how hard I try, some things just can't be helped.\I'm just going to give...\Hey!\Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King, response:	no matter what.
context: You were born a loser!\He's right.\No matter how hard I try, some things just can't be helped.\I'm just going to give...\Hey!\Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King,\no matter what. response:	You hear that? Even your little friend is telling you it's impossible.
context: He's right.\No matter how hard I try, some things just can't be helped.\I'm just going to give...\Hey!\Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King,\no matter what.\You hear that? Even your little friend is telling you it's impossible. response:	That's because I'm going to become the Wizard King!
context: No matter how hard I try, some things just can't be helped.\I'm just going to give...\Hey!\Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King,\no matter what.\You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King! response:	What?
context: I'm just going to give...\Hey!\Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King,\no matter what.\You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King!\What? response:	He's no loser.
context: Hey!\Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King,\no matter what.\You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King!\What?\He's no loser. response:	He's...
context: Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King,\no matter what.\You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King!\What?\He's no loser.\He's... response:	Asta's my rival!
context: Asta, it's true that you won't be able to become the Wizard King,\no matter what.\You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King!\What?\He's no loser.\He's...\Asta's my rival! response:	Huh?
context: no matter what.\You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King!\What?\He's no loser.\He's...\Asta's my rival!\Huh? response:	Him? Your rival?
context: You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King!\What?\He's no loser.\He's...\Asta's my rival!\Huh?\Him? Your rival? response:	This brat who has no magical power whatsoever?
context: That's because I'm going to become the Wizard King!\What?\He's no loser.\He's...\Asta's my rival!\Huh?\Him? Your rival?\This brat who has no magical power whatsoever? response:	Not... Not yet.
context: What?\He's no loser.\He's...\Asta's my rival!\Huh?\Him? Your rival?\This brat who has no magical power whatsoever?\Not... Not yet. response:	Sorry you had to see me looking that pathetic, Yuno.
context: He's no loser.\He's...\Asta's my rival!\Huh?\Him? Your rival?\This brat who has no magical power whatsoever?\Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno. response:	Just a sec...
context: He's...\Asta's my rival!\Huh?\Him? Your rival?\This brat who has no magical power whatsoever?\Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno.\Just a sec... response:	I'm gonna kick this guy's butt!
context: Asta's my rival!\Huh?\Him? Your rival?\This brat who has no magical power whatsoever?\Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno.\Just a sec...\I'm gonna kick this guy's butt! response:	A gri... moire?
context: Huh?\Him? Your rival?\This brat who has no magical power whatsoever?\Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno.\Just a sec...\I'm gonna kick this guy's butt!\A gri... moire? response:	I knew it.
context: Him? Your rival?\This brat who has no magical power whatsoever?\Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno.\Just a sec...\I'm gonna kick this guy's butt!\A gri... moire?\I knew it. response:	There's no way that Asta wouldn't have been chosen!
context: This brat who has no magical power whatsoever?\Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno.\Just a sec...\I'm gonna kick this guy's butt!\A gri... moire?\I knew it.\There's no way that Asta wouldn't have been chosen! response:	Your magic?
context: Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno.\Just a sec...\I'm gonna kick this guy's butt!\A gri... moire?\I knew it.\There's no way that Asta wouldn't have been chosen!\Your magic? response:	But you didn't have any magic within you!
context: Sorry you had to see me looking that pathetic, Yuno.\Just a sec...\I'm gonna kick this guy's butt!\A gri... moire?\I knew it.\There's no way that Asta wouldn't have been chosen!\Your magic?\But you didn't have any magic within you! response:	What in the world is that grimoire?!
context: Just a sec...\I'm gonna kick this guy's butt!\A gri... moire?\I knew it.\There's no way that Asta wouldn't have been chosen!\Your magic?\But you didn't have any magic within you!\What in the world is that grimoire?! response:	The three leaves of the clover represent faith, hope, and love.
context: I'm gonna kick this guy's butt!\A gri... moire?\I knew it.\There's no way that Asta wouldn't have been chosen!\Your magic?\But you didn't have any magic within you!\What in the world is that grimoire?!\The three leaves of the clover represent faith, hope, and love. response:	Within a fourth leaf dwells good luck.
context: A gri... moire?\I knew it.\There's no way that Asta wouldn't have been chosen!\Your magic?\But you didn't have any magic within you!\What in the world is that grimoire?!\The three leaves of the clover represent faith, hope, and love.\Within a fourth leaf dwells good luck. response:	Within a fifth leaf...
context: I knew it.\There's no way that Asta wouldn't have been chosen!\Your magic?\But you didn't have any magic within you!\What in the world is that grimoire?!\The three leaves of the clover represent faith, hope, and love.\Within a fourth leaf dwells good luck.\Within a fifth leaf... response:	resides a demon.
context: There's no way that Asta wouldn't have been chosen!\Your magic?\But you didn't have any magic within you!\What in the world is that grimoire?!\The three leaves of the clover represent faith, hope, and love.\Within a fourth leaf dwells good luck.\Within a fifth leaf...\resides a demon. response:	Asta and Yuno
context: Your magic?\But you didn't have any magic within you!\What in the world is that grimoire?!\The three leaves of the clover represent faith, hope, and love.\Within a fourth leaf dwells good luck.\Within a fifth leaf...\resides a demon.\Asta and Yuno response:	Grey words can't make anything happen
context: But you didn't have any magic within you!\What in the world is that grimoire?!\The three leaves of the clover represent faith, hope, and love.\Within a fourth leaf dwells good luck.\Within a fifth leaf...\resides a demon.\Asta and Yuno\Grey words can't make anything happen response:	I know, yeah I know
context: What in the world is that grimoire?!\The three leaves of the clover represent faith, hope, and love.\Within a fourth leaf dwells good luck.\Within a fifth leaf...\resides a demon.\Asta and Yuno\Grey words can't make anything happen\I know, yeah I know response:	Wishing to fly freely across the sky
context: The three leaves of the clover represent faith, hope, and love.\Within a fourth leaf dwells good luck.\Within a fifth leaf...\resides a demon.\Asta and Yuno\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky response:	I dreamed it all my life
context: Within a fourth leaf dwells good luck.\Within a fifth leaf...\resides a demon.\Asta and Yuno\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life response:	Step by step I go, though it's a doubtful world
context: Within a fifth leaf...\resides a demon.\Asta and Yuno\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world response:	Don't care how much I fall
context: resides a demon.\Asta and Yuno\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall response:	Instinct is my guide, I never give up
context: Asta and Yuno\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up response:	To faraway future, I burst out running
context: Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running response:	Go beyond even the unseen fears
context: I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears response:	The vision I had, so I can be myself
context: Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself response:	Someday I will write the next page
context: I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page response:	You are my hope
context: Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope response:	Like that page from someday
context: Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday response:	I was able to meet you
context: Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you response:	I call this a miracle
context: To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle response:	I'm not going to give up just because I can't use magic!
context: Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\I'm not going to give up just because I can't use magic! response:	It doesn't matter if you're a peasant or an orphan! Anyone can shine in this world!
context: The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\I'm not going to give up just because I can't use magic!\It doesn't matter if you're a peasant or an orphan! Anyone can shine in this world! response:	Black Clover, Page 2: The Boys' Promise.
context: Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\I'm not going to give up just because I can't use magic!\It doesn't matter if you're a peasant or an orphan! Anyone can shine in this world!\Black Clover, Page 2: The Boys' Promise. response:	Page 2 The Boys' Promise
context: You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\I'm not going to give up just because I can't use magic!\It doesn't matter if you're a peasant or an orphan! Anyone can shine in this world!\Black Clover, Page 2: The Boys' Promise.\Page 2 The Boys' Promise response:	Not giving up is my magic!
