context: Nothing lets you call the students of Seika flies. response:	I demand an apology from you.
context: It's not even this.\There it is!\This is...\Ayuzawa-san, are you all right?\Um, I can't seem to find my uniform.\Ah. I asked a girl to take it to the dry cleaning so it doesn't get stained.\Um, then what am I supposed to wear?\There's something there for you, isn't there? response:	You're telling me to wear this?
context: There it is!\This is...\Ayuzawa-san, are you all right?\Um, I can't seem to find my uniform.\Ah. I asked a girl to take it to the dry cleaning so it doesn't get stained.\Um, then what am I supposed to wear?\There's something there for you, isn't there?\You're telling me to wear this? response:	Is there something wrong, Ayuzawa-san?
context: This is...\Ayuzawa-san, are you all right?\Um, I can't seem to find my uniform.\Ah. I asked a girl to take it to the dry cleaning so it doesn't get stained.\Um, then what am I supposed to wear?\There's something there for you, isn't there?\You're telling me to wear this?\Is there something wrong, Ayuzawa-san? response:	Well, it exposes a little too much.
context: Ayuzawa-san, are you all right?\Um, I can't seem to find my uniform.\Ah. I asked a girl to take it to the dry cleaning so it doesn't get stained.\Um, then what am I supposed to wear?\There's something there for you, isn't there?\You're telling me to wear this?\Is there something wrong, Ayuzawa-san?\Well, it exposes a little too much. response:	Did you perhaps burn yourself in the shower?
context: Um, I can't seem to find my uniform.\Ah. I asked a girl to take it to the dry cleaning so it doesn't get stained.\Um, then what am I supposed to wear?\There's something there for you, isn't there?\You're telling me to wear this?\Is there something wrong, Ayuzawa-san?\Well, it exposes a little too much.\Did you perhaps burn yourself in the shower? response:	Huh?
context: Ah. I asked a girl to take it to the dry cleaning so it doesn't get stained.\Um, then what am I supposed to wear?\There's something there for you, isn't there?\You're telling me to wear this?\Is there something wrong, Ayuzawa-san?\Well, it exposes a little too much.\Did you perhaps burn yourself in the shower?\Huh? response:	And, perhaps you're trying to cover the burn with your clothes in order to be considerate to us?
context: Um, then what am I supposed to wear?\There's something there for you, isn't there?\You're telling me to wear this?\Is there something wrong, Ayuzawa-san?\Well, it exposes a little too much.\Did you perhaps burn yourself in the shower?\Huh?\And, perhaps you're trying to cover the burn with your clothes in order to be considerate to us? response:	No, nothing like that...
context: There's something there for you, isn't there?\You're telling me to wear this?\Is there something wrong, Ayuzawa-san?\Well, it exposes a little too much.\Did you perhaps burn yourself in the shower?\Huh?\And, perhaps you're trying to cover the burn with your clothes in order to be considerate to us?\No, nothing like that... response:	Or maybe you slipped and fell?
context: You're telling me to wear this?\Is there something wrong, Ayuzawa-san?\Well, it exposes a little too much.\Did you perhaps burn yourself in the shower?\Huh?\And, perhaps you're trying to cover the burn with your clothes in order to be considerate to us?\No, nothing like that...\Or maybe you slipped and fell? response:	No, I didn't do that, either.
context: Is there something wrong, Ayuzawa-san?\Well, it exposes a little too much.\Did you perhaps burn yourself in the shower?\Huh?\And, perhaps you're trying to cover the burn with your clothes in order to be considerate to us?\No, nothing like that...\Or maybe you slipped and fell?\No, I didn't do that, either. response:	Are you sure that you didn't injure yourself?
context: Well, it exposes a little too much.\Did you perhaps burn yourself in the shower?\Huh?\And, perhaps you're trying to cover the burn with your clothes in order to be considerate to us?\No, nothing like that...\Or maybe you slipped and fell?\No, I didn't do that, either.\Are you sure that you didn't injure yourself? response:	Really, like I said-
context: Did you perhaps burn yourself in the shower?\Huh?\And, perhaps you're trying to cover the burn with your clothes in order to be considerate to us?\No, nothing like that...\Or maybe you slipped and fell?\No, I didn't do that, either.\Are you sure that you didn't injure yourself?\Really, like I said- response:	I'm coming in, okay?
context: Huh?\And, perhaps you're trying to cover the burn with your clothes in order to be considerate to us?\No, nothing like that...\Or maybe you slipped and fell?\No, I didn't do that, either.\Are you sure that you didn't injure yourself?\Really, like I said-\I'm coming in, okay? response:	Hold just a second!
context: And, perhaps you're trying to cover the burn with your clothes in order to be considerate to us?\No, nothing like that...\Or maybe you slipped and fell?\No, I didn't do that, either.\Are you sure that you didn't injure yourself?\Really, like I said-\I'm coming in, okay?\Hold just a second! response:	I'm all right.
context: No, nothing like that...\Or maybe you slipped and fell?\No, I didn't do that, either.\Are you sure that you didn't injure yourself?\Really, like I said-\I'm coming in, okay?\Hold just a second!\I'm all right. response:	I'm not hurt at all.
context: Or maybe you slipped and fell?\No, I didn't do that, either.\Are you sure that you didn't injure yourself?\Really, like I said-\I'm coming in, okay?\Hold just a second!\I'm all right.\I'm not hurt at all. response:	You sound very agitated.
context: No, I didn't do that, either.\Are you sure that you didn't injure yourself?\Really, like I said-\I'm coming in, okay?\Hold just a second!\I'm all right.\I'm not hurt at all.\You sound very agitated. response:	It's the clothes! They're embarrassing!
context: Are you sure that you didn't injure yourself?\Really, like I said-\I'm coming in, okay?\Hold just a second!\I'm all right.\I'm not hurt at all.\You sound very agitated.\It's the clothes! They're embarrassing! response:	Why would you lie like that?
context: Really, like I said-\I'm coming in, okay?\Hold just a second!\I'm all right.\I'm not hurt at all.\You sound very agitated.\It's the clothes! They're embarrassing!\Why would you lie like that? response:	I'm not lying!
context: I'm coming in, okay?\Hold just a second!\I'm all right.\I'm not hurt at all.\You sound very agitated.\It's the clothes! They're embarrassing!\Why would you lie like that?\I'm not lying! response:	Then let me confirm that you're fine.
context: Hold just a second!\I'm all right.\I'm not hurt at all.\You sound very agitated.\It's the clothes! They're embarrassing!\Why would you lie like that?\I'm not lying!\Then let me confirm that you're fine. response:	I'll get changed, so give me ten seconds!
context: I'm all right.\I'm not hurt at all.\You sound very agitated.\It's the clothes! They're embarrassing!\Why would you lie like that?\I'm not lying!\Then let me confirm that you're fine.\I'll get changed, so give me ten seconds! response:	Ten is all you need?
context: I'm not hurt at all.\You sound very agitated.\It's the clothes! They're embarrassing!\Why would you lie like that?\I'm not lying!\Then let me confirm that you're fine.\I'll get changed, so give me ten seconds!\Ten is all you need? response:	Ten
context: You sound very agitated.\It's the clothes! They're embarrassing!\Why would you lie like that?\I'm not lying!\Then let me confirm that you're fine.\I'll get changed, so give me ten seconds!\Ten is all you need?\Ten response:	Nine
context: It's the clothes! They're embarrassing!\Why would you lie like that?\I'm not lying!\Then let me confirm that you're fine.\I'll get changed, so give me ten seconds!\Ten is all you need?\Ten\Nine response:	Eight
context: Why would you lie like that?\I'm not lying!\Then let me confirm that you're fine.\I'll get changed, so give me ten seconds!\Ten is all you need?\Ten\Nine\Eight response:	Seven
context: I'm not lying!\Then let me confirm that you're fine.\I'll get changed, so give me ten seconds!\Ten is all you need?\Ten\Nine\Eight\Seven response:	Six
context: Then let me confirm that you're fine.\I'll get changed, so give me ten seconds!\Ten is all you need?\Ten\Nine\Eight\Seven\Six response:	Five
context: I'll get changed, so give me ten seconds!\Ten is all you need?\Ten\Nine\Eight\Seven\Six\Five response:	Four
context: Ten is all you need?\Ten\Nine\Eight\Seven\Six\Five\Four response:	Three
context: Ten\Nine\Eight\Seven\Six\Five\Four\Three response:	Two
context: Nine\Eight\Seven\Six\Five\Four\Three\Two response:	One
context: Eight\Seven\Six\Five\Four\Three\Two\One response:	Zero.
context: Seven\Six\Five\Four\Three\Two\One\Zero. response:	He's serious with his countdown!
context: Six\Five\Four\Three\Two\One\Zero.\He's serious with his countdown! response:	What's wrong with him?
context: Five\Four\Three\Two\One\Zero.\He's serious with his countdown!\What's wrong with him? response:	Give me back my uniform!
context: Four\Three\Two\One\Zero.\He's serious with his countdown!\What's wrong with him?\Give me back my uniform! response:	See? It's weird! I look weird, don't I?
context: Three\Two\One\Zero.\He's serious with his countdown!\What's wrong with him?\Give me back my uniform!\See? It's weird! I look weird, don't I? response:	See what I mean?
context: Two\One\Zero.\He's serious with his countdown!\What's wrong with him?\Give me back my uniform!\See? It's weird! I look weird, don't I?\See what I mean? response:	I was thinking, despite what you said, you're wearing it perfectly.
context: One\Zero.\He's serious with his countdown!\What's wrong with him?\Give me back my uniform!\See? It's weird! I look weird, don't I?\See what I mean?\I was thinking, despite what you said, you're wearing it perfectly. response:	Force of habit.
context: Zero.\He's serious with his countdown!\What's wrong with him?\Give me back my uniform!\See? It's weird! I look weird, don't I?\See what I mean?\I was thinking, despite what you said, you're wearing it perfectly.\Force of habit. response:	Anyways, I don't mind it being dirty, so please give me back my uniform.
context: He's serious with his countdown!\What's wrong with him?\Give me back my uniform!\See? It's weird! I look weird, don't I?\See what I mean?\I was thinking, despite what you said, you're wearing it perfectly.\Force of habit.\Anyways, I don't mind it being dirty, so please give me back my uniform. response:	What a waste that would be.
context: What's wrong with him?\Give me back my uniform!\See? It's weird! I look weird, don't I?\See what I mean?\I was thinking, despite what you said, you're wearing it perfectly.\Force of habit.\Anyways, I don't mind it being dirty, so please give me back my uniform.\What a waste that would be. response:	You look really good in that.
context: Give me back my uniform!\See? It's weird! I look weird, don't I?\See what I mean?\I was thinking, despite what you said, you're wearing it perfectly.\Force of habit.\Anyways, I don't mind it being dirty, so please give me back my uniform.\What a waste that would be.\You look really good in that. response:	Wouldn't you think so, too?
context: See? It's weird! I look weird, don't I?\See what I mean?\I was thinking, despite what you said, you're wearing it perfectly.\Force of habit.\Anyways, I don't mind it being dirty, so please give me back my uniform.\What a waste that would be.\You look really good in that.\Wouldn't you think so, too? response:	You like things like this, doncha?
context: See what I mean?\I was thinking, despite what you said, you're wearing it perfectly.\Force of habit.\Anyways, I don't mind it being dirty, so please give me back my uniform.\What a waste that would be.\You look really good in that.\Wouldn't you think so, too?\You like things like this, doncha? response:	That's...
context: I was thinking, despite what you said, you're wearing it perfectly.\Force of habit.\Anyways, I don't mind it being dirty, so please give me back my uniform.\What a waste that would be.\You look really good in that.\Wouldn't you think so, too?\You like things like this, doncha?\That's... response:	A girl like you chose a job like this, but acts totally different at school.
context: Force of habit.\Anyways, I don't mind it being dirty, so please give me back my uniform.\What a waste that would be.\You look really good in that.\Wouldn't you think so, too?\You like things like this, doncha?\That's...\A girl like you chose a job like this, but acts totally different at school. response:	You're way too interesting.
context: Anyways, I don't mind it being dirty, so please give me back my uniform.\What a waste that would be.\You look really good in that.\Wouldn't you think so, too?\You like things like this, doncha?\That's...\A girl like you chose a job like this, but acts totally different at school.\You're way too interesting. response:	You're not going anywhere. I've got a bunch of people outside.
context: What a waste that would be.\You look really good in that.\Wouldn't you think so, too?\You like things like this, doncha?\That's...\A girl like you chose a job like this, but acts totally different at school.\You're way too interesting.\You're not going anywhere. I've got a bunch of people outside. response:	Anyways, come over here.
context: You look really good in that.\Wouldn't you think so, too?\You like things like this, doncha?\That's...\A girl like you chose a job like this, but acts totally different at school.\You're way too interesting.\You're not going anywhere. I've got a bunch of people outside.\Anyways, come over here. response:	So that's your true face.
context: Wouldn't you think so, too?\You like things like this, doncha?\That's...\A girl like you chose a job like this, but acts totally different at school.\You're way too interesting.\You're not going anywhere. I've got a bunch of people outside.\Anyways, come over here.\So that's your true face. response:	I couldn't see through it at all.
context: You like things like this, doncha?\That's...\A girl like you chose a job like this, but acts totally different at school.\You're way too interesting.\You're not going anywhere. I've got a bunch of people outside.\Anyways, come over here.\So that's your true face.\I couldn't see through it at all. response:	I knew you were thickheaded from the first time I met you.
context: That's...\A girl like you chose a job like this, but acts totally different at school.\You're way too interesting.\You're not going anywhere. I've got a bunch of people outside.\Anyways, come over here.\So that's your true face.\I couldn't see through it at all.\I knew you were thickheaded from the first time I met you. response:	He's horrible.
context: A girl like you chose a job like this, but acts totally different at school.\You're way too interesting.\You're not going anywhere. I've got a bunch of people outside.\Anyways, come over here.\So that's your true face.\I couldn't see through it at all.\I knew you were thickheaded from the first time I met you.\He's horrible. response:	But honestly, you disappoint me. I didn't think you'd fall for this so easily.
context: You're way too interesting.\You're not going anywhere. I've got a bunch of people outside.\Anyways, come over here.\So that's your true face.\I couldn't see through it at all.\I knew you were thickheaded from the first time I met you.\He's horrible.\But honestly, you disappoint me. I didn't think you'd fall for this so easily. response:	I thought you'd put up a better fight.
context: You're not going anywhere. I've got a bunch of people outside.\Anyways, come over here.\So that's your true face.\I couldn't see through it at all.\I knew you were thickheaded from the first time I met you.\He's horrible.\But honestly, you disappoint me. I didn't think you'd fall for this so easily.\I thought you'd put up a better fight. response:	You work as a maid and student council president, and I look forward to seeing what you'll accomplish at Miyabigaoka, too.
context: Anyways, come over here.\So that's your true face.\I couldn't see through it at all.\I knew you were thickheaded from the first time I met you.\He's horrible.\But honestly, you disappoint me. I didn't think you'd fall for this so easily.\I thought you'd put up a better fight.\You work as a maid and student council president, and I look forward to seeing what you'll accomplish at Miyabigaoka, too. response:	Wait. You're misunderstanding something.
context: So that's your true face.\I couldn't see through it at all.\I knew you were thickheaded from the first time I met you.\He's horrible.\But honestly, you disappoint me. I didn't think you'd fall for this so easily.\I thought you'd put up a better fight.\You work as a maid and student council president, and I look forward to seeing what you'll accomplish at Miyabigaoka, too.\Wait. You're misunderstanding something. response:	Fine.
context: I couldn't see through it at all.\I knew you were thickheaded from the first time I met you.\He's horrible.\But honestly, you disappoint me. I didn't think you'd fall for this so easily.\I thought you'd put up a better fight.\You work as a maid and student council president, and I look forward to seeing what you'll accomplish at Miyabigaoka, too.\Wait. You're misunderstanding something.\Fine. response:	Isn't this enough?
context: I knew you were thickheaded from the first time I met you.\He's horrible.\But honestly, you disappoint me. I didn't think you'd fall for this so easily.\I thought you'd put up a better fight.\You work as a maid and student council president, and I look forward to seeing what you'll accomplish at Miyabigaoka, too.\Wait. You're misunderstanding something.\Fine.\Isn't this enough? response:	If this isn't enough, then entertain me more.
context: He's horrible.\But honestly, you disappoint me. I didn't think you'd fall for this so easily.\I thought you'd put up a better fight.\You work as a maid and student council president, and I look forward to seeing what you'll accomplish at Miyabigaoka, too.\Wait. You're misunderstanding something.\Fine.\Isn't this enough?\If this isn't enough, then entertain me more. response:	Entertain?
context: But honestly, you disappoint me. I didn't think you'd fall for this so easily.\I thought you'd put up a better fight.\You work as a maid and student council president, and I look forward to seeing what you'll accomplish at Miyabigaoka, too.\Wait. You're misunderstanding something.\Fine.\Isn't this enough?\If this isn't enough, then entertain me more.\Entertain? response:	Since I'm the next heir of the Igarashi Foundation, that's enough to attract all the women in the world.
context: I thought you'd put up a better fight.\You work as a maid and student council president, and I look forward to seeing what you'll accomplish at Miyabigaoka, too.\Wait. You're misunderstanding something.\Fine.\Isn't this enough?\If this isn't enough, then entertain me more.\Entertain?\Since I'm the next heir of the Igarashi Foundation, that's enough to attract all the women in the world. response:	I'm bored with obedient women.
context: You work as a maid and student council president, and I look forward to seeing what you'll accomplish at Miyabigaoka, too.\Wait. You're misunderstanding something.\Fine.\Isn't this enough?\If this isn't enough, then entertain me more.\Entertain?\Since I'm the next heir of the Igarashi Foundation, that's enough to attract all the women in the world.\I'm bored with obedient women. response:	I had some hope in you.
context: Wait. You're misunderstanding something.\Fine.\Isn't this enough?\If this isn't enough, then entertain me more.\Entertain?\Since I'm the next heir of the Igarashi Foundation, that's enough to attract all the women in the world.\I'm bored with obedient women.\I had some hope in you. response:	You came here lured by the money.
context: Fine.\Isn't this enough?\If this isn't enough, then entertain me more.\Entertain?\Since I'm the next heir of the Igarashi Foundation, that's enough to attract all the women in the world.\I'm bored with obedient women.\I had some hope in you.\You came here lured by the money. response:	In the end, you're no different from the others.
context: Isn't this enough?\If this isn't enough, then entertain me more.\Entertain?\Since I'm the next heir of the Igarashi Foundation, that's enough to attract all the women in the world.\I'm bored with obedient women.\I had some hope in you.\You came here lured by the money.\In the end, you're no different from the others. response:	Just another worthless woman.
context: If this isn't enough, then entertain me more.\Entertain?\Since I'm the next heir of the Igarashi Foundation, that's enough to attract all the women in the world.\I'm bored with obedient women.\I had some hope in you.\You came here lured by the money.\In the end, you're no different from the others.\Just another worthless woman. response:	I pity you.
context: Entertain?\Since I'm the next heir of the Igarashi Foundation, that's enough to attract all the women in the world.\I'm bored with obedient women.\I had some hope in you.\You came here lured by the money.\In the end, you're no different from the others.\Just another worthless woman.\I pity you. response:	Have you been looking down on people like that all your life?
context: Since I'm the next heir of the Igarashi Foundation, that's enough to attract all the women in the world.\I'm bored with obedient women.\I had some hope in you.\You came here lured by the money.\In the end, you're no different from the others.\Just another worthless woman.\I pity you.\Have you been looking down on people like that all your life? response:	If you say those around you are worthless, then that's your fault.
context: I'm bored with obedient women.\I had some hope in you.\You came here lured by the money.\In the end, you're no different from the others.\Just another worthless woman.\I pity you.\Have you been looking down on people like that all your life?\If you say those around you are worthless, then that's your fault. response:	There is not a single person in this world that is worthless.
context: I had some hope in you.\You came here lured by the money.\In the end, you're no different from the others.\Just another worthless woman.\I pity you.\Have you been looking down on people like that all your life?\If you say those around you are worthless, then that's your fault.\There is not a single person in this world that is worthless. response:	The reason I came here today is to decline your offer.
context: You came here lured by the money.\In the end, you're no different from the others.\Just another worthless woman.\I pity you.\Have you been looking down on people like that all your life?\If you say those around you are worthless, then that's your fault.\There is not a single person in this world that is worthless.\The reason I came here today is to decline your offer. response:	That's all I came for!
context: In the end, you're no different from the others.\Just another worthless woman.\I pity you.\Have you been looking down on people like that all your life?\If you say those around you are worthless, then that's your fault.\There is not a single person in this world that is worthless.\The reason I came here today is to decline your offer.\That's all I came for! response:	I have no intention of quitting being Seika's President!
context: Just another worthless woman.\I pity you.\Have you been looking down on people like that all your life?\If you say those around you are worthless, then that's your fault.\There is not a single person in this world that is worthless.\The reason I came here today is to decline your offer.\That's all I came for!\I have no intention of quitting being Seika's President! response:	Man, you are...
context: I pity you.\Have you been looking down on people like that all your life?\If you say those around you are worthless, then that's your fault.\There is not a single person in this world that is worthless.\The reason I came here today is to decline your offer.\That's all I came for!\I have no intention of quitting being Seika's President!\Man, you are... response:	So interesting.
context: Have you been looking down on people like that all your life?\If you say those around you are worthless, then that's your fault.\There is not a single person in this world that is worthless.\The reason I came here today is to decline your offer.\That's all I came for!\I have no intention of quitting being Seika's President!\Man, you are...\So interesting. response:	Forget it. You've got aikido, but I've got judo.
context: If you say those around you are worthless, then that's your fault.\There is not a single person in this world that is worthless.\The reason I came here today is to decline your offer.\That's all I came for!\I have no intention of quitting being Seika's President!\Man, you are...\So interesting.\Forget it. You've got aikido, but I've got judo. response:	I'm best on the mat.
context: There is not a single person in this world that is worthless.\The reason I came here today is to decline your offer.\That's all I came for!\I have no intention of quitting being Seika's President!\Man, you are...\So interesting.\Forget it. You've got aikido, but I've got judo.\I'm best on the mat. response:	Hey, stop it.
context: The reason I came here today is to decline your offer.\That's all I came for!\I have no intention of quitting being Seika's President!\Man, you are...\So interesting.\Forget it. You've got aikido, but I've got judo.\I'm best on the mat.\Hey, stop it. response:	Stop right there.
context: That's all I came for!\I have no intention of quitting being Seika's President!\Man, you are...\So interesting.\Forget it. You've got aikido, but I've got judo.\I'm best on the mat.\Hey, stop it.\Stop right there. response:	What happened to the guys outside?
context: I have no intention of quitting being Seika's President!\Man, you are...\So interesting.\Forget it. You've got aikido, but I've got judo.\I'm best on the mat.\Hey, stop it.\Stop right there.\What happened to the guys outside? response:	They wouldn't let me in, so I misbehaved a bit.
context: Man, you are...\So interesting.\Forget it. You've got aikido, but I've got judo.\I'm best on the mat.\Hey, stop it.\Stop right there.\What happened to the guys outside?\They wouldn't let me in, so I misbehaved a bit. response:	Sorry.
context: So interesting.\Forget it. You've got aikido, but I've got judo.\I'm best on the mat.\Hey, stop it.\Stop right there.\What happened to the guys outside?\They wouldn't let me in, so I misbehaved a bit.\Sorry. response:	But, you're misbehaving more than I am, aren't you, perv bro?
context: Forget it. You've got aikido, but I've got judo.\I'm best on the mat.\Hey, stop it.\Stop right there.\What happened to the guys outside?\They wouldn't let me in, so I misbehaved a bit.\Sorry.\But, you're misbehaving more than I am, aren't you, perv bro? response:	You've got some guts.
context: I'm best on the mat.\Hey, stop it.\Stop right there.\What happened to the guys outside?\They wouldn't let me in, so I misbehaved a bit.\Sorry.\But, you're misbehaving more than I am, aren't you, perv bro?\You've got some guts. response:	In any case, could you go find another person to do this with?
context: Hey, stop it.\Stop right there.\What happened to the guys outside?\They wouldn't let me in, so I misbehaved a bit.\Sorry.\But, you're misbehaving more than I am, aren't you, perv bro?\You've got some guts.\In any case, could you go find another person to do this with? response:	She's not someone people can touch so nonchalantly.
context: Stop right there.\What happened to the guys outside?\They wouldn't let me in, so I misbehaved a bit.\Sorry.\But, you're misbehaving more than I am, aren't you, perv bro?\You've got some guts.\In any case, could you go find another person to do this with?\She's not someone people can touch so nonchalantly. response:	You're one to talk!
context: What happened to the guys outside?\They wouldn't let me in, so I misbehaved a bit.\Sorry.\But, you're misbehaving more than I am, aren't you, perv bro?\You've got some guts.\In any case, could you go find another person to do this with?\She's not someone people can touch so nonchalantly.\You're one to talk! response:	That's all I've got to say.
context: They wouldn't let me in, so I misbehaved a bit.\Sorry.\But, you're misbehaving more than I am, aren't you, perv bro?\You've got some guts.\In any case, could you go find another person to do this with?\She's not someone people can touch so nonchalantly.\You're one to talk!\That's all I've got to say. response:	Let's go, Prez.
context: Sorry.\But, you're misbehaving more than I am, aren't you, perv bro?\You've got some guts.\In any case, could you go find another person to do this with?\She's not someone people can touch so nonchalantly.\You're one to talk!\That's all I've got to say.\Let's go, Prez. response:	Hey, wait.
context: But, you're misbehaving more than I am, aren't you, perv bro?\You've got some guts.\In any case, could you go find another person to do this with?\She's not someone people can touch so nonchalantly.\You're one to talk!\That's all I've got to say.\Let's go, Prez.\Hey, wait. response:	President Igarashi.
context: You've got some guts.\In any case, could you go find another person to do this with?\She's not someone people can touch so nonchalantly.\You're one to talk!\That's all I've got to say.\Let's go, Prez.\Hey, wait.\President Igarashi. response:	Excuse us.
context: In any case, could you go find another person to do this with?\She's not someone people can touch so nonchalantly.\You're one to talk!\That's all I've got to say.\Let's go, Prez.\Hey, wait.\President Igarashi.\Excuse us. response:	Usui, why are you here?
context: She's not someone people can touch so nonchalantly.\You're one to talk!\That's all I've got to say.\Let's go, Prez.\Hey, wait.\President Igarashi.\Excuse us.\Usui, why are you here? response:	I can't believe you were fooled by him.
context: You're one to talk!\That's all I've got to say.\Let's go, Prez.\Hey, wait.\President Igarashi.\Excuse us.\Usui, why are you here?\I can't believe you were fooled by him. response:	Besides...
context: That's all I've got to say.\Let's go, Prez.\Hey, wait.\President Igarashi.\Excuse us.\Usui, why are you here?\I can't believe you were fooled by him.\Besides... response:	You called me, right?
context: Let's go, Prez.\Hey, wait.\President Igarashi.\Excuse us.\Usui, why are you here?\I can't believe you were fooled by him.\Besides...\You called me, right? response:	W-What are you saying?
context: Hey, wait.\President Igarashi.\Excuse us.\Usui, why are you here?\I can't believe you were fooled by him.\Besides...\You called me, right?\W-What are you saying? response:	Don't be ridiculous. I never called out for you.
context: President Igarashi.\Excuse us.\Usui, why are you here?\I can't believe you were fooled by him.\Besides...\You called me, right?\W-What are you saying?\Don't be ridiculous. I never called out for you. response:	I have no intention of quitting being Seika's President!
context: Excuse us.\Usui, why are you here?\I can't believe you were fooled by him.\Besides...\You called me, right?\W-What are you saying?\Don't be ridiculous. I never called out for you.\I have no intention of quitting being Seika's President! response:	But well, good job.
context: Usui, why are you here?\I can't believe you were fooled by him.\Besides...\You called me, right?\W-What are you saying?\Don't be ridiculous. I never called out for you.\I have no intention of quitting being Seika's President!\But well, good job. response:	Oh, I figured.
context: I can't believe you were fooled by him.\Besides...\You called me, right?\W-What are you saying?\Don't be ridiculous. I never called out for you.\I have no intention of quitting being Seika's President!\But well, good job.\Oh, I figured. response:	Usui.
context: Besides...\You called me, right?\W-What are you saying?\Don't be ridiculous. I never called out for you.\I have no intention of quitting being Seika's President!\But well, good job.\Oh, I figured.\Usui. response:	T-Thank... you...
context: You called me, right?\W-What are you saying?\Don't be ridiculous. I never called out for you.\I have no intention of quitting being Seika's President!\But well, good job.\Oh, I figured.\Usui.\T-Thank... you... response:	Oh, I did get your clothes back.
context: W-What are you saying?\Don't be ridiculous. I never called out for you.\I have no intention of quitting being Seika's President!\But well, good job.\Oh, I figured.\Usui.\T-Thank... you...\Oh, I did get your clothes back. response:	I have the refined Miyabigaoka uniform that uses the finest thread and the clothes you always wear.
context: Don't be ridiculous. I never called out for you.\I have no intention of quitting being Seika's President!\But well, good job.\Oh, I figured.\Usui.\T-Thank... you...\Oh, I did get your clothes back.\I have the refined Miyabigaoka uniform that uses the finest thread and the clothes you always wear. response:	Which would you like?
context: I have no intention of quitting being Seika's President!\But well, good job.\Oh, I figured.\Usui.\T-Thank... you...\Oh, I did get your clothes back.\I have the refined Miyabigaoka uniform that uses the finest thread and the clothes you always wear.\Which would you like? response:	Give them back to me already!
context: But well, good job.\Oh, I figured.\Usui.\T-Thank... you...\Oh, I did get your clothes back.\I have the refined Miyabigaoka uniform that uses the finest thread and the clothes you always wear.\Which would you like?\Give them back to me already! response:	Of course.
context: Oh, I figured.\Usui.\T-Thank... you...\Oh, I did get your clothes back.\I have the refined Miyabigaoka uniform that uses the finest thread and the clothes you always wear.\Which would you like?\Give them back to me already!\Of course. response:	Prez!
context: Usui.\T-Thank... you...\Oh, I did get your clothes back.\I have the refined Miyabigaoka uniform that uses the finest thread and the clothes you always wear.\Which would you like?\Give them back to me already!\Of course.\Prez! response:	Master!
context: T-Thank... you...\Oh, I did get your clothes back.\I have the refined Miyabigaoka uniform that uses the finest thread and the clothes you always wear.\Which would you like?\Give them back to me already!\Of course.\Prez!\Master! response:	You guys...
context: Oh, I did get your clothes back.\I have the refined Miyabigaoka uniform that uses the finest thread and the clothes you always wear.\Which would you like?\Give them back to me already!\Of course.\Prez!\Master!\You guys... response:	Misaki-san.
context: I have the refined Miyabigaoka uniform that uses the finest thread and the clothes you always wear.\Which would you like?\Give them back to me already!\Of course.\Prez!\Master!\You guys...\Misaki-san. response:	Misaki!
context: Which would you like?\Give them back to me already!\Of course.\Prez!\Master!\You guys...\Misaki-san.\Misaki! response:	I turned down the transfer offer, so don't worry, everyone.
context: Give them back to me already!\Of course.\Prez!\Master!\You guys...\Misaki-san.\Misaki!\I turned down the transfer offer, so don't worry, everyone. response:	We were so worried!
context: Of course.\Prez!\Master!\You guys...\Misaki-san.\Misaki!\I turned down the transfer offer, so don't worry, everyone.\We were so worried! response:	Why is Usui here?
context: Prez!\Master!\You guys...\Misaki-san.\Misaki!\I turned down the transfer offer, so don't worry, everyone.\We were so worried!\Why is Usui here? response:	She really is an interesting woman.
context: Master!\You guys...\Misaki-san.\Misaki!\I turned down the transfer offer, so don't worry, everyone.\We were so worried!\Why is Usui here?\She really is an interesting woman. response:	Prez, in that situation, you'd only call out my name, right?
context: You guys...\Misaki-san.\Misaki!\I turned down the transfer offer, so don't worry, everyone.\We were so worried!\Why is Usui here?\She really is an interesting woman.\Prez, in that situation, you'd only call out my name, right? response:	You're annoying, Usui! I said I didn't call out your name.
context: Misaki-san.\Misaki!\I turned down the transfer offer, so don't worry, everyone.\We were so worried!\Why is Usui here?\She really is an interesting woman.\Prez, in that situation, you'd only call out my name, right?\You're annoying, Usui! I said I didn't call out your name. response:	Well I definitely heard it.
context: Misaki!\I turned down the transfer offer, so don't worry, everyone.\We were so worried!\Why is Usui here?\She really is an interesting woman.\Prez, in that situation, you'd only call out my name, right?\You're annoying, Usui! I said I didn't call out your name.\Well I definitely heard it. response:	Where were you?
context: I turned down the transfer offer, so don't worry, everyone.\We were so worried!\Why is Usui here?\She really is an interesting woman.\Prez, in that situation, you'd only call out my name, right?\You're annoying, Usui! I said I didn't call out your name.\Well I definitely heard it.\Where were you? response:	There's no way you could have heard such a soft voice.
context: We were so worried!\Why is Usui here?\She really is an interesting woman.\Prez, in that situation, you'd only call out my name, right?\You're annoying, Usui! I said I didn't call out your name.\Well I definitely heard it.\Where were you?\There's no way you could have heard such a soft voice. response:	See?
context: Why is Usui here?\She really is an interesting woman.\Prez, in that situation, you'd only call out my name, right?\You're annoying, Usui! I said I didn't call out your name.\Well I definitely heard it.\Where were you?\There's no way you could have heard such a soft voice.\See? response:	Huh? Why are Sakura and Yukimura dressed like that?
