context: If I saw everyone again right now... response:	I know that I'd depend on them just as much as I did back then.
context: Hachi would be stuck in an impossible situation.\It's been a while since I've watched fireworks.\They sure are pretty.\This is the first time I've ever had food from a food stand.\It's pretty good!\But it's hard to eat with chopsticks.\I wonder if any of the stands have forks.\D-Don't spoil him! response:	Make him practice!
context: It's been a while since I've watched fireworks.\They sure are pretty.\This is the first time I've ever had food from a food stand.\It's pretty good!\But it's hard to eat with chopsticks.\I wonder if any of the stands have forks.\D-Don't spoil him!\Make him practice! response:	Don't grab me so suddenly!
context: They sure are pretty.\This is the first time I've ever had food from a food stand.\It's pretty good!\But it's hard to eat with chopsticks.\I wonder if any of the stands have forks.\D-Don't spoil him!\Make him practice!\Don't grab me so suddenly! response:	My wig will shift!
context: This is the first time I've ever had food from a food stand.\It's pretty good!\But it's hard to eat with chopsticks.\I wonder if any of the stands have forks.\D-Don't spoil him!\Make him practice!\Don't grab me so suddenly!\My wig will shift! response:	HACHI
context: It's pretty good!\But it's hard to eat with chopsticks.\I wonder if any of the stands have forks.\D-Don't spoil him!\Make him practice!\Don't grab me so suddenly!\My wig will shift!\HACHI response:	- Your wig! - Hello?
context: But it's hard to eat with chopsticks.\I wonder if any of the stands have forks.\D-Don't spoil him!\Make him practice!\Don't grab me so suddenly!\My wig will shift!\HACHI\- Your wig! - Hello? response:	Shin?
context: I wonder if any of the stands have forks.\D-Don't spoil him!\Make him practice!\Don't grab me so suddenly!\My wig will shift!\HACHI\- Your wig! - Hello?\Shin? response:	Yeah, what is it?
context: D-Don't spoil him!\Make him practice!\Don't grab me so suddenly!\My wig will shift!\HACHI\- Your wig! - Hello?\Shin?\Yeah, what is it? response:	I got to the apartment, but no one's answering.
context: Make him practice!\Don't grab me so suddenly!\My wig will shift!\HACHI\- Your wig! - Hello?\Shin?\Yeah, what is it?\I got to the apartment, but no one's answering. response:	Have you all gone ahead to see the fireworks?
context: Don't grab me so suddenly!\My wig will shift!\HACHI\- Your wig! - Hello?\Shin?\Yeah, what is it?\I got to the apartment, but no one's answering.\Have you all gone ahead to see the fireworks? response:	But the light's on in the room.
context: My wig will shift!\HACHI\- Your wig! - Hello?\Shin?\Yeah, what is it?\I got to the apartment, but no one's answering.\Have you all gone ahead to see the fireworks?\But the light's on in the room. response:	Where are you?
context: HACHI\- Your wig! - Hello?\Shin?\Yeah, what is it?\I got to the apartment, but no one's answering.\Have you all gone ahead to see the fireworks?\But the light's on in the room.\Where are you? response:	Shin?
context: - Your wig! - Hello?\Shin?\Yeah, what is it?\I got to the apartment, but no one's answering.\Have you all gone ahead to see the fireworks?\But the light's on in the room.\Where are you?\Shin? response:	Yeah. We couldn't wait any longer and left. Sorry.
context: Shin?\Yeah, what is it?\I got to the apartment, but no one's answering.\Have you all gone ahead to see the fireworks?\But the light's on in the room.\Where are you?\Shin?\Yeah. We couldn't wait any longer and left. Sorry. response:	No, I should be the one apologizing for being late.
context: Yeah, what is it?\I got to the apartment, but no one's answering.\Have you all gone ahead to see the fireworks?\But the light's on in the room.\Where are you?\Shin?\Yeah. We couldn't wait any longer and left. Sorry.\No, I should be the one apologizing for being late. response:	I'll head over there right now. Where are you watching it from?
context: I got to the apartment, but no one's answering.\Have you all gone ahead to see the fireworks?\But the light's on in the room.\Where are you?\Shin?\Yeah. We couldn't wait any longer and left. Sorry.\No, I should be the one apologizing for being late.\I'll head over there right now. Where are you watching it from? response:	Yeah. Got it. I'll call again if I can't find you.
context: Have you all gone ahead to see the fireworks?\But the light's on in the room.\Where are you?\Shin?\Yeah. We couldn't wait any longer and left. Sorry.\No, I should be the one apologizing for being late.\I'll head over there right now. Where are you watching it from?\Yeah. Got it. I'll call again if I can't find you. response:	What? You're dressed as a girl?
context: But the light's on in the room.\Where are you?\Shin?\Yeah. We couldn't wait any longer and left. Sorry.\No, I should be the one apologizing for being late.\I'll head over there right now. Where are you watching it from?\Yeah. Got it. I'll call again if I can't find you.\What? You're dressed as a girl? response:	Can't you just get stuck with her?!
context: Where are you?\Shin?\Yeah. We couldn't wait any longer and left. Sorry.\No, I should be the one apologizing for being late.\I'll head over there right now. Where are you watching it from?\Yeah. Got it. I'll call again if I can't find you.\What? You're dressed as a girl?\Can't you just get stuck with her?! response:	What an easygoing form of love.
context: Shin?\Yeah. We couldn't wait any longer and left. Sorry.\No, I should be the one apologizing for being late.\I'll head over there right now. Where are you watching it from?\Yeah. Got it. I'll call again if I can't find you.\What? You're dressed as a girl?\Can't you just get stuck with her?!\What an easygoing form of love. response:	Over here!
context: Yeah. We couldn't wait any longer and left. Sorry.\No, I should be the one apologizing for being late.\I'll head over there right now. Where are you watching it from?\Yeah. Got it. I'll call again if I can't find you.\What? You're dressed as a girl?\Can't you just get stuck with her?!\What an easygoing form of love.\Over here! response:	Huh? No way! Shin?! You're so cute!
context: No, I should be the one apologizing for being late.\I'll head over there right now. Where are you watching it from?\Yeah. Got it. I'll call again if I can't find you.\What? You're dressed as a girl?\Can't you just get stuck with her?!\What an easygoing form of love.\Over here!\Huh? No way! Shin?! You're so cute! response:	Come on! Everyone's here.
context: I'll head over there right now. Where are you watching it from?\Yeah. Got it. I'll call again if I can't find you.\What? You're dressed as a girl?\Can't you just get stuck with her?!\What an easygoing form of love.\Over here!\Huh? No way! Shin?! You're so cute!\Come on! Everyone's here. response:	They're so pretty!
context: Yeah. Got it. I'll call again if I can't find you.\What? You're dressed as a girl?\Can't you just get stuck with her?!\What an easygoing form of love.\Over here!\Huh? No way! Shin?! You're so cute!\Come on! Everyone's here.\They're so pretty! response:	Awesome!
context: What? You're dressed as a girl?\Can't you just get stuck with her?!\What an easygoing form of love.\Over here!\Huh? No way! Shin?! You're so cute!\Come on! Everyone's here.\They're so pretty!\Awesome! response:	They really are pretty, aren't they?
context: Can't you just get stuck with her?!\What an easygoing form of love.\Over here!\Huh? No way! Shin?! You're so cute!\Come on! Everyone's here.\They're so pretty!\Awesome!\They really are pretty, aren't they? response:	Come on, Shin. You're sounding like Misato!
context: What an easygoing form of love.\Over here!\Huh? No way! Shin?! You're so cute!\Come on! Everyone's here.\They're so pretty!\Awesome!\They really are pretty, aren't they?\Come on, Shin. You're sounding like Misato! response:	What a huge diamond.
context: Over here!\Huh? No way! Shin?! You're so cute!\Come on! Everyone's here.\They're so pretty!\Awesome!\They really are pretty, aren't they?\Come on, Shin. You're sounding like Misato!\What a huge diamond. response:	You know, Nobuo aside, why aren't you inviting me to your wedding?
context: Huh? No way! Shin?! You're so cute!\Come on! Everyone's here.\They're so pretty!\Awesome!\They really are pretty, aren't they?\Come on, Shin. You're sounding like Misato!\What a huge diamond.\You know, Nobuo aside, why aren't you inviting me to your wedding? response:	You did invite Yasu and Shin.
context: Come on! Everyone's here.\They're so pretty!\Awesome!\They really are pretty, aren't they?\Come on, Shin. You're sounding like Misato!\What a huge diamond.\You know, Nobuo aside, why aren't you inviting me to your wedding?\You did invite Yasu and Shin. response:	Huh? You'd come?
context: They're so pretty!\Awesome!\They really are pretty, aren't they?\Come on, Shin. You're sounding like Misato!\What a huge diamond.\You know, Nobuo aside, why aren't you inviting me to your wedding?\You did invite Yasu and Shin.\Huh? You'd come? response:	Of course I would.
context: Awesome!\They really are pretty, aren't they?\Come on, Shin. You're sounding like Misato!\What a huge diamond.\You know, Nobuo aside, why aren't you inviting me to your wedding?\You did invite Yasu and Shin.\Huh? You'd come?\Of course I would. response:	I'll even sing you the punk version of Ladybugs' Samba.
context: They really are pretty, aren't they?\Come on, Shin. You're sounding like Misato!\What a huge diamond.\You know, Nobuo aside, why aren't you inviting me to your wedding?\You did invite Yasu and Shin.\Huh? You'd come?\Of course I would.\I'll even sing you the punk version of Ladybugs' Samba. response:	What's that? What kinda song is it?
context: Come on, Shin. You're sounding like Misato!\What a huge diamond.\You know, Nobuo aside, why aren't you inviting me to your wedding?\You did invite Yasu and Shin.\Huh? You'd come?\Of course I would.\I'll even sing you the punk version of Ladybugs' Samba.\What's that? What kinda song is it? response:	I'll buy you the CD,
context: What a huge diamond.\You know, Nobuo aside, why aren't you inviting me to your wedding?\You did invite Yasu and Shin.\Huh? You'd come?\Of course I would.\I'll even sing you the punk version of Ladybugs' Samba.\What's that? What kinda song is it?\I'll buy you the CD, response:	so you arrange it and play the guitar part.
context: You know, Nobuo aside, why aren't you inviting me to your wedding?\You did invite Yasu and Shin.\Huh? You'd come?\Of course I would.\I'll even sing you the punk version of Ladybugs' Samba.\What's that? What kinda song is it?\I'll buy you the CD,\so you arrange it and play the guitar part. response:	You be happy, no matter what, okay?!
context: You did invite Yasu and Shin.\Huh? You'd come?\Of course I would.\I'll even sing you the punk version of Ladybugs' Samba.\What's that? What kinda song is it?\I'll buy you the CD,\so you arrange it and play the guitar part.\You be happy, no matter what, okay?! response:	Nobu stepped aside so that you'd be happy.
context: Huh? You'd come?\Of course I would.\I'll even sing you the punk version of Ladybugs' Samba.\What's that? What kinda song is it?\I'll buy you the CD,\so you arrange it and play the guitar part.\You be happy, no matter what, okay?!\Nobu stepped aside so that you'd be happy. response:	So if you end up unhappy, it was for nothing.
context: Of course I would.\I'll even sing you the punk version of Ladybugs' Samba.\What's that? What kinda song is it?\I'll buy you the CD,\so you arrange it and play the guitar part.\You be happy, no matter what, okay?!\Nobu stepped aside so that you'd be happy.\So if you end up unhappy, it was for nothing. response:	Well, with Takumi as your husband,
context: I'll even sing you the punk version of Ladybugs' Samba.\What's that? What kinda song is it?\I'll buy you the CD,\so you arrange it and play the guitar part.\You be happy, no matter what, okay?!\Nobu stepped aside so that you'd be happy.\So if you end up unhappy, it was for nothing.\Well, with Takumi as your husband, response:	I'm sure he's gonna make you cry from time to time.
context: What's that? What kinda song is it?\I'll buy you the CD,\so you arrange it and play the guitar part.\You be happy, no matter what, okay?!\Nobu stepped aside so that you'd be happy.\So if you end up unhappy, it was for nothing.\Well, with Takumi as your husband,\I'm sure he's gonna make you cry from time to time. response:	But you're the fool who fell in love with him,
context: I'll buy you the CD,\so you arrange it and play the guitar part.\You be happy, no matter what, okay?!\Nobu stepped aside so that you'd be happy.\So if you end up unhappy, it was for nothing.\Well, with Takumi as your husband,\I'm sure he's gonna make you cry from time to time.\But you're the fool who fell in love with him, response:	so that can't be helped.
context: so you arrange it and play the guitar part.\You be happy, no matter what, okay?!\Nobu stepped aside so that you'd be happy.\So if you end up unhappy, it was for nothing.\Well, with Takumi as your husband,\I'm sure he's gonna make you cry from time to time.\But you're the fool who fell in love with him,\so that can't be helped. response:	And don't get discouraged when he cheats on you now and then, all right?
context: You be happy, no matter what, okay?!\Nobu stepped aside so that you'd be happy.\So if you end up unhappy, it was for nothing.\Well, with Takumi as your husband,\I'm sure he's gonna make you cry from time to time.\But you're the fool who fell in love with him,\so that can't be helped.\And don't get discouraged when he cheats on you now and then, all right? response:	Just smack him around until you feel better.
context: Nobu stepped aside so that you'd be happy.\So if you end up unhappy, it was for nothing.\Well, with Takumi as your husband,\I'm sure he's gonna make you cry from time to time.\But you're the fool who fell in love with him,\so that can't be helped.\And don't get discouraged when he cheats on you now and then, all right?\Just smack him around until you feel better. response:	Yeah. You're right.
context: So if you end up unhappy, it was for nothing.\Well, with Takumi as your husband,\I'm sure he's gonna make you cry from time to time.\But you're the fool who fell in love with him,\so that can't be helped.\And don't get discouraged when he cheats on you now and then, all right?\Just smack him around until you feel better.\Yeah. You're right. response:	Thank you, Nana.
context: Well, with Takumi as your husband,\I'm sure he's gonna make you cry from time to time.\But you're the fool who fell in love with him,\so that can't be helped.\And don't get discouraged when he cheats on you now and then, all right?\Just smack him around until you feel better.\Yeah. You're right.\Thank you, Nana. response:	That day, the riverside was packed with people,
context: I'm sure he's gonna make you cry from time to time.\But you're the fool who fell in love with him,\so that can't be helped.\And don't get discouraged when he cheats on you now and then, all right?\Just smack him around until you feel better.\Yeah. You're right.\Thank you, Nana.\That day, the riverside was packed with people, response:	and I never saw Shoji and his girlfriend.
context: But you're the fool who fell in love with him,\so that can't be helped.\And don't get discouraged when he cheats on you now and then, all right?\Just smack him around until you feel better.\Yeah. You're right.\Thank you, Nana.\That day, the riverside was packed with people,\and I never saw Shoji and his girlfriend. response:	I felt that the curtain had finally come down on our relationship.
context: so that can't be helped.\And don't get discouraged when he cheats on you now and then, all right?\Just smack him around until you feel better.\Yeah. You're right.\Thank you, Nana.\That day, the riverside was packed with people,\and I never saw Shoji and his girlfriend.\I felt that the curtain had finally come down on our relationship. response:	There was such a big crowd
context: And don't get discouraged when he cheats on you now and then, all right?\Just smack him around until you feel better.\Yeah. You're right.\Thank you, Nana.\That day, the riverside was packed with people,\and I never saw Shoji and his girlfriend.\I felt that the curtain had finally come down on our relationship.\There was such a big crowd response:	that you could easily lose sight of the people you were with.
context: Just smack him around until you feel better.\Yeah. You're right.\Thank you, Nana.\That day, the riverside was packed with people,\and I never saw Shoji and his girlfriend.\I felt that the curtain had finally come down on our relationship.\There was such a big crowd\that you could easily lose sight of the people you were with. response:	So I wanted to hold Nana's hand...
context: Yeah. You're right.\Thank you, Nana.\That day, the riverside was packed with people,\and I never saw Shoji and his girlfriend.\I felt that the curtain had finally come down on our relationship.\There was such a big crowd\that you could easily lose sight of the people you were with.\So I wanted to hold Nana's hand... response:	But I was worried she'd think I'm insensitive
context: Thank you, Nana.\That day, the riverside was packed with people,\and I never saw Shoji and his girlfriend.\I felt that the curtain had finally come down on our relationship.\There was such a big crowd\that you could easily lose sight of the people you were with.\So I wanted to hold Nana's hand...\But I was worried she'd think I'm insensitive response:	if I innocently grabbed her hand, which was as warm as Nobu's.
context: That day, the riverside was packed with people,\and I never saw Shoji and his girlfriend.\I felt that the curtain had finally come down on our relationship.\There was such a big crowd\that you could easily lose sight of the people you were with.\So I wanted to hold Nana's hand...\But I was worried she'd think I'm insensitive\if I innocently grabbed her hand, which was as warm as Nobu's. response:	The wind on my fingertips was freezing cold.
context: and I never saw Shoji and his girlfriend.\I felt that the curtain had finally come down on our relationship.\There was such a big crowd\that you could easily lose sight of the people you were with.\So I wanted to hold Nana's hand...\But I was worried she'd think I'm insensitive\if I innocently grabbed her hand, which was as warm as Nobu's.\The wind on my fingertips was freezing cold. response:	Come to think of it, summer ended long ago, didn't it?
context: I felt that the curtain had finally come down on our relationship.\There was such a big crowd\that you could easily lose sight of the people you were with.\So I wanted to hold Nana's hand...\But I was worried she'd think I'm insensitive\if I innocently grabbed her hand, which was as warm as Nobu's.\The wind on my fingertips was freezing cold.\Come to think of it, summer ended long ago, didn't it? response:	Did you guys have fun at the fireworks?
context: There was such a big crowd\that you could easily lose sight of the people you were with.\So I wanted to hold Nana's hand...\But I was worried she'd think I'm insensitive\if I innocently grabbed her hand, which was as warm as Nobu's.\The wind on my fingertips was freezing cold.\Come to think of it, summer ended long ago, didn't it?\Did you guys have fun at the fireworks? response:	Get ready to continue working hard!
context: that you could easily lose sight of the people you were with.\So I wanted to hold Nana's hand...\But I was worried she'd think I'm insensitive\if I innocently grabbed her hand, which was as warm as Nobu's.\The wind on my fingertips was freezing cold.\Come to think of it, summer ended long ago, didn't it?\Did you guys have fun at the fireworks?\Get ready to continue working hard! response:	Huh?
context: So I wanted to hold Nana's hand...\But I was worried she'd think I'm insensitive\if I innocently grabbed her hand, which was as warm as Nobu's.\The wind on my fingertips was freezing cold.\Come to think of it, summer ended long ago, didn't it?\Did you guys have fun at the fireworks?\Get ready to continue working hard!\Huh? response:	Hey, Nana.
context: But I was worried she'd think I'm insensitive\if I innocently grabbed her hand, which was as warm as Nobu's.\The wind on my fingertips was freezing cold.\Come to think of it, summer ended long ago, didn't it?\Did you guys have fun at the fireworks?\Get ready to continue working hard!\Huh?\Hey, Nana. response:	That summer you longed for more than anyone,
context: if I innocently grabbed her hand, which was as warm as Nobu's.\The wind on my fingertips was freezing cold.\Come to think of it, summer ended long ago, didn't it?\Did you guys have fun at the fireworks?\Get ready to continue working hard!\Huh?\Hey, Nana.\That summer you longed for more than anyone, response:	the one we couldn't get back, is right here.
context: The wind on my fingertips was freezing cold.\Come to think of it, summer ended long ago, didn't it?\Did you guys have fun at the fireworks?\Get ready to continue working hard!\Huh?\Hey, Nana.\That summer you longed for more than anyone,\the one we couldn't get back, is right here. response:	I'll always be waiting.
context: Come to think of it, summer ended long ago, didn't it?\Did you guys have fun at the fireworks?\Get ready to continue working hard!\Huh?\Hey, Nana.\That summer you longed for more than anyone,\the one we couldn't get back, is right here.\I'll always be waiting. response:	For ten years... twenty years... fifty years...
context: Did you guys have fun at the fireworks?\Get ready to continue working hard!\Huh?\Hey, Nana.\That summer you longed for more than anyone,\the one we couldn't get back, is right here.\I'll always be waiting.\For ten years... twenty years... fifty years... response:	I can't count how many nights
context: Get ready to continue working hard!\Huh?\Hey, Nana.\That summer you longed for more than anyone,\the one we couldn't get back, is right here.\I'll always be waiting.\For ten years... twenty years... fifty years...\I can't count how many nights response:	I wished tomorrow would never come
context: Huh?\Hey, Nana.\That summer you longed for more than anyone,\the one we couldn't get back, is right here.\I'll always be waiting.\For ten years... twenty years... fifty years...\I can't count how many nights\I wished tomorrow would never come response:	I lost my dream and my love While being struck by the rain
context: Hey, Nana.\That summer you longed for more than anyone,\the one we couldn't get back, is right here.\I'll always be waiting.\For ten years... twenty years... fifty years...\I can't count how many nights\I wished tomorrow would never come\I lost my dream and my love While being struck by the rain response:	Crying, crying, crying, crying
context: That summer you longed for more than anyone,\the one we couldn't get back, is right here.\I'll always be waiting.\For ten years... twenty years... fifty years...\I can't count how many nights\I wished tomorrow would never come\I lost my dream and my love While being struck by the rain\Crying, crying, crying, crying response:	To live as I am without being fake
context: the one we couldn't get back, is right here.\I'll always be waiting.\For ten years... twenty years... fifty years...\I can't count how many nights\I wished tomorrow would never come\I lost my dream and my love While being struck by the rain\Crying, crying, crying, crying\To live as I am without being fake response:	What do I need
context: I'll always be waiting.\For ten years... twenty years... fifty years...\I can't count how many nights\I wished tomorrow would never come\I lost my dream and my love While being struck by the rain\Crying, crying, crying, crying\To live as I am without being fake\What do I need response:	If I don't believe in myself what can I believe in
context: For ten years... twenty years... fifty years...\I can't count how many nights\I wished tomorrow would never come\I lost my dream and my love While being struck by the rain\Crying, crying, crying, crying\To live as I am without being fake\What do I need\If I don't believe in myself what can I believe in response:	The answer is too close to see
context: I can't count how many nights\I wished tomorrow would never come\I lost my dream and my love While being struck by the rain\Crying, crying, crying, crying\To live as I am without being fake\What do I need\If I don't believe in myself what can I believe in\The answer is too close to see response:	Black tears are falling down and I scream out
context: I wished tomorrow would never come\I lost my dream and my love While being struck by the rain\Crying, crying, crying, crying\To live as I am without being fake\What do I need\If I don't believe in myself what can I believe in\The answer is too close to see\Black tears are falling down and I scream out response:	Pretending nothing happened Tomorrow will come
context: I lost my dream and my love While being struck by the rain\Crying, crying, crying, crying\To live as I am without being fake\What do I need\If I don't believe in myself what can I believe in\The answer is too close to see\Black tears are falling down and I scream out\Pretending nothing happened Tomorrow will come response:	I'll be up against the same pain
context: Crying, crying, crying, crying\To live as I am without being fake\What do I need\If I don't believe in myself what can I believe in\The answer is too close to see\Black tears are falling down and I scream out\Pretending nothing happened Tomorrow will come\I'll be up against the same pain response:	If I repeat these days
context: To live as I am without being fake\What do I need\If I don't believe in myself what can I believe in\The answer is too close to see\Black tears are falling down and I scream out\Pretending nothing happened Tomorrow will come\I'll be up against the same pain\If I repeat these days response:	Hey, Nana...
