context: It's alright. response:	So...
context: If I didn't do this we wouldn't move ahead.\How did you figure it out?\You didn't try to evade my shots...\But you didn't want to be hit by Black Star's attacks.\If you'd really be hit, we'd find out that it's not a real body, right?\The first attack was shot from behind the image right?\That was to make us believe the image was real.\Besides, since I was afraid of your immortal body, I stuck to long ranged attacks. response:	It's a good trick to be used by an immortal.
context: How did you figure it out?\You didn't try to evade my shots...\But you didn't want to be hit by Black Star's attacks.\If you'd really be hit, we'd find out that it's not a real body, right?\The first attack was shot from behind the image right?\That was to make us believe the image was real.\Besides, since I was afraid of your immortal body, I stuck to long ranged attacks.\It's a good trick to be used by an immortal. response:	But you!
context: You didn't try to evade my shots...\But you didn't want to be hit by Black Star's attacks.\If you'd really be hit, we'd find out that it's not a real body, right?\The first attack was shot from behind the image right?\That was to make us believe the image was real.\Besides, since I was afraid of your immortal body, I stuck to long ranged attacks.\It's a good trick to be used by an immortal.\But you! response:	Why didn't you notice when you cut him?
context: But you didn't want to be hit by Black Star's attacks.\If you'd really be hit, we'd find out that it's not a real body, right?\The first attack was shot from behind the image right?\That was to make us believe the image was real.\Besides, since I was afraid of your immortal body, I stuck to long ranged attacks.\It's a good trick to be used by an immortal.\But you!\Why didn't you notice when you cut him? response:	Ah,'cause you see...
context: If you'd really be hit, we'd find out that it's not a real body, right?\The first attack was shot from behind the image right?\That was to make us believe the image was real.\Besides, since I was afraid of your immortal body, I stuck to long ranged attacks.\It's a good trick to be used by an immortal.\But you!\Why didn't you notice when you cut him?\Ah,'cause you see... response:	When I cut him with the knife, I was thinking what a great technique!
context: The first attack was shot from behind the image right?\That was to make us believe the image was real.\Besides, since I was afraid of your immortal body, I stuck to long ranged attacks.\It's a good trick to be used by an immortal.\But you!\Why didn't you notice when you cut him?\Ah,'cause you see...\When I cut him with the knife, I was thinking what a great technique! response:	Idiot!
context: That was to make us believe the image was real.\Besides, since I was afraid of your immortal body, I stuck to long ranged attacks.\It's a good trick to be used by an immortal.\But you!\Why didn't you notice when you cut him?\Ah,'cause you see...\When I cut him with the knife, I was thinking what a great technique!\Idiot! response:	Besides Tsubaki would notice, right?
context: Besides, since I was afraid of your immortal body, I stuck to long ranged attacks.\It's a good trick to be used by an immortal.\But you!\Why didn't you notice when you cut him?\Ah,'cause you see...\When I cut him with the knife, I was thinking what a great technique!\Idiot!\Besides Tsubaki would notice, right? response:	Huh?
context: It's a good trick to be used by an immortal.\But you!\Why didn't you notice when you cut him?\Ah,'cause you see...\When I cut him with the knife, I was thinking what a great technique!\Idiot!\Besides Tsubaki would notice, right?\Huh? response:	I was thinking Black Star has grown up, and stuff...
context: But you!\Why didn't you notice when you cut him?\Ah,'cause you see...\When I cut him with the knife, I was thinking what a great technique!\Idiot!\Besides Tsubaki would notice, right?\Huh?\I was thinking Black Star has grown up, and stuff... response:	What's that?
context: Why didn't you notice when you cut him?\Ah,'cause you see...\When I cut him with the knife, I was thinking what a great technique!\Idiot!\Besides Tsubaki would notice, right?\Huh?\I was thinking Black Star has grown up, and stuff...\What's that? response:	If the Technician is an idiot, the Weapon is one, too?
context: Ah,'cause you see...\When I cut him with the knife, I was thinking what a great technique!\Idiot!\Besides Tsubaki would notice, right?\Huh?\I was thinking Black Star has grown up, and stuff...\What's that?\If the Technician is an idiot, the Weapon is one, too? response:	Dammit!
context: When I cut him with the knife, I was thinking what a great technique!\Idiot!\Besides Tsubaki would notice, right?\Huh?\I was thinking Black Star has grown up, and stuff...\What's that?\If the Technician is an idiot, the Weapon is one, too?\Dammit! response:	We've wasted a lot of time!
context: Idiot!\Besides Tsubaki would notice, right?\Huh?\I was thinking Black Star has grown up, and stuff...\What's that?\If the Technician is an idiot, the Weapon is one, too?\Dammit!\We've wasted a lot of time! response:	Let's go, Black Star!
context: Besides Tsubaki would notice, right?\Huh?\I was thinking Black Star has grown up, and stuff...\What's that?\If the Technician is an idiot, the Weapon is one, too?\Dammit!\We've wasted a lot of time!\Let's go, Black Star! response:	Alright!
context: Huh?\I was thinking Black Star has grown up, and stuff...\What's that?\If the Technician is an idiot, the Weapon is one, too?\Dammit!\We've wasted a lot of time!\Let's go, Black Star!\Alright! response:	Let's get rowdy!
context: I was thinking Black Star has grown up, and stuff...\What's that?\If the Technician is an idiot, the Weapon is one, too?\Dammit!\We've wasted a lot of time!\Let's go, Black Star!\Alright!\Let's get rowdy! response:	Such nice, obedient students, right?
context: What's that?\If the Technician is an idiot, the Weapon is one, too?\Dammit!\We've wasted a lot of time!\Let's go, Black Star!\Alright!\Let's get rowdy!\Such nice, obedient students, right? response:	Professor Stein.
context: If the Technician is an idiot, the Weapon is one, too?\Dammit!\We've wasted a lot of time!\Let's go, Black Star!\Alright!\Let's get rowdy!\Such nice, obedient students, right?\Professor Stein. response:	They completed every task you gave them properly.
context: Dammit!\We've wasted a lot of time!\Let's go, Black Star!\Alright!\Let's get rowdy!\Such nice, obedient students, right?\Professor Stein.\They completed every task you gave them properly. response:	You can feel it too, right?
context: We've wasted a lot of time!\Let's go, Black Star!\Alright!\Let's get rowdy!\Such nice, obedient students, right?\Professor Stein.\They completed every task you gave them properly.\You can feel it too, right? response:	It wants to blow out... the Kishin's madness.
context: Let's go, Black Star!\Alright!\Let's get rowdy!\Such nice, obedient students, right?\Professor Stein.\They completed every task you gave them properly.\You can feel it too, right?\It wants to blow out... the Kishin's madness. response:	We're doing it, Senpai.
context: Alright!\Let's get rowdy!\Such nice, obedient students, right?\Professor Stein.\They completed every task you gave them properly.\You can feel it too, right?\It wants to blow out... the Kishin's madness.\We're doing it, Senpai. response:	Aye!
context: Let's get rowdy!\Such nice, obedient students, right?\Professor Stein.\They completed every task you gave them properly.\You can feel it too, right?\It wants to blow out... the Kishin's madness.\We're doing it, Senpai.\Aye! response:	Even if you struggle, it's useless.
context: Such nice, obedient students, right?\Professor Stein.\They completed every task you gave them properly.\You can feel it too, right?\It wants to blow out... the Kishin's madness.\We're doing it, Senpai.\Aye!\Even if you struggle, it's useless. response:	Say, will you tell me?
context: Professor Stein.\They completed every task you gave them properly.\You can feel it too, right?\It wants to blow out... the Kishin's madness.\We're doing it, Senpai.\Aye!\Even if you struggle, it's useless.\Say, will you tell me? response:	How to raise a good child...
context: They completed every task you gave them properly.\You can feel it too, right?\It wants to blow out... the Kishin's madness.\We're doing it, Senpai.\Aye!\Even if you struggle, it's useless.\Say, will you tell me?\How to raise a good child... response:	Tadpole...
context: You can feel it too, right?\It wants to blow out... the Kishin's madness.\We're doing it, Senpai.\Aye!\Even if you struggle, it's useless.\Say, will you tell me?\How to raise a good child...\Tadpole... response:	Are you alright, tadpole?
context: It wants to blow out... the Kishin's madness.\We're doing it, Senpai.\Aye!\Even if you struggle, it's useless.\Say, will you tell me?\How to raise a good child...\Tadpole...\Are you alright, tadpole? response:	Take a look, Eruka.
context: We're doing it, Senpai.\Aye!\Even if you struggle, it's useless.\Say, will you tell me?\How to raise a good child...\Tadpole...\Are you alright, tadpole?\Take a look, Eruka. response:	Huh? What?
context: Aye!\Even if you struggle, it's useless.\Say, will you tell me?\How to raise a good child...\Tadpole...\Are you alright, tadpole?\Take a look, Eruka.\Huh? What? response:	The Kishin is inside there, right?
context: Even if you struggle, it's useless.\Say, will you tell me?\How to raise a good child...\Tadpole...\Are you alright, tadpole?\Take a look, Eruka.\Huh? What?\The Kishin is inside there, right? response:	Let's hurry or those kids will catch up.
context: Say, will you tell me?\How to raise a good child...\Tadpole...\Are you alright, tadpole?\Take a look, Eruka.\Huh? What?\The Kishin is inside there, right?\Let's hurry or those kids will catch up. response:	My face... Please Stop...
context: How to raise a good child...\Tadpole...\Are you alright, tadpole?\Take a look, Eruka.\Huh? What?\The Kishin is inside there, right?\Let's hurry or those kids will catch up.\My face... Please Stop... response:	I want to go home...
context: Tadpole...\Are you alright, tadpole?\Take a look, Eruka.\Huh? What?\The Kishin is inside there, right?\Let's hurry or those kids will catch up.\My face... Please Stop...\I want to go home... response:	Your face?
context: Are you alright, tadpole?\Take a look, Eruka.\Huh? What?\The Kishin is inside there, right?\Let's hurry or those kids will catch up.\My face... Please Stop...\I want to go home...\Your face? response:	What happened to your face?
context: Take a look, Eruka.\Huh? What?\The Kishin is inside there, right?\Let's hurry or those kids will catch up.\My face... Please Stop...\I want to go home...\Your face?\What happened to your face? response:	Hey, get it together!
context: Huh? What?\The Kishin is inside there, right?\Let's hurry or those kids will catch up.\My face... Please Stop...\I want to go home...\Your face?\What happened to your face?\Hey, get it together! response:	An immortal like me is going to die?
context: The Kishin is inside there, right?\Let's hurry or those kids will catch up.\My face... Please Stop...\I want to go home...\Your face?\What happened to your face?\Hey, get it together!\An immortal like me is going to die? response:	What the hell was I doing?
context: Let's hurry or those kids will catch up.\My face... Please Stop...\I want to go home...\Your face?\What happened to your face?\Hey, get it together!\An immortal like me is going to die?\What the hell was I doing? response:	What?
context: My face... Please Stop...\I want to go home...\Your face?\What happened to your face?\Hey, get it together!\An immortal like me is going to die?\What the hell was I doing?\What? response:	A hallucination?
context: I want to go home...\Your face?\What happened to your face?\Hey, get it together!\An immortal like me is going to die?\What the hell was I doing?\What?\A hallucination? response:	This is the Kishin's madness?
context: Your face?\What happened to your face?\Hey, get it together!\An immortal like me is going to die?\What the hell was I doing?\What?\A hallucination?\This is the Kishin's madness? response:	He's... inside there.
context: What happened to your face?\Hey, get it together!\An immortal like me is going to die?\What the hell was I doing?\What?\A hallucination?\This is the Kishin's madness?\He's... inside there. response:	He's... inside there.
