context: Did you not hear me? I said to let me pass. response:	I have no business with you, Assassin.
context: That's a load of crap!\I'm nothing like you.\Like I'd ever sacrifice those around me to achieve victory or a goal!\I feel the same way, Emiya Shirou.\But it is impossible to save everyone.\If Caster wins the Grail, the damage won't be limited to this city alone.\If we fail to win, the damage will be even greater.\Therefore, the only choice is to sacrifice this city's people. response:	If that has the result of keeping the overall losses low, it's the same as your strategy.
context: I'm nothing like you.\Like I'd ever sacrifice those around me to achieve victory or a goal!\I feel the same way, Emiya Shirou.\But it is impossible to save everyone.\If Caster wins the Grail, the damage won't be limited to this city alone.\If we fail to win, the damage will be even greater.\Therefore, the only choice is to sacrifice this city's people.\If that has the result of keeping the overall losses low, it's the same as your strategy. response:	Saving one person means being unable to save another.
context: Like I'd ever sacrifice those around me to achieve victory or a goal!\I feel the same way, Emiya Shirou.\But it is impossible to save everyone.\If Caster wins the Grail, the damage won't be limited to this city alone.\If we fail to win, the damage will be even greater.\Therefore, the only choice is to sacrifice this city's people.\If that has the result of keeping the overall losses low, it's the same as your strategy.\Saving one person means being unable to save another. response:	You said you didn't want to involve innocent people, didn't you?
context: I feel the same way, Emiya Shirou.\But it is impossible to save everyone.\If Caster wins the Grail, the damage won't be limited to this city alone.\If we fail to win, the damage will be even greater.\Therefore, the only choice is to sacrifice this city's people.\If that has the result of keeping the overall losses low, it's the same as your strategy.\Saving one person means being unable to save another.\You said you didn't want to involve innocent people, didn't you? response:	Then admit it.
context: But it is impossible to save everyone.\If Caster wins the Grail, the damage won't be limited to this city alone.\If we fail to win, the damage will be even greater.\Therefore, the only choice is to sacrifice this city's people.\If that has the result of keeping the overall losses low, it's the same as your strategy.\Saving one person means being unable to save another.\You said you didn't want to involve innocent people, didn't you?\Then admit it. response:	If you try to avoid killing anyone, you won't save anyone in the end.
context: If Caster wins the Grail, the damage won't be limited to this city alone.\If we fail to win, the damage will be even greater.\Therefore, the only choice is to sacrifice this city's people.\If that has the result of keeping the overall losses low, it's the same as your strategy.\Saving one person means being unable to save another.\You said you didn't want to involve innocent people, didn't you?\Then admit it.\If you try to avoid killing anyone, you won't save anyone in the end. response:	You plan to go after Caster?
context: If we fail to win, the damage will be even greater.\Therefore, the only choice is to sacrifice this city's people.\If that has the result of keeping the overall losses low, it's the same as your strategy.\Saving one person means being unable to save another.\You said you didn't want to involve innocent people, didn't you?\Then admit it.\If you try to avoid killing anyone, you won't save anyone in the end.\You plan to go after Caster? response:	To waste that life which I went through all that trouble to save
context: Therefore, the only choice is to sacrifice this city's people.\If that has the result of keeping the overall losses low, it's the same as your strategy.\Saving one person means being unable to save another.\You said you didn't want to involve innocent people, didn't you?\Then admit it.\If you try to avoid killing anyone, you won't save anyone in the end.\You plan to go after Caster?\To waste that life which I went through all that trouble to save response:	Shut up!
context: If that has the result of keeping the overall losses low, it's the same as your strategy.\Saving one person means being unable to save another.\You said you didn't want to involve innocent people, didn't you?\Then admit it.\If you try to avoid killing anyone, you won't save anyone in the end.\You plan to go after Caster?\To waste that life which I went through all that trouble to save\Shut up! response:	I wouldn't want your help, even if you offered!
context: Saving one person means being unable to save another.\You said you didn't want to involve innocent people, didn't you?\Then admit it.\If you try to avoid killing anyone, you won't save anyone in the end.\You plan to go after Caster?\To waste that life which I went through all that trouble to save\Shut up!\I wouldn't want your help, even if you offered! response:	I see.
context: You said you didn't want to involve innocent people, didn't you?\Then admit it.\If you try to avoid killing anyone, you won't save anyone in the end.\You plan to go after Caster?\To waste that life which I went through all that trouble to save\Shut up!\I wouldn't want your help, even if you offered!\I see. response:	Your dislike of me makes this easier.
context: Then admit it.\If you try to avoid killing anyone, you won't save anyone in the end.\You plan to go after Caster?\To waste that life which I went through all that trouble to save\Shut up!\I wouldn't want your help, even if you offered!\I see.\Your dislike of me makes this easier. response:	Archer?
context: If you try to avoid killing anyone, you won't save anyone in the end.\You plan to go after Caster?\To waste that life which I went through all that trouble to save\Shut up!\I wouldn't want your help, even if you offered!\I see.\Your dislike of me makes this easier.\Archer? response:	Son of a...
context: You plan to go after Caster?\To waste that life which I went through all that trouble to save\Shut up!\I wouldn't want your help, even if you offered!\I see.\Your dislike of me makes this easier.\Archer?\Son of a... response:	Emiya Shirou, if you have no will to fight, die here.
context: To waste that life which I went through all that trouble to save\Shut up!\I wouldn't want your help, even if you offered!\I see.\Your dislike of me makes this easier.\Archer?\Son of a...\Emiya Shirou, if you have no will to fight, die here. response:	Fighting for others, but not yourself, is nothing but hypocrisy.
context: Shut up!\I wouldn't want your help, even if you offered!\I see.\Your dislike of me makes this easier.\Archer?\Son of a...\Emiya Shirou, if you have no will to fight, die here.\Fighting for others, but not yourself, is nothing but hypocrisy. response:	It isn't victory that you want. It's peace.
context: I wouldn't want your help, even if you offered!\I see.\Your dislike of me makes this easier.\Archer?\Son of a...\Emiya Shirou, if you have no will to fight, die here.\Fighting for others, but not yourself, is nothing but hypocrisy.\It isn't victory that you want. It's peace. response:	Even though there isn't any such thing in this world.
context: I see.\Your dislike of me makes this easier.\Archer?\Son of a...\Emiya Shirou, if you have no will to fight, die here.\Fighting for others, but not yourself, is nothing but hypocrisy.\It isn't victory that you want. It's peace.\Even though there isn't any such thing in this world. response:	What?
context: Your dislike of me makes this easier.\Archer?\Son of a...\Emiya Shirou, if you have no will to fight, die here.\Fighting for others, but not yourself, is nothing but hypocrisy.\It isn't victory that you want. It's peace.\Even though there isn't any such thing in this world.\What? response:	Farewell. Let your ideals drag you to your death.
context: Archer?\Son of a...\Emiya Shirou, if you have no will to fight, die here.\Fighting for others, but not yourself, is nothing but hypocrisy.\It isn't victory that you want. It's peace.\Even though there isn't any such thing in this world.\What?\Farewell. Let your ideals drag you to your death. response:	Shirou!
context: Son of a...\Emiya Shirou, if you have no will to fight, die here.\Fighting for others, but not yourself, is nothing but hypocrisy.\It isn't victory that you want. It's peace.\Even though there isn't any such thing in this world.\What?\Farewell. Let your ideals drag you to your death.\Shirou! response:	That vixen... She retreated?
context: Emiya Shirou, if you have no will to fight, die here.\Fighting for others, but not yourself, is nothing but hypocrisy.\It isn't victory that you want. It's peace.\Even though there isn't any such thing in this world.\What?\Farewell. Let your ideals drag you to your death.\Shirou!\That vixen... She retreated? response:	Saber...
context: Fighting for others, but not yourself, is nothing but hypocrisy.\It isn't victory that you want. It's peace.\Even though there isn't any such thing in this world.\What?\Farewell. Let your ideals drag you to your death.\Shirou!\That vixen... She retreated?\Saber... response:	Assassin, just now, why did you not strike me down?
context: It isn't victory that you want. It's peace.\Even though there isn't any such thing in this world.\What?\Farewell. Let your ideals drag you to your death.\Shirou!\That vixen... She retreated?\Saber...\Assassin, just now, why did you not strike me down? response:	I was captivated, you see.
context: Even though there isn't any such thing in this world.\What?\Farewell. Let your ideals drag you to your death.\Shirou!\That vixen... She retreated?\Saber...\Assassin, just now, why did you not strike me down?\I was captivated, you see. response:	You were attractive when we fought, but your concern for your Master is exquisite.
context: What?\Farewell. Let your ideals drag you to your death.\Shirou!\That vixen... She retreated?\Saber...\Assassin, just now, why did you not strike me down?\I was captivated, you see.\You were attractive when we fought, but your concern for your Master is exquisite. response:	Thus, you caught my eyes.
context: Farewell. Let your ideals drag you to your death.\Shirou!\That vixen... She retreated?\Saber...\Assassin, just now, why did you not strike me down?\I was captivated, you see.\You were attractive when we fought, but your concern for your Master is exquisite.\Thus, you caught my eyes. response:	That is enough for tonight. You may go.
context: Shirou!\That vixen... She retreated?\Saber...\Assassin, just now, why did you not strike me down?\I was captivated, you see.\You were attractive when we fought, but your concern for your Master is exquisite.\Thus, you caught my eyes.\That is enough for tonight. You may go. response:	You're letting us go?
context: That vixen... She retreated?\Saber...\Assassin, just now, why did you not strike me down?\I was captivated, you see.\You were attractive when we fought, but your concern for your Master is exquisite.\Thus, you caught my eyes.\That is enough for tonight. You may go.\You're letting us go? response:	I am indeed. To find a worthy opponent is a rare thing.
context: Saber...\Assassin, just now, why did you not strike me down?\I was captivated, you see.\You were attractive when we fought, but your concern for your Master is exquisite.\Thus, you caught my eyes.\That is enough for tonight. You may go.\You're letting us go?\I am indeed. To find a worthy opponent is a rare thing. response:	If you are not in peak form, it would be a waste to defeat you.
context: Assassin, just now, why did you not strike me down?\I was captivated, you see.\You were attractive when we fought, but your concern for your Master is exquisite.\Thus, you caught my eyes.\That is enough for tonight. You may go.\You're letting us go?\I am indeed. To find a worthy opponent is a rare thing.\If you are not in peak form, it would be a waste to defeat you. response:	Or would you consider this a debt, Saber?
context: I was captivated, you see.\You were attractive when we fought, but your concern for your Master is exquisite.\Thus, you caught my eyes.\That is enough for tonight. You may go.\You're letting us go?\I am indeed. To find a worthy opponent is a rare thing.\If you are not in peak form, it would be a waste to defeat you.\Or would you consider this a debt, Saber? response:	Of course, Sasaki Kojirou.
context: You were attractive when we fought, but your concern for your Master is exquisite.\Thus, you caught my eyes.\That is enough for tonight. You may go.\You're letting us go?\I am indeed. To find a worthy opponent is a rare thing.\If you are not in peak form, it would be a waste to defeat you.\Or would you consider this a debt, Saber?\Of course, Sasaki Kojirou. response:	Forgive my rudeness.
context: Thus, you caught my eyes.\That is enough for tonight. You may go.\You're letting us go?\I am indeed. To find a worthy opponent is a rare thing.\If you are not in peak form, it would be a waste to defeat you.\Or would you consider this a debt, Saber?\Of course, Sasaki Kojirou.\Forgive my rudeness. response:	You were truly an opponent worthy of my full attention.
context: That is enough for tonight. You may go.\You're letting us go?\I am indeed. To find a worthy opponent is a rare thing.\If you are not in peak form, it would be a waste to defeat you.\Or would you consider this a debt, Saber?\Of course, Sasaki Kojirou.\Forgive my rudeness.\You were truly an opponent worthy of my full attention. response:	Rest assured, I shall settle things with you.
context: You're letting us go?\I am indeed. To find a worthy opponent is a rare thing.\If you are not in peak form, it would be a waste to defeat you.\Or would you consider this a debt, Saber?\Of course, Sasaki Kojirou.\Forgive my rudeness.\You were truly an opponent worthy of my full attention.\Rest assured, I shall settle things with you. response:	Regardless of the outcome of the Holy Grail War. I swear it.
context: I am indeed. To find a worthy opponent is a rare thing.\If you are not in peak form, it would be a waste to defeat you.\Or would you consider this a debt, Saber?\Of course, Sasaki Kojirou.\Forgive my rudeness.\You were truly an opponent worthy of my full attention.\Rest assured, I shall settle things with you.\Regardless of the outcome of the Holy Grail War. I swear it. response:	You stand in my way, samurai?
context: If you are not in peak form, it would be a waste to defeat you.\Or would you consider this a debt, Saber?\Of course, Sasaki Kojirou.\Forgive my rudeness.\You were truly an opponent worthy of my full attention.\Rest assured, I shall settle things with you.\Regardless of the outcome of the Holy Grail War. I swear it.\You stand in my way, samurai? response:	That's my line.
context: Or would you consider this a debt, Saber?\Of course, Sasaki Kojirou.\Forgive my rudeness.\You were truly an opponent worthy of my full attention.\Rest assured, I shall settle things with you.\Regardless of the outcome of the Holy Grail War. I swear it.\You stand in my way, samurai?\That's my line. response:	I said they may leave, and you would interfere?
context: Of course, Sasaki Kojirou.\Forgive my rudeness.\You were truly an opponent worthy of my full attention.\Rest assured, I shall settle things with you.\Regardless of the outcome of the Holy Grail War. I swear it.\You stand in my way, samurai?\That's my line.\I said they may leave, and you would interfere? response:	My duty is to guard this gate.
context: Forgive my rudeness.\You were truly an opponent worthy of my full attention.\Rest assured, I shall settle things with you.\Regardless of the outcome of the Holy Grail War. I swear it.\You stand in my way, samurai?\That's my line.\I said they may leave, and you would interfere?\My duty is to guard this gate. response:	I permitted entry, but exiting is another matter.
context: You were truly an opponent worthy of my full attention.\Rest assured, I shall settle things with you.\Regardless of the outcome of the Holy Grail War. I swear it.\You stand in my way, samurai?\That's my line.\I said they may leave, and you would interfere?\My duty is to guard this gate.\I permitted entry, but exiting is another matter. response:	Your head lacks elegance, but I shall satisfy myself by claiming it tonight.
context: Rest assured, I shall settle things with you.\Regardless of the outcome of the Holy Grail War. I swear it.\You stand in my way, samurai?\That's my line.\I said they may leave, and you would interfere?\My duty is to guard this gate.\I permitted entry, but exiting is another matter.\Your head lacks elegance, but I shall satisfy myself by claiming it tonight. response:	You think you can fight me, lackey of Caster?
context: Regardless of the outcome of the Holy Grail War. I swear it.\You stand in my way, samurai?\That's my line.\I said they may leave, and you would interfere?\My duty is to guard this gate.\I permitted entry, but exiting is another matter.\Your head lacks elegance, but I shall satisfy myself by claiming it tonight.\You think you can fight me, lackey of Caster? response:	I could say the same.
context: You stand in my way, samurai?\That's my line.\I said they may leave, and you would interfere?\My duty is to guard this gate.\I permitted entry, but exiting is another matter.\Your head lacks elegance, but I shall satisfy myself by claiming it tonight.\You think you can fight me, lackey of Caster?\I could say the same. response:	I sent you to give the vixen a scare,
context: That's my line.\I said they may leave, and you would interfere?\My duty is to guard this gate.\I permitted entry, but exiting is another matter.\Your head lacks elegance, but I shall satisfy myself by claiming it tonight.\You think you can fight me, lackey of Caster?\I could say the same.\I sent you to give the vixen a scare, response:	so imagine my disappointment to see you flee for your own well-being.
context: I said they may leave, and you would interfere?\My duty is to guard this gate.\I permitted entry, but exiting is another matter.\Your head lacks elegance, but I shall satisfy myself by claiming it tonight.\You think you can fight me, lackey of Caster?\I could say the same.\I sent you to give the vixen a scare,\so imagine my disappointment to see you flee for your own well-being. response:	Shirou, while he's distracted...
context: My duty is to guard this gate.\I permitted entry, but exiting is another matter.\Your head lacks elegance, but I shall satisfy myself by claiming it tonight.\You think you can fight me, lackey of Caster?\I could say the same.\I sent you to give the vixen a scare,\so imagine my disappointment to see you flee for your own well-being.\Shirou, while he's distracted... response:	Hurry!
context: I permitted entry, but exiting is another matter.\Your head lacks elegance, but I shall satisfy myself by claiming it tonight.\You think you can fight me, lackey of Caster?\I could say the same.\I sent you to give the vixen a scare,\so imagine my disappointment to see you flee for your own well-being.\Shirou, while he's distracted...\Hurry! response:	I understand.
context: Your head lacks elegance, but I shall satisfy myself by claiming it tonight.\You think you can fight me, lackey of Caster?\I could say the same.\I sent you to give the vixen a scare,\so imagine my disappointment to see you flee for your own well-being.\Shirou, while he's distracted...\Hurry!\I understand. response:	So Archer allowed Caster to escape?
context: You think you can fight me, lackey of Caster?\I could say the same.\I sent you to give the vixen a scare,\so imagine my disappointment to see you flee for your own well-being.\Shirou, while he's distracted...\Hurry!\I understand.\So Archer allowed Caster to escape? response:	Yeah, he did.
context: I could say the same.\I sent you to give the vixen a scare,\so imagine my disappointment to see you flee for your own well-being.\Shirou, while he's distracted...\Hurry!\I understand.\So Archer allowed Caster to escape?\Yeah, he did. response:	That guy is the worst.
context: I sent you to give the vixen a scare,\so imagine my disappointment to see you flee for your own well-being.\Shirou, while he's distracted...\Hurry!\I understand.\So Archer allowed Caster to escape?\Yeah, he did.\That guy is the worst. response:	If he's willing to exploit someone like her to win, he's no better than Caster.
context: so imagine my disappointment to see you flee for your own well-being.\Shirou, while he's distracted...\Hurry!\I understand.\So Archer allowed Caster to escape?\Yeah, he did.\That guy is the worst.\If he's willing to exploit someone like her to win, he's no better than Caster. response:	Why are you smiling like that?
context: Shirou, while he's distracted...\Hurry!\I understand.\So Archer allowed Caster to escape?\Yeah, he did.\That guy is the worst.\If he's willing to exploit someone like her to win, he's no better than Caster.\Why are you smiling like that? response:	Well, it is rare to hear you speak ill of someone.
context: Hurry!\I understand.\So Archer allowed Caster to escape?\Yeah, he did.\That guy is the worst.\If he's willing to exploit someone like her to win, he's no better than Caster.\Why are you smiling like that?\Well, it is rare to hear you speak ill of someone. response:	But you aren't angry at Archer for attacking you?
context: I understand.\So Archer allowed Caster to escape?\Yeah, he did.\That guy is the worst.\If he's willing to exploit someone like her to win, he's no better than Caster.\Why are you smiling like that?\Well, it is rare to hear you speak ill of someone.\But you aren't angry at Archer for attacking you? response:	I'm allied with Tohsaka. Not him.
context: So Archer allowed Caster to escape?\Yeah, he did.\That guy is the worst.\If he's willing to exploit someone like her to win, he's no better than Caster.\Why are you smiling like that?\Well, it is rare to hear you speak ill of someone.\But you aren't angry at Archer for attacking you?\I'm allied with Tohsaka. Not him. response:	If you look at it that way, he didn't betray me.
context: Yeah, he did.\That guy is the worst.\If he's willing to exploit someone like her to win, he's no better than Caster.\Why are you smiling like that?\Well, it is rare to hear you speak ill of someone.\But you aren't angry at Archer for attacking you?\I'm allied with Tohsaka. Not him.\If you look at it that way, he didn't betray me. response:	You are the most amazing specimen, Shirou.
context: That guy is the worst.\If he's willing to exploit someone like her to win, he's no better than Caster.\Why are you smiling like that?\Well, it is rare to hear you speak ill of someone.\But you aren't angry at Archer for attacking you?\I'm allied with Tohsaka. Not him.\If you look at it that way, he didn't betray me.\You are the most amazing specimen, Shirou. response:	It's true that Caster is an enemy who must not run free,
context: If he's willing to exploit someone like her to win, he's no better than Caster.\Why are you smiling like that?\Well, it is rare to hear you speak ill of someone.\But you aren't angry at Archer for attacking you?\I'm allied with Tohsaka. Not him.\If you look at it that way, he didn't betray me.\You are the most amazing specimen, Shirou.\It's true that Caster is an enemy who must not run free, response:	but I believe Archer is not cruel.
context: Why are you smiling like that?\Well, it is rare to hear you speak ill of someone.\But you aren't angry at Archer for attacking you?\I'm allied with Tohsaka. Not him.\If you look at it that way, he didn't betray me.\You are the most amazing specimen, Shirou.\It's true that Caster is an enemy who must not run free,\but I believe Archer is not cruel. response:	Hang on a second. What part of what I just said were you listening to?
context: Well, it is rare to hear you speak ill of someone.\But you aren't angry at Archer for attacking you?\I'm allied with Tohsaka. Not him.\If you look at it that way, he didn't betray me.\You are the most amazing specimen, Shirou.\It's true that Caster is an enemy who must not run free,\but I believe Archer is not cruel.\Hang on a second. What part of what I just said were you listening to? response:	You saw it, didn't you, Shirou?
context: But you aren't angry at Archer for attacking you?\I'm allied with Tohsaka. Not him.\If you look at it that way, he didn't betray me.\You are the most amazing specimen, Shirou.\It's true that Caster is an enemy who must not run free,\but I believe Archer is not cruel.\Hang on a second. What part of what I just said were you listening to?\You saw it, didn't you, Shirou? response:	His technique was as pure as a clear stream.
context: I'm allied with Tohsaka. Not him.\If you look at it that way, he didn't betray me.\You are the most amazing specimen, Shirou.\It's true that Caster is an enemy who must not run free,\but I believe Archer is not cruel.\Hang on a second. What part of what I just said were you listening to?\You saw it, didn't you, Shirou?\His technique was as pure as a clear stream. response:	His heart must be equally as pure.
context: If you look at it that way, he didn't betray me.\You are the most amazing specimen, Shirou.\It's true that Caster is an enemy who must not run free,\but I believe Archer is not cruel.\Hang on a second. What part of what I just said were you listening to?\You saw it, didn't you, Shirou?\His technique was as pure as a clear stream.\His heart must be equally as pure. response:	He's not that great with a sword.
context: You are the most amazing specimen, Shirou.\It's true that Caster is an enemy who must not run free,\but I believe Archer is not cruel.\Hang on a second. What part of what I just said were you listening to?\You saw it, didn't you, Shirou?\His technique was as pure as a clear stream.\His heart must be equally as pure.\He's not that great with a sword. response:	The guy attacked me from behind, but he didn't manage to kill me.
context: It's true that Caster is an enemy who must not run free,\but I believe Archer is not cruel.\Hang on a second. What part of what I just said were you listening to?\You saw it, didn't you, Shirou?\His technique was as pure as a clear stream.\His heart must be equally as pure.\He's not that great with a sword.\The guy attacked me from behind, but he didn't manage to kill me. response:	Yes, you have an aptitude for it, as well.
context: but I believe Archer is not cruel.\Hang on a second. What part of what I just said were you listening to?\You saw it, didn't you, Shirou?\His technique was as pure as a clear stream.\His heart must be equally as pure.\He's not that great with a sword.\The guy attacked me from behind, but he didn't manage to kill me.\Yes, you have an aptitude for it, as well. response:	Given enough time and effort, you should be able to reach his level.
context: Hang on a second. What part of what I just said were you listening to?\You saw it, didn't you, Shirou?\His technique was as pure as a clear stream.\His heart must be equally as pure.\He's not that great with a sword.\The guy attacked me from behind, but he didn't manage to kill me.\Yes, you have an aptitude for it, as well.\Given enough time and effort, you should be able to reach his level. response:	I've made up my mind.
context: You saw it, didn't you, Shirou?\His technique was as pure as a clear stream.\His heart must be equally as pure.\He's not that great with a sword.\The guy attacked me from behind, but he didn't manage to kill me.\Yes, you have an aptitude for it, as well.\Given enough time and effort, you should be able to reach his level.\I've made up my mind. response:	Once I'm healed up, Saber, teach me how to use a sword!
context: His technique was as pure as a clear stream.\His heart must be equally as pure.\He's not that great with a sword.\The guy attacked me from behind, but he didn't manage to kill me.\Yes, you have an aptitude for it, as well.\Given enough time and effort, you should be able to reach his level.\I've made up my mind.\Once I'm healed up, Saber, teach me how to use a sword! response:	Not just as exercise. How to really fight.
context: His heart must be equally as pure.\He's not that great with a sword.\The guy attacked me from behind, but he didn't manage to kill me.\Yes, you have an aptitude for it, as well.\Given enough time and effort, you should be able to reach his level.\I've made up my mind.\Once I'm healed up, Saber, teach me how to use a sword!\Not just as exercise. How to really fight. response:	Very well.
context: He's not that great with a sword.\The guy attacked me from behind, but he didn't manage to kill me.\Yes, you have an aptitude for it, as well.\Given enough time and effort, you should be able to reach his level.\I've made up my mind.\Once I'm healed up, Saber, teach me how to use a sword!\Not just as exercise. How to really fight.\Very well. response:	If that's what you want, Shirou.
context: The guy attacked me from behind, but he didn't manage to kill me.\Yes, you have an aptitude for it, as well.\Given enough time and effort, you should be able to reach his level.\I've made up my mind.\Once I'm healed up, Saber, teach me how to use a sword!\Not just as exercise. How to really fight.\Very well.\If that's what you want, Shirou. response:	That settles it, then!
context: Yes, you have an aptitude for it, as well.\Given enough time and effort, you should be able to reach his level.\I've made up my mind.\Once I'm healed up, Saber, teach me how to use a sword!\Not just as exercise. How to really fight.\Very well.\If that's what you want, Shirou.\That settles it, then! response:	I can't screw up again like I did tonight,
context: Given enough time and effort, you should be able to reach his level.\I've made up my mind.\Once I'm healed up, Saber, teach me how to use a sword!\Not just as exercise. How to really fight.\Very well.\If that's what you want, Shirou.\That settles it, then!\I can't screw up again like I did tonight, response:	and running away at every turn won't change anything.
context: I've made up my mind.\Once I'm healed up, Saber, teach me how to use a sword!\Not just as exercise. How to really fight.\Very well.\If that's what you want, Shirou.\That settles it, then!\I can't screw up again like I did tonight,\and running away at every turn won't change anything. response:	And most of all, I can't let myself lose to that bastard who said
context: Once I'm healed up, Saber, teach me how to use a sword!\Not just as exercise. How to really fight.\Very well.\If that's what you want, Shirou.\That settles it, then!\I can't screw up again like I did tonight,\and running away at every turn won't change anything.\And most of all, I can't let myself lose to that bastard who said response:	he would sacrifice the lives of the few to save those of the many.
context: Not just as exercise. How to really fight.\Very well.\If that's what you want, Shirou.\That settles it, then!\I can't screw up again like I did tonight,\and running away at every turn won't change anything.\And most of all, I can't let myself lose to that bastard who said\he would sacrifice the lives of the few to save those of the many. response:	Ow...
context: Very well.\If that's what you want, Shirou.\That settles it, then!\I can't screw up again like I did tonight,\and running away at every turn won't change anything.\And most of all, I can't let myself lose to that bastard who said\he would sacrifice the lives of the few to save those of the many.\Ow... response:	We're going to smash that Bounded Field.
context: If that's what you want, Shirou.\That settles it, then!\I can't screw up again like I did tonight,\and running away at every turn won't change anything.\And most of all, I can't let myself lose to that bastard who said\he would sacrifice the lives of the few to save those of the many.\Ow...\We're going to smash that Bounded Field. response:	The enemy is planning to settle things here.
context: That settles it, then!\I can't screw up again like I did tonight,\and running away at every turn won't change anything.\And most of all, I can't let myself lose to that bastard who said\he would sacrifice the lives of the few to save those of the many.\Ow...\We're going to smash that Bounded Field.\The enemy is planning to settle things here. response:	I'll make you pay for what you've done, no matter what!
context: I can't screw up again like I did tonight,\and running away at every turn won't change anything.\And most of all, I can't let myself lose to that bastard who said\he would sacrifice the lives of the few to save those of the many.\Ow...\We're going to smash that Bounded Field.\The enemy is planning to settle things here.\I'll make you pay for what you've done, no matter what! response:	What's the problem?
context: and running away at every turn won't change anything.\And most of all, I can't let myself lose to that bastard who said\he would sacrifice the lives of the few to save those of the many.\Ow...\We're going to smash that Bounded Field.\The enemy is planning to settle things here.\I'll make you pay for what you've done, no matter what!\What's the problem? response:	This is how Servants ought to be!
context: And most of all, I can't let myself lose to that bastard who said\he would sacrifice the lives of the few to save those of the many.\Ow...\We're going to smash that Bounded Field.\The enemy is planning to settle things here.\I'll make you pay for what you've done, no matter what!\What's the problem?\This is how Servants ought to be! response:	Next Time Winter Days, Where the Heart Is
