context: Kiss Him, Not Me response:	On a Journey to the Holy Land of Kachu Rabu
context: Hey!\That's Serinuma-san's voice!\Over there!\Over there!\They sounded like they were close, and yet...\Did we get lost?\No, we should be going in the right direction.\I know. response:	Let's leave marks as we go.
context: That's Serinuma-san's voice!\Over there!\Over there!\They sounded like they were close, and yet...\Did we get lost?\No, we should be going in the right direction.\I know.\Let's leave marks as we go. response:	That's strange.
context: Over there!\Over there!\They sounded like they were close, and yet...\Did we get lost?\No, we should be going in the right direction.\I know.\Let's leave marks as we go.\That's strange. response:	I was sure they were this way.
context: Over there!\They sounded like they were close, and yet...\Did we get lost?\No, we should be going in the right direction.\I know.\Let's leave marks as we go.\That's strange.\I was sure they were this way. response:	Still no sign of them?
context: They sounded like they were close, and yet...\Did we get lost?\No, we should be going in the right direction.\I know.\Let's leave marks as we go.\That's strange.\I was sure they were this way.\Still no sign of them? response:	It's...
context: Did we get lost?\No, we should be going in the right direction.\I know.\Let's leave marks as we go.\That's strange.\I was sure they were this way.\Still no sign of them?\It's... response:	How?
context: No, we should be going in the right direction.\I know.\Let's leave marks as we go.\That's strange.\I was sure they were this way.\Still no sign of them?\It's...\How? response:	What's going on here?
context: I know.\Let's leave marks as we go.\That's strange.\I was sure they were this way.\Still no sign of them?\It's...\How?\What's going on here? response:	This is strange.
context: Let's leave marks as we go.\That's strange.\I was sure they were this way.\Still no sign of them?\It's...\How?\What's going on here?\This is strange. response:	Serinuma-san, let's go back for
context: That's strange.\I was sure they were this way.\Still no sign of them?\It's...\How?\What's going on here?\This is strange.\Serinuma-san, let's go back for response:	Serinuma-san!
context: I was sure they were this way.\Still no sign of them?\It's...\How?\What's going on here?\This is strange.\Serinuma-san, let's go back for\Serinuma-san! response:	Serinuma-san!
context: Still no sign of them?\It's...\How?\What's going on here?\This is strange.\Serinuma-san, let's go back for\Serinuma-san!\Serinuma-san! response:	She's burning up!
context: It's...\How?\What's going on here?\This is strange.\Serinuma-san, let's go back for\Serinuma-san!\Serinuma-san!\She's burning up! response:	So cold...
context: How?\What's going on here?\This is strange.\Serinuma-san, let's go back for\Serinuma-san!\Serinuma-san!\She's burning up!\So cold... response:	With those wet clothes on,
context: What's going on here?\This is strange.\Serinuma-san, let's go back for\Serinuma-san!\Serinuma-san!\She's burning up!\So cold...\With those wet clothes on, response:	she's going to keep losing body heat.
context: This is strange.\Serinuma-san, let's go back for\Serinuma-san!\Serinuma-san!\She's burning up!\So cold...\With those wet clothes on,\she's going to keep losing body heat. response:	Serinuma-san, I'm sorry.
context: Serinuma-san, let's go back for\Serinuma-san!\Serinuma-san!\She's burning up!\So cold...\With those wet clothes on,\she's going to keep losing body heat.\Serinuma-san, I'm sorry. response:	This is really weird!
context: Serinuma-san!\Serinuma-san!\She's burning up!\So cold...\With those wet clothes on,\she's going to keep losing body heat.\Serinuma-san, I'm sorry.\This is really weird! response:	Doesn't this mean we've been walking around in circles?!
context: Serinuma-san!\She's burning up!\So cold...\With those wet clothes on,\she's going to keep losing body heat.\Serinuma-san, I'm sorry.\This is really weird!\Doesn't this mean we've been walking around in circles?! response:	We were walking in a straight line, though.
context: She's burning up!\So cold...\With those wet clothes on,\she's going to keep losing body heat.\Serinuma-san, I'm sorry.\This is really weird!\Doesn't this mean we've been walking around in circles?!\We were walking in a straight line, though. response:	That's what makes this so weird!
context: So cold...\With those wet clothes on,\she's going to keep losing body heat.\Serinuma-san, I'm sorry.\This is really weird!\Doesn't this mean we've been walking around in circles?!\We were walking in a straight line, though.\That's what makes this so weird! response:	Don't tell me...
context: With those wet clothes on,\she's going to keep losing body heat.\Serinuma-san, I'm sorry.\This is really weird!\Doesn't this mean we've been walking around in circles?!\We were walking in a straight line, though.\That's what makes this so weird!\Don't tell me... response:	We've been cursed?!
context: she's going to keep losing body heat.\Serinuma-san, I'm sorry.\This is really weird!\Doesn't this mean we've been walking around in circles?!\We were walking in a straight line, though.\That's what makes this so weird!\Don't tell me...\We've been cursed?! response:	What's the matter, kids?
context: Serinuma-san, I'm sorry.\This is really weird!\Doesn't this mean we've been walking around in circles?!\We were walking in a straight line, though.\That's what makes this so weird!\Don't tell me...\We've been cursed?!\What's the matter, kids? response:	Shi
context: This is really weird!\Doesn't this mean we've been walking around in circles?!\We were walking in a straight line, though.\That's what makes this so weird!\Don't tell me...\We've been cursed?!\What's the matter, kids?\Shi response:	Nana
context: Doesn't this mean we've been walking around in circles?!\We were walking in a straight line, though.\That's what makes this so weird!\Don't tell me...\We've been cursed?!\What's the matter, kids?\Shi\Nana response:	Ni
context: We were walking in a straight line, though.\That's what makes this so weird!\Don't tell me...\We've been cursed?!\What's the matter, kids?\Shi\Nana\Ni response:	Iga
context: That's what makes this so weird!\Don't tell me...\We've been cursed?!\What's the matter, kids?\Shi\Nana\Ni\Iga response:	There's someone here!
context: Don't tell me...\We've been cursed?!\What's the matter, kids?\Shi\Nana\Ni\Iga\There's someone here! response:	Fuzzy wuzzy!
context: We've been cursed?!\What's the matter, kids?\Shi\Nana\Ni\Iga\There's someone here!\Fuzzy wuzzy! response:	Her fever's gone down!
context: What's the matter, kids?\Shi\Nana\Ni\Iga\There's someone here!\Fuzzy wuzzy!\Her fever's gone down! response:	Serinuma-san, sorry!
context: Shi\Nana\Ni\Iga\There's someone here!\Fuzzy wuzzy!\Her fever's gone down!\Serinuma-san, sorry! response:	I promise not to look!
context: Nana\Ni\Iga\There's someone here!\Fuzzy wuzzy!\Her fever's gone down!\Serinuma-san, sorry!\I promise not to look! response:	Huh?
context: Ni\Iga\There's someone here!\Fuzzy wuzzy!\Her fever's gone down!\Serinuma-san, sorry!\I promise not to look!\Huh? response:	Where am I?
context: Iga\There's someone here!\Fuzzy wuzzy!\Her fever's gone down!\Serinuma-san, sorry!\I promise not to look!\Huh?\Where am I? response:	Are you okay? You fainted.
context: There's someone here!\Fuzzy wuzzy!\Her fever's gone down!\Serinuma-san, sorry!\I promise not to look!\Huh?\Where am I?\Are you okay? You fainted. response:	What? Did I really?
context: Fuzzy wuzzy!\Her fever's gone down!\Serinuma-san, sorry!\I promise not to look!\Huh?\Where am I?\Are you okay? You fainted.\What? Did I really? response:	I had a really nice dream.
context: Her fever's gone down!\Serinuma-san, sorry!\I promise not to look!\Huh?\Where am I?\Are you okay? You fainted.\What? Did I really?\I had a really nice dream. response:	I was being held by a big, soft cat.
context: Serinuma-san, sorry!\I promise not to look!\Huh?\Where am I?\Are you okay? You fainted.\What? Did I really?\I had a really nice dream.\I was being held by a big, soft cat. response:	He was so fluffy and warm!
context: I promise not to look!\Huh?\Where am I?\Are you okay? You fainted.\What? Did I really?\I had a really nice dream.\I was being held by a big, soft cat.\He was so fluffy and warm! response:	I was so happy!
context: Huh?\Where am I?\Are you okay? You fainted.\What? Did I really?\I had a really nice dream.\I was being held by a big, soft cat.\He was so fluffy and warm!\I was so happy! response:	I-I see.
context: Where am I?\Are you okay? You fainted.\What? Did I really?\I had a really nice dream.\I was being held by a big, soft cat.\He was so fluffy and warm!\I was so happy!\I-I see. response:	You really saved us out there!
context: Are you okay? You fainted.\What? Did I really?\I had a really nice dream.\I was being held by a big, soft cat.\He was so fluffy and warm!\I was so happy!\I-I see.\You really saved us out there! response:	Rest up until the rain stops.
context: What? Did I really?\I had a really nice dream.\I was being held by a big, soft cat.\He was so fluffy and warm!\I was so happy!\I-I see.\You really saved us out there!\Rest up until the rain stops. response:	Thank you very much.
context: I had a really nice dream.\I was being held by a big, soft cat.\He was so fluffy and warm!\I was so happy!\I-I see.\You really saved us out there!\Rest up until the rain stops.\Thank you very much. response:	It's so warm!
context: I was being held by a big, soft cat.\He was so fluffy and warm!\I was so happy!\I-I see.\You really saved us out there!\Rest up until the rain stops.\Thank you very much.\It's so warm! response:	Um, we actually got separated from some friends.
context: He was so fluffy and warm!\I was so happy!\I-I see.\You really saved us out there!\Rest up until the rain stops.\Thank you very much.\It's so warm!\Um, we actually got separated from some friends. response:	Do you know any way we could contact them?
context: I was so happy!\I-I see.\You really saved us out there!\Rest up until the rain stops.\Thank you very much.\It's so warm!\Um, we actually got separated from some friends.\Do you know any way we could contact them? response:	There's no need to contact them. You'll see them soon enough.
context: I-I see.\You really saved us out there!\Rest up until the rain stops.\Thank you very much.\It's so warm!\Um, we actually got separated from some friends.\Do you know any way we could contact them?\There's no need to contact them. You'll see them soon enough. response:	In the other world!
context: You really saved us out there!\Rest up until the rain stops.\Thank you very much.\It's so warm!\Um, we actually got separated from some friends.\Do you know any way we could contact them?\There's no need to contact them. You'll see them soon enough.\In the other world! response:	Senpai, look!
context: Rest up until the rain stops.\Thank you very much.\It's so warm!\Um, we actually got separated from some friends.\Do you know any way we could contact them?\There's no need to contact them. You'll see them soon enough.\In the other world!\Senpai, look! response:	They look like fireballs!
context: Thank you very much.\It's so warm!\Um, we actually got separated from some friends.\Do you know any way we could contact them?\There's no need to contact them. You'll see them soon enough.\In the other world!\Senpai, look!\They look like fireballs! response:	Or am I just imagining things?!
context: It's so warm!\Um, we actually got separated from some friends.\Do you know any way we could contact them?\There's no need to contact them. You'll see them soon enough.\In the other world!\Senpai, look!\They look like fireballs!\Or am I just imagining things?! response:	No, they look that way to me, too.
context: Um, we actually got separated from some friends.\Do you know any way we could contact them?\There's no need to contact them. You'll see them soon enough.\In the other world!\Senpai, look!\They look like fireballs!\Or am I just imagining things?!\No, they look that way to me, too. response:	Run!
context: Do you know any way we could contact them?\There's no need to contact them. You'll see them soon enough.\In the other world!\Senpai, look!\They look like fireballs!\Or am I just imagining things?!\No, they look that way to me, too.\Run! response:	Right!
context: There's no need to contact them. You'll see them soon enough.\In the other world!\Senpai, look!\They look like fireballs!\Or am I just imagining things?!\No, they look that way to me, too.\Run!\Right! response:	My name is Hyakki Sametora.
context: In the other world!\Senpai, look!\They look like fireballs!\Or am I just imagining things?!\No, they look that way to me, too.\Run!\Right!\My name is Hyakki Sametora. response:	Any fool who dares set foot here...
context: Senpai, look!\They look like fireballs!\Or am I just imagining things?!\No, they look that way to me, too.\Run!\Right!\My name is Hyakki Sametora.\Any fool who dares set foot here... response:	will only face death!
context: They look like fireballs!\Or am I just imagining things?!\No, they look that way to me, too.\Run!\Right!\My name is Hyakki Sametora.\Any fool who dares set foot here...\will only face death! response:	Go!
context: Or am I just imagining things?!\No, they look that way to me, too.\Run!\Right!\My name is Hyakki Sametora.\Any fool who dares set foot here...\will only face death!\Go! response:	Senpai?
context: No, they look that way to me, too.\Run!\Right!\My name is Hyakki Sametora.\Any fool who dares set foot here...\will only face death!\Go!\Senpai? response:	A good luck charm?!
context: Run!\Right!\My name is Hyakki Sametora.\Any fool who dares set foot here...\will only face death!\Go!\Senpai?\A good luck charm?! response:	I bought it at the shrine.
context: Right!\My name is Hyakki Sametora.\Any fool who dares set foot here...\will only face death!\Go!\Senpai?\A good luck charm?!\I bought it at the shrine. response:	I never thought it'd actually work.
context: My name is Hyakki Sametora.\Any fool who dares set foot here...\will only face death!\Go!\Senpai?\A good luck charm?!\I bought it at the shrine.\I never thought it'd actually work. response:	If that's the case, I bought a charm, too!
context: Any fool who dares set foot here...\will only face death!\Go!\Senpai?\A good luck charm?!\I bought it at the shrine.\I never thought it'd actually work.\If that's the case, I bought a charm, too! response:	All right!
context: will only face death!\Go!\Senpai?\A good luck charm?!\I bought it at the shrine.\I never thought it'd actually work.\If that's the case, I bought a charm, too!\All right! response:	Academic Prowess
context: Go!\Senpai?\A good luck charm?!\I bought it at the shrine.\I never thought it'd actually work.\If that's the case, I bought a charm, too!\All right!\Academic Prowess response:	May those who preside over warriors be my vanguard!
context: Senpai?\A good luck charm?!\I bought it at the shrine.\I never thought it'd actually work.\If that's the case, I bought a charm, too!\All right!\Academic Prowess\May those who preside over warriors be my vanguard! response:	Wow, it really works.
context: A good luck charm?!\I bought it at the shrine.\I never thought it'd actually work.\If that's the case, I bought a charm, too!\All right!\Academic Prowess\May those who preside over warriors be my vanguard!\Wow, it really works. response:	That was amazing, Serinuma-san.
context: I bought it at the shrine.\I never thought it'd actually work.\If that's the case, I bought a charm, too!\All right!\Academic Prowess\May those who preside over warriors be my vanguard!\Wow, it really works.\That was amazing, Serinuma-san. response:	I was once crazy about exorcists.
context: I never thought it'd actually work.\If that's the case, I bought a charm, too!\All right!\Academic Prowess\May those who preside over warriors be my vanguard!\Wow, it really works.\That was amazing, Serinuma-san.\I was once crazy about exorcists. response:	Any otaku with taste knows the nine-character incantations.
context: If that's the case, I bought a charm, too!\All right!\Academic Prowess\May those who preside over warriors be my vanguard!\Wow, it really works.\That was amazing, Serinuma-san.\I was once crazy about exorcists.\Any otaku with taste knows the nine-character incantations. response:	By the way, Seimei-sama is a bottom.
context: All right!\Academic Prowess\May those who preside over warriors be my vanguard!\Wow, it really works.\That was amazing, Serinuma-san.\I was once crazy about exorcists.\Any otaku with taste knows the nine-character incantations.\By the way, Seimei-sama is a bottom. response:	I-I see.
context: Academic Prowess\May those who preside over warriors be my vanguard!\Wow, it really works.\That was amazing, Serinuma-san.\I was once crazy about exorcists.\Any otaku with taste knows the nine-character incantations.\By the way, Seimei-sama is a bottom.\I-I see. response:	You worthless garbage!
context: May those who preside over warriors be my vanguard!\Wow, it really works.\That was amazing, Serinuma-san.\I was once crazy about exorcists.\Any otaku with taste knows the nine-character incantations.\By the way, Seimei-sama is a bottom.\I-I see.\You worthless garbage! response:	Protection From Evil
context: Wow, it really works.\That was amazing, Serinuma-san.\I was once crazy about exorcists.\Any otaku with taste knows the nine-character incantations.\By the way, Seimei-sama is a bottom.\I-I see.\You worthless garbage!\Protection From Evil response:	I can't hold out much longer!
context: That was amazing, Serinuma-san.\I was once crazy about exorcists.\Any otaku with taste knows the nine-character incantations.\By the way, Seimei-sama is a bottom.\I-I see.\You worthless garbage!\Protection From Evil\I can't hold out much longer! response:	Senpai!
context: I was once crazy about exorcists.\Any otaku with taste knows the nine-character incantations.\By the way, Seimei-sama is a bottom.\I-I see.\You worthless garbage!\Protection From Evil\I can't hold out much longer!\Senpai! response:	Akane-chan!
context: Any otaku with taste knows the nine-character incantations.\By the way, Seimei-sama is a bottom.\I-I see.\You worthless garbage!\Protection From Evil\I can't hold out much longer!\Senpai!\Akane-chan! response:	Lend me your power!
context: By the way, Seimei-sama is a bottom.\I-I see.\You worthless garbage!\Protection From Evil\I can't hold out much longer!\Senpai!\Akane-chan!\Lend me your power! response:	Sametora Flame-Horned Slugger!
context: I-I see.\You worthless garbage!\Protection From Evil\I can't hold out much longer!\Senpai!\Akane-chan!\Lend me your power!\Sametora Flame-Horned Slugger! response:	Academic Prowess
context: You worthless garbage!\Protection From Evil\I can't hold out much longer!\Senpai!\Akane-chan!\Lend me your power!\Sametora Flame-Horned Slugger!\Academic Prowess response:	Wh-What is this?!
context: Protection From Evil\I can't hold out much longer!\Senpai!\Akane-chan!\Lend me your power!\Sametora Flame-Horned Slugger!\Academic Prowess\Wh-What is this?! response:	Senpai, are you okay?
context: I can't hold out much longer!\Senpai!\Akane-chan!\Lend me your power!\Sametora Flame-Horned Slugger!\Academic Prowess\Wh-What is this?!\Senpai, are you okay? response:	Serinuma-san, did you, just now...
context: Senpai!\Akane-chan!\Lend me your power!\Sametora Flame-Horned Slugger!\Academic Prowess\Wh-What is this?!\Senpai, are you okay?\Serinuma-san, did you, just now... response:	Yup! It was the lord's special skill!
context: Akane-chan!\Lend me your power!\Sametora Flame-Horned Slugger!\Academic Prowess\Wh-What is this?!\Senpai, are you okay?\Serinuma-san, did you, just now...\Yup! It was the lord's special skill! response:	Unforgivable...
context: Lend me your power!\Sametora Flame-Horned Slugger!\Academic Prowess\Wh-What is this?!\Senpai, are you okay?\Serinuma-san, did you, just now...\Yup! It was the lord's special skill!\Unforgivable... response:	I will curse all you humans! You will all die!
context: Sametora Flame-Horned Slugger!\Academic Prowess\Wh-What is this?!\Senpai, are you okay?\Serinuma-san, did you, just now...\Yup! It was the lord's special skill!\Unforgivable...\I will curse all you humans! You will all die! response:	No!
context: Academic Prowess\Wh-What is this?!\Senpai, are you okay?\Serinuma-san, did you, just now...\Yup! It was the lord's special skill!\Unforgivable...\I will curse all you humans! You will all die!\No! response:	My lord, Hyakki Sametora, would never say such a thing!
context: Wh-What is this?!\Senpai, are you okay?\Serinuma-san, did you, just now...\Yup! It was the lord's special skill!\Unforgivable...\I will curse all you humans! You will all die!\No!\My lord, Hyakki Sametora, would never say such a thing! response:	The lord is just so cool and filled with love!
context: Senpai, are you okay?\Serinuma-san, did you, just now...\Yup! It was the lord's special skill!\Unforgivable...\I will curse all you humans! You will all die!\No!\My lord, Hyakki Sametora, would never say such a thing!\The lord is just so cool and filled with love! response:	He may seem aloof at first glance,
context: Serinuma-san, did you, just now...\Yup! It was the lord's special skill!\Unforgivable...\I will curse all you humans! You will all die!\No!\My lord, Hyakki Sametora, would never say such a thing!\The lord is just so cool and filled with love!\He may seem aloof at first glance, response:	but in reality, he thinks of his people above all else!
context: Yup! It was the lord's special skill!\Unforgivable...\I will curse all you humans! You will all die!\No!\My lord, Hyakki Sametora, would never say such a thing!\The lord is just so cool and filled with love!\He may seem aloof at first glance,\but in reality, he thinks of his people above all else! response:	It's because he's that kind of person that everyone has that memorial for him.
context: Unforgivable...\I will curse all you humans! You will all die!\No!\My lord, Hyakki Sametora, would never say such a thing!\The lord is just so cool and filled with love!\He may seem aloof at first glance,\but in reality, he thinks of his people above all else!\It's because he's that kind of person that everyone has that memorial for him. response:	And why everyone wishes that you rest in peace.
context: I will curse all you humans! You will all die!\No!\My lord, Hyakki Sametora, would never say such a thing!\The lord is just so cool and filled with love!\He may seem aloof at first glance,\but in reality, he thinks of his people above all else!\It's because he's that kind of person that everyone has that memorial for him.\And why everyone wishes that you rest in peace. response:	My lordSametora-samais our hero,
context: No!\My lord, Hyakki Sametora, would never say such a thing!\The lord is just so cool and filled with love!\He may seem aloof at first glance,\but in reality, he thinks of his people above all else!\It's because he's that kind of person that everyone has that memorial for him.\And why everyone wishes that you rest in peace.\My lordSametora-samais our hero, response:	no, an eternal hero!
context: My lord, Hyakki Sametora, would never say such a thing!\The lord is just so cool and filled with love!\He may seem aloof at first glance,\but in reality, he thinks of his people above all else!\It's because he's that kind of person that everyone has that memorial for him.\And why everyone wishes that you rest in peace.\My lordSametora-samais our hero,\no, an eternal hero! response:	I have gone down in history as such an esteemed figure?
context: The lord is just so cool and filled with love!\He may seem aloof at first glance,\but in reality, he thinks of his people above all else!\It's because he's that kind of person that everyone has that memorial for him.\And why everyone wishes that you rest in peace.\My lordSametora-samais our hero,\no, an eternal hero!\I have gone down in history as such an esteemed figure? response:	You would do so much for me?
context: He may seem aloof at first glance,\but in reality, he thinks of his people above all else!\It's because he's that kind of person that everyone has that memorial for him.\And why everyone wishes that you rest in peace.\My lordSametora-samais our hero,\no, an eternal hero!\I have gone down in history as such an esteemed figure?\You would do so much for me? response:	Then, that is how it shall be.
context: but in reality, he thinks of his people above all else!\It's because he's that kind of person that everyone has that memorial for him.\And why everyone wishes that you rest in peace.\My lordSametora-samais our hero,\no, an eternal hero!\I have gone down in history as such an esteemed figure?\You would do so much for me?\Then, that is how it shall be. response:	I am most satisfied.
context: It's because he's that kind of person that everyone has that memorial for him.\And why everyone wishes that you rest in peace.\My lordSametora-samais our hero,\no, an eternal hero!\I have gone down in history as such an esteemed figure?\You would do so much for me?\Then, that is how it shall be.\I am most satisfied. response:	My lord.
context: And why everyone wishes that you rest in peace.\My lordSametora-samais our hero,\no, an eternal hero!\I have gone down in history as such an esteemed figure?\You would do so much for me?\Then, that is how it shall be.\I am most satisfied.\My lord. response:	Serinuma-san! Mutsumi-senpai!
context: My lordSametora-samais our hero,\no, an eternal hero!\I have gone down in history as such an esteemed figure?\You would do so much for me?\Then, that is how it shall be.\I am most satisfied.\My lord.\Serinuma-san! Mutsumi-senpai! response:	What a relief!
context: no, an eternal hero!\I have gone down in history as such an esteemed figure?\You would do so much for me?\Then, that is how it shall be.\I am most satisfied.\My lord.\Serinuma-san! Mutsumi-senpai!\What a relief! response:	We finally found you!
context: I have gone down in history as such an esteemed figure?\You would do so much for me?\Then, that is how it shall be.\I am most satisfied.\My lord.\Serinuma-san! Mutsumi-senpai!\What a relief!\We finally found you! response:	You guys!
context: You would do so much for me?\Then, that is how it shall be.\I am most satisfied.\My lord.\Serinuma-san! Mutsumi-senpai!\What a relief!\We finally found you!\You guys! response:	This island is cursed! We have to get out of here!
context: Then, that is how it shall be.\I am most satisfied.\My lord.\Serinuma-san! Mutsumi-senpai!\What a relief!\We finally found you!\You guys!\This island is cursed! We have to get out of here! response:	Yamada Restaurant
context: I am most satisfied.\My lord.\Serinuma-san! Mutsumi-senpai!\What a relief!\We finally found you!\You guys!\This island is cursed! We have to get out of here!\Yamada Restaurant response:	Huh? Poison mushrooms?
context: My lord.\Serinuma-san! Mutsumi-senpai!\What a relief!\We finally found you!\You guys!\This island is cursed! We have to get out of here!\Yamada Restaurant\Huh? Poison mushrooms? response:	Really, I'm so sorry!
context: Serinuma-san! Mutsumi-senpai!\What a relief!\We finally found you!\You guys!\This island is cursed! We have to get out of here!\Yamada Restaurant\Huh? Poison mushrooms?\Really, I'm so sorry! response:	Mountain mushrooms from out back...
context: What a relief!\We finally found you!\You guys!\This island is cursed! We have to get out of here!\Yamada Restaurant\Huh? Poison mushrooms?\Really, I'm so sorry!\Mountain mushrooms from out back... response:	They looked like shiitake mushrooms, so I used them for lunch.
context: We finally found you!\You guys!\This island is cursed! We have to get out of here!\Yamada Restaurant\Huh? Poison mushrooms?\Really, I'm so sorry!\Mountain mushrooms from out back...\They looked like shiitake mushrooms, so I used them for lunch. response:	But apparently, they were mushrooms that make you hallucinate!
context: You guys!\This island is cursed! We have to get out of here!\Yamada Restaurant\Huh? Poison mushrooms?\Really, I'm so sorry!\Mountain mushrooms from out back...\They looked like shiitake mushrooms, so I used them for lunch.\But apparently, they were mushrooms that make you hallucinate! response:	Don't you know how dangerous that is?!
context: This island is cursed! We have to get out of here!\Yamada Restaurant\Huh? Poison mushrooms?\Really, I'm so sorry!\Mountain mushrooms from out back...\They looked like shiitake mushrooms, so I used them for lunch.\But apparently, they were mushrooms that make you hallucinate!\Don't you know how dangerous that is?! response:	I was in paradise until just now!
context: Yamada Restaurant\Huh? Poison mushrooms?\Really, I'm so sorry!\Mountain mushrooms from out back...\They looked like shiitake mushrooms, so I used them for lunch.\But apparently, they were mushrooms that make you hallucinate!\Don't you know how dangerous that is?!\I was in paradise until just now! response:	Hallucinogenic poison mushrooms?
context: Huh? Poison mushrooms?\Really, I'm so sorry!\Mountain mushrooms from out back...\They looked like shiitake mushrooms, so I used them for lunch.\But apparently, they were mushrooms that make you hallucinate!\Don't you know how dangerous that is?!\I was in paradise until just now!\Hallucinogenic poison mushrooms? response:	Then, when we thought we were going in circles...
context: Really, I'm so sorry!\Mountain mushrooms from out back...\They looked like shiitake mushrooms, so I used them for lunch.\But apparently, they were mushrooms that make you hallucinate!\Don't you know how dangerous that is?!\I was in paradise until just now!\Hallucinogenic poison mushrooms?\Then, when we thought we were going in circles... response:	And meeting my lord...
context: Mountain mushrooms from out back...\They looked like shiitake mushrooms, so I used them for lunch.\But apparently, they were mushrooms that make you hallucinate!\Don't you know how dangerous that is?!\I was in paradise until just now!\Hallucinogenic poison mushrooms?\Then, when we thought we were going in circles...\And meeting my lord... response:	And that mouth-to-mouth resuscitation.
context: They looked like shiitake mushrooms, so I used them for lunch.\But apparently, they were mushrooms that make you hallucinate!\Don't you know how dangerous that is?!\I was in paradise until just now!\Hallucinogenic poison mushrooms?\Then, when we thought we were going in circles...\And meeting my lord...\And that mouth-to-mouth resuscitation. response:	That really happened.
context: But apparently, they were mushrooms that make you hallucinate!\Don't you know how dangerous that is?!\I was in paradise until just now!\Hallucinogenic poison mushrooms?\Then, when we thought we were going in circles...\And meeting my lord...\And that mouth-to-mouth resuscitation.\That really happened. response:	Wanna see the pics?
context: Don't you know how dangerous that is?!\I was in paradise until just now!\Hallucinogenic poison mushrooms?\Then, when we thought we were going in circles...\And meeting my lord...\And that mouth-to-mouth resuscitation.\That really happened.\Wanna see the pics? response:	Why, you! Delete those pictures!
context: I was in paradise until just now!\Hallucinogenic poison mushrooms?\Then, when we thought we were going in circles...\And meeting my lord...\And that mouth-to-mouth resuscitation.\That really happened.\Wanna see the pics?\Why, you! Delete those pictures! response:	I refuse.
context: Hallucinogenic poison mushrooms?\Then, when we thought we were going in circles...\And meeting my lord...\And that mouth-to-mouth resuscitation.\That really happened.\Wanna see the pics?\Why, you! Delete those pictures!\I refuse. response:	And I thought I got to meet my lord!
context: Then, when we thought we were going in circles...\And meeting my lord...\And that mouth-to-mouth resuscitation.\That really happened.\Wanna see the pics?\Why, you! Delete those pictures!\I refuse.\And I thought I got to meet my lord! response:	The lord?
context: And meeting my lord...\And that mouth-to-mouth resuscitation.\That really happened.\Wanna see the pics?\Why, you! Delete those pictures!\I refuse.\And I thought I got to meet my lord!\The lord? response:	Sounds like you guys got to see lots of different things!
context: And that mouth-to-mouth resuscitation.\That really happened.\Wanna see the pics?\Why, you! Delete those pictures!\I refuse.\And I thought I got to meet my lord!\The lord?\Sounds like you guys got to see lots of different things! response:	A hallucination?
context: That really happened.\Wanna see the pics?\Why, you! Delete those pictures!\I refuse.\And I thought I got to meet my lord!\The lord?\Sounds like you guys got to see lots of different things!\A hallucination? response:	Let's leave it at that.
context: Wanna see the pics?\Why, you! Delete those pictures!\I refuse.\And I thought I got to meet my lord!\The lord?\Sounds like you guys got to see lots of different things!\A hallucination?\Let's leave it at that. response:	I wanna go somewhere!
context: Why, you! Delete those pictures!\I refuse.\And I thought I got to meet my lord!\The lord?\Sounds like you guys got to see lots of different things!\A hallucination?\Let's leave it at that.\I wanna go somewhere! response:	Go, then.
context: I refuse.\And I thought I got to meet my lord!\The lord?\Sounds like you guys got to see lots of different things!\A hallucination?\Let's leave it at that.\I wanna go somewhere!\Go, then. response:	You really don't get it.
context: And I thought I got to meet my lord!\The lord?\Sounds like you guys got to see lots of different things!\A hallucination?\Let's leave it at that.\I wanna go somewhere!\Go, then.\You really don't get it. response:	I want to go to an amusement park,
context: The lord?\Sounds like you guys got to see lots of different things!\A hallucination?\Let's leave it at that.\I wanna go somewhere!\Go, then.\You really don't get it.\I want to go to an amusement park, response:	or the beach, as a date.
context: Sounds like you guys got to see lots of different things!\A hallucination?\Let's leave it at that.\I wanna go somewhere!\Go, then.\You really don't get it.\I want to go to an amusement park,\or the beach, as a date. response:	I don't want to go anywhere hot. It's exhausting.
context: A hallucination?\Let's leave it at that.\I wanna go somewhere!\Go, then.\You really don't get it.\I want to go to an amusement park,\or the beach, as a date.\I don't want to go anywhere hot. It's exhausting. response:	Then where would you go?
context: Let's leave it at that.\I wanna go somewhere!\Go, then.\You really don't get it.\I want to go to an amusement park,\or the beach, as a date.\I don't want to go anywhere hot. It's exhausting.\Then where would you go? response:	The zoo.
context: I wanna go somewhere!\Go, then.\You really don't get it.\I want to go to an amusement park,\or the beach, as a date.\I don't want to go anywhere hot. It's exhausting.\Then where would you go?\The zoo. response:	That's just as hot!
context: Go, then.\You really don't get it.\I want to go to an amusement park,\or the beach, as a date.\I don't want to go anywhere hot. It's exhausting.\Then where would you go?\The zoo.\That's just as hot! response:	You seem like you'd definitely be late.
context: You really don't get it.\I want to go to an amusement park,\or the beach, as a date.\I don't want to go anywhere hot. It's exhausting.\Then where would you go?\The zoo.\That's just as hot!\You seem like you'd definitely be late. response:	Just so you know, I'm always 15 minutes early wherever I go!
context: I want to go to an amusement park,\or the beach, as a date.\I don't want to go anywhere hot. It's exhausting.\Then where would you go?\The zoo.\That's just as hot!\You seem like you'd definitely be late.\Just so you know, I'm always 15 minutes early wherever I go! response:	What a nag!
