context: So what if you brought them over? So what if you have Drifters? response:	No matter how many of those idiots you transport here...
context: Tell them like this... Then, like that...\You really are underhanded. No wonder you were betrayed.\Shut up! Tell them.\Hey, you all!\Aren't you a disgrace to your forefathers?\Do you not bring humiliation to your children?\Don't you wish to have your own state?\Will you grovel and die with regret? response:	Or will you run and die dreaming?
context: You really are underhanded. No wonder you were betrayed.\Shut up! Tell them.\Hey, you all!\Aren't you a disgrace to your forefathers?\Do you not bring humiliation to your children?\Don't you wish to have your own state?\Will you grovel and die with regret?\Or will you run and die dreaming? response:	Which way will you choose?!
context: Shut up! Tell them.\Hey, you all!\Aren't you a disgrace to your forefathers?\Do you not bring humiliation to your children?\Don't you wish to have your own state?\Will you grovel and die with regret?\Or will you run and die dreaming?\Which way will you choose?! response:	Decide!
context: Hey, you all!\Aren't you a disgrace to your forefathers?\Do you not bring humiliation to your children?\Don't you wish to have your own state?\Will you grovel and die with regret?\Or will you run and die dreaming?\Which way will you choose?!\Decide! response:	Wh-Why wouldn't we be ashamed?!
context: Aren't you a disgrace to your forefathers?\Do you not bring humiliation to your children?\Don't you wish to have your own state?\Will you grovel and die with regret?\Or will you run and die dreaming?\Which way will you choose?!\Decide!\Wh-Why wouldn't we be ashamed?! response:	Why wouldn't we want our country back?!
context: Do you not bring humiliation to your children?\Don't you wish to have your own state?\Will you grovel and die with regret?\Or will you run and die dreaming?\Which way will you choose?!\Decide!\Wh-Why wouldn't we be ashamed?!\Why wouldn't we want our country back?! response:	Why would we be okay with...
context: Don't you wish to have your own state?\Will you grovel and die with regret?\Or will you run and die dreaming?\Which way will you choose?!\Decide!\Wh-Why wouldn't we be ashamed?!\Why wouldn't we want our country back?!\Why would we be okay with... response:	being slaves?!
context: Will you grovel and die with regret?\Or will you run and die dreaming?\Which way will you choose?!\Decide!\Wh-Why wouldn't we be ashamed?!\Why wouldn't we want our country back?!\Why would we be okay with...\being slaves?! response:	Alright.
context: Or will you run and die dreaming?\Which way will you choose?!\Decide!\Wh-Why wouldn't we be ashamed?!\Why wouldn't we want our country back?!\Why would we be okay with...\being slaves?!\Alright. response:	Then...
context: Which way will you choose?!\Decide!\Wh-Why wouldn't we be ashamed?!\Why wouldn't we want our country back?!\Why would we be okay with...\being slaves?!\Alright.\Then... response:	let's go get your state back!
context: Decide!\Wh-Why wouldn't we be ashamed?!\Why wouldn't we want our country back?!\Why would we be okay with...\being slaves?!\Alright.\Then...\let's go get your state back! response:	Oh, oh, I like his defiant look...
context: Wh-Why wouldn't we be ashamed?!\Why wouldn't we want our country back?!\Why would we be okay with...\being slaves?!\Alright.\Then...\let's go get your state back!\Oh, oh, I like his defiant look... response:	It reminds me a bit of...
context: Why wouldn't we want our country back?!\Why would we be okay with...\being slaves?!\Alright.\Then...\let's go get your state back!\Oh, oh, I like his defiant look...\It reminds me a bit of... response:	Hey!
context: Why would we be okay with...\being slaves?!\Alright.\Then...\let's go get your state back!\Oh, oh, I like his defiant look...\It reminds me a bit of...\Hey! response:	Why did you make me the commander?
context: being slaves?!\Alright.\Then...\let's go get your state back!\Oh, oh, I like his defiant look...\It reminds me a bit of...\Hey!\Why did you make me the commander? response:	You should've taken on the role, Nobunaga.
context: Alright.\Then...\let's go get your state back!\Oh, oh, I like his defiant look...\It reminds me a bit of...\Hey!\Why did you make me the commander?\You should've taken on the role, Nobunaga. response:	I'd rather be a figure who pulls the strings behind the scenes.
context: Then...\let's go get your state back!\Oh, oh, I like his defiant look...\It reminds me a bit of...\Hey!\Why did you make me the commander?\You should've taken on the role, Nobunaga.\I'd rather be a figure who pulls the strings behind the scenes. response:	I am not your son.
context: let's go get your state back!\Oh, oh, I like his defiant look...\It reminds me a bit of...\Hey!\Why did you make me the commander?\You should've taken on the role, Nobunaga.\I'd rather be a figure who pulls the strings behind the scenes.\I am not your son. response:	Your son died in Nijou Palace! He was killed by Mitsuhide.
context: Oh, oh, I like his defiant look...\It reminds me a bit of...\Hey!\Why did you make me the commander?\You should've taken on the role, Nobunaga.\I'd rather be a figure who pulls the strings behind the scenes.\I am not your son.\Your son died in Nijou Palace! He was killed by Mitsuhide. response:	I am Shimazu Toyohisa. I am not Oda Nobutada!
context: It reminds me a bit of...\Hey!\Why did you make me the commander?\You should've taken on the role, Nobunaga.\I'd rather be a figure who pulls the strings behind the scenes.\I am not your son.\Your son died in Nijou Palace! He was killed by Mitsuhide.\I am Shimazu Toyohisa. I am not Oda Nobutada! response:	What the hell are you talking about?!
context: Hey!\Why did you make me the commander?\You should've taken on the role, Nobunaga.\I'd rather be a figure who pulls the strings behind the scenes.\I am not your son.\Your son died in Nijou Palace! He was killed by Mitsuhide.\I am Shimazu Toyohisa. I am not Oda Nobutada!\What the hell are you talking about?! response:	Are you stupid?!
context: Why did you make me the commander?\You should've taken on the role, Nobunaga.\I'd rather be a figure who pulls the strings behind the scenes.\I am not your son.\Your son died in Nijou Palace! He was killed by Mitsuhide.\I am Shimazu Toyohisa. I am not Oda Nobutada!\What the hell are you talking about?!\Are you stupid?! response:	You don't resemble him at all, you idiot. That's nonsense!
context: You should've taken on the role, Nobunaga.\I'd rather be a figure who pulls the strings behind the scenes.\I am not your son.\Your son died in Nijou Palace! He was killed by Mitsuhide.\I am Shimazu Toyohisa. I am not Oda Nobutada!\What the hell are you talking about?!\Are you stupid?!\You don't resemble him at all, you idiot. That's nonsense! response:	You fool.
context: I'd rather be a figure who pulls the strings behind the scenes.\I am not your son.\Your son died in Nijou Palace! He was killed by Mitsuhide.\I am Shimazu Toyohisa. I am not Oda Nobutada!\What the hell are you talking about?!\Are you stupid?!\You don't resemble him at all, you idiot. That's nonsense!\You fool. response:	Damn idiot.
context: I am not your son.\Your son died in Nijou Palace! He was killed by Mitsuhide.\I am Shimazu Toyohisa. I am not Oda Nobutada!\What the hell are you talking about?!\Are you stupid?!\You don't resemble him at all, you idiot. That's nonsense!\You fool.\Damn idiot. response:	I may have said too much.
context: Your son died in Nijou Palace! He was killed by Mitsuhide.\I am Shimazu Toyohisa. I am not Oda Nobutada!\What the hell are you talking about?!\Are you stupid?!\You don't resemble him at all, you idiot. That's nonsense!\You fool.\Damn idiot.\I may have said too much. response:	If my father were still alive,
context: I am Shimazu Toyohisa. I am not Oda Nobutada!\What the hell are you talking about?!\Are you stupid?!\You don't resemble him at all, you idiot. That's nonsense!\You fool.\Damn idiot.\I may have said too much.\If my father were still alive, response:	he would be around that age.
context: What the hell are you talking about?!\Are you stupid?!\You don't resemble him at all, you idiot. That's nonsense!\You fool.\Damn idiot.\I may have said too much.\If my father were still alive,\he would be around that age. response:	Mutter mutter mutter
context: Are you stupid?!\You don't resemble him at all, you idiot. That's nonsense!\You fool.\Damn idiot.\I may have said too much.\If my father were still alive,\he would be around that age.\Mutter mutter mutter response:	I'm not your old man.
context: You don't resemble him at all, you idiot. That's nonsense!\You fool.\Damn idiot.\I may have said too much.\If my father were still alive,\he would be around that age.\Mutter mutter mutter\I'm not your old man. response:	Iehisa is long dead.
context: You fool.\Damn idiot.\I may have said too much.\If my father were still alive,\he would be around that age.\Mutter mutter mutter\I'm not your old man.\Iehisa is long dead. response:	I am Oda Nobunaga.
context: Damn idiot.\I may have said too much.\If my father were still alive,\he would be around that age.\Mutter mutter mutter\I'm not your old man.\Iehisa is long dead.\I am Oda Nobunaga. response:	Satsuma?
context: I may have said too much.\If my father were still alive,\he would be around that age.\Mutter mutter mutter\I'm not your old man.\Iehisa is long dead.\I am Oda Nobunaga.\Satsuma? response:	Where the hell is that?!
context: If my father were still alive,\he would be around that age.\Mutter mutter mutter\I'm not your old man.\Iehisa is long dead.\I am Oda Nobunaga.\Satsuma?\Where the hell is that?! response:	What the hell did you just say, you jackass?!
context: he would be around that age.\Mutter mutter mutter\I'm not your old man.\Iehisa is long dead.\I am Oda Nobunaga.\Satsuma?\Where the hell is that?!\What the hell did you just say, you jackass?! response:	You wanna fight, punk?!
context: Mutter mutter mutter\I'm not your old man.\Iehisa is long dead.\I am Oda Nobunaga.\Satsuma?\Where the hell is that?!\What the hell did you just say, you jackass?!\You wanna fight, punk?! response:	Hyaaah!
context: I'm not your old man.\Iehisa is long dead.\I am Oda Nobunaga.\Satsuma?\Where the hell is that?!\What the hell did you just say, you jackass?!\You wanna fight, punk?!\Hyaaah! response:	What's going on? They started fighting!
context: Iehisa is long dead.\I am Oda Nobunaga.\Satsuma?\Where the hell is that?!\What the hell did you just say, you jackass?!\You wanna fight, punk?!\Hyaaah!\What's going on? They started fighting! response:	-Stop them! -Stop them!
context: I am Oda Nobunaga.\Satsuma?\Where the hell is that?!\What the hell did you just say, you jackass?!\You wanna fight, punk?!\Hyaaah!\What's going on? They started fighting!\-Stop them! -Stop them! response:	Ahh... This brings back memories... Brotherly fights...
context: Satsuma?\Where the hell is that?!\What the hell did you just say, you jackass?!\You wanna fight, punk?!\Hyaaah!\What's going on? They started fighting!\-Stop them! -Stop them!\Ahh... This brings back memories... Brotherly fights... response:	We, the ten brothers, are going to side with the Taira clan.
context: Where the hell is that?!\What the hell did you just say, you jackass?!\You wanna fight, punk?!\Hyaaah!\What's going on? They started fighting!\-Stop them! -Stop them!\Ahh... This brings back memories... Brotherly fights...\We, the ten brothers, are going to side with the Taira clan. response:	Yoichi, you are on the Genjis' side, aren't you?
context: What the hell did you just say, you jackass?!\You wanna fight, punk?!\Hyaaah!\What's going on? They started fighting!\-Stop them! -Stop them!\Ahh... This brings back memories... Brotherly fights...\We, the ten brothers, are going to side with the Taira clan.\Yoichi, you are on the Genjis' side, aren't you? response:	All right. Let's fight!
context: You wanna fight, punk?!\Hyaaah!\What's going on? They started fighting!\-Stop them! -Stop them!\Ahh... This brings back memories... Brotherly fights...\We, the ten brothers, are going to side with the Taira clan.\Yoichi, you are on the Genjis' side, aren't you?\All right. Let's fight! response:	Come on! Come on! Come on!
context: Hyaaah!\What's going on? They started fighting!\-Stop them! -Stop them!\Ahh... This brings back memories... Brotherly fights...\We, the ten brothers, are going to side with the Taira clan.\Yoichi, you are on the Genjis' side, aren't you?\All right. Let's fight!\Come on! Come on! Come on! response:	There were eleven of us. It was amazing!
context: What's going on? They started fighting!\-Stop them! -Stop them!\Ahh... This brings back memories... Brotherly fights...\We, the ten brothers, are going to side with the Taira clan.\Yoichi, you are on the Genjis' side, aren't you?\All right. Let's fight!\Come on! Come on! Come on!\There were eleven of us. It was amazing! response:	The Nasu Clan
context: -Stop them! -Stop them!\Ahh... This brings back memories... Brotherly fights...\We, the ten brothers, are going to side with the Taira clan.\Yoichi, you are on the Genjis' side, aren't you?\All right. Let's fight!\Come on! Come on! Come on!\There were eleven of us. It was amazing!\The Nasu Clan response:	I wish we could do that again.
context: Ahh... This brings back memories... Brotherly fights...\We, the ten brothers, are going to side with the Taira clan.\Yoichi, you are on the Genjis' side, aren't you?\All right. Let's fight!\Come on! Come on! Come on!\There were eleven of us. It was amazing!\The Nasu Clan\I wish we could do that again. response:	What the hell?!
context: We, the ten brothers, are going to side with the Taira clan.\Yoichi, you are on the Genjis' side, aren't you?\All right. Let's fight!\Come on! Come on! Come on!\There were eleven of us. It was amazing!\The Nasu Clan\I wish we could do that again.\What the hell?! response:	Don't you use a bow?!
context: Yoichi, you are on the Genjis' side, aren't you?\All right. Let's fight!\Come on! Come on! Come on!\There were eleven of us. It was amazing!\The Nasu Clan\I wish we could do that again.\What the hell?!\Don't you use a bow?! response:	Please stop!
context: All right. Let's fight!\Come on! Come on! Come on!\There were eleven of us. It was amazing!\The Nasu Clan\I wish we could do that again.\What the hell?!\Don't you use a bow?!\Please stop! response:	The lord's forces could be approaching as you speak.
context: Come on! Come on! Come on!\There were eleven of us. It was amazing!\The Nasu Clan\I wish we could do that again.\What the hell?!\Don't you use a bow?!\Please stop!\The lord's forces could be approaching as you speak. response:	There is no time for fighting!
context: There were eleven of us. It was amazing!\The Nasu Clan\I wish we could do that again.\What the hell?!\Don't you use a bow?!\Please stop!\The lord's forces could be approaching as you speak.\There is no time for fighting! response:	Who are you?
context: The Nasu Clan\I wish we could do that again.\What the hell?!\Don't you use a bow?!\Please stop!\The lord's forces could be approaching as you speak.\There is no time for fighting!\Who are you? response:	I am Shara, son of the village elder who was killed by them.
context: I wish we could do that again.\What the hell?!\Don't you use a bow?!\Please stop!\The lord's forces could be approaching as you speak.\There is no time for fighting!\Who are you?\I am Shara, son of the village elder who was killed by them. response:	Thank you for looking after my brothers.
context: What the hell?!\Don't you use a bow?!\Please stop!\The lord's forces could be approaching as you speak.\There is no time for fighting!\Who are you?\I am Shara, son of the village elder who was killed by them.\Thank you for looking after my brothers. response:	Ah! So this is your big brother?
context: Don't you use a bow?!\Please stop!\The lord's forces could be approaching as you speak.\There is no time for fighting!\Who are you?\I am Shara, son of the village elder who was killed by them.\Thank you for looking after my brothers.\Ah! So this is your big brother? response:	Yeah!
context: Please stop!\The lord's forces could be approaching as you speak.\There is no time for fighting!\Who are you?\I am Shara, son of the village elder who was killed by them.\Thank you for looking after my brothers.\Ah! So this is your big brother?\Yeah! response:	Don't say, They could be approaching.
context: The lord's forces could be approaching as you speak.\There is no time for fighting!\Who are you?\I am Shara, son of the village elder who was killed by them.\Thank you for looking after my brothers.\Ah! So this is your big brother?\Yeah!\Don't say, They could be approaching. response:	Of course they are closing in.
context: There is no time for fighting!\Who are you?\I am Shara, son of the village elder who was killed by them.\Thank you for looking after my brothers.\Ah! So this is your big brother?\Yeah!\Don't say, They could be approaching.\Of course they are closing in. response:	Those soldiers whom you killed didn't return from patrol duties,
context: Who are you?\I am Shara, son of the village elder who was killed by them.\Thank you for looking after my brothers.\Ah! So this is your big brother?\Yeah!\Don't say, They could be approaching.\Of course they are closing in.\Those soldiers whom you killed didn't return from patrol duties, response:	so they began to assemble the troops, which will take...
context: I am Shara, son of the village elder who was killed by them.\Thank you for looking after my brothers.\Ah! So this is your big brother?\Yeah!\Don't say, They could be approaching.\Of course they are closing in.\Those soldiers whom you killed didn't return from patrol duties,\so they began to assemble the troops, which will take... response:	I would guess four days.
context: Thank you for looking after my brothers.\Ah! So this is your big brother?\Yeah!\Don't say, They could be approaching.\Of course they are closing in.\Those soldiers whom you killed didn't return from patrol duties,\so they began to assemble the troops, which will take...\I would guess four days. response:	No...
context: Ah! So this is your big brother?\Yeah!\Don't say, They could be approaching.\Of course they are closing in.\Those soldiers whom you killed didn't return from patrol duties,\so they began to assemble the troops, which will take...\I would guess four days.\No... response:	They are well equipped, so maybe sooner. It'll probably take three days.
context: Yeah!\Don't say, They could be approaching.\Of course they are closing in.\Those soldiers whom you killed didn't return from patrol duties,\so they began to assemble the troops, which will take...\I would guess four days.\No...\They are well equipped, so maybe sooner. It'll probably take three days. response:	The Shimazus could do that by the next day.
context: Don't say, They could be approaching.\Of course they are closing in.\Those soldiers whom you killed didn't return from patrol duties,\so they began to assemble the troops, which will take...\I would guess four days.\No...\They are well equipped, so maybe sooner. It'll probably take three days.\The Shimazus could do that by the next day. response:	That is because your clan is a bunch of freaks!
context: Of course they are closing in.\Those soldiers whom you killed didn't return from patrol duties,\so they began to assemble the troops, which will take...\I would guess four days.\No...\They are well equipped, so maybe sooner. It'll probably take three days.\The Shimazus could do that by the next day.\That is because your clan is a bunch of freaks! response:	You damn belligerent tribe!
context: Those soldiers whom you killed didn't return from patrol duties,\so they began to assemble the troops, which will take...\I would guess four days.\No...\They are well equipped, so maybe sooner. It'll probably take three days.\The Shimazus could do that by the next day.\That is because your clan is a bunch of freaks!\You damn belligerent tribe! response:	In other words, likely the day after tomorrow is...
context: so they began to assemble the troops, which will take...\I would guess four days.\No...\They are well equipped, so maybe sooner. It'll probably take three days.\The Shimazus could do that by the next day.\That is because your clan is a bunch of freaks!\You damn belligerent tribe!\In other words, likely the day after tomorrow is... response:	Please! Help us!
context: I would guess four days.\No...\They are well equipped, so maybe sooner. It'll probably take three days.\The Shimazus could do that by the next day.\That is because your clan is a bunch of freaks!\You damn belligerent tribe!\In other words, likely the day after tomorrow is...\Please! Help us! response:	Please... lend us your strength! We have never taken up arms to fight!
context: No...\They are well equipped, so maybe sooner. It'll probably take three days.\The Shimazus could do that by the next day.\That is because your clan is a bunch of freaks!\You damn belligerent tribe!\In other words, likely the day after tomorrow is...\Please! Help us!\Please... lend us your strength! We have never taken up arms to fight! response:	We were only children when our country was destroyed forty years ago.
context: They are well equipped, so maybe sooner. It'll probably take three days.\The Shimazus could do that by the next day.\That is because your clan is a bunch of freaks!\You damn belligerent tribe!\In other words, likely the day after tomorrow is...\Please! Help us!\Please... lend us your strength! We have never taken up arms to fight!\We were only children when our country was destroyed forty years ago. response:	Our fathers and brothers who fought in the battle were all killed.
context: The Shimazus could do that by the next day.\That is because your clan is a bunch of freaks!\You damn belligerent tribe!\In other words, likely the day after tomorrow is...\Please! Help us!\Please... lend us your strength! We have never taken up arms to fight!\We were only children when our country was destroyed forty years ago.\Our fathers and brothers who fought in the battle were all killed. response:	We hardly know how to fight!
context: That is because your clan is a bunch of freaks!\You damn belligerent tribe!\In other words, likely the day after tomorrow is...\Please! Help us!\Please... lend us your strength! We have never taken up arms to fight!\We were only children when our country was destroyed forty years ago.\Our fathers and brothers who fought in the battle were all killed.\We hardly know how to fight! response:	Please! I'm begging you!
context: You damn belligerent tribe!\In other words, likely the day after tomorrow is...\Please! Help us!\Please... lend us your strength! We have never taken up arms to fight!\We were only children when our country was destroyed forty years ago.\Our fathers and brothers who fought in the battle were all killed.\We hardly know how to fight!\Please! I'm begging you! response:	Didn't you just say something strange?
context: In other words, likely the day after tomorrow is...\Please! Help us!\Please... lend us your strength! We have never taken up arms to fight!\We were only children when our country was destroyed forty years ago.\Our fathers and brothers who fought in the battle were all killed.\We hardly know how to fight!\Please! I'm begging you!\Didn't you just say something strange? response:	Hey, you! How old are you?
context: Please! Help us!\Please... lend us your strength! We have never taken up arms to fight!\We were only children when our country was destroyed forty years ago.\Our fathers and brothers who fought in the battle were all killed.\We hardly know how to fight!\Please! I'm begging you!\Didn't you just say something strange?\Hey, you! How old are you? response:	Eh? I'm 106 years old.
context: Please... lend us your strength! We have never taken up arms to fight!\We were only children when our country was destroyed forty years ago.\Our fathers and brothers who fought in the battle were all killed.\We hardly know how to fight!\Please! I'm begging you!\Didn't you just say something strange?\Hey, you! How old are you?\Eh? I'm 106 years old. response:	Don't joke around. You could be executed if you were in Japan.
context: We were only children when our country was destroyed forty years ago.\Our fathers and brothers who fought in the battle were all killed.\We hardly know how to fight!\Please! I'm begging you!\Didn't you just say something strange?\Hey, you! How old are you?\Eh? I'm 106 years old.\Don't joke around. You could be executed if you were in Japan. response:	I'm telling you the truth.
context: Our fathers and brothers who fought in the battle were all killed.\We hardly know how to fight!\Please! I'm begging you!\Didn't you just say something strange?\Hey, you! How old are you?\Eh? I'm 106 years old.\Don't joke around. You could be executed if you were in Japan.\I'm telling you the truth. response:	Hey, you two. How old are you?
context: We hardly know how to fight!\Please! I'm begging you!\Didn't you just say something strange?\Hey, you! How old are you?\Eh? I'm 106 years old.\Don't joke around. You could be executed if you were in Japan.\I'm telling you the truth.\Hey, you two. How old are you? response:	I'm thirty-nine.
context: Please! I'm begging you!\Didn't you just say something strange?\Hey, you! How old are you?\Eh? I'm 106 years old.\Don't joke around. You could be executed if you were in Japan.\I'm telling you the truth.\Hey, you two. How old are you?\I'm thirty-nine. response:	I'm thirty-six.
context: Didn't you just say something strange?\Hey, you! How old are you?\Eh? I'm 106 years old.\Don't joke around. You could be executed if you were in Japan.\I'm telling you the truth.\Hey, you two. How old are you?\I'm thirty-nine.\I'm thirty-six. response:	How do you explain that, Boobienu?
context: Hey, you! How old are you?\Eh? I'm 106 years old.\Don't joke around. You could be executed if you were in Japan.\I'm telling you the truth.\Hey, you two. How old are you?\I'm thirty-nine.\I'm thirty-six.\How do you explain that, Boobienu? response:	Honk honk
context: Eh? I'm 106 years old.\Don't joke around. You could be executed if you were in Japan.\I'm telling you the truth.\Hey, you two. How old are you?\I'm thirty-nine.\I'm thirty-six.\How do you explain that, Boobienu?\Honk honk response:	It's Olminu!
context: Don't joke around. You could be executed if you were in Japan.\I'm telling you the truth.\Hey, you two. How old are you?\I'm thirty-nine.\I'm thirty-six.\How do you explain that, Boobienu?\Honk honk\It's Olminu! response:	You don't have any intention of remembering my name, do you?!
context: I'm telling you the truth.\Hey, you two. How old are you?\I'm thirty-nine.\I'm thirty-six.\How do you explain that, Boobienu?\Honk honk\It's Olminu!\You don't have any intention of remembering my name, do you?! response:	And don't grab my boobs, you perverted old man!
context: Hey, you two. How old are you?\I'm thirty-nine.\I'm thirty-six.\How do you explain that, Boobienu?\Honk honk\It's Olminu!\You don't have any intention of remembering my name, do you?!\And don't grab my boobs, you perverted old man! response:	The Elves are expected to live long lives.
context: I'm thirty-nine.\I'm thirty-six.\How do you explain that, Boobienu?\Honk honk\It's Olminu!\You don't have any intention of remembering my name, do you?!\And don't grab my boobs, you perverted old man!\The Elves are expected to live long lives. response:	Their life expectancy is about five to six times greater than humans.
context: I'm thirty-six.\How do you explain that, Boobienu?\Honk honk\It's Olminu!\You don't have any intention of remembering my name, do you?!\And don't grab my boobs, you perverted old man!\The Elves are expected to live long lives.\Their life expectancy is about five to six times greater than humans. response:	Their rate of maturation is slow, too.
context: How do you explain that, Boobienu?\Honk honk\It's Olminu!\You don't have any intention of remembering my name, do you?!\And don't grab my boobs, you perverted old man!\The Elves are expected to live long lives.\Their life expectancy is about five to six times greater than humans.\Their rate of maturation is slow, too. response:	-What's wrong? -What's wrong?
context: Honk honk\It's Olminu!\You don't have any intention of remembering my name, do you?!\And don't grab my boobs, you perverted old man!\The Elves are expected to live long lives.\Their life expectancy is about five to six times greater than humans.\Their rate of maturation is slow, too.\-What's wrong? -What's wrong? response:	You are older...
context: It's Olminu!\You don't have any intention of remembering my name, do you?!\And don't grab my boobs, you perverted old man!\The Elves are expected to live long lives.\Their life expectancy is about five to six times greater than humans.\Their rate of maturation is slow, too.\-What's wrong? -What's wrong?\You are older... response:	This area used to be Elven land
context: You don't have any intention of remembering my name, do you?!\And don't grab my boobs, you perverted old man!\The Elves are expected to live long lives.\Their life expectancy is about five to six times greater than humans.\Their rate of maturation is slow, too.\-What's wrong? -What's wrong?\You are older...\This area used to be Elven land response:	until Orte, the human kingdom in the East, destroyed it.
context: And don't grab my boobs, you perverted old man!\The Elves are expected to live long lives.\Their life expectancy is about five to six times greater than humans.\Their rate of maturation is slow, too.\-What's wrong? -What's wrong?\You are older...\This area used to be Elven land\until Orte, the human kingdom in the East, destroyed it. response:	Orte also conquered the states of the Dwarfs and the Hobbits
context: The Elves are expected to live long lives.\Their life expectancy is about five to six times greater than humans.\Their rate of maturation is slow, too.\-What's wrong? -What's wrong?\You are older...\This area used to be Elven land\until Orte, the human kingdom in the East, destroyed it.\Orte also conquered the states of the Dwarfs and the Hobbits response:	and subjugated them, forcing them to be serfs and miners.
context: Their life expectancy is about five to six times greater than humans.\Their rate of maturation is slow, too.\-What's wrong? -What's wrong?\You are older...\This area used to be Elven land\until Orte, the human kingdom in the East, destroyed it.\Orte also conquered the states of the Dwarfs and the Hobbits\and subjugated them, forcing them to be serfs and miners. response:	The Kingdom of Orte then proclaimed their state to be an empire,
context: Their rate of maturation is slow, too.\-What's wrong? -What's wrong?\You are older...\This area used to be Elven land\until Orte, the human kingdom in the East, destroyed it.\Orte also conquered the states of the Dwarfs and the Hobbits\and subjugated them, forcing them to be serfs and miners.\The Kingdom of Orte then proclaimed their state to be an empire, response:	and enforced the system of occupation, setting a doctrine of human supremacy.
context: -What's wrong? -What's wrong?\You are older...\This area used to be Elven land\until Orte, the human kingdom in the East, destroyed it.\Orte also conquered the states of the Dwarfs and the Hobbits\and subjugated them, forcing them to be serfs and miners.\The Kingdom of Orte then proclaimed their state to be an empire,\and enforced the system of occupation, setting a doctrine of human supremacy. response:	Is this so-called Orte still expanding?
context: You are older...\This area used to be Elven land\until Orte, the human kingdom in the East, destroyed it.\Orte also conquered the states of the Dwarfs and the Hobbits\and subjugated them, forcing them to be serfs and miners.\The Kingdom of Orte then proclaimed their state to be an empire,\and enforced the system of occupation, setting a doctrine of human supremacy.\Is this so-called Orte still expanding? response:	They are currently engaged in battles all around the country.
context: This area used to be Elven land\until Orte, the human kingdom in the East, destroyed it.\Orte also conquered the states of the Dwarfs and the Hobbits\and subjugated them, forcing them to be serfs and miners.\The Kingdom of Orte then proclaimed their state to be an empire,\and enforced the system of occupation, setting a doctrine of human supremacy.\Is this so-called Orte still expanding?\They are currently engaged in battles all around the country. response:	However, their battle fronts have reached equilibrium.
context: until Orte, the human kingdom in the East, destroyed it.\Orte also conquered the states of the Dwarfs and the Hobbits\and subjugated them, forcing them to be serfs and miners.\The Kingdom of Orte then proclaimed their state to be an empire,\and enforced the system of occupation, setting a doctrine of human supremacy.\Is this so-called Orte still expanding?\They are currently engaged in battles all around the country.\However, their battle fronts have reached equilibrium. response:	That's expected. Conquering a state is like spinning a burning wheel.
context: Orte also conquered the states of the Dwarfs and the Hobbits\and subjugated them, forcing them to be serfs and miners.\The Kingdom of Orte then proclaimed their state to be an empire,\and enforced the system of occupation, setting a doctrine of human supremacy.\Is this so-called Orte still expanding?\They are currently engaged in battles all around the country.\However, their battle fronts have reached equilibrium.\That's expected. Conquering a state is like spinning a burning wheel. response:	Once we claim a state, we only have two choices.
context: and subjugated them, forcing them to be serfs and miners.\The Kingdom of Orte then proclaimed their state to be an empire,\and enforced the system of occupation, setting a doctrine of human supremacy.\Is this so-called Orte still expanding?\They are currently engaged in battles all around the country.\However, their battle fronts have reached equilibrium.\That's expected. Conquering a state is like spinning a burning wheel.\Once we claim a state, we only have two choices. response:	Either utterly destroy it,
context: The Kingdom of Orte then proclaimed their state to be an empire,\and enforced the system of occupation, setting a doctrine of human supremacy.\Is this so-called Orte still expanding?\They are currently engaged in battles all around the country.\However, their battle fronts have reached equilibrium.\That's expected. Conquering a state is like spinning a burning wheel.\Once we claim a state, we only have two choices.\Either utterly destroy it, response:	or hand over everything as you would to pacify a crying princess.
context: and enforced the system of occupation, setting a doctrine of human supremacy.\Is this so-called Orte still expanding?\They are currently engaged in battles all around the country.\However, their battle fronts have reached equilibrium.\That's expected. Conquering a state is like spinning a burning wheel.\Once we claim a state, we only have two choices.\Either utterly destroy it,\or hand over everything as you would to pacify a crying princess. response:	Orte forty years ago would've been
context: Is this so-called Orte still expanding?\They are currently engaged in battles all around the country.\However, their battle fronts have reached equilibrium.\That's expected. Conquering a state is like spinning a burning wheel.\Once we claim a state, we only have two choices.\Either utterly destroy it,\or hand over everything as you would to pacify a crying princess.\Orte forty years ago would've been response:	a major ally in the fight against the Black King,
context: They are currently engaged in battles all around the country.\However, their battle fronts have reached equilibrium.\That's expected. Conquering a state is like spinning a burning wheel.\Once we claim a state, we only have two choices.\Either utterly destroy it,\or hand over everything as you would to pacify a crying princess.\Orte forty years ago would've been\a major ally in the fight against the Black King, response:	but present-day Orte is...
context: However, their battle fronts have reached equilibrium.\That's expected. Conquering a state is like spinning a burning wheel.\Once we claim a state, we only have two choices.\Either utterly destroy it,\or hand over everything as you would to pacify a crying princess.\Orte forty years ago would've been\a major ally in the fight against the Black King,\but present-day Orte is... response:	They didn't do either, leaving the grudges of the occupied to fester.
context: That's expected. Conquering a state is like spinning a burning wheel.\Once we claim a state, we only have two choices.\Either utterly destroy it,\or hand over everything as you would to pacify a crying princess.\Orte forty years ago would've been\a major ally in the fight against the Black King,\but present-day Orte is...\They didn't do either, leaving the grudges of the occupied to fester. response:	Furthermore, it has been forty years.
