context: Once upon a time, there was a man who died. response:	The man's work was to write and tell stories, but he could not defy death.
context: It feels strange, somehow.\Do you want to know? Do you really want to know?\Little Duck.\What?\The water has begun to flow. The time has begun to pass.\Now, tell me a story.\I'm going.\On the way back, I'll borrow some books for you from the library. response:	Don't read any books except the ones I bring you.
context: Do you want to know? Do you really want to know?\Little Duck.\What?\The water has begun to flow. The time has begun to pass.\Now, tell me a story.\I'm going.\On the way back, I'll borrow some books for you from the library.\Don't read any books except the ones I bring you. response:	Thank you.
context: Little Duck.\What?\The water has begun to flow. The time has begun to pass.\Now, tell me a story.\I'm going.\On the way back, I'll borrow some books for you from the library.\Don't read any books except the ones I bring you.\Thank you. response:	Don't make me worry, you idiot.
context: What?\The water has begun to flow. The time has begun to pass.\Now, tell me a story.\I'm going.\On the way back, I'll borrow some books for you from the library.\Don't read any books except the ones I bring you.\Thank you.\Don't make me worry, you idiot. response:	Okay!
context: The water has begun to flow. The time has begun to pass.\Now, tell me a story.\I'm going.\On the way back, I'll borrow some books for you from the library.\Don't read any books except the ones I bring you.\Thank you.\Don't make me worry, you idiot.\Okay! response:	What's'okay'?
context: Now, tell me a story.\I'm going.\On the way back, I'll borrow some books for you from the library.\Don't read any books except the ones I bring you.\Thank you.\Don't make me worry, you idiot.\Okay!\What's'okay'? response:	You're going to do something, aren't you? I wonder what it is?
context: I'm going.\On the way back, I'll borrow some books for you from the library.\Don't read any books except the ones I bring you.\Thank you.\Don't make me worry, you idiot.\Okay!\What's'okay'?\You're going to do something, aren't you? I wonder what it is? response:	Nothing, really.
context: On the way back, I'll borrow some books for you from the library.\Don't read any books except the ones I bring you.\Thank you.\Don't make me worry, you idiot.\Okay!\What's'okay'?\You're going to do something, aren't you? I wonder what it is?\Nothing, really. response:	Like thinking of seeing Mytho-sama?
context: Don't read any books except the ones I bring you.\Thank you.\Don't make me worry, you idiot.\Okay!\What's'okay'?\You're going to do something, aren't you? I wonder what it is?\Nothing, really.\Like thinking of seeing Mytho-sama? response:	What?
context: Thank you.\Don't make me worry, you idiot.\Okay!\What's'okay'?\You're going to do something, aren't you? I wonder what it is?\Nothing, really.\Like thinking of seeing Mytho-sama?\What? response:	Oh, my!
context: Don't make me worry, you idiot.\Okay!\What's'okay'?\You're going to do something, aren't you? I wonder what it is?\Nothing, really.\Like thinking of seeing Mytho-sama?\What?\Oh, my! response:	lf things go well, maybe even strike up a friendship?
context: Okay!\What's'okay'?\You're going to do something, aren't you? I wonder what it is?\Nothing, really.\Like thinking of seeing Mytho-sama?\What?\Oh, my!\lf things go well, maybe even strike up a friendship? response:	Was I right?!
context: What's'okay'?\You're going to do something, aren't you? I wonder what it is?\Nothing, really.\Like thinking of seeing Mytho-sama?\What?\Oh, my!\lf things go well, maybe even strike up a friendship?\Was I right?! response:	No, I hadn't thought that far...
context: You're going to do something, aren't you? I wonder what it is?\Nothing, really.\Like thinking of seeing Mytho-sama?\What?\Oh, my!\lf things go well, maybe even strike up a friendship?\Was I right?!\No, I hadn't thought that far... response:	Oh, no! That's the kind of spirit you should go with!
context: Nothing, really.\Like thinking of seeing Mytho-sama?\What?\Oh, my!\lf things go well, maybe even strike up a friendship?\Was I right?!\No, I hadn't thought that far...\Oh, no! That's the kind of spirit you should go with! response:	We'll make sure to cover for you being late somehow!
context: Like thinking of seeing Mytho-sama?\What?\Oh, my!\lf things go well, maybe even strike up a friendship?\Was I right?!\No, I hadn't thought that far...\Oh, no! That's the kind of spirit you should go with!\We'll make sure to cover for you being late somehow! response:	Ah, okay...
context: What?\Oh, my!\lf things go well, maybe even strike up a friendship?\Was I right?!\No, I hadn't thought that far...\Oh, no! That's the kind of spirit you should go with!\We'll make sure to cover for you being late somehow!\Ah, okay... response:	Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight!
context: Oh, my!\lf things go well, maybe even strike up a friendship?\Was I right?!\No, I hadn't thought that far...\Oh, no! That's the kind of spirit you should go with!\We'll make sure to cover for you being late somehow!\Ah, okay...\Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight! response:	I wonder if it'll work out?
context: lf things go well, maybe even strike up a friendship?\Was I right?!\No, I hadn't thought that far...\Oh, no! That's the kind of spirit you should go with!\We'll make sure to cover for you being late somehow!\Ah, okay...\Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight!\I wonder if it'll work out? response:	It'll be fine.
context: Was I right?!\No, I hadn't thought that far...\Oh, no! That's the kind of spirit you should go with!\We'll make sure to cover for you being late somehow!\Ah, okay...\Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight!\I wonder if it'll work out?\It'll be fine. response:	You think?
context: No, I hadn't thought that far...\Oh, no! That's the kind of spirit you should go with!\We'll make sure to cover for you being late somehow!\Ah, okay...\Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight!\I wonder if it'll work out?\It'll be fine.\You think? response:	Because even if she fails, I'll comfort her.
context: Oh, no! That's the kind of spirit you should go with!\We'll make sure to cover for you being late somehow!\Ah, okay...\Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight!\I wonder if it'll work out?\It'll be fine.\You think?\Because even if she fails, I'll comfort her. response:	I have to do it properly this time!
context: We'll make sure to cover for you being late somehow!\Ah, okay...\Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight!\I wonder if it'll work out?\It'll be fine.\You think?\Because even if she fails, I'll comfort her.\I have to do it properly this time! response:	So, Canary Mom's kids are leaving the nest today.
context: Ah, okay...\Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight!\I wonder if it'll work out?\It'll be fine.\You think?\Because even if she fails, I'll comfort her.\I have to do it properly this time!\So, Canary Mom's kids are leaving the nest today. response:	Be careful!
context: Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight! Fight!\I wonder if it'll work out?\It'll be fine.\You think?\Because even if she fails, I'll comfort her.\I have to do it properly this time!\So, Canary Mom's kids are leaving the nest today.\Be careful! response:	No!
context: I wonder if it'll work out?\It'll be fine.\You think?\Because even if she fails, I'll comfort her.\I have to do it properly this time!\So, Canary Mom's kids are leaving the nest today.\Be careful!\No! response:	Oh, dear, the prince is going to die.
context: It'll be fine.\You think?\Because even if she fails, I'll comfort her.\I have to do it properly this time!\So, Canary Mom's kids are leaving the nest today.\Be careful!\No!\Oh, dear, the prince is going to die. response:	The prince?
context: You think?\Because even if she fails, I'll comfort her.\I have to do it properly this time!\So, Canary Mom's kids are leaving the nest today.\Be careful!\No!\Oh, dear, the prince is going to die.\The prince? response:	The hero is going to die.
context: Because even if she fails, I'll comfort her.\I have to do it properly this time!\So, Canary Mom's kids are leaving the nest today.\Be careful!\No!\Oh, dear, the prince is going to die.\The prince?\The hero is going to die. response:	Die?
context: I have to do it properly this time!\So, Canary Mom's kids are leaving the nest today.\Be careful!\No!\Oh, dear, the prince is going to die.\The prince?\The hero is going to die.\Die? response:	What's going to happen in this story?
context: So, Canary Mom's kids are leaving the nest today.\Be careful!\No!\Oh, dear, the prince is going to die.\The prince?\The hero is going to die.\Die?\What's going to happen in this story? response:	Tell me what happens next.
context: Be careful!\No!\Oh, dear, the prince is going to die.\The prince?\The hero is going to die.\Die?\What's going to happen in this story?\Tell me what happens next. response:	ls the prince going to make it?
context: No!\Oh, dear, the prince is going to die.\The prince?\The hero is going to die.\Die?\What's going to happen in this story?\Tell me what happens next.\ls the prince going to make it? response:	Who's going to save him?
context: Oh, dear, the prince is going to die.\The prince?\The hero is going to die.\Die?\What's going to happen in this story?\Tell me what happens next.\ls the prince going to make it?\Who's going to save him? response:	Who?
context: The prince?\The hero is going to die.\Die?\What's going to happen in this story?\Tell me what happens next.\ls the prince going to make it?\Who's going to save him?\Who? response:	I wonder who?
context: The hero is going to die.\Die?\What's going to happen in this story?\Tell me what happens next.\ls the prince going to make it?\Who's going to save him?\Who?\I wonder who? response:	I'll...
context: Die?\What's going to happen in this story?\Tell me what happens next.\ls the prince going to make it?\Who's going to save him?\Who?\I wonder who?\I'll... response:	Do you care for him?
context: What's going to happen in this story?\Tell me what happens next.\ls the prince going to make it?\Who's going to save him?\Who?\I wonder who?\I'll...\Do you care for him? response:	Quack.
context: Tell me what happens next.\ls the prince going to make it?\Who's going to save him?\Who?\I wonder who?\I'll...\Do you care for him?\Quack. response:	Do you want to be of help to the prince?
context: ls the prince going to make it?\Who's going to save him?\Who?\I wonder who?\I'll...\Do you care for him?\Quack.\Do you want to be of help to the prince? response:	Quack.
context: Who's going to save him?\Who?\I wonder who?\I'll...\Do you care for him?\Quack.\Do you want to be of help to the prince?\Quack. response:	So, you're saying you're going to tell me this story?
context: Who?\I wonder who?\I'll...\Do you care for him?\Quack.\Do you want to be of help to the prince?\Quack.\So, you're saying you're going to tell me this story? response:	Quack.
context: I wonder who?\I'll...\Do you care for him?\Quack.\Do you want to be of help to the prince?\Quack.\So, you're saying you're going to tell me this story?\Quack. response:	Very well, very well.
context: I'll...\Do you care for him?\Quack.\Do you want to be of help to the prince?\Quack.\So, you're saying you're going to tell me this story?\Quack.\Very well, very well. response:	That's right. I'm going to save the prince!
context: Do you care for him?\Quack.\Do you want to be of help to the prince?\Quack.\So, you're saying you're going to tell me this story?\Quack.\Very well, very well.\That's right. I'm going to save the prince! response:	Do you remember now? Who are you?
context: Quack.\Do you want to be of help to the prince?\Quack.\So, you're saying you're going to tell me this story?\Quack.\Very well, very well.\That's right. I'm going to save the prince!\Do you remember now? Who are you? response:	I am Princess Tutu!
context: Do you want to be of help to the prince?\Quack.\So, you're saying you're going to tell me this story?\Quack.\Very well, very well.\That's right. I'm going to save the prince!\Do you remember now? Who are you?\I am Princess Tutu! response:	Flower Waltz!
context: Quack.\So, you're saying you're going to tell me this story?\Quack.\Very well, very well.\That's right. I'm going to save the prince!\Do you remember now? Who are you?\I am Princess Tutu!\Flower Waltz! response:	To think I was able to save you, Mytho. It's like a dream.
context: So, you're saying you're going to tell me this story?\Quack.\Very well, very well.\That's right. I'm going to save the prince!\Do you remember now? Who are you?\I am Princess Tutu!\Flower Waltz!\To think I was able to save you, Mytho. It's like a dream. response:	You know my name...
context: Quack.\Very well, very well.\That's right. I'm going to save the prince!\Do you remember now? Who are you?\I am Princess Tutu!\Flower Waltz!\To think I was able to save you, Mytho. It's like a dream.\You know my name... response:	Who are you?
context: Very well, very well.\That's right. I'm going to save the prince!\Do you remember now? Who are you?\I am Princess Tutu!\Flower Waltz!\To think I was able to save you, Mytho. It's like a dream.\You know my name...\Who are you? response:	I'm...
context: That's right. I'm going to save the prince!\Do you remember now? Who are you?\I am Princess Tutu!\Flower Waltz!\To think I was able to save you, Mytho. It's like a dream.\You know my name...\Who are you?\I'm... response:	Who are you?
context: Do you remember now? Who are you?\I am Princess Tutu!\Flower Waltz!\To think I was able to save you, Mytho. It's like a dream.\You know my name...\Who are you?\I'm...\Who are you? response:	I'm...
context: I am Princess Tutu!\Flower Waltz!\To think I was able to save you, Mytho. It's like a dream.\You know my name...\Who are you?\I'm...\Who are you?\I'm... response:	Do you remember now, Little Duck?
context: Flower Waltz!\To think I was able to save you, Mytho. It's like a dream.\You know my name...\Who are you?\I'm...\Who are you?\I'm...\Do you remember now, Little Duck? response:	That's right, you're a duck. Just a bird called a duck.
context: To think I was able to save you, Mytho. It's like a dream.\You know my name...\Who are you?\I'm...\Who are you?\I'm...\Do you remember now, Little Duck?\That's right, you're a duck. Just a bird called a duck. response:	Quack!
context: You know my name...\Who are you?\I'm...\Who are you?\I'm...\Do you remember now, Little Duck?\That's right, you're a duck. Just a bird called a duck.\Quack! response:	Quack... Quack.
context: Who are you?\I'm...\Who are you?\I'm...\Do you remember now, Little Duck?\That's right, you're a duck. Just a bird called a duck.\Quack!\Quack... Quack. response:	So, I was a duck.
context: I'm...\Who are you?\I'm...\Do you remember now, Little Duck?\That's right, you're a duck. Just a bird called a duck.\Quack!\Quack... Quack.\So, I was a duck. response:	Well, well, Princess Tutu has gone back to being a duck.
context: Who are you?\I'm...\Do you remember now, Little Duck?\That's right, you're a duck. Just a bird called a duck.\Quack!\Quack... Quack.\So, I was a duck.\Well, well, Princess Tutu has gone back to being a duck. response:	Now, the story has just begun. What to do?
context: I'm...\Do you remember now, Little Duck?\That's right, you're a duck. Just a bird called a duck.\Quack!\Quack... Quack.\So, I was a duck.\Well, well, Princess Tutu has gone back to being a duck.\Now, the story has just begun. What to do? response:	Quack...
context: Do you remember now, Little Duck?\That's right, you're a duck. Just a bird called a duck.\Quack!\Quack... Quack.\So, I was a duck.\Well, well, Princess Tutu has gone back to being a duck.\Now, the story has just begun. What to do?\Quack... response:	I'm just a duck. And I thought I was a girl.
context: That's right, you're a duck. Just a bird called a duck.\Quack!\Quack... Quack.\So, I was a duck.\Well, well, Princess Tutu has gone back to being a duck.\Now, the story has just begun. What to do?\Quack...\I'm just a duck. And I thought I was a girl. response:	My, if it isn't Rue-san.
context: Quack!\Quack... Quack.\So, I was a duck.\Well, well, Princess Tutu has gone back to being a duck.\Now, the story has just begun. What to do?\Quack...\I'm just a duck. And I thought I was a girl.\My, if it isn't Rue-san. response:	Mytho is going to be with me, now.
context: Quack... Quack.\So, I was a duck.\Well, well, Princess Tutu has gone back to being a duck.\Now, the story has just begun. What to do?\Quack...\I'm just a duck. And I thought I was a girl.\My, if it isn't Rue-san.\Mytho is going to be with me, now. response:	Anteater?
context: So, I was a duck.\Well, well, Princess Tutu has gone back to being a duck.\Now, the story has just begun. What to do?\Quack...\I'm just a duck. And I thought I was a girl.\My, if it isn't Rue-san.\Mytho is going to be with me, now.\Anteater? response:	Would you dance with me?
context: Well, well, Princess Tutu has gone back to being a duck.\Now, the story has just begun. What to do?\Quack...\I'm just a duck. And I thought I was a girl.\My, if it isn't Rue-san.\Mytho is going to be with me, now.\Anteater?\Would you dance with me? response:	Rue-chan, I'm really terrible at it. So, I'm sure I'll be no good at all...
context: Now, the story has just begun. What to do?\Quack...\I'm just a duck. And I thought I was a girl.\My, if it isn't Rue-san.\Mytho is going to be with me, now.\Anteater?\Would you dance with me?\Rue-chan, I'm really terrible at it. So, I'm sure I'll be no good at all... response:	Don't worry, just follow my lead.
context: Quack...\I'm just a duck. And I thought I was a girl.\My, if it isn't Rue-san.\Mytho is going to be with me, now.\Anteater?\Would you dance with me?\Rue-chan, I'm really terrible at it. So, I'm sure I'll be no good at all...\Don't worry, just follow my lead. response:	I am the feeling of bitter disappointment, shattered and forgotten.
context: I'm just a duck. And I thought I was a girl.\My, if it isn't Rue-san.\Mytho is going to be with me, now.\Anteater?\Would you dance with me?\Rue-chan, I'm really terrible at it. So, I'm sure I'll be no good at all...\Don't worry, just follow my lead.\I am the feeling of bitter disappointment, shattered and forgotten. response:	I've really and truly been able to become Princess Tutu.
context: My, if it isn't Rue-san.\Mytho is going to be with me, now.\Anteater?\Would you dance with me?\Rue-chan, I'm really terrible at it. So, I'm sure I'll be no good at all...\Don't worry, just follow my lead.\I am the feeling of bitter disappointment, shattered and forgotten.\I've really and truly been able to become Princess Tutu. response:	All you children who love stories, come gather around.
context: Mytho is going to be with me, now.\Anteater?\Would you dance with me?\Rue-chan, I'm really terrible at it. So, I'm sure I'll be no good at all...\Don't worry, just follow my lead.\I am the feeling of bitter disappointment, shattered and forgotten.\I've really and truly been able to become Princess Tutu.\All you children who love stories, come gather around. response:	'Heart Shard'
context: Anteater?\Would you dance with me?\Rue-chan, I'm really terrible at it. So, I'm sure I'll be no good at all...\Don't worry, just follow my lead.\I am the feeling of bitter disappointment, shattered and forgotten.\I've really and truly been able to become Princess Tutu.\All you children who love stories, come gather around.\'Heart Shard' response:	The voice calling, come now, wake up
context: Would you dance with me?\Rue-chan, I'm really terrible at it. So, I'm sure I'll be no good at all...\Don't worry, just follow my lead.\I am the feeling of bitter disappointment, shattered and forgotten.\I've really and truly been able to become Princess Tutu.\All you children who love stories, come gather around.\'Heart Shard'\The voice calling, come now, wake up response:	Wiping a tearstained face
context: Rue-chan, I'm really terrible at it. So, I'm sure I'll be no good at all...\Don't worry, just follow my lead.\I am the feeling of bitter disappointment, shattered and forgotten.\I've really and truly been able to become Princess Tutu.\All you children who love stories, come gather around.\'Heart Shard'\The voice calling, come now, wake up\Wiping a tearstained face response:	The brilliant light and the dew on trees are born
context: Don't worry, just follow my lead.\I am the feeling of bitter disappointment, shattered and forgotten.\I've really and truly been able to become Princess Tutu.\All you children who love stories, come gather around.\'Heart Shard'\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born response:	By the secret water's edge that no one knows of
context: I am the feeling of bitter disappointment, shattered and forgotten.\I've really and truly been able to become Princess Tutu.\All you children who love stories, come gather around.\'Heart Shard'\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of response:	Dance the pas de deux of life
context: I've really and truly been able to become Princess Tutu.\All you children who love stories, come gather around.\'Heart Shard'\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life response:	Dreaming again today
context: All you children who love stories, come gather around.\'Heart Shard'\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today response:	It is a gentle, yet fierce current
context: 'Heart Shard'\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current response:	How far does the labyrinth stretch?
context: The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch? response:	I shall go
context: Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go response:	The dream I hold tight
context: The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight response:	I loved like I was dreaming
context: By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming response:	It swells... My heart swells
context: Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells response:	I thought how wonderful it was to be alive
context: Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive response:	I can't wait for tomorrow
context: It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow response:	I want to be there for you
context: How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you response:	At all times
context: I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times response:	Wait, it won't wait
context: The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait response:	Running, running along
context: I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along response:	Passing by even the wind and the rain clouds
context: It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along\Passing by even the wind and the rain clouds response:	Just beating my own wings
