context: There's nothing in there. Both pockets are empty. response:	Other than this piece of paper...
context: Which picture is the old man in the photo trying to get rid of?\Burn them, okay? Burn them.\It's no use...\Right now, there aren't enough clues.\So let's burn the pictures, okay?\Shut up! You're annoying!\Damn it! I have to let them know...\I have to let someone know about this thing. response:	Mis
context: Burn them, okay? Burn them.\It's no use...\Right now, there aren't enough clues.\So let's burn the pictures, okay?\Shut up! You're annoying!\Damn it! I have to let them know...\I have to let someone know about this thing.\Mis response:	Miste
context: It's no use...\Right now, there aren't enough clues.\So let's burn the pictures, okay?\Shut up! You're annoying!\Damn it! I have to let them know...\I have to let someone know about this thing.\Mis\Miste response:	Misterio
context: Right now, there aren't enough clues.\So let's burn the pictures, okay?\Shut up! You're annoying!\Damn it! I have to let them know...\I have to let someone know about this thing.\Mis\Miste\Misterio response:	Misterioso
context: So let's burn the pictures, okay?\Shut up! You're annoying!\Damn it! I have to let them know...\I have to let someone know about this thing.\Mis\Miste\Misterio\Misterioso response:	Teru
context: Shut up! You're annoying!\Damn it! I have to let them know...\I have to let someone know about this thing.\Mis\Miste\Misterio\Misterioso\Teru response:	Terunosu
context: Damn it! I have to let them know...\I have to let someone know about this thing.\Mis\Miste\Misterio\Misterioso\Teru\Terunosu response:	Terunosuke
context: I have to let someone know about this thing.\Mis\Miste\Misterio\Misterioso\Teru\Terunosu\Terunosuke response:	Terunosuke Miya
context: Mis\Miste\Misterio\Misterioso\Teru\Terunosu\Terunosuke\Terunosuke Miya response:	Terunosuke Miyamoto
context: Miste\Misterio\Misterioso\Teru\Terunosu\Terunosuke\Terunosuke Miya\Terunosuke Miyamoto response:	July 15th (Thurs) 1:20 PM
context: Misterio\Misterioso\Teru\Terunosu\Terunosuke\Terunosuke Miya\Terunosuke Miyamoto\July 15th (Thurs) 1:20 PM response:	Er, that was Morioh Grand Hotel, right?
context: Misterioso\Teru\Terunosu\Terunosuke\Terunosuke Miya\Terunosuke Miyamoto\July 15th (Thurs) 1:20 PM\Er, that was Morioh Grand Hotel, right? response:	Yeah, that's right.
context: Teru\Terunosu\Terunosuke\Terunosuke Miya\Terunosuke Miyamoto\July 15th (Thurs) 1:20 PM\Er, that was Morioh Grand Hotel, right?\Yeah, that's right. response:	Are you spending the night?
context: Terunosu\Terunosuke\Terunosuke Miya\Terunosuke Miyamoto\July 15th (Thurs) 1:20 PM\Er, that was Morioh Grand Hotel, right?\Yeah, that's right.\Are you spending the night? response:	No, there's a lot there, so...
context: Terunosuke\Terunosuke Miya\Terunosuke Miyamoto\July 15th (Thurs) 1:20 PM\Er, that was Morioh Grand Hotel, right?\Yeah, that's right.\Are you spending the night?\No, there's a lot there, so... response:	A lot there, indeed...
context: Terunosuke Miya\Terunosuke Miyamoto\July 15th (Thurs) 1:20 PM\Er, that was Morioh Grand Hotel, right?\Yeah, that's right.\Are you spending the night?\No, there's a lot there, so...\A lot there, indeed... response:	No...
context: Terunosuke Miyamoto\July 15th (Thurs) 1:20 PM\Er, that was Morioh Grand Hotel, right?\Yeah, that's right.\Are you spending the night?\No, there's a lot there, so...\A lot there, indeed...\No... response:	You won't be going to Morioh Grand Hotel.
context: July 15th (Thurs) 1:20 PM\Er, that was Morioh Grand Hotel, right?\Yeah, that's right.\Are you spending the night?\No, there's a lot there, so...\A lot there, indeed...\No...\You won't be going to Morioh Grand Hotel. response:	Josuke, you bastard! Trying to play it cool...
context: Er, that was Morioh Grand Hotel, right?\Yeah, that's right.\Are you spending the night?\No, there's a lot there, so...\A lot there, indeed...\No...\You won't be going to Morioh Grand Hotel.\Josuke, you bastard! Trying to play it cool... response:	If, just if, as stupid as this is, if the one turned into paper
context: Yeah, that's right.\Are you spending the night?\No, there's a lot there, so...\A lot there, indeed...\No...\You won't be going to Morioh Grand Hotel.\Josuke, you bastard! Trying to play it cool...\If, just if, as stupid as this is, if the one turned into paper response:	was one of my girls who makes me smile every day...
context: Are you spending the night?\No, there's a lot there, so...\A lot there, indeed...\No...\You won't be going to Morioh Grand Hotel.\Josuke, you bastard! Trying to play it cool...\If, just if, as stupid as this is, if the one turned into paper\was one of my girls who makes me smile every day... response:	If it was any one of my girls,
context: No, there's a lot there, so...\A lot there, indeed...\No...\You won't be going to Morioh Grand Hotel.\Josuke, you bastard! Trying to play it cool...\If, just if, as stupid as this is, if the one turned into paper\was one of my girls who makes me smile every day...\If it was any one of my girls, response:	I would have done the same thing!
context: A lot there, indeed...\No...\You won't be going to Morioh Grand Hotel.\Josuke, you bastard! Trying to play it cool...\If, just if, as stupid as this is, if the one turned into paper\was one of my girls who makes me smile every day...\If it was any one of my girls,\I would have done the same thing! response:	Letting you or Yoshikage Kira live in this town would be totally uncool.
context: No...\You won't be going to Morioh Grand Hotel.\Josuke, you bastard! Trying to play it cool...\If, just if, as stupid as this is, if the one turned into paper\was one of my girls who makes me smile every day...\If it was any one of my girls,\I would have done the same thing!\Letting you or Yoshikage Kira live in this town would be totally uncool. response:	Hand over Koichi!
context: You won't be going to Morioh Grand Hotel.\Josuke, you bastard! Trying to play it cool...\If, just if, as stupid as this is, if the one turned into paper\was one of my girls who makes me smile every day...\If it was any one of my girls,\I would have done the same thing!\Letting you or Yoshikage Kira live in this town would be totally uncool.\Hand over Koichi! response:	What you're doing right now isn't the smart thing to do.
context: Josuke, you bastard! Trying to play it cool...\If, just if, as stupid as this is, if the one turned into paper\was one of my girls who makes me smile every day...\If it was any one of my girls,\I would have done the same thing!\Letting you or Yoshikage Kira live in this town would be totally uncool.\Hand over Koichi!\What you're doing right now isn't the smart thing to do. response:	So you're saying that you want to fight me?
context: If, just if, as stupid as this is, if the one turned into paper\was one of my girls who makes me smile every day...\If it was any one of my girls,\I would have done the same thing!\Letting you or Yoshikage Kira live in this town would be totally uncool.\Hand over Koichi!\What you're doing right now isn't the smart thing to do.\So you're saying that you want to fight me? response:	You're saying that you're going to make Kira's dad your enemy?
context: was one of my girls who makes me smile every day...\If it was any one of my girls,\I would have done the same thing!\Letting you or Yoshikage Kira live in this town would be totally uncool.\Hand over Koichi!\What you're doing right now isn't the smart thing to do.\So you're saying that you want to fight me?\You're saying that you're going to make Kira's dad your enemy? response:	Very well!
context: If it was any one of my girls,\I would have done the same thing!\Letting you or Yoshikage Kira live in this town would be totally uncool.\Hand over Koichi!\What you're doing right now isn't the smart thing to do.\So you're saying that you want to fight me?\You're saying that you're going to make Kira's dad your enemy?\Very well! response:	63, 64, 65 kilometers...
context: I would have done the same thing!\Letting you or Yoshikage Kira live in this town would be totally uncool.\Hand over Koichi!\What you're doing right now isn't the smart thing to do.\So you're saying that you want to fight me?\You're saying that you're going to make Kira's dad your enemy?\Very well!\63, 64, 65 kilometers... response:	Though it lacks power, my Highway Go Go will never stop its pursuit.
context: Letting you or Yoshikage Kira live in this town would be totally uncool.\Hand over Koichi!\What you're doing right now isn't the smart thing to do.\So you're saying that you want to fight me?\You're saying that you're going to make Kira's dad your enemy?\Very well!\63, 64, 65 kilometers...\Though it lacks power, my Highway Go Go will never stop its pursuit. response:	The taxi stopped...
context: Hand over Koichi!\What you're doing right now isn't the smart thing to do.\So you're saying that you want to fight me?\You're saying that you're going to make Kira's dad your enemy?\Very well!\63, 64, 65 kilometers...\Though it lacks power, my Highway Go Go will never stop its pursuit.\The taxi stopped... response:	Even though it's not at the hotel yet.
context: What you're doing right now isn't the smart thing to do.\So you're saying that you want to fight me?\You're saying that you're going to make Kira's dad your enemy?\Very well!\63, 64, 65 kilometers...\Though it lacks power, my Highway Go Go will never stop its pursuit.\The taxi stopped...\Even though it's not at the hotel yet. response:	No one's gotten out of the taxi yet.
context: So you're saying that you want to fight me?\You're saying that you're going to make Kira's dad your enemy?\Very well!\63, 64, 65 kilometers...\Though it lacks power, my Highway Go Go will never stop its pursuit.\The taxi stopped...\Even though it's not at the hotel yet.\No one's gotten out of the taxi yet. response:	His scent is emanating strongly from the car...
context: You're saying that you're going to make Kira's dad your enemy?\Very well!\63, 64, 65 kilometers...\Though it lacks power, my Highway Go Go will never stop its pursuit.\The taxi stopped...\Even though it's not at the hotel yet.\No one's gotten out of the taxi yet.\His scent is emanating strongly from the car... response:	But where is he? Where is he hiding?
context: Very well!\63, 64, 65 kilometers...\Though it lacks power, my Highway Go Go will never stop its pursuit.\The taxi stopped...\Even though it's not at the hotel yet.\No one's gotten out of the taxi yet.\His scent is emanating strongly from the car...\But where is he? Where is he hiding? response:	The scent of this paper...
context: 63, 64, 65 kilometers...\Though it lacks power, my Highway Go Go will never stop its pursuit.\The taxi stopped...\Even though it's not at the hotel yet.\No one's gotten out of the taxi yet.\His scent is emanating strongly from the car...\But where is he? Where is he hiding?\The scent of this paper... response:	There's no doubt about it!
context: Though it lacks power, my Highway Go Go will never stop its pursuit.\The taxi stopped...\Even though it's not at the hotel yet.\No one's gotten out of the taxi yet.\His scent is emanating strongly from the car...\But where is he? Where is he hiding?\The scent of this paper...\There's no doubt about it! response:	This paper smells like Koichi and Josuke!
context: The taxi stopped...\Even though it's not at the hotel yet.\No one's gotten out of the taxi yet.\His scent is emanating strongly from the car...\But where is he? Where is he hiding?\The scent of this paper...\There's no doubt about it!\This paper smells like Koichi and Josuke! response:	Wait, Highway Go Go! Don't open the door just yet.
context: Even though it's not at the hotel yet.\No one's gotten out of the taxi yet.\His scent is emanating strongly from the car...\But where is he? Where is he hiding?\The scent of this paper...\There's no doubt about it!\This paper smells like Koichi and Josuke!\Wait, Highway Go Go! Don't open the door just yet. response:	That bastard is underestimating me.
context: No one's gotten out of the taxi yet.\His scent is emanating strongly from the car...\But where is he? Where is he hiding?\The scent of this paper...\There's no doubt about it!\This paper smells like Koichi and Josuke!\Wait, Highway Go Go! Don't open the door just yet.\That bastard is underestimating me. response:	This must be another trap.
context: His scent is emanating strongly from the car...\But where is he? Where is he hiding?\The scent of this paper...\There's no doubt about it!\This paper smells like Koichi and Josuke!\Wait, Highway Go Go! Don't open the door just yet.\That bastard is underestimating me.\This must be another trap. response:	So he's trying to lure me in, huh?
context: But where is he? Where is he hiding?\The scent of this paper...\There's no doubt about it!\This paper smells like Koichi and Josuke!\Wait, Highway Go Go! Don't open the door just yet.\That bastard is underestimating me.\This must be another trap.\So he's trying to lure me in, huh? response:	Very well, I accept!
context: The scent of this paper...\There's no doubt about it!\This paper smells like Koichi and Josuke!\Wait, Highway Go Go! Don't open the door just yet.\That bastard is underestimating me.\This must be another trap.\So he's trying to lure me in, huh?\Very well, I accept! response:	I said I would do it!
context: There's no doubt about it!\This paper smells like Koichi and Josuke!\Wait, Highway Go Go! Don't open the door just yet.\That bastard is underestimating me.\This must be another trap.\So he's trying to lure me in, huh?\Very well, I accept!\I said I would do it! response:	He's after my fear.
context: This paper smells like Koichi and Josuke!\Wait, Highway Go Go! Don't open the door just yet.\That bastard is underestimating me.\This must be another trap.\So he's trying to lure me in, huh?\Very well, I accept!\I said I would do it!\He's after my fear. response:	How is he going to try to scare me?
context: Wait, Highway Go Go! Don't open the door just yet.\That bastard is underestimating me.\This must be another trap.\So he's trying to lure me in, huh?\Very well, I accept!\I said I would do it!\He's after my fear.\How is he going to try to scare me? response:	I need to find that out.
context: That bastard is underestimating me.\This must be another trap.\So he's trying to lure me in, huh?\Very well, I accept!\I said I would do it!\He's after my fear.\How is he going to try to scare me?\I need to find that out. response:	What? What is this piece of paper stuck in the door?
context: This must be another trap.\So he's trying to lure me in, huh?\Very well, I accept!\I said I would do it!\He's after my fear.\How is he going to try to scare me?\I need to find that out.\What? What is this piece of paper stuck in the door? response:	Underestimating me again. This scent...
context: So he's trying to lure me in, huh?\Very well, I accept!\I said I would do it!\He's after my fear.\How is he going to try to scare me?\I need to find that out.\What? What is this piece of paper stuck in the door?\Underestimating me again. This scent... response:	This piece of paper is the trap.
context: Very well, I accept!\I said I would do it!\He's after my fear.\How is he going to try to scare me?\I need to find that out.\What? What is this piece of paper stuck in the door?\Underestimating me again. This scent...\This piece of paper is the trap. response:	I figured out what kind of trap it is.
context: I said I would do it!\He's after my fear.\How is he going to try to scare me?\I need to find that out.\What? What is this piece of paper stuck in the door?\Underestimating me again. This scent...\This piece of paper is the trap.\I figured out what kind of trap it is. response:	Open the door, Highway Go Go.
context: He's after my fear.\How is he going to try to scare me?\I need to find that out.\What? What is this piece of paper stuck in the door?\Underestimating me again. This scent...\This piece of paper is the trap.\I figured out what kind of trap it is.\Open the door, Highway Go Go. response:	Foom
context: How is he going to try to scare me?\I need to find that out.\What? What is this piece of paper stuck in the door?\Underestimating me again. This scent...\This piece of paper is the trap.\I figured out what kind of trap it is.\Open the door, Highway Go Go.\Foom response:	To think he can turn flames into paper, too...
context: I need to find that out.\What? What is this piece of paper stuck in the door?\Underestimating me again. This scent...\This piece of paper is the trap.\I figured out what kind of trap it is.\Open the door, Highway Go Go.\Foom\To think he can turn flames into paper, too... response:	But I saw through the trap!
context: What? What is this piece of paper stuck in the door?\Underestimating me again. This scent...\This piece of paper is the trap.\I figured out what kind of trap it is.\Open the door, Highway Go Go.\Foom\To think he can turn flames into paper, too...\But I saw through the trap! response:	Josuke, Koichi, I'll save the two of you!
context: Underestimating me again. This scent...\This piece of paper is the trap.\I figured out what kind of trap it is.\Open the door, Highway Go Go.\Foom\To think he can turn flames into paper, too...\But I saw through the trap!\Josuke, Koichi, I'll save the two of you! response:	But I smell something other than Josuke and Koichi...
context: This piece of paper is the trap.\I figured out what kind of trap it is.\Open the door, Highway Go Go.\Foom\To think he can turn flames into paper, too...\But I saw through the trap!\Josuke, Koichi, I'll save the two of you!\But I smell something other than Josuke and Koichi... response:	This looks dangerous to just go ahead and open.
context: I figured out what kind of trap it is.\Open the door, Highway Go Go.\Foom\To think he can turn flames into paper, too...\But I saw through the trap!\Josuke, Koichi, I'll save the two of you!\But I smell something other than Josuke and Koichi...\This looks dangerous to just go ahead and open. response:	What is this?
context: Open the door, Highway Go Go.\Foom\To think he can turn flames into paper, too...\But I saw through the trap!\Josuke, Koichi, I'll save the two of you!\But I smell something other than Josuke and Koichi...\This looks dangerous to just go ahead and open.\What is this? response:	A scent I've never smelled before is moving around.
context: Foom\To think he can turn flames into paper, too...\But I saw through the trap!\Josuke, Koichi, I'll save the two of you!\But I smell something other than Josuke and Koichi...\This looks dangerous to just go ahead and open.\What is this?\A scent I've never smelled before is moving around. response:	It's faint, but it's moving inside the paper...
context: To think he can turn flames into paper, too...\But I saw through the trap!\Josuke, Koichi, I'll save the two of you!\But I smell something other than Josuke and Koichi...\This looks dangerous to just go ahead and open.\What is this?\A scent I've never smelled before is moving around.\It's faint, but it's moving inside the paper... response:	What?!
context: But I saw through the trap!\Josuke, Koichi, I'll save the two of you!\But I smell something other than Josuke and Koichi...\This looks dangerous to just go ahead and open.\What is this?\A scent I've never smelled before is moving around.\It's faint, but it's moving inside the paper...\What?! response:	Crap! Highway Go Go!
context: Josuke, Koichi, I'll save the two of you!\But I smell something other than Josuke and Koichi...\This looks dangerous to just go ahead and open.\What is this?\A scent I've never smelled before is moving around.\It's faint, but it's moving inside the paper...\What?!\Crap! Highway Go Go! response:	Wh-What is this liquid?
context: But I smell something other than Josuke and Koichi...\This looks dangerous to just go ahead and open.\What is this?\A scent I've never smelled before is moving around.\It's faint, but it's moving inside the paper...\What?!\Crap! Highway Go Go!\Wh-What is this liquid? response:	I-Is it some kind of chemical?
context: This looks dangerous to just go ahead and open.\What is this?\A scent I've never smelled before is moving around.\It's faint, but it's moving inside the paper...\What?!\Crap! Highway Go Go!\Wh-What is this liquid?\I-Is it some kind of chemical? response:	Damn it, it's one thing after another...
context: What is this?\A scent I've never smelled before is moving around.\It's faint, but it's moving inside the paper...\What?!\Crap! Highway Go Go!\Wh-What is this liquid?\I-Is it some kind of chemical?\Damn it, it's one thing after another... response:	W-Wait...
context: A scent I've never smelled before is moving around.\It's faint, but it's moving inside the paper...\What?!\Crap! Highway Go Go!\Wh-What is this liquid?\I-Is it some kind of chemical?\Damn it, it's one thing after another...\W-Wait... response:	I smell iron from inside there.
context: It's faint, but it's moving inside the paper...\What?!\Crap! Highway Go Go!\Wh-What is this liquid?\I-Is it some kind of chemical?\Damn it, it's one thing after another...\W-Wait...\I smell iron from inside there. response:	C-Calm down. What he's after is my fear.
context: What?!\Crap! Highway Go Go!\Wh-What is this liquid?\I-Is it some kind of chemical?\Damn it, it's one thing after another...\W-Wait...\I smell iron from inside there.\C-Calm down. What he's after is my fear. response:	If he manages to scare me, he wins.
context: Crap! Highway Go Go!\Wh-What is this liquid?\I-Is it some kind of chemical?\Damn it, it's one thing after another...\W-Wait...\I smell iron from inside there.\C-Calm down. What he's after is my fear.\If he manages to scare me, he wins. response:	Iron...
context: Wh-What is this liquid?\I-Is it some kind of chemical?\Damn it, it's one thing after another...\W-Wait...\I smell iron from inside there.\C-Calm down. What he's after is my fear.\If he manages to scare me, he wins.\Iron... response:	What is it? A machine?
context: I-Is it some kind of chemical?\Damn it, it's one thing after another...\W-Wait...\I smell iron from inside there.\C-Calm down. What he's after is my fear.\If he manages to scare me, he wins.\Iron...\What is it? A machine? response:	Damn it!
context: Damn it, it's one thing after another...\W-Wait...\I smell iron from inside there.\C-Calm down. What he's after is my fear.\If he manages to scare me, he wins.\Iron...\What is it? A machine?\Damn it! response:	I have no choice but to open it!
context: W-Wait...\I smell iron from inside there.\C-Calm down. What he's after is my fear.\If he manages to scare me, he wins.\Iron...\What is it? A machine?\Damn it!\I have no choice but to open it! response:	Josuke! Koichi!
context: I smell iron from inside there.\C-Calm down. What he's after is my fear.\If he manages to scare me, he wins.\Iron...\What is it? A machine?\Damn it!\I have no choice but to open it!\Josuke! Koichi! response:	Koichi Hirose
context: C-Calm down. What he's after is my fear.\If he manages to scare me, he wins.\Iron...\What is it? A machine?\Damn it!\I have no choice but to open it!\Josuke! Koichi!\Koichi Hirose response:	Josuke Higashikata
context: If he manages to scare me, he wins.\Iron...\What is it? A machine?\Damn it!\I have no choice but to open it!\Josuke! Koichi!\Koichi Hirose\Josuke Higashikata response:	Th-That's an electrical current.
context: Iron...\What is it? A machine?\Damn it!\I have no choice but to open it!\Josuke! Koichi!\Koichi Hirose\Josuke Higashikata\Th-That's an electrical current. response:	He's even got electricity inside the paper!
context: What is it? A machine?\Damn it!\I have no choice but to open it!\Josuke! Koichi!\Koichi Hirose\Josuke Higashikata\Th-That's an electrical current.\He's even got electricity inside the paper! response:	The smell of machinery that I could smell from this paper was...
context: Damn it!\I have no choice but to open it!\Josuke! Koichi!\Koichi Hirose\Josuke Higashikata\Th-That's an electrical current.\He's even got electricity inside the paper!\The smell of machinery that I could smell from this paper was... response:	A shredder!
context: I have no choice but to open it!\Josuke! Koichi!\Koichi Hirose\Josuke Higashikata\Th-That's an electrical current.\He's even got electricity inside the paper!\The smell of machinery that I could smell from this paper was...\A shredder! response:	It won't turn off!
context: Josuke! Koichi!\Koichi Hirose\Josuke Higashikata\Th-That's an electrical current.\He's even got electricity inside the paper!\The smell of machinery that I could smell from this paper was...\A shredder!\It won't turn off! response:	Josuke and Koichi are getting sucked in!
context: Koichi Hirose\Josuke Higashikata\Th-That's an electrical current.\He's even got electricity inside the paper!\The smell of machinery that I could smell from this paper was...\A shredder!\It won't turn off!\Josuke and Koichi are getting sucked in! response:	Damn it! Highway Go Go!
context: Josuke Higashikata\Th-That's an electrical current.\He's even got electricity inside the paper!\The smell of machinery that I could smell from this paper was...\A shredder!\It won't turn off!\Josuke and Koichi are getting sucked in!\Damn it! Highway Go Go! response:	I-It's no use.
context: Th-That's an electrical current.\He's even got electricity inside the paper!\The smell of machinery that I could smell from this paper was...\A shredder!\It won't turn off!\Josuke and Koichi are getting sucked in!\Damn it! Highway Go Go!\I-It's no use. response:	Highway Go Go's powers can't destroy this thing to stop it!
context: He's even got electricity inside the paper!\The smell of machinery that I could smell from this paper was...\A shredder!\It won't turn off!\Josuke and Koichi are getting sucked in!\Damn it! Highway Go Go!\I-It's no use.\Highway Go Go's powers can't destroy this thing to stop it! response:	Josuke! Koichi!
context: The smell of machinery that I could smell from this paper was...\A shredder!\It won't turn off!\Josuke and Koichi are getting sucked in!\Damn it! Highway Go Go!\I-It's no use.\Highway Go Go's powers can't destroy this thing to stop it!\Josuke! Koichi! response:	You finally touched it, Yuya Fungami.
context: A shredder!\It won't turn off!\Josuke and Koichi are getting sucked in!\Damn it! Highway Go Go!\I-It's no use.\Highway Go Go's powers can't destroy this thing to stop it!\Josuke! Koichi!\You finally touched it, Yuya Fungami. response:	You finally got scared and touched your chin...
context: It won't turn off!\Josuke and Koichi are getting sucked in!\Damn it! Highway Go Go!\I-It's no use.\Highway Go Go's powers can't destroy this thing to stop it!\Josuke! Koichi!\You finally touched it, Yuya Fungami.\You finally got scared and touched your chin... response:	You look pathetic.
context: Josuke and Koichi are getting sucked in!\Damn it! Highway Go Go!\I-It's no use.\Highway Go Go's powers can't destroy this thing to stop it!\Josuke! Koichi!\You finally touched it, Yuya Fungami.\You finally got scared and touched your chin...\You look pathetic. response:	It was so easy to scare you, Yuya Fungami!
context: Damn it! Highway Go Go!\I-It's no use.\Highway Go Go's powers can't destroy this thing to stop it!\Josuke! Koichi!\You finally touched it, Yuya Fungami.\You finally got scared and touched your chin...\You look pathetic.\It was so easy to scare you, Yuya Fungami! response:	There's no one that Misterioso can't turn into paper!
context: I-It's no use.\Highway Go Go's powers can't destroy this thing to stop it!\Josuke! Koichi!\You finally touched it, Yuya Fungami.\You finally got scared and touched your chin...\You look pathetic.\It was so easy to scare you, Yuya Fungami!\There's no one that Misterioso can't turn into paper! response:	No matter who it is, it can do it easily!
context: Highway Go Go's powers can't destroy this thing to stop it!\Josuke! Koichi!\You finally touched it, Yuya Fungami.\You finally got scared and touched your chin...\You look pathetic.\It was so easy to scare you, Yuya Fungami!\There's no one that Misterioso can't turn into paper!\No matter who it is, it can do it easily! response:	Easy? That's why it's so great!
context: Josuke! Koichi!\You finally touched it, Yuya Fungami.\You finally got scared and touched your chin...\You look pathetic.\It was so easy to scare you, Yuya Fungami!\There's no one that Misterioso can't turn into paper!\No matter who it is, it can do it easily!\Easy? That's why it's so great! response:	It turns anyone into paper instantly...
context: You finally touched it, Yuya Fungami.\You finally got scared and touched your chin...\You look pathetic.\It was so easy to scare you, Yuya Fungami!\There's no one that Misterioso can't turn into paper!\No matter who it is, it can do it easily!\Easy? That's why it's so great!\It turns anyone into paper instantly... response:	That's why it's great!
context: You finally got scared and touched your chin...\You look pathetic.\It was so easy to scare you, Yuya Fungami!\There's no one that Misterioso can't turn into paper!\No matter who it is, it can do it easily!\Easy? That's why it's so great!\It turns anyone into paper instantly...\That's why it's great! response:	I lost. You really freaked me out.
context: You look pathetic.\It was so easy to scare you, Yuya Fungami!\There's no one that Misterioso can't turn into paper!\No matter who it is, it can do it easily!\Easy? That's why it's so great!\It turns anyone into paper instantly...\That's why it's great!\I lost. You really freaked me out. response:	But I'll gladly declare my defeat.
context: It was so easy to scare you, Yuya Fungami!\There's no one that Misterioso can't turn into paper!\No matter who it is, it can do it easily!\Easy? That's why it's so great!\It turns anyone into paper instantly...\That's why it's great!\I lost. You really freaked me out.\But I'll gladly declare my defeat. response:	Because, now that I'm a thin piece of paper,
context: There's no one that Misterioso can't turn into paper!\No matter who it is, it can do it easily!\Easy? That's why it's so great!\It turns anyone into paper instantly...\That's why it's great!\I lost. You really freaked me out.\But I'll gladly declare my defeat.\Because, now that I'm a thin piece of paper, response:	I can stick my hand inside the shredder!
context: No matter who it is, it can do it easily!\Easy? That's why it's so great!\It turns anyone into paper instantly...\That's why it's great!\I lost. You really freaked me out.\But I'll gladly declare my defeat.\Because, now that I'm a thin piece of paper,\I can stick my hand inside the shredder! response:	What did you just pull out?!
context: Easy? That's why it's so great!\It turns anyone into paper instantly...\That's why it's great!\I lost. You really freaked me out.\But I'll gladly declare my defeat.\Because, now that I'm a thin piece of paper,\I can stick my hand inside the shredder!\What did you just pull out?! response:	Don't you dare open up that piece of paper!
context: It turns anyone into paper instantly...\That's why it's great!\I lost. You really freaked me out.\But I'll gladly declare my defeat.\Because, now that I'm a thin piece of paper,\I can stick my hand inside the shredder!\What did you just pull out?!\Don't you dare open up that piece of paper! response:	I'll gladly turn into a piece of paper.
context: That's why it's great!\I lost. You really freaked me out.\But I'll gladly declare my defeat.\Because, now that I'm a thin piece of paper,\I can stick my hand inside the shredder!\What did you just pull out?!\Don't you dare open up that piece of paper!\I'll gladly turn into a piece of paper. response:	Josuke Higashikata
context: I lost. You really freaked me out.\But I'll gladly declare my defeat.\Because, now that I'm a thin piece of paper,\I can stick my hand inside the shredder!\What did you just pull out?!\Don't you dare open up that piece of paper!\I'll gladly turn into a piece of paper.\Josuke Higashikata response:	Koichi Hirose
context: But I'll gladly declare my defeat.\Because, now that I'm a thin piece of paper,\I can stick my hand inside the shredder!\What did you just pull out?!\Don't you dare open up that piece of paper!\I'll gladly turn into a piece of paper.\Josuke Higashikata\Koichi Hirose response:	Yuya Fungami... You're...
context: Because, now that I'm a thin piece of paper,\I can stick my hand inside the shredder!\What did you just pull out?!\Don't you dare open up that piece of paper!\I'll gladly turn into a piece of paper.\Josuke Higashikata\Koichi Hirose\Yuya Fungami... You're... response:	actually sorta cool, after all.
context: I can stick my hand inside the shredder!\What did you just pull out?!\Don't you dare open up that piece of paper!\I'll gladly turn into a piece of paper.\Josuke Higashikata\Koichi Hirose\Yuya Fungami... You're...\actually sorta cool, after all. response:	Josuke Higashikata... Koichi Hirose...
context: What did you just pull out?!\Don't you dare open up that piece of paper!\I'll gladly turn into a piece of paper.\Josuke Higashikata\Koichi Hirose\Yuya Fungami... You're...\actually sorta cool, after all.\Josuke Higashikata... Koichi Hirose... response:	S-Stay back, Josuke! Look at this paper!
context: Don't you dare open up that piece of paper!\I'll gladly turn into a piece of paper.\Josuke Higashikata\Koichi Hirose\Yuya Fungami... You're...\actually sorta cool, after all.\Josuke Higashikata... Koichi Hirose...\S-Stay back, Josuke! Look at this paper! response:	I-I'll rip it!
context: I'll gladly turn into a piece of paper.\Josuke Higashikata\Koichi Hirose\Yuya Fungami... You're...\actually sorta cool, after all.\Josuke Higashikata... Koichi Hirose...\S-Stay back, Josuke! Look at this paper!\I-I'll rip it! response:	Yuya Fungami is in this piece of paper!
context: Josuke Higashikata\Koichi Hirose\Yuya Fungami... You're...\actually sorta cool, after all.\Josuke Higashikata... Koichi Hirose...\S-Stay back, Josuke! Look at this paper!\I-I'll rip it!\Yuya Fungami is in this piece of paper! response:	Act 3! 3 Freeze!
context: Koichi Hirose\Yuya Fungami... You're...\actually sorta cool, after all.\Josuke Higashikata... Koichi Hirose...\S-Stay back, Josuke! Look at this paper!\I-I'll rip it!\Yuya Fungami is in this piece of paper!\Act 3! 3 Freeze! response:	S-So heavy...
context: Yuya Fungami... You're...\actually sorta cool, after all.\Josuke Higashikata... Koichi Hirose...\S-Stay back, Josuke! Look at this paper!\I-I'll rip it!\Yuya Fungami is in this piece of paper!\Act 3! 3 Freeze!\S-So heavy... response:	Let's see, what was it?
context: actually sorta cool, after all.\Josuke Higashikata... Koichi Hirose...\S-Stay back, Josuke! Look at this paper!\I-I'll rip it!\Yuya Fungami is in this piece of paper!\Act 3! 3 Freeze!\S-So heavy...\Let's see, what was it? response:	There was something that I was supposed to remember about you...
context: Josuke Higashikata... Koichi Hirose...\S-Stay back, Josuke! Look at this paper!\I-I'll rip it!\Yuya Fungami is in this piece of paper!\Act 3! 3 Freeze!\S-So heavy...\Let's see, what was it?\There was something that I was supposed to remember about you... response:	Oh, that's right. I remember.
context: S-Stay back, Josuke! Look at this paper!\I-I'll rip it!\Yuya Fungami is in this piece of paper!\Act 3! 3 Freeze!\S-So heavy...\Let's see, what was it?\There was something that I was supposed to remember about you...\Oh, that's right. I remember. response:	I said that I would kill you.
