context: During the battle surrounding Nirvana with Oracion Seis, Erza fell. response:	And then we lost Lyon...
context: Oh? Still alive?\I'm not a nice guy.\So if Nirvana fully activates, we'll all become bad guys?\But in that case, wouldn't the people from the Dark Guilds turn into good guys?\I suppose that is possible.\But the truly fearsome power of Nirvana lies in the ability to control it that way.\For example, if you used Nirvana against a guild...\The allies could kill each other without hesitation. response:	They could go to war with other guilds for no reason.
context: I'm not a nice guy.\So if Nirvana fully activates, we'll all become bad guys?\But in that case, wouldn't the people from the Dark Guilds turn into good guys?\I suppose that is possible.\But the truly fearsome power of Nirvana lies in the ability to control it that way.\For example, if you used Nirvana against a guild...\The allies could kill each other without hesitation.\They could go to war with other guilds for no reason. response:	Starting things like that would be child's play.
context: So if Nirvana fully activates, we'll all become bad guys?\But in that case, wouldn't the people from the Dark Guilds turn into good guys?\I suppose that is possible.\But the truly fearsome power of Nirvana lies in the ability to control it that way.\For example, if you used Nirvana against a guild...\The allies could kill each other without hesitation.\They could go to war with other guilds for no reason.\Starting things like that would be child's play. response:	Oh, no!
context: But in that case, wouldn't the people from the Dark Guilds turn into good guys?\I suppose that is possible.\But the truly fearsome power of Nirvana lies in the ability to control it that way.\For example, if you used Nirvana against a guild...\The allies could kill each other without hesitation.\They could go to war with other guilds for no reason.\Starting things like that would be child's play.\Oh, no! response:	We have to stop it at once!
context: I suppose that is possible.\But the truly fearsome power of Nirvana lies in the ability to control it that way.\For example, if you used Nirvana against a guild...\The allies could kill each other without hesitation.\They could go to war with other guilds for no reason.\Starting things like that would be child's play.\Oh, no!\We have to stop it at once! response:	They're going to wipe out all the light guilds!
context: But the truly fearsome power of Nirvana lies in the ability to control it that way.\For example, if you used Nirvana against a guild...\The allies could kill each other without hesitation.\They could go to war with other guilds for no reason.\Starting things like that would be child's play.\Oh, no!\We have to stop it at once!\They're going to wipe out all the light guilds! response:	Natsu... I think you'd be red.
context: For example, if you used Nirvana against a guild...\The allies could kill each other without hesitation.\They could go to war with other guilds for no reason.\Starting things like that would be child's play.\Oh, no!\We have to stop it at once!\They're going to wipe out all the light guilds!\Natsu... I think you'd be red. response:	Huh? What're you talkin' about?
context: The allies could kill each other without hesitation.\They could go to war with other guilds for no reason.\Starting things like that would be child's play.\Oh, no!\We have to stop it at once!\They're going to wipe out all the light guilds!\Natsu... I think you'd be red.\Huh? What're you talkin' about? response:	The color that fits your image!
context: They could go to war with other guilds for no reason.\Starting things like that would be child's play.\Oh, no!\We have to stop it at once!\They're going to wipe out all the light guilds!\Natsu... I think you'd be red.\Huh? What're you talkin' about?\The color that fits your image! response:	You use flames, so you're red.
context: Starting things like that would be child's play.\Oh, no!\We have to stop it at once!\They're going to wipe out all the light guilds!\Natsu... I think you'd be red.\Huh? What're you talkin' about?\The color that fits your image!\You use flames, so you're red. response:	Gray uses ice, so I guess that makes him blue.
context: Oh, no!\We have to stop it at once!\They're going to wipe out all the light guilds!\Natsu... I think you'd be red.\Huh? What're you talkin' about?\The color that fits your image!\You use flames, so you're red.\Gray uses ice, so I guess that makes him blue. response:	Happy... You're givin' away your own color?
context: We have to stop it at once!\They're going to wipe out all the light guilds!\Natsu... I think you'd be red.\Huh? What're you talkin' about?\The color that fits your image!\You use flames, so you're red.\Gray uses ice, so I guess that makes him blue.\Happy... You're givin' away your own color? response:	Y-You're right! W-What'll I do?
context: They're going to wipe out all the light guilds!\Natsu... I think you'd be red.\Huh? What're you talkin' about?\The color that fits your image!\You use flames, so you're red.\Gray uses ice, so I guess that makes him blue.\Happy... You're givin' away your own color?\Y-You're right! W-What'll I do? response:	Next time: Spirit vs. Spirit!
context: Natsu... I think you'd be red.\Huh? What're you talkin' about?\The color that fits your image!\You use flames, so you're red.\Gray uses ice, so I guess that makes him blue.\Happy... You're givin' away your own color?\Y-You're right! W-What'll I do?\Next time: Spirit vs. Spirit! response:	Then how about I be something cool like black?
context: Huh? What're you talkin' about?\The color that fits your image!\You use flames, so you're red.\Gray uses ice, so I guess that makes him blue.\Happy... You're givin' away your own color?\Y-You're right! W-What'll I do?\Next time: Spirit vs. Spirit!\Then how about I be something cool like black? response:	No... Black is totally Lucy.
context: The color that fits your image!\You use flames, so you're red.\Gray uses ice, so I guess that makes him blue.\Happy... You're givin' away your own color?\Y-You're right! W-What'll I do?\Next time: Spirit vs. Spirit!\Then how about I be something cool like black?\No... Black is totally Lucy. response:	She's definitely got the blackest personality in Fairy Tail!
