context: Although it's already May, the wind at night still feels very cold. response:	This is no different from my home town in the mountains.
context: If you cannot care for your partner, the relationship isn't gonna work out.\I'm back.\You could at least turn on the light. I know you're depressed, but come on.\You must be hungry. I'm sorry. I didn't prepare dinner tonight.\I expected as much, so I bought us some dinner on the way home.\Let's eat.\Are these tears of joy?\I've always thought this. You always put yourself first, response:	but at the same time you're so caring to others.
context: I'm back.\You could at least turn on the light. I know you're depressed, but come on.\You must be hungry. I'm sorry. I didn't prepare dinner tonight.\I expected as much, so I bought us some dinner on the way home.\Let's eat.\Are these tears of joy?\I've always thought this. You always put yourself first,\but at the same time you're so caring to others. response:	Caring?
context: You could at least turn on the light. I know you're depressed, but come on.\You must be hungry. I'm sorry. I didn't prepare dinner tonight.\I expected as much, so I bought us some dinner on the way home.\Let's eat.\Are these tears of joy?\I've always thought this. You always put yourself first,\but at the same time you're so caring to others.\Caring? response:	And what's this about me putting myself first?
context: You must be hungry. I'm sorry. I didn't prepare dinner tonight.\I expected as much, so I bought us some dinner on the way home.\Let's eat.\Are these tears of joy?\I've always thought this. You always put yourself first,\but at the same time you're so caring to others.\Caring?\And what's this about me putting myself first? response:	On the other hand, look at me! I did nothing but think about myself!
context: I expected as much, so I bought us some dinner on the way home.\Let's eat.\Are these tears of joy?\I've always thought this. You always put yourself first,\but at the same time you're so caring to others.\Caring?\And what's this about me putting myself first?\On the other hand, look at me! I did nothing but think about myself! response:	It never occurred to me that you'd be coming home with an empty stomach!
context: Let's eat.\Are these tears of joy?\I've always thought this. You always put yourself first,\but at the same time you're so caring to others.\Caring?\And what's this about me putting myself first?\On the other hand, look at me! I did nothing but think about myself!\It never occurred to me that you'd be coming home with an empty stomach! response:	You don't need to worry about that.
context: Are these tears of joy?\I've always thought this. You always put yourself first,\but at the same time you're so caring to others.\Caring?\And what's this about me putting myself first?\On the other hand, look at me! I did nothing but think about myself!\It never occurred to me that you'd be coming home with an empty stomach!\You don't need to worry about that. response:	But friendship is about a relationship two people build for each other.
context: I've always thought this. You always put yourself first,\but at the same time you're so caring to others.\Caring?\And what's this about me putting myself first?\On the other hand, look at me! I did nothing but think about myself!\It never occurred to me that you'd be coming home with an empty stomach!\You don't need to worry about that.\But friendship is about a relationship two people build for each other. response:	Why are you suddenly bringing up the obvious?
context: but at the same time you're so caring to others.\Caring?\And what's this about me putting myself first?\On the other hand, look at me! I did nothing but think about myself!\It never occurred to me that you'd be coming home with an empty stomach!\You don't need to worry about that.\But friendship is about a relationship two people build for each other.\Why are you suddenly bringing up the obvious? response:	Let me at least make you some tea.
context: Caring?\And what's this about me putting myself first?\On the other hand, look at me! I did nothing but think about myself!\It never occurred to me that you'd be coming home with an empty stomach!\You don't need to worry about that.\But friendship is about a relationship two people build for each other.\Why are you suddenly bringing up the obvious?\Let me at least make you some tea. response:	By the way, there's a letter for you from Natsuko.
context: And what's this about me putting myself first?\On the other hand, look at me! I did nothing but think about myself!\It never occurred to me that you'd be coming home with an empty stomach!\You don't need to worry about that.\But friendship is about a relationship two people build for each other.\Why are you suddenly bringing up the obvious?\Let me at least make you some tea.\By the way, there's a letter for you from Natsuko. response:	Mom sent me a letter?
context: On the other hand, look at me! I did nothing but think about myself!\It never occurred to me that you'd be coming home with an empty stomach!\You don't need to worry about that.\But friendship is about a relationship two people build for each other.\Why are you suddenly bringing up the obvious?\Let me at least make you some tea.\By the way, there's a letter for you from Natsuko.\Mom sent me a letter? response:	Bottom line, Natsuko has a knack for sensing these things.
context: It never occurred to me that you'd be coming home with an empty stomach!\You don't need to worry about that.\But friendship is about a relationship two people build for each other.\Why are you suddenly bringing up the obvious?\Let me at least make you some tea.\By the way, there's a letter for you from Natsuko.\Mom sent me a letter?\Bottom line, Natsuko has a knack for sensing these things. response:	The way she contacts you without fail when you're in a bind.
context: You don't need to worry about that.\But friendship is about a relationship two people build for each other.\Why are you suddenly bringing up the obvious?\Let me at least make you some tea.\By the way, there's a letter for you from Natsuko.\Mom sent me a letter?\Bottom line, Natsuko has a knack for sensing these things.\The way she contacts you without fail when you're in a bind. response:	Because she is your mother.
context: But friendship is about a relationship two people build for each other.\Why are you suddenly bringing up the obvious?\Let me at least make you some tea.\By the way, there's a letter for you from Natsuko.\Mom sent me a letter?\Bottom line, Natsuko has a knack for sensing these things.\The way she contacts you without fail when you're in a bind.\Because she is your mother. response:	Natsuko Komatsu Because she is your mother.
context: Why are you suddenly bringing up the obvious?\Let me at least make you some tea.\By the way, there's a letter for you from Natsuko.\Mom sent me a letter?\Bottom line, Natsuko has a knack for sensing these things.\The way she contacts you without fail when you're in a bind.\Because she is your mother.\Natsuko Komatsu Because she is your mother. response:	Natsuko Komatsu
context: Let me at least make you some tea.\By the way, there's a letter for you from Natsuko.\Mom sent me a letter?\Bottom line, Natsuko has a knack for sensing these things.\The way she contacts you without fail when you're in a bind.\Because she is your mother.\Natsuko Komatsu Because she is your mother.\Natsuko Komatsu response:	If she asks me to come home now, I would be tempted to accept.
context: By the way, there's a letter for you from Natsuko.\Mom sent me a letter?\Bottom line, Natsuko has a knack for sensing these things.\The way she contacts you without fail when you're in a bind.\Because she is your mother.\Natsuko Komatsu Because she is your mother.\Natsuko Komatsu\If she asks me to come home now, I would be tempted to accept. response:	This registered letter came for you. Would you at least give them notice of your change of address?
context: Mom sent me a letter?\Bottom line, Natsuko has a knack for sensing these things.\The way she contacts you without fail when you're in a bind.\Because she is your mother.\Natsuko Komatsu Because she is your mother.\Natsuko Komatsu\If she asks me to come home now, I would be tempted to accept.\This registered letter came for you. Would you at least give them notice of your change of address? response:	Is that all? Where are my words of consolation?
context: Bottom line, Natsuko has a knack for sensing these things.\The way she contacts you without fail when you're in a bind.\Because she is your mother.\Natsuko Komatsu Because she is your mother.\Natsuko Komatsu\If she asks me to come home now, I would be tempted to accept.\This registered letter came for you. Would you at least give them notice of your change of address?\Is that all? Where are my words of consolation? response:	What's the matter, Hachiko?! Are you all right?!
context: The way she contacts you without fail when you're in a bind.\Because she is your mother.\Natsuko Komatsu Because she is your mother.\Natsuko Komatsu\If she asks me to come home now, I would be tempted to accept.\This registered letter came for you. Would you at least give them notice of your change of address?\Is that all? Where are my words of consolation?\What's the matter, Hachiko?! Are you all right?! response:	This won't do!
context: Because she is your mother.\Natsuko Komatsu Because she is your mother.\Natsuko Komatsu\If she asks me to come home now, I would be tempted to accept.\This registered letter came for you. Would you at least give them notice of your change of address?\Is that all? Where are my words of consolation?\What's the matter, Hachiko?! Are you all right?!\This won't do! response:	Scissors.
context: Natsuko Komatsu Because she is your mother.\Natsuko Komatsu\If she asks me to come home now, I would be tempted to accept.\This registered letter came for you. Would you at least give them notice of your change of address?\Is that all? Where are my words of consolation?\What's the matter, Hachiko?! Are you all right?!\This won't do!\Scissors. response:	Where did I put them? Never mind. A paper-knife will do.
context: Natsuko Komatsu\If she asks me to come home now, I would be tempted to accept.\This registered letter came for you. Would you at least give them notice of your change of address?\Is that all? Where are my words of consolation?\What's the matter, Hachiko?! Are you all right?!\This won't do!\Scissors.\Where did I put them? Never mind. A paper-knife will do. response:	A paper-knife!
context: If she asks me to come home now, I would be tempted to accept.\This registered letter came for you. Would you at least give them notice of your change of address?\Is that all? Where are my words of consolation?\What's the matter, Hachiko?! Are you all right?!\This won't do!\Scissors.\Where did I put them? Never mind. A paper-knife will do.\A paper-knife! response:	Don't do it! Shoji's not the only man in the world!
context: This registered letter came for you. Would you at least give them notice of your change of address?\Is that all? Where are my words of consolation?\What's the matter, Hachiko?! Are you all right?!\This won't do!\Scissors.\Where did I put them? Never mind. A paper-knife will do.\A paper-knife!\Don't do it! Shoji's not the only man in the world! response:	I know that! But more importantly, the tickets arrived!
context: Is that all? Where are my words of consolation?\What's the matter, Hachiko?! Are you all right?!\This won't do!\Scissors.\Where did I put them? Never mind. A paper-knife will do.\A paper-knife!\Don't do it! Shoji's not the only man in the world!\I know that! But more importantly, the tickets arrived! response:	- Huh? - Tickets to the Trapnest concert.
context: What's the matter, Hachiko?! Are you all right?!\This won't do!\Scissors.\Where did I put them? Never mind. A paper-knife will do.\A paper-knife!\Don't do it! Shoji's not the only man in the world!\I know that! But more importantly, the tickets arrived!\- Huh? - Tickets to the Trapnest concert. response:	I bought two tickets. Wanna go?
context: This won't do!\Scissors.\Where did I put them? Never mind. A paper-knife will do.\A paper-knife!\Don't do it! Shoji's not the only man in the world!\I know that! But more importantly, the tickets arrived!\- Huh? - Tickets to the Trapnest concert.\I bought two tickets. Wanna go? response:	Nana.
context: Scissors.\Where did I put them? Never mind. A paper-knife will do.\A paper-knife!\Don't do it! Shoji's not the only man in the world!\I know that! But more importantly, the tickets arrived!\- Huh? - Tickets to the Trapnest concert.\I bought two tickets. Wanna go?\Nana. response:	No matter how unbearable life may seem,
context: Where did I put them? Never mind. A paper-knife will do.\A paper-knife!\Don't do it! Shoji's not the only man in the world!\I know that! But more importantly, the tickets arrived!\- Huh? - Tickets to the Trapnest concert.\I bought two tickets. Wanna go?\Nana.\No matter how unbearable life may seem, response:	good things will happen as long as we're alive.
context: A paper-knife!\Don't do it! Shoji's not the only man in the world!\I know that! But more importantly, the tickets arrived!\- Huh? - Tickets to the Trapnest concert.\I bought two tickets. Wanna go?\Nana.\No matter how unbearable life may seem,\good things will happen as long as we're alive. response:	They're front row seats.
context: Don't do it! Shoji's not the only man in the world!\I know that! But more importantly, the tickets arrived!\- Huh? - Tickets to the Trapnest concert.\I bought two tickets. Wanna go?\Nana.\No matter how unbearable life may seem,\good things will happen as long as we're alive.\They're front row seats. response:	Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27 They're front row seats.
context: I know that! But more importantly, the tickets arrived!\- Huh? - Tickets to the Trapnest concert.\I bought two tickets. Wanna go?\Nana.\No matter how unbearable life may seem,\good things will happen as long as we're alive.\They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27 They're front row seats. response:	Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27
context: - Huh? - Tickets to the Trapnest concert.\I bought two tickets. Wanna go?\Nana.\No matter how unbearable life may seem,\good things will happen as long as we're alive.\They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27 They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27 response:	Now that I think back, during those days
context: I bought two tickets. Wanna go?\Nana.\No matter how unbearable life may seem,\good things will happen as long as we're alive.\They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27 They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27\Now that I think back, during those days response:	it was as if luck had eluded me on a daily basis.
context: Nana.\No matter how unbearable life may seem,\good things will happen as long as we're alive.\They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27 They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27\Now that I think back, during those days\it was as if luck had eluded me on a daily basis. response:	I never had much luck with the lottery either.
context: No matter how unbearable life may seem,\good things will happen as long as we're alive.\They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27 They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27\Now that I think back, during those days\it was as if luck had eluded me on a daily basis.\I never had much luck with the lottery either. response:	Those tickets were something God had set aside for Nana.
context: good things will happen as long as we're alive.\They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27 They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27\Now that I think back, during those days\it was as if luck had eluded me on a daily basis.\I never had much luck with the lottery either.\Those tickets were something God had set aside for Nana. response:	I reached into the sky
context: They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27 They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27\Now that I think back, during those days\it was as if luck had eluded me on a daily basis.\I never had much luck with the lottery either.\Those tickets were something God had set aside for Nana.\I reached into the sky response:	But I couldn't reach what I wanted
context: Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27 They're front row seats.\Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27\Now that I think back, during those days\it was as if luck had eluded me on a daily basis.\I never had much luck with the lottery either.\Those tickets were something God had set aside for Nana.\I reached into the sky\But I couldn't reach what I wanted response:	They grew smaller and disappeared into the sky
context: Gates Open 5:30 pm Performance 6:30 pm Reserved seating 5,250 yen (tax included) Floor 1, Central Aisle, Row 1, Seat 27\Now that I think back, during those days\it was as if luck had eluded me on a daily basis.\I never had much luck with the lottery either.\Those tickets were something God had set aside for Nana.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky response:	Like colorful balloons
context: Now that I think back, during those days\it was as if luck had eluded me on a daily basis.\I never had much luck with the lottery either.\Those tickets were something God had set aside for Nana.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons response:	I'm alone
context: it was as if luck had eluded me on a daily basis.\I never had much luck with the lottery either.\Those tickets were something God had set aside for Nana.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone response:	My hand had no place to go
context: I never had much luck with the lottery either.\Those tickets were something God had set aside for Nana.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go response:	And gently you took it
context: Those tickets were something God had set aside for Nana.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it response:	Starless night
context: I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night response:	I won't look back at the shadow of my past
context: But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past response:	I want to feel your warmth
context: They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth response:	Tears are falling down
context: Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down response:	Even if I'm unsure I won't let go
context: I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down\Even if I'm unsure I won't let go response:	Of your hand holding mine
