context: Yes, this is Control. response:	Yeah, it's Marude! Give me a situation report!
context: That is all we know about Aogiri Tree.\I'd like to charge after them right now,\but for the time being, we have to be patient.\We engage them in one week. Until then, citizens of the 11th Ward\are under a mandatory evacuation. Utilize the police.\I will deal with the media. That is all.\Dismissed!\Yes, sir! response:	So you're Suzuya, huh? You're an awfully slender fellow, aren't you?
context: I'd like to charge after them right now,\but for the time being, we have to be patient.\We engage them in one week. Until then, citizens of the 11th Ward\are under a mandatory evacuation. Utilize the police.\I will deal with the media. That is all.\Dismissed!\Yes, sir!\So you're Suzuya, huh? You're an awfully slender fellow, aren't you? response:	Hmm? Uh-oh...
context: but for the time being, we have to be patient.\We engage them in one week. Until then, citizens of the 11th Ward\are under a mandatory evacuation. Utilize the police.\I will deal with the media. That is all.\Dismissed!\Yes, sir!\So you're Suzuya, huh? You're an awfully slender fellow, aren't you?\Hmm? Uh-oh... response:	Are you sure you're eating right?
context: We engage them in one week. Until then, citizens of the 11th Ward\are under a mandatory evacuation. Utilize the police.\I will deal with the media. That is all.\Dismissed!\Yes, sir!\So you're Suzuya, huh? You're an awfully slender fellow, aren't you?\Hmm? Uh-oh...\Are you sure you're eating right? response:	Do you even have anything in your coin purse?
context: are under a mandatory evacuation. Utilize the police.\I will deal with the media. That is all.\Dismissed!\Yes, sir!\So you're Suzuya, huh? You're an awfully slender fellow, aren't you?\Hmm? Uh-oh...\Are you sure you're eating right?\Do you even have anything in your coin purse? response:	Now, now, Maru,
context: I will deal with the media. That is all.\Dismissed!\Yes, sir!\So you're Suzuya, huh? You're an awfully slender fellow, aren't you?\Hmm? Uh-oh...\Are you sure you're eating right?\Do you even have anything in your coin purse?\Now, now, Maru, response:	Suzuya just got here and I'm sure he's tired.
context: Dismissed!\Yes, sir!\So you're Suzuya, huh? You're an awfully slender fellow, aren't you?\Hmm? Uh-oh...\Are you sure you're eating right?\Do you even have anything in your coin purse?\Now, now, Maru,\Suzuya just got here and I'm sure he's tired. response:	Cut him some slack, okay?
context: Yes, sir!\So you're Suzuya, huh? You're an awfully slender fellow, aren't you?\Hmm? Uh-oh...\Are you sure you're eating right?\Do you even have anything in your coin purse?\Now, now, Maru,\Suzuya just got here and I'm sure he's tired.\Cut him some slack, okay? response:	What gives? I was just making small talk.
context: So you're Suzuya, huh? You're an awfully slender fellow, aren't you?\Hmm? Uh-oh...\Are you sure you're eating right?\Do you even have anything in your coin purse?\Now, now, Maru,\Suzuya just got here and I'm sure he's tired.\Cut him some slack, okay?\What gives? I was just making small talk. response:	Okay, okay. Maybe tomorrow, all right?
context: Hmm? Uh-oh...\Are you sure you're eating right?\Do you even have anything in your coin purse?\Now, now, Maru,\Suzuya just got here and I'm sure he's tired.\Cut him some slack, okay?\What gives? I was just making small talk.\Okay, okay. Maybe tomorrow, all right? response:	Suzuya is the only 3rd Grade Investigator?
context: Are you sure you're eating right?\Do you even have anything in your coin purse?\Now, now, Maru,\Suzuya just got here and I'm sure he's tired.\Cut him some slack, okay?\What gives? I was just making small talk.\Okay, okay. Maybe tomorrow, all right?\Suzuya is the only 3rd Grade Investigator? response:	Maru will use whatever he can use.
context: Do you even have anything in your coin purse?\Now, now, Maru,\Suzuya just got here and I'm sure he's tired.\Cut him some slack, okay?\What gives? I was just making small talk.\Okay, okay. Maybe tomorrow, all right?\Suzuya is the only 3rd Grade Investigator?\Maru will use whatever he can use. response:	He must have decided that we can use Juzo.
context: Now, now, Maru,\Suzuya just got here and I'm sure he's tired.\Cut him some slack, okay?\What gives? I was just making small talk.\Okay, okay. Maybe tomorrow, all right?\Suzuya is the only 3rd Grade Investigator?\Maru will use whatever he can use.\He must have decided that we can use Juzo. response:	In any case, he was personally admitted by Chairman Washu himself.
context: Suzuya just got here and I'm sure he's tired.\Cut him some slack, okay?\What gives? I was just making small talk.\Okay, okay. Maybe tomorrow, all right?\Suzuya is the only 3rd Grade Investigator?\Maru will use whatever he can use.\He must have decided that we can use Juzo.\In any case, he was personally admitted by Chairman Washu himself. response:	Suzuya Juzo
context: Cut him some slack, okay?\What gives? I was just making small talk.\Okay, okay. Maybe tomorrow, all right?\Suzuya is the only 3rd Grade Investigator?\Maru will use whatever he can use.\He must have decided that we can use Juzo.\In any case, he was personally admitted by Chairman Washu himself.\Suzuya Juzo response:	Following Arima...
context: What gives? I was just making small talk.\Okay, okay. Maybe tomorrow, all right?\Suzuya is the only 3rd Grade Investigator?\Maru will use whatever he can use.\He must have decided that we can use Juzo.\In any case, he was personally admitted by Chairman Washu himself.\Suzuya Juzo\Following Arima... response:	Right.
context: Okay, okay. Maybe tomorrow, all right?\Suzuya is the only 3rd Grade Investigator?\Maru will use whatever he can use.\He must have decided that we can use Juzo.\In any case, he was personally admitted by Chairman Washu himself.\Suzuya Juzo\Following Arima...\Right. response:	Ugh, you know, the enemy has a real problem case, too.
context: Suzuya is the only 3rd Grade Investigator?\Maru will use whatever he can use.\He must have decided that we can use Juzo.\In any case, he was personally admitted by Chairman Washu himself.\Suzuya Juzo\Following Arima...\Right.\Ugh, you know, the enemy has a real problem case, too. response:	You mean Jason?
context: Maru will use whatever he can use.\He must have decided that we can use Juzo.\In any case, he was personally admitted by Chairman Washu himself.\Suzuya Juzo\Following Arima...\Right.\Ugh, you know, the enemy has a real problem case, too.\You mean Jason? response:	Yeah. The 13th Ward's S-rated troublemaker.
context: He must have decided that we can use Juzo.\In any case, he was personally admitted by Chairman Washu himself.\Suzuya Juzo\Following Arima...\Right.\Ugh, you know, the enemy has a real problem case, too.\You mean Jason?\Yeah. The 13th Ward's S-rated troublemaker. response:	Sadistic bastard, who kills more for fun than for eating.
context: In any case, he was personally admitted by Chairman Washu himself.\Suzuya Juzo\Following Arima...\Right.\Ugh, you know, the enemy has a real problem case, too.\You mean Jason?\Yeah. The 13th Ward's S-rated troublemaker.\Sadistic bastard, who kills more for fun than for eating. response:	He's one guy I wouldn't want to go up against.
context: Suzuya Juzo\Following Arima...\Right.\Ugh, you know, the enemy has a real problem case, too.\You mean Jason?\Yeah. The 13th Ward's S-rated troublemaker.\Sadistic bastard, who kills more for fun than for eating.\He's one guy I wouldn't want to go up against. response:	That's right. You've fought him before, huh, Amon?
context: Following Arima...\Right.\Ugh, you know, the enemy has a real problem case, too.\You mean Jason?\Yeah. The 13th Ward's S-rated troublemaker.\Sadistic bastard, who kills more for fun than for eating.\He's one guy I wouldn't want to go up against.\That's right. You've fought him before, huh, Amon? response:	Yes. Together with Mr. Mado.
context: Right.\Ugh, you know, the enemy has a real problem case, too.\You mean Jason?\Yeah. The 13th Ward's S-rated troublemaker.\Sadistic bastard, who kills more for fun than for eating.\He's one guy I wouldn't want to go up against.\That's right. You've fought him before, huh, Amon?\Yes. Together with Mr. Mado. response:	Right.
context: Ugh, you know, the enemy has a real problem case, too.\You mean Jason?\Yeah. The 13th Ward's S-rated troublemaker.\Sadistic bastard, who kills more for fun than for eating.\He's one guy I wouldn't want to go up against.\That's right. You've fought him before, huh, Amon?\Yes. Together with Mr. Mado.\Right. response:	What is the deal with that eye-patched man?
context: You mean Jason?\Yeah. The 13th Ward's S-rated troublemaker.\Sadistic bastard, who kills more for fun than for eating.\He's one guy I wouldn't want to go up against.\That's right. You've fought him before, huh, Amon?\Yes. Together with Mr. Mado.\Right.\What is the deal with that eye-patched man? response:	Don't make me a killer.
context: Yeah. The 13th Ward's S-rated troublemaker.\Sadistic bastard, who kills more for fun than for eating.\He's one guy I wouldn't want to go up against.\That's right. You've fought him before, huh, Amon?\Yes. Together with Mr. Mado.\Right.\What is the deal with that eye-patched man?\Don't make me a killer. response:	His words... his expression...
context: Sadistic bastard, who kills more for fun than for eating.\He's one guy I wouldn't want to go up against.\That's right. You've fought him before, huh, Amon?\Yes. Together with Mr. Mado.\Right.\What is the deal with that eye-patched man?\Don't make me a killer.\His words... his expression... response:	They're dredging up memories I don't want to remember.
context: He's one guy I wouldn't want to go up against.\That's right. You've fought him before, huh, Amon?\Yes. Together with Mr. Mado.\Right.\What is the deal with that eye-patched man?\Don't make me a killer.\His words... his expression...\They're dredging up memories I don't want to remember. response:	Kotaro, who said you could come in?
context: That's right. You've fought him before, huh, Amon?\Yes. Together with Mr. Mado.\Right.\What is the deal with that eye-patched man?\Don't make me a killer.\His words... his expression...\They're dredging up memories I don't want to remember.\Kotaro, who said you could come in? response:	Amon...
context: Yes. Together with Mr. Mado.\Right.\What is the deal with that eye-patched man?\Don't make me a killer.\His words... his expression...\They're dredging up memories I don't want to remember.\Kotaro, who said you could come in?\Amon... response:	Amon!
context: Right.\What is the deal with that eye-patched man?\Don't make me a killer.\His words... his expression...\They're dredging up memories I don't want to remember.\Kotaro, who said you could come in?\Amon...\Amon! response:	Sorry. Could you repeat that, please?
context: What is the deal with that eye-patched man?\Don't make me a killer.\His words... his expression...\They're dredging up memories I don't want to remember.\Kotaro, who said you could come in?\Amon...\Amon!\Sorry. Could you repeat that, please? response:	I said your quinque got broken, right?
context: Don't make me a killer.\His words... his expression...\They're dredging up memories I don't want to remember.\Kotaro, who said you could come in?\Amon...\Amon!\Sorry. Could you repeat that, please?\I said your quinque got broken, right? response:	Oh, yes.
context: His words... his expression...\They're dredging up memories I don't want to remember.\Kotaro, who said you could come in?\Amon...\Amon!\Sorry. Could you repeat that, please?\I said your quinque got broken, right?\Oh, yes. response:	In that case, choose one from Mado's effects.
context: They're dredging up memories I don't want to remember.\Kotaro, who said you could come in?\Amon...\Amon!\Sorry. Could you repeat that, please?\I said your quinque got broken, right?\Oh, yes.\In that case, choose one from Mado's effects. response:	Huh?
context: Kotaro, who said you could come in?\Amon...\Amon!\Sorry. Could you repeat that, please?\I said your quinque got broken, right?\Oh, yes.\In that case, choose one from Mado's effects.\Huh? response:	It's in his will. Well, see you later.
context: Amon...\Amon!\Sorry. Could you repeat that, please?\I said your quinque got broken, right?\Oh, yes.\In that case, choose one from Mado's effects.\Huh?\It's in his will. Well, see you later. response:	Mr. Mado...
context: Amon!\Sorry. Could you repeat that, please?\I said your quinque got broken, right?\Oh, yes.\In that case, choose one from Mado's effects.\Huh?\It's in his will. Well, see you later.\Mr. Mado... response:	Rei, there are apparently a lot of ghouls in the 11th Ward.
context: Sorry. Could you repeat that, please?\I said your quinque got broken, right?\Oh, yes.\In that case, choose one from Mado's effects.\Huh?\It's in his will. Well, see you later.\Mr. Mado...\Rei, there are apparently a lot of ghouls in the 11th Ward. response:	I may be able to get a new quinque. I can't wait.
context: I said your quinque got broken, right?\Oh, yes.\In that case, choose one from Mado's effects.\Huh?\It's in his will. Well, see you later.\Mr. Mado...\Rei, there are apparently a lot of ghouls in the 11th Ward.\I may be able to get a new quinque. I can't wait. response:	I have to be a good boy, or else Mama will be cross with me again.
context: Oh, yes.\In that case, choose one from Mado's effects.\Huh?\It's in his will. Well, see you later.\Mr. Mado...\Rei, there are apparently a lot of ghouls in the 11th Ward.\I may be able to get a new quinque. I can't wait.\I have to be a good boy, or else Mama will be cross with me again. response:	CCG Urgent Press Conference
context: In that case, choose one from Mado's effects.\Huh?\It's in his will. Well, see you later.\Mr. Mado...\Rei, there are apparently a lot of ghouls in the 11th Ward.\I may be able to get a new quinque. I can't wait.\I have to be a good boy, or else Mama will be cross with me again.\CCG Urgent Press Conference response:	CCG is moving quickly to increase
context: Huh?\It's in his will. Well, see you later.\Mr. Mado...\Rei, there are apparently a lot of ghouls in the 11th Ward.\I may be able to get a new quinque. I can't wait.\I have to be a good boy, or else Mama will be cross with me again.\CCG Urgent Press Conference\CCG is moving quickly to increase response:	the investigator presence in the 11th Ward,
context: It's in his will. Well, see you later.\Mr. Mado...\Rei, there are apparently a lot of ghouls in the 11th Ward.\I may be able to get a new quinque. I can't wait.\I have to be a good boy, or else Mama will be cross with me again.\CCG Urgent Press Conference\CCG is moving quickly to increase\the investigator presence in the 11th Ward, response:	and pinpoint this ghoul organization's base.
context: Mr. Mado...\Rei, there are apparently a lot of ghouls in the 11th Ward.\I may be able to get a new quinque. I can't wait.\I have to be a good boy, or else Mama will be cross with me again.\CCG Urgent Press Conference\CCG is moving quickly to increase\the investigator presence in the 11th Ward,\and pinpoint this ghoul organization's base. response:	I can state that it's only a matter of time
context: Rei, there are apparently a lot of ghouls in the 11th Ward.\I may be able to get a new quinque. I can't wait.\I have to be a good boy, or else Mama will be cross with me again.\CCG Urgent Press Conference\CCG is moving quickly to increase\the investigator presence in the 11th Ward,\and pinpoint this ghoul organization's base.\I can state that it's only a matter of time response:	before this case is closed.
context: I may be able to get a new quinque. I can't wait.\I have to be a good boy, or else Mama will be cross with me again.\CCG Urgent Press Conference\CCG is moving quickly to increase\the investigator presence in the 11th Ward,\and pinpoint this ghoul organization's base.\I can state that it's only a matter of time\before this case is closed. response:	But isn't the full-scale evacuation of citizens in the area
context: I have to be a good boy, or else Mama will be cross with me again.\CCG Urgent Press Conference\CCG is moving quickly to increase\the investigator presence in the 11th Ward,\and pinpoint this ghoul organization's base.\I can state that it's only a matter of time\before this case is closed.\But isn't the full-scale evacuation of citizens in the area response:	a little over-aggressive?
context: CCG Urgent Press Conference\CCG is moving quickly to increase\the investigator presence in the 11th Ward,\and pinpoint this ghoul organization's base.\I can state that it's only a matter of time\before this case is closed.\But isn't the full-scale evacuation of citizens in the area\a little over-aggressive? response:	That is ultimately for everyone's safety.
context: CCG is moving quickly to increase\the investigator presence in the 11th Ward,\and pinpoint this ghoul organization's base.\I can state that it's only a matter of time\before this case is closed.\But isn't the full-scale evacuation of citizens in the area\a little over-aggressive?\That is ultimately for everyone's safety. response:	CCG is on everyone's side.
context: the investigator presence in the 11th Ward,\and pinpoint this ghoul organization's base.\I can state that it's only a matter of time\before this case is closed.\But isn't the full-scale evacuation of citizens in the area\a little over-aggressive?\That is ultimately for everyone's safety.\CCG is on everyone's side. response:	-And so, I ask that you all please not enter any off-limits areas.
context: and pinpoint this ghoul organization's base.\I can state that it's only a matter of time\before this case is closed.\But isn't the full-scale evacuation of citizens in the area\a little over-aggressive?\That is ultimately for everyone's safety.\CCG is on everyone's side.\-And so, I ask that you all please not enter any off-limits areas. response:	-At least text me, would you, Kaneki? -And so, I ask that you all please not enter any off-limits areas.
context: I can state that it's only a matter of time\before this case is closed.\But isn't the full-scale evacuation of citizens in the area\a little over-aggressive?\That is ultimately for everyone's safety.\CCG is on everyone's side.\-And so, I ask that you all please not enter any off-limits areas.\-At least text me, would you, Kaneki? -And so, I ask that you all please not enter any off-limits areas. response:	Hinami...
context: before this case is closed.\But isn't the full-scale evacuation of citizens in the area\a little over-aggressive?\That is ultimately for everyone's safety.\CCG is on everyone's side.\-And so, I ask that you all please not enter any off-limits areas.\-At least text me, would you, Kaneki? -And so, I ask that you all please not enter any off-limits areas.\Hinami... response:	Big Sister...
context: But isn't the full-scale evacuation of citizens in the area\a little over-aggressive?\That is ultimately for everyone's safety.\CCG is on everyone's side.\-And so, I ask that you all please not enter any off-limits areas.\-At least text me, would you, Kaneki? -And so, I ask that you all please not enter any off-limits areas.\Hinami...\Big Sister... response:	Mm-hmm.
context: a little over-aggressive?\That is ultimately for everyone's safety.\CCG is on everyone's side.\-And so, I ask that you all please not enter any off-limits areas.\-At least text me, would you, Kaneki? -And so, I ask that you all please not enter any off-limits areas.\Hinami...\Big Sister...\Mm-hmm. response:	He's not as soft as he looks.
context: That is ultimately for everyone's safety.\CCG is on everyone's side.\-And so, I ask that you all please not enter any off-limits areas.\-At least text me, would you, Kaneki? -And so, I ask that you all please not enter any off-limits areas.\Hinami...\Big Sister...\Mm-hmm.\He's not as soft as he looks. response:	Nishiki...
context: CCG is on everyone's side.\-And so, I ask that you all please not enter any off-limits areas.\-At least text me, would you, Kaneki? -And so, I ask that you all please not enter any off-limits areas.\Hinami...\Big Sister...\Mm-hmm.\He's not as soft as he looks.\Nishiki... response:	Looks like everyone is here.
context: -And so, I ask that you all please not enter any off-limits areas.\-At least text me, would you, Kaneki? -And so, I ask that you all please not enter any off-limits areas.\Hinami...\Big Sister...\Mm-hmm.\He's not as soft as he looks.\Nishiki...\Looks like everyone is here. response:	There will be a few more coming later,
context: -At least text me, would you, Kaneki? -And so, I ask that you all please not enter any off-limits areas.\Hinami...\Big Sister...\Mm-hmm.\He's not as soft as he looks.\Nishiki...\Looks like everyone is here.\There will be a few more coming later, response:	but let's get started now.
context: Hinami...\Big Sister...\Mm-hmm.\He's not as soft as he looks.\Nishiki...\Looks like everyone is here.\There will be a few more coming later,\but let's get started now. response:	This concerns the problems unfolding in the 11th Ward,
context: Big Sister...\Mm-hmm.\He's not as soft as he looks.\Nishiki...\Looks like everyone is here.\There will be a few more coming later,\but let's get started now.\This concerns the problems unfolding in the 11th Ward, response:	and the actions Anteiku is to take.
context: Mm-hmm.\He's not as soft as he looks.\Nishiki...\Looks like everyone is here.\There will be a few more coming later,\but let's get started now.\This concerns the problems unfolding in the 11th Ward,\and the actions Anteiku is to take. response:	But before we get to that, I have one thing to say...
context: He's not as soft as he looks.\Nishiki...\Looks like everyone is here.\There will be a few more coming later,\but let's get started now.\This concerns the problems unfolding in the 11th Ward,\and the actions Anteiku is to take.\But before we get to that, I have one thing to say... response:	about the kidnapped Kaneki.
context: Nishiki...\Looks like everyone is here.\There will be a few more coming later,\but let's get started now.\This concerns the problems unfolding in the 11th Ward,\and the actions Anteiku is to take.\But before we get to that, I have one thing to say...\about the kidnapped Kaneki. response:	You'll be served not thinking we'll ever see Kaneki again.
context: Looks like everyone is here.\There will be a few more coming later,\but let's get started now.\This concerns the problems unfolding in the 11th Ward,\and the actions Anteiku is to take.\But before we get to that, I have one thing to say...\about the kidnapped Kaneki.\You'll be served not thinking we'll ever see Kaneki again. response:	Hey, you old coot! Don't even talk like that!
context: There will be a few more coming later,\but let's get started now.\This concerns the problems unfolding in the 11th Ward,\and the actions Anteiku is to take.\But before we get to that, I have one thing to say...\about the kidnapped Kaneki.\You'll be served not thinking we'll ever see Kaneki again.\Hey, you old coot! Don't even talk like that! response:	Stop!
context: but let's get started now.\This concerns the problems unfolding in the 11th Ward,\and the actions Anteiku is to take.\But before we get to that, I have one thing to say...\about the kidnapped Kaneki.\You'll be served not thinking we'll ever see Kaneki again.\Hey, you old coot! Don't even talk like that!\Stop! response:	Stop.
context: This concerns the problems unfolding in the 11th Ward,\and the actions Anteiku is to take.\But before we get to that, I have one thing to say...\about the kidnapped Kaneki.\You'll be served not thinking we'll ever see Kaneki again.\Hey, you old coot! Don't even talk like that!\Stop!\Stop. response:	We're going, right? To save him? Well?!
context: and the actions Anteiku is to take.\But before we get to that, I have one thing to say...\about the kidnapped Kaneki.\You'll be served not thinking we'll ever see Kaneki again.\Hey, you old coot! Don't even talk like that!\Stop!\Stop.\We're going, right? To save him? Well?! response:	Aogiri Tree is made up of ghouls who live for nothing but to fight.
context: But before we get to that, I have one thing to say...\about the kidnapped Kaneki.\You'll be served not thinking we'll ever see Kaneki again.\Hey, you old coot! Don't even talk like that!\Stop!\Stop.\We're going, right? To save him? Well?!\Aogiri Tree is made up of ghouls who live for nothing but to fight. response:	It will not be easy to sneak into their base and rescue Kaneki.
context: about the kidnapped Kaneki.\You'll be served not thinking we'll ever see Kaneki again.\Hey, you old coot! Don't even talk like that!\Stop!\Stop.\We're going, right? To save him? Well?!\Aogiri Tree is made up of ghouls who live for nothing but to fight.\It will not be easy to sneak into their base and rescue Kaneki. response:	No... It can't be...
context: You'll be served not thinking we'll ever see Kaneki again.\Hey, you old coot! Don't even talk like that!\Stop!\Stop.\We're going, right? To save him? Well?!\Aogiri Tree is made up of ghouls who live for nothing but to fight.\It will not be easy to sneak into their base and rescue Kaneki.\No... It can't be... response:	Moreover, we cannot ignore CCG's movements.
context: Hey, you old coot! Don't even talk like that!\Stop!\Stop.\We're going, right? To save him? Well?!\Aogiri Tree is made up of ghouls who live for nothing but to fight.\It will not be easy to sneak into their base and rescue Kaneki.\No... It can't be...\Moreover, we cannot ignore CCG's movements. response:	They will probably be sending a detachment into the 11th Ward soon
context: Stop!\Stop.\We're going, right? To save him? Well?!\Aogiri Tree is made up of ghouls who live for nothing but to fight.\It will not be easy to sneak into their base and rescue Kaneki.\No... It can't be...\Moreover, we cannot ignore CCG's movements.\They will probably be sending a detachment into the 11th Ward soon response:	to wipe out the Aogiri Tree members.
context: Stop.\We're going, right? To save him? Well?!\Aogiri Tree is made up of ghouls who live for nothing but to fight.\It will not be easy to sneak into their base and rescue Kaneki.\No... It can't be...\Moreover, we cannot ignore CCG's movements.\They will probably be sending a detachment into the 11th Ward soon\to wipe out the Aogiri Tree members. response:	If we did go to save him,
context: We're going, right? To save him? Well?!\Aogiri Tree is made up of ghouls who live for nothing but to fight.\It will not be easy to sneak into their base and rescue Kaneki.\No... It can't be...\Moreover, we cannot ignore CCG's movements.\They will probably be sending a detachment into the 11th Ward soon\to wipe out the Aogiri Tree members.\If we did go to save him, response:	there's a good chance that we'd be the ones who were exterminated.
context: Aogiri Tree is made up of ghouls who live for nothing but to fight.\It will not be easy to sneak into their base and rescue Kaneki.\No... It can't be...\Moreover, we cannot ignore CCG's movements.\They will probably be sending a detachment into the 11th Ward soon\to wipe out the Aogiri Tree members.\If we did go to save him,\there's a good chance that we'd be the ones who were exterminated. response:	Hey, what is this? You're not thinking of abandoning him!
context: It will not be easy to sneak into their base and rescue Kaneki.\No... It can't be...\Moreover, we cannot ignore CCG's movements.\They will probably be sending a detachment into the 11th Ward soon\to wipe out the Aogiri Tree members.\If we did go to save him,\there's a good chance that we'd be the ones who were exterminated.\Hey, what is this? You're not thinking of abandoning him! response:	I'm going.
context: No... It can't be...\Moreover, we cannot ignore CCG's movements.\They will probably be sending a detachment into the 11th Ward soon\to wipe out the Aogiri Tree members.\If we did go to save him,\there's a good chance that we'd be the ones who were exterminated.\Hey, what is this? You're not thinking of abandoning him!\I'm going. response:	What was the policy of this shop, again?
context: Moreover, we cannot ignore CCG's movements.\They will probably be sending a detachment into the 11th Ward soon\to wipe out the Aogiri Tree members.\If we did go to save him,\there's a good chance that we'd be the ones who were exterminated.\Hey, what is this? You're not thinking of abandoning him!\I'm going.\What was the policy of this shop, again? response:	Sir, if you're not going...
context: They will probably be sending a detachment into the 11th Ward soon\to wipe out the Aogiri Tree members.\If we did go to save him,\there's a good chance that we'd be the ones who were exterminated.\Hey, what is this? You're not thinking of abandoning him!\I'm going.\What was the policy of this shop, again?\Sir, if you're not going... response:	then I'll go alone.
context: to wipe out the Aogiri Tree members.\If we did go to save him,\there's a good chance that we'd be the ones who were exterminated.\Hey, what is this? You're not thinking of abandoning him!\I'm going.\What was the policy of this shop, again?\Sir, if you're not going...\then I'll go alone. response:	I'm going, too.
context: If we did go to save him,\there's a good chance that we'd be the ones who were exterminated.\Hey, what is this? You're not thinking of abandoning him!\I'm going.\What was the policy of this shop, again?\Sir, if you're not going...\then I'll go alone.\I'm going, too. response:	I do owe him.
context: there's a good chance that we'd be the ones who were exterminated.\Hey, what is this? You're not thinking of abandoning him!\I'm going.\What was the policy of this shop, again?\Sir, if you're not going...\then I'll go alone.\I'm going, too.\I do owe him. response:	I want to help, too.
context: Hey, what is this? You're not thinking of abandoning him!\I'm going.\What was the policy of this shop, again?\Sir, if you're not going...\then I'll go alone.\I'm going, too.\I do owe him.\I want to help, too. response:	Big Brother is always helping me out, so...
context: I'm going.\What was the policy of this shop, again?\Sir, if you're not going...\then I'll go alone.\I'm going, too.\I do owe him.\I want to help, too.\Big Brother is always helping me out, so... response:	If there's anything I can do, I'll do it!
context: What was the policy of this shop, again?\Sir, if you're not going...\then I'll go alone.\I'm going, too.\I do owe him.\I want to help, too.\Big Brother is always helping me out, so...\If there's anything I can do, I'll do it! response:	Hinami...
context: Sir, if you're not going...\then I'll go alone.\I'm going, too.\I do owe him.\I want to help, too.\Big Brother is always helping me out, so...\If there's anything I can do, I'll do it!\Hinami... response:	I was always planning to go rescue Kaneki.
context: then I'll go alone.\I'm going, too.\I do owe him.\I want to help, too.\Big Brother is always helping me out, so...\If there's anything I can do, I'll do it!\Hinami...\I was always planning to go rescue Kaneki. response:	However, I wanted you to know that I couldn't guarantee your lives.
context: I'm going, too.\I do owe him.\I want to help, too.\Big Brother is always helping me out, so...\If there's anything I can do, I'll do it!\Hinami...\I was always planning to go rescue Kaneki.\However, I wanted you to know that I couldn't guarantee your lives. response:	I know how you all feel.
context: I do owe him.\I want to help, too.\Big Brother is always helping me out, so...\If there's anything I can do, I'll do it!\Hinami...\I was always planning to go rescue Kaneki.\However, I wanted you to know that I couldn't guarantee your lives.\I know how you all feel. response:	If you want to save Kaneki, you must stake your lives on it.
context: I want to help, too.\Big Brother is always helping me out, so...\If there's anything I can do, I'll do it!\Hinami...\I was always planning to go rescue Kaneki.\However, I wanted you to know that I couldn't guarantee your lives.\I know how you all feel.\If you want to save Kaneki, you must stake your lives on it. response:	In return, Yomo and I will protect you with all our might.
context: Big Brother is always helping me out, so...\If there's anything I can do, I'll do it!\Hinami...\I was always planning to go rescue Kaneki.\However, I wanted you to know that I couldn't guarantee your lives.\I know how you all feel.\If you want to save Kaneki, you must stake your lives on it.\In return, Yomo and I will protect you with all our might. response:	It is Anteiku's policy to help each other out, after all.
context: If there's anything I can do, I'll do it!\Hinami...\I was always planning to go rescue Kaneki.\However, I wanted you to know that I couldn't guarantee your lives.\I know how you all feel.\If you want to save Kaneki, you must stake your lives on it.\In return, Yomo and I will protect you with all our might.\It is Anteiku's policy to help each other out, after all. response:	There is one more thing.
context: Hinami...\I was always planning to go rescue Kaneki.\However, I wanted you to know that I couldn't guarantee your lives.\I know how you all feel.\If you want to save Kaneki, you must stake your lives on it.\In return, Yomo and I will protect you with all our might.\It is Anteiku's policy to help each other out, after all.\There is one more thing. response:	Come on in!
context: I was always planning to go rescue Kaneki.\However, I wanted you to know that I couldn't guarantee your lives.\I know how you all feel.\If you want to save Kaneki, you must stake your lives on it.\In return, Yomo and I will protect you with all our might.\It is Anteiku's policy to help each other out, after all.\There is one more thing.\Come on in! response:	You! But why?!
context: However, I wanted you to know that I couldn't guarantee your lives.\I know how you all feel.\If you want to save Kaneki, you must stake your lives on it.\In return, Yomo and I will protect you with all our might.\It is Anteiku's policy to help each other out, after all.\There is one more thing.\Come on in!\You! But why?! response:	Amore!
context: I know how you all feel.\If you want to save Kaneki, you must stake your lives on it.\In return, Yomo and I will protect you with all our might.\It is Anteiku's policy to help each other out, after all.\There is one more thing.\Come on in!\You! But why?!\Amore! response:	Heartbreak!
context: If you want to save Kaneki, you must stake your lives on it.\In return, Yomo and I will protect you with all our might.\It is Anteiku's policy to help each other out, after all.\There is one more thing.\Come on in!\You! But why?!\Amore!\Heartbreak! response:	Imagine, my best friend Kaneki, facing danger
context: In return, Yomo and I will protect you with all our might.\It is Anteiku's policy to help each other out, after all.\There is one more thing.\Come on in!\You! But why?!\Amore!\Heartbreak!\Imagine, my best friend Kaneki, facing danger response:	at the hands of some irrational bunch!
context: It is Anteiku's policy to help each other out, after all.\There is one more thing.\Come on in!\You! But why?!\Amore!\Heartbreak!\Imagine, my best friend Kaneki, facing danger\at the hands of some irrational bunch! response:	No kidding!
context: There is one more thing.\Come on in!\You! But why?!\Amore!\Heartbreak!\Imagine, my best friend Kaneki, facing danger\at the hands of some irrational bunch!\No kidding! response:	Though the city sleeps, its buildings are always
context: Come on in!\You! But why?!\Amore!\Heartbreak!\Imagine, my best friend Kaneki, facing danger\at the hands of some irrational bunch!\No kidding!\Though the city sleeps, its buildings are always response:	under construction
context: You! But why?!\Amore!\Heartbreak!\Imagine, my best friend Kaneki, facing danger\at the hands of some irrational bunch!\No kidding!\Though the city sleeps, its buildings are always\under construction response:	Urban planning carries on
