context: It's a person! response:	There's- there's a person coming out of it!
context: Come try me, and we'll see whether or not I'm a housefly!\Kami- sama...\I- I didn't know. To think that I am an alien...\No wonder I always felt so different from everyone else.\I am definitely the one who created the Dragon Balls long ago.\Even though it was the first time I had ever made any,\they seemed strangely familiar.\There was probably someone on Planet Namek response:	that also created something like the Dragon Balls.
context: Kami- sama...\I- I didn't know. To think that I am an alien...\No wonder I always felt so different from everyone else.\I am definitely the one who created the Dragon Balls long ago.\Even though it was the first time I had ever made any,\they seemed strangely familiar.\There was probably someone on Planet Namek\that also created something like the Dragon Balls. response:	There were still memories of my distant ancestors within me.
context: I- I didn't know. To think that I am an alien...\No wonder I always felt so different from everyone else.\I am definitely the one who created the Dragon Balls long ago.\Even though it was the first time I had ever made any,\they seemed strangely familiar.\There was probably someone on Planet Namek\that also created something like the Dragon Balls.\There were still memories of my distant ancestors within me. response:	Pipe down!
context: No wonder I always felt so different from everyone else.\I am definitely the one who created the Dragon Balls long ago.\Even though it was the first time I had ever made any,\they seemed strangely familiar.\There was probably someone on Planet Namek\that also created something like the Dragon Balls.\There were still memories of my distant ancestors within me.\Pipe down! response:	It looks like you don't have any intention of telling us about the Dragon Balls.
context: I am definitely the one who created the Dragon Balls long ago.\Even though it was the first time I had ever made any,\they seemed strangely familiar.\There was probably someone on Planet Namek\that also created something like the Dragon Balls.\There were still memories of my distant ancestors within me.\Pipe down!\It looks like you don't have any intention of telling us about the Dragon Balls. response:	Fine with me. You'll talk, even if I have to force it out of you!
context: Even though it was the first time I had ever made any,\they seemed strangely familiar.\There was probably someone on Planet Namek\that also created something like the Dragon Balls.\There were still memories of my distant ancestors within me.\Pipe down!\It looks like you don't have any intention of telling us about the Dragon Balls.\Fine with me. You'll talk, even if I have to force it out of you! response:	981...
context: they seemed strangely familiar.\There was probably someone on Planet Namek\that also created something like the Dragon Balls.\There were still memories of my distant ancestors within me.\Pipe down!\It looks like you don't have any intention of telling us about the Dragon Balls.\Fine with me. You'll talk, even if I have to force it out of you!\981... response:	1220...
context: There was probably someone on Planet Namek\that also created something like the Dragon Balls.\There were still memories of my distant ancestors within me.\Pipe down!\It looks like you don't have any intention of telling us about the Dragon Balls.\Fine with me. You'll talk, even if I have to force it out of you!\981...\1220... response:	1083...
context: that also created something like the Dragon Balls.\There were still memories of my distant ancestors within me.\Pipe down!\It looks like you don't have any intention of telling us about the Dragon Balls.\Fine with me. You'll talk, even if I have to force it out of you!\981...\1220...\1083... response:	Miserable fools! You plan on facing us with that kind of battle power?
context: There were still memories of my distant ancestors within me.\Pipe down!\It looks like you don't have any intention of telling us about the Dragon Balls.\Fine with me. You'll talk, even if I have to force it out of you!\981...\1220...\1083...\Miserable fools! You plan on facing us with that kind of battle power? response:	Nappa,
context: Pipe down!\It looks like you don't have any intention of telling us about the Dragon Balls.\Fine with me. You'll talk, even if I have to force it out of you!\981...\1220...\1083...\Miserable fools! You plan on facing us with that kind of battle power?\Nappa, response:	take off your Scouter.
context: It looks like you don't have any intention of telling us about the Dragon Balls.\Fine with me. You'll talk, even if I have to force it out of you!\981...\1220...\1083...\Miserable fools! You plan on facing us with that kind of battle power?\Nappa,\take off your Scouter. response:	What?
context: Fine with me. You'll talk, even if I have to force it out of you!\981...\1220...\1083...\Miserable fools! You plan on facing us with that kind of battle power?\Nappa,\take off your Scouter.\What? response:	These guys can alter their battle powers in response to the battle.
context: 981...\1220...\1083...\Miserable fools! You plan on facing us with that kind of battle power?\Nappa,\take off your Scouter.\What?\These guys can alter their battle powers in response to the battle. response:	We can't rely on these values anymore.
context: 1220...\1083...\Miserable fools! You plan on facing us with that kind of battle power?\Nappa,\take off your Scouter.\What?\These guys can alter their battle powers in response to the battle.\We can't rely on these values anymore. response:	Now that you mention it, that's right.
context: 1083...\Miserable fools! You plan on facing us with that kind of battle power?\Nappa,\take off your Scouter.\What?\These guys can alter their battle powers in response to the battle.\We can't rely on these values anymore.\Now that you mention it, that's right. response:	That idiotic wimp Raditz got done in
context: Miserable fools! You plan on facing us with that kind of battle power?\Nappa,\take off your Scouter.\What?\These guys can alter their battle powers in response to the battle.\We can't rely on these values anymore.\Now that you mention it, that's right.\That idiotic wimp Raditz got done in response:	because he got overconfident in his Scouter's figures, after all.
context: Nappa,\take off your Scouter.\What?\These guys can alter their battle powers in response to the battle.\We can't rely on these values anymore.\Now that you mention it, that's right.\That idiotic wimp Raditz got done in\because he got overconfident in his Scouter's figures, after all. response:	T- that wimp Raditz ?
context: take off your Scouter.\What?\These guys can alter their battle powers in response to the battle.\We can't rely on these values anymore.\Now that you mention it, that's right.\That idiotic wimp Raditz got done in\because he got overconfident in his Scouter's figures, after all.\T- that wimp Raditz ? response:	R- Raditz was that Saiyan
context: What?\These guys can alter their battle powers in response to the battle.\We can't rely on these values anymore.\Now that you mention it, that's right.\That idiotic wimp Raditz got done in\because he got overconfident in his Scouter's figures, after all.\T- that wimp Raditz ?\R- Raditz was that Saiyan response:	that you and Goku barely managed to defeat together, right?
context: These guys can alter their battle powers in response to the battle.\We can't rely on these values anymore.\Now that you mention it, that's right.\That idiotic wimp Raditz got done in\because he got overconfident in his Scouter's figures, after all.\T- that wimp Raditz ?\R- Raditz was that Saiyan\that you and Goku barely managed to defeat together, right? response:	Wimp, huh?
context: We can't rely on these values anymore.\Now that you mention it, that's right.\That idiotic wimp Raditz got done in\because he got overconfident in his Scouter's figures, after all.\T- that wimp Raditz ?\R- Raditz was that Saiyan\that you and Goku barely managed to defeat together, right?\Wimp, huh? response:	I know- what do you say we have ourselves a look at what they are capable of?
context: Now that you mention it, that's right.\That idiotic wimp Raditz got done in\because he got overconfident in his Scouter's figures, after all.\T- that wimp Raditz ?\R- Raditz was that Saiyan\that you and Goku barely managed to defeat together, right?\Wimp, huh?\I know- what do you say we have ourselves a look at what they are capable of? response:	Hey, Nappa, there are still six Saibaimen left, right? Bring them out.
context: That idiotic wimp Raditz got done in\because he got overconfident in his Scouter's figures, after all.\T- that wimp Raditz ?\R- Raditz was that Saiyan\that you and Goku barely managed to defeat together, right?\Wimp, huh?\I know- what do you say we have ourselves a look at what they are capable of?\Hey, Nappa, there are still six Saibaimen left, right? Bring them out. response:	Vegeta, you sure do like having a good time, huh?
context: because he got overconfident in his Scouter's figures, after all.\T- that wimp Raditz ?\R- Raditz was that Saiyan\that you and Goku barely managed to defeat together, right?\Wimp, huh?\I know- what do you say we have ourselves a look at what they are capable of?\Hey, Nappa, there are still six Saibaimen left, right? Bring them out.\Vegeta, you sure do like having a good time, huh? response:	S- Saibaiman?
context: T- that wimp Raditz ?\R- Raditz was that Saiyan\that you and Goku barely managed to defeat together, right?\Wimp, huh?\I know- what do you say we have ourselves a look at what they are capable of?\Hey, Nappa, there are still six Saibaimen left, right? Bring them out.\Vegeta, you sure do like having a good time, huh?\S- Saibaiman? response:	W- what's that?
context: R- Raditz was that Saiyan\that you and Goku barely managed to defeat together, right?\Wimp, huh?\I know- what do you say we have ourselves a look at what they are capable of?\Hey, Nappa, there are still six Saibaimen left, right? Bring them out.\Vegeta, you sure do like having a good time, huh?\S- Saibaiman?\W- what's that? response:	Six of them, all right.
context: that you and Goku barely managed to defeat together, right?\Wimp, huh?\I know- what do you say we have ourselves a look at what they are capable of?\Hey, Nappa, there are still six Saibaimen left, right? Bring them out.\Vegeta, you sure do like having a good time, huh?\S- Saibaiman?\W- what's that?\Six of them, all right. response:	Once you see the Saibaimen,
context: Wimp, huh?\I know- what do you say we have ourselves a look at what they are capable of?\Hey, Nappa, there are still six Saibaimen left, right? Bring them out.\Vegeta, you sure do like having a good time, huh?\S- Saibaiman?\W- what's that?\Six of them, all right.\Once you see the Saibaimen, response:	I imagine you'll want to tell us about the Dragon Balls.
context: I know- what do you say we have ourselves a look at what they are capable of?\Hey, Nappa, there are still six Saibaimen left, right? Bring them out.\Vegeta, you sure do like having a good time, huh?\S- Saibaiman?\W- what's that?\Six of them, all right.\Once you see the Saibaimen,\I imagine you'll want to tell us about the Dragon Balls. response:	This soil will grow some fine Saibaimen.
context: Hey, Nappa, there are still six Saibaimen left, right? Bring them out.\Vegeta, you sure do like having a good time, huh?\S- Saibaiman?\W- what's that?\Six of them, all right.\Once you see the Saibaimen,\I imagine you'll want to tell us about the Dragon Balls.\This soil will grow some fine Saibaimen. response:	W- what is that?
context: Vegeta, you sure do like having a good time, huh?\S- Saibaiman?\W- what's that?\Six of them, all right.\Once you see the Saibaimen,\I imagine you'll want to tell us about the Dragon Balls.\This soil will grow some fine Saibaimen.\W- what is that? response:	All right!
context: S- Saibaiman?\W- what's that?\Six of them, all right.\Once you see the Saibaimen,\I imagine you'll want to tell us about the Dragon Balls.\This soil will grow some fine Saibaimen.\W- what is that?\All right! response:	T- those guys are creepy!
context: W- what's that?\Six of them, all right.\Once you see the Saibaimen,\I imagine you'll want to tell us about the Dragon Balls.\This soil will grow some fine Saibaimen.\W- what is that?\All right!\T- those guys are creepy! response:	T- these guys are pretty good!
context: Six of them, all right.\Once you see the Saibaimen,\I imagine you'll want to tell us about the Dragon Balls.\This soil will grow some fine Saibaimen.\W- what is that?\All right!\T- those guys are creepy!\T- these guys are pretty good! response:	So it would appear.
context: Once you see the Saibaimen,\I imagine you'll want to tell us about the Dragon Balls.\This soil will grow some fine Saibaimen.\W- what is that?\All right!\T- those guys are creepy!\T- these guys are pretty good!\So it would appear. response:	Those three are your targets. Do them some harm, Saibaimen.
context: I imagine you'll want to tell us about the Dragon Balls.\This soil will grow some fine Saibaimen.\W- what is that?\All right!\T- those guys are creepy!\T- these guys are pretty good!\So it would appear.\Those three are your targets. Do them some harm, Saibaimen. response:	Saibaimen, born of the soil...
context: This soil will grow some fine Saibaimen.\W- what is that?\All right!\T- those guys are creepy!\T- these guys are pretty good!\So it would appear.\Those three are your targets. Do them some harm, Saibaimen.\Saibaimen, born of the soil... response:	Their power is the real deal.
context: W- what is that?\All right!\T- those guys are creepy!\T- these guys are pretty good!\So it would appear.\Those three are your targets. Do them some harm, Saibaimen.\Saibaimen, born of the soil...\Their power is the real deal. response:	Will Gohan...
