context: Over a hundred years ago, response:	humanity suddenly found itself faced with a new predator.
context: That's ridiculous!\What is this about, anyway?\I came out of a Titan?\What are they talking about?! What the hell is going on?!\Wasn't that a dream?\If it wasn't...\Then my arm regrew where my clothes are missing...\That'd make me just like a Titan! response:	That's impossible...
context: What is this about, anyway?\I came out of a Titan?\What are they talking about?! What the hell is going on?!\Wasn't that a dream?\If it wasn't...\Then my arm regrew where my clothes are missing...\That'd make me just like a Titan!\That's impossible... response:	Why would I...
context: I came out of a Titan?\What are they talking about?! What the hell is going on?!\Wasn't that a dream?\If it wasn't...\Then my arm regrew where my clothes are missing...\That'd make me just like a Titan!\That's impossible...\Why would I... response:	Why?
context: What are they talking about?! What the hell is going on?!\Wasn't that a dream?\If it wasn't...\Then my arm regrew where my clothes are missing...\That'd make me just like a Titan!\That's impossible...\Why would I...\Why? response:	I'll ask you once more!
context: Wasn't that a dream?\If it wasn't...\Then my arm regrew where my clothes are missing...\That'd make me just like a Titan!\That's impossible...\Why would I...\Why?\I'll ask you once more! response:	What are you?!
context: If it wasn't...\Then my arm regrew where my clothes are missing...\That'd make me just like a Titan!\That's impossible...\Why would I...\Why?\I'll ask you once more!\What are you?! response:	I can't screw up my answer...
context: Then my arm regrew where my clothes are missing...\That'd make me just like a Titan!\That's impossible...\Why would I...\Why?\I'll ask you once more!\What are you?!\I can't screw up my answer... response:	I wouldn't be the only one to die.
context: That'd make me just like a Titan!\That's impossible...\Why would I...\Why?\I'll ask you once more!\What are you?!\I can't screw up my answer...\I wouldn't be the only one to die. response:	That's right.
context: That's impossible...\Why would I...\Why?\I'll ask you once more!\What are you?!\I can't screw up my answer...\I wouldn't be the only one to die.\That's right. response:	I've always been
context: Why would I...\Why?\I'll ask you once more!\What are you?!\I can't screw up my answer...\I wouldn't be the only one to die.\That's right.\I've always been response:	just like everyone else...
context: Why?\I'll ask you once more!\What are you?!\I can't screw up my answer...\I wouldn't be the only one to die.\That's right.\I've always been\just like everyone else... response:	A human!
context: I'll ask you once more!\What are you?!\I can't screw up my answer...\I wouldn't be the only one to die.\That's right.\I've always been\just like everyone else...\A human! response:	I see...
context: What are you?!\I can't screw up my answer...\I wouldn't be the only one to die.\That's right.\I've always been\just like everyone else...\A human!\I see... response:	Then don't hate me for this.
context: I can't screw up my answer...\I wouldn't be the only one to die.\That's right.\I've always been\just like everyone else...\A human!\I see...\Then don't hate me for this. response:	There's no avoiding it.
context: I wouldn't be the only one to die.\That's right.\I've always been\just like everyone else...\A human!\I see...\Then don't hate me for this.\There's no avoiding it. response:	No one can prove
context: That's right.\I've always been\just like everyone else...\A human!\I see...\Then don't hate me for this.\There's no avoiding it.\No one can prove response:	that they are not the devil.
context: I've always been\just like everyone else...\A human!\I see...\Then don't hate me for this.\There's no avoiding it.\No one can prove\that they are not the devil. response:	Eren! Armin!
context: just like everyone else...\A human!\I see...\Then don't hate me for this.\There's no avoiding it.\No one can prove\that they are not the devil.\Eren! Armin! response:	We're going up!
context: A human!\I see...\Then don't hate me for this.\There's no avoiding it.\No one can prove\that they are not the devil.\Eren! Armin!\We're going up! response:	Stop!
context: I see...\Then don't hate me for this.\There's no avoiding it.\No one can prove\that they are not the devil.\Eren! Armin!\We're going up!\Stop! response:	Eren...
context: Then don't hate me for this.\There's no avoiding it.\No one can prove\that they are not the devil.\Eren! Armin!\We're going up!\Stop!\Eren... response:	When I get back,
context: There's no avoiding it.\No one can prove\that they are not the devil.\Eren! Armin!\We're going up!\Stop!\Eren...\When I get back, response:	I'll show you what I've kept secret in the basement all this time.
context: No one can prove\that they are not the devil.\Eren! Armin!\We're going up!\Stop!\Eren...\When I get back,\I'll show you what I've kept secret in the basement all this time. response:	Never let go of this key.
context: that they are not the devil.\Eren! Armin!\We're going up!\Stop!\Eren...\When I get back,\I'll show you what I've kept secret in the basement all this time.\Never let go of this key. response:	And every time you see it,
context: Eren! Armin!\We're going up!\Stop!\Eren...\When I get back,\I'll show you what I've kept secret in the basement all this time.\Never let go of this key.\And every time you see it, response:	remember that you must go to the basement!
context: We're going up!\Stop!\Eren...\When I get back,\I'll show you what I've kept secret in the basement all this time.\Never let go of this key.\And every time you see it,\remember that you must go to the basement! response:	This shot will impair your memory.
context: Stop!\Eren...\When I get back,\I'll show you what I've kept secret in the basement all this time.\Never let go of this key.\And every time you see it,\remember that you must go to the basement!\This shot will impair your memory. response:	That's why I can't explain now...
context: Eren...\When I get back,\I'll show you what I've kept secret in the basement all this time.\Never let go of this key.\And every time you see it,\remember that you must go to the basement!\This shot will impair your memory.\That's why I can't explain now... response:	Listen to me.
context: When I get back,\I'll show you what I've kept secret in the basement all this time.\Never let go of this key.\And every time you see it,\remember that you must go to the basement!\This shot will impair your memory.\That's why I can't explain now...\Listen to me. response:	Take back Wall Maria and reach the basement.
context: I'll show you what I've kept secret in the basement all this time.\Never let go of this key.\And every time you see it,\remember that you must go to the basement!\This shot will impair your memory.\That's why I can't explain now...\Listen to me.\Take back Wall Maria and reach the basement. response:	This power will help you then!
context: Never let go of this key.\And every time you see it,\remember that you must go to the basement!\This shot will impair your memory.\That's why I can't explain now...\Listen to me.\Take back Wall Maria and reach the basement.\This power will help you then! response:	Their memories will tell you how to use it.
context: And every time you see it,\remember that you must go to the basement!\This shot will impair your memory.\That's why I can't explain now...\Listen to me.\Take back Wall Maria and reach the basement.\This power will help you then!\Their memories will tell you how to use it. response:	Eren!
context: remember that you must go to the basement!\This shot will impair your memory.\That's why I can't explain now...\Listen to me.\Take back Wall Maria and reach the basement.\This power will help you then!\Their memories will tell you how to use it.\Eren! response:	If you get to the basement someday, you'll learn the truth...
context: This shot will impair your memory.\That's why I can't explain now...\Listen to me.\Take back Wall Maria and reach the basement.\This power will help you then!\Their memories will tell you how to use it.\Eren!\If you get to the basement someday, you'll learn the truth... response:	The path will be harsh and cruel, but you must make it there!
context: That's why I can't explain now...\Listen to me.\Take back Wall Maria and reach the basement.\This power will help you then!\Their memories will tell you how to use it.\Eren!\If you get to the basement someday, you'll learn the truth...\The path will be harsh and cruel, but you must make it there! response:	If you want to save Mikasa, Armin, and everyone else,
context: Listen to me.\Take back Wall Maria and reach the basement.\This power will help you then!\Their memories will tell you how to use it.\Eren!\If you get to the basement someday, you'll learn the truth...\The path will be harsh and cruel, but you must make it there!\If you want to save Mikasa, Armin, and everyone else, response:	you must master this power!
context: Take back Wall Maria and reach the basement.\This power will help you then!\Their memories will tell you how to use it.\Eren!\If you get to the basement someday, you'll learn the truth...\The path will be harsh and cruel, but you must make it there!\If you want to save Mikasa, Armin, and everyone else,\you must master this power! response:	Did we get him?
context: This power will help you then!\Their memories will tell you how to use it.\Eren!\If you get to the basement someday, you'll learn the truth...\The path will be harsh and cruel, but you must make it there!\If you want to save Mikasa, Armin, and everyone else,\you must master this power!\Did we get him? response:	No...
context: Their memories will tell you how to use it.\Eren!\If you get to the basement someday, you'll learn the truth...\The path will be harsh and cruel, but you must make it there!\If you want to save Mikasa, Armin, and everyone else,\you must master this power!\Did we get him?\No... response:	Eren is not an enemy of humanity.
context: Eren!\If you get to the basement someday, you'll learn the truth...\The path will be harsh and cruel, but you must make it there!\If you want to save Mikasa, Armin, and everyone else,\you must master this power!\Did we get him?\No...\Eren is not an enemy of humanity. response:	Armin puts his life on the line to plead for Eren.
context: If you get to the basement someday, you'll learn the truth...\The path will be harsh and cruel, but you must make it there!\If you want to save Mikasa, Armin, and everyone else,\you must master this power!\Did we get him?\No...\Eren is not an enemy of humanity.\Armin puts his life on the line to plead for Eren. response:	However, consumed by terror, the Garrison is incapable of rational thought
context: The path will be harsh and cruel, but you must make it there!\If you want to save Mikasa, Armin, and everyone else,\you must master this power!\Did we get him?\No...\Eren is not an enemy of humanity.\Armin puts his life on the line to plead for Eren.\However, consumed by terror, the Garrison is incapable of rational thought response:	and orders Eren's execution.
context: If you want to save Mikasa, Armin, and everyone else,\you must master this power!\Did we get him?\No...\Eren is not an enemy of humanity.\Armin puts his life on the line to plead for Eren.\However, consumed by terror, the Garrison is incapable of rational thought\and orders Eren's execution. response:	Response The Battle for Trost (6)
