context: Captain's log, March 3rd. response:	DRAGONs appeared.
context: I can handle it myself, as always.\Dammit, all of you!\I've had enough, you stupid bitch!\This DRAGON isn't weak enough for you to handle by yourself.\You keep going off by yourself.\Listen to your commander if you don't want to die.\Yes.\Go straight up. response:	Adjust three degrees right, distance 20.
context: Dammit, all of you!\I've had enough, you stupid bitch!\This DRAGON isn't weak enough for you to handle by yourself.\You keep going off by yourself.\Listen to your commander if you don't want to die.\Yes.\Go straight up.\Adjust three degrees right, distance 20. response:	Which way was right, again?
context: I've had enough, you stupid bitch!\This DRAGON isn't weak enough for you to handle by yourself.\You keep going off by yourself.\Listen to your commander if you don't want to die.\Yes.\Go straight up.\Adjust three degrees right, distance 20.\Which way was right, again? response:	Other way.
context: This DRAGON isn't weak enough for you to handle by yourself.\You keep going off by yourself.\Listen to your commander if you don't want to die.\Yes.\Go straight up.\Adjust three degrees right, distance 20.\Which way was right, again?\Other way. response:	Hold position there.
context: You keep going off by yourself.\Listen to your commander if you don't want to die.\Yes.\Go straight up.\Adjust three degrees right, distance 20.\Which way was right, again?\Other way.\Hold position there. response:	I think I'm falling, right?
context: Listen to your commander if you don't want to die.\Yes.\Go straight up.\Adjust three degrees right, distance 20.\Which way was right, again?\Other way.\Hold position there.\I think I'm falling, right? response:	I am.
context: Yes.\Go straight up.\Adjust three degrees right, distance 20.\Which way was right, again?\Other way.\Hold position there.\I think I'm falling, right?\I am. response:	It's just your fever.
context: Go straight up.\Adjust three degrees right, distance 20.\Which way was right, again?\Other way.\Hold position there.\I think I'm falling, right?\I am.\It's just your fever. response:	Salia-chan, no.
context: Adjust three degrees right, distance 20.\Which way was right, again?\Other way.\Hold position there.\I think I'm falling, right?\I am.\It's just your fever.\Salia-chan, no. response:	Now, Ange.
context: Which way was right, again?\Other way.\Hold position there.\I think I'm falling, right?\I am.\It's just your fever.\Salia-chan, no.\Now, Ange. response:	Kick it!
context: Other way.\Hold position there.\I think I'm falling, right?\I am.\It's just your fever.\Salia-chan, no.\Now, Ange.\Kick it! response:	Kick it! Like you kicked me.
context: Hold position there.\I think I'm falling, right?\I am.\It's just your fever.\Salia-chan, no.\Now, Ange.\Kick it!\Kick it! Like you kicked me. response:	Finally.
context: I think I'm falling, right?\I am.\It's just your fever.\Salia-chan, no.\Now, Ange.\Kick it!\Kick it! Like you kicked me.\Finally. response:	You did it.
context: I am.\It's just your fever.\Salia-chan, no.\Now, Ange.\Kick it!\Kick it! Like you kicked me.\Finally.\You did it. response:	All units, finish it off.
context: It's just your fever.\Salia-chan, no.\Now, Ange.\Kick it!\Kick it! Like you kicked me.\Finally.\You did it.\All units, finish it off. response:	Attack!
context: Salia-chan, no.\Now, Ange.\Kick it!\Kick it! Like you kicked me.\Finally.\You did it.\All units, finish it off.\Attack! response:	So much money. I must be dreaming.
context: Now, Ange.\Kick it!\Kick it! Like you kicked me.\Finally.\You did it.\All units, finish it off.\Attack!\So much money. I must be dreaming. response:	It's not a dream.
context: Kick it!\Kick it! Like you kicked me.\Finally.\You did it.\All units, finish it off.\Attack!\So much money. I must be dreaming.\It's not a dream. response:	So little.
context: Kick it! Like you kicked me.\Finally.\You did it.\All units, finish it off.\Attack!\So much money. I must be dreaming.\It's not a dream.\So little. response:	All you did was break its horn.
context: Finally.\You did it.\All units, finish it off.\Attack!\So much money. I must be dreaming.\It's not a dream.\So little.\All you did was break its horn. response:	But we made it, thanks to you.
context: You did it.\All units, finish it off.\Attack!\So much money. I must be dreaming.\It's not a dream.\So little.\All you did was break its horn.\But we made it, thanks to you. response:	For my trouble.
context: All units, finish it off.\Attack!\So much money. I must be dreaming.\It's not a dream.\So little.\All you did was break its horn.\But we made it, thanks to you.\For my trouble. response:	I lost money because I followed your orders.
context: Attack!\So much money. I must be dreaming.\It's not a dream.\So little.\All you did was break its horn.\But we made it, thanks to you.\For my trouble.\I lost money because I followed your orders. response:	I take back my thanks.
context: So much money. I must be dreaming.\It's not a dream.\So little.\All you did was break its horn.\But we made it, thanks to you.\For my trouble.\I lost money because I followed your orders.\I take back my thanks. response:	Everyone will find out about your hobby.
context: It's not a dream.\So little.\All you did was break its horn.\But we made it, thanks to you.\For my trouble.\I lost money because I followed your orders.\I take back my thanks.\Everyone will find out about your hobby. response:	Spend the rest of your life in bed!
context: So little.\All you did was break its horn.\But we made it, thanks to you.\For my trouble.\I lost money because I followed your orders.\I take back my thanks.\Everyone will find out about your hobby.\Spend the rest of your life in bed! response:	How could you?
context: All you did was break its horn.\But we made it, thanks to you.\For my trouble.\I lost money because I followed your orders.\I take back my thanks.\Everyone will find out about your hobby.\Spend the rest of your life in bed!\How could you? response:	Are you happy?
context: But we made it, thanks to you.\For my trouble.\I lost money because I followed your orders.\I take back my thanks.\Everyone will find out about your hobby.\Spend the rest of your life in bed!\How could you?\Are you happy? response:	Y-Yeah.
context: For my trouble.\I lost money because I followed your orders.\I take back my thanks.\Everyone will find out about your hobby.\Spend the rest of your life in bed!\How could you?\Are you happy?\Y-Yeah. response:	It's because Ange came that we made so much money.
context: I lost money because I followed your orders.\I take back my thanks.\Everyone will find out about your hobby.\Spend the rest of your life in bed!\How could you?\Are you happy?\Y-Yeah.\It's because Ange came that we made so much money. response:	Well
context: I take back my thanks.\Everyone will find out about your hobby.\Spend the rest of your life in bed!\How could you?\Are you happy?\Y-Yeah.\It's because Ange came that we made so much money.\Well response:	Stop targeting Ange during combat.
context: Everyone will find out about your hobby.\Spend the rest of your life in bed!\How could you?\Are you happy?\Y-Yeah.\It's because Ange came that we made so much money.\Well\Stop targeting Ange during combat. response:	We've been through a lot, but we need to do what we can in this team.
context: Spend the rest of your life in bed!\How could you?\Are you happy?\Y-Yeah.\It's because Ange came that we made so much money.\Well\Stop targeting Ange during combat.\We've been through a lot, but we need to do what we can in this team. response:	Ange, stop hoarding all the earnings.
context: How could you?\Are you happy?\Y-Yeah.\It's because Ange came that we made so much money.\Well\Stop targeting Ange during combat.\We've been through a lot, but we need to do what we can in this team.\Ange, stop hoarding all the earnings. response:	You can make enough money without trying.
context: Are you happy?\Y-Yeah.\It's because Ange came that we made so much money.\Well\Stop targeting Ange during combat.\We've been through a lot, but we need to do what we can in this team.\Ange, stop hoarding all the earnings.\You can make enough money without trying. response:	Commander's orders.
context: Y-Yeah.\It's because Ange came that we made so much money.\Well\Stop targeting Ange during combat.\We've been through a lot, but we need to do what we can in this team.\Ange, stop hoarding all the earnings.\You can make enough money without trying.\Commander's orders. response:	Who'd listen to you?
context: It's because Ange came that we made so much money.\Well\Stop targeting Ange during combat.\We've been through a lot, but we need to do what we can in this team.\Ange, stop hoarding all the earnings.\You can make enough money without trying.\Commander's orders.\Who'd listen to you? response:	I don't mind, really.
context: Well\Stop targeting Ange during combat.\We've been through a lot, but we need to do what we can in this team.\Ange, stop hoarding all the earnings.\You can make enough money without trying.\Commander's orders.\Who'd listen to you?\I don't mind, really. response:	As long as you don't drag me down.
context: Stop targeting Ange during combat.\We've been through a lot, but we need to do what we can in this team.\Ange, stop hoarding all the earnings.\You can make enough money without trying.\Commander's orders.\Who'd listen to you?\I don't mind, really.\As long as you don't drag me down. response:	I don't mind, either.
context: We've been through a lot, but we need to do what we can in this team.\Ange, stop hoarding all the earnings.\You can make enough money without trying.\Commander's orders.\Who'd listen to you?\I don't mind, really.\As long as you don't drag me down.\I don't mind, either. response:	I would have been dead if Ange didn't come for us.
context: Ange, stop hoarding all the earnings.\You can make enough money without trying.\Commander's orders.\Who'd listen to you?\I don't mind, really.\As long as you don't drag me down.\I don't mind, either.\I would have been dead if Ange didn't come for us. response:	Um...
context: You can make enough money without trying.\Commander's orders.\Who'd listen to you?\I don't mind, really.\As long as you don't drag me down.\I don't mind, either.\I would have been dead if Ange didn't come for us.\Um... response:	Well, as long as we have this money.
context: Commander's orders.\Who'd listen to you?\I don't mind, really.\As long as you don't drag me down.\I don't mind, either.\I would have been dead if Ange didn't come for us.\Um...\Well, as long as we have this money. response:	How can you let yourselves be deceived like that?
context: Who'd listen to you?\I don't mind, really.\As long as you don't drag me down.\I don't mind, either.\I would have been dead if Ange didn't come for us.\Um...\Well, as long as we have this money.\How can you let yourselves be deceived like that? response:	Th-That's not it, really.
context: I don't mind, really.\As long as you don't drag me down.\I don't mind, either.\I would have been dead if Ange didn't come for us.\Um...\Well, as long as we have this money.\How can you let yourselves be deceived like that?\Th-That's not it, really. response:	Traitors.
context: As long as you don't drag me down.\I don't mind, either.\I would have been dead if Ange didn't come for us.\Um...\Well, as long as we have this money.\How can you let yourselves be deceived like that?\Th-That's not it, really.\Traitors. response:	Hilda.
context: I don't mind, either.\I would have been dead if Ange didn't come for us.\Um...\Well, as long as we have this money.\How can you let yourselves be deceived like that?\Th-That's not it, really.\Traitors.\Hilda. response:	Perfect.
context: I would have been dead if Ange didn't come for us.\Um...\Well, as long as we have this money.\How can you let yourselves be deceived like that?\Th-That's not it, really.\Traitors.\Hilda.\Perfect. response:	Let's get going, then.
context: Um...\Well, as long as we have this money.\How can you let yourselves be deceived like that?\Th-That's not it, really.\Traitors.\Hilda.\Perfect.\Let's get going, then. response:	One, two
context: Well, as long as we have this money.\How can you let yourselves be deceived like that?\Th-That's not it, really.\Traitors.\Hilda.\Perfect.\Let's get going, then.\One, two response:	Wh-What was that for?
context: How can you let yourselves be deceived like that?\Th-That's not it, really.\Traitors.\Hilda.\Perfect.\Let's get going, then.\One, two\Wh-What was that for? response:	To wash away everything that happened before.
context: Th-That's not it, really.\Traitors.\Hilda.\Perfect.\Let's get going, then.\One, two\Wh-What was that for?\To wash away everything that happened before. response:	Wait, hey.
context: Traitors.\Hilda.\Perfect.\Let's get going, then.\One, two\Wh-What was that for?\To wash away everything that happened before.\Wait, hey. response:	Captain's log, March 7th.
context: Hilda.\Perfect.\Let's get going, then.\One, two\Wh-What was that for?\To wash away everything that happened before.\Wait, hey.\Captain's log, March 7th. response:	We defeated the DRAGONs again.
context: Perfect.\Let's get going, then.\One, two\Wh-What was that for?\To wash away everything that happened before.\Wait, hey.\Captain's log, March 7th.\We defeated the DRAGONs again. response:	Ange will pilot the Villkiss.
context: Let's get going, then.\One, two\Wh-What was that for?\To wash away everything that happened before.\Wait, hey.\Captain's log, March 7th.\We defeated the DRAGONs again.\Ange will pilot the Villkiss. response:	I'm not entirely convinced, but that's fine for now.
context: One, two\Wh-What was that for?\To wash away everything that happened before.\Wait, hey.\Captain's log, March 7th.\We defeated the DRAGONs again.\Ange will pilot the Villkiss.\I'm not entirely convinced, but that's fine for now. response:	I will do what I need to do as captain.
context: Wh-What was that for?\To wash away everything that happened before.\Wait, hey.\Captain's log, March 7th.\We defeated the DRAGONs again.\Ange will pilot the Villkiss.\I'm not entirely convinced, but that's fine for now.\I will do what I need to do as captain. response:	Until the day of Libertus.
context: To wash away everything that happened before.\Wait, hey.\Captain's log, March 7th.\We defeated the DRAGONs again.\Ange will pilot the Villkiss.\I'm not entirely convinced, but that's fine for now.\I will do what I need to do as captain.\Until the day of Libertus. response:	Log complete.
context: Wait, hey.\Captain's log, March 7th.\We defeated the DRAGONs again.\Ange will pilot the Villkiss.\I'm not entirely convinced, but that's fine for now.\I will do what I need to do as captain.\Until the day of Libertus.\Log complete. response:	Once again today, casualties are zero.
context: Captain's log, March 7th.\We defeated the DRAGONs again.\Ange will pilot the Villkiss.\I'm not entirely convinced, but that's fine for now.\I will do what I need to do as captain.\Until the day of Libertus.\Log complete.\Once again today, casualties are zero. response:	Damn, I went through hell.
context: We defeated the DRAGONs again.\Ange will pilot the Villkiss.\I'm not entirely convinced, but that's fine for now.\I will do what I need to do as captain.\Until the day of Libertus.\Log complete.\Once again today, casualties are zero.\Damn, I went through hell. response:	I'm glad, though.
context: Ange will pilot the Villkiss.\I'm not entirely convinced, but that's fine for now.\I will do what I need to do as captain.\Until the day of Libertus.\Log complete.\Once again today, casualties are zero.\Damn, I went through hell.\I'm glad, though. response:	Your fever's gone, too.
context: I'm not entirely convinced, but that's fine for now.\I will do what I need to do as captain.\Until the day of Libertus.\Log complete.\Once again today, casualties are zero.\Damn, I went through hell.\I'm glad, though.\Your fever's gone, too. response:	What's wrong?
context: I will do what I need to do as captain.\Until the day of Libertus.\Log complete.\Once again today, casualties are zero.\Damn, I went through hell.\I'm glad, though.\Your fever's gone, too.\What's wrong? response:	A Mana message.
context: Until the day of Libertus.\Log complete.\Once again today, casualties are zero.\Damn, I went through hell.\I'm glad, though.\Your fever's gone, too.\What's wrong?\A Mana message. response:	It's the imperial court secret channel.
context: Log complete.\Once again today, casualties are zero.\Damn, I went through hell.\I'm glad, though.\Your fever's gone, too.\What's wrong?\A Mana message.\It's the imperial court secret channel. response:	Momoka, can you hear me?
context: Once again today, casualties are zero.\Damn, I went through hell.\I'm glad, though.\Your fever's gone, too.\What's wrong?\A Mana message.\It's the imperial court secret channel.\Momoka, can you hear me? response:	Momoka.
context: Damn, I went through hell.\I'm glad, though.\Your fever's gone, too.\What's wrong?\A Mana message.\It's the imperial court secret channel.\Momoka, can you hear me?\Momoka. response:	Sylvia-sama.
context: I'm glad, though.\Your fever's gone, too.\What's wrong?\A Mana message.\It's the imperial court secret channel.\Momoka, can you hear me?\Momoka.\Sylvia-sama. response:	Sylvia.
context: Your fever's gone, too.\What's wrong?\A Mana message.\It's the imperial court secret channel.\Momoka, can you hear me?\Momoka.\Sylvia-sama.\Sylvia. response:	Did you find Angelise-oneesama?
context: What's wrong?\A Mana message.\It's the imperial court secret channel.\Momoka, can you hear me?\Momoka.\Sylvia-sama.\Sylvia.\Did you find Angelise-oneesama? response:	Is Onee-sama there?
context: A Mana message.\It's the imperial court secret channel.\Momoka, can you hear me?\Momoka.\Sylvia-sama.\Sylvia.\Did you find Angelise-oneesama?\Is Onee-sama there? response:	Let go.
context: It's the imperial court secret channel.\Momoka, can you hear me?\Momoka.\Sylvia-sama.\Sylvia.\Did you find Angelise-oneesama?\Is Onee-sama there?\Let go. response:	Help me, Onee-sama.
context: Momoka, can you hear me?\Momoka.\Sylvia-sama.\Sylvia.\Did you find Angelise-oneesama?\Is Onee-sama there?\Let go.\Help me, Onee-sama. response:	Angelise-oneesama!
context: Momoka.\Sylvia-sama.\Sylvia.\Did you find Angelise-oneesama?\Is Onee-sama there?\Let go.\Help me, Onee-sama.\Angelise-oneesama! response:	Sylvia.
context: Sylvia-sama.\Sylvia.\Did you find Angelise-oneesama?\Is Onee-sama there?\Let go.\Help me, Onee-sama.\Angelise-oneesama!\Sylvia. response:	Next Episode
context: Sylvia.\Did you find Angelise-oneesama?\Is Onee-sama there?\Let go.\Help me, Onee-sama.\Angelise-oneesama!\Sylvia.\Next Episode response:	Captain's log, addendum.
context: Did you find Angelise-oneesama?\Is Onee-sama there?\Let go.\Help me, Onee-sama.\Angelise-oneesama!\Sylvia.\Next Episode\Captain's log, addendum. response:	My secret was exposed today.
context: Is Onee-sama there?\Let go.\Help me, Onee-sama.\Angelise-oneesama!\Sylvia.\Next Episode\Captain's log, addendum.\My secret was exposed today. response:	My secret thing that I do in my own room...
context: Let go.\Help me, Onee-sama.\Angelise-oneesama!\Sylvia.\Next Episode\Captain's log, addendum.\My secret was exposed today.\My secret thing that I do in my own room... response:	Horrible script writers that enjoy exposing someone's privacy like that...
context: Help me, Onee-sama.\Angelise-oneesama!\Sylvia.\Next Episode\Captain's log, addendum.\My secret was exposed today.\My secret thing that I do in my own room...\Horrible script writers that enjoy exposing someone's privacy like that... response:	Bikini Escape
context: Angelise-oneesama!\Sylvia.\Next Episode\Captain's log, addendum.\My secret was exposed today.\My secret thing that I do in my own room...\Horrible script writers that enjoy exposing someone's privacy like that...\Bikini Escape response:	I'll strike them down with my shining love energy!
