context: No! response:	I-I'm sorry...
context: Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\This one deserves nothing!!\I see...\So that's what Shishio's been saying.\Gramps,\do you think the saltflake snowfall and the cold is just temporary?\Or do you think it's going to stay like this?\Well... response:	I don't think it's something that can be helped within a single lifetime.
context: This one deserves nothing!!\I see...\So that's what Shishio's been saying.\Gramps,\do you think the saltflake snowfall and the cold is just temporary?\Or do you think it's going to stay like this?\Well...\I don't think it's something that can be helped within a single lifetime. response:	Weather and environmental changes
context: I see...\So that's what Shishio's been saying.\Gramps,\do you think the saltflake snowfall and the cold is just temporary?\Or do you think it's going to stay like this?\Well...\I don't think it's something that can be helped within a single lifetime.\Weather and environmental changes response:	can be good or bad, depending on how the affected side sees it.
context: So that's what Shishio's been saying.\Gramps,\do you think the saltflake snowfall and the cold is just temporary?\Or do you think it's going to stay like this?\Well...\I don't think it's something that can be helped within a single lifetime.\Weather and environmental changes\can be good or bad, depending on how the affected side sees it. response:	There might be something somewhere in nature that is enjoying the saltflake snow.
context: Gramps,\do you think the saltflake snowfall and the cold is just temporary?\Or do you think it's going to stay like this?\Well...\I don't think it's something that can be helped within a single lifetime.\Weather and environmental changes\can be good or bad, depending on how the affected side sees it.\There might be something somewhere in nature that is enjoying the saltflake snow. response:	It just happens that for humans, it was a bad change.
context: do you think the saltflake snowfall and the cold is just temporary?\Or do you think it's going to stay like this?\Well...\I don't think it's something that can be helped within a single lifetime.\Weather and environmental changes\can be good or bad, depending on how the affected side sees it.\There might be something somewhere in nature that is enjoying the saltflake snow.\It just happens that for humans, it was a bad change. response:	Does everyone have a drink now?
context: Or do you think it's going to stay like this?\Well...\I don't think it's something that can be helped within a single lifetime.\Weather and environmental changes\can be good or bad, depending on how the affected side sees it.\There might be something somewhere in nature that is enjoying the saltflake snow.\It just happens that for humans, it was a bad change.\Does everyone have a drink now? response:	Yeah!
context: Well...\I don't think it's something that can be helped within a single lifetime.\Weather and environmental changes\can be good or bad, depending on how the affected side sees it.\There might be something somewhere in nature that is enjoying the saltflake snow.\It just happens that for humans, it was a bad change.\Does everyone have a drink now?\Yeah! response:	Yep!
context: I don't think it's something that can be helped within a single lifetime.\Weather and environmental changes\can be good or bad, depending on how the affected side sees it.\There might be something somewhere in nature that is enjoying the saltflake snow.\It just happens that for humans, it was a bad change.\Does everyone have a drink now?\Yeah!\Yep! response:	Now, Tomoru, you should say a few words.
context: Weather and environmental changes\can be good or bad, depending on how the affected side sees it.\There might be something somewhere in nature that is enjoying the saltflake snow.\It just happens that for humans, it was a bad change.\Does everyone have a drink now?\Yeah!\Yep!\Now, Tomoru, you should say a few words. response:	Why?
context: can be good or bad, depending on how the affected side sees it.\There might be something somewhere in nature that is enjoying the saltflake snow.\It just happens that for humans, it was a bad change.\Does everyone have a drink now?\Yeah!\Yep!\Now, Tomoru, you should say a few words.\Why? response:	Because you're the Chief Priest.
context: There might be something somewhere in nature that is enjoying the saltflake snow.\It just happens that for humans, it was a bad change.\Does everyone have a drink now?\Yeah!\Yep!\Now, Tomoru, you should say a few words.\Why?\Because you're the Chief Priest. response:	Come on!
context: It just happens that for humans, it was a bad change.\Does everyone have a drink now?\Yeah!\Yep!\Now, Tomoru, you should say a few words.\Why?\Because you're the Chief Priest.\Come on! response:	Come on!
context: Does everyone have a drink now?\Yeah!\Yep!\Now, Tomoru, you should say a few words.\Why?\Because you're the Chief Priest.\Come on!\Come on! response:	Sing!
context: Yeah!\Yep!\Now, Tomoru, you should say a few words.\Why?\Because you're the Chief Priest.\Come on!\Come on!\Sing! response:	Um... Thanks for...
context: Yep!\Now, Tomoru, you should say a few words.\Why?\Because you're the Chief Priest.\Come on!\Come on!\Sing!\Um... Thanks for... response:	I'm not good at this, but
context: Now, Tomoru, you should say a few words.\Why?\Because you're the Chief Priest.\Come on!\Come on!\Sing!\Um... Thanks for...\I'm not good at this, but response:	Cheers!
context: Why?\Because you're the Chief Priest.\Come on!\Come on!\Sing!\Um... Thanks for...\I'm not good at this, but\Cheers! response:	Cheers!
context: Because you're the Chief Priest.\Come on!\Come on!\Sing!\Um... Thanks for...\I'm not good at this, but\Cheers!\Cheers! response:	Manaka.
context: Come on!\Come on!\Sing!\Um... Thanks for...\I'm not good at this, but\Cheers!\Cheers!\Manaka. response:	The ends of rolled sushi are good, huh?
context: Come on!\Sing!\Um... Thanks for...\I'm not good at this, but\Cheers!\Cheers!\Manaka.\The ends of rolled sushi are good, huh? response:	Y-Yeah...
context: Sing!\Um... Thanks for...\I'm not good at this, but\Cheers!\Cheers!\Manaka.\The ends of rolled sushi are good, huh?\Y-Yeah... response:	You've been weird since the other day.
context: Um... Thanks for...\I'm not good at this, but\Cheers!\Cheers!\Manaka.\The ends of rolled sushi are good, huh?\Y-Yeah...\You've been weird since the other day. response:	Is something wrong?
context: I'm not good at this, but\Cheers!\Cheers!\Manaka.\The ends of rolled sushi are good, huh?\Y-Yeah...\You've been weird since the other day.\Is something wrong? response:	Really? I've been normal.
context: Cheers!\Cheers!\Manaka.\The ends of rolled sushi are good, huh?\Y-Yeah...\You've been weird since the other day.\Is something wrong?\Really? I've been normal. response:	Could you take care of this?
context: Cheers!\Manaka.\The ends of rolled sushi are good, huh?\Y-Yeah...\You've been weird since the other day.\Is something wrong?\Really? I've been normal.\Could you take care of this? response:	Oh, thanks.
context: Manaka.\The ends of rolled sushi are good, huh?\Y-Yeah...\You've been weird since the other day.\Is something wrong?\Really? I've been normal.\Could you take care of this?\Oh, thanks. response:	Chisaki-chan, I have a favor to ask you.
context: The ends of rolled sushi are good, huh?\Y-Yeah...\You've been weird since the other day.\Is something wrong?\Really? I've been normal.\Could you take care of this?\Oh, thanks.\Chisaki-chan, I have a favor to ask you. response:	What's that?
context: Y-Yeah...\You've been weird since the other day.\Is something wrong?\Really? I've been normal.\Could you take care of this?\Oh, thanks.\Chisaki-chan, I have a favor to ask you.\What's that? response:	If you happen to wake up before I do,
context: You've been weird since the other day.\Is something wrong?\Really? I've been normal.\Could you take care of this?\Oh, thanks.\Chisaki-chan, I have a favor to ask you.\What's that?\If you happen to wake up before I do, response:	could you feed my sea rhododendrons?
context: Is something wrong?\Really? I've been normal.\Could you take care of this?\Oh, thanks.\Chisaki-chan, I have a favor to ask you.\What's that?\If you happen to wake up before I do,\could you feed my sea rhododendrons? response:	Before?
context: Really? I've been normal.\Could you take care of this?\Oh, thanks.\Chisaki-chan, I have a favor to ask you.\What's that?\If you happen to wake up before I do,\could you feed my sea rhododendrons?\Before? response:	My late husband really loved those.
context: Could you take care of this?\Oh, thanks.\Chisaki-chan, I have a favor to ask you.\What's that?\If you happen to wake up before I do,\could you feed my sea rhododendrons?\Before?\My late husband really loved those. response:	If they were wilted when I woke up, he'd be very sad.
context: Oh, thanks.\Chisaki-chan, I have a favor to ask you.\What's that?\If you happen to wake up before I do,\could you feed my sea rhododendrons?\Before?\My late husband really loved those.\If they were wilted when I woke up, he'd be very sad. response:	If I wake up before you,
context: Chisaki-chan, I have a favor to ask you.\What's that?\If you happen to wake up before I do,\could you feed my sea rhododendrons?\Before?\My late husband really loved those.\If they were wilted when I woke up, he'd be very sad.\If I wake up before you, response:	I'll make sure to take care of your plants.
context: What's that?\If you happen to wake up before I do,\could you feed my sea rhododendrons?\Before?\My late husband really loved those.\If they were wilted when I woke up, he'd be very sad.\If I wake up before you,\I'll make sure to take care of your plants. response:	Sure.
context: If you happen to wake up before I do,\could you feed my sea rhododendrons?\Before?\My late husband really loved those.\If they were wilted when I woke up, he'd be very sad.\If I wake up before you,\I'll make sure to take care of your plants.\Sure. response:	Thank goodness.
context: could you feed my sea rhododendrons?\Before?\My late husband really loved those.\If they were wilted when I woke up, he'd be very sad.\If I wake up before you,\I'll make sure to take care of your plants.\Sure.\Thank goodness. response:	At my age, I don't even know if I'll be able to wake up after all this...
context: Before?\My late husband really loved those.\If they were wilted when I woke up, he'd be very sad.\If I wake up before you,\I'll make sure to take care of your plants.\Sure.\Thank goodness.\At my age, I don't even know if I'll be able to wake up after all this... response:	Isn't everyone going to sleep together and waking up together?
context: My late husband really loved those.\If they were wilted when I woke up, he'd be very sad.\If I wake up before you,\I'll make sure to take care of your plants.\Sure.\Thank goodness.\At my age, I don't even know if I'll be able to wake up after all this...\Isn't everyone going to sleep together and waking up together? response:	Huh?
context: If they were wilted when I woke up, he'd be very sad.\If I wake up before you,\I'll make sure to take care of your plants.\Sure.\Thank goodness.\At my age, I don't even know if I'll be able to wake up after all this...\Isn't everyone going to sleep together and waking up together?\Huh? response:	You mean that someone might wake up before everyone else,
context: If I wake up before you,\I'll make sure to take care of your plants.\Sure.\Thank goodness.\At my age, I don't even know if I'll be able to wake up after all this...\Isn't everyone going to sleep together and waking up together?\Huh?\You mean that someone might wake up before everyone else, response:	or everyone else might wake up and someone might not?
context: I'll make sure to take care of your plants.\Sure.\Thank goodness.\At my age, I don't even know if I'll be able to wake up after all this...\Isn't everyone going to sleep together and waking up together?\Huh?\You mean that someone might wake up before everyone else,\or everyone else might wake up and someone might not? response:	I'm not sure...
context: Sure.\Thank goodness.\At my age, I don't even know if I'll be able to wake up after all this...\Isn't everyone going to sleep together and waking up together?\Huh?\You mean that someone might wake up before everyone else,\or everyone else might wake up and someone might not?\I'm not sure... response:	I think Uroko-sama will probably wake us up, though.
context: Thank goodness.\At my age, I don't even know if I'll be able to wake up after all this...\Isn't everyone going to sleep together and waking up together?\Huh?\You mean that someone might wake up before everyone else,\or everyone else might wake up and someone might not?\I'm not sure...\I think Uroko-sama will probably wake us up, though. response:	When?
context: At my age, I don't even know if I'll be able to wake up after all this...\Isn't everyone going to sleep together and waking up together?\Huh?\You mean that someone might wake up before everyone else,\or everyone else might wake up and someone might not?\I'm not sure...\I think Uroko-sama will probably wake us up, though.\When? response:	Probably after the saltflake snow stops
context: Isn't everyone going to sleep together and waking up together?\Huh?\You mean that someone might wake up before everyone else,\or everyone else might wake up and someone might not?\I'm not sure...\I think Uroko-sama will probably wake us up, though.\When?\Probably after the saltflake snow stops response:	and people can survive again.
context: Huh?\You mean that someone might wake up before everyone else,\or everyone else might wake up and someone might not?\I'm not sure...\I think Uroko-sama will probably wake us up, though.\When?\Probably after the saltflake snow stops\and people can survive again. response:	So when is that?
context: You mean that someone might wake up before everyone else,\or everyone else might wake up and someone might not?\I'm not sure...\I think Uroko-sama will probably wake us up, though.\When?\Probably after the saltflake snow stops\and people can survive again.\So when is that? response:	How would I know something like that?
context: or everyone else might wake up and someone might not?\I'm not sure...\I think Uroko-sama will probably wake us up, though.\When?\Probably after the saltflake snow stops\and people can survive again.\So when is that?\How would I know something like that? response:	You didn't ask Uroko-sama, Manaka?
context: I'm not sure...\I think Uroko-sama will probably wake us up, though.\When?\Probably after the saltflake snow stops\and people can survive again.\So when is that?\How would I know something like that?\You didn't ask Uroko-sama, Manaka? response:	Chisaki-chan, where's the rolled sushi?
context: I think Uroko-sama will probably wake us up, though.\When?\Probably after the saltflake snow stops\and people can survive again.\So when is that?\How would I know something like that?\You didn't ask Uroko-sama, Manaka?\Chisaki-chan, where's the rolled sushi? response:	Oh, I'll bring it right now.
context: When?\Probably after the saltflake snow stops\and people can survive again.\So when is that?\How would I know something like that?\You didn't ask Uroko-sama, Manaka?\Chisaki-chan, where's the rolled sushi?\Oh, I'll bring it right now. response:	Why isn't Akari coming?
context: Probably after the saltflake snow stops\and people can survive again.\So when is that?\How would I know something like that?\You didn't ask Uroko-sama, Manaka?\Chisaki-chan, where's the rolled sushi?\Oh, I'll bring it right now.\Why isn't Akari coming? response:	I don't know.
context: and people can survive again.\So when is that?\How would I know something like that?\You didn't ask Uroko-sama, Manaka?\Chisaki-chan, where's the rolled sushi?\Oh, I'll bring it right now.\Why isn't Akari coming?\I don't know. response:	And I even steamed seaweed...
context: So when is that?\How would I know something like that?\You didn't ask Uroko-sama, Manaka?\Chisaki-chan, where's the rolled sushi?\Oh, I'll bring it right now.\Why isn't Akari coming?\I don't know.\And I even steamed seaweed... response:	Why're you eating by yourself like that, Manaka?
context: How would I know something like that?\You didn't ask Uroko-sama, Manaka?\Chisaki-chan, where's the rolled sushi?\Oh, I'll bring it right now.\Why isn't Akari coming?\I don't know.\And I even steamed seaweed...\Why're you eating by yourself like that, Manaka? response:	W-Well...
context: You didn't ask Uroko-sama, Manaka?\Chisaki-chan, where's the rolled sushi?\Oh, I'll bring it right now.\Why isn't Akari coming?\I don't know.\And I even steamed seaweed...\Why're you eating by yourself like that, Manaka?\W-Well... response:	Shishio's future is all up to you guys.
context: Chisaki-chan, where's the rolled sushi?\Oh, I'll bring it right now.\Why isn't Akari coming?\I don't know.\And I even steamed seaweed...\Why're you eating by yourself like that, Manaka?\W-Well...\Shishio's future is all up to you guys. response:	You know that, right?
context: Oh, I'll bring it right now.\Why isn't Akari coming?\I don't know.\And I even steamed seaweed...\Why're you eating by yourself like that, Manaka?\W-Well...\Shishio's future is all up to you guys.\You know that, right? response:	Um...
context: Why isn't Akari coming?\I don't know.\And I even steamed seaweed...\Why're you eating by yourself like that, Manaka?\W-Well...\Shishio's future is all up to you guys.\You know that, right?\Um... response:	When we wake up,
context: I don't know.\And I even steamed seaweed...\Why're you eating by yourself like that, Manaka?\W-Well...\Shishio's future is all up to you guys.\You know that, right?\Um...\When we wake up, response:	the youngins need to be full of energy to pop out kids left and right.
context: And I even steamed seaweed...\Why're you eating by yourself like that, Manaka?\W-Well...\Shishio's future is all up to you guys.\You know that, right?\Um...\When we wake up,\the youngins need to be full of energy to pop out kids left and right. response:	P-Pop?!
context: Why're you eating by yourself like that, Manaka?\W-Well...\Shishio's future is all up to you guys.\You know that, right?\Um...\When we wake up,\the youngins need to be full of energy to pop out kids left and right.\P-Pop?! response:	It doesn't matter whose seed it is.
context: W-Well...\Shishio's future is all up to you guys.\You know that, right?\Um...\When we wake up,\the youngins need to be full of energy to pop out kids left and right.\P-Pop?!\It doesn't matter whose seed it is. response:	Make the babies.
context: Shishio's future is all up to you guys.\You know that, right?\Um...\When we wake up,\the youngins need to be full of energy to pop out kids left and right.\P-Pop?!\It doesn't matter whose seed it is.\Make the babies. response:	Make babies from Shioshishio who have Ena!
context: You know that, right?\Um...\When we wake up,\the youngins need to be full of energy to pop out kids left and right.\P-Pop?!\It doesn't matter whose seed it is.\Make the babies.\Make babies from Shioshishio who have Ena! response:	You need to work harder and fatten up a little more, Manaka.
context: Um...\When we wake up,\the youngins need to be full of energy to pop out kids left and right.\P-Pop?!\It doesn't matter whose seed it is.\Make the babies.\Make babies from Shioshishio who have Ena!\You need to work harder and fatten up a little more, Manaka. response:	You've still got a ways to go.
context: When we wake up,\the youngins need to be full of energy to pop out kids left and right.\P-Pop?!\It doesn't matter whose seed it is.\Make the babies.\Make babies from Shioshishio who have Ena!\You need to work harder and fatten up a little more, Manaka.\You've still got a ways to go. response:	This is the last. Drink.
context: the youngins need to be full of energy to pop out kids left and right.\P-Pop?!\It doesn't matter whose seed it is.\Make the babies.\Make babies from Shioshishio who have Ena!\You need to work harder and fatten up a little more, Manaka.\You've still got a ways to go.\This is the last. Drink. response:	Um... I'd prefer some tea...
context: P-Pop?!\It doesn't matter whose seed it is.\Make the babies.\Make babies from Shioshishio who have Ena!\You need to work harder and fatten up a little more, Manaka.\You've still got a ways to go.\This is the last. Drink.\Um... I'd prefer some tea... response:	Come on, just drink!
context: It doesn't matter whose seed it is.\Make the babies.\Make babies from Shioshishio who have Ena!\You need to work harder and fatten up a little more, Manaka.\You've still got a ways to go.\This is the last. Drink.\Um... I'd prefer some tea...\Come on, just drink! response:	I think you've had enough to drink.
context: Make the babies.\Make babies from Shioshishio who have Ena!\You need to work harder and fatten up a little more, Manaka.\You've still got a ways to go.\This is the last. Drink.\Um... I'd prefer some tea...\Come on, just drink!\I think you've had enough to drink. response:	Look at you, Hikari, all grown up.
context: Make babies from Shioshishio who have Ena!\You need to work harder and fatten up a little more, Manaka.\You've still got a ways to go.\This is the last. Drink.\Um... I'd prefer some tea...\Come on, just drink!\I think you've had enough to drink.\Look at you, Hikari, all grown up. response:	I'll drink this.
context: You need to work harder and fatten up a little more, Manaka.\You've still got a ways to go.\This is the last. Drink.\Um... I'd prefer some tea...\Come on, just drink!\I think you've had enough to drink.\Look at you, Hikari, all grown up.\I'll drink this. response:	Like hell!
context: You've still got a ways to go.\This is the last. Drink.\Um... I'd prefer some tea...\Come on, just drink!\I think you've had enough to drink.\Look at you, Hikari, all grown up.\I'll drink this.\Like hell! response:	I'll drink it rather than let someone like you have it.
context: This is the last. Drink.\Um... I'd prefer some tea...\Come on, just drink!\I think you've had enough to drink.\Look at you, Hikari, all grown up.\I'll drink this.\Like hell!\I'll drink it rather than let someone like you have it. response:	Give it back!
context: Um... I'd prefer some tea...\Come on, just drink!\I think you've had enough to drink.\Look at you, Hikari, all grown up.\I'll drink this.\Like hell!\I'll drink it rather than let someone like you have it.\Give it back! response:	Don't believe what those surface people have to say.
context: Come on, just drink!\I think you've had enough to drink.\Look at you, Hikari, all grown up.\I'll drink this.\Like hell!\I'll drink it rather than let someone like you have it.\Give it back!\Don't believe what those surface people have to say. response:	I won't be able to go to the surface if I'm sleeping.
context: I think you've had enough to drink.\Look at you, Hikari, all grown up.\I'll drink this.\Like hell!\I'll drink it rather than let someone like you have it.\Give it back!\Don't believe what those surface people have to say.\I won't be able to go to the surface if I'm sleeping. response:	You idiot!
context: Look at you, Hikari, all grown up.\I'll drink this.\Like hell!\I'll drink it rather than let someone like you have it.\Give it back!\Don't believe what those surface people have to say.\I won't be able to go to the surface if I'm sleeping.\You idiot! response:	Want some?
context: I'll drink this.\Like hell!\I'll drink it rather than let someone like you have it.\Give it back!\Don't believe what those surface people have to say.\I won't be able to go to the surface if I'm sleeping.\You idiot!\Want some? response:	Chisaki made them.
context: Like hell!\I'll drink it rather than let someone like you have it.\Give it back!\Don't believe what those surface people have to say.\I won't be able to go to the surface if I'm sleeping.\You idiot!\Want some?\Chisaki made them. response:	They're really good.
context: I'll drink it rather than let someone like you have it.\Give it back!\Don't believe what those surface people have to say.\I won't be able to go to the surface if I'm sleeping.\You idiot!\Want some?\Chisaki made them.\They're really good. response:	I know.
context: Give it back!\Don't believe what those surface people have to say.\I won't be able to go to the surface if I'm sleeping.\You idiot!\Want some?\Chisaki made them.\They're really good.\I know. response:	This doesn't feel real at all, does it?
context: Don't believe what those surface people have to say.\I won't be able to go to the surface if I'm sleeping.\You idiot!\Want some?\Chisaki made them.\They're really good.\I know.\This doesn't feel real at all, does it? response:	Yeah...
context: I won't be able to go to the surface if I'm sleeping.\You idiot!\Want some?\Chisaki made them.\They're really good.\I know.\This doesn't feel real at all, does it?\Yeah... response:	But you know, this might be a dream right now.
context: You idiot!\Want some?\Chisaki made them.\They're really good.\I know.\This doesn't feel real at all, does it?\Yeah...\But you know, this might be a dream right now. response:	Huh?
context: Want some?\Chisaki made them.\They're really good.\I know.\This doesn't feel real at all, does it?\Yeah...\But you know, this might be a dream right now.\Huh? response:	We might already be asleep.
context: Chisaki made them.\They're really good.\I know.\This doesn't feel real at all, does it?\Yeah...\But you know, this might be a dream right now.\Huh?\We might already be asleep. response:	I might just be dreaming that I'm talking to you and eating rolled sushi.
context: They're really good.\I know.\This doesn't feel real at all, does it?\Yeah...\But you know, this might be a dream right now.\Huh?\We might already be asleep.\I might just be dreaming that I'm talking to you and eating rolled sushi. response:	Dream...
context: I know.\This doesn't feel real at all, does it?\Yeah...\But you know, this might be a dream right now.\Huh?\We might already be asleep.\I might just be dreaming that I'm talking to you and eating rolled sushi.\Dream... response:	What are you talking about?
context: This doesn't feel real at all, does it?\Yeah...\But you know, this might be a dream right now.\Huh?\We might already be asleep.\I might just be dreaming that I'm talking to you and eating rolled sushi.\Dream...\What are you talking about? response:	Just what I said.
context: Yeah...\But you know, this might be a dream right now.\Huh?\We might already be asleep.\I might just be dreaming that I'm talking to you and eating rolled sushi.\Dream...\What are you talking about?\Just what I said. response:	You have bad taste, Kaname.
context: But you know, this might be a dream right now.\Huh?\We might already be asleep.\I might just be dreaming that I'm talking to you and eating rolled sushi.\Dream...\What are you talking about?\Just what I said.\You have bad taste, Kaname. response:	I wonder if I'll be able to wake up...
context: Huh?\We might already be asleep.\I might just be dreaming that I'm talking to you and eating rolled sushi.\Dream...\What are you talking about?\Just what I said.\You have bad taste, Kaname.\I wonder if I'll be able to wake up... response:	What am I going to do if I wake up and no one else is there?
context: We might already be asleep.\I might just be dreaming that I'm talking to you and eating rolled sushi.\Dream...\What are you talking about?\Just what I said.\You have bad taste, Kaname.\I wonder if I'll be able to wake up...\What am I going to do if I wake up and no one else is there? response:	If we sleep, it might be the last time we see each other.
context: I might just be dreaming that I'm talking to you and eating rolled sushi.\Dream...\What are you talking about?\Just what I said.\You have bad taste, Kaname.\I wonder if I'll be able to wake up...\What am I going to do if I wake up and no one else is there?\If we sleep, it might be the last time we see each other. response:	I wish I didn't have Ena.
context: Dream...\What are you talking about?\Just what I said.\You have bad taste, Kaname.\I wonder if I'll be able to wake up...\What am I going to do if I wake up and no one else is there?\If we sleep, it might be the last time we see each other.\I wish I didn't have Ena. response:	Manaka...
context: What are you talking about?\Just what I said.\You have bad taste, Kaname.\I wonder if I'll be able to wake up...\What am I going to do if I wake up and no one else is there?\If we sleep, it might be the last time we see each other.\I wish I didn't have Ena.\Manaka... response:	I don't wanna sleep...
context: Just what I said.\You have bad taste, Kaname.\I wonder if I'll be able to wake up...\What am I going to do if I wake up and no one else is there?\If we sleep, it might be the last time we see each other.\I wish I didn't have Ena.\Manaka...\I don't wanna sleep... response:	No...
context: You have bad taste, Kaname.\I wonder if I'll be able to wake up...\What am I going to do if I wake up and no one else is there?\If we sleep, it might be the last time we see each other.\I wish I didn't have Ena.\Manaka...\I don't wanna sleep...\No... response:	I'm sure Hikari will wake you up.
context: I wonder if I'll be able to wake up...\What am I going to do if I wake up and no one else is there?\If we sleep, it might be the last time we see each other.\I wish I didn't have Ena.\Manaka...\I don't wanna sleep...\No...\I'm sure Hikari will wake you up. response:	But what if Hii-kun won't be able to wake up?
context: What am I going to do if I wake up and no one else is there?\If we sleep, it might be the last time we see each other.\I wish I didn't have Ena.\Manaka...\I don't wanna sleep...\No...\I'm sure Hikari will wake you up.\But what if Hii-kun won't be able to wake up? response:	Don't worry.
context: If we sleep, it might be the last time we see each other.\I wish I didn't have Ena.\Manaka...\I don't wanna sleep...\No...\I'm sure Hikari will wake you up.\But what if Hii-kun won't be able to wake up?\Don't worry. response:	He never has any problems waking up.
context: I wish I didn't have Ena.\Manaka...\I don't wanna sleep...\No...\I'm sure Hikari will wake you up.\But what if Hii-kun won't be able to wake up?\Don't worry.\He never has any problems waking up. response:	Yeah.
context: Manaka...\I don't wanna sleep...\No...\I'm sure Hikari will wake you up.\But what if Hii-kun won't be able to wake up?\Don't worry.\He never has any problems waking up.\Yeah. response:	He'll be the first one to wake up and say, I'm starving.
context: I don't wanna sleep...\No...\I'm sure Hikari will wake you up.\But what if Hii-kun won't be able to wake up?\Don't worry.\He never has any problems waking up.\Yeah.\He'll be the first one to wake up and say, I'm starving. response:	Not to mention if Kaname or I wake up first,
context: No...\I'm sure Hikari will wake you up.\But what if Hii-kun won't be able to wake up?\Don't worry.\He never has any problems waking up.\Yeah.\He'll be the first one to wake up and say, I'm starving.\Not to mention if Kaname or I wake up first, response:	we'll definitely wake you up!
context: I'm sure Hikari will wake you up.\But what if Hii-kun won't be able to wake up?\Don't worry.\He never has any problems waking up.\Yeah.\He'll be the first one to wake up and say, I'm starving.\Not to mention if Kaname or I wake up first,\we'll definitely wake you up! response:	I think you've had enough to drink.
context: But what if Hii-kun won't be able to wake up?\Don't worry.\He never has any problems waking up.\Yeah.\He'll be the first one to wake up and say, I'm starving.\Not to mention if Kaname or I wake up first,\we'll definitely wake you up!\I think you've had enough to drink. response:	Just because our school closed,
context: Don't worry.\He never has any problems waking up.\Yeah.\He'll be the first one to wake up and say, I'm starving.\Not to mention if Kaname or I wake up first,\we'll definitely wake you up!\I think you've had enough to drink.\Just because our school closed, response:	doesn't mean the soul of Nami Junior High will disappear!
context: He never has any problems waking up.\Yeah.\He'll be the first one to wake up and say, I'm starving.\Not to mention if Kaname or I wake up first,\we'll definitely wake you up!\I think you've had enough to drink.\Just because our school closed,\doesn't mean the soul of Nami Junior High will disappear! response:	I'll make it happen. The Ofunehiki!
context: Yeah.\He'll be the first one to wake up and say, I'm starving.\Not to mention if Kaname or I wake up first,\we'll definitely wake you up!\I think you've had enough to drink.\Just because our school closed,\doesn't mean the soul of Nami Junior High will disappear!\I'll make it happen. The Ofunehiki! response:	We'll find it no matter what!
context: He'll be the first one to wake up and say, I'm starving.\Not to mention if Kaname or I wake up first,\we'll definitely wake you up!\I think you've had enough to drink.\Just because our school closed,\doesn't mean the soul of Nami Junior High will disappear!\I'll make it happen. The Ofunehiki!\We'll find it no matter what! response:	Why do you have to be red right now?
context: Not to mention if Kaname or I wake up first,\we'll definitely wake you up!\I think you've had enough to drink.\Just because our school closed,\doesn't mean the soul of Nami Junior High will disappear!\I'll make it happen. The Ofunehiki!\We'll find it no matter what!\Why do you have to be red right now? response:	Hey...
context: we'll definitely wake you up!\I think you've had enough to drink.\Just because our school closed,\doesn't mean the soul of Nami Junior High will disappear!\I'll make it happen. The Ofunehiki!\We'll find it no matter what!\Why do you have to be red right now?\Hey... response:	Good morning, Chisaki.
context: I think you've had enough to drink.\Just because our school closed,\doesn't mean the soul of Nami Junior High will disappear!\I'll make it happen. The Ofunehiki!\We'll find it no matter what!\Why do you have to be red right now?\Hey...\Good morning, Chisaki. response:	What's up?
context: Just because our school closed,\doesn't mean the soul of Nami Junior High will disappear!\I'll make it happen. The Ofunehiki!\We'll find it no matter what!\Why do you have to be red right now?\Hey...\Good morning, Chisaki.\What's up? response:	Why'd you come to get me...
context: doesn't mean the soul of Nami Junior High will disappear!\I'll make it happen. The Ofunehiki!\We'll find it no matter what!\Why do you have to be red right now?\Hey...\Good morning, Chisaki.\What's up?\Why'd you come to get me... response:	I'm done with just watching.
context: I'll make it happen. The Ofunehiki!\We'll find it no matter what!\Why do you have to be red right now?\Hey...\Good morning, Chisaki.\What's up?\Why'd you come to get me...\I'm done with just watching. response:	What?
context: We'll find it no matter what!\Why do you have to be red right now?\Hey...\Good morning, Chisaki.\What's up?\Why'd you come to get me...\I'm done with just watching.\What? response:	I thought it couldn't be helped while you were chasing after Hikari...
context: Why do you have to be red right now?\Hey...\Good morning, Chisaki.\What's up?\Why'd you come to get me...\I'm done with just watching.\What?\I thought it couldn't be helped while you were chasing after Hikari... response:	But it appears we don't really have time anymore.
context: Hey...\Good morning, Chisaki.\What's up?\Why'd you come to get me...\I'm done with just watching.\What?\I thought it couldn't be helped while you were chasing after Hikari...\But it appears we don't really have time anymore. response:	Wait, Kaname. What are you talking about?
context: Good morning, Chisaki.\What's up?\Why'd you come to get me...\I'm done with just watching.\What?\I thought it couldn't be helped while you were chasing after Hikari...\But it appears we don't really have time anymore.\Wait, Kaname. What are you talking about? response:	I've liked you, Chisaki.
context: What's up?\Why'd you come to get me...\I'm done with just watching.\What?\I thought it couldn't be helped while you were chasing after Hikari...\But it appears we don't really have time anymore.\Wait, Kaname. What are you talking about?\I've liked you, Chisaki. response:	For quite a while now.
context: Why'd you come to get me...\I'm done with just watching.\What?\I thought it couldn't be helped while you were chasing after Hikari...\But it appears we don't really have time anymore.\Wait, Kaname. What are you talking about?\I've liked you, Chisaki.\For quite a while now. response:	What?!
context: I'm done with just watching.\What?\I thought it couldn't be helped while you were chasing after Hikari...\But it appears we don't really have time anymore.\Wait, Kaname. What are you talking about?\I've liked you, Chisaki.\For quite a while now.\What?! response:	You sure it's okay?
