context: Reporting... response:	The rebelling human vermin have connected the Dragon Chain Cannon to the giant lacrima
context: Lily!\My Queen...\Are you tired from lying?\I'm sorry... I...\As am I...\No matter how much I may resent it, Extalia is my country!\Lily...\But, it's too late. response:	Even with this many Exceed, they can't stop it.
context: My Queen...\Are you tired from lying?\I'm sorry... I...\As am I...\No matter how much I may resent it, Extalia is my country!\Lily...\But, it's too late.\Even with this many Exceed, they can't stop it. response:	I'm sorry, everyone! This is my fault!
context: Are you tired from lying?\I'm sorry... I...\As am I...\No matter how much I may resent it, Extalia is my country!\Lily...\But, it's too late.\Even with this many Exceed, they can't stop it.\I'm sorry, everyone! This is my fault! response:	I could have stopped them!
context: I'm sorry... I...\As am I...\No matter how much I may resent it, Extalia is my country!\Lily...\But, it's too late.\Even with this many Exceed, they can't stop it.\I'm sorry, everyone! This is my fault!\I could have stopped them! response:	I could have stopped the humans!
context: As am I...\No matter how much I may resent it, Extalia is my country!\Lily...\But, it's too late.\Even with this many Exceed, they can't stop it.\I'm sorry, everyone! This is my fault!\I could have stopped them!\I could have stopped the humans! response:	Your feelings... I know your feelings will get through!
context: No matter how much I may resent it, Extalia is my country!\Lily...\But, it's too late.\Even with this many Exceed, they can't stop it.\I'm sorry, everyone! This is my fault!\I could have stopped them!\I could have stopped the humans!\Your feelings... I know your feelings will get through! response:	Stop!!
context: Lily...\But, it's too late.\Even with this many Exceed, they can't stop it.\I'm sorry, everyone! This is my fault!\I could have stopped them!\I could have stopped the humans!\Your feelings... I know your feelings will get through!\Stop!! response:	Everyone, go for it!
context: But, it's too late.\Even with this many Exceed, they can't stop it.\I'm sorry, everyone! This is my fault!\I could have stopped them!\I could have stopped the humans!\Your feelings... I know your feelings will get through!\Stop!!\Everyone, go for it! response:	Push!
context: Even with this many Exceed, they can't stop it.\I'm sorry, everyone! This is my fault!\I could have stopped them!\I could have stopped the humans!\Your feelings... I know your feelings will get through!\Stop!!\Everyone, go for it!\Push! response:	We can do it!
context: I'm sorry, everyone! This is my fault!\I could have stopped them!\I could have stopped the humans!\Your feelings... I know your feelings will get through!\Stop!!\Everyone, go for it!\Push!\We can do it! response:	We ain't gonna lose!
context: I could have stopped them!\I could have stopped the humans!\Your feelings... I know your feelings will get through!\Stop!!\Everyone, go for it!\Push!\We can do it!\We ain't gonna lose! response:	We shall ne'er give up!
context: I could have stopped the humans!\Your feelings... I know your feelings will get through!\Stop!!\Everyone, go for it!\Push!\We can do it!\We ain't gonna lose!\We shall ne'er give up! response:	We're gonna stop it, for sure!
context: Your feelings... I know your feelings will get through!\Stop!!\Everyone, go for it!\Push!\We can do it!\We ain't gonna lose!\We shall ne'er give up!\We're gonna stop it, for sure! response:	We'll push, too!
context: Stop!!\Everyone, go for it!\Push!\We can do it!\We ain't gonna lose!\We shall ne'er give up!\We're gonna stop it, for sure!\We'll push, too! response:	Aye, sir!
context: Everyone, go for it!\Push!\We can do it!\We ain't gonna lose!\We shall ne'er give up!\We're gonna stop it, for sure!\We'll push, too!\Aye, sir! response:	Aye, sir!
context: Push!\We can do it!\We ain't gonna lose!\We shall ne'er give up!\We're gonna stop it, for sure!\We'll push, too!\Aye, sir!\Aye, sir! response:	Aye, aye, sir!
context: We can do it!\We ain't gonna lose!\We shall ne'er give up!\We're gonna stop it, for sure!\We'll push, too!\Aye, sir!\Aye, sir!\Aye, aye, sir! response:	Please, stop!!
context: We ain't gonna lose!\We shall ne'er give up!\We're gonna stop it, for sure!\We'll push, too!\Aye, sir!\Aye, sir!\Aye, aye, sir!\Please, stop!! response:	The lacrima is being pushed back..
context: We shall ne'er give up!\We're gonna stop it, for sure!\We'll push, too!\Aye, sir!\Aye, sir!\Aye, aye, sir!\Please, stop!!\The lacrima is being pushed back.. response:	What?
context: We're gonna stop it, for sure!\We'll push, too!\Aye, sir!\Aye, sir!\Aye, aye, sir!\Please, stop!!\The lacrima is being pushed back..\What? response:	Carla?
context: We'll push, too!\Aye, sir!\Aye, sir!\Aye, aye, sir!\Please, stop!!\The lacrima is being pushed back..\What?\Carla? response:	Look at that.
context: Aye, sir!\Aye, sir!\Aye, aye, sir!\Please, stop!!\The lacrima is being pushed back..\What?\Carla?\Look at that. response:	That's...
context: Aye, sir!\Aye, aye, sir!\Please, stop!!\The lacrima is being pushed back..\What?\Carla?\Look at that.\That's... response:	The lacrima has disappeared...
context: Aye, aye, sir!\Please, stop!!\The lacrima is being pushed back..\What?\Carla?\Look at that.\That's...\The lacrima has disappeared... response:	The Dragon Chain Cannon's chain as well...
context: Please, stop!!\The lacrima is being pushed back..\What?\Carla?\Look at that.\That's...\The lacrima has disappeared...\The Dragon Chain Cannon's chain as well... response:	W-What's going on?
context: The lacrima is being pushed back..\What?\Carla?\Look at that.\That's...\The lacrima has disappeared...\The Dragon Chain Cannon's chain as well...\W-What's going on? response:	It has been returned to Earthland.
context: What?\Carla?\Look at that.\That's...\The lacrima has disappeared...\The Dragon Chain Cannon's chain as well...\W-What's going on?\It has been returned to Earthland. response:	Mystogan!
context: Carla?\Look at that.\That's...\The lacrima has disappeared...\The Dragon Chain Cannon's chain as well...\W-What's going on?\It has been returned to Earthland.\Mystogan! response:	I searched for the remaining tear from the giant Anima to return everything to the way it was.
context: Look at that.\That's...\The lacrima has disappeared...\The Dragon Chain Cannon's chain as well...\W-What's going on?\It has been returned to Earthland.\Mystogan!\I searched for the remaining tear from the giant Anima to return everything to the way it was. response:	I apologize for my lateness.
context: That's...\The lacrima has disappeared...\The Dragon Chain Cannon's chain as well...\W-What's going on?\It has been returned to Earthland.\Mystogan!\I searched for the remaining tear from the giant Anima to return everything to the way it was.\I apologize for my lateness. response:	Without everyone's help, I wouldn't have made it.
context: The lacrima has disappeared...\The Dragon Chain Cannon's chain as well...\W-What's going on?\It has been returned to Earthland.\Mystogan!\I searched for the remaining tear from the giant Anima to return everything to the way it was.\I apologize for my lateness.\Without everyone's help, I wouldn't have made it. response:	I give you my thanks.
context: The Dragon Chain Cannon's chain as well...\W-What's going on?\It has been returned to Earthland.\Mystogan!\I searched for the remaining tear from the giant Anima to return everything to the way it was.\I apologize for my lateness.\Without everyone's help, I wouldn't have made it.\I give you my thanks. response:	The way it was?
context: W-What's going on?\It has been returned to Earthland.\Mystogan!\I searched for the remaining tear from the giant Anima to return everything to the way it was.\I apologize for my lateness.\Without everyone's help, I wouldn't have made it.\I give you my thanks.\The way it was? response:	That's right.
context: It has been returned to Earthland.\Mystogan!\I searched for the remaining tear from the giant Anima to return everything to the way it was.\I apologize for my lateness.\Without everyone's help, I wouldn't have made it.\I give you my thanks.\The way it was?\That's right. response:	The lacrima has passed once again through the Anima and returned to how it was in Earthland.
context: Mystogan!\I searched for the remaining tear from the giant Anima to return everything to the way it was.\I apologize for my lateness.\Without everyone's help, I wouldn't have made it.\I give you my thanks.\The way it was?\That's right.\The lacrima has passed once again through the Anima and returned to how it was in Earthland. response:	Everything is over.
context: I searched for the remaining tear from the giant Anima to return everything to the way it was.\I apologize for my lateness.\Without everyone's help, I wouldn't have made it.\I give you my thanks.\The way it was?\That's right.\The lacrima has passed once again through the Anima and returned to how it was in Earthland.\Everything is over. response:	We did it?
context: I apologize for my lateness.\Without everyone's help, I wouldn't have made it.\I give you my thanks.\The way it was?\That's right.\The lacrima has passed once again through the Anima and returned to how it was in Earthland.\Everything is over.\We did it? response:	We protected Extalia!
context: Without everyone's help, I wouldn't have made it.\I give you my thanks.\The way it was?\That's right.\The lacrima has passed once again through the Anima and returned to how it was in Earthland.\Everything is over.\We did it?\We protected Extalia! response:	Lily, you saved my life.
context: I give you my thanks.\The way it was?\That's right.\The lacrima has passed once again through the Anima and returned to how it was in Earthland.\Everything is over.\We did it?\We protected Extalia!\Lily, you saved my life. response:	I am glad I was able to protect your homeland...
context: The way it was?\That's right.\The lacrima has passed once again through the Anima and returned to how it was in Earthland.\Everything is over.\We did it?\We protected Extalia!\Lily, you saved my life.\I am glad I was able to protect your homeland... response:	Thank you very much...
context: That's right.\The lacrima has passed once again through the Anima and returned to how it was in Earthland.\Everything is over.\We did it?\We protected Extalia!\Lily, you saved my life.\I am glad I was able to protect your homeland...\Thank you very much... response:	The Prince is back!
context: The lacrima has passed once again through the Anima and returned to how it was in Earthland.\Everything is over.\We did it?\We protected Extalia!\Lily, you saved my life.\I am glad I was able to protect your homeland...\Thank you very much...\The Prince is back! response:	Prince?
context: Everything is over.\We did it?\We protected Extalia!\Lily, you saved my life.\I am glad I was able to protect your homeland...\Thank you very much...\The Prince is back!\Prince? response:	Black cat!
context: We did it?\We protected Extalia!\Lily, you saved my life.\I am glad I was able to protect your homeland...\Thank you very much...\The Prince is back!\Prince?\Black cat! response:	Lily!
context: We protected Extalia!\Lily, you saved my life.\I am glad I was able to protect your homeland...\Thank you very much...\The Prince is back!\Prince?\Black cat!\Lily! response:	This isn't over!
context: Lily, you saved my life.\I am glad I was able to protect your homeland...\Thank you very much...\The Prince is back!\Prince?\Black cat!\Lily!\This isn't over! response:	This isn't over yet!
context: I am glad I was able to protect your homeland...\Thank you very much...\The Prince is back!\Prince?\Black cat!\Lily!\This isn't over!\This isn't over yet! response:	Hey, Happy, there's a dragon-looking thing out there...
context: Thank you very much...\The Prince is back!\Prince?\Black cat!\Lily!\This isn't over!\This isn't over yet!\Hey, Happy, there's a dragon-looking thing out there... response:	Wasn't there something like that before?
context: The Prince is back!\Prince?\Black cat!\Lily!\This isn't over!\This isn't over yet!\Hey, Happy, there's a dragon-looking thing out there...\Wasn't there something like that before? response:	I think you're talking about the Dragonoid... But this one looks different.
context: Prince?\Black cat!\Lily!\This isn't over!\This isn't over yet!\Hey, Happy, there's a dragon-looking thing out there...\Wasn't there something like that before?\I think you're talking about the Dragonoid... But this one looks different. response:	They're both just fake dragons, right?
context: Black cat!\Lily!\This isn't over!\This isn't over yet!\Hey, Happy, there's a dragon-looking thing out there...\Wasn't there something like that before?\I think you're talking about the Dragonoid... But this one looks different.\They're both just fake dragons, right? response:	I'll bust it up like I did the last one!
context: Lily!\This isn't over!\This isn't over yet!\Hey, Happy, there's a dragon-looking thing out there...\Wasn't there something like that before?\I think you're talking about the Dragonoid... But this one looks different.\They're both just fake dragons, right?\I'll bust it up like I did the last one! response:	Be careful. If it's just coming out now, there must be something to it.
context: This isn't over!\This isn't over yet!\Hey, Happy, there's a dragon-looking thing out there...\Wasn't there something like that before?\I think you're talking about the Dragonoid... But this one looks different.\They're both just fake dragons, right?\I'll bust it up like I did the last one!\Be careful. If it's just coming out now, there must be something to it. response:	Next time: Dragon Sense!
context: This isn't over yet!\Hey, Happy, there's a dragon-looking thing out there...\Wasn't there something like that before?\I think you're talking about the Dragonoid... But this one looks different.\They're both just fake dragons, right?\I'll bust it up like I did the last one!\Be careful. If it's just coming out now, there must be something to it.\Next time: Dragon Sense! response:	What's with this thing? Magic doesn't work on it?
context: Hey, Happy, there's a dragon-looking thing out there...\Wasn't there something like that before?\I think you're talking about the Dragonoid... But this one looks different.\They're both just fake dragons, right?\I'll bust it up like I did the last one!\Be careful. If it's just coming out now, there must be something to it.\Next time: Dragon Sense!\What's with this thing? Magic doesn't work on it? response:	Look, Natsu! It's changing color!
context: Wasn't there something like that before?\I think you're talking about the Dragonoid... But this one looks different.\They're both just fake dragons, right?\I'll bust it up like I did the last one!\Be careful. If it's just coming out now, there must be something to it.\Next time: Dragon Sense!\What's with this thing? Magic doesn't work on it?\Look, Natsu! It's changing color! response:	I guess this isn't dragon slaying, it's chameleon slaying.
