context: Richie. I'm sorry for lyin' to you. response:	Be good to Ri'ko.
context: Yeah.\I said all that to Sa-chan, but the truth is...\Kaoru-san, what'll I do if Sentaro never comes back?\Ri-chan...\We're talking about him.\I bet when we least expect it, he'll suddenly turn up.\Don't you have that feeling?\Yeah. You're right. He will come back, won't he? response:	Sure.
context: I said all that to Sa-chan, but the truth is...\Kaoru-san, what'll I do if Sentaro never comes back?\Ri-chan...\We're talking about him.\I bet when we least expect it, he'll suddenly turn up.\Don't you have that feeling?\Yeah. You're right. He will come back, won't he?\Sure. response:	Kaoru-san... Don't go anywhere, okay?
context: Kaoru-san, what'll I do if Sentaro never comes back?\Ri-chan...\We're talking about him.\I bet when we least expect it, he'll suddenly turn up.\Don't you have that feeling?\Yeah. You're right. He will come back, won't he?\Sure.\Kaoru-san... Don't go anywhere, okay? response:	Um...
context: Ri-chan...\We're talking about him.\I bet when we least expect it, he'll suddenly turn up.\Don't you have that feeling?\Yeah. You're right. He will come back, won't he?\Sure.\Kaoru-san... Don't go anywhere, okay?\Um... response:	Excuse me...
context: We're talking about him.\I bet when we least expect it, he'll suddenly turn up.\Don't you have that feeling?\Yeah. You're right. He will come back, won't he?\Sure.\Kaoru-san... Don't go anywhere, okay?\Um...\Excuse me... response:	Oh. I remember you. Richie-kun, right?
context: I bet when we least expect it, he'll suddenly turn up.\Don't you have that feeling?\Yeah. You're right. He will come back, won't he?\Sure.\Kaoru-san... Don't go anywhere, okay?\Um...\Excuse me...\Oh. I remember you. Richie-kun, right? response:	Do I know where he might be?
context: Don't you have that feeling?\Yeah. You're right. He will come back, won't he?\Sure.\Kaoru-san... Don't go anywhere, okay?\Um...\Excuse me...\Oh. I remember you. Richie-kun, right?\Do I know where he might be? response:	No, I'm afraid I don't.
context: Yeah. You're right. He will come back, won't he?\Sure.\Kaoru-san... Don't go anywhere, okay?\Um...\Excuse me...\Oh. I remember you. Richie-kun, right?\Do I know where he might be?\No, I'm afraid I don't. response:	Um... Father, he left this behind...
context: Sure.\Kaoru-san... Don't go anywhere, okay?\Um...\Excuse me...\Oh. I remember you. Richie-kun, right?\Do I know where he might be?\No, I'm afraid I don't.\Um... Father, he left this behind... response:	He once told me the reason he always wore the rosary as a necklace was because
context: Kaoru-san... Don't go anywhere, okay?\Um...\Excuse me...\Oh. I remember you. Richie-kun, right?\Do I know where he might be?\No, I'm afraid I don't.\Um... Father, he left this behind...\He once told me the reason he always wore the rosary as a necklace was because response:	he was afraid that if he lost it, he would be abandoned by the world...
context: Um...\Excuse me...\Oh. I remember you. Richie-kun, right?\Do I know where he might be?\No, I'm afraid I don't.\Um... Father, he left this behind...\He once told me the reason he always wore the rosary as a necklace was because\he was afraid that if he lost it, he would be abandoned by the world... response:	Se...!
context: Excuse me...\Oh. I remember you. Richie-kun, right?\Do I know where he might be?\No, I'm afraid I don't.\Um... Father, he left this behind...\He once told me the reason he always wore the rosary as a necklace was because\he was afraid that if he lost it, he would be abandoned by the world...\Se...! response:	I thought maybe Sen had come back.
context: Oh. I remember you. Richie-kun, right?\Do I know where he might be?\No, I'm afraid I don't.\Um... Father, he left this behind...\He once told me the reason he always wore the rosary as a necklace was because\he was afraid that if he lost it, he would be abandoned by the world...\Se...!\I thought maybe Sen had come back. response:	Pops... He's not coming back.
context: Do I know where he might be?\No, I'm afraid I don't.\Um... Father, he left this behind...\He once told me the reason he always wore the rosary as a necklace was because\he was afraid that if he lost it, he would be abandoned by the world...\Se...!\I thought maybe Sen had come back.\Pops... He's not coming back. response:	I'll never be able to practice with him again.
context: No, I'm afraid I don't.\Um... Father, he left this behind...\He once told me the reason he always wore the rosary as a necklace was because\he was afraid that if he lost it, he would be abandoned by the world...\Se...!\I thought maybe Sen had come back.\Pops... He's not coming back.\I'll never be able to practice with him again. response:	W-What are you talkin' about, Richie?
context: Um... Father, he left this behind...\He once told me the reason he always wore the rosary as a necklace was because\he was afraid that if he lost it, he would be abandoned by the world...\Se...!\I thought maybe Sen had come back.\Pops... He's not coming back.\I'll never be able to practice with him again.\W-What are you talkin' about, Richie? response:	Never again...
context: He once told me the reason he always wore the rosary as a necklace was because\he was afraid that if he lost it, he would be abandoned by the world...\Se...!\I thought maybe Sen had come back.\Pops... He's not coming back.\I'll never be able to practice with him again.\W-What are you talkin' about, Richie?\Never again... response:	I waited for you on that slope
context: he was afraid that if he lost it, he would be abandoned by the world...\Se...!\I thought maybe Sen had come back.\Pops... He's not coming back.\I'll never be able to practice with him again.\W-What are you talkin' about, Richie?\Never again...\I waited for you on that slope response:	For our after school promise
context: Se...!\I thought maybe Sen had come back.\Pops... He's not coming back.\I'll never be able to practice with him again.\W-What are you talkin' about, Richie?\Never again...\I waited for you on that slope\For our after school promise response:	There was a'goodbye' blurred far away
context: I thought maybe Sen had come back.\Pops... He's not coming back.\I'll never be able to practice with him again.\W-What are you talkin' about, Richie?\Never again...\I waited for you on that slope\For our after school promise\There was a'goodbye' blurred far away response:	I was so weak, so awkward, and so fragile back then
context: Pops... He's not coming back.\I'll never be able to practice with him again.\W-What are you talkin' about, Richie?\Never again...\I waited for you on that slope\For our after school promise\There was a'goodbye' blurred far away\I was so weak, so awkward, and so fragile back then response:	But you gave me a small pair of wings
context: I'll never be able to practice with him again.\W-What are you talkin' about, Richie?\Never again...\I waited for you on that slope\For our after school promise\There was a'goodbye' blurred far away\I was so weak, so awkward, and so fragile back then\But you gave me a small pair of wings response:	In the twilight hour of the sky,
context: W-What are you talkin' about, Richie?\Never again...\I waited for you on that slope\For our after school promise\There was a'goodbye' blurred far away\I was so weak, so awkward, and so fragile back then\But you gave me a small pair of wings\In the twilight hour of the sky, response:	I'm searching for a gleam of light
context: Never again...\I waited for you on that slope\For our after school promise\There was a'goodbye' blurred far away\I was so weak, so awkward, and so fragile back then\But you gave me a small pair of wings\In the twilight hour of the sky,\I'm searching for a gleam of light response:	If only I could have said that I love you
context: I waited for you on that slope\For our after school promise\There was a'goodbye' blurred far away\I was so weak, so awkward, and so fragile back then\But you gave me a small pair of wings\In the twilight hour of the sky,\I'm searching for a gleam of light\If only I could have said that I love you response:	The note that I wrote in the corner of my textbook
context: For our after school promise\There was a'goodbye' blurred far away\I was so weak, so awkward, and so fragile back then\But you gave me a small pair of wings\In the twilight hour of the sky,\I'm searching for a gleam of light\If only I could have said that I love you\The note that I wrote in the corner of my textbook response:	has never been delivered to this day
