context: What? response:	A pincer attack!
context: I didn't do anything.\Don't be modest.\Let's see, how can we thank you?\These are gate passes for this vessel!\Say, Lan...\Hm?\If I didn't agree to pilot Fox, I might've gone crazy.\Standing helpless on the sidelines, response:	watching Kamogawa being destroyed.
context: Don't be modest.\Let's see, how can we thank you?\These are gate passes for this vessel!\Say, Lan...\Hm?\If I didn't agree to pilot Fox, I might've gone crazy.\Standing helpless on the sidelines,\watching Kamogawa being destroyed. response:	Thanks to this robot,
context: Let's see, how can we thank you?\These are gate passes for this vessel!\Say, Lan...\Hm?\If I didn't agree to pilot Fox, I might've gone crazy.\Standing helpless on the sidelines,\watching Kamogawa being destroyed.\Thanks to this robot, response:	I was able to save my dear city.
context: These are gate passes for this vessel!\Say, Lan...\Hm?\If I didn't agree to pilot Fox, I might've gone crazy.\Standing helpless on the sidelines,\watching Kamogawa being destroyed.\Thanks to this robot,\I was able to save my dear city. response:	Thank you, Lan.
context: Say, Lan...\Hm?\If I didn't agree to pilot Fox, I might've gone crazy.\Standing helpless on the sidelines,\watching Kamogawa being destroyed.\Thanks to this robot,\I was able to save my dear city.\Thank you, Lan. response:	I should be saying that to you.
context: Hm?\If I didn't agree to pilot Fox, I might've gone crazy.\Standing helpless on the sidelines,\watching Kamogawa being destroyed.\Thanks to this robot,\I was able to save my dear city.\Thank you, Lan.\I should be saying that to you. response:	Thanks to you, I was able to overcome it.
context: If I didn't agree to pilot Fox, I might've gone crazy.\Standing helpless on the sidelines,\watching Kamogawa being destroyed.\Thanks to this robot,\I was able to save my dear city.\Thank you, Lan.\I should be saying that to you.\Thanks to you, I was able to overcome it. response:	Overcome what?
context: Standing helpless on the sidelines,\watching Kamogawa being destroyed.\Thanks to this robot,\I was able to save my dear city.\Thank you, Lan.\I should be saying that to you.\Thanks to you, I was able to overcome it.\Overcome what? response:	Come on, tell me, Lan.
context: watching Kamogawa being destroyed.\Thanks to this robot,\I was able to save my dear city.\Thank you, Lan.\I should be saying that to you.\Thanks to you, I was able to overcome it.\Overcome what?\Come on, tell me, Lan. response:	You have it wrong, Madoka.
context: Thanks to this robot,\I was able to save my dear city.\Thank you, Lan.\I should be saying that to you.\Thanks to you, I was able to overcome it.\Overcome what?\Come on, tell me, Lan.\You have it wrong, Madoka. response:	The robot's name isn't Fox.
context: I was able to save my dear city.\Thank you, Lan.\I should be saying that to you.\Thanks to you, I was able to overcome it.\Overcome what?\Come on, tell me, Lan.\You have it wrong, Madoka.\The robot's name isn't Fox. response:	Yeah, I know.
context: Thank you, Lan.\I should be saying that to you.\Thanks to you, I was able to overcome it.\Overcome what?\Come on, tell me, Lan.\You have it wrong, Madoka.\The robot's name isn't Fox.\Yeah, I know. response:	From today, her name is Midori!
context: I should be saying that to you.\Thanks to you, I was able to overcome it.\Overcome what?\Come on, tell me, Lan.\You have it wrong, Madoka.\The robot's name isn't Fox.\Yeah, I know.\From today, her name is Midori! response:	Huh? Midori? Why?
context: Thanks to you, I was able to overcome it.\Overcome what?\Come on, tell me, Lan.\You have it wrong, Madoka.\The robot's name isn't Fox.\Yeah, I know.\From today, her name is Midori!\Huh? Midori? Why? response:	We went through hell together!
context: Overcome what?\Come on, tell me, Lan.\You have it wrong, Madoka.\The robot's name isn't Fox.\Yeah, I know.\From today, her name is Midori!\Huh? Midori? Why?\We went through hell together! response:	That makes her my comrade, just like you!
context: Come on, tell me, Lan.\You have it wrong, Madoka.\The robot's name isn't Fox.\Yeah, I know.\From today, her name is Midori!\Huh? Midori? Why?\We went through hell together!\That makes her my comrade, just like you! response:	So she deserves a proper name.
context: You have it wrong, Madoka.\The robot's name isn't Fox.\Yeah, I know.\From today, her name is Midori!\Huh? Midori? Why?\We went through hell together!\That makes her my comrade, just like you!\So she deserves a proper name. response:	But why Midori?
context: The robot's name isn't Fox.\Yeah, I know.\From today, her name is Midori!\Huh? Midori? Why?\We went through hell together!\That makes her my comrade, just like you!\So she deserves a proper name.\But why Midori? response:	Midori as in the color green, isn't that obvious?
context: Yeah, I know.\From today, her name is Midori!\Huh? Midori? Why?\We went through hell together!\That makes her my comrade, just like you!\So she deserves a proper name.\But why Midori?\Midori as in the color green, isn't that obvious? response:	Anyway, I'm counting on you, Midori!
context: From today, her name is Midori!\Huh? Midori? Why?\We went through hell together!\That makes her my comrade, just like you!\So she deserves a proper name.\But why Midori?\Midori as in the color green, isn't that obvious?\Anyway, I'm counting on you, Midori! response:	I'm counting on you... Orca.
context: Huh? Midori? Why?\We went through hell together!\That makes her my comrade, just like you!\So she deserves a proper name.\But why Midori?\Midori as in the color green, isn't that obvious?\Anyway, I'm counting on you, Midori!\I'm counting on you... Orca. response:	Huh? Why Orca?
context: We went through hell together!\That makes her my comrade, just like you!\So she deserves a proper name.\But why Midori?\Midori as in the color green, isn't that obvious?\Anyway, I'm counting on you, Midori!\I'm counting on you... Orca.\Huh? Why Orca? response:	Does it sound weird?
context: That makes her my comrade, just like you!\So she deserves a proper name.\But why Midori?\Midori as in the color green, isn't that obvious?\Anyway, I'm counting on you, Midori!\I'm counting on you... Orca.\Huh? Why Orca?\Does it sound weird? response:	Yeah, it does.
context: So she deserves a proper name.\But why Midori?\Midori as in the color green, isn't that obvious?\Anyway, I'm counting on you, Midori!\I'm counting on you... Orca.\Huh? Why Orca?\Does it sound weird?\Yeah, it does. response:	Weirder than Midori?
context: But why Midori?\Midori as in the color green, isn't that obvious?\Anyway, I'm counting on you, Midori!\I'm counting on you... Orca.\Huh? Why Orca?\Does it sound weird?\Yeah, it does.\Weirder than Midori? response:	What? Is Midori weird?
context: Midori as in the color green, isn't that obvious?\Anyway, I'm counting on you, Midori!\I'm counting on you... Orca.\Huh? Why Orca?\Does it sound weird?\Yeah, it does.\Weirder than Midori?\What? Is Midori weird? response:	A little...
context: Anyway, I'm counting on you, Midori!\I'm counting on you... Orca.\Huh? Why Orca?\Does it sound weird?\Yeah, it does.\Weirder than Midori?\What? Is Midori weird?\A little... response:	Huh? You think so?
context: I'm counting on you... Orca.\Huh? Why Orca?\Does it sound weird?\Yeah, it does.\Weirder than Midori?\What? Is Midori weird?\A little...\Huh? You think so? response:	I think Orca sounds weirder.
context: Huh? Why Orca?\Does it sound weird?\Yeah, it does.\Weirder than Midori?\What? Is Midori weird?\A little...\Huh? You think so?\I think Orca sounds weirder. response:	It's an old tale,
context: Does it sound weird?\Yeah, it does.\Weirder than Midori?\What? Is Midori weird?\A little...\Huh? You think so?\I think Orca sounds weirder.\It's an old tale, response:	from ancient times.
context: Yeah, it does.\Weirder than Midori?\What? Is Midori weird?\A little...\Huh? You think so?\I think Orca sounds weirder.\It's an old tale,\from ancient times. response:	The giant green demon will rip through the heavens...
context: Weirder than Midori?\What? Is Midori weird?\A little...\Huh? You think so?\I think Orca sounds weirder.\It's an old tale,\from ancient times.\The giant green demon will rip through the heavens... response:	The giant blue demon will swallow the stars...
context: What? Is Midori weird?\A little...\Huh? You think so?\I think Orca sounds weirder.\It's an old tale,\from ancient times.\The giant green demon will rip through the heavens...\The giant blue demon will swallow the stars... response:	The giant orange demon will spew out darkness...
context: A little...\Huh? You think so?\I think Orca sounds weirder.\It's an old tale,\from ancient times.\The giant green demon will rip through the heavens...\The giant blue demon will swallow the stars...\The giant orange demon will spew out darkness... response:	Through countless sacrifices, they will rule the land.
context: Huh? You think so?\I think Orca sounds weirder.\It's an old tale,\from ancient times.\The giant green demon will rip through the heavens...\The giant blue demon will swallow the stars...\The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land. response:	Feeding off tainted hearts,
context: I think Orca sounds weirder.\It's an old tale,\from ancient times.\The giant green demon will rip through the heavens...\The giant blue demon will swallow the stars...\The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land.\Feeding off tainted hearts, response:	they awaken from within the mind.
context: It's an old tale,\from ancient times.\The giant green demon will rip through the heavens...\The giant blue demon will swallow the stars...\The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land.\Feeding off tainted hearts,\they awaken from within the mind. response:	And the demons shall rise.
context: from ancient times.\The giant green demon will rip through the heavens...\The giant blue demon will swallow the stars...\The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land.\Feeding off tainted hearts,\they awaken from within the mind.\And the demons shall rise. response:	Do not let them loose.
context: The giant green demon will rip through the heavens...\The giant blue demon will swallow the stars...\The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land.\Feeding off tainted hearts,\they awaken from within the mind.\And the demons shall rise.\Do not let them loose. response:	Do not let them, ever.
context: The giant blue demon will swallow the stars...\The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land.\Feeding off tainted hearts,\they awaken from within the mind.\And the demons shall rise.\Do not let them loose.\Do not let them, ever. response:	Who are you?
context: The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land.\Feeding off tainted hearts,\they awaken from within the mind.\And the demons shall rise.\Do not let them loose.\Do not let them, ever.\Who are you? response:	Oh, don't mind me. I was just passing by.
context: Through countless sacrifices, they will rule the land.\Feeding off tainted hearts,\they awaken from within the mind.\And the demons shall rise.\Do not let them loose.\Do not let them, ever.\Who are you?\Oh, don't mind me. I was just passing by. response:	What's going on? Is it something fun?
context: Feeding off tainted hearts,\they awaken from within the mind.\And the demons shall rise.\Do not let them loose.\Do not let them, ever.\Who are you?\Oh, don't mind me. I was just passing by.\What's going on? Is it something fun? response:	Actually, I heard a little bit of news about Miss Laffinty, that she...
context: they awaken from within the mind.\And the demons shall rise.\Do not let them loose.\Do not let them, ever.\Who are you?\Oh, don't mind me. I was just passing by.\What's going on? Is it something fun?\Actually, I heard a little bit of news about Miss Laffinty, that she... response:	Hold it!
context: And the demons shall rise.\Do not let them loose.\Do not let them, ever.\Who are you?\Oh, don't mind me. I was just passing by.\What's going on? Is it something fun?\Actually, I heard a little bit of news about Miss Laffinty, that she...\Hold it! response:	Ouch, ouch!
context: Do not let them loose.\Do not let them, ever.\Who are you?\Oh, don't mind me. I was just passing by.\What's going on? Is it something fun?\Actually, I heard a little bit of news about Miss Laffinty, that she...\Hold it!\Ouch, ouch! response:	And actually, there's more.
context: Do not let them, ever.\Who are you?\Oh, don't mind me. I was just passing by.\What's going on? Is it something fun?\Actually, I heard a little bit of news about Miss Laffinty, that she...\Hold it!\Ouch, ouch!\And actually, there's more. response:	Madoka, don't listen to her.
context: Who are you?\Oh, don't mind me. I was just passing by.\What's going on? Is it something fun?\Actually, I heard a little bit of news about Miss Laffinty, that she...\Hold it!\Ouch, ouch!\And actually, there's more.\Madoka, don't listen to her. response:	They're lies. All lies. This girl is...
context: Oh, don't mind me. I was just passing by.\What's going on? Is it something fun?\Actually, I heard a little bit of news about Miss Laffinty, that she...\Hold it!\Ouch, ouch!\And actually, there's more.\Madoka, don't listen to her.\They're lies. All lies. This girl is... response:	The Swimmers of Kamogawa
context: What's going on? Is it something fun?\Actually, I heard a little bit of news about Miss Laffinty, that she...\Hold it!\Ouch, ouch!\And actually, there's more.\Madoka, don't listen to her.\They're lies. All lies. This girl is...\The Swimmers of Kamogawa response:	The Swimmers of Kamogawa
