context: We beat Brain, and there's only one of Oracion Seis left! response:	That is just a dream.
context: Thank you for waiting! I can see it!\There is it! I can see Caitshelter!\That's the guild of the race that has sealed Nirvana for an eternity!\All we have to do is destroy them, and then Nirvana can never be sealed again!\Alrighty then!\This is stupid.\You heard me, Klodoa.\What, Master Zero? response:	Destruction! All I want to do is destroy!
context: There is it! I can see Caitshelter!\That's the guild of the race that has sealed Nirvana for an eternity!\All we have to do is destroy them, and then Nirvana can never be sealed again!\Alrighty then!\This is stupid.\You heard me, Klodoa.\What, Master Zero?\Destruction! All I want to do is destroy! response:	Anything and everything!
context: That's the guild of the race that has sealed Nirvana for an eternity!\All we have to do is destroy them, and then Nirvana can never be sealed again!\Alrighty then!\This is stupid.\You heard me, Klodoa.\What, Master Zero?\Destruction! All I want to do is destroy!\Anything and everything! response:	This will be my first shot!
context: All we have to do is destroy them, and then Nirvana can never be sealed again!\Alrighty then!\This is stupid.\You heard me, Klodoa.\What, Master Zero?\Destruction! All I want to do is destroy!\Anything and everything!\This will be my first shot! response:	There's no reason. Until it no longer has a form left to destroy!
context: Alrighty then!\This is stupid.\You heard me, Klodoa.\What, Master Zero?\Destruction! All I want to do is destroy!\Anything and everything!\This will be my first shot!\There's no reason. Until it no longer has a form left to destroy! response:	Nirvana, fire!
context: This is stupid.\You heard me, Klodoa.\What, Master Zero?\Destruction! All I want to do is destroy!\Anything and everything!\This will be my first shot!\There's no reason. Until it no longer has a form left to destroy!\Nirvana, fire! response:	Natsu, do you know about Pegasus?
context: You heard me, Klodoa.\What, Master Zero?\Destruction! All I want to do is destroy!\Anything and everything!\This will be my first shot!\There's no reason. Until it no longer has a form left to destroy!\Nirvana, fire!\Natsu, do you know about Pegasus? response:	Sure... It's the thing that Hibiki's guildmark is a picture of.
context: What, Master Zero?\Destruction! All I want to do is destroy!\Anything and everything!\This will be my first shot!\There's no reason. Until it no longer has a form left to destroy!\Nirvana, fire!\Natsu, do you know about Pegasus?\Sure... It's the thing that Hibiki's guildmark is a picture of. response:	Aye! It's supposed to be a winged horse!
context: Destruction! All I want to do is destroy!\Anything and everything!\This will be my first shot!\There's no reason. Until it no longer has a form left to destroy!\Nirvana, fire!\Natsu, do you know about Pegasus?\Sure... It's the thing that Hibiki's guildmark is a picture of.\Aye! It's supposed to be a winged horse! response:	It's not just snakes, but horses with wings, too!
context: Anything and everything!\This will be my first shot!\There's no reason. Until it no longer has a form left to destroy!\Nirvana, fire!\Natsu, do you know about Pegasus?\Sure... It's the thing that Hibiki's guildmark is a picture of.\Aye! It's supposed to be a winged horse!\It's not just snakes, but horses with wings, too! response:	My character's being ripped off right and left!
context: This will be my first shot!\There's no reason. Until it no longer has a form left to destroy!\Nirvana, fire!\Natsu, do you know about Pegasus?\Sure... It's the thing that Hibiki's guildmark is a picture of.\Aye! It's supposed to be a winged horse!\It's not just snakes, but horses with wings, too!\My character's being ripped off right and left! response:	Is having wings all the rage lately?
context: There's no reason. Until it no longer has a form left to destroy!\Nirvana, fire!\Natsu, do you know about Pegasus?\Sure... It's the thing that Hibiki's guildmark is a picture of.\Aye! It's supposed to be a winged horse!\It's not just snakes, but horses with wings, too!\My character's being ripped off right and left!\Is having wings all the rage lately? response:	Next time: From Pegasus to the Fairies!
context: Nirvana, fire!\Natsu, do you know about Pegasus?\Sure... It's the thing that Hibiki's guildmark is a picture of.\Aye! It's supposed to be a winged horse!\It's not just snakes, but horses with wings, too!\My character's being ripped off right and left!\Is having wings all the rage lately?\Next time: From Pegasus to the Fairies! response:	If wings are all the rage, then business will be booming!
context: Natsu, do you know about Pegasus?\Sure... It's the thing that Hibiki's guildmark is a picture of.\Aye! It's supposed to be a winged horse!\It's not just snakes, but horses with wings, too!\My character's being ripped off right and left!\Is having wings all the rage lately?\Next time: From Pegasus to the Fairies!\If wings are all the rage, then business will be booming! response:	Happy... Are you some kind of merchandise?
