context: It's such a waste to spoil such a cute face with a furrowed brow. response:	Go on. Smile, okay?
context: I don't think I can be friends with Risa anymore.\Is that another Maity Club activity?\I said, starting today, Maity-sensei is going to be the coach for the basketball club.\What the heck?\The coach has sprained his hip, so just bear with it until he gets better.\Why the heck does that guy have to be his substitute?!\Geez. Otani-kun, you have to do something about this.\At this rate Risa really will fall for that cold guy. response:	Like I care.
context: Is that another Maity Club activity?\I said, starting today, Maity-sensei is going to be the coach for the basketball club.\What the heck?\The coach has sprained his hip, so just bear with it until he gets better.\Why the heck does that guy have to be his substitute?!\Geez. Otani-kun, you have to do something about this.\At this rate Risa really will fall for that cold guy.\Like I care. response:	What do you mean, Like I care?! This is all your fault!
context: I said, starting today, Maity-sensei is going to be the coach for the basketball club.\What the heck?\The coach has sprained his hip, so just bear with it until he gets better.\Why the heck does that guy have to be his substitute?!\Geez. Otani-kun, you have to do something about this.\At this rate Risa really will fall for that cold guy.\Like I care.\What do you mean, Like I care?! This is all your fault! response:	How is it my fault?!
context: What the heck?\The coach has sprained his hip, so just bear with it until he gets better.\Why the heck does that guy have to be his substitute?!\Geez. Otani-kun, you have to do something about this.\At this rate Risa really will fall for that cold guy.\Like I care.\What do you mean, Like I care?! This is all your fault!\How is it my fault?! response:	She as the one who chose to go after him on the rebound.
context: The coach has sprained his hip, so just bear with it until he gets better.\Why the heck does that guy have to be his substitute?!\Geez. Otani-kun, you have to do something about this.\At this rate Risa really will fall for that cold guy.\Like I care.\What do you mean, Like I care?! This is all your fault!\How is it my fault?!\She as the one who chose to go after him on the rebound. response:	Hey, please don't bully my cute Nobu-chan.
context: Why the heck does that guy have to be his substitute?!\Geez. Otani-kun, you have to do something about this.\At this rate Risa really will fall for that cold guy.\Like I care.\What do you mean, Like I care?! This is all your fault!\How is it my fault?!\She as the one who chose to go after him on the rebound.\Hey, please don't bully my cute Nobu-chan. response:	You bastard.
context: Geez. Otani-kun, you have to do something about this.\At this rate Risa really will fall for that cold guy.\Like I care.\What do you mean, Like I care?! This is all your fault!\How is it my fault?!\She as the one who chose to go after him on the rebound.\Hey, please don't bully my cute Nobu-chan.\You bastard. response:	I'm the one being bullied!
context: At this rate Risa really will fall for that cold guy.\Like I care.\What do you mean, Like I care?! This is all your fault!\How is it my fault?!\She as the one who chose to go after him on the rebound.\Hey, please don't bully my cute Nobu-chan.\You bastard.\I'm the one being bullied! response:	Koizumi-san.
context: Like I care.\What do you mean, Like I care?! This is all your fault!\How is it my fault?!\She as the one who chose to go after him on the rebound.\Hey, please don't bully my cute Nobu-chan.\You bastard.\I'm the one being bullied!\Koizumi-san. response:	Maity-sensei!
context: What do you mean, Like I care?! This is all your fault!\How is it my fault?!\She as the one who chose to go after him on the rebound.\Hey, please don't bully my cute Nobu-chan.\You bastard.\I'm the one being bullied!\Koizumi-san.\Maity-sensei! response:	Are you feeling better now?
context: How is it my fault?!\She as the one who chose to go after him on the rebound.\Hey, please don't bully my cute Nobu-chan.\You bastard.\I'm the one being bullied!\Koizumi-san.\Maity-sensei!\Are you feeling better now? response:	Sorry about that sudden outburst yesterday.
context: She as the one who chose to go after him on the rebound.\Hey, please don't bully my cute Nobu-chan.\You bastard.\I'm the one being bullied!\Koizumi-san.\Maity-sensei!\Are you feeling better now?\Sorry about that sudden outburst yesterday. response:	I don't know what happened, but don't push yourself too hard, okay?
context: Hey, please don't bully my cute Nobu-chan.\You bastard.\I'm the one being bullied!\Koizumi-san.\Maity-sensei!\Are you feeling better now?\Sorry about that sudden outburst yesterday.\I don't know what happened, but don't push yourself too hard, okay? response:	Yes! It was nothing.
context: You bastard.\I'm the one being bullied!\Koizumi-san.\Maity-sensei!\Are you feeling better now?\Sorry about that sudden outburst yesterday.\I don't know what happened, but don't push yourself too hard, okay?\Yes! It was nothing. response:	I'm going to watch the basketball club and cheer for you today, Maity-sensei.
context: I'm the one being bullied!\Koizumi-san.\Maity-sensei!\Are you feeling better now?\Sorry about that sudden outburst yesterday.\I don't know what happened, but don't push yourself too hard, okay?\Yes! It was nothing.\I'm going to watch the basketball club and cheer for you today, Maity-sensei. response:	Thank you. I'll look forward to it.
context: Koizumi-san.\Maity-sensei!\Are you feeling better now?\Sorry about that sudden outburst yesterday.\I don't know what happened, but don't push yourself too hard, okay?\Yes! It was nothing.\I'm going to watch the basketball club and cheer for you today, Maity-sensei.\Thank you. I'll look forward to it. response:	Do your best!
context: Maity-sensei!\Are you feeling better now?\Sorry about that sudden outburst yesterday.\I don't know what happened, but don't push yourself too hard, okay?\Yes! It was nothing.\I'm going to watch the basketball club and cheer for you today, Maity-sensei.\Thank you. I'll look forward to it.\Do your best! response:	He's so cool!
context: Are you feeling better now?\Sorry about that sudden outburst yesterday.\I don't know what happened, but don't push yourself too hard, okay?\Yes! It was nothing.\I'm going to watch the basketball club and cheer for you today, Maity-sensei.\Thank you. I'll look forward to it.\Do your best!\He's so cool! response:	I'm in your care.
context: Sorry about that sudden outburst yesterday.\I don't know what happened, but don't push yourself too hard, okay?\Yes! It was nothing.\I'm going to watch the basketball club and cheer for you today, Maity-sensei.\Thank you. I'll look forward to it.\Do your best!\He's so cool!\I'm in your care. response:	Can you actually play basketball?
context: I don't know what happened, but don't push yourself too hard, okay?\Yes! It was nothing.\I'm going to watch the basketball club and cheer for you today, Maity-sensei.\Thank you. I'll look forward to it.\Do your best!\He's so cool!\I'm in your care.\Can you actually play basketball? response:	Well, why don't you decide?
context: Yes! It was nothing.\I'm going to watch the basketball club and cheer for you today, Maity-sensei.\Thank you. I'll look forward to it.\Do your best!\He's so cool!\I'm in your care.\Can you actually play basketball?\Well, why don't you decide? response:	That was cheap! Hold it right there!
context: I'm going to watch the basketball club and cheer for you today, Maity-sensei.\Thank you. I'll look forward to it.\Do your best!\He's so cool!\I'm in your care.\Can you actually play basketball?\Well, why don't you decide?\That was cheap! Hold it right there! response:	Maity! Maity!
context: Thank you. I'll look forward to it.\Do your best!\He's so cool!\I'm in your care.\Can you actually play basketball?\Well, why don't you decide?\That was cheap! Hold it right there!\Maity! Maity! response:	Maity! Mai
context: Do your best!\He's so cool!\I'm in your care.\Can you actually play basketball?\Well, why don't you decide?\That was cheap! Hold it right there!\Maity! Maity!\Maity! Mai response:	Maity! Mai...
context: He's so cool!\I'm in your care.\Can you actually play basketball?\Well, why don't you decide?\That was cheap! Hold it right there!\Maity! Maity!\Maity! Mai\Maity! Mai... response:	Sheesh, what is he doing?
context: I'm in your care.\Can you actually play basketball?\Well, why don't you decide?\That was cheap! Hold it right there!\Maity! Maity!\Maity! Mai\Maity! Mai...\Sheesh, what is he doing? response:	Hey, President! We need to cheer properly for Maity-sensei.
context: Can you actually play basketball?\Well, why don't you decide?\That was cheap! Hold it right there!\Maity! Maity!\Maity! Mai\Maity! Mai...\Sheesh, what is he doing?\Hey, President! We need to cheer properly for Maity-sensei. response:	Maity!
context: Well, why don't you decide?\That was cheap! Hold it right there!\Maity! Maity!\Maity! Mai\Maity! Mai...\Sheesh, what is he doing?\Hey, President! We need to cheer properly for Maity-sensei.\Maity! response:	I played basketball all through high school.
context: That was cheap! Hold it right there!\Maity! Maity!\Maity! Mai\Maity! Mai...\Sheesh, what is he doing?\Hey, President! We need to cheer properly for Maity-sensei.\Maity!\I played basketball all through high school. response:	Shut up! You're damn noisy!
context: Maity! Maity!\Maity! Mai\Maity! Mai...\Sheesh, what is he doing?\Hey, President! We need to cheer properly for Maity-sensei.\Maity!\I played basketball all through high school.\Shut up! You're damn noisy! response:	How rude.
context: Maity! Mai\Maity! Mai...\Sheesh, what is he doing?\Hey, President! We need to cheer properly for Maity-sensei.\Maity!\I played basketball all through high school.\Shut up! You're damn noisy!\How rude. response:	Maity! Do your best!
context: Maity! Mai...\Sheesh, what is he doing?\Hey, President! We need to cheer properly for Maity-sensei.\Maity!\I played basketball all through high school.\Shut up! You're damn noisy!\How rude.\Maity! Do your best! response:	Otani?
context: Sheesh, what is he doing?\Hey, President! We need to cheer properly for Maity-sensei.\Maity!\I played basketball all through high school.\Shut up! You're damn noisy!\How rude.\Maity! Do your best!\Otani? response:	Let's go again.
context: Hey, President! We need to cheer properly for Maity-sensei.\Maity!\I played basketball all through high school.\Shut up! You're damn noisy!\How rude.\Maity! Do your best!\Otani?\Let's go again. response:	Okay.
context: Maity!\I played basketball all through high school.\Shut up! You're damn noisy!\How rude.\Maity! Do your best!\Otani?\Let's go again.\Okay. response:	Otani, what about practice?
context: I played basketball all through high school.\Shut up! You're damn noisy!\How rude.\Maity! Do your best!\Otani?\Let's go again.\Okay.\Otani, what about practice? response:	Shut up!
context: Shut up! You're damn noisy!\How rude.\Maity! Do your best!\Otani?\Let's go again.\Okay.\Otani, what about practice?\Shut up! response:	Risa...
context: How rude.\Maity! Do your best!\Otani?\Let's go again.\Okay.\Otani, what about practice?\Shut up!\Risa... response:	Is this really okay?
context: Maity! Do your best!\Otani?\Let's go again.\Okay.\Otani, what about practice?\Shut up!\Risa...\Is this really okay? response:	It's fine.
context: Otani?\Let's go again.\Okay.\Otani, what about practice?\Shut up!\Risa...\Is this really okay?\It's fine. response:	I plan to devote my youth to Maity-sensei from now on.
context: Let's go again.\Okay.\Otani, what about practice?\Shut up!\Risa...\Is this really okay?\It's fine.\I plan to devote my youth to Maity-sensei from now on. response:	Good lord, would you stop this?!
context: Okay.\Otani, what about practice?\Shut up!\Risa...\Is this really okay?\It's fine.\I plan to devote my youth to Maity-sensei from now on.\Good lord, would you stop this?! response:	I absolutely refuse to let you be with a guy like him!
context: Otani, what about practice?\Shut up!\Risa...\Is this really okay?\It's fine.\I plan to devote my youth to Maity-sensei from now on.\Good lord, would you stop this?!\I absolutely refuse to let you be with a guy like him! response:	Risa-chan...
context: Shut up!\Risa...\Is this really okay?\It's fine.\I plan to devote my youth to Maity-sensei from now on.\Good lord, would you stop this?!\I absolutely refuse to let you be with a guy like him!\Risa-chan... response:	But it's not like I have any choice.
context: Risa...\Is this really okay?\It's fine.\I plan to devote my youth to Maity-sensei from now on.\Good lord, would you stop this?!\I absolutely refuse to let you be with a guy like him!\Risa-chan...\But it's not like I have any choice. response:	I tried so hard, and even when I said I was giving up, he didn't even try to stop me.
context: Is this really okay?\It's fine.\I plan to devote my youth to Maity-sensei from now on.\Good lord, would you stop this?!\I absolutely refuse to let you be with a guy like him!\Risa-chan...\But it's not like I have any choice.\I tried so hard, and even when I said I was giving up, he didn't even try to stop me. response:	Ah, you're still here?
context: It's fine.\I plan to devote my youth to Maity-sensei from now on.\Good lord, would you stop this?!\I absolutely refuse to let you be with a guy like him!\Risa-chan...\But it's not like I have any choice.\I tried so hard, and even when I said I was giving up, he didn't even try to stop me.\Ah, you're still here? response:	Darling, is practice over?
context: I plan to devote my youth to Maity-sensei from now on.\Good lord, would you stop this?!\I absolutely refuse to let you be with a guy like him!\Risa-chan...\But it's not like I have any choice.\I tried so hard, and even when I said I was giving up, he didn't even try to stop me.\Ah, you're still here?\Darling, is practice over? response:	Yeah.
context: Good lord, would you stop this?!\I absolutely refuse to let you be with a guy like him!\Risa-chan...\But it's not like I have any choice.\I tried so hard, and even when I said I was giving up, he didn't even try to stop me.\Ah, you're still here?\Darling, is practice over?\Yeah. response:	Where's Otani-kun?
context: I absolutely refuse to let you be with a guy like him!\Risa-chan...\But it's not like I have any choice.\I tried so hard, and even when I said I was giving up, he didn't even try to stop me.\Ah, you're still here?\Darling, is practice over?\Yeah.\Where's Otani-kun? response:	He ran off sulking.
context: Risa-chan...\But it's not like I have any choice.\I tried so hard, and even when I said I was giving up, he didn't even try to stop me.\Ah, you're still here?\Darling, is practice over?\Yeah.\Where's Otani-kun?\He ran off sulking. response:	He couldn't steal the ball from Maity-sensei, you see.
context: But it's not like I have any choice.\I tried so hard, and even when I said I was giving up, he didn't even try to stop me.\Ah, you're still here?\Darling, is practice over?\Yeah.\Where's Otani-kun?\He ran off sulking.\He couldn't steal the ball from Maity-sensei, you see. response:	Maybe he's off being depressed somewhere...
context: I tried so hard, and even when I said I was giving up, he didn't even try to stop me.\Ah, you're still here?\Darling, is practice over?\Yeah.\Where's Otani-kun?\He ran off sulking.\He couldn't steal the ball from Maity-sensei, you see.\Maybe he's off being depressed somewhere... response:	Risa, go find him and talk to him.
context: Ah, you're still here?\Darling, is practice over?\Yeah.\Where's Otani-kun?\He ran off sulking.\He couldn't steal the ball from Maity-sensei, you see.\Maybe he's off being depressed somewhere...\Risa, go find him and talk to him. response:	Why do I have to?
context: Darling, is practice over?\Yeah.\Where's Otani-kun?\He ran off sulking.\He couldn't steal the ball from Maity-sensei, you see.\Maybe he's off being depressed somewhere...\Risa, go find him and talk to him.\Why do I have to? response:	He might go so far as to quit basketball after this.
context: Yeah.\Where's Otani-kun?\He ran off sulking.\He couldn't steal the ball from Maity-sensei, you see.\Maybe he's off being depressed somewhere...\Risa, go find him and talk to him.\Why do I have to?\He might go so far as to quit basketball after this. response:	That's stupid.
context: Where's Otani-kun?\He ran off sulking.\He couldn't steal the ball from Maity-sensei, you see.\Maybe he's off being depressed somewhere...\Risa, go find him and talk to him.\Why do I have to?\He might go so far as to quit basketball after this.\That's stupid. response:	Otani-kun.
context: He ran off sulking.\He couldn't steal the ball from Maity-sensei, you see.\Maybe he's off being depressed somewhere...\Risa, go find him and talk to him.\Why do I have to?\He might go so far as to quit basketball after this.\That's stupid.\Otani-kun. response:	Yes?
context: He couldn't steal the ball from Maity-sensei, you see.\Maybe he's off being depressed somewhere...\Risa, go find him and talk to him.\Why do I have to?\He might go so far as to quit basketball after this.\That's stupid.\Otani-kun.\Yes? response:	I'd like to ask you something. Is that all right with you?
context: Maybe he's off being depressed somewhere...\Risa, go find him and talk to him.\Why do I have to?\He might go so far as to quit basketball after this.\That's stupid.\Otani-kun.\Yes?\I'd like to ask you something. Is that all right with you? response:	Sure. Go ahead.
context: Risa, go find him and talk to him.\Why do I have to?\He might go so far as to quit basketball after this.\That's stupid.\Otani-kun.\Yes?\I'd like to ask you something. Is that all right with you?\Sure. Go ahead. response:	Koizumi-san was crying recently. Were you the reason for that?
context: Why do I have to?\He might go so far as to quit basketball after this.\That's stupid.\Otani-kun.\Yes?\I'd like to ask you something. Is that all right with you?\Sure. Go ahead.\Koizumi-san was crying recently. Were you the reason for that? response:	You looked pretty mad just now.
context: He might go so far as to quit basketball after this.\That's stupid.\Otani-kun.\Yes?\I'd like to ask you something. Is that all right with you?\Sure. Go ahead.\Koizumi-san was crying recently. Were you the reason for that?\You looked pretty mad just now. response:	Shut up! You're creepy! What's it to you, anyway?!
context: That's stupid.\Otani-kun.\Yes?\I'd like to ask you something. Is that all right with you?\Sure. Go ahead.\Koizumi-san was crying recently. Were you the reason for that?\You looked pretty mad just now.\Shut up! You're creepy! What's it to you, anyway?! response:	Girls are hurt easily. You need to be gentle with them.
context: Otani-kun.\Yes?\I'd like to ask you something. Is that all right with you?\Sure. Go ahead.\Koizumi-san was crying recently. Were you the reason for that?\You looked pretty mad just now.\Shut up! You're creepy! What's it to you, anyway?!\Girls are hurt easily. You need to be gentle with them. response:	It's none of your business! Leave me alone!
context: Yes?\I'd like to ask you something. Is that all right with you?\Sure. Go ahead.\Koizumi-san was crying recently. Were you the reason for that?\You looked pretty mad just now.\Shut up! You're creepy! What's it to you, anyway?!\Girls are hurt easily. You need to be gentle with them.\It's none of your business! Leave me alone! response:	Koizumi-san probably likes you a lot.
context: I'd like to ask you something. Is that all right with you?\Sure. Go ahead.\Koizumi-san was crying recently. Were you the reason for that?\You looked pretty mad just now.\Shut up! You're creepy! What's it to you, anyway?!\Girls are hurt easily. You need to be gentle with them.\It's none of your business! Leave me alone!\Koizumi-san probably likes you a lot. response:	So? What about it?
context: Sure. Go ahead.\Koizumi-san was crying recently. Were you the reason for that?\You looked pretty mad just now.\Shut up! You're creepy! What's it to you, anyway?!\Girls are hurt easily. You need to be gentle with them.\It's none of your business! Leave me alone!\Koizumi-san probably likes you a lot.\So? What about it? response:	I was wondering how you feel about her.
context: Koizumi-san was crying recently. Were you the reason for that?\You looked pretty mad just now.\Shut up! You're creepy! What's it to you, anyway?!\Girls are hurt easily. You need to be gentle with them.\It's none of your business! Leave me alone!\Koizumi-san probably likes you a lot.\So? What about it?\I was wondering how you feel about her. response:	That's none of your business.
context: You looked pretty mad just now.\Shut up! You're creepy! What's it to you, anyway?!\Girls are hurt easily. You need to be gentle with them.\It's none of your business! Leave me alone!\Koizumi-san probably likes you a lot.\So? What about it?\I was wondering how you feel about her.\That's none of your business. response:	Then maybe I'll take her for myself.
context: Shut up! You're creepy! What's it to you, anyway?!\Girls are hurt easily. You need to be gentle with them.\It's none of your business! Leave me alone!\Koizumi-san probably likes you a lot.\So? What about it?\I was wondering how you feel about her.\That's none of your business.\Then maybe I'll take her for myself. response:	Do whatever you want.
context: Girls are hurt easily. You need to be gentle with them.\It's none of your business! Leave me alone!\Koizumi-san probably likes you a lot.\So? What about it?\I was wondering how you feel about her.\That's none of your business.\Then maybe I'll take her for myself.\Do whatever you want. response:	Are you really all right with that?
context: It's none of your business! Leave me alone!\Koizumi-san probably likes you a lot.\So? What about it?\I was wondering how you feel about her.\That's none of your business.\Then maybe I'll take her for myself.\Do whatever you want.\Are you really all right with that? response:	I said, do whatever you want!
context: Koizumi-san probably likes you a lot.\So? What about it?\I was wondering how you feel about her.\That's none of your business.\Then maybe I'll take her for myself.\Do whatever you want.\Are you really all right with that?\I said, do whatever you want! response:	I don't like Koizumi or anything!
context: So? What about it?\I was wondering how you feel about her.\That's none of your business.\Then maybe I'll take her for myself.\Do whatever you want.\Are you really all right with that?\I said, do whatever you want!\I don't like Koizumi or anything! response:	Did I hear that right, just now?
context: I was wondering how you feel about her.\That's none of your business.\Then maybe I'll take her for myself.\Do whatever you want.\Are you really all right with that?\I said, do whatever you want!\I don't like Koizumi or anything!\Did I hear that right, just now? response:	I've been rejected by the same guy twice?
context: That's none of your business.\Then maybe I'll take her for myself.\Do whatever you want.\Are you really all right with that?\I said, do whatever you want!\I don't like Koizumi or anything!\Did I hear that right, just now?\I've been rejected by the same guy twice? response:	Chomp!
context: Then maybe I'll take her for myself.\Do whatever you want.\Are you really all right with that?\I said, do whatever you want!\I don't like Koizumi or anything!\Did I hear that right, just now?\I've been rejected by the same guy twice?\Chomp! response:	Ahhh!
context: Do whatever you want.\Are you really all right with that?\I said, do whatever you want!\I don't like Koizumi or anything!\Did I hear that right, just now?\I've been rejected by the same guy twice?\Chomp!\Ahhh! response:	Maity-sensei!
context: Are you really all right with that?\I said, do whatever you want!\I don't like Koizumi or anything!\Did I hear that right, just now?\I've been rejected by the same guy twice?\Chomp!\Ahhh!\Maity-sensei! response:	Maity, Maity. Shut up!
context: I said, do whatever you want!\I don't like Koizumi or anything!\Did I hear that right, just now?\I've been rejected by the same guy twice?\Chomp!\Ahhh!\Maity-sensei!\Maity, Maity. Shut up! response:	Quit that disgusting Maity Club, already.
context: I don't like Koizumi or anything!\Did I hear that right, just now?\I've been rejected by the same guy twice?\Chomp!\Ahhh!\Maity-sensei!\Maity, Maity. Shut up!\Quit that disgusting Maity Club, already. response:	Otani, are you jealous?
context: Did I hear that right, just now?\I've been rejected by the same guy twice?\Chomp!\Ahhh!\Maity-sensei!\Maity, Maity. Shut up!\Quit that disgusting Maity Club, already.\Otani, are you jealous? response:	Lovely Complex Love Com.
context: I've been rejected by the same guy twice?\Chomp!\Ahhh!\Maity-sensei!\Maity, Maity. Shut up!\Quit that disgusting Maity Club, already.\Otani, are you jealous?\Lovely Complex Love Com. response:	Next: Maity's Magic! The Transforming Power of Love!?
context: Chomp!\Ahhh!\Maity-sensei!\Maity, Maity. Shut up!\Quit that disgusting Maity Club, already.\Otani, are you jealous?\Lovely Complex Love Com.\Next: Maity's Magic! The Transforming Power of Love!? response:	Maity's Magic! The Transforming Power of Love!?
context: Ahhh!\Maity-sensei!\Maity, Maity. Shut up!\Quit that disgusting Maity Club, already.\Otani, are you jealous?\Lovely Complex Love Com.\Next: Maity's Magic! The Transforming Power of Love!?\Maity's Magic! The Transforming Power of Love!? response:	Be sure to watch!
