context: On the night of Christmas Eve, response:	I made up with Shiina,
context: I look forward to next month's volume.\By the way, are you going to meet your deadline?\You won't be able to use a computer over the break...\I already did it.\What?\I gave it to Ayano.\I injured my finger.\I did it after it healed. response:	I see.
context: By the way, are you going to meet your deadline?\You won't be able to use a computer over the break...\I already did it.\What?\I gave it to Ayano.\I injured my finger.\I did it after it healed.\I see. response:	Is that right?
context: You won't be able to use a computer over the break...\I already did it.\What?\I gave it to Ayano.\I injured my finger.\I did it after it healed.\I see.\Is that right? response:	Huh?
context: I already did it.\What?\I gave it to Ayano.\I injured my finger.\I did it after it healed.\I see.\Is that right?\Huh? response:	Is that what you like about me?
context: What?\I gave it to Ayano.\I injured my finger.\I did it after it healed.\I see.\Is that right?\Huh?\Is that what you like about me? response:	Wha
context: I gave it to Ayano.\I injured my finger.\I did it after it healed.\I see.\Is that right?\Huh?\Is that what you like about me?\Wha response:	Since then, I've liked that about you.
context: I injured my finger.\I did it after it healed.\I see.\Is that right?\Huh?\Is that what you like about me?\Wha\Since then, I've liked that about you. response:	Answer me.
context: I did it after it healed.\I see.\Is that right?\Huh?\Is that what you like about me?\Wha\Since then, I've liked that about you.\Answer me. response:	Y-Yeah, that's right.
context: I see.\Is that right?\Huh?\Is that what you like about me?\Wha\Since then, I've liked that about you.\Answer me.\Y-Yeah, that's right. response:	Good.
context: Is that right?\Huh?\Is that what you like about me?\Wha\Since then, I've liked that about you.\Answer me.\Y-Yeah, that's right.\Good. response:	What? Is this for my presentation?
context: Huh?\Is that what you like about me?\Wha\Since then, I've liked that about you.\Answer me.\Y-Yeah, that's right.\Good.\What? Is this for my presentation? response:	Use your abilities by hitting the buttons in time with the rhythm!
context: Is that what you like about me?\Wha\Since then, I've liked that about you.\Answer me.\Y-Yeah, that's right.\Good.\What? Is this for my presentation?\Use your abilities by hitting the buttons in time with the rhythm! response:	Use combos to score lots of points!
context: Wha\Since then, I've liked that about you.\Answer me.\Y-Yeah, that's right.\Good.\What? Is this for my presentation?\Use your abilities by hitting the buttons in time with the rhythm!\Use combos to score lots of points! response:	Will you stop liking me if I draw things that aren't manga?
context: Since then, I've liked that about you.\Answer me.\Y-Yeah, that's right.\Good.\What? Is this for my presentation?\Use your abilities by hitting the buttons in time with the rhythm!\Use combos to score lots of points!\Will you stop liking me if I draw things that aren't manga? response:	I-I won't!
context: Answer me.\Y-Yeah, that's right.\Good.\What? Is this for my presentation?\Use your abilities by hitting the buttons in time with the rhythm!\Use combos to score lots of points!\Will you stop liking me if I draw things that aren't manga?\I-I won't! response:	Good.
context: Y-Yeah, that's right.\Good.\What? Is this for my presentation?\Use your abilities by hitting the buttons in time with the rhythm!\Use combos to score lots of points!\Will you stop liking me if I draw things that aren't manga?\I-I won't!\Good. response:	I've got to work hard.
context: Good.\What? Is this for my presentation?\Use your abilities by hitting the buttons in time with the rhythm!\Use combos to score lots of points!\Will you stop liking me if I draw things that aren't manga?\I-I won't!\Good.\I've got to work hard. response:	No, really...
context: What? Is this for my presentation?\Use your abilities by hitting the buttons in time with the rhythm!\Use combos to score lots of points!\Will you stop liking me if I draw things that aren't manga?\I-I won't!\Good.\I've got to work hard.\No, really... response:	Thanks.
context: Use your abilities by hitting the buttons in time with the rhythm!\Use combos to score lots of points!\Will you stop liking me if I draw things that aren't manga?\I-I won't!\Good.\I've got to work hard.\No, really...\Thanks. response:	This concludes my pitch.
context: Use combos to score lots of points!\Will you stop liking me if I draw things that aren't manga?\I-I won't!\Good.\I've got to work hard.\No, really...\Thanks.\This concludes my pitch. response:	Thank you very much.
context: Will you stop liking me if I draw things that aren't manga?\I-I won't!\Good.\I've got to work hard.\No, really...\Thanks.\This concludes my pitch.\Thank you very much. response:	That was amazing, Onii-chan!
context: I-I won't!\Good.\I've got to work hard.\No, really...\Thanks.\This concludes my pitch.\Thank you very much.\That was amazing, Onii-chan! response:	You've become a truly competent man!
context: Good.\I've got to work hard.\No, really...\Thanks.\This concludes my pitch.\Thank you very much.\That was amazing, Onii-chan!\You've become a truly competent man! response:	Yeah, it's gotten a lot easier to understand.
context: I've got to work hard.\No, really...\Thanks.\This concludes my pitch.\Thank you very much.\That was amazing, Onii-chan!\You've become a truly competent man!\Yeah, it's gotten a lot easier to understand. response:	Sorata, you've grown so much.
context: No, really...\Thanks.\This concludes my pitch.\Thank you very much.\That was amazing, Onii-chan!\You've become a truly competent man!\Yeah, it's gotten a lot easier to understand.\Sorata, you've grown so much. response:	That was so cool! I want to hear it again!
context: Thanks.\This concludes my pitch.\Thank you very much.\That was amazing, Onii-chan!\You've become a truly competent man!\Yeah, it's gotten a lot easier to understand.\Sorata, you've grown so much.\That was so cool! I want to hear it again! response:	Aoyama, did you make these? I thought Mom did.
context: This concludes my pitch.\Thank you very much.\That was amazing, Onii-chan!\You've become a truly competent man!\Yeah, it's gotten a lot easier to understand.\Sorata, you've grown so much.\That was so cool! I want to hear it again!\Aoyama, did you make these? I thought Mom did. response:	She used to make them for me all the time.
context: Thank you very much.\That was amazing, Onii-chan!\You've become a truly competent man!\Yeah, it's gotten a lot easier to understand.\Sorata, you've grown so much.\That was so cool! I want to hear it again!\Aoyama, did you make these? I thought Mom did.\She used to make them for me all the time. response:	Y-Yeah, she taught me. Are they good?
context: That was amazing, Onii-chan!\You've become a truly competent man!\Yeah, it's gotten a lot easier to understand.\Sorata, you've grown so much.\That was so cool! I want to hear it again!\Aoyama, did you make these? I thought Mom did.\She used to make them for me all the time.\Y-Yeah, she taught me. Are they good? response:	Yeah.
context: You've become a truly competent man!\Yeah, it's gotten a lot easier to understand.\Sorata, you've grown so much.\That was so cool! I want to hear it again!\Aoyama, did you make these? I thought Mom did.\She used to make them for me all the time.\Y-Yeah, she taught me. Are they good?\Yeah. response:	They're great, thanks.
context: Yeah, it's gotten a lot easier to understand.\Sorata, you've grown so much.\That was so cool! I want to hear it again!\Aoyama, did you make these? I thought Mom did.\She used to make them for me all the time.\Y-Yeah, she taught me. Are they good?\Yeah.\They're great, thanks. response:	I-I see.
context: Sorata, you've grown so much.\That was so cool! I want to hear it again!\Aoyama, did you make these? I thought Mom did.\She used to make them for me all the time.\Y-Yeah, she taught me. Are they good?\Yeah.\They're great, thanks.\I-I see. response:	That's good.
context: That was so cool! I want to hear it again!\Aoyama, did you make these? I thought Mom did.\She used to make them for me all the time.\Y-Yeah, she taught me. Are they good?\Yeah.\They're great, thanks.\I-I see.\That's good. response:	You're so focused on your work, you don't even eat dinner.
context: Aoyama, did you make these? I thought Mom did.\She used to make them for me all the time.\Y-Yeah, she taught me. Are they good?\Yeah.\They're great, thanks.\I-I see.\That's good.\You're so focused on your work, you don't even eat dinner. response:	It's already New Year's Eve.
context: She used to make them for me all the time.\Y-Yeah, she taught me. Are they good?\Yeah.\They're great, thanks.\I-I see.\That's good.\You're so focused on your work, you don't even eat dinner.\It's already New Year's Eve. response:	The presentation's right after the break,
context: Y-Yeah, she taught me. Are they good?\Yeah.\They're great, thanks.\I-I see.\That's good.\You're so focused on your work, you don't even eat dinner.\It's already New Year's Eve.\The presentation's right after the break, response:	but it took a while for it to take shape.
context: Yeah.\They're great, thanks.\I-I see.\That's good.\You're so focused on your work, you don't even eat dinner.\It's already New Year's Eve.\The presentation's right after the break,\but it took a while for it to take shape. response:	It was really good.
context: They're great, thanks.\I-I see.\That's good.\You're so focused on your work, you don't even eat dinner.\It's already New Year's Eve.\The presentation's right after the break,\but it took a while for it to take shape.\It was really good. response:	But I still feel a little uneasy.
context: I-I see.\That's good.\You're so focused on your work, you don't even eat dinner.\It's already New Year's Eve.\The presentation's right after the break,\but it took a while for it to take shape.\It was really good.\But I still feel a little uneasy. response:	Aoyama, if you were on the screening committee,
context: That's good.\You're so focused on your work, you don't even eat dinner.\It's already New Year's Eve.\The presentation's right after the break,\but it took a while for it to take shape.\It was really good.\But I still feel a little uneasy.\Aoyama, if you were on the screening committee, response:	what would you want to hear during a presentation?
context: You're so focused on your work, you don't even eat dinner.\It's already New Year's Eve.\The presentation's right after the break,\but it took a while for it to take shape.\It was really good.\But I still feel a little uneasy.\Aoyama, if you were on the screening committee,\what would you want to hear during a presentation? response:	Who, me?
context: It's already New Year's Eve.\The presentation's right after the break,\but it took a while for it to take shape.\It was really good.\But I still feel a little uneasy.\Aoyama, if you were on the screening committee,\what would you want to hear during a presentation?\Who, me? response:	I don't know much about games, but...
context: The presentation's right after the break,\but it took a while for it to take shape.\It was really good.\But I still feel a little uneasy.\Aoyama, if you were on the screening committee,\what would you want to hear during a presentation?\Who, me?\I don't know much about games, but... response:	Let's see...
context: but it took a while for it to take shape.\It was really good.\But I still feel a little uneasy.\Aoyama, if you were on the screening committee,\what would you want to hear during a presentation?\Who, me?\I don't know much about games, but...\Let's see... response:	If I worked for a company,
context: It was really good.\But I still feel a little uneasy.\Aoyama, if you were on the screening committee,\what would you want to hear during a presentation?\Who, me?\I don't know much about games, but...\Let's see...\If I worked for a company, response:	I might wonder if a game would make money or not.
context: But I still feel a little uneasy.\Aoyama, if you were on the screening committee,\what would you want to hear during a presentation?\Who, me?\I don't know much about games, but...\Let's see...\If I worked for a company,\I might wonder if a game would make money or not. response:	Sorry. That might be obvious.
context: Aoyama, if you were on the screening committee,\what would you want to hear during a presentation?\Who, me?\I don't know much about games, but...\Let's see...\If I worked for a company,\I might wonder if a game would make money or not.\Sorry. That might be obvious. response:	No, I was so caught up in whether it'd be fun or not,
context: what would you want to hear during a presentation?\Who, me?\I don't know much about games, but...\Let's see...\If I worked for a company,\I might wonder if a game would make money or not.\Sorry. That might be obvious.\No, I was so caught up in whether it'd be fun or not, response:	I had completely forgotten about that!
context: Who, me?\I don't know much about games, but...\Let's see...\If I worked for a company,\I might wonder if a game would make money or not.\Sorry. That might be obvious.\No, I was so caught up in whether it'd be fun or not,\I had completely forgotten about that! response:	That's amazing! Thanks, Aoyama!
context: I don't know much about games, but...\Let's see...\If I worked for a company,\I might wonder if a game would make money or not.\Sorry. That might be obvious.\No, I was so caught up in whether it'd be fun or not,\I had completely forgotten about that!\That's amazing! Thanks, Aoyama! response:	You're always helping me out, Aoyama.
context: Let's see...\If I worked for a company,\I might wonder if a game would make money or not.\Sorry. That might be obvious.\No, I was so caught up in whether it'd be fun or not,\I had completely forgotten about that!\That's amazing! Thanks, Aoyama!\You're always helping me out, Aoyama. response:	You made me rice balls for my first presentation, remember?
context: If I worked for a company,\I might wonder if a game would make money or not.\Sorry. That might be obvious.\No, I was so caught up in whether it'd be fun or not,\I had completely forgotten about that!\That's amazing! Thanks, Aoyama!\You're always helping me out, Aoyama.\You made me rice balls for my first presentation, remember? response:	Thanks for everything.
context: I might wonder if a game would make money or not.\Sorry. That might be obvious.\No, I was so caught up in whether it'd be fun or not,\I had completely forgotten about that!\That's amazing! Thanks, Aoyama!\You're always helping me out, Aoyama.\You made me rice balls for my first presentation, remember?\Thanks for everything. response:	And you've got an audition coming up.
context: Sorry. That might be obvious.\No, I was so caught up in whether it'd be fun or not,\I had completely forgotten about that!\That's amazing! Thanks, Aoyama!\You're always helping me out, Aoyama.\You made me rice balls for my first presentation, remember?\Thanks for everything.\And you've got an audition coming up. response:	Sorry for being a burden.
context: No, I was so caught up in whether it'd be fun or not,\I had completely forgotten about that!\That's amazing! Thanks, Aoyama!\You're always helping me out, Aoyama.\You made me rice balls for my first presentation, remember?\Thanks for everything.\And you've got an audition coming up.\Sorry for being a burden. response:	No, it's okay.
context: I had completely forgotten about that!\That's amazing! Thanks, Aoyama!\You're always helping me out, Aoyama.\You made me rice balls for my first presentation, remember?\Thanks for everything.\And you've got an audition coming up.\Sorry for being a burden.\No, it's okay. response:	I'm doing this because I want to.
context: That's amazing! Thanks, Aoyama!\You're always helping me out, Aoyama.\You made me rice balls for my first presentation, remember?\Thanks for everything.\And you've got an audition coming up.\Sorry for being a burden.\No, it's okay.\I'm doing this because I want to. response:	Besides, doing other things takes my mind off of it.
context: You're always helping me out, Aoyama.\You made me rice balls for my first presentation, remember?\Thanks for everything.\And you've got an audition coming up.\Sorry for being a burden.\No, it's okay.\I'm doing this because I want to.\Besides, doing other things takes my mind off of it. response:	The only thing I can do until the script arrives is prepare myself mentally...
context: You made me rice balls for my first presentation, remember?\Thanks for everything.\And you've got an audition coming up.\Sorry for being a burden.\No, it's okay.\I'm doing this because I want to.\Besides, doing other things takes my mind off of it.\The only thing I can do until the script arrives is prepare myself mentally... response:	Aoyama...
context: Thanks for everything.\And you've got an audition coming up.\Sorry for being a burden.\No, it's okay.\I'm doing this because I want to.\Besides, doing other things takes my mind off of it.\The only thing I can do until the script arrives is prepare myself mentally...\Aoyama... response:	Oh, yeah...
context: And you've got an audition coming up.\Sorry for being a burden.\No, it's okay.\I'm doing this because I want to.\Besides, doing other things takes my mind off of it.\The only thing I can do until the script arrives is prepare myself mentally...\Aoyama...\Oh, yeah... response:	Once my script gets here, I'll get you to help me practice for my audition.
context: Sorry for being a burden.\No, it's okay.\I'm doing this because I want to.\Besides, doing other things takes my mind off of it.\The only thing I can do until the script arrives is prepare myself mentally...\Aoyama...\Oh, yeah...\Once my script gets here, I'll get you to help me practice for my audition. response:	Here.
context: No, it's okay.\I'm doing this because I want to.\Besides, doing other things takes my mind off of it.\The only thing I can do until the script arrives is prepare myself mentally...\Aoyama...\Oh, yeah...\Once my script gets here, I'll get you to help me practice for my audition.\Here. response:	You don't have to do that.
context: I'm doing this because I want to.\Besides, doing other things takes my mind off of it.\The only thing I can do until the script arrives is prepare myself mentally...\Aoyama...\Oh, yeah...\Once my script gets here, I'll get you to help me practice for my audition.\Here.\You don't have to do that. response:	I'd help you in any way I can.
context: Besides, doing other things takes my mind off of it.\The only thing I can do until the script arrives is prepare myself mentally...\Aoyama...\Oh, yeah...\Once my script gets here, I'll get you to help me practice for my audition.\Here.\You don't have to do that.\I'd help you in any way I can. response:	What? Why?
context: The only thing I can do until the script arrives is prepare myself mentally...\Aoyama...\Oh, yeah...\Once my script gets here, I'll get you to help me practice for my audition.\Here.\You don't have to do that.\I'd help you in any way I can.\What? Why? response:	W-Well, because I want you to pass your audition.
context: Aoyama...\Oh, yeah...\Once my script gets here, I'll get you to help me practice for my audition.\Here.\You don't have to do that.\I'd help you in any way I can.\What? Why?\W-Well, because I want you to pass your audition. response:	I've been watching you work hard since we were first years.
context: Oh, yeah...\Once my script gets here, I'll get you to help me practice for my audition.\Here.\You don't have to do that.\I'd help you in any way I can.\What? Why?\W-Well, because I want you to pass your audition.\I've been watching you work hard since we were first years. response:	But the truth is, I might just actually want you to prove...
context: Once my script gets here, I'll get you to help me practice for my audition.\Here.\You don't have to do that.\I'd help you in any way I can.\What? Why?\W-Well, because I want you to pass your audition.\I've been watching you work hard since we were first years.\But the truth is, I might just actually want you to prove... response:	hard work is always rewarded.
context: Here.\You don't have to do that.\I'd help you in any way I can.\What? Why?\W-Well, because I want you to pass your audition.\I've been watching you work hard since we were first years.\But the truth is, I might just actually want you to prove...\hard work is always rewarded. response:	Sorry, I shouldn't have said that.
context: You don't have to do that.\I'd help you in any way I can.\What? Why?\W-Well, because I want you to pass your audition.\I've been watching you work hard since we were first years.\But the truth is, I might just actually want you to prove...\hard work is always rewarded.\Sorry, I shouldn't have said that. response:	No, it's fine.
context: I'd help you in any way I can.\What? Why?\W-Well, because I want you to pass your audition.\I've been watching you work hard since we were first years.\But the truth is, I might just actually want you to prove...\hard work is always rewarded.\Sorry, I shouldn't have said that.\No, it's fine. response:	Let's both work hard.
context: What? Why?\W-Well, because I want you to pass your audition.\I've been watching you work hard since we were first years.\But the truth is, I might just actually want you to prove...\hard work is always rewarded.\Sorry, I shouldn't have said that.\No, it's fine.\Let's both work hard. response:	Yeah.
context: W-Well, because I want you to pass your audition.\I've been watching you work hard since we were first years.\But the truth is, I might just actually want you to prove...\hard work is always rewarded.\Sorry, I shouldn't have said that.\No, it's fine.\Let's both work hard.\Yeah. response:	I'll work hard, too.
context: I've been watching you work hard since we were first years.\But the truth is, I might just actually want you to prove...\hard work is always rewarded.\Sorry, I shouldn't have said that.\No, it's fine.\Let's both work hard.\Yeah.\I'll work hard, too. response:	I want to work hard with you.
context: But the truth is, I might just actually want you to prove...\hard work is always rewarded.\Sorry, I shouldn't have said that.\No, it's fine.\Let's both work hard.\Yeah.\I'll work hard, too.\I want to work hard with you. response:	Shiina, you always work hard.
context: hard work is always rewarded.\Sorry, I shouldn't have said that.\No, it's fine.\Let's both work hard.\Yeah.\I'll work hard, too.\I want to work hard with you.\Shiina, you always work hard. response:	I-I think so, too...
context: Sorry, I shouldn't have said that.\No, it's fine.\Let's both work hard.\Yeah.\I'll work hard, too.\I want to work hard with you.\Shiina, you always work hard.\I-I think so, too... response:	There have been lots of things I don't understand lately.
context: No, it's fine.\Let's both work hard.\Yeah.\I'll work hard, too.\I want to work hard with you.\Shiina, you always work hard.\I-I think so, too...\There have been lots of things I don't understand lately. response:	It's nothing.
context: Let's both work hard.\Yeah.\I'll work hard, too.\I want to work hard with you.\Shiina, you always work hard.\I-I think so, too...\There have been lots of things I don't understand lately.\It's nothing. response:	Shiina?
context: Yeah.\I'll work hard, too.\I want to work hard with you.\Shiina, you always work hard.\I-I think so, too...\There have been lots of things I don't understand lately.\It's nothing.\Shiina? response:	There are lots of things I don't understand.
context: I'll work hard, too.\I want to work hard with you.\Shiina, you always work hard.\I-I think so, too...\There have been lots of things I don't understand lately.\It's nothing.\Shiina?\There are lots of things I don't understand. response:	Mashiron?
context: I want to work hard with you.\Shiina, you always work hard.\I-I think so, too...\There have been lots of things I don't understand lately.\It's nothing.\Shiina?\There are lots of things I don't understand.\Mashiron? response:	Misaki, how do you want things to go with Jin?
context: Shiina, you always work hard.\I-I think so, too...\There have been lots of things I don't understand lately.\It's nothing.\Shiina?\There are lots of things I don't understand.\Mashiron?\Misaki, how do you want things to go with Jin? response:	Who knows what you want? No, no.
context: I-I think so, too...\There have been lots of things I don't understand lately.\It's nothing.\Shiina?\There are lots of things I don't understand.\Mashiron?\Misaki, how do you want things to go with Jin?\Who knows what you want? No, no. response:	Huh? What does that mean?
context: There have been lots of things I don't understand lately.\It's nothing.\Shiina?\There are lots of things I don't understand.\Mashiron?\Misaki, how do you want things to go with Jin?\Who knows what you want? No, no.\Huh? What does that mean? response:	In my manga, you're together.
context: It's nothing.\Shiina?\There are lots of things I don't understand.\Mashiron?\Misaki, how do you want things to go with Jin?\Who knows what you want? No, no.\Huh? What does that mean?\In my manga, you're together. response:	Is that wrong?
context: Shiina?\There are lots of things I don't understand.\Mashiron?\Misaki, how do you want things to go with Jin?\Who knows what you want? No, no.\Huh? What does that mean?\In my manga, you're together.\Is that wrong? response:	What's right?
context: There are lots of things I don't understand.\Mashiron?\Misaki, how do you want things to go with Jin?\Who knows what you want? No, no.\Huh? What does that mean?\In my manga, you're together.\Is that wrong?\What's right? response:	What's...
context: Mashiron?\Misaki, how do you want things to go with Jin?\Who knows what you want? No, no.\Huh? What does that mean?\In my manga, you're together.\Is that wrong?\What's right?\What's... response:	I want to be with Jin.
context: Misaki, how do you want things to go with Jin?\Who knows what you want? No, no.\Huh? What does that mean?\In my manga, you're together.\Is that wrong?\What's right?\What's...\I want to be with Jin. response:	If I were hurting Jin by making animations, I'd stop animating...
context: Who knows what you want? No, no.\Huh? What does that mean?\In my manga, you're together.\Is that wrong?\What's right?\What's...\I want to be with Jin.\If I were hurting Jin by making animations, I'd stop animating... response:	I see.
context: Huh? What does that mean?\In my manga, you're together.\Is that wrong?\What's right?\What's...\I want to be with Jin.\If I were hurting Jin by making animations, I'd stop animating...\I see. response:	Would Jin like you if you did that?
context: In my manga, you're together.\Is that wrong?\What's right?\What's...\I want to be with Jin.\If I were hurting Jin by making animations, I'd stop animating...\I see.\Would Jin like you if you did that? response:	Sorata likes that I love to draw manga.
context: Is that wrong?\What's right?\What's...\I want to be with Jin.\If I were hurting Jin by making animations, I'd stop animating...\I see.\Would Jin like you if you did that?\Sorata likes that I love to draw manga. response:	What does Jin like about you?
context: What's right?\What's...\I want to be with Jin.\If I were hurting Jin by making animations, I'd stop animating...\I see.\Would Jin like you if you did that?\Sorata likes that I love to draw manga.\What does Jin like about you? response:	Do you have enough chopsticks on that side?
context: What's...\I want to be with Jin.\If I were hurting Jin by making animations, I'd stop animating...\I see.\Would Jin like you if you did that?\Sorata likes that I love to draw manga.\What does Jin like about you?\Do you have enough chopsticks on that side? response:	Yeah, um...
context: I want to be with Jin.\If I were hurting Jin by making animations, I'd stop animating...\I see.\Would Jin like you if you did that?\Sorata likes that I love to draw manga.\What does Jin like about you?\Do you have enough chopsticks on that side?\Yeah, um... response:	Hey, do you have a minute?
context: If I were hurting Jin by making animations, I'd stop animating...\I see.\Would Jin like you if you did that?\Sorata likes that I love to draw manga.\What does Jin like about you?\Do you have enough chopsticks on that side?\Yeah, um...\Hey, do you have a minute? response:	I've never seen her study so hard.
context: I see.\Would Jin like you if you did that?\Sorata likes that I love to draw manga.\What does Jin like about you?\Do you have enough chopsticks on that side?\Yeah, um...\Hey, do you have a minute?\I've never seen her study so hard. response:	But Dad opposes her applying to Suimei.
context: Would Jin like you if you did that?\Sorata likes that I love to draw manga.\What does Jin like about you?\Do you have enough chopsticks on that side?\Yeah, um...\Hey, do you have a minute?\I've never seen her study so hard.\But Dad opposes her applying to Suimei. response:	If you talked to Dad, he'd allow it in an instant.
context: Sorata likes that I love to draw manga.\What does Jin like about you?\Do you have enough chopsticks on that side?\Yeah, um...\Hey, do you have a minute?\I've never seen her study so hard.\But Dad opposes her applying to Suimei.\If you talked to Dad, he'd allow it in an instant. response:	But Yuko asked you to do it.
context: What does Jin like about you?\Do you have enough chopsticks on that side?\Yeah, um...\Hey, do you have a minute?\I've never seen her study so hard.\But Dad opposes her applying to Suimei.\If you talked to Dad, he'd allow it in an instant.\But Yuko asked you to do it. response:	Fine. Tell Dad...
context: Do you have enough chopsticks on that side?\Yeah, um...\Hey, do you have a minute?\I've never seen her study so hard.\But Dad opposes her applying to Suimei.\If you talked to Dad, he'd allow it in an instant.\But Yuko asked you to do it.\Fine. Tell Dad... response:	that I need to talk to him when he has a moment.
context: Yeah, um...\Hey, do you have a minute?\I've never seen her study so hard.\But Dad opposes her applying to Suimei.\If you talked to Dad, he'd allow it in an instant.\But Yuko asked you to do it.\Fine. Tell Dad...\that I need to talk to him when he has a moment. response:	Okay.
context: Hey, do you have a minute?\I've never seen her study so hard.\But Dad opposes her applying to Suimei.\If you talked to Dad, he'd allow it in an instant.\But Yuko asked you to do it.\Fine. Tell Dad...\that I need to talk to him when he has a moment.\Okay. response:	Come on. Your noodles will get soggy.
context: I've never seen her study so hard.\But Dad opposes her applying to Suimei.\If you talked to Dad, he'd allow it in an instant.\But Yuko asked you to do it.\Fine. Tell Dad...\that I need to talk to him when he has a moment.\Okay.\Come on. Your noodles will get soggy. response:	I know what I told Mom, but...
context: But Dad opposes her applying to Suimei.\If you talked to Dad, he'd allow it in an instant.\But Yuko asked you to do it.\Fine. Tell Dad...\that I need to talk to him when he has a moment.\Okay.\Come on. Your noodles will get soggy.\I know what I told Mom, but... response:	How am I supposed to convince Dad?
context: If you talked to Dad, he'd allow it in an instant.\But Yuko asked you to do it.\Fine. Tell Dad...\that I need to talk to him when he has a moment.\Okay.\Come on. Your noodles will get soggy.\I know what I told Mom, but...\How am I supposed to convince Dad? response:	Opportunity waits for no man!
context: But Yuko asked you to do it.\Fine. Tell Dad...\that I need to talk to him when he has a moment.\Okay.\Come on. Your noodles will get soggy.\I know what I told Mom, but...\How am I supposed to convince Dad?\Opportunity waits for no man! response:	What's wrong with you?! What are you doing?!
context: Fine. Tell Dad...\that I need to talk to him when he has a moment.\Okay.\Come on. Your noodles will get soggy.\I know what I told Mom, but...\How am I supposed to convince Dad?\Opportunity waits for no man!\What's wrong with you?! What are you doing?! response:	If you make excuses by saying you're not ready...
context: that I need to talk to him when he has a moment.\Okay.\Come on. Your noodles will get soggy.\I know what I told Mom, but...\How am I supposed to convince Dad?\Opportunity waits for no man!\What's wrong with you?! What are you doing?!\If you make excuses by saying you're not ready... response:	and let opportunities pass you by,
context: Okay.\Come on. Your noodles will get soggy.\I know what I told Mom, but...\How am I supposed to convince Dad?\Opportunity waits for no man!\What's wrong with you?! What are you doing?!\If you make excuses by saying you're not ready...\and let opportunities pass you by, response:	you'll never get another chance!
context: Come on. Your noodles will get soggy.\I know what I told Mom, but...\How am I supposed to convince Dad?\Opportunity waits for no man!\What's wrong with you?! What are you doing?!\If you make excuses by saying you're not ready...\and let opportunities pass you by,\you'll never get another chance! response:	D-D-Don't get so close!
context: I know what I told Mom, but...\How am I supposed to convince Dad?\Opportunity waits for no man!\What's wrong with you?! What are you doing?!\If you make excuses by saying you're not ready...\and let opportunities pass you by,\you'll never get another chance!\D-D-Don't get so close! response:	N-N-No!
context: How am I supposed to convince Dad?\Opportunity waits for no man!\What's wrong with you?! What are you doing?!\If you make excuses by saying you're not ready...\and let opportunities pass you by,\you'll never get another chance!\D-D-Don't get so close!\N-N-No! response:	You wanted to talk to me, right?
context: Opportunity waits for no man!\What's wrong with you?! What are you doing?!\If you make excuses by saying you're not ready...\and let opportunities pass you by,\you'll never get another chance!\D-D-Don't get so close!\N-N-No!\You wanted to talk to me, right? response:	Your mother told me.
context: What's wrong with you?! What are you doing?!\If you make excuses by saying you're not ready...\and let opportunities pass you by,\you'll never get another chance!\D-D-Don't get so close!\N-N-No!\You wanted to talk to me, right?\Your mother told me. response:	What?! That's why you came in here?!
context: If you make excuses by saying you're not ready...\and let opportunities pass you by,\you'll never get another chance!\D-D-Don't get so close!\N-N-No!\You wanted to talk to me, right?\Your mother told me.\What?! That's why you came in here?! response:	Spit it out.
context: and let opportunities pass you by,\you'll never get another chance!\D-D-Don't get so close!\N-N-No!\You wanted to talk to me, right?\Your mother told me.\What?! That's why you came in here?!\Spit it out. response:	I wish you'd waited until I got out of the bath.
context: you'll never get another chance!\D-D-Don't get so close!\N-N-No!\You wanted to talk to me, right?\Your mother told me.\What?! That's why you came in here?!\Spit it out.\I wish you'd waited until I got out of the bath. response:	There's one thing I need to teach you...
context: D-D-Don't get so close!\N-N-No!\You wanted to talk to me, right?\Your mother told me.\What?! That's why you came in here?!\Spit it out.\I wish you'd waited until I got out of the bath.\There's one thing I need to teach you... response:	about life while I still have breath in my body!
context: N-N-No!\You wanted to talk to me, right?\Your mother told me.\What?! That's why you came in here?!\Spit it out.\I wish you'd waited until I got out of the bath.\There's one thing I need to teach you...\about life while I still have breath in my body! response:	Opportunity waits for no man!
context: You wanted to talk to me, right?\Your mother told me.\What?! That's why you came in here?!\Spit it out.\I wish you'd waited until I got out of the bath.\There's one thing I need to teach you...\about life while I still have breath in my body!\Opportunity waits for no man! response:	I got it already! I wanted to talk about Yuko!
context: Your mother told me.\What?! That's why you came in here?!\Spit it out.\I wish you'd waited until I got out of the bath.\There's one thing I need to teach you...\about life while I still have breath in my body!\Opportunity waits for no man!\I got it already! I wanted to talk about Yuko! response:	She seems to be taking studying seriously,
context: What?! That's why you came in here?!\Spit it out.\I wish you'd waited until I got out of the bath.\There's one thing I need to teach you...\about life while I still have breath in my body!\Opportunity waits for no man!\I got it already! I wanted to talk about Yuko!\She seems to be taking studying seriously, response:	so can't you at least let her apply to Suimei?
context: Spit it out.\I wish you'd waited until I got out of the bath.\There's one thing I need to teach you...\about life while I still have breath in my body!\Opportunity waits for no man!\I got it already! I wanted to talk about Yuko!\She seems to be taking studying seriously,\so can't you at least let her apply to Suimei? response:	If she tries and fails, Yuko will accept that, won't she?
