context: The black pearl in the right eye... response:	Imagine, the gateway to the tomb was hidden in Inuyasha's right eye.
context: My old man can finally rest in peace.\But why were you able to draw out this Tetsusaiga?\I must say, you have some strange powers.\Uh-huh...\I believe that it was because Kagome is a mortal.\In the first place, Tetsusaiga was forged by Inuyasha's father...\in order to protect Inuyasha's human mother.\It is a supernatural sword that can only be wielded... response:	by one who feels love for and protective towards a human being.
context: But why were you able to draw out this Tetsusaiga?\I must say, you have some strange powers.\Uh-huh...\I believe that it was because Kagome is a mortal.\In the first place, Tetsusaiga was forged by Inuyasha's father...\in order to protect Inuyasha's human mother.\It is a supernatural sword that can only be wielded...\by one who feels love for and protective towards a human being. response:	Shut up! I said I'll protect you!
context: I must say, you have some strange powers.\Uh-huh...\I believe that it was because Kagome is a mortal.\In the first place, Tetsusaiga was forged by Inuyasha's father...\in order to protect Inuyasha's human mother.\It is a supernatural sword that can only be wielded...\by one who feels love for and protective towards a human being.\Shut up! I said I'll protect you! response:	I see!
context: Uh-huh...\I believe that it was because Kagome is a mortal.\In the first place, Tetsusaiga was forged by Inuyasha's father...\in order to protect Inuyasha's human mother.\It is a supernatural sword that can only be wielded...\by one who feels love for and protective towards a human being.\Shut up! I said I'll protect you!\I see! response:	That's why the sword started to pulse.
context: I believe that it was because Kagome is a mortal.\In the first place, Tetsusaiga was forged by Inuyasha's father...\in order to protect Inuyasha's human mother.\It is a supernatural sword that can only be wielded...\by one who feels love for and protective towards a human being.\Shut up! I said I'll protect you!\I see!\That's why the sword started to pulse. response:	Tetsusaiga is pulsing!
context: In the first place, Tetsusaiga was forged by Inuyasha's father...\in order to protect Inuyasha's human mother.\It is a supernatural sword that can only be wielded...\by one who feels love for and protective towards a human being.\Shut up! I said I'll protect you!\I see!\That's why the sword started to pulse.\Tetsusaiga is pulsing! response:	There was just no way...
context: in order to protect Inuyasha's human mother.\It is a supernatural sword that can only be wielded...\by one who feels love for and protective towards a human being.\Shut up! I said I'll protect you!\I see!\That's why the sword started to pulse.\Tetsusaiga is pulsing!\There was just no way... response:	someone like Sesshomaru, who despises humans...
context: It is a supernatural sword that can only be wielded...\by one who feels love for and protective towards a human being.\Shut up! I said I'll protect you!\I see!\That's why the sword started to pulse.\Tetsusaiga is pulsing!\There was just no way...\someone like Sesshomaru, who despises humans... response:	could control Tetsusaiga.
context: by one who feels love for and protective towards a human being.\Shut up! I said I'll protect you!\I see!\That's why the sword started to pulse.\Tetsusaiga is pulsing!\There was just no way...\someone like Sesshomaru, who despises humans...\could control Tetsusaiga. response:	Such a strange story.
context: Shut up! I said I'll protect you!\I see!\That's why the sword started to pulse.\Tetsusaiga is pulsing!\There was just no way...\someone like Sesshomaru, who despises humans...\could control Tetsusaiga.\Such a strange story. response:	Inuyasha thinks that being a half-demon is a weakness.
context: I see!\That's why the sword started to pulse.\Tetsusaiga is pulsing!\There was just no way...\someone like Sesshomaru, who despises humans...\could control Tetsusaiga.\Such a strange story.\Inuyasha thinks that being a half-demon is a weakness. response:	That's why he didn't want to feel anything for his mother.
context: That's why the sword started to pulse.\Tetsusaiga is pulsing!\There was just no way...\someone like Sesshomaru, who despises humans...\could control Tetsusaiga.\Such a strange story.\Inuyasha thinks that being a half-demon is a weakness.\That's why he didn't want to feel anything for his mother. response:	But it is necessary for Inuyasha to have feelings for humans.
context: Tetsusaiga is pulsing!\There was just no way...\someone like Sesshomaru, who despises humans...\could control Tetsusaiga.\Such a strange story.\Inuyasha thinks that being a half-demon is a weakness.\That's why he didn't want to feel anything for his mother.\But it is necessary for Inuyasha to have feelings for humans. response:	That is what his father wanted to teach him.
context: There was just no way...\someone like Sesshomaru, who despises humans...\could control Tetsusaiga.\Such a strange story.\Inuyasha thinks that being a half-demon is a weakness.\That's why he didn't want to feel anything for his mother.\But it is necessary for Inuyasha to have feelings for humans.\That is what his father wanted to teach him. response:	Perhaps it is Inuyasha rather than Sesshomaru...
context: someone like Sesshomaru, who despises humans...\could control Tetsusaiga.\Such a strange story.\Inuyasha thinks that being a half-demon is a weakness.\That's why he didn't want to feel anything for his mother.\But it is necessary for Inuyasha to have feelings for humans.\That is what his father wanted to teach him.\Perhaps it is Inuyasha rather than Sesshomaru... response:	who inherited the true traits of their father.
context: could control Tetsusaiga.\Such a strange story.\Inuyasha thinks that being a half-demon is a weakness.\That's why he didn't want to feel anything for his mother.\But it is necessary for Inuyasha to have feelings for humans.\That is what his father wanted to teach him.\Perhaps it is Inuyasha rather than Sesshomaru...\who inherited the true traits of their father. response:	Huh?!
context: Such a strange story.\Inuyasha thinks that being a half-demon is a weakness.\That's why he didn't want to feel anything for his mother.\But it is necessary for Inuyasha to have feelings for humans.\That is what his father wanted to teach him.\Perhaps it is Inuyasha rather than Sesshomaru...\who inherited the true traits of their father.\Huh?! response:	What's this?!
context: Inuyasha thinks that being a half-demon is a weakness.\That's why he didn't want to feel anything for his mother.\But it is necessary for Inuyasha to have feelings for humans.\That is what his father wanted to teach him.\Perhaps it is Inuyasha rather than Sesshomaru...\who inherited the true traits of their father.\Huh?!\What's this?! response:	It turned back into a useless, old sword.
context: That's why he didn't want to feel anything for his mother.\But it is necessary for Inuyasha to have feelings for humans.\That is what his father wanted to teach him.\Perhaps it is Inuyasha rather than Sesshomaru...\who inherited the true traits of their father.\Huh?!\What's this?!\It turned back into a useless, old sword. response:	Inuyasha!
context: But it is necessary for Inuyasha to have feelings for humans.\That is what his father wanted to teach him.\Perhaps it is Inuyasha rather than Sesshomaru...\who inherited the true traits of their father.\Huh?!\What's this?!\It turned back into a useless, old sword.\Inuyasha! response:	Huh?
context: That is what his father wanted to teach him.\Perhaps it is Inuyasha rather than Sesshomaru...\who inherited the true traits of their father.\Huh?!\What's this?!\It turned back into a useless, old sword.\Inuyasha!\Huh? response:	Shall I tell you the secret to controlling Tetsusaiga?
context: Perhaps it is Inuyasha rather than Sesshomaru...\who inherited the true traits of their father.\Huh?!\What's this?!\It turned back into a useless, old sword.\Inuyasha!\Huh?\Shall I tell you the secret to controlling Tetsusaiga? response:	What?
context: who inherited the true traits of their father.\Huh?!\What's this?!\It turned back into a useless, old sword.\Inuyasha!\Huh?\Shall I tell you the secret to controlling Tetsusaiga?\What? response:	Do you know?
context: Huh?!\What's this?!\It turned back into a useless, old sword.\Inuyasha!\Huh?\Shall I tell you the secret to controlling Tetsusaiga?\What?\Do you know? response:	Can you really protect me with that sword?
context: What's this?!\It turned back into a useless, old sword.\Inuyasha!\Huh?\Shall I tell you the secret to controlling Tetsusaiga?\What?\Do you know?\Can you really protect me with that sword? response:	Huh?!
context: It turned back into a useless, old sword.\Inuyasha!\Huh?\Shall I tell you the secret to controlling Tetsusaiga?\What?\Do you know?\Can you really protect me with that sword?\Huh?! response:	What're you saying? Are you sane?
context: Inuyasha!\Huh?\Shall I tell you the secret to controlling Tetsusaiga?\What?\Do you know?\Can you really protect me with that sword?\Huh?!\What're you saying? Are you sane? response:	You're the one who told me, I'll protect you always!
context: Huh?\Shall I tell you the secret to controlling Tetsusaiga?\What?\Do you know?\Can you really protect me with that sword?\Huh?!\What're you saying? Are you sane?\You're the one who told me, I'll protect you always! response:	I did not!
context: Shall I tell you the secret to controlling Tetsusaiga?\What?\Do you know?\Can you really protect me with that sword?\Huh?!\What're you saying? Are you sane?\You're the one who told me, I'll protect you always!\I did not! response:	Now listen here, Kagome.
context: What?\Do you know?\Can you really protect me with that sword?\Huh?!\What're you saying? Are you sane?\You're the one who told me, I'll protect you always!\I did not!\Now listen here, Kagome. response:	One day, I'm gonna become a full-fledged demon...
context: Do you know?\Can you really protect me with that sword?\Huh?!\What're you saying? Are you sane?\You're the one who told me, I'll protect you always!\I did not!\Now listen here, Kagome.\One day, I'm gonna become a full-fledged demon... response:	a magnificent one at that!
context: Can you really protect me with that sword?\Huh?!\What're you saying? Are you sane?\You're the one who told me, I'll protect you always!\I did not!\Now listen here, Kagome.\One day, I'm gonna become a full-fledged demon...\a magnificent one at that! response:	And with this sword...
context: Huh?!\What're you saying? Are you sane?\You're the one who told me, I'll protect you always!\I did not!\Now listen here, Kagome.\One day, I'm gonna become a full-fledged demon...\a magnificent one at that!\And with this sword... response:	I'll be able to gather all the fragments of the Sacred Jewel.
context: What're you saying? Are you sane?\You're the one who told me, I'll protect you always!\I did not!\Now listen here, Kagome.\One day, I'm gonna become a full-fledged demon...\a magnificent one at that!\And with this sword...\I'll be able to gather all the fragments of the Sacred Jewel. response:	And that means...
context: You're the one who told me, I'll protect you always!\I did not!\Now listen here, Kagome.\One day, I'm gonna become a full-fledged demon...\a magnificent one at that!\And with this sword...\I'll be able to gather all the fragments of the Sacred Jewel.\And that means... response:	I have no time to waste on a girl like you!
context: I did not!\Now listen here, Kagome.\One day, I'm gonna become a full-fledged demon...\a magnificent one at that!\And with this sword...\I'll be able to gather all the fragments of the Sacred Jewel.\And that means...\I have no time to waste on a girl like you! response:	Hey!
context: Now listen here, Kagome.\One day, I'm gonna become a full-fledged demon...\a magnificent one at that!\And with this sword...\I'll be able to gather all the fragments of the Sacred Jewel.\And that means...\I have no time to waste on a girl like you!\Hey! response:	What?!
context: One day, I'm gonna become a full-fledged demon...\a magnificent one at that!\And with this sword...\I'll be able to gather all the fragments of the Sacred Jewel.\And that means...\I have no time to waste on a girl like you!\Hey!\What?! response:	Sit!
context: a magnificent one at that!\And with this sword...\I'll be able to gather all the fragments of the Sacred Jewel.\And that means...\I have no time to waste on a girl like you!\Hey!\What?!\Sit! response:	I was such a fool...
context: And with this sword...\I'll be able to gather all the fragments of the Sacred Jewel.\And that means...\I have no time to waste on a girl like you!\Hey!\What?!\Sit!\I was such a fool... response:	for believing for an instant, that he could be kinda nice!
context: I'll be able to gather all the fragments of the Sacred Jewel.\And that means...\I have no time to waste on a girl like you!\Hey!\What?!\Sit!\I was such a fool...\for believing for an instant, that he could be kinda nice! response:	Damn Kagome!
context: And that means...\I have no time to waste on a girl like you!\Hey!\What?!\Sit!\I was such a fool...\for believing for an instant, that he could be kinda nice!\Damn Kagome! response:	What'd you do that for?!
context: I have no time to waste on a girl like you!\Hey!\What?!\Sit!\I was such a fool...\for believing for an instant, that he could be kinda nice!\Damn Kagome!\What'd you do that for?! response:	Wait!
context: Hey!\What?!\Sit!\I was such a fool...\for believing for an instant, that he could be kinda nice!\Damn Kagome!\What'd you do that for?!\Wait! response:	Show me how to control this sword!
context: What?!\Sit!\I was such a fool...\for believing for an instant, that he could be kinda nice!\Damn Kagome!\What'd you do that for?!\Wait!\Show me how to control this sword! response:	Seriously injured, Sesshomaru makes his escape.
context: Sit!\I was such a fool...\for believing for an instant, that he could be kinda nice!\Damn Kagome!\What'd you do that for?!\Wait!\Show me how to control this sword!\Seriously injured, Sesshomaru makes his escape. response:	His severed left arm is buried in his father's tomb.
context: I was such a fool...\for believing for an instant, that he could be kinda nice!\Damn Kagome!\What'd you do that for?!\Wait!\Show me how to control this sword!\Seriously injured, Sesshomaru makes his escape.\His severed left arm is buried in his father's tomb. response:	Inuyasha takes possession of Tetsusaiga...
context: for believing for an instant, that he could be kinda nice!\Damn Kagome!\What'd you do that for?!\Wait!\Show me how to control this sword!\Seriously injured, Sesshomaru makes his escape.\His severed left arm is buried in his father's tomb.\Inuyasha takes possession of Tetsusaiga... response:	a sword forged from his father's fang.
context: Damn Kagome!\What'd you do that for?!\Wait!\Show me how to control this sword!\Seriously injured, Sesshomaru makes his escape.\His severed left arm is buried in his father's tomb.\Inuyasha takes possession of Tetsusaiga...\a sword forged from his father's fang. response:	He sets out in search of fragments of the Sacred Jewel.
context: What'd you do that for?!\Wait!\Show me how to control this sword!\Seriously injured, Sesshomaru makes his escape.\His severed left arm is buried in his father's tomb.\Inuyasha takes possession of Tetsusaiga...\a sword forged from his father's fang.\He sets out in search of fragments of the Sacred Jewel. response:	He comes to a town...
context: Wait!\Show me how to control this sword!\Seriously injured, Sesshomaru makes his escape.\His severed left arm is buried in his father's tomb.\Inuyasha takes possession of Tetsusaiga...\a sword forged from his father's fang.\He sets out in search of fragments of the Sacred Jewel.\He comes to a town... response:	where young women are taken to a mysterious castle...
context: Show me how to control this sword!\Seriously injured, Sesshomaru makes his escape.\His severed left arm is buried in his father's tomb.\Inuyasha takes possession of Tetsusaiga...\a sword forged from his father's fang.\He sets out in search of fragments of the Sacred Jewel.\He comes to a town...\where young women are taken to a mysterious castle... response:	and meets a young samurai determined to save the princess.
context: Seriously injured, Sesshomaru makes his escape.\His severed left arm is buried in his father's tomb.\Inuyasha takes possession of Tetsusaiga...\a sword forged from his father's fang.\He sets out in search of fragments of the Sacred Jewel.\He comes to a town...\where young women are taken to a mysterious castle...\and meets a young samurai determined to save the princess. response:	Next on Inuyasha: The Toad Who Would Be Prince
context: His severed left arm is buried in his father's tomb.\Inuyasha takes possession of Tetsusaiga...\a sword forged from his father's fang.\He sets out in search of fragments of the Sacred Jewel.\He comes to a town...\where young women are taken to a mysterious castle...\and meets a young samurai determined to save the princess.\Next on Inuyasha: The Toad Who Would Be Prince response:	Don't miss it!
