context: I have two important announcements today. response:	First, I need to introduce a transfer student.
context: I guess you all want more punishment.\I don't want any meaningless bloodshed.\Do not get in the way of the villainous organization Dark Sword.\Didn't you say something about a plan to nurture young men earlier?\What? I have no idea what you're talking about.\That voice... You must be Hjorth.\I guess it's futile now.\Noir, I'll take care of things here. response:	Even you can't stop me right now, Ms. Elna!
context: I don't want any meaningless bloodshed.\Do not get in the way of the villainous organization Dark Sword.\Didn't you say something about a plan to nurture young men earlier?\What? I have no idea what you're talking about.\That voice... You must be Hjorth.\I guess it's futile now.\Noir, I'll take care of things here.\Even you can't stop me right now, Ms. Elna! response:	M-Ms. Elna! Are you okay?
context: Do not get in the way of the villainous organization Dark Sword.\Didn't you say something about a plan to nurture young men earlier?\What? I have no idea what you're talking about.\That voice... You must be Hjorth.\I guess it's futile now.\Noir, I'll take care of things here.\Even you can't stop me right now, Ms. Elna!\M-Ms. Elna! Are you okay? response:	Noir, you saved me... So I'll let this slide.
context: Didn't you say something about a plan to nurture young men earlier?\What? I have no idea what you're talking about.\That voice... You must be Hjorth.\I guess it's futile now.\Noir, I'll take care of things here.\Even you can't stop me right now, Ms. Elna!\M-Ms. Elna! Are you okay?\Noir, you saved me... So I'll let this slide. response:	Huh?
context: What? I have no idea what you're talking about.\That voice... You must be Hjorth.\I guess it's futile now.\Noir, I'll take care of things here.\Even you can't stop me right now, Ms. Elna!\M-Ms. Elna! Are you okay?\Noir, you saved me... So I'll let this slide.\Huh? response:	Move your hands already.
context: That voice... You must be Hjorth.\I guess it's futile now.\Noir, I'll take care of things here.\Even you can't stop me right now, Ms. Elna!\M-Ms. Elna! Are you okay?\Noir, you saved me... So I'll let this slide.\Huh?\Move your hands already. response:	I-I'm so sorry!
context: I guess it's futile now.\Noir, I'll take care of things here.\Even you can't stop me right now, Ms. Elna!\M-Ms. Elna! Are you okay?\Noir, you saved me... So I'll let this slide.\Huh?\Move your hands already.\I-I'm so sorry! response:	Did you see that?!
context: Noir, I'll take care of things here.\Even you can't stop me right now, Ms. Elna!\M-Ms. Elna! Are you okay?\Noir, you saved me... So I'll let this slide.\Huh?\Move your hands already.\I-I'm so sorry!\Did you see that?! response:	You're more powerful than usual. You did something, didn't you?
context: Even you can't stop me right now, Ms. Elna!\M-Ms. Elna! Are you okay?\Noir, you saved me... So I'll let this slide.\Huh?\Move your hands already.\I-I'm so sorry!\Did you see that?!\You're more powerful than usual. You did something, didn't you? response:	You figured it out?
context: M-Ms. Elna! Are you okay?\Noir, you saved me... So I'll let this slide.\Huh?\Move your hands already.\I-I'm so sorry!\Did you see that?!\You're more powerful than usual. You did something, didn't you?\You figured it out? response:	Yes... It's all so I can see the girls in our class naked!
context: Noir, you saved me... So I'll let this slide.\Huh?\Move your hands already.\I-I'm so sorry!\Did you see that?!\You're more powerful than usual. You did something, didn't you?\You figured it out?\Yes... It's all so I can see the girls in our class naked! response:	I collected tons of magical potions and items to make myself more muscular!
context: Huh?\Move your hands already.\I-I'm so sorry!\Did you see that?!\You're more powerful than usual. You did something, didn't you?\You figured it out?\Yes... It's all so I can see the girls in our class naked!\I collected tons of magical potions and items to make myself more muscular! response:	I used my whole life savings!
context: Move your hands already.\I-I'm so sorry!\Did you see that?!\You're more powerful than usual. You did something, didn't you?\You figured it out?\Yes... It's all so I can see the girls in our class naked!\I collected tons of magical potions and items to make myself more muscular!\I used my whole life savings! response:	Your stupidity is on another level.
context: I-I'm so sorry!\Did you see that?!\You're more powerful than usual. You did something, didn't you?\You figured it out?\Yes... It's all so I can see the girls in our class naked!\I collected tons of magical potions and items to make myself more muscular!\I used my whole life savings!\Your stupidity is on another level. response:	You did all that just to see your classmates naked?
context: Did you see that?!\You're more powerful than usual. You did something, didn't you?\You figured it out?\Yes... It's all so I can see the girls in our class naked!\I collected tons of magical potions and items to make myself more muscular!\I used my whole life savings!\Your stupidity is on another level.\You did all that just to see your classmates naked? response:	Just to? Just to see that?!
context: You're more powerful than usual. You did something, didn't you?\You figured it out?\Yes... It's all so I can see the girls in our class naked!\I collected tons of magical potions and items to make myself more muscular!\I used my whole life savings!\Your stupidity is on another level.\You did all that just to see your classmates naked?\Just to? Just to see that?! response:	Of course I did!
context: You figured it out?\Yes... It's all so I can see the girls in our class naked!\I collected tons of magical potions and items to make myself more muscular!\I used my whole life savings!\Your stupidity is on another level.\You did all that just to see your classmates naked?\Just to? Just to see that?!\Of course I did! response:	I get excited because they're my classmates!
context: Yes... It's all so I can see the girls in our class naked!\I collected tons of magical potions and items to make myself more muscular!\I used my whole life savings!\Your stupidity is on another level.\You did all that just to see your classmates naked?\Just to? Just to see that?!\Of course I did!\I get excited because they're my classmates! response:	True lewdness is best when it's within reach!
context: I collected tons of magical potions and items to make myself more muscular!\I used my whole life savings!\Your stupidity is on another level.\You did all that just to see your classmates naked?\Just to? Just to see that?!\Of course I did!\I get excited because they're my classmates!\True lewdness is best when it's within reach! response:	I'd risk my life for that, you asswipe!
context: I used my whole life savings!\Your stupidity is on another level.\You did all that just to see your classmates naked?\Just to? Just to see that?!\Of course I did!\I get excited because they're my classmates!\True lewdness is best when it's within reach!\I'd risk my life for that, you asswipe! response:	O-Oh... My bad, I guess.
context: Your stupidity is on another level.\You did all that just to see your classmates naked?\Just to? Just to see that?!\Of course I did!\I get excited because they're my classmates!\True lewdness is best when it's within reach!\I'd risk my life for that, you asswipe!\O-Oh... My bad, I guess. response:	W-We can clearly see you're passionate about this,
context: You did all that just to see your classmates naked?\Just to? Just to see that?!\Of course I did!\I get excited because they're my classmates!\True lewdness is best when it's within reach!\I'd risk my life for that, you asswipe!\O-Oh... My bad, I guess.\W-We can clearly see you're passionate about this, response:	but I think there's a line you shouldn't cross.
context: Just to? Just to see that?!\Of course I did!\I get excited because they're my classmates!\True lewdness is best when it's within reach!\I'd risk my life for that, you asswipe!\O-Oh... My bad, I guess.\W-We can clearly see you're passionate about this,\but I think there's a line you shouldn't cross. response:	Hey, come on. Be honest with yourself, Noir.
context: Of course I did!\I get excited because they're my classmates!\True lewdness is best when it's within reach!\I'd risk my life for that, you asswipe!\O-Oh... My bad, I guess.\W-We can clearly see you're passionate about this,\but I think there's a line you shouldn't cross.\Hey, come on. Be honest with yourself, Noir. response:	This is what guys dream about. This is our dream.
context: I get excited because they're my classmates!\True lewdness is best when it's within reach!\I'd risk my life for that, you asswipe!\O-Oh... My bad, I guess.\W-We can clearly see you're passionate about this,\but I think there's a line you shouldn't cross.\Hey, come on. Be honest with yourself, Noir.\This is what guys dream about. This is our dream. response:	I mean, I get it... I'm a guy, too.
context: True lewdness is best when it's within reach!\I'd risk my life for that, you asswipe!\O-Oh... My bad, I guess.\W-We can clearly see you're passionate about this,\but I think there's a line you shouldn't cross.\Hey, come on. Be honest with yourself, Noir.\This is what guys dream about. This is our dream.\I mean, I get it... I'm a guy, too. response:	You want to see them, too, don't you?
context: I'd risk my life for that, you asswipe!\O-Oh... My bad, I guess.\W-We can clearly see you're passionate about this,\but I think there's a line you shouldn't cross.\Hey, come on. Be honest with yourself, Noir.\This is what guys dream about. This is our dream.\I mean, I get it... I'm a guy, too.\You want to see them, too, don't you? response:	Then go ahead and look!
context: O-Oh... My bad, I guess.\W-We can clearly see you're passionate about this,\but I think there's a line you shouldn't cross.\Hey, come on. Be honest with yourself, Noir.\This is what guys dream about. This is our dream.\I mean, I get it... I'm a guy, too.\You want to see them, too, don't you?\Then go ahead and look! response:	Come on! Let's go look!
context: W-We can clearly see you're passionate about this,\but I think there's a line you shouldn't cross.\Hey, come on. Be honest with yourself, Noir.\This is what guys dream about. This is our dream.\I mean, I get it... I'm a guy, too.\You want to see them, too, don't you?\Then go ahead and look!\Come on! Let's go look! response:	He's got a point. He's got a point, but...
context: but I think there's a line you shouldn't cross.\Hey, come on. Be honest with yourself, Noir.\This is what guys dream about. This is our dream.\I mean, I get it... I'm a guy, too.\You want to see them, too, don't you?\Then go ahead and look!\Come on! Let's go look!\He's got a point. He's got a point, but... response:	I can't hurt any girls' feelings over our selfish desires!
context: Hey, come on. Be honest with yourself, Noir.\This is what guys dream about. This is our dream.\I mean, I get it... I'm a guy, too.\You want to see them, too, don't you?\Then go ahead and look!\Come on! Let's go look!\He's got a point. He's got a point, but...\I can't hurt any girls' feelings over our selfish desires! response:	Huh?
context: This is what guys dream about. This is our dream.\I mean, I get it... I'm a guy, too.\You want to see them, too, don't you?\Then go ahead and look!\Come on! Let's go look!\He's got a point. He's got a point, but...\I can't hurt any girls' feelings over our selfish desires!\Huh? response:	Naked girls are precious!
context: I mean, I get it... I'm a guy, too.\You want to see them, too, don't you?\Then go ahead and look!\Come on! Let's go look!\He's got a point. He's got a point, but...\I can't hurt any girls' feelings over our selfish desires!\Huh?\Naked girls are precious! response:	Cheating to get a peek is despicable!
context: You want to see them, too, don't you?\Then go ahead and look!\Come on! Let's go look!\He's got a point. He's got a point, but...\I can't hurt any girls' feelings over our selfish desires!\Huh?\Naked girls are precious!\Cheating to get a peek is despicable! response:	You stupid... little traitor!
context: Then go ahead and look!\Come on! Let's go look!\He's got a point. He's got a point, but...\I can't hurt any girls' feelings over our selfish desires!\Huh?\Naked girls are precious!\Cheating to get a peek is despicable!\You stupid... little traitor! response:	Noir!
context: Come on! Let's go look!\He's got a point. He's got a point, but...\I can't hurt any girls' feelings over our selfish desires!\Huh?\Naked girls are precious!\Cheating to get a peek is despicable!\You stupid... little traitor!\Noir! response:	It's okay!
context: He's got a point. He's got a point, but...\I can't hurt any girls' feelings over our selfish desires!\Huh?\Naked girls are precious!\Cheating to get a peek is despicable!\You stupid... little traitor!\Noir!\It's okay! response:	Hjorth has powered up his muscles to their limits.
context: I can't hurt any girls' feelings over our selfish desires!\Huh?\Naked girls are precious!\Cheating to get a peek is despicable!\You stupid... little traitor!\Noir!\It's okay!\Hjorth has powered up his muscles to their limits. response:	He's dangerous!
context: Huh?\Naked girls are precious!\Cheating to get a peek is despicable!\You stupid... little traitor!\Noir!\It's okay!\Hjorth has powered up his muscles to their limits.\He's dangerous! response:	This is a fight over a true man's conviction! I can't lose!
context: Naked girls are precious!\Cheating to get a peek is despicable!\You stupid... little traitor!\Noir!\It's okay!\Hjorth has powered up his muscles to their limits.\He's dangerous!\This is a fight over a true man's conviction! I can't lose! response:	I will get to the women's bath no matter what!
context: Cheating to get a peek is despicable!\You stupid... little traitor!\Noir!\It's okay!\Hjorth has powered up his muscles to their limits.\He's dangerous!\This is a fight over a true man's conviction! I can't lose!\I will get to the women's bath no matter what! response:	I-I won't let you!
context: You stupid... little traitor!\Noir!\It's okay!\Hjorth has powered up his muscles to their limits.\He's dangerous!\This is a fight over a true man's conviction! I can't lose!\I will get to the women's bath no matter what!\I-I won't let you! response:	Heh! The one who has stronger ideals will always win the battle!
context: Noir!\It's okay!\Hjorth has powered up his muscles to their limits.\He's dangerous!\This is a fight over a true man's conviction! I can't lose!\I will get to the women's bath no matter what!\I-I won't let you!\Heh! The one who has stronger ideals will always win the battle! response:	I guess that's all you've got.
context: It's okay!\Hjorth has powered up his muscles to their limits.\He's dangerous!\This is a fight over a true man's conviction! I can't lose!\I will get to the women's bath no matter what!\I-I won't let you!\Heh! The one who has stronger ideals will always win the battle!\I guess that's all you've got. response:	I'm gonna get a good eyeful of Emma naked.
context: Hjorth has powered up his muscles to their limits.\He's dangerous!\This is a fight over a true man's conviction! I can't lose!\I will get to the women's bath no matter what!\I-I won't let you!\Heh! The one who has stronger ideals will always win the battle!\I guess that's all you've got.\I'm gonna get a good eyeful of Emma naked. response:	I-I can't lose...
context: He's dangerous!\This is a fight over a true man's conviction! I can't lose!\I will get to the women's bath no matter what!\I-I won't let you!\Heh! The one who has stronger ideals will always win the battle!\I guess that's all you've got.\I'm gonna get a good eyeful of Emma naked.\I-I can't lose... response:	I'll Get Creative and make the Powerless skill...
context: This is a fight over a true man's conviction! I can't lose!\I will get to the women's bath no matter what!\I-I won't let you!\Heh! The one who has stronger ideals will always win the battle!\I guess that's all you've got.\I'm gonna get a good eyeful of Emma naked.\I-I can't lose...\I'll Get Creative and make the Powerless skill... response:	and Bestow it on him!
context: I will get to the women's bath no matter what!\I-I won't let you!\Heh! The one who has stronger ideals will always win the battle!\I guess that's all you've got.\I'm gonna get a good eyeful of Emma naked.\I-I can't lose...\I'll Get Creative and make the Powerless skill...\and Bestow it on him! response:	Noir Stardia LP. 2200
context: I-I won't let you!\Heh! The one who has stronger ideals will always win the battle!\I guess that's all you've got.\I'm gonna get a good eyeful of Emma naked.\I-I can't lose...\I'll Get Creative and make the Powerless skill...\and Bestow it on him!\Noir Stardia LP. 2200 response:	Get Creative, make, and Bestow to Hjorth
context: Heh! The one who has stronger ideals will always win the battle!\I guess that's all you've got.\I'm gonna get a good eyeful of Emma naked.\I-I can't lose...\I'll Get Creative and make the Powerless skill...\and Bestow it on him!\Noir Stardia LP. 2200\Get Creative, make, and Bestow to Hjorth response:	Wha
context: I guess that's all you've got.\I'm gonna get a good eyeful of Emma naked.\I-I can't lose...\I'll Get Creative and make the Powerless skill...\and Bestow it on him!\Noir Stardia LP. 2200\Get Creative, make, and Bestow to Hjorth\Wha response:	I'm not...
context: I'm gonna get a good eyeful of Emma naked.\I-I can't lose...\I'll Get Creative and make the Powerless skill...\and Bestow it on him!\Noir Stardia LP. 2200\Get Creative, make, and Bestow to Hjorth\Wha\I'm not... response:	going to lose in this battle of determination!
context: I-I can't lose...\I'll Get Creative and make the Powerless skill...\and Bestow it on him!\Noir Stardia LP. 2200\Get Creative, make, and Bestow to Hjorth\Wha\I'm not...\going to lose in this battle of determination! response:	Looks like it's all over.
context: I'll Get Creative and make the Powerless skill...\and Bestow it on him!\Noir Stardia LP. 2200\Get Creative, make, and Bestow to Hjorth\Wha\I'm not...\going to lose in this battle of determination!\Looks like it's all over. response:	I got to witness your true determination.
context: and Bestow it on him!\Noir Stardia LP. 2200\Get Creative, make, and Bestow to Hjorth\Wha\I'm not...\going to lose in this battle of determination!\Looks like it's all over.\I got to witness your true determination. response:	Ms. Elna...
context: Noir Stardia LP. 2200\Get Creative, make, and Bestow to Hjorth\Wha\I'm not...\going to lose in this battle of determination!\Looks like it's all over.\I got to witness your true determination.\Ms. Elna... response:	What's so funny?
context: Get Creative, make, and Bestow to Hjorth\Wha\I'm not...\going to lose in this battle of determination!\Looks like it's all over.\I got to witness your true determination.\Ms. Elna...\What's so funny? response:	Too bad. We still won.
context: Wha\I'm not...\going to lose in this battle of determination!\Looks like it's all over.\I got to witness your true determination.\Ms. Elna...\What's so funny?\Too bad. We still won. response:	Go forth! Our short and unnoticeable speedster, Kent!
context: I'm not...\going to lose in this battle of determination!\Looks like it's all over.\I got to witness your true determination.\Ms. Elna...\What's so funny?\Too bad. We still won.\Go forth! Our short and unnoticeable speedster, Kent! response:	I was just playing possum! Don't worry, guys! I've got you!
context: going to lose in this battle of determination!\Looks like it's all over.\I got to witness your true determination.\Ms. Elna...\What's so funny?\Too bad. We still won.\Go forth! Our short and unnoticeable speedster, Kent!\I was just playing possum! Don't worry, guys! I've got you! response:	I'll make sure to write a report about my findings!
context: Looks like it's all over.\I got to witness your true determination.\Ms. Elna...\What's so funny?\Too bad. We still won.\Go forth! Our short and unnoticeable speedster, Kent!\I was just playing possum! Don't worry, guys! I've got you!\I'll make sure to write a report about my findings! response:	H-Hold it!
context: I got to witness your true determination.\Ms. Elna...\What's so funny?\Too bad. We still won.\Go forth! Our short and unnoticeable speedster, Kent!\I was just playing possum! Don't worry, guys! I've got you!\I'll make sure to write a report about my findings!\H-Hold it! response:	I'll be right there, girls!
context: Ms. Elna...\What's so funny?\Too bad. We still won.\Go forth! Our short and unnoticeable speedster, Kent!\I was just playing possum! Don't worry, guys! I've got you!\I'll make sure to write a report about my findings!\H-Hold it!\I'll be right there, girls! response:	He's so fast!
context: What's so funny?\Too bad. We still won.\Go forth! Our short and unnoticeable speedster, Kent!\I was just playing possum! Don't worry, guys! I've got you!\I'll make sure to write a report about my findings!\H-Hold it!\I'll be right there, girls!\He's so fast! response:	Maybe I can Bestow Heavy on him...
context: Too bad. We still won.\Go forth! Our short and unnoticeable speedster, Kent!\I was just playing possum! Don't worry, guys! I've got you!\I'll make sure to write a report about my findings!\H-Hold it!\I'll be right there, girls!\He's so fast!\Maybe I can Bestow Heavy on him... response:	Get Creative, make, and Bestow to Kent
context: Go forth! Our short and unnoticeable speedster, Kent!\I was just playing possum! Don't worry, guys! I've got you!\I'll make sure to write a report about my findings!\H-Hold it!\I'll be right there, girls!\He's so fast!\Maybe I can Bestow Heavy on him...\Get Creative, make, and Bestow to Kent response:	LP needed: 2000
context: I was just playing possum! Don't worry, guys! I've got you!\I'll make sure to write a report about my findings!\H-Hold it!\I'll be right there, girls!\He's so fast!\Maybe I can Bestow Heavy on him...\Get Creative, make, and Bestow to Kent\LP needed: 2000 response:	Two thousand?!
context: I'll make sure to write a report about my findings!\H-Hold it!\I'll be right there, girls!\He's so fast!\Maybe I can Bestow Heavy on him...\Get Creative, make, and Bestow to Kent\LP needed: 2000\Two thousand?! response:	I guess it costs more to affect skills they're good at.
context: H-Hold it!\I'll be right there, girls!\He's so fast!\Maybe I can Bestow Heavy on him...\Get Creative, make, and Bestow to Kent\LP needed: 2000\Two thousand?!\I guess it costs more to affect skills they're good at. response:	Almost there...
context: I'll be right there, girls!\He's so fast!\Maybe I can Bestow Heavy on him...\Get Creative, make, and Bestow to Kent\LP needed: 2000\Two thousand?!\I guess it costs more to affect skills they're good at.\Almost there... response:	I'll only have 200 LP left if I do that.
context: He's so fast!\Maybe I can Bestow Heavy on him...\Get Creative, make, and Bestow to Kent\LP needed: 2000\Two thousand?!\I guess it costs more to affect skills they're good at.\Almost there...\I'll only have 200 LP left if I do that. response:	I'd be risking my life, but...
context: Maybe I can Bestow Heavy on him...\Get Creative, make, and Bestow to Kent\LP needed: 2000\Two thousand?!\I guess it costs more to affect skills they're good at.\Almost there...\I'll only have 200 LP left if I do that.\I'd be risking my life, but... response:	Emma's colossal melons! I'm gonna get an eyeful!
context: Get Creative, make, and Bestow to Kent\LP needed: 2000\Two thousand?!\I guess it costs more to affect skills they're good at.\Almost there...\I'll only have 200 LP left if I do that.\I'd be risking my life, but...\Emma's colossal melons! I'm gonna get an eyeful! response:	I'm going to stop him!
context: LP needed: 2000\Two thousand?!\I guess it costs more to affect skills they're good at.\Almost there...\I'll only have 200 LP left if I do that.\I'd be risking my life, but...\Emma's colossal melons! I'm gonna get an eyeful!\I'm going to stop him! response:	Noir Stardia LP. 2200
context: Two thousand?!\I guess it costs more to affect skills they're good at.\Almost there...\I'll only have 200 LP left if I do that.\I'd be risking my life, but...\Emma's colossal melons! I'm gonna get an eyeful!\I'm going to stop him!\Noir Stardia LP. 2200 response:	Noir Stardia LP. 200
context: I guess it costs more to affect skills they're good at.\Almost there...\I'll only have 200 LP left if I do that.\I'd be risking my life, but...\Emma's colossal melons! I'm gonna get an eyeful!\I'm going to stop him!\Noir Stardia LP. 2200\Noir Stardia LP. 200 response:	Get Creative, make, and Bestow to Kent
context: Almost there...\I'll only have 200 LP left if I do that.\I'd be risking my life, but...\Emma's colossal melons! I'm gonna get an eyeful!\I'm going to stop him!\Noir Stardia LP. 2200\Noir Stardia LP. 200\Get Creative, make, and Bestow to Kent response:	My legs...
context: I'll only have 200 LP left if I do that.\I'd be risking my life, but...\Emma's colossal melons! I'm gonna get an eyeful!\I'm going to stop him!\Noir Stardia LP. 2200\Noir Stardia LP. 200\Get Creative, make, and Bestow to Kent\My legs... response:	Okay!
context: I'd be risking my life, but...\Emma's colossal melons! I'm gonna get an eyeful!\I'm going to stop him!\Noir Stardia LP. 2200\Noir Stardia LP. 200\Get Creative, make, and Bestow to Kent\My legs...\Okay! response:	He just won't give up!
context: Emma's colossal melons! I'm gonna get an eyeful!\I'm going to stop him!\Noir Stardia LP. 2200\Noir Stardia LP. 200\Get Creative, make, and Bestow to Kent\My legs...\Okay!\He just won't give up! response:	We win, suckers!
context: I'm going to stop him!\Noir Stardia LP. 2200\Noir Stardia LP. 200\Get Creative, make, and Bestow to Kent\My legs...\Okay!\He just won't give up!\We win, suckers! response:	Oh, no, you don't!
context: Noir Stardia LP. 2200\Noir Stardia LP. 200\Get Creative, make, and Bestow to Kent\My legs...\Okay!\He just won't give up!\We win, suckers!\Oh, no, you don't! response:	Girls! Get out of the bath right now! There's a peeping tom!
context: Noir Stardia LP. 200\Get Creative, make, and Bestow to Kent\My legs...\Okay!\He just won't give up!\We win, suckers!\Oh, no, you don't!\Girls! Get out of the bath right now! There's a peeping tom! response:	Huh?
context: Get Creative, make, and Bestow to Kent\My legs...\Okay!\He just won't give up!\We win, suckers!\Oh, no, you don't!\Girls! Get out of the bath right now! There's a peeping tom!\Huh? response:	Noir? What are you doing?
context: My legs...\Okay!\He just won't give up!\We win, suckers!\Oh, no, you don't!\Girls! Get out of the bath right now! There's a peeping tom!\Huh?\Noir? What are you doing? response:	Huh? What are you girls doing? I thought you were going to take a bath.
context: Okay!\He just won't give up!\We win, suckers!\Oh, no, you don't!\Girls! Get out of the bath right now! There's a peeping tom!\Huh?\Noir? What are you doing?\Huh? What are you girls doing? I thought you were going to take a bath. response:	We got undressed and were about to...
context: He just won't give up!\We win, suckers!\Oh, no, you don't!\Girls! Get out of the bath right now! There's a peeping tom!\Huh?\Noir? What are you doing?\Huh? What are you girls doing? I thought you were going to take a bath.\We got undressed and were about to... response:	But then Ms. Elna told us to hold off.
context: We win, suckers!\Oh, no, you don't!\Girls! Get out of the bath right now! There's a peeping tom!\Huh?\Noir? What are you doing?\Huh? What are you girls doing? I thought you were going to take a bath.\We got undressed and were about to...\But then Ms. Elna told us to hold off. response:	S-So she managed to stop you...
context: Oh, no, you don't!\Girls! Get out of the bath right now! There's a peeping tom!\Huh?\Noir? What are you doing?\Huh? What are you girls doing? I thought you were going to take a bath.\We got undressed and were about to...\But then Ms. Elna told us to hold off.\S-So she managed to stop you... response:	Looks like you kept your promise.
context: Girls! Get out of the bath right now! There's a peeping tom!\Huh?\Noir? What are you doing?\Huh? What are you girls doing? I thought you were going to take a bath.\We got undressed and were about to...\But then Ms. Elna told us to hold off.\S-So she managed to stop you...\Looks like you kept your promise. response:	Thanks to you, they didn't fall victim to the boys' evil schemes.
context: Huh?\Noir? What are you doing?\Huh? What are you girls doing? I thought you were going to take a bath.\We got undressed and were about to...\But then Ms. Elna told us to hold off.\S-So she managed to stop you...\Looks like you kept your promise.\Thanks to you, they didn't fall victim to the boys' evil schemes. response:	Th-Thank goodness...
context: Noir? What are you doing?\Huh? What are you girls doing? I thought you were going to take a bath.\We got undressed and were about to...\But then Ms. Elna told us to hold off.\S-So she managed to stop you...\Looks like you kept your promise.\Thanks to you, they didn't fall victim to the boys' evil schemes.\Th-Thank goodness... response:	Noir?! What's wrong?
context: Huh? What are you girls doing? I thought you were going to take a bath.\We got undressed and were about to...\But then Ms. Elna told us to hold off.\S-So she managed to stop you...\Looks like you kept your promise.\Thanks to you, they didn't fall victim to the boys' evil schemes.\Th-Thank goodness...\Noir?! What's wrong? response:	I-I used up too much LP...
context: We got undressed and were about to...\But then Ms. Elna told us to hold off.\S-So she managed to stop you...\Looks like you kept your promise.\Thanks to you, they didn't fall victim to the boys' evil schemes.\Th-Thank goodness...\Noir?! What's wrong?\I-I used up too much LP... response:	Noir? Noir?!
context: But then Ms. Elna told us to hold off.\S-So she managed to stop you...\Looks like you kept your promise.\Thanks to you, they didn't fall victim to the boys' evil schemes.\Th-Thank goodness...\Noir?! What's wrong?\I-I used up too much LP...\Noir? Noir?! response:	This is the best!
context: S-So she managed to stop you...\Looks like you kept your promise.\Thanks to you, they didn't fall victim to the boys' evil schemes.\Th-Thank goodness...\Noir?! What's wrong?\I-I used up too much LP...\Noir? Noir?!\This is the best! response:	It feels so nice!
context: Looks like you kept your promise.\Thanks to you, they didn't fall victim to the boys' evil schemes.\Th-Thank goodness...\Noir?! What's wrong?\I-I used up too much LP...\Noir? Noir?!\This is the best!\It feels so nice! response:	My skin feels so smooth!
context: Thanks to you, they didn't fall victim to the boys' evil schemes.\Th-Thank goodness...\Noir?! What's wrong?\I-I used up too much LP...\Noir? Noir?!\This is the best!\It feels so nice!\My skin feels so smooth! response:	It's so warm!
context: Th-Thank goodness...\Noir?! What's wrong?\I-I used up too much LP...\Noir? Noir?!\This is the best!\It feels so nice!\My skin feels so smooth!\It's so warm! response:	Don't remove the towel on your eyes or your waist.
context: Noir?! What's wrong?\I-I used up too much LP...\Noir? Noir?!\This is the best!\It feels so nice!\My skin feels so smooth!\It's so warm!\Don't remove the towel on your eyes or your waist. response:	M-Ms. Elna...
context: I-I used up too much LP...\Noir? Noir?!\This is the best!\It feels so nice!\My skin feels so smooth!\It's so warm!\Don't remove the towel on your eyes or your waist.\M-Ms. Elna... response:	Don't worry. I trapped the boys in their room.
context: Noir? Noir?!\This is the best!\It feels so nice!\My skin feels so smooth!\It's so warm!\Don't remove the towel on your eyes or your waist.\M-Ms. Elna...\Don't worry. I trapped the boys in their room. response:	Let us see them naked!
context: This is the best!\It feels so nice!\My skin feels so smooth!\It's so warm!\Don't remove the towel on your eyes or your waist.\M-Ms. Elna...\Don't worry. I trapped the boys in their room.\Let us see them naked! response:	Let us out!
context: It feels so nice!\My skin feels so smooth!\It's so warm!\Don't remove the towel on your eyes or your waist.\M-Ms. Elna...\Don't worry. I trapped the boys in their room.\Let us see them naked!\Let us out! response:	Please!
context: My skin feels so smooth!\It's so warm!\Don't remove the towel on your eyes or your waist.\M-Ms. Elna...\Don't worry. I trapped the boys in their room.\Let us see them naked!\Let us out!\Please! response:	Let us out!
context: It's so warm!\Don't remove the towel on your eyes or your waist.\M-Ms. Elna...\Don't worry. I trapped the boys in their room.\Let us see them naked!\Let us out!\Please!\Let us out! response:	It's all thanks to you that we were able to stop the boys from peeping,
context: Don't remove the towel on your eyes or your waist.\M-Ms. Elna...\Don't worry. I trapped the boys in their room.\Let us see them naked!\Let us out!\Please!\Let us out!\It's all thanks to you that we were able to stop the boys from peeping, response:	so as a reward, you can bathe with us.
context: M-Ms. Elna...\Don't worry. I trapped the boys in their room.\Let us see them naked!\Let us out!\Please!\Let us out!\It's all thanks to you that we were able to stop the boys from peeping,\so as a reward, you can bathe with us. response:	I-I get to bathe with you?
context: Don't worry. I trapped the boys in their room.\Let us see them naked!\Let us out!\Please!\Let us out!\It's all thanks to you that we were able to stop the boys from peeping,\so as a reward, you can bathe with us.\I-I get to bathe with you? response:	You fought for the girls, so I'll allow that much.
context: Let us see them naked!\Let us out!\Please!\Let us out!\It's all thanks to you that we were able to stop the boys from peeping,\so as a reward, you can bathe with us.\I-I get to bathe with you?\You fought for the girls, so I'll allow that much. response:	Right, girls?
context: Let us out!\Please!\Let us out!\It's all thanks to you that we were able to stop the boys from peeping,\so as a reward, you can bathe with us.\I-I get to bathe with you?\You fought for the girls, so I'll allow that much.\Right, girls? response:	Sure!
context: Please!\Let us out!\It's all thanks to you that we were able to stop the boys from peeping,\so as a reward, you can bathe with us.\I-I get to bathe with you?\You fought for the girls, so I'll allow that much.\Right, girls?\Sure! response:	We're all grateful, Noir.
context: Let us out!\It's all thanks to you that we were able to stop the boys from peeping,\so as a reward, you can bathe with us.\I-I get to bathe with you?\You fought for the girls, so I'll allow that much.\Right, girls?\Sure!\We're all grateful, Noir. response:	S-So this is a man's...
context: It's all thanks to you that we were able to stop the boys from peeping,\so as a reward, you can bathe with us.\I-I get to bathe with you?\You fought for the girls, so I'll allow that much.\Right, girls?\Sure!\We're all grateful, Noir.\S-So this is a man's... response:	Ah, so this is how your muscles look.
