context: Mornin', Hikari! response:	You're up early.
context: Because I love you more, Miuna.\I love you too, Mommy!\I love, love, love you!\That tickles!\What the hell do you think you're doing?!\I can't swim!\Why?!\Mommy's from the sea! response:	Why can't I swim?!
context: I love you too, Mommy!\I love, love, love you!\That tickles!\What the hell do you think you're doing?!\I can't swim!\Why?!\Mommy's from the sea!\Why can't I swim?! response:	Stop struggling!
context: I love, love, love you!\That tickles!\What the hell do you think you're doing?!\I can't swim!\Why?!\Mommy's from the sea!\Why can't I swim?!\Stop struggling! response:	You smell like Mommy and Aka-chan.
context: That tickles!\What the hell do you think you're doing?!\I can't swim!\Why?!\Mommy's from the sea!\Why can't I swim?!\Stop struggling!\You smell like Mommy and Aka-chan. response:	Aka-chan?
context: What the hell do you think you're doing?!\I can't swim!\Why?!\Mommy's from the sea!\Why can't I swim?!\Stop struggling!\You smell like Mommy and Aka-chan.\Aka-chan? response:	You mean Akari?
context: I can't swim!\Why?!\Mommy's from the sea!\Why can't I swim?!\Stop struggling!\You smell like Mommy and Aka-chan.\Aka-chan?\You mean Akari? response:	When Mommy died, I was full of sad feelings in my stomach...
context: Why?!\Mommy's from the sea!\Why can't I swim?!\Stop struggling!\You smell like Mommy and Aka-chan.\Aka-chan?\You mean Akari?\When Mommy died, I was full of sad feelings in my stomach... response:	Like I couldn't breathe...
context: Mommy's from the sea!\Why can't I swim?!\Stop struggling!\You smell like Mommy and Aka-chan.\Aka-chan?\You mean Akari?\When Mommy died, I was full of sad feelings in my stomach...\Like I couldn't breathe... response:	Aka-chan always stayed with me,
context: Why can't I swim?!\Stop struggling!\You smell like Mommy and Aka-chan.\Aka-chan?\You mean Akari?\When Mommy died, I was full of sad feelings in my stomach...\Like I couldn't breathe...\Aka-chan always stayed with me, response:	and I really started to like Aka-chan.
context: Stop struggling!\You smell like Mommy and Aka-chan.\Aka-chan?\You mean Akari?\When Mommy died, I was full of sad feelings in my stomach...\Like I couldn't breathe...\Aka-chan always stayed with me,\and I really started to like Aka-chan. response:	But... when they said Aka-chan might be my new mom,
context: You smell like Mommy and Aka-chan.\Aka-chan?\You mean Akari?\When Mommy died, I was full of sad feelings in my stomach...\Like I couldn't breathe...\Aka-chan always stayed with me,\and I really started to like Aka-chan.\But... when they said Aka-chan might be my new mom, response:	I got scared.
context: Aka-chan?\You mean Akari?\When Mommy died, I was full of sad feelings in my stomach...\Like I couldn't breathe...\Aka-chan always stayed with me,\and I really started to like Aka-chan.\But... when they said Aka-chan might be my new mom,\I got scared. response:	If Mommy... something that I love...
context: You mean Akari?\When Mommy died, I was full of sad feelings in my stomach...\Like I couldn't breathe...\Aka-chan always stayed with me,\and I really started to like Aka-chan.\But... when they said Aka-chan might be my new mom,\I got scared.\If Mommy... something that I love... response:	if they were taken from me again, I wouldn't know what to do.
context: When Mommy died, I was full of sad feelings in my stomach...\Like I couldn't breathe...\Aka-chan always stayed with me,\and I really started to like Aka-chan.\But... when they said Aka-chan might be my new mom,\I got scared.\If Mommy... something that I love...\if they were taken from me again, I wouldn't know what to do. response:	I don't want that sad feeling in my stomach again.
context: Like I couldn't breathe...\Aka-chan always stayed with me,\and I really started to like Aka-chan.\But... when they said Aka-chan might be my new mom,\I got scared.\If Mommy... something that I love...\if they were taken from me again, I wouldn't know what to do.\I don't want that sad feeling in my stomach again. response:	If I didn't love them, I wouldn't be so sad!
context: Aka-chan always stayed with me,\and I really started to like Aka-chan.\But... when they said Aka-chan might be my new mom,\I got scared.\If Mommy... something that I love...\if they were taken from me again, I wouldn't know what to do.\I don't want that sad feeling in my stomach again.\If I didn't love them, I wouldn't be so sad! response:	So... So I...
context: and I really started to like Aka-chan.\But... when they said Aka-chan might be my new mom,\I got scared.\If Mommy... something that I love...\if they were taken from me again, I wouldn't know what to do.\I don't want that sad feeling in my stomach again.\If I didn't love them, I wouldn't be so sad!\So... So I... response:	If you don't love them...
context: But... when they said Aka-chan might be my new mom,\I got scared.\If Mommy... something that I love...\if they were taken from me again, I wouldn't know what to do.\I don't want that sad feeling in my stomach again.\If I didn't love them, I wouldn't be so sad!\So... So I...\If you don't love them... response:	If you don't love them, it won't be painful.
context: I got scared.\If Mommy... something that I love...\if they were taken from me again, I wouldn't know what to do.\I don't want that sad feeling in my stomach again.\If I didn't love them, I wouldn't be so sad!\So... So I...\If you don't love them...\If you don't love them, it won't be painful. response:	You might actually have a point.
context: If Mommy... something that I love...\if they were taken from me again, I wouldn't know what to do.\I don't want that sad feeling in my stomach again.\If I didn't love them, I wouldn't be so sad!\So... So I...\If you don't love them...\If you don't love them, it won't be painful.\You might actually have a point. response:	Huh?
context: if they were taken from me again, I wouldn't know what to do.\I don't want that sad feeling in my stomach again.\If I didn't love them, I wouldn't be so sad!\So... So I...\If you don't love them...\If you don't love them, it won't be painful.\You might actually have a point.\Huh? response:	I can't really talk.
context: I don't want that sad feeling in my stomach again.\If I didn't love them, I wouldn't be so sad!\So... So I...\If you don't love them...\If you don't love them, it won't be painful.\You might actually have a point.\Huh?\I can't really talk. response:	I sort of think it might be easier not to love someone, too.
context: If I didn't love them, I wouldn't be so sad!\So... So I...\If you don't love them...\If you don't love them, it won't be painful.\You might actually have a point.\Huh?\I can't really talk.\I sort of think it might be easier not to love someone, too. response:	But, you know...
context: So... So I...\If you don't love them...\If you don't love them, it won't be painful.\You might actually have a point.\Huh?\I can't really talk.\I sort of think it might be easier not to love someone, too.\But, you know... response:	I don't want to think that it's hopeless or useless to love someone.
context: If you don't love them...\If you don't love them, it won't be painful.\You might actually have a point.\Huh?\I can't really talk.\I sort of think it might be easier not to love someone, too.\But, you know...\I don't want to think that it's hopeless or useless to love someone. response:	Wh-What?
context: If you don't love them, it won't be painful.\You might actually have a point.\Huh?\I can't really talk.\I sort of think it might be easier not to love someone, too.\But, you know...\I don't want to think that it's hopeless or useless to love someone.\Wh-What? response:	Do you have someone you love, too?
context: You might actually have a point.\Huh?\I can't really talk.\I sort of think it might be easier not to love someone, too.\But, you know...\I don't want to think that it's hopeless or useless to love someone.\Wh-What?\Do you have someone you love, too? response:	Well, yeah... a lot of them.
context: Huh?\I can't really talk.\I sort of think it might be easier not to love someone, too.\But, you know...\I don't want to think that it's hopeless or useless to love someone.\Wh-What?\Do you have someone you love, too?\Well, yeah... a lot of them. response:	A lot?
context: I can't really talk.\I sort of think it might be easier not to love someone, too.\But, you know...\I don't want to think that it's hopeless or useless to love someone.\Wh-What?\Do you have someone you love, too?\Well, yeah... a lot of them.\A lot? response:	Uh, yeah.
context: I sort of think it might be easier not to love someone, too.\But, you know...\I don't want to think that it's hopeless or useless to love someone.\Wh-What?\Do you have someone you love, too?\Well, yeah... a lot of them.\A lot?\Uh, yeah. response:	And now I like you a lot, too.
context: But, you know...\I don't want to think that it's hopeless or useless to love someone.\Wh-What?\Do you have someone you love, too?\Well, yeah... a lot of them.\A lot?\Uh, yeah.\And now I like you a lot, too. response:	Hey! How long are you going to hold me like this?
context: I don't want to think that it's hopeless or useless to love someone.\Wh-What?\Do you have someone you love, too?\Well, yeah... a lot of them.\A lot?\Uh, yeah.\And now I like you a lot, too.\Hey! How long are you going to hold me like this? response:	Oh, right...
context: Wh-What?\Do you have someone you love, too?\Well, yeah... a lot of them.\A lot?\Uh, yeah.\And now I like you a lot, too.\Hey! How long are you going to hold me like this?\Oh, right... response:	Th-There you go.
context: Do you have someone you love, too?\Well, yeah... a lot of them.\A lot?\Uh, yeah.\And now I like you a lot, too.\Hey! How long are you going to hold me like this?\Oh, right...\Th-There you go. response:	Are you a dolicon?
context: Well, yeah... a lot of them.\A lot?\Uh, yeah.\And now I like you a lot, too.\Hey! How long are you going to hold me like this?\Oh, right...\Th-There you go.\Are you a dolicon? response:	Doli?
context: A lot?\Uh, yeah.\And now I like you a lot, too.\Hey! How long are you going to hold me like this?\Oh, right...\Th-There you go.\Are you a dolicon?\Doli? response:	I heard that people who like grade school girls are called dolicons.
context: Uh, yeah.\And now I like you a lot, too.\Hey! How long are you going to hold me like this?\Oh, right...\Th-There you go.\Are you a dolicon?\Doli?\I heard that people who like grade school girls are called dolicons. response:	From Sayu.
context: And now I like you a lot, too.\Hey! How long are you going to hold me like this?\Oh, right...\Th-There you go.\Are you a dolicon?\Doli?\I heard that people who like grade school girls are called dolicons.\From Sayu. response:	That's lolicon, not dolicon!
context: Hey! How long are you going to hold me like this?\Oh, right...\Th-There you go.\Are you a dolicon?\Doli?\I heard that people who like grade school girls are called dolicons.\From Sayu.\That's lolicon, not dolicon! response:	And I'm not like that!
context: Oh, right...\Th-There you go.\Are you a dolicon?\Doli?\I heard that people who like grade school girls are called dolicons.\From Sayu.\That's lolicon, not dolicon!\And I'm not like that! response:	There's something I want you to help me with.
context: Th-There you go.\Are you a dolicon?\Doli?\I heard that people who like grade school girls are called dolicons.\From Sayu.\That's lolicon, not dolicon!\And I'm not like that!\There's something I want you to help me with. response:	Huh?
context: Are you a dolicon?\Doli?\I heard that people who like grade school girls are called dolicons.\From Sayu.\That's lolicon, not dolicon!\And I'm not like that!\There's something I want you to help me with.\Huh? response:	My... sea slug...
context: Doli?\I heard that people who like grade school girls are called dolicons.\From Sayu.\That's lolicon, not dolicon!\And I'm not like that!\There's something I want you to help me with.\Huh?\My... sea slug... response:	Saya Mart
context: I heard that people who like grade school girls are called dolicons.\From Sayu.\That's lolicon, not dolicon!\And I'm not like that!\There's something I want you to help me with.\Huh?\My... sea slug...\Saya Mart response:	You're early, Akari-chan.
context: From Sayu.\That's lolicon, not dolicon!\And I'm not like that!\There's something I want you to help me with.\Huh?\My... sea slug...\Saya Mart\You're early, Akari-chan. response:	Oh, well, I couldn't sleep, so...
context: That's lolicon, not dolicon!\And I'm not like that!\There's something I want you to help me with.\Huh?\My... sea slug...\Saya Mart\You're early, Akari-chan.\Oh, well, I couldn't sleep, so... response:	My jaw hurts...
context: And I'm not like that!\There's something I want you to help me with.\Huh?\My... sea slug...\Saya Mart\You're early, Akari-chan.\Oh, well, I couldn't sleep, so...\My jaw hurts... response:	I wonder if I chewed too much gum.
context: There's something I want you to help me with.\Huh?\My... sea slug...\Saya Mart\You're early, Akari-chan.\Oh, well, I couldn't sleep, so...\My jaw hurts...\I wonder if I chewed too much gum. response:	Akari!
context: Huh?\My... sea slug...\Saya Mart\You're early, Akari-chan.\Oh, well, I couldn't sleep, so...\My jaw hurts...\I wonder if I chewed too much gum.\Akari! response:	Stupid! Stupid Miuna!
context: My... sea slug...\Saya Mart\You're early, Akari-chan.\Oh, well, I couldn't sleep, so...\My jaw hurts...\I wonder if I chewed too much gum.\Akari!\Stupid! Stupid Miuna! response:	A-Akari! Calm do
context: Saya Mart\You're early, Akari-chan.\Oh, well, I couldn't sleep, so...\My jaw hurts...\I wonder if I chewed too much gum.\Akari!\Stupid! Stupid Miuna!\A-Akari! Calm do response:	Of course I'm not going anywhere!
context: You're early, Akari-chan.\Oh, well, I couldn't sleep, so...\My jaw hurts...\I wonder if I chewed too much gum.\Akari!\Stupid! Stupid Miuna!\A-Akari! Calm do\Of course I'm not going anywhere! response:	I'm not going anywhere...
context: Oh, well, I couldn't sleep, so...\My jaw hurts...\I wonder if I chewed too much gum.\Akari!\Stupid! Stupid Miuna!\A-Akari! Calm do\Of course I'm not going anywhere!\I'm not going anywhere... response:	I'll always be by your side, Miuna!
context: My jaw hurts...\I wonder if I chewed too much gum.\Akari!\Stupid! Stupid Miuna!\A-Akari! Calm do\Of course I'm not going anywhere!\I'm not going anywhere...\I'll always be by your side, Miuna! response:	I'll always be by your side with Miori-san!
context: I wonder if I chewed too much gum.\Akari!\Stupid! Stupid Miuna!\A-Akari! Calm do\Of course I'm not going anywhere!\I'm not going anywhere...\I'll always be by your side, Miuna!\I'll always be by your side with Miori-san! response:	With... Mommy?
context: Akari!\Stupid! Stupid Miuna!\A-Akari! Calm do\Of course I'm not going anywhere!\I'm not going anywhere...\I'll always be by your side, Miuna!\I'll always be by your side with Miori-san!\With... Mommy? response:	Yeah!
context: Stupid! Stupid Miuna!\A-Akari! Calm do\Of course I'm not going anywhere!\I'm not going anywhere...\I'll always be by your side, Miuna!\I'll always be by your side with Miori-san!\With... Mommy?\Yeah! response:	I can't replace Miori-san.
context: A-Akari! Calm do\Of course I'm not going anywhere!\I'm not going anywhere...\I'll always be by your side, Miuna!\I'll always be by your side with Miori-san!\With... Mommy?\Yeah!\I can't replace Miori-san. response:	Even if I wanted to...
context: Of course I'm not going anywhere!\I'm not going anywhere...\I'll always be by your side, Miuna!\I'll always be by your side with Miori-san!\With... Mommy?\Yeah!\I can't replace Miori-san.\Even if I wanted to... response:	But...
context: I'm not going anywhere...\I'll always be by your side, Miuna!\I'll always be by your side with Miori-san!\With... Mommy?\Yeah!\I can't replace Miori-san.\Even if I wanted to...\But... response:	I want to stay next to you as myself!
context: I'll always be by your side, Miuna!\I'll always be by your side with Miori-san!\With... Mommy?\Yeah!\I can't replace Miori-san.\Even if I wanted to...\But...\I want to stay next to you as myself! response:	I'll be right here!
context: I'll always be by your side with Miori-san!\With... Mommy?\Yeah!\I can't replace Miori-san.\Even if I wanted to...\But...\I want to stay next to you as myself!\I'll be right here! response:	So... you stay as you are...
context: With... Mommy?\Yeah!\I can't replace Miori-san.\Even if I wanted to...\But...\I want to stay next to you as myself!\I'll be right here!\So... you stay as you are... response:	And please... let me stay by your side forever...
context: Yeah!\I can't replace Miori-san.\Even if I wanted to...\But...\I want to stay next to you as myself!\I'll be right here!\So... you stay as you are...\And please... let me stay by your side forever... response:	Don't Go Away
context: I can't replace Miori-san.\Even if I wanted to...\But...\I want to stay next to you as myself!\I'll be right here!\So... you stay as you are...\And please... let me stay by your side forever...\Don't Go Away response:	Your eyes, Aka-chan...
context: Even if I wanted to...\But...\I want to stay next to you as myself!\I'll be right here!\So... you stay as you are...\And please... let me stay by your side forever...\Don't Go Away\Your eyes, Aka-chan... response:	They're so blue, and your tears moving like waves...
context: But...\I want to stay next to you as myself!\I'll be right here!\So... you stay as you are...\And please... let me stay by your side forever...\Don't Go Away\Your eyes, Aka-chan...\They're so blue, and your tears moving like waves... response:	They're so pretty. They're like the sea.
context: I want to stay next to you as myself!\I'll be right here!\So... you stay as you are...\And please... let me stay by your side forever...\Don't Go Away\Your eyes, Aka-chan...\They're so blue, and your tears moving like waves...\They're so pretty. They're like the sea. response:	Miuna...
context: I'll be right here!\So... you stay as you are...\And please... let me stay by your side forever...\Don't Go Away\Your eyes, Aka-chan...\They're so blue, and your tears moving like waves...\They're so pretty. They're like the sea.\Miuna... response:	love the sea.
context: So... you stay as you are...\And please... let me stay by your side forever...\Don't Go Away\Your eyes, Aka-chan...\They're so blue, and your tears moving like waves...\They're so pretty. They're like the sea.\Miuna...\love the sea. response:	Good grief...
context: And please... let me stay by your side forever...\Don't Go Away\Your eyes, Aka-chan...\They're so blue, and your tears moving like waves...\They're so pretty. They're like the sea.\Miuna...\love the sea.\Good grief... response:	Who's the kid here?
context: Don't Go Away\Your eyes, Aka-chan...\They're so blue, and your tears moving like waves...\They're so pretty. They're like the sea.\Miuna...\love the sea.\Good grief...\Who's the kid here? response:	You're so big, Hiradaira-san.
context: Your eyes, Aka-chan...\They're so blue, and your tears moving like waves...\They're so pretty. They're like the sea.\Miuna...\love the sea.\Good grief...\Who's the kid here?\You're so big, Hiradaira-san. response:	I wonder where my strike zone is.
context: They're so blue, and your tears moving like waves...\They're so pretty. They're like the sea.\Miuna...\love the sea.\Good grief...\Who's the kid here?\You're so big, Hiradaira-san.\I wonder where my strike zone is. response:	Apparently today's the perfect day for Tomoebi.
context: They're so pretty. They're like the sea.\Miuna...\love the sea.\Good grief...\Who's the kid here?\You're so big, Hiradaira-san.\I wonder where my strike zone is.\Apparently today's the perfect day for Tomoebi. response:	That's way too fast...
context: Miuna...\love the sea.\Good grief...\Who's the kid here?\You're so big, Hiradaira-san.\I wonder where my strike zone is.\Apparently today's the perfect day for Tomoebi.\That's way too fast... response:	Episode Six: Beyond Tomoebi
