context: What's the point of a building this big? response:	Eastern Federation Elkia Embassy
context: So they challenged a second time, with some plan in mind.\And they lost again.\And then, the third time,\I don't know how, but they figured out the game.\They used those official cheats known as magic that you envy so much,\and finally made their fourth challenge.\And they lost anyway.\You have a very active imagination. response:	But the process by which they lost doesn't matter.
context: And they lost again.\And then, the third time,\I don't know how, but they figured out the game.\They used those official cheats known as magic that you envy so much,\and finally made their fourth challenge.\And they lost anyway.\You have a very active imagination.\But the process by which they lost doesn't matter. response:	Why did they stop after four times?
context: And then, the third time,\I don't know how, but they figured out the game.\They used those official cheats known as magic that you envy so much,\and finally made their fourth challenge.\And they lost anyway.\You have a very active imagination.\But the process by which they lost doesn't matter.\Why did they stop after four times? response:	It doesn't matter if the rest is just my imagination.
context: I don't know how, but they figured out the game.\They used those official cheats known as magic that you envy so much,\and finally made their fourth challenge.\And they lost anyway.\You have a very active imagination.\But the process by which they lost doesn't matter.\Why did they stop after four times?\It doesn't matter if the rest is just my imagination. response:	As for why they stopped...
context: They used those official cheats known as magic that you envy so much,\and finally made their fourth challenge.\And they lost anyway.\You have a very active imagination.\But the process by which they lost doesn't matter.\Why did they stop after four times?\It doesn't matter if the rest is just my imagination.\As for why they stopped... response:	There are two possibilities.
context: and finally made their fourth challenge.\And they lost anyway.\You have a very active imagination.\But the process by which they lost doesn't matter.\Why did they stop after four times?\It doesn't matter if the rest is just my imagination.\As for why they stopped...\There are two possibilities. response:	One: They realized the game was fundamentally impossible to win.
context: And they lost anyway.\You have a very active imagination.\But the process by which they lost doesn't matter.\Why did they stop after four times?\It doesn't matter if the rest is just my imagination.\As for why they stopped...\There are two possibilities.\One: They realized the game was fundamentally impossible to win. response:	Eight: Being caught cheating during a game is grounds for an instant loss.
context: You have a very active imagination.\But the process by which they lost doesn't matter.\Why did they stop after four times?\It doesn't matter if the rest is just my imagination.\As for why they stopped...\There are two possibilities.\One: They realized the game was fundamentally impossible to win.\Eight: Being caught cheating during a game is grounds for an instant loss. response:	Then if they had exposed it during a fifth game, they would've won.
context: But the process by which they lost doesn't matter.\Why did they stop after four times?\It doesn't matter if the rest is just my imagination.\As for why they stopped...\There are two possibilities.\One: They realized the game was fundamentally impossible to win.\Eight: Being caught cheating during a game is grounds for an instant loss.\Then if they had exposed it during a fifth game, they would've won. response:	Two: They figured out the game,
context: Why did they stop after four times?\It doesn't matter if the rest is just my imagination.\As for why they stopped...\There are two possibilities.\One: They realized the game was fundamentally impossible to win.\Eight: Being caught cheating during a game is grounds for an instant loss.\Then if they had exposed it during a fifth game, they would've won.\Two: They figured out the game, response:	but they never figured out why they lost.
context: It doesn't matter if the rest is just my imagination.\As for why they stopped...\There are two possibilities.\One: They realized the game was fundamentally impossible to win.\Eight: Being caught cheating during a game is grounds for an instant loss.\Then if they had exposed it during a fifth game, they would've won.\Two: They figured out the game,\but they never figured out why they lost. response:	So they stopped challenging.
context: As for why they stopped...\There are two possibilities.\One: They realized the game was fundamentally impossible to win.\Eight: Being caught cheating during a game is grounds for an instant loss.\Then if they had exposed it during a fifth game, they would've won.\Two: They figured out the game,\but they never figured out why they lost.\So they stopped challenging. response:	But...
context: There are two possibilities.\One: They realized the game was fundamentally impossible to win.\Eight: Being caught cheating during a game is grounds for an instant loss.\Then if they had exposed it during a fifth game, they would've won.\Two: They figured out the game,\but they never figured out why they lost.\So they stopped challenging.\But... response:	Huh? Huh?
context: One: They realized the game was fundamentally impossible to win.\Eight: Being caught cheating during a game is grounds for an instant loss.\Then if they had exposed it during a fifth game, they would've won.\Two: They figured out the game,\but they never figured out why they lost.\So they stopped challenging.\But...\Huh? Huh? response:	That doesn't make sense.
context: Eight: Being caught cheating during a game is grounds for an instant loss.\Then if they had exposed it during a fifth game, they would've won.\Two: They figured out the game,\but they never figured out why they lost.\So they stopped challenging.\But...\Huh? Huh?\That doesn't make sense. response:	You understand the game, but don't know why you lost?
context: Then if they had exposed it during a fifth game, they would've won.\Two: They figured out the game,\but they never figured out why they lost.\So they stopped challenging.\But...\Huh? Huh?\That doesn't make sense.\You understand the game, but don't know why you lost? response:	A game that you understand, but don't know why you lost?
context: Two: They figured out the game,\but they never figured out why they lost.\So they stopped challenging.\But...\Huh? Huh?\That doesn't make sense.\You understand the game, but don't know why you lost?\A game that you understand, but don't know why you lost? response:	Now it's getting good!
context: but they never figured out why they lost.\So they stopped challenging.\But...\Huh? Huh?\That doesn't make sense.\You understand the game, but don't know why you lost?\A game that you understand, but don't know why you lost?\Now it's getting good! response:	Question 3!
context: So they stopped challenging.\But...\Huh? Huh?\That doesn't make sense.\You understand the game, but don't know why you lost?\A game that you understand, but don't know why you lost?\Now it's getting good!\Question 3! response:	What kind of game works against each one of these very different races,
context: But...\Huh? Huh?\That doesn't make sense.\You understand the game, but don't know why you lost?\A game that you understand, but don't know why you lost?\Now it's getting good!\Question 3!\What kind of game works against each one of these very different races, response:	Imanity Flugel Elf
context: Huh? Huh?\That doesn't make sense.\You understand the game, but don't know why you lost?\A game that you understand, but don't know why you lost?\Now it's getting good!\Question 3!\What kind of game works against each one of these very different races,\Imanity Flugel Elf response:	but which only the technologically advanced Eastern Federation possesses?
context: That doesn't make sense.\You understand the game, but don't know why you lost?\A game that you understand, but don't know why you lost?\Now it's getting good!\Question 3!\What kind of game works against each one of these very different races,\Imanity Flugel Elf\but which only the technologically advanced Eastern Federation possesses? response:	The answer is...
context: You understand the game, but don't know why you lost?\A game that you understand, but don't know why you lost?\Now it's getting good!\Question 3!\What kind of game works against each one of these very different races,\Imanity Flugel Elf\but which only the technologically advanced Eastern Federation possesses?\The answer is... response:	Video Game
context: A game that you understand, but don't know why you lost?\Now it's getting good!\Question 3!\What kind of game works against each one of these very different races,\Imanity Flugel Elf\but which only the technologically advanced Eastern Federation possesses?\The answer is...\Video Game response:	A video game where you can cheat all you want.
context: Now it's getting good!\Question 3!\What kind of game works against each one of these very different races,\Imanity Flugel Elf\but which only the technologically advanced Eastern Federation possesses?\The answer is...\Video Game\A video game where you can cheat all you want. response:	A video game?
context: Question 3!\What kind of game works against each one of these very different races,\Imanity Flugel Elf\but which only the technologically advanced Eastern Federation possesses?\The answer is...\Video Game\A video game where you can cheat all you want.\A video game? response:	What's that?
context: What kind of game works against each one of these very different races,\Imanity Flugel Elf\but which only the technologically advanced Eastern Federation possesses?\The answer is...\Video Game\A video game where you can cheat all you want.\A video game?\What's that? response:	You don't know, do you?
context: Imanity Flugel Elf\but which only the technologically advanced Eastern Federation possesses?\The answer is...\Video Game\A video game where you can cheat all you want.\A video game?\What's that?\You don't know, do you? response:	But, Jibril, you challenged the Eastern Federation once before.
context: but which only the technologically advanced Eastern Federation possesses?\The answer is...\Video Game\A video game where you can cheat all you want.\A video game?\What's that?\You don't know, do you?\But, Jibril, you challenged the Eastern Federation once before. response:	How come you'd never seen that thing in the entrance before?
context: The answer is...\Video Game\A video game where you can cheat all you want.\A video game?\What's that?\You don't know, do you?\But, Jibril, you challenged the Eastern Federation once before.\How come you'd never seen that thing in the entrance before? response:	Huh?
context: Video Game\A video game where you can cheat all you want.\A video game?\What's that?\You don't know, do you?\But, Jibril, you challenged the Eastern Federation once before.\How come you'd never seen that thing in the entrance before?\Huh? response:	That's because...
context: A video game where you can cheat all you want.\A video game?\What's that?\You don't know, do you?\But, Jibril, you challenged the Eastern Federation once before.\How come you'd never seen that thing in the entrance before?\Huh?\That's because... response:	You'd forgotten it.
context: A video game?\What's that?\You don't know, do you?\But, Jibril, you challenged the Eastern Federation once before.\How come you'd never seen that thing in the entrance before?\Huh?\That's because...\You'd forgotten it. response:	Since it's a memory associated with the game.
context: What's that?\You don't know, do you?\But, Jibril, you challenged the Eastern Federation once before.\How come you'd never seen that thing in the entrance before?\Huh?\That's because...\You'd forgotten it.\Since it's a memory associated with the game. response:	Well, even without that,
context: You don't know, do you?\But, Jibril, you challenged the Eastern Federation once before.\How come you'd never seen that thing in the entrance before?\Huh?\That's because...\You'd forgotten it.\Since it's a memory associated with the game.\Well, even without that, response:	if a Flugel like Jibril doesn't know about them,
context: But, Jibril, you challenged the Eastern Federation once before.\How come you'd never seen that thing in the entrance before?\Huh?\That's because...\You'd forgotten it.\Since it's a memory associated with the game.\Well, even without that,\if a Flugel like Jibril doesn't know about them, response:	it's safe to say that the only country in the world
context: How come you'd never seen that thing in the entrance before?\Huh?\That's because...\You'd forgotten it.\Since it's a memory associated with the game.\Well, even without that,\if a Flugel like Jibril doesn't know about them,\it's safe to say that the only country in the world response:	with video games is the Eastern Federation.
context: Huh?\That's because...\You'd forgotten it.\Since it's a memory associated with the game.\Well, even without that,\if a Flugel like Jibril doesn't know about them,\it's safe to say that the only country in the world\with video games is the Eastern Federation. response:	That's why you erase memories to keep them a secret.
context: That's because...\You'd forgotten it.\Since it's a memory associated with the game.\Well, even without that,\if a Flugel like Jibril doesn't know about them,\it's safe to say that the only country in the world\with video games is the Eastern Federation.\That's why you erase memories to keep them a secret. response:	Because in a video game where you're the game master,
context: You'd forgotten it.\Since it's a memory associated with the game.\Well, even without that,\if a Flugel like Jibril doesn't know about them,\it's safe to say that the only country in the world\with video games is the Eastern Federation.\That's why you erase memories to keep them a secret.\Because in a video game where you're the game master, response:	you can cheat all you want.
context: Since it's a memory associated with the game.\Well, even without that,\if a Flugel like Jibril doesn't know about them,\it's safe to say that the only country in the world\with video games is the Eastern Federation.\That's why you erase memories to keep them a secret.\Because in a video game where you're the game master,\you can cheat all you want. response:	Your opponents have no way to figure it out.
context: Well, even without that,\if a Flugel like Jibril doesn't know about them,\it's safe to say that the only country in the world\with video games is the Eastern Federation.\That's why you erase memories to keep them a secret.\Because in a video game where you're the game master,\you can cheat all you want.\Your opponents have no way to figure it out. response:	If you don't know what cyberspace is, then magic doesn't help you.
context: if a Flugel like Jibril doesn't know about them,\it's safe to say that the only country in the world\with video games is the Eastern Federation.\That's why you erase memories to keep them a secret.\Because in a video game where you're the game master,\you can cheat all you want.\Your opponents have no way to figure it out.\If you don't know what cyberspace is, then magic doesn't help you. response:	That nonsense about reading minds is your way
context: it's safe to say that the only country in the world\with video games is the Eastern Federation.\That's why you erase memories to keep them a secret.\Because in a video game where you're the game master,\you can cheat all you want.\Your opponents have no way to figure it out.\If you don't know what cyberspace is, then magic doesn't help you.\That nonsense about reading minds is your way response:	of calling your cheats a sixth sense so opponents won't try to look closer.
context: with video games is the Eastern Federation.\That's why you erase memories to keep them a secret.\Because in a video game where you're the game master,\you can cheat all you want.\Your opponents have no way to figure it out.\If you don't know what cyberspace is, then magic doesn't help you.\That nonsense about reading minds is your way\of calling your cheats a sixth sense so opponents won't try to look closer. response:	That's right.
context: That's why you erase memories to keep them a secret.\Because in a video game where you're the game master,\you can cheat all you want.\Your opponents have no way to figure it out.\If you don't know what cyberspace is, then magic doesn't help you.\That nonsense about reading minds is your way\of calling your cheats a sixth sense so opponents won't try to look closer.\That's right. response:	You can tell when someone's lying,
context: Because in a video game where you're the game master,\you can cheat all you want.\Your opponents have no way to figure it out.\If you don't know what cyberspace is, then magic doesn't help you.\That nonsense about reading minds is your way\of calling your cheats a sixth sense so opponents won't try to look closer.\That's right.\You can tell when someone's lying, response:	but you can't read minds.
context: you can cheat all you want.\Your opponents have no way to figure it out.\If you don't know what cyberspace is, then magic doesn't help you.\That nonsense about reading minds is your way\of calling your cheats a sixth sense so opponents won't try to look closer.\That's right.\You can tell when someone's lying,\but you can't read minds. response:	Okay, last question!
context: Your opponents have no way to figure it out.\If you don't know what cyberspace is, then magic doesn't help you.\That nonsense about reading minds is your way\of calling your cheats a sixth sense so opponents won't try to look closer.\That's right.\You can tell when someone's lying,\but you can't read minds.\Okay, last question! response:	How did we figure all this out?
context: If you don't know what cyberspace is, then magic doesn't help you.\That nonsense about reading minds is your way\of calling your cheats a sixth sense so opponents won't try to look closer.\That's right.\You can tell when someone's lying,\but you can't read minds.\Okay, last question!\How did we figure all this out? response:	I'll give this one to you, old man.
context: That nonsense about reading minds is your way\of calling your cheats a sixth sense so opponents won't try to look closer.\That's right.\You can tell when someone's lying,\but you can't read minds.\Okay, last question!\How did we figure all this out?\I'll give this one to you, old man. response:	It couldn't be... the previous king!
context: of calling your cheats a sixth sense so opponents won't try to look closer.\That's right.\You can tell when someone's lying,\but you can't read minds.\Okay, last question!\How did we figure all this out?\I'll give this one to you, old man.\It couldn't be... the previous king! response:	We made him swear by the pledges not to tell anyone!
context: That's right.\You can tell when someone's lying,\but you can't read minds.\Okay, last question!\How did we figure all this out?\I'll give this one to you, old man.\It couldn't be... the previous king!\We made him swear by the pledges not to tell anyone! response:	And he didn't figure out that we couldn't read minds...
context: You can tell when someone's lying,\but you can't read minds.\Okay, last question!\How did we figure all this out?\I'll give this one to you, old man.\It couldn't be... the previous king!\We made him swear by the pledges not to tell anyone!\And he didn't figure out that we couldn't read minds... response:	No, the problem is...
context: but you can't read minds.\Okay, last question!\How did we figure all this out?\I'll give this one to you, old man.\It couldn't be... the previous king!\We made him swear by the pledges not to tell anyone!\And he didn't figure out that we couldn't read minds...\No, the problem is... response:	Yup.
context: Okay, last question!\How did we figure all this out?\I'll give this one to you, old man.\It couldn't be... the previous king!\We made him swear by the pledges not to tell anyone!\And he didn't figure out that we couldn't read minds...\No, the problem is...\Yup. response:	That's not the problem.
context: How did we figure all this out?\I'll give this one to you, old man.\It couldn't be... the previous king!\We made him swear by the pledges not to tell anyone!\And he didn't figure out that we couldn't read minds...\No, the problem is...\Yup.\That's not the problem. response:	The fact that the previous king was able to tell anyone anything
context: I'll give this one to you, old man.\It couldn't be... the previous king!\We made him swear by the pledges not to tell anyone!\And he didn't figure out that we couldn't read minds...\No, the problem is...\Yup.\That's not the problem.\The fact that the previous king was able to tell anyone anything response:	proves that you couldn't read his mind.
context: It couldn't be... the previous king!\We made him swear by the pledges not to tell anyone!\And he didn't figure out that we couldn't read minds...\No, the problem is...\Yup.\That's not the problem.\The fact that the previous king was able to tell anyone anything\proves that you couldn't read his mind. response:	Because his pledge to tell no one for the rest of his life
context: We made him swear by the pledges not to tell anyone!\And he didn't figure out that we couldn't read minds...\No, the problem is...\Yup.\That's not the problem.\The fact that the previous king was able to tell anyone anything\proves that you couldn't read his mind.\Because his pledge to tell no one for the rest of his life response:	didn't include after he died, which made it a trap.
context: And he didn't figure out that we couldn't read minds...\No, the problem is...\Yup.\That's not the problem.\The fact that the previous king was able to tell anyone anything\proves that you couldn't read his mind.\Because his pledge to tell no one for the rest of his life\didn't include after he died, which made it a trap. response:	So, now that we know all about your game...
context: No, the problem is...\Yup.\That's not the problem.\The fact that the previous king was able to tell anyone anything\proves that you couldn't read his mind.\Because his pledge to tell no one for the rest of his life\didn't include after he died, which made it a trap.\So, now that we know all about your game... response:	If we were to give this information to the elves,
context: Yup.\That's not the problem.\The fact that the previous king was able to tell anyone anything\proves that you couldn't read his mind.\Because his pledge to tell no one for the rest of his life\didn't include after he died, which made it a trap.\So, now that we know all about your game...\If we were to give this information to the elves, response:	you'd soon be put in a position where you had to play a game,
context: That's not the problem.\The fact that the previous king was able to tell anyone anything\proves that you couldn't read his mind.\Because his pledge to tell no one for the rest of his life\didn't include after he died, which made it a trap.\So, now that we know all about your game...\If we were to give this information to the elves,\you'd soon be put in a position where you had to play a game, response:	and you'd lose.
context: The fact that the previous king was able to tell anyone anything\proves that you couldn't read his mind.\Because his pledge to tell no one for the rest of his life\didn't include after he died, which made it a trap.\So, now that we know all about your game...\If we were to give this information to the elves,\you'd soon be put in a position where you had to play a game,\and you'd lose. response:	You need to erase our memories.
context: proves that you couldn't read his mind.\Because his pledge to tell no one for the rest of his life\didn't include after he died, which made it a trap.\So, now that we know all about your game...\If we were to give this information to the elves,\you'd soon be put in a position where you had to play a game,\and you'd lose.\You need to erase our memories. response:	But if you're willing to bet territory for Steph's panties in a game,
context: Because his pledge to tell no one for the rest of his life\didn't include after he died, which made it a trap.\So, now that we know all about your game...\If we were to give this information to the elves,\you'd soon be put in a position where you had to play a game,\and you'd lose.\You need to erase our memories.\But if you're willing to bet territory for Steph's panties in a game, response:	that would mean my imagination is completely correct.
context: didn't include after he died, which made it a trap.\So, now that we know all about your game...\If we were to give this information to the elves,\you'd soon be put in a position where you had to play a game,\and you'd lose.\You need to erase our memories.\But if you're willing to bet territory for Steph's panties in a game,\that would mean my imagination is completely correct. response:	Yes, which means...
context: So, now that we know all about your game...\If we were to give this information to the elves,\you'd soon be put in a position where you had to play a game,\and you'd lose.\You need to erase our memories.\But if you're willing to bet territory for Steph's panties in a game,\that would mean my imagination is completely correct.\Yes, which means... response:	Which means
context: If we were to give this information to the elves,\you'd soon be put in a position where you had to play a game,\and you'd lose.\You need to erase our memories.\But if you're willing to bet territory for Steph's panties in a game,\that would mean my imagination is completely correct.\Yes, which means...\Which means response:	your only option is to claim I'm making it all up and run away, huh?
context: you'd soon be put in a position where you had to play a game,\and you'd lose.\You need to erase our memories.\But if you're willing to bet territory for Steph's panties in a game,\that would mean my imagination is completely correct.\Yes, which means...\Which means\your only option is to claim I'm making it all up and run away, huh? response:	Did you think we'd let you get away?
context: and you'd lose.\You need to erase our memories.\But if you're willing to bet territory for Steph's panties in a game,\that would mean my imagination is completely correct.\Yes, which means...\Which means\your only option is to claim I'm making it all up and run away, huh?\Did you think we'd let you get away? response:	All of Imanity.
context: You need to erase our memories.\But if you're willing to bet territory for Steph's panties in a game,\that would mean my imagination is completely correct.\Yes, which means...\Which means\your only option is to claim I'm making it all up and run away, huh?\Did you think we'd let you get away?\All of Imanity. response:	I'll bet my Race Piece.
context: But if you're willing to bet territory for Steph's panties in a game,\that would mean my imagination is completely correct.\Yes, which means...\Which means\your only option is to claim I'm making it all up and run away, huh?\Did you think we'd let you get away?\All of Imanity.\I'll bet my Race Piece. response:	K-Kurami, that's...
context: that would mean my imagination is completely correct.\Yes, which means...\Which means\your only option is to claim I'm making it all up and run away, huh?\Did you think we'd let you get away?\All of Imanity.\I'll bet my Race Piece.\K-Kurami, that's... response:	Fi, has there ever been a game where a Race Piece was bet?
context: Yes, which means...\Which means\your only option is to claim I'm making it all up and run away, huh?\Did you think we'd let you get away?\All of Imanity.\I'll bet my Race Piece.\K-Kurami, that's...\Fi, has there ever been a game where a Race Piece was bet? response:	O-Of course not!
context: Which means\your only option is to claim I'm making it all up and run away, huh?\Did you think we'd let you get away?\All of Imanity.\I'll bet my Race Piece.\K-Kurami, that's...\Fi, has there ever been a game where a Race Piece was bet?\O-Of course not! response:	If you bet your Race Piece and lose,
context: your only option is to claim I'm making it all up and run away, huh?\Did you think we'd let you get away?\All of Imanity.\I'll bet my Race Piece.\K-Kurami, that's...\Fi, has there ever been a game where a Race Piece was bet?\O-Of course not!\If you bet your Race Piece and lose, response:	you lose all your rights as an Exceed, meaning...
context: Did you think we'd let you get away?\All of Imanity.\I'll bet my Race Piece.\K-Kurami, that's...\Fi, has there ever been a game where a Race Piece was bet?\O-Of course not!\If you bet your Race Piece and lose,\you lose all your rights as an Exceed, meaning... response:	The ten pledges no longer apply to you,
context: All of Imanity.\I'll bet my Race Piece.\K-Kurami, that's...\Fi, has there ever been a game where a Race Piece was bet?\O-Of course not!\If you bet your Race Piece and lose,\you lose all your rights as an Exceed, meaning...\The ten pledges no longer apply to you, response:	which means you're no better than animals.
context: I'll bet my Race Piece.\K-Kurami, that's...\Fi, has there ever been a game where a Race Piece was bet?\O-Of course not!\If you bet your Race Piece and lose,\you lose all your rights as an Exceed, meaning...\The ten pledges no longer apply to you,\which means you're no better than animals. response:	It's a de facto death sentence.
context: K-Kurami, that's...\Fi, has there ever been a game where a Race Piece was bet?\O-Of course not!\If you bet your Race Piece and lose,\you lose all your rights as an Exceed, meaning...\The ten pledges no longer apply to you,\which means you're no better than animals.\It's a de facto death sentence. response:	Those bastards...
context: Fi, has there ever been a game where a Race Piece was bet?\O-Of course not!\If you bet your Race Piece and lose,\you lose all your rights as an Exceed, meaning...\The ten pledges no longer apply to you,\which means you're no better than animals.\It's a de facto death sentence.\Those bastards... response:	Are you insane?
context: O-Of course not!\If you bet your Race Piece and lose,\you lose all your rights as an Exceed, meaning...\The ten pledges no longer apply to you,\which means you're no better than animals.\It's a de facto death sentence.\Those bastards...\Are you insane? response:	I've bet our entire territory and the lives of every one of us.
context: If you bet your Race Piece and lose,\you lose all your rights as an Exceed, meaning...\The ten pledges no longer apply to you,\which means you're no better than animals.\It's a de facto death sentence.\Those bastards...\Are you insane?\I've bet our entire territory and the lives of every one of us. response:	If you run away now,
context: you lose all your rights as an Exceed, meaning...\The ten pledges no longer apply to you,\which means you're no better than animals.\It's a de facto death sentence.\Those bastards...\Are you insane?\I've bet our entire territory and the lives of every one of us.\If you run away now, response:	that would be telling the entire world that my imagination was correct.
context: The ten pledges no longer apply to you,\which means you're no better than animals.\It's a de facto death sentence.\Those bastards...\Are you insane?\I've bet our entire territory and the lives of every one of us.\If you run away now,\that would be telling the entire world that my imagination was correct. response:	Did you see that one coming, Mr. Mind Reader?
context: which means you're no better than animals.\It's a de facto death sentence.\Those bastards...\Are you insane?\I've bet our entire territory and the lives of every one of us.\If you run away now,\that would be telling the entire world that my imagination was correct.\Did you see that one coming, Mr. Mind Reader? response:	Checkmate.
context: It's a de facto death sentence.\Those bastards...\Are you insane?\I've bet our entire territory and the lives of every one of us.\If you run away now,\that would be telling the entire world that my imagination was correct.\Did you see that one coming, Mr. Mind Reader?\Checkmate. response:	Are you really sure about this?
context: Those bastards...\Are you insane?\I've bet our entire territory and the lives of every one of us.\If you run away now,\that would be telling the entire world that my imagination was correct.\Did you see that one coming, Mr. Mind Reader?\Checkmate.\Are you really sure about this? response:	Even if you're correct, Elven Garde still lost this game.
context: Are you insane?\I've bet our entire territory and the lives of every one of us.\If you run away now,\that would be telling the entire world that my imagination was correct.\Did you see that one coming, Mr. Mind Reader?\Checkmate.\Are you really sure about this?\Even if you're correct, Elven Garde still lost this game. response:	Plus, you're betting your Race Piece.
context: I've bet our entire territory and the lives of every one of us.\If you run away now,\that would be telling the entire world that my imagination was correct.\Did you see that one coming, Mr. Mind Reader?\Checkmate.\Are you really sure about this?\Even if you're correct, Elven Garde still lost this game.\Plus, you're betting your Race Piece. response:	Do you want to go extinct?
context: If you run away now,\that would be telling the entire world that my imagination was correct.\Did you see that one coming, Mr. Mind Reader?\Checkmate.\Are you really sure about this?\Even if you're correct, Elven Garde still lost this game.\Plus, you're betting your Race Piece.\Do you want to go extinct? response:	If you would've just been surprised when I was able to communicate
context: that would be telling the entire world that my imagination was correct.\Did you see that one coming, Mr. Mind Reader?\Checkmate.\Are you really sure about this?\Even if you're correct, Elven Garde still lost this game.\Plus, you're betting your Race Piece.\Do you want to go extinct?\If you would've just been surprised when I was able to communicate response:	with you from the library, you would've noticed...
context: Did you see that one coming, Mr. Mind Reader?\Checkmate.\Are you really sure about this?\Even if you're correct, Elven Garde still lost this game.\Plus, you're betting your Race Piece.\Do you want to go extinct?\If you would've just been surprised when I was able to communicate\with you from the library, you would've noticed... response:	that we're not from this world.
context: Checkmate.\Are you really sure about this?\Even if you're correct, Elven Garde still lost this game.\Plus, you're betting your Race Piece.\Do you want to go extinct?\If you would've just been surprised when I was able to communicate\with you from the library, you would've noticed...\that we're not from this world. response:	When it comes to video games,
context: Are you really sure about this?\Even if you're correct, Elven Garde still lost this game.\Plus, you're betting your Race Piece.\Do you want to go extinct?\If you would've just been surprised when I was able to communicate\with you from the library, you would've noticed...\that we're not from this world.\When it comes to video games, response:	you can use any cheats or tool assists you want.
context: Even if you're correct, Elven Garde still lost this game.\Plus, you're betting your Race Piece.\Do you want to go extinct?\If you would've just been surprised when I was able to communicate\with you from the library, you would've noticed...\that we're not from this world.\When it comes to video games,\you can use any cheats or tool assists you want. response:	Blank isn't going to lose to any of those.
context: Plus, you're betting your Race Piece.\Do you want to go extinct?\If you would've just been surprised when I was able to communicate\with you from the library, you would've noticed...\that we're not from this world.\When it comes to video games,\you can use any cheats or tool assists you want.\Blank isn't going to lose to any of those. response:	When we came here...
context: Do you want to go extinct?\If you would've just been surprised when I was able to communicate\with you from the library, you would've noticed...\that we're not from this world.\When it comes to video games,\you can use any cheats or tool assists you want.\Blank isn't going to lose to any of those.\When we came here... response:	Did you think we were more easy prey?
context: If you would've just been surprised when I was able to communicate\with you from the library, you would've noticed...\that we're not from this world.\When it comes to video games,\you can use any cheats or tool assists you want.\Blank isn't going to lose to any of those.\When we came here...\Did you think we were more easy prey? response:	It's your turn to be hunted, Warbeasts.
context: with you from the library, you would've noticed...\that we're not from this world.\When it comes to video games,\you can use any cheats or tool assists you want.\Blank isn't going to lose to any of those.\When we came here...\Did you think we were more easy prey?\It's your turn to be hunted, Warbeasts. response:	Who are these people?
context: that we're not from this world.\When it comes to video games,\you can use any cheats or tool assists you want.\Blank isn't going to lose to any of those.\When we came here...\Did you think we were more easy prey?\It's your turn to be hunted, Warbeasts.\Who are these people? response:	Well, you can't agree to play a game of this scale on your own, right?
context: When it comes to video games,\you can use any cheats or tool assists you want.\Blank isn't going to lose to any of those.\When we came here...\Did you think we were more easy prey?\It's your turn to be hunted, Warbeasts.\Who are these people?\Well, you can't agree to play a game of this scale on your own, right? response:	We can hold it another day.
context: you can use any cheats or tool assists you want.\Blank isn't going to lose to any of those.\When we came here...\Did you think we were more easy prey?\It's your turn to be hunted, Warbeasts.\Who are these people?\Well, you can't agree to play a game of this scale on your own, right?\We can hold it another day. response:	We're betting our Race Piece.
context: Blank isn't going to lose to any of those.\When we came here...\Did you think we were more easy prey?\It's your turn to be hunted, Warbeasts.\Who are these people?\Well, you can't agree to play a game of this scale on your own, right?\We can hold it another day.\We're betting our Race Piece. response:	Every Imanity has the right to watch,
context: When we came here...\Did you think we were more easy prey?\It's your turn to be hunted, Warbeasts.\Who are these people?\Well, you can't agree to play a game of this scale on your own, right?\We can hold it another day.\We're betting our Race Piece.\Every Imanity has the right to watch, response:	and we'll compete with these four players.
context: Did you think we were more easy prey?\It's your turn to be hunted, Warbeasts.\Who are these people?\Well, you can't agree to play a game of this scale on your own, right?\We can hold it another day.\We're betting our Race Piece.\Every Imanity has the right to watch,\and we'll compete with these four players. response:	W-Wait!
context: It's your turn to be hunted, Warbeasts.\Who are these people?\Well, you can't agree to play a game of this scale on your own, right?\We can hold it another day.\We're betting our Race Piece.\Every Imanity has the right to watch,\and we'll compete with these four players.\W-Wait! response:	We won't let you refuse.
context: Who are these people?\Well, you can't agree to play a game of this scale on your own, right?\We can hold it another day.\We're betting our Race Piece.\Every Imanity has the right to watch,\and we'll compete with these four players.\W-Wait!\We won't let you refuse. response:	I'm not sure I understand.
context: Well, you can't agree to play a game of this scale on your own, right?\We can hold it another day.\We're betting our Race Piece.\Every Imanity has the right to watch,\and we'll compete with these four players.\W-Wait!\We won't let you refuse.\I'm not sure I understand. response:	But
context: We can hold it another day.\We're betting our Race Piece.\Every Imanity has the right to watch,\and we'll compete with these four players.\W-Wait!\We won't let you refuse.\I'm not sure I understand.\But response:	are you challenging me to a fight, Sora and Shiro?
context: We're betting our Race Piece.\Every Imanity has the right to watch,\and we'll compete with these four players.\W-Wait!\We won't let you refuse.\I'm not sure I understand.\But\are you challenging me to a fight, Sora and Shiro? response:	A fight? No way.
context: Every Imanity has the right to watch,\and we'll compete with these four players.\W-Wait!\We won't let you refuse.\I'm not sure I understand.\But\are you challenging me to a fight, Sora and Shiro?\A fight? No way. response:	Izuna-tan, let's play a game next time!
context: and we'll compete with these four players.\W-Wait!\We won't let you refuse.\I'm not sure I understand.\But\are you challenging me to a fight, Sora and Shiro?\A fight? No way.\Izuna-tan, let's play a game next time! response:	I won't lose.
context: W-Wait!\We won't let you refuse.\I'm not sure I understand.\But\are you challenging me to a fight, Sora and Shiro?\A fight? No way.\Izuna-tan, let's play a game next time!\I won't lose. response:	Sorry, but you will.
