context: What about these? response:	Miuna, those are weeds.
context: Hey, did you find any?!\Quiet down.\All right. This will be on the test.\Thanks, Namiji Junior High\Make sure you check your textbooks.\He's mimicking Sensei!\Hii-kun sounds just like him!\Sensei's strike zone is on the higher side. response:	Sensei, I have a question.
context: Quiet down.\All right. This will be on the test.\Thanks, Namiji Junior High\Make sure you check your textbooks.\He's mimicking Sensei!\Hii-kun sounds just like him!\Sensei's strike zone is on the higher side.\Sensei, I have a question. response:	Yes, Kaname-kun, what might it be?
context: All right. This will be on the test.\Thanks, Namiji Junior High\Make sure you check your textbooks.\He's mimicking Sensei!\Hii-kun sounds just like him!\Sensei's strike zone is on the higher side.\Sensei, I have a question.\Yes, Kaname-kun, what might it be? response:	Sensei doesn't say that.
context: Thanks, Namiji Junior High\Make sure you check your textbooks.\He's mimicking Sensei!\Hii-kun sounds just like him!\Sensei's strike zone is on the higher side.\Sensei, I have a question.\Yes, Kaname-kun, what might it be?\Sensei doesn't say that. response:	Righto.
context: Make sure you check your textbooks.\He's mimicking Sensei!\Hii-kun sounds just like him!\Sensei's strike zone is on the higher side.\Sensei, I have a question.\Yes, Kaname-kun, what might it be?\Sensei doesn't say that.\Righto. response:	So what might it be?
context: He's mimicking Sensei!\Hii-kun sounds just like him!\Sensei's strike zone is on the higher side.\Sensei, I have a question.\Yes, Kaname-kun, what might it be?\Sensei doesn't say that.\Righto.\So what might it be? response:	How do you feel about Manaka?
context: Hii-kun sounds just like him!\Sensei's strike zone is on the higher side.\Sensei, I have a question.\Yes, Kaname-kun, what might it be?\Sensei doesn't say that.\Righto.\So what might it be?\How do you feel about Manaka? response:	Kaname, why would you do that?
context: Sensei's strike zone is on the higher side.\Sensei, I have a question.\Yes, Kaname-kun, what might it be?\Sensei doesn't say that.\Righto.\So what might it be?\How do you feel about Manaka?\Kaname, why would you do that? response:	This can't be okay as is.
context: Sensei, I have a question.\Yes, Kaname-kun, what might it be?\Sensei doesn't say that.\Righto.\So what might it be?\How do you feel about Manaka?\Kaname, why would you do that?\This can't be okay as is. response:	Huh?
context: Yes, Kaname-kun, what might it be?\Sensei doesn't say that.\Righto.\So what might it be?\How do you feel about Manaka?\Kaname, why would you do that?\This can't be okay as is.\Huh? response:	Even if we eat a lot, our Ena keeps developing.
context: Sensei doesn't say that.\Righto.\So what might it be?\How do you feel about Manaka?\Kaname, why would you do that?\This can't be okay as is.\Huh?\Even if we eat a lot, our Ena keeps developing. response:	Once we hibernate,
context: Righto.\So what might it be?\How do you feel about Manaka?\Kaname, why would you do that?\This can't be okay as is.\Huh?\Even if we eat a lot, our Ena keeps developing.\Once we hibernate, response:	there's no guarantee that we'll wake up together...
context: So what might it be?\How do you feel about Manaka?\Kaname, why would you do that?\This can't be okay as is.\Huh?\Even if we eat a lot, our Ena keeps developing.\Once we hibernate,\there's no guarantee that we'll wake up together... response:	I-I already know that...
context: How do you feel about Manaka?\Kaname, why would you do that?\This can't be okay as is.\Huh?\Even if we eat a lot, our Ena keeps developing.\Once we hibernate,\there's no guarantee that we'll wake up together...\I-I already know that... response:	No, you don't.
context: Kaname, why would you do that?\This can't be okay as is.\Huh?\Even if we eat a lot, our Ena keeps developing.\Once we hibernate,\there's no guarantee that we'll wake up together...\I-I already know that...\No, you don't. response:	We may never see each other again.
context: This can't be okay as is.\Huh?\Even if we eat a lot, our Ena keeps developing.\Once we hibernate,\there's no guarantee that we'll wake up together...\I-I already know that...\No, you don't.\We may never see each other again. response:	Never see each other again...
context: Huh?\Even if we eat a lot, our Ena keeps developing.\Once we hibernate,\there's no guarantee that we'll wake up together...\I-I already know that...\No, you don't.\We may never see each other again.\Never see each other again... response:	That's right.
context: Even if we eat a lot, our Ena keeps developing.\Once we hibernate,\there's no guarantee that we'll wake up together...\I-I already know that...\No, you don't.\We may never see each other again.\Never see each other again...\That's right. response:	We don't even know if we'll really wake up.
context: Once we hibernate,\there's no guarantee that we'll wake up together...\I-I already know that...\No, you don't.\We may never see each other again.\Never see each other again...\That's right.\We don't even know if we'll really wake up. response:	Never see each other again...
context: there's no guarantee that we'll wake up together...\I-I already know that...\No, you don't.\We may never see each other again.\Never see each other again...\That's right.\We don't even know if we'll really wake up.\Never see each other again... response:	Never see each other again...
context: I-I already know that...\No, you don't.\We may never see each other again.\Never see each other again...\That's right.\We don't even know if we'll really wake up.\Never see each other again...\Never see each other again... response:	Never see each other again...
context: No, you don't.\We may never see each other again.\Never see each other again...\That's right.\We don't even know if we'll really wake up.\Never see each other again...\Never see each other again...\Never see each other again... response:	Hikari!
context: We may never see each other again.\Never see each other again...\That's right.\We don't even know if we'll really wake up.\Never see each other again...\Never see each other again...\Never see each other again...\Hikari! response:	love Manaka.
context: Never see each other again...\That's right.\We don't even know if we'll really wake up.\Never see each other again...\Never see each other again...\Never see each other again...\Hikari!\love Manaka. response:	H-Hii-kun...
context: That's right.\We don't even know if we'll really wake up.\Never see each other again...\Never see each other again...\Never see each other again...\Hikari!\love Manaka.\H-Hii-kun... response:	Come on, stop joking...
context: We don't even know if we'll really wake up.\Never see each other again...\Never see each other again...\Never see each other again...\Hikari!\love Manaka.\H-Hii-kun...\Come on, stop joking... response:	It's not a joke.
context: Never see each other again...\Never see each other again...\Never see each other again...\Hikari!\love Manaka.\H-Hii-kun...\Come on, stop joking...\It's not a joke. response:	I love you.
context: Never see each other again...\Never see each other again...\Hikari!\love Manaka.\H-Hii-kun...\Come on, stop joking...\It's not a joke.\I love you. response:	Even though you like Tsumugu, I...
context: Never see each other again...\Hikari!\love Manaka.\H-Hii-kun...\Come on, stop joking...\It's not a joke.\I love you.\Even though you like Tsumugu, I... response:	I don't understand...
context: Hikari!\love Manaka.\H-Hii-kun...\Come on, stop joking...\It's not a joke.\I love you.\Even though you like Tsumugu, I...\I don't understand... response:	Manaka...
context: love Manaka.\H-Hii-kun...\Come on, stop joking...\It's not a joke.\I love you.\Even though you like Tsumugu, I...\I don't understand...\Manaka... response:	I don't understand any of that!
context: H-Hii-kun...\Come on, stop joking...\It's not a joke.\I love you.\Even though you like Tsumugu, I...\I don't understand...\Manaka...\I don't understand any of that! response:	Manaka!
context: Come on, stop joking...\It's not a joke.\I love you.\Even though you like Tsumugu, I...\I don't understand...\Manaka...\I don't understand any of that!\Manaka! response:	Manaka!
context: It's not a joke.\I love you.\Even though you like Tsumugu, I...\I don't understand...\Manaka...\I don't understand any of that!\Manaka!\Manaka! response:	That was horrible, Kaname!
context: I love you.\Even though you like Tsumugu, I...\I don't understand...\Manaka...\I don't understand any of that!\Manaka!\Manaka!\That was horrible, Kaname! response:	That's going too far!
context: Even though you like Tsumugu, I...\I don't understand...\Manaka...\I don't understand any of that!\Manaka!\Manaka!\That was horrible, Kaname!\That's going too far! response:	I'm doing the best that I can, too...
context: I don't understand...\Manaka...\I don't understand any of that!\Manaka!\Manaka!\That was horrible, Kaname!\That's going too far!\I'm doing the best that I can, too... response:	Manaka...
context: Manaka...\I don't understand any of that!\Manaka!\Manaka!\That was horrible, Kaname!\That's going too far!\I'm doing the best that I can, too...\Manaka... response:	Don't run after her!
context: I don't understand any of that!\Manaka!\Manaka!\That was horrible, Kaname!\That's going too far!\I'm doing the best that I can, too...\Manaka...\Don't run after her! response:	Don't run after her!
context: Manaka!\Manaka!\That was horrible, Kaname!\That's going too far!\I'm doing the best that I can, too...\Manaka...\Don't run after her!\Don't run after her! response:	Hikari, I...
context: Manaka!\That was horrible, Kaname!\That's going too far!\I'm doing the best that I can, too...\Manaka...\Don't run after her!\Don't run after her!\Hikari, I... response:	Chisaki!
context: That was horrible, Kaname!\That's going too far!\I'm doing the best that I can, too...\Manaka...\Don't run after her!\Don't run after her!\Hikari, I...\Chisaki! response:	Chisaki.
context: That's going too far!\I'm doing the best that I can, too...\Manaka...\Don't run after her!\Don't run after her!\Hikari, I...\Chisaki!\Chisaki. response:	Hikari, I...
context: I'm doing the best that I can, too...\Manaka...\Don't run after her!\Don't run after her!\Hikari, I...\Chisaki!\Chisaki.\Hikari, I... response:	But... you like Manaka, so I couldn't say it.
context: Manaka...\Don't run after her!\Don't run after her!\Hikari, I...\Chisaki!\Chisaki.\Hikari, I...\But... you like Manaka, so I couldn't say it. response:	I wasn't scared I'd be rejected.
context: Don't run after her!\Don't run after her!\Hikari, I...\Chisaki!\Chisaki.\Hikari, I...\But... you like Manaka, so I couldn't say it.\I wasn't scared I'd be rejected. response:	I was scared that if I said how I felt,
context: Don't run after her!\Hikari, I...\Chisaki!\Chisaki.\Hikari, I...\But... you like Manaka, so I couldn't say it.\I wasn't scared I'd be rejected.\I was scared that if I said how I felt, response:	all our relationships would have changed.
context: Hikari, I...\Chisaki!\Chisaki.\Hikari, I...\But... you like Manaka, so I couldn't say it.\I wasn't scared I'd be rejected.\I was scared that if I said how I felt,\all our relationships would have changed. response:	But that wasn't true, either.
context: Chisaki!\Chisaki.\Hikari, I...\But... you like Manaka, so I couldn't say it.\I wasn't scared I'd be rejected.\I was scared that if I said how I felt,\all our relationships would have changed.\But that wasn't true, either. response:	I figured it out.
context: Chisaki.\Hikari, I...\But... you like Manaka, so I couldn't say it.\I wasn't scared I'd be rejected.\I was scared that if I said how I felt,\all our relationships would have changed.\But that wasn't true, either.\I figured it out. response:	I'm in love with the Hikari that loves Manaka so much.
context: Hikari, I...\But... you like Manaka, so I couldn't say it.\I wasn't scared I'd be rejected.\I was scared that if I said how I felt,\all our relationships would have changed.\But that wasn't true, either.\I figured it out.\I'm in love with the Hikari that loves Manaka so much. response:	So, I'm sorry.
context: But... you like Manaka, so I couldn't say it.\I wasn't scared I'd be rejected.\I was scared that if I said how I felt,\all our relationships would have changed.\But that wasn't true, either.\I figured it out.\I'm in love with the Hikari that loves Manaka so much.\So, I'm sorry. response:	It was enough for me just to say it.
context: I wasn't scared I'd be rejected.\I was scared that if I said how I felt,\all our relationships would have changed.\But that wasn't true, either.\I figured it out.\I'm in love with the Hikari that loves Manaka so much.\So, I'm sorry.\It was enough for me just to say it. response:	I'm satisfied.
context: I was scared that if I said how I felt,\all our relationships would have changed.\But that wasn't true, either.\I figured it out.\I'm in love with the Hikari that loves Manaka so much.\So, I'm sorry.\It was enough for me just to say it.\I'm satisfied. response:	Go run after Manaka.
context: all our relationships would have changed.\But that wasn't true, either.\I figured it out.\I'm in love with the Hikari that loves Manaka so much.\So, I'm sorry.\It was enough for me just to say it.\I'm satisfied.\Go run after Manaka. response:	Hikari?
context: But that wasn't true, either.\I figured it out.\I'm in love with the Hikari that loves Manaka so much.\So, I'm sorry.\It was enough for me just to say it.\I'm satisfied.\Go run after Manaka.\Hikari? response:	First you say don't run after her, now you tell me to run after her.
context: I figured it out.\I'm in love with the Hikari that loves Manaka so much.\So, I'm sorry.\It was enough for me just to say it.\I'm satisfied.\Go run after Manaka.\Hikari?\First you say don't run after her, now you tell me to run after her. response:	Talk about demanding.
context: I'm in love with the Hikari that loves Manaka so much.\So, I'm sorry.\It was enough for me just to say it.\I'm satisfied.\Go run after Manaka.\Hikari?\First you say don't run after her, now you tell me to run after her.\Talk about demanding. response:	I'm just like you.
context: So, I'm sorry.\It was enough for me just to say it.\I'm satisfied.\Go run after Manaka.\Hikari?\First you say don't run after her, now you tell me to run after her.\Talk about demanding.\I'm just like you. response:	Huh?
context: It was enough for me just to say it.\I'm satisfied.\Go run after Manaka.\Hikari?\First you say don't run after her, now you tell me to run after her.\Talk about demanding.\I'm just like you.\Huh? response:	I was scared of destroying our relationships.
context: I'm satisfied.\Go run after Manaka.\Hikari?\First you say don't run after her, now you tell me to run after her.\Talk about demanding.\I'm just like you.\Huh?\I was scared of destroying our relationships. response:	It's enough that I was able just to say how I felt.
context: Go run after Manaka.\Hikari?\First you say don't run after her, now you tell me to run after her.\Talk about demanding.\I'm just like you.\Huh?\I was scared of destroying our relationships.\It's enough that I was able just to say how I felt. response:	I wonder if they will be destroyed.
context: Hikari?\First you say don't run after her, now you tell me to run after her.\Talk about demanding.\I'm just like you.\Huh?\I was scared of destroying our relationships.\It's enough that I was able just to say how I felt.\I wonder if they will be destroyed. response:	No, they won't.
context: First you say don't run after her, now you tell me to run after her.\Talk about demanding.\I'm just like you.\Huh?\I was scared of destroying our relationships.\It's enough that I was able just to say how I felt.\I wonder if they will be destroyed.\No, they won't. response:	Nothing will change.
context: Talk about demanding.\I'm just like you.\Huh?\I was scared of destroying our relationships.\It's enough that I was able just to say how I felt.\I wonder if they will be destroyed.\No, they won't.\Nothing will change. response:	You're so kind, Hikari.
context: I'm just like you.\Huh?\I was scared of destroying our relationships.\It's enough that I was able just to say how I felt.\I wonder if they will be destroyed.\No, they won't.\Nothing will change.\You're so kind, Hikari. response:	Huh?
context: Huh?\I was scared of destroying our relationships.\It's enough that I was able just to say how I felt.\I wonder if they will be destroyed.\No, they won't.\Nothing will change.\You're so kind, Hikari.\Huh? response:	No...
context: I was scared of destroying our relationships.\It's enough that I was able just to say how I felt.\I wonder if they will be destroyed.\No, they won't.\Nothing will change.\You're so kind, Hikari.\Huh?\No... response:	I want to be kind.
context: It's enough that I was able just to say how I felt.\I wonder if they will be destroyed.\No, they won't.\Nothing will change.\You're so kind, Hikari.\Huh?\No...\I want to be kind. response:	I want to have a beautiful heart.
context: I wonder if they will be destroyed.\No, they won't.\Nothing will change.\You're so kind, Hikari.\Huh?\No...\I want to be kind.\I want to have a beautiful heart. response:	As beautiful as the view of Shioshishio we can see from here.
context: No, they won't.\Nothing will change.\You're so kind, Hikari.\Huh?\No...\I want to be kind.\I want to have a beautiful heart.\As beautiful as the view of Shioshishio we can see from here. response:	Mom?
context: Nothing will change.\You're so kind, Hikari.\Huh?\No...\I want to be kind.\I want to have a beautiful heart.\As beautiful as the view of Shioshishio we can see from here.\Mom? response:	Oh my...
context: You're so kind, Hikari.\Huh?\No...\I want to be kind.\I want to have a beautiful heart.\As beautiful as the view of Shioshishio we can see from here.\Mom?\Oh my... response:	I was just thinking that I still need to put everything else away...
context: Huh?\No...\I want to be kind.\I want to have a beautiful heart.\As beautiful as the view of Shioshishio we can see from here.\Mom?\Oh my...\I was just thinking that I still need to put everything else away... response:	Sorry, I'll...
context: No...\I want to be kind.\I want to have a beautiful heart.\As beautiful as the view of Shioshishio we can see from here.\Mom?\Oh my...\I was just thinking that I still need to put everything else away...\Sorry, I'll... response:	It's fine, Mom.
context: I want to be kind.\I want to have a beautiful heart.\As beautiful as the view of Shioshishio we can see from here.\Mom?\Oh my...\I was just thinking that I still need to put everything else away...\Sorry, I'll...\It's fine, Mom. response:	Your Ena's gotten so thick.
context: I want to have a beautiful heart.\As beautiful as the view of Shioshishio we can see from here.\Mom?\Oh my...\I was just thinking that I still need to put everything else away...\Sorry, I'll...\It's fine, Mom.\Your Ena's gotten so thick. response:	The hibernation is coming up soon.
context: As beautiful as the view of Shioshishio we can see from here.\Mom?\Oh my...\I was just thinking that I still need to put everything else away...\Sorry, I'll...\It's fine, Mom.\Your Ena's gotten so thick.\The hibernation is coming up soon. response:	Manaka?
context: Mom?\Oh my...\I was just thinking that I still need to put everything else away...\Sorry, I'll...\It's fine, Mom.\Your Ena's gotten so thick.\The hibernation is coming up soon.\Manaka? response:	I-I... forgot something at school.
context: Oh my...\I was just thinking that I still need to put everything else away...\Sorry, I'll...\It's fine, Mom.\Your Ena's gotten so thick.\The hibernation is coming up soon.\Manaka?\I-I... forgot something at school. response:	Huh?
context: I was just thinking that I still need to put everything else away...\Sorry, I'll...\It's fine, Mom.\Your Ena's gotten so thick.\The hibernation is coming up soon.\Manaka?\I-I... forgot something at school.\Huh? response:	Manaka?
context: Sorry, I'll...\It's fine, Mom.\Your Ena's gotten so thick.\The hibernation is coming up soon.\Manaka?\I-I... forgot something at school.\Huh?\Manaka? response:	Gramps, it's late.
context: It's fine, Mom.\Your Ena's gotten so thick.\The hibernation is coming up soon.\Manaka?\I-I... forgot something at school.\Huh?\Manaka?\Gramps, it's late. response:	But...
context: Your Ena's gotten so thick.\The hibernation is coming up soon.\Manaka?\I-I... forgot something at school.\Huh?\Manaka?\Gramps, it's late.\But... response:	See?
context: The hibernation is coming up soon.\Manaka?\I-I... forgot something at school.\Huh?\Manaka?\Gramps, it's late.\But...\See? response:	It's that weird cough.
context: Manaka?\I-I... forgot something at school.\Huh?\Manaka?\Gramps, it's late.\But...\See?\It's that weird cough. response:	Once the sea goes into hibernation,
context: I-I... forgot something at school.\Huh?\Manaka?\Gramps, it's late.\But...\See?\It's that weird cough.\Once the sea goes into hibernation, response:	we may not be able to get any more fish.
context: Huh?\Manaka?\Gramps, it's late.\But...\See?\It's that weird cough.\Once the sea goes into hibernation,\we may not be able to get any more fish. response:	Before that...
context: Manaka?\Gramps, it's late.\But...\See?\It's that weird cough.\Once the sea goes into hibernation,\we may not be able to get any more fish.\Before that... response:	I'll go.
context: Gramps, it's late.\But...\See?\It's that weird cough.\Once the sea goes into hibernation,\we may not be able to get any more fish.\Before that...\I'll go. response:	Just relax and rest.
context: But...\See?\It's that weird cough.\Once the sea goes into hibernation,\we may not be able to get any more fish.\Before that...\I'll go.\Just relax and rest. response:	I'm scared...
context: See?\It's that weird cough.\Once the sea goes into hibernation,\we may not be able to get any more fish.\Before that...\I'll go.\Just relax and rest.\I'm scared... response:	I'm scared. I don't know.
context: It's that weird cough.\Once the sea goes into hibernation,\we may not be able to get any more fish.\Before that...\I'll go.\Just relax and rest.\I'm scared...\I'm scared. I don't know. response:	Where should I go?
context: Once the sea goes into hibernation,\we may not be able to get any more fish.\Before that...\I'll go.\Just relax and rest.\I'm scared...\I'm scared. I don't know.\Where should I go? response:	Where should I go...
context: we may not be able to get any more fish.\Before that...\I'll go.\Just relax and rest.\I'm scared...\I'm scared. I don't know.\Where should I go?\Where should I go... response:	Over here! Over here!
context: Before that...\I'll go.\Just relax and rest.\I'm scared...\I'm scared. I don't know.\Where should I go?\Where should I go...\Over here! Over here! response:	H-Hii-kun!
context: I'll go.\Just relax and rest.\I'm scared...\I'm scared. I don't know.\Where should I go?\Where should I go...\Over here! Over here!\H-Hii-kun! response:	What's the matter?
context: Just relax and rest.\I'm scared...\I'm scared. I don't know.\Where should I go?\Where should I go...\Over here! Over here!\H-Hii-kun!\What's the matter? response:	I always admired it.
context: I'm scared...\I'm scared. I don't know.\Where should I go?\Where should I go...\Over here! Over here!\H-Hii-kun!\What's the matter?\I always admired it. response:	Why?
context: I'm scared. I don't know.\Where should I go?\Where should I go...\Over here! Over here!\H-Hii-kun!\What's the matter?\I always admired it.\Why? response:	Beyond the sea, beyond the sky...
context: Where should I go?\Where should I go...\Over here! Over here!\H-Hii-kun!\What's the matter?\I always admired it.\Why?\Beyond the sea, beyond the sky... response:	You were crying.
context: Where should I go...\Over here! Over here!\H-Hii-kun!\What's the matter?\I always admired it.\Why?\Beyond the sea, beyond the sky...\You were crying. response:	I was surrounded by noise.
context: Over here! Over here!\H-Hii-kun!\What's the matter?\I always admired it.\Why?\Beyond the sea, beyond the sky...\You were crying.\I was surrounded by noise. response:	The sun that was so far, far away.
context: H-Hii-kun!\What's the matter?\I always admired it.\Why?\Beyond the sea, beyond the sky...\You were crying.\I was surrounded by noise.\The sun that was so far, far away. response:	Episode Thirteen: Fingertips Beyond Reach
context: What's the matter?\I always admired it.\Why?\Beyond the sea, beyond the sky...\You were crying.\I was surrounded by noise.\The sun that was so far, far away.\Episode Thirteen: Fingertips Beyond Reach response:	Hii-kun, wave that flag!
