context: N-Now this was unexpected! response:	That took all of one minute!
context: Don't get your hopes up too high!\W-Well?\It's really good, Julis!\You don't say!\So you cook, too, Julis. I had no idea.\W-Well, this much I can handle.\Aren't you having any, Julis?\Well, of course I will, but... response:	I don't like being treated unfairly, you know.
context: W-Well?\It's really good, Julis!\You don't say!\So you cook, too, Julis. I had no idea.\W-Well, this much I can handle.\Aren't you having any, Julis?\Well, of course I will, but...\I don't like being treated unfairly, you know. response:	Unfairly?
context: It's really good, Julis!\You don't say!\So you cook, too, Julis. I had no idea.\W-Well, this much I can handle.\Aren't you having any, Julis?\Well, of course I will, but...\I don't like being treated unfairly, you know.\Unfairly? response:	Well, you know, uh...
context: You don't say!\So you cook, too, Julis. I had no idea.\W-Well, this much I can handle.\Aren't you having any, Julis?\Well, of course I will, but...\I don't like being treated unfairly, you know.\Unfairly?\Well, you know, uh... response:	To do it for Sasamiya and Toudou, and not for me...
context: So you cook, too, Julis. I had no idea.\W-Well, this much I can handle.\Aren't you having any, Julis?\Well, of course I will, but...\I don't like being treated unfairly, you know.\Unfairly?\Well, you know, uh...\To do it for Sasamiya and Toudou, and not for me... response:	That just doesn't stand to reason, does it?
context: W-Well, this much I can handle.\Aren't you having any, Julis?\Well, of course I will, but...\I don't like being treated unfairly, you know.\Unfairly?\Well, you know, uh...\To do it for Sasamiya and Toudou, and not for me...\That just doesn't stand to reason, does it? response:	Well, it's not as if I absolutely need you do it, but...
context: Aren't you having any, Julis?\Well, of course I will, but...\I don't like being treated unfairly, you know.\Unfairly?\Well, you know, uh...\To do it for Sasamiya and Toudou, and not for me...\That just doesn't stand to reason, does it?\Well, it's not as if I absolutely need you do it, but... response:	Uh, by any chance...
context: Well, of course I will, but...\I don't like being treated unfairly, you know.\Unfairly?\Well, you know, uh...\To do it for Sasamiya and Toudou, and not for me...\That just doesn't stand to reason, does it?\Well, it's not as if I absolutely need you do it, but...\Uh, by any chance... response:	Uh, you too, Julis?
context: I don't like being treated unfairly, you know.\Unfairly?\Well, you know, uh...\To do it for Sasamiya and Toudou, and not for me...\That just doesn't stand to reason, does it?\Well, it's not as if I absolutely need you do it, but...\Uh, by any chance...\Uh, you too, Julis? response:	Okay, then... Excuse me...
context: Unfairly?\Well, you know, uh...\To do it for Sasamiya and Toudou, and not for me...\That just doesn't stand to reason, does it?\Well, it's not as if I absolutely need you do it, but...\Uh, by any chance...\Uh, you too, Julis?\Okay, then... Excuse me... response:	I-I know!
context: Well, you know, uh...\To do it for Sasamiya and Toudou, and not for me...\That just doesn't stand to reason, does it?\Well, it's not as if I absolutely need you do it, but...\Uh, by any chance...\Uh, you too, Julis?\Okay, then... Excuse me...\I-I know! response:	Why don't we see how the other matches turned out?
context: To do it for Sasamiya and Toudou, and not for me...\That just doesn't stand to reason, does it?\Well, it's not as if I absolutely need you do it, but...\Uh, by any chance...\Uh, you too, Julis?\Okay, then... Excuse me...\I-I know!\Why don't we see how the other matches turned out? response:	Run, Randy!
context: That just doesn't stand to reason, does it?\Well, it's not as if I absolutely need you do it, but...\Uh, by any chance...\Uh, you too, Julis?\Okay, then... Excuse me...\I-I know!\Why don't we see how the other matches turned out?\Run, Randy! response:	Oh...
context: Well, it's not as if I absolutely need you do it, but...\Uh, by any chance...\Uh, you too, Julis?\Okay, then... Excuse me...\I-I know!\Why don't we see how the other matches turned out?\Run, Randy!\Oh... response:	Their match was today, too?
context: Uh, by any chance...\Uh, you too, Julis?\Okay, then... Excuse me...\I-I know!\Why don't we see how the other matches turned out?\Run, Randy!\Oh...\Their match was today, too? response:	All right, first to strike is the Lester-Randy team!
context: Uh, you too, Julis?\Okay, then... Excuse me...\I-I know!\Why don't we see how the other matches turned out?\Run, Randy!\Oh...\Their match was today, too?\All right, first to strike is the Lester-Randy team! response:	Both Lester and Randy are keeping their distance from Irene...
context: Okay, then... Excuse me...\I-I know!\Why don't we see how the other matches turned out?\Run, Randy!\Oh...\Their match was today, too?\All right, first to strike is the Lester-Randy team!\Both Lester and Randy are keeping their distance from Irene... response:	What could their purpose be, I wonder?
context: I-I know!\Why don't we see how the other matches turned out?\Run, Randy!\Oh...\Their match was today, too?\All right, first to strike is the Lester-Randy team!\Both Lester and Randy are keeping their distance from Irene...\What could their purpose be, I wonder? response:	The Gravi-Sheath is a powerful Ogre Lux with the ability to control gravity.
context: Why don't we see how the other matches turned out?\Run, Randy!\Oh...\Their match was today, too?\All right, first to strike is the Lester-Randy team!\Both Lester and Randy are keeping their distance from Irene...\What could their purpose be, I wonder?\The Gravi-Sheath is a powerful Ogre Lux with the ability to control gravity. response:	But since it's apparently the type of weapon that's effective against targeted locations,
context: Run, Randy!\Oh...\Their match was today, too?\All right, first to strike is the Lester-Randy team!\Both Lester and Randy are keeping their distance from Irene...\What could their purpose be, I wonder?\The Gravi-Sheath is a powerful Ogre Lux with the ability to control gravity.\But since it's apparently the type of weapon that's effective against targeted locations, response:	I believe they're trying to avoid being subjected to those effects by constantly moving.
context: Oh...\Their match was today, too?\All right, first to strike is the Lester-Randy team!\Both Lester and Randy are keeping their distance from Irene...\What could their purpose be, I wonder?\The Gravi-Sheath is a powerful Ogre Lux with the ability to control gravity.\But since it's apparently the type of weapon that's effective against targeted locations,\I believe they're trying to avoid being subjected to those effects by constantly moving. response:	And the Gravi-Sheath's most glaring flaw
context: Their match was today, too?\All right, first to strike is the Lester-Randy team!\Both Lester and Randy are keeping their distance from Irene...\What could their purpose be, I wonder?\The Gravi-Sheath is a powerful Ogre Lux with the ability to control gravity.\But since it's apparently the type of weapon that's effective against targeted locations,\I believe they're trying to avoid being subjected to those effects by constantly moving.\And the Gravi-Sheath's most glaring flaw response:	is that it's a gas-guzzler!
context: All right, first to strike is the Lester-Randy team!\Both Lester and Randy are keeping their distance from Irene...\What could their purpose be, I wonder?\The Gravi-Sheath is a powerful Ogre Lux with the ability to control gravity.\But since it's apparently the type of weapon that's effective against targeted locations,\I believe they're trying to avoid being subjected to those effects by constantly moving.\And the Gravi-Sheath's most glaring flaw\is that it's a gas-guzzler! response:	They say that no student has ever been able to withstand its side-effects.
context: Both Lester and Randy are keeping their distance from Irene...\What could their purpose be, I wonder?\The Gravi-Sheath is a powerful Ogre Lux with the ability to control gravity.\But since it's apparently the type of weapon that's effective against targeted locations,\I believe they're trying to avoid being subjected to those effects by constantly moving.\And the Gravi-Sheath's most glaring flaw\is that it's a gas-guzzler!\They say that no student has ever been able to withstand its side-effects. response:	In other words, the longer we drag this fight out, the greater our advantage!
context: What could their purpose be, I wonder?\The Gravi-Sheath is a powerful Ogre Lux with the ability to control gravity.\But since it's apparently the type of weapon that's effective against targeted locations,\I believe they're trying to avoid being subjected to those effects by constantly moving.\And the Gravi-Sheath's most glaring flaw\is that it's a gas-guzzler!\They say that no student has ever been able to withstand its side-effects.\In other words, the longer we drag this fight out, the greater our advantage! response:	And while we're buying time...
context: The Gravi-Sheath is a powerful Ogre Lux with the ability to control gravity.\But since it's apparently the type of weapon that's effective against targeted locations,\I believe they're trying to avoid being subjected to those effects by constantly moving.\And the Gravi-Sheath's most glaring flaw\is that it's a gas-guzzler!\They say that no student has ever been able to withstand its side-effects.\In other words, the longer we drag this fight out, the greater our advantage!\And while we're buying time... response:	Let's see what this girl's made of!
context: But since it's apparently the type of weapon that's effective against targeted locations,\I believe they're trying to avoid being subjected to those effects by constantly moving.\And the Gravi-Sheath's most glaring flaw\is that it's a gas-guzzler!\They say that no student has ever been able to withstand its side-effects.\In other words, the longer we drag this fight out, the greater our advantage!\And while we're buying time...\Let's see what this girl's made of! response:	Every last one of you... springing the same tired old strategy on me!
context: I believe they're trying to avoid being subjected to those effects by constantly moving.\And the Gravi-Sheath's most glaring flaw\is that it's a gas-guzzler!\They say that no student has ever been able to withstand its side-effects.\In other words, the longer we drag this fight out, the greater our advantage!\And while we're buying time...\Let's see what this girl's made of!\Every last one of you... springing the same tired old strategy on me! response:	Randy!
context: And the Gravi-Sheath's most glaring flaw\is that it's a gas-guzzler!\They say that no student has ever been able to withstand its side-effects.\In other words, the longer we drag this fight out, the greater our advantage!\And while we're buying time...\Let's see what this girl's made of!\Every last one of you... springing the same tired old strategy on me!\Randy! response:	I'm telling you, that's so pedestrian!
context: is that it's a gas-guzzler!\They say that no student has ever been able to withstand its side-effects.\In other words, the longer we drag this fight out, the greater our advantage!\And while we're buying time...\Let's see what this girl's made of!\Every last one of you... springing the same tired old strategy on me!\Randy!\I'm telling you, that's so pedestrian! response:	I'll get to you later.
context: They say that no student has ever been able to withstand its side-effects.\In other words, the longer we drag this fight out, the greater our advantage!\And while we're buying time...\Let's see what this girl's made of!\Every last one of you... springing the same tired old strategy on me!\Randy!\I'm telling you, that's so pedestrian!\I'll get to you later. response:	Come back here, you...
context: In other words, the longer we drag this fight out, the greater our advantage!\And while we're buying time...\Let's see what this girl's made of!\Every last one of you... springing the same tired old strategy on me!\Randy!\I'm telling you, that's so pedestrian!\I'll get to you later.\Come back here, you... response:	Do you give up?
context: And while we're buying time...\Let's see what this girl's made of!\Every last one of you... springing the same tired old strategy on me!\Randy!\I'm telling you, that's so pedestrian!\I'll get to you later.\Come back here, you...\Do you give up? response:	Yeah, right!
context: Let's see what this girl's made of!\Every last one of you... springing the same tired old strategy on me!\Randy!\I'm telling you, that's so pedestrian!\I'll get to you later.\Come back here, you...\Do you give up?\Yeah, right! response:	I see.
context: Every last one of you... springing the same tired old strategy on me!\Randy!\I'm telling you, that's so pedestrian!\I'll get to you later.\Come back here, you...\Do you give up?\Yeah, right!\I see. response:	Rendered unconscious.
context: Randy!\I'm telling you, that's so pedestrian!\I'll get to you later.\Come back here, you...\Do you give up?\Yeah, right!\I see.\Rendered unconscious. response:	Okay, that's one.
context: I'm telling you, that's so pedestrian!\I'll get to you later.\Come back here, you...\Do you give up?\Yeah, right!\I see.\Rendered unconscious.\Okay, that's one. response:	Hey, you're just as tough as I thought!
context: I'll get to you later.\Come back here, you...\Do you give up?\Yeah, right!\I see.\Rendered unconscious.\Okay, that's one.\Hey, you're just as tough as I thought! response:	Raging Axe of Distant Thunder.
context: Come back here, you...\Do you give up?\Yeah, right!\I see.\Rendered unconscious.\Okay, that's one.\Hey, you're just as tough as I thought!\Raging Axe of Distant Thunder. response:	Who do you think you're dealing with?
context: Do you give up?\Yeah, right!\I see.\Rendered unconscious.\Okay, that's one.\Hey, you're just as tough as I thought!\Raging Axe of Distant Thunder.\Who do you think you're dealing with? response:	Take that, bitch!
context: Yeah, right!\I see.\Rendered unconscious.\Okay, that's one.\Hey, you're just as tough as I thought!\Raging Axe of Distant Thunder.\Who do you think you're dealing with?\Take that, bitch! response:	Blast Nemea!
context: I see.\Rendered unconscious.\Okay, that's one.\Hey, you're just as tough as I thought!\Raging Axe of Distant Thunder.\Who do you think you're dealing with?\Take that, bitch!\Blast Nemea! response:	Sister!
context: Rendered unconscious.\Okay, that's one.\Hey, you're just as tough as I thought!\Raging Axe of Distant Thunder.\Who do you think you're dealing with?\Take that, bitch!\Blast Nemea!\Sister! response:	How do you like that?
context: Okay, that's one.\Hey, you're just as tough as I thought!\Raging Axe of Distant Thunder.\Who do you think you're dealing with?\Take that, bitch!\Blast Nemea!\Sister!\How do you like that? response:	Ouch, ouch, ouch...
context: Hey, you're just as tough as I thought!\Raging Axe of Distant Thunder.\Who do you think you're dealing with?\Take that, bitch!\Blast Nemea!\Sister!\How do you like that?\Ouch, ouch, ouch... response:	Damn... guess I have no choice.
context: Raging Axe of Distant Thunder.\Who do you think you're dealing with?\Take that, bitch!\Blast Nemea!\Sister!\How do you like that?\Ouch, ouch, ouch...\Damn... guess I have no choice. response:	In recognition of your skills,
context: Who do you think you're dealing with?\Take that, bitch!\Blast Nemea!\Sister!\How do you like that?\Ouch, ouch, ouch...\Damn... guess I have no choice.\In recognition of your skills, response:	I'm going to show you what it's like when I go all out.
context: Take that, bitch!\Blast Nemea!\Sister!\How do you like that?\Ouch, ouch, ouch...\Damn... guess I have no choice.\In recognition of your skills,\I'm going to show you what it's like when I go all out. response:	What?
context: Blast Nemea!\Sister!\How do you like that?\Ouch, ouch, ouch...\Damn... guess I have no choice.\In recognition of your skills,\I'm going to show you what it's like when I go all out.\What? response:	Sister...
context: Sister!\How do you like that?\Ouch, ouch, ouch...\Damn... guess I have no choice.\In recognition of your skills,\I'm going to show you what it's like when I go all out.\What?\Sister... response:	My bad.
context: How do you like that?\Ouch, ouch, ouch...\Damn... guess I have no choice.\In recognition of your skills,\I'm going to show you what it's like when I go all out.\What?\Sister...\My bad. response:	I'm taking a little.
context: Ouch, ouch, ouch...\Damn... guess I have no choice.\In recognition of your skills,\I'm going to show you what it's like when I go all out.\What?\Sister...\My bad.\I'm taking a little. response:	What the heck is going on?
context: Damn... guess I have no choice.\In recognition of your skills,\I'm going to show you what it's like when I go all out.\What?\Sister...\My bad.\I'm taking a little.\What the heck is going on? response:	Most likely, that kid sister must be a Regenerative.
context: In recognition of your skills,\I'm going to show you what it's like when I go all out.\What?\Sister...\My bad.\I'm taking a little.\What the heck is going on?\Most likely, that kid sister must be a Regenerative. response:	Regenerative...
context: I'm going to show you what it's like when I go all out.\What?\Sister...\My bad.\I'm taking a little.\What the heck is going on?\Most likely, that kid sister must be a Regenerative.\Regenerative... response:	Someone with the power to heal her own wounds?
context: What?\Sister...\My bad.\I'm taking a little.\What the heck is going on?\Most likely, that kid sister must be a Regenerative.\Regenerative...\Someone with the power to heal her own wounds? response:	Right. And if she's even capable of regenerating lost blood, she's elite.
context: Sister...\My bad.\I'm taking a little.\What the heck is going on?\Most likely, that kid sister must be a Regenerative.\Regenerative...\Someone with the power to heal her own wounds?\Right. And if she's even capable of regenerating lost blood, she's elite. response:	That's an unheard-of secret weapon.
context: My bad.\I'm taking a little.\What the heck is going on?\Most likely, that kid sister must be a Regenerative.\Regenerative...\Someone with the power to heal her own wounds?\Right. And if she's even capable of regenerating lost blood, she's elite.\That's an unheard-of secret weapon. response:	See, the Gravi-Sheath...
context: I'm taking a little.\What the heck is going on?\Most likely, that kid sister must be a Regenerative.\Regenerative...\Someone with the power to heal her own wounds?\Right. And if she's even capable of regenerating lost blood, she's elite.\That's an unheard-of secret weapon.\See, the Gravi-Sheath... response:	It seeks blood in return for its powers.
context: What the heck is going on?\Most likely, that kid sister must be a Regenerative.\Regenerative...\Someone with the power to heal her own wounds?\Right. And if she's even capable of regenerating lost blood, she's elite.\That's an unheard-of secret weapon.\See, the Gravi-Sheath...\It seeks blood in return for its powers. response:	With normal use, it drains itself dry before you know it.
context: Most likely, that kid sister must be a Regenerative.\Regenerative...\Someone with the power to heal her own wounds?\Right. And if she's even capable of regenerating lost blood, she's elite.\That's an unheard-of secret weapon.\See, the Gravi-Sheath...\It seeks blood in return for its powers.\With normal use, it drains itself dry before you know it. response:	That's why it alters its wielder's body, like you just saw,
context: Regenerative...\Someone with the power to heal her own wounds?\Right. And if she's even capable of regenerating lost blood, she's elite.\That's an unheard-of secret weapon.\See, the Gravi-Sheath...\It seeks blood in return for its powers.\With normal use, it drains itself dry before you know it.\That's why it alters its wielder's body, like you just saw, response:	allowing it to absorb blood from an external source.
context: Someone with the power to heal her own wounds?\Right. And if she's even capable of regenerating lost blood, she's elite.\That's an unheard-of secret weapon.\See, the Gravi-Sheath...\It seeks blood in return for its powers.\With normal use, it drains itself dry before you know it.\That's why it alters its wielder's body, like you just saw,\allowing it to absorb blood from an external source. response:	So you're literally a vampire, huh?
context: Right. And if she's even capable of regenerating lost blood, she's elite.\That's an unheard-of secret weapon.\See, the Gravi-Sheath...\It seeks blood in return for its powers.\With normal use, it drains itself dry before you know it.\That's why it alters its wielder's body, like you just saw,\allowing it to absorb blood from an external source.\So you're literally a vampire, huh? response:	Now then, shall we?!
context: That's an unheard-of secret weapon.\See, the Gravi-Sheath...\It seeks blood in return for its powers.\With normal use, it drains itself dry before you know it.\That's why it alters its wielder's body, like you just saw,\allowing it to absorb blood from an external source.\So you're literally a vampire, huh?\Now then, shall we?! response:	Go!
context: See, the Gravi-Sheath...\It seeks blood in return for its powers.\With normal use, it drains itself dry before you know it.\That's why it alters its wielder's body, like you just saw,\allowing it to absorb blood from an external source.\So you're literally a vampire, huh?\Now then, shall we?!\Go! response:	What the...
context: It seeks blood in return for its powers.\With normal use, it drains itself dry before you know it.\That's why it alters its wielder's body, like you just saw,\allowing it to absorb blood from an external source.\So you're literally a vampire, huh?\Now then, shall we?!\Go!\What the... response:	Oh, I intensified the gravity a little.
context: With normal use, it drains itself dry before you know it.\That's why it alters its wielder's body, like you just saw,\allowing it to absorb blood from an external source.\So you're literally a vampire, huh?\Now then, shall we?!\Go!\What the...\Oh, I intensified the gravity a little. response:	You can't escape!
context: That's why it alters its wielder's body, like you just saw,\allowing it to absorb blood from an external source.\So you're literally a vampire, huh?\Now then, shall we?!\Go!\What the...\Oh, I intensified the gravity a little.\You can't escape! response:	If you want to catch my gravity balls,
context: allowing it to absorb blood from an external source.\So you're literally a vampire, huh?\Now then, shall we?!\Go!\What the...\Oh, I intensified the gravity a little.\You can't escape!\If you want to catch my gravity balls, response:	at the very least you'll have to bring an Ogre Lux with you!
context: So you're literally a vampire, huh?\Now then, shall we?!\Go!\What the...\Oh, I intensified the gravity a little.\You can't escape!\If you want to catch my gravity balls,\at the very least you'll have to bring an Ogre Lux with you! response:	Damn!
context: Now then, shall we?!\Go!\What the...\Oh, I intensified the gravity a little.\You can't escape!\If you want to catch my gravity balls,\at the very least you'll have to bring an Ogre Lux with you!\Damn! response:	All right, you still want to fight?
context: Go!\What the...\Oh, I intensified the gravity a little.\You can't escape!\If you want to catch my gravity balls,\at the very least you'll have to bring an Ogre Lux with you!\Damn!\All right, you still want to fight? response:	Raging Axe of Distant Thunder?
context: What the...\Oh, I intensified the gravity a little.\You can't escape!\If you want to catch my gravity balls,\at the very least you'll have to bring an Ogre Lux with you!\Damn!\All right, you still want to fight?\Raging Axe of Distant Thunder? response:	All right.
context: Oh, I intensified the gravity a little.\You can't escape!\If you want to catch my gravity balls,\at the very least you'll have to bring an Ogre Lux with you!\Damn!\All right, you still want to fight?\Raging Axe of Distant Thunder?\All right. response:	I lose.
context: You can't escape!\If you want to catch my gravity balls,\at the very least you'll have to bring an Ogre Lux with you!\Damn!\All right, you still want to fight?\Raging Axe of Distant Thunder?\All right.\I lose. response:	End of match!
context: If you want to catch my gravity balls,\at the very least you'll have to bring an Ogre Lux with you!\Damn!\All right, you still want to fight?\Raging Axe of Distant Thunder?\All right.\I lose.\End of match! response:	Hey, MacPhail's flabbergasted.
context: at the very least you'll have to bring an Ogre Lux with you!\Damn!\All right, you still want to fight?\Raging Axe of Distant Thunder?\All right.\I lose.\End of match!\Hey, MacPhail's flabbergasted. response:	Although we got ourselves an easy win.
context: Damn!\All right, you still want to fight?\Raging Axe of Distant Thunder?\All right.\I lose.\End of match!\Hey, MacPhail's flabbergasted.\Although we got ourselves an easy win. response:	Episode 11 - Power and Its Price
context: All right, you still want to fight?\Raging Axe of Distant Thunder?\All right.\I lose.\End of match!\Hey, MacPhail's flabbergasted.\Although we got ourselves an easy win.\Episode 11 - Power and Its Price response:	But listen, you guys, he's still a Page One.
context: Raging Axe of Distant Thunder?\All right.\I lose.\End of match!\Hey, MacPhail's flabbergasted.\Although we got ourselves an easy win.\Episode 11 - Power and Its Price\But listen, you guys, he's still a Page One. response:	He's really powerful. He was just overmatched.
context: All right.\I lose.\End of match!\Hey, MacPhail's flabbergasted.\Although we got ourselves an easy win.\Episode 11 - Power and Its Price\But listen, you guys, he's still a Page One.\He's really powerful. He was just overmatched. response:	No, I mean, he just didn't match up well with them.
context: I lose.\End of match!\Hey, MacPhail's flabbergasted.\Although we got ourselves an easy win.\Episode 11 - Power and Its Price\But listen, you guys, he's still a Page One.\He's really powerful. He was just overmatched.\No, I mean, he just didn't match up well with them. response:	Let's just leave it at that, all right?
