context: That cafe response:	That cafe is on the first floor of the building where our detective agency is.
context: The weretiger's surprisingly bold.\Hold on...\The weretiger hands her the love letter\Akutagawa-senpai breaks up with the woman\And, somehow or another... profit <3\Nice!\I'm rooting for you.\Women like to be approached forcefully, response:	but I think you should tidy up your bangs.
context: Hold on...\The weretiger hands her the love letter\Akutagawa-senpai breaks up with the woman\And, somehow or another... profit <3\Nice!\I'm rooting for you.\Women like to be approached forcefully,\but I think you should tidy up your bangs. response:	Have your clothes tailored, too.
context: The weretiger hands her the love letter\Akutagawa-senpai breaks up with the woman\And, somehow or another... profit <3\Nice!\I'm rooting for you.\Women like to be approached forcefully,\but I think you should tidy up your bangs.\Have your clothes tailored, too. response:	He's not the one delivering the love letter!
context: Akutagawa-senpai breaks up with the woman\And, somehow or another... profit <3\Nice!\I'm rooting for you.\Women like to be approached forcefully,\but I think you should tidy up your bangs.\Have your clothes tailored, too.\He's not the one delivering the love letter! response:	I must see the outcome of my passion to the end.
context: And, somehow or another... profit <3\Nice!\I'm rooting for you.\Women like to be approached forcefully,\but I think you should tidy up your bangs.\Have your clothes tailored, too.\He's not the one delivering the love letter!\I must see the outcome of my passion to the end. response:	Katai.
context: Nice!\I'm rooting for you.\Women like to be approached forcefully,\but I think you should tidy up your bangs.\Have your clothes tailored, too.\He's not the one delivering the love letter!\I must see the outcome of my passion to the end.\Katai. response:	Why did he bring his futon?
context: I'm rooting for you.\Women like to be approached forcefully,\but I think you should tidy up your bangs.\Have your clothes tailored, too.\He's not the one delivering the love letter!\I must see the outcome of my passion to the end.\Katai.\Why did he bring his futon? response:	So its your letter?
context: Women like to be approached forcefully,\but I think you should tidy up your bangs.\Have your clothes tailored, too.\He's not the one delivering the love letter!\I must see the outcome of my passion to the end.\Katai.\Why did he bring his futon?\So its your letter? response:	You seem, like, even more hopeless than the weretiger.
context: but I think you should tidy up your bangs.\Have your clothes tailored, too.\He's not the one delivering the love letter!\I must see the outcome of my passion to the end.\Katai.\Why did he bring his futon?\So its your letter?\You seem, like, even more hopeless than the weretiger. response:	Silence!
context: Have your clothes tailored, too.\He's not the one delivering the love letter!\I must see the outcome of my passion to the end.\Katai.\Why did he bring his futon?\So its your letter?\You seem, like, even more hopeless than the weretiger.\Silence! response:	My love is deeper than any other.
context: He's not the one delivering the love letter!\I must see the outcome of my passion to the end.\Katai.\Why did he bring his futon?\So its your letter?\You seem, like, even more hopeless than the weretiger.\Silence!\My love is deeper than any other. response:	Besides, you are Port Mafia, are you not?
context: I must see the outcome of my passion to the end.\Katai.\Why did he bring his futon?\So its your letter?\You seem, like, even more hopeless than the weretiger.\Silence!\My love is deeper than any other.\Besides, you are Port Mafia, are you not? response:	I, Katai, may have left the Armed Detective Agency,
context: Katai.\Why did he bring his futon?\So its your letter?\You seem, like, even more hopeless than the weretiger.\Silence!\My love is deeper than any other.\Besides, you are Port Mafia, are you not?\I, Katai, may have left the Armed Detective Agency, response:	but I have no interest in making friends with criminals!
context: Why did he bring his futon?\So its your letter?\You seem, like, even more hopeless than the weretiger.\Silence!\My love is deeper than any other.\Besides, you are Port Mafia, are you not?\I, Katai, may have left the Armed Detective Agency,\but I have no interest in making friends with criminals! response:	Weretiger, why is he yelling in that direction?
context: So its your letter?\You seem, like, even more hopeless than the weretiger.\Silence!\My love is deeper than any other.\Besides, you are Port Mafia, are you not?\I, Katai, may have left the Armed Detective Agency,\but I have no interest in making friends with criminals!\Weretiger, why is he yelling in that direction? response:	He really is bad at talking to women.
context: You seem, like, even more hopeless than the weretiger.\Silence!\My love is deeper than any other.\Besides, you are Port Mafia, are you not?\I, Katai, may have left the Armed Detective Agency,\but I have no interest in making friends with criminals!\Weretiger, why is he yelling in that direction?\He really is bad at talking to women. response:	There she is.
context: Silence!\My love is deeper than any other.\Besides, you are Port Mafia, are you not?\I, Katai, may have left the Armed Detective Agency,\but I have no interest in making friends with criminals!\Weretiger, why is he yelling in that direction?\He really is bad at talking to women.\There she is. response:	What?!
context: My love is deeper than any other.\Besides, you are Port Mafia, are you not?\I, Katai, may have left the Armed Detective Agency,\but I have no interest in making friends with criminals!\Weretiger, why is he yelling in that direction?\He really is bad at talking to women.\There she is.\What?! response:	Motomachi Cleaning
context: Besides, you are Port Mafia, are you not?\I, Katai, may have left the Armed Detective Agency,\but I have no interest in making friends with criminals!\Weretiger, why is he yelling in that direction?\He really is bad at talking to women.\There she is.\What?!\Motomachi Cleaning response:	The elegant beauty!
context: I, Katai, may have left the Armed Detective Agency,\but I have no interest in making friends with criminals!\Weretiger, why is he yelling in that direction?\He really is bad at talking to women.\There she is.\What?!\Motomachi Cleaning\The elegant beauty! response:	She came out of the dry cleaner's.
context: but I have no interest in making friends with criminals!\Weretiger, why is he yelling in that direction?\He really is bad at talking to women.\There she is.\What?!\Motomachi Cleaning\The elegant beauty!\She came out of the dry cleaner's. response:	Those are Akutagawa-senpai's clothes!
context: Weretiger, why is he yelling in that direction?\He really is bad at talking to women.\There she is.\What?!\Motomachi Cleaning\The elegant beauty!\She came out of the dry cleaner's.\Those are Akutagawa-senpai's clothes! response:	This is all kinds of unacceptable!
context: He really is bad at talking to women.\There she is.\What?!\Motomachi Cleaning\The elegant beauty!\She came out of the dry cleaner's.\Those are Akutagawa-senpai's clothes!\This is all kinds of unacceptable! response:	The love letter tactic is too unreliable.
context: There she is.\What?!\Motomachi Cleaning\The elegant beauty!\She came out of the dry cleaner's.\Those are Akutagawa-senpai's clothes!\This is all kinds of unacceptable!\The love letter tactic is too unreliable. response:	I'll punish her myself!
context: What?!\Motomachi Cleaning\The elegant beauty!\She came out of the dry cleaner's.\Those are Akutagawa-senpai's clothes!\This is all kinds of unacceptable!\The love letter tactic is too unreliable.\I'll punish her myself! response:	You aren't getting away from me!
context: Motomachi Cleaning\The elegant beauty!\She came out of the dry cleaner's.\Those are Akutagawa-senpai's clothes!\This is all kinds of unacceptable!\The love letter tactic is too unreliable.\I'll punish her myself!\You aren't getting away from me! response:	Hold it, Port Mafia!
context: The elegant beauty!\She came out of the dry cleaner's.\Those are Akutagawa-senpai's clothes!\This is all kinds of unacceptable!\The love letter tactic is too unreliable.\I'll punish her myself!\You aren't getting away from me!\Hold it, Port Mafia! response:	Chinatown
context: She came out of the dry cleaner's.\Those are Akutagawa-senpai's clothes!\This is all kinds of unacceptable!\The love letter tactic is too unreliable.\I'll punish her myself!\You aren't getting away from me!\Hold it, Port Mafia!\Chinatown response:	Why did the signal change like that?
context: Those are Akutagawa-senpai's clothes!\This is all kinds of unacceptable!\The love letter tactic is too unreliable.\I'll punish her myself!\You aren't getting away from me!\Hold it, Port Mafia!\Chinatown\Why did the signal change like that? response:	The agility in her movements...
context: This is all kinds of unacceptable!\The love letter tactic is too unreliable.\I'll punish her myself!\You aren't getting away from me!\Hold it, Port Mafia!\Chinatown\Why did the signal change like that?\The agility in her movements... response:	I knew it! She's an enemy agent!
context: The love letter tactic is too unreliable.\I'll punish her myself!\You aren't getting away from me!\Hold it, Port Mafia!\Chinatown\Why did the signal change like that?\The agility in her movements...\I knew it! She's an enemy agent! response:	All right.
context: I'll punish her myself!\You aren't getting away from me!\Hold it, Port Mafia!\Chinatown\Why did the signal change like that?\The agility in her movements...\I knew it! She's an enemy agent!\All right. response:	The elegant beauty...
context: You aren't getting away from me!\Hold it, Port Mafia!\Chinatown\Why did the signal change like that?\The agility in her movements...\I knew it! She's an enemy agent!\All right.\The elegant beauty... response:	Is under my protection!
context: Hold it, Port Mafia!\Chinatown\Why did the signal change like that?\The agility in her movements...\I knew it! She's an enemy agent!\All right.\The elegant beauty...\Is under my protection! response:	Is mine!
context: Chinatown\Why did the signal change like that?\The agility in her movements...\I knew it! She's an enemy agent!\All right.\The elegant beauty...\Is under my protection!\Is mine! response:	Perfect. That's alley's dead-end.
context: Why did the signal change like that?\The agility in her movements...\I knew it! She's an enemy agent!\All right.\The elegant beauty...\Is under my protection!\Is mine!\Perfect. That's alley's dead-end. response:	Prepare yourself!
context: The agility in her movements...\I knew it! She's an enemy agent!\All right.\The elegant beauty...\Is under my protection!\Is mine!\Perfect. That's alley's dead-end.\Prepare yourself! response:	Why are you here...?
context: I knew it! She's an enemy agent!\All right.\The elegant beauty...\Is under my protection!\Is mine!\Perfect. That's alley's dead-end.\Prepare yourself!\Why are you here...? response:	That hairstyle and mask...
context: All right.\The elegant beauty...\Is under my protection!\Is mine!\Perfect. That's alley's dead-end.\Prepare yourself!\Why are you here...?\That hairstyle and mask... response:	Gin?
context: The elegant beauty...\Is under my protection!\Is mine!\Perfect. That's alley's dead-end.\Prepare yourself!\Why are you here...?\That hairstyle and mask...\Gin? response:	Th-Then...
context: Is under my protection!\Is mine!\Perfect. That's alley's dead-end.\Prepare yourself!\Why are you here...?\That hairstyle and mask...\Gin?\Th-Then... response:	You're Akutagawa-senpai's...
context: Is mine!\Perfect. That's alley's dead-end.\Prepare yourself!\Why are you here...?\That hairstyle and mask...\Gin?\Th-Then...\You're Akutagawa-senpai's... response:	Sister?!
context: Perfect. That's alley's dead-end.\Prepare yourself!\Why are you here...?\That hairstyle and mask...\Gin?\Th-Then...\You're Akutagawa-senpai's...\Sister?! response:	Akutagawa's little sister...
context: Prepare yourself!\Why are you here...?\That hairstyle and mask...\Gin?\Th-Then...\You're Akutagawa-senpai's...\Sister?!\Akutagawa's little sister... response:	Are you all right?
context: Why are you here...?\That hairstyle and mask...\Gin?\Th-Then...\You're Akutagawa-senpai's...\Sister?!\Akutagawa's little sister...\Are you all right? response:	What now, Katai?
context: That hairstyle and mask...\Gin?\Th-Then...\You're Akutagawa-senpai's...\Sister?!\Akutagawa's little sister...\Are you all right?\What now, Katai? response:	You hate the Port Mafia, don't you?
context: Gin?\Th-Then...\You're Akutagawa-senpai's...\Sister?!\Akutagawa's little sister...\Are you all right?\What now, Katai?\You hate the Port Mafia, don't you? response:	The moment I first saw you, I learned what beauty means.
context: Th-Then...\You're Akutagawa-senpai's...\Sister?!\Akutagawa's little sister...\Are you all right?\What now, Katai?\You hate the Port Mafia, don't you?\The moment I first saw you, I learned what beauty means. response:	I hope Katai-san's all right.
context: You're Akutagawa-senpai's...\Sister?!\Akutagawa's little sister...\Are you all right?\What now, Katai?\You hate the Port Mafia, don't you?\The moment I first saw you, I learned what beauty means.\I hope Katai-san's all right. response:	Yeah.
context: Sister?!\Akutagawa's little sister...\Are you all right?\What now, Katai?\You hate the Port Mafia, don't you?\The moment I first saw you, I learned what beauty means.\I hope Katai-san's all right.\Yeah. response:	That's what the love letter was for.
context: Akutagawa's little sister...\Are you all right?\What now, Katai?\You hate the Port Mafia, don't you?\The moment I first saw you, I learned what beauty means.\I hope Katai-san's all right.\Yeah.\That's what the love letter was for. response:	Huh?
context: Are you all right?\What now, Katai?\You hate the Port Mafia, don't you?\The moment I first saw you, I learned what beauty means.\I hope Katai-san's all right.\Yeah.\That's what the love letter was for.\Huh? response:	Katai would never have had the courage to express his feelings to a crush.
context: What now, Katai?\You hate the Port Mafia, don't you?\The moment I first saw you, I learned what beauty means.\I hope Katai-san's all right.\Yeah.\That's what the love letter was for.\Huh?\Katai would never have had the courage to express his feelings to a crush. response:	But if he didn't get over his crush, he could never resume the investigation,
context: You hate the Port Mafia, don't you?\The moment I first saw you, I learned what beauty means.\I hope Katai-san's all right.\Yeah.\That's what the love letter was for.\Huh?\Katai would never have had the courage to express his feelings to a crush.\But if he didn't get over his crush, he could never resume the investigation, response:	which would be bad for me.
context: The moment I first saw you, I learned what beauty means.\I hope Katai-san's all right.\Yeah.\That's what the love letter was for.\Huh?\Katai would never have had the courage to express his feelings to a crush.\But if he didn't get over his crush, he could never resume the investigation,\which would be bad for me. response:	So he volunteered himself to certain defeat.
context: I hope Katai-san's all right.\Yeah.\That's what the love letter was for.\Huh?\Katai would never have had the courage to express his feelings to a crush.\But if he didn't get over his crush, he could never resume the investigation,\which would be bad for me.\So he volunteered himself to certain defeat. response:	He'll start work once he's done crying.
context: Yeah.\That's what the love letter was for.\Huh?\Katai would never have had the courage to express his feelings to a crush.\But if he didn't get over his crush, he could never resume the investigation,\which would be bad for me.\So he volunteered himself to certain defeat.\He'll start work once he's done crying. response:	You know Katai-san really well, huh?
context: That's what the love letter was for.\Huh?\Katai would never have had the courage to express his feelings to a crush.\But if he didn't get over his crush, he could never resume the investigation,\which would be bad for me.\So he volunteered himself to certain defeat.\He'll start work once he's done crying.\You know Katai-san really well, huh? response:	It'd be a little easier if he'd return to the Detective Agency.
context: Huh?\Katai would never have had the courage to express his feelings to a crush.\But if he didn't get over his crush, he could never resume the investigation,\which would be bad for me.\So he volunteered himself to certain defeat.\He'll start work once he's done crying.\You know Katai-san really well, huh?\It'd be a little easier if he'd return to the Detective Agency. response:	Gin, as your superior, I order you...
context: Katai would never have had the courage to express his feelings to a crush.\But if he didn't get over his crush, he could never resume the investigation,\which would be bad for me.\So he volunteered himself to certain defeat.\He'll start work once he's done crying.\You know Katai-san really well, huh?\It'd be a little easier if he'd return to the Detective Agency.\Gin, as your superior, I order you... response:	Try calling me onee-san.
context: But if he didn't get over his crush, he could never resume the investigation,\which would be bad for me.\So he volunteered himself to certain defeat.\He'll start work once he's done crying.\You know Katai-san really well, huh?\It'd be a little easier if he'd return to the Detective Agency.\Gin, as your superior, I order you...\Try calling me onee-san. response:	Next Episode
context: which would be bad for me.\So he volunteered himself to certain defeat.\He'll start work once he's done crying.\You know Katai-san really well, huh?\It'd be a little easier if he'd return to the Detective Agency.\Gin, as your superior, I order you...\Try calling me onee-san.\Next Episode response:	Episode 31
context: So he volunteered himself to certain defeat.\He'll start work once he's done crying.\You know Katai-san really well, huh?\It'd be a little easier if he'd return to the Detective Agency.\Gin, as your superior, I order you...\Try calling me onee-san.\Next Episode\Episode 31 response:	Part 1
context: He'll start work once he's done crying.\You know Katai-san really well, huh?\It'd be a little easier if he'd return to the Detective Agency.\Gin, as your superior, I order you...\Try calling me onee-san.\Next Episode\Episode 31\Part 1 response:	Herurisu!
context: You know Katai-san really well, huh?\It'd be a little easier if he'd return to the Detective Agency.\Gin, as your superior, I order you...\Try calling me onee-san.\Next Episode\Episode 31\Part 1\Herurisu! response:	Part 2
context: It'd be a little easier if he'd return to the Detective Agency.\Gin, as your superior, I order you...\Try calling me onee-san.\Next Episode\Episode 31\Part 1\Herurisu!\Part 2 response:	A Father's Por trait
