context: Kirara... are you in pain? response:	Naraku's toxins are still inside your system.
context: I have to do something! Anything!\Jinenji, run outside!\Stay with your mother!\I got it!\Stop!\Jinenji!\Jinenji!\Hurry and get away! response:	You were the only one... who treated me like a human!
context: Jinenji, run outside!\Stay with your mother!\I got it!\Stop!\Jinenji!\Jinenji!\Hurry and get away!\You were the only one... who treated me like a human! response:	If I let you die here...
context: Stay with your mother!\I got it!\Stop!\Jinenji!\Jinenji!\Hurry and get away!\You were the only one... who treated me like a human!\If I let you die here... response:	I won't be able to live with myself!
context: I got it!\Stop!\Jinenji!\Jinenji!\Hurry and get away!\You were the only one... who treated me like a human!\If I let you die here...\I won't be able to live with myself! response:	Jinenji!
context: Stop!\Jinenji!\Jinenji!\Hurry and get away!\You were the only one... who treated me like a human!\If I let you die here...\I won't be able to live with myself!\Jinenji! response:	Jinenji!
context: Jinenji!\Jinenji!\Hurry and get away!\You were the only one... who treated me like a human!\If I let you die here...\I won't be able to live with myself!\Jinenji!\Jinenji! response:	H-help!
context: Jinenji!\Hurry and get away!\You were the only one... who treated me like a human!\If I let you die here...\I won't be able to live with myself!\Jinenji!\Jinenji!\H-help! response:	Iron-Reaver, Soul-Stealer!
context: Hurry and get away!\You were the only one... who treated me like a human!\If I let you die here...\I won't be able to live with myself!\Jinenji!\Jinenji!\H-help!\Iron-Reaver, Soul-Stealer! response:	Kagome! Where are you?!
context: You were the only one... who treated me like a human!\If I let you die here...\I won't be able to live with myself!\Jinenji!\Jinenji!\H-help!\Iron-Reaver, Soul-Stealer!\Kagome! Where are you?! response:	Inuyasha!
context: If I let you die here...\I won't be able to live with myself!\Jinenji!\Jinenji!\H-help!\Iron-Reaver, Soul-Stealer!\Kagome! Where are you?!\Inuyasha! response:	Save Jinenji!
context: I won't be able to live with myself!\Jinenji!\Jinenji!\H-help!\Iron-Reaver, Soul-Stealer!\Kagome! Where are you?!\Inuyasha!\Save Jinenji! response:	Don't help him!
context: Jinenji!\Jinenji!\H-help!\Iron-Reaver, Soul-Stealer!\Kagome! Where are you?!\Inuyasha!\Save Jinenji!\Don't help him! response:	Don't interfere!
context: Jinenji!\H-help!\Iron-Reaver, Soul-Stealer!\Kagome! Where are you?!\Inuyasha!\Save Jinenji!\Don't help him!\Don't interfere! response:	Jinenji must fight alone!
context: H-help!\Iron-Reaver, Soul-Stealer!\Kagome! Where are you?!\Inuyasha!\Save Jinenji!\Don't help him!\Don't interfere!\Jinenji must fight alone! response:	Why?!
context: Iron-Reaver, Soul-Stealer!\Kagome! Where are you?!\Inuyasha!\Save Jinenji!\Don't help him!\Don't interfere!\Jinenji must fight alone!\Why?! response:	Old woman... So that's it.
context: Kagome! Where are you?!\Inuyasha!\Save Jinenji!\Don't help him!\Don't interfere!\Jinenji must fight alone!\Why?!\Old woman... So that's it. response:	What're you sneaking around for?!
context: Inuyasha!\Save Jinenji!\Don't help him!\Don't interfere!\Jinenji must fight alone!\Why?!\Old woman... So that's it.\What're you sneaking around for?! response:	I see... you were up to no good again, weren't you?
context: Save Jinenji!\Don't help him!\Don't interfere!\Jinenji must fight alone!\Why?!\Old woman... So that's it.\What're you sneaking around for?!\I see... you were up to no good again, weren't you? response:	W-we're sorry!
context: Don't help him!\Don't interfere!\Jinenji must fight alone!\Why?!\Old woman... So that's it.\What're you sneaking around for?!\I see... you were up to no good again, weren't you?\W-we're sorry! response:	- We'll never do anything again! - Please spare us!
context: Don't interfere!\Jinenji must fight alone!\Why?!\Old woman... So that's it.\What're you sneaking around for?!\I see... you were up to no good again, weren't you?\W-we're sorry!\- We'll never do anything again! - Please spare us! response:	Please!
context: Jinenji must fight alone!\Why?!\Old woman... So that's it.\What're you sneaking around for?!\I see... you were up to no good again, weren't you?\W-we're sorry!\- We'll never do anything again! - Please spare us!\Please! response:	Better say sorry to him, too!
context: Why?!\Old woman... So that's it.\What're you sneaking around for?!\I see... you were up to no good again, weren't you?\W-we're sorry!\- We'll never do anything again! - Please spare us!\Please!\Better say sorry to him, too! response:	Jinenji! Show'em just how strong you are!
context: Old woman... So that's it.\What're you sneaking around for?!\I see... you were up to no good again, weren't you?\W-we're sorry!\- We'll never do anything again! - Please spare us!\Please!\Better say sorry to him, too!\Jinenji! Show'em just how strong you are! response:	Amazing!
context: What're you sneaking around for?!\I see... you were up to no good again, weren't you?\W-we're sorry!\- We'll never do anything again! - Please spare us!\Please!\Better say sorry to him, too!\Jinenji! Show'em just how strong you are!\Amazing! response:	W-we're sorry we suspected you! Please don't kill us!
context: I see... you were up to no good again, weren't you?\W-we're sorry!\- We'll never do anything again! - Please spare us!\Please!\Better say sorry to him, too!\Jinenji! Show'em just how strong you are!\Amazing!\W-we're sorry we suspected you! Please don't kill us! response:	Well, now the villagers should behave...
context: W-we're sorry!\- We'll never do anything again! - Please spare us!\Please!\Better say sorry to him, too!\Jinenji! Show'em just how strong you are!\Amazing!\W-we're sorry we suspected you! Please don't kill us!\Well, now the villagers should behave... response:	Say! Everyone's shaking in fear!
context: - We'll never do anything again! - Please spare us!\Please!\Better say sorry to him, too!\Jinenji! Show'em just how strong you are!\Amazing!\W-we're sorry we suspected you! Please don't kill us!\Well, now the villagers should behave...\Say! Everyone's shaking in fear! response:	Good for them! No way are they gonna be friends.
context: Please!\Better say sorry to him, too!\Jinenji! Show'em just how strong you are!\Amazing!\W-we're sorry we suspected you! Please don't kill us!\Well, now the villagers should behave...\Say! Everyone's shaking in fear!\Good for them! No way are they gonna be friends. response:	So it's better to make it clear who's stronger.
context: Better say sorry to him, too!\Jinenji! Show'em just how strong you are!\Amazing!\W-we're sorry we suspected you! Please don't kill us!\Well, now the villagers should behave...\Say! Everyone's shaking in fear!\Good for them! No way are they gonna be friends.\So it's better to make it clear who's stronger. response:	But!
context: Jinenji! Show'em just how strong you are!\Amazing!\W-we're sorry we suspected you! Please don't kill us!\Well, now the villagers should behave...\Say! Everyone's shaking in fear!\Good for them! No way are they gonna be friends.\So it's better to make it clear who's stronger.\But! response:	Sorry!
context: Amazing!\W-we're sorry we suspected you! Please don't kill us!\Well, now the villagers should behave...\Say! Everyone's shaking in fear!\Good for them! No way are they gonna be friends.\So it's better to make it clear who's stronger.\But!\Sorry! response:	We'll never torment you again! Forgive us!
context: W-we're sorry we suspected you! Please don't kill us!\Well, now the villagers should behave...\Say! Everyone's shaking in fear!\Good for them! No way are they gonna be friends.\So it's better to make it clear who's stronger.\But!\Sorry!\We'll never torment you again! Forgive us! response:	Um...
context: Well, now the villagers should behave...\Say! Everyone's shaking in fear!\Good for them! No way are they gonna be friends.\So it's better to make it clear who's stronger.\But!\Sorry!\We'll never torment you again! Forgive us!\Um... response:	Huh?
context: Say! Everyone's shaking in fear!\Good for them! No way are they gonna be friends.\So it's better to make it clear who's stronger.\But!\Sorry!\We'll never torment you again! Forgive us!\Um...\Huh? response:	You're all hurt.
context: Good for them! No way are they gonna be friends.\So it's better to make it clear who's stronger.\But!\Sorry!\We'll never torment you again! Forgive us!\Um...\Huh?\You're all hurt. response:	This will help heal your wounds.
context: So it's better to make it clear who's stronger.\But!\Sorry!\We'll never torment you again! Forgive us!\Um...\Huh?\You're all hurt.\This will help heal your wounds. response:	Jinenji!
context: But!\Sorry!\We'll never torment you again! Forgive us!\Um...\Huh?\You're all hurt.\This will help heal your wounds.\Jinenji! response:	Aw man!
context: Sorry!\We'll never torment you again! Forgive us!\Um...\Huh?\You're all hurt.\This will help heal your wounds.\Jinenji!\Aw man! response:	Ma... are you all right?
context: We'll never torment you again! Forgive us!\Um...\Huh?\You're all hurt.\This will help heal your wounds.\Jinenji!\Aw man!\Ma... are you all right? response:	Jinenji... You!
context: Um...\Huh?\You're all hurt.\This will help heal your wounds.\Jinenji!\Aw man!\Ma... are you all right?\Jinenji... You! response:	If this is how you want it, that's fine with me.
context: Huh?\You're all hurt.\This will help heal your wounds.\Jinenji!\Aw man!\Ma... are you all right?\Jinenji... You!\If this is how you want it, that's fine with me. response:	Will you really be all right?
context: You're all hurt.\This will help heal your wounds.\Jinenji!\Aw man!\Ma... are you all right?\Jinenji... You!\If this is how you want it, that's fine with me.\Will you really be all right? response:	Yeah... you need to take the medicinal herbs to your friend.
context: This will help heal your wounds.\Jinenji!\Aw man!\Ma... are you all right?\Jinenji... You!\If this is how you want it, that's fine with me.\Will you really be all right?\Yeah... you need to take the medicinal herbs to your friend. response:	Hurry and be on your way.
context: Jinenji!\Aw man!\Ma... are you all right?\Jinenji... You!\If this is how you want it, that's fine with me.\Will you really be all right?\Yeah... you need to take the medicinal herbs to your friend.\Hurry and be on your way. response:	Okay.
context: Aw man!\Ma... are you all right?\Jinenji... You!\If this is how you want it, that's fine with me.\Will you really be all right?\Yeah... you need to take the medicinal herbs to your friend.\Hurry and be on your way.\Okay. response:	Well then, Jinenji!
context: Ma... are you all right?\Jinenji... You!\If this is how you want it, that's fine with me.\Will you really be all right?\Yeah... you need to take the medicinal herbs to your friend.\Hurry and be on your way.\Okay.\Well then, Jinenji! response:	We'll be going now.
context: Jinenji... You!\If this is how you want it, that's fine with me.\Will you really be all right?\Yeah... you need to take the medicinal herbs to your friend.\Hurry and be on your way.\Okay.\Well then, Jinenji!\We'll be going now. response:	A-all right...
context: If this is how you want it, that's fine with me.\Will you really be all right?\Yeah... you need to take the medicinal herbs to your friend.\Hurry and be on your way.\Okay.\Well then, Jinenji!\We'll be going now.\A-all right... response:	Good bye.
context: Will you really be all right?\Yeah... you need to take the medicinal herbs to your friend.\Hurry and be on your way.\Okay.\Well then, Jinenji!\We'll be going now.\A-all right...\Good bye. response:	Thank you for everything.
context: Yeah... you need to take the medicinal herbs to your friend.\Hurry and be on your way.\Okay.\Well then, Jinenji!\We'll be going now.\A-all right...\Good bye.\Thank you for everything. response:	Yes.
context: Hurry and be on your way.\Okay.\Well then, Jinenji!\We'll be going now.\A-all right...\Good bye.\Thank you for everything.\Yes. response:	We're the ones who should be thanking you.
context: Okay.\Well then, Jinenji!\We'll be going now.\A-all right...\Good bye.\Thank you for everything.\Yes.\We're the ones who should be thanking you. response:	Okay, Jinenji. Cheer up!
context: Well then, Jinenji!\We'll be going now.\A-all right...\Good bye.\Thank you for everything.\Yes.\We're the ones who should be thanking you.\Okay, Jinenji. Cheer up! response:	We have to tend to our trampled fields.
context: We'll be going now.\A-all right...\Good bye.\Thank you for everything.\Yes.\We're the ones who should be thanking you.\Okay, Jinenji. Cheer up!\We have to tend to our trampled fields. response:	Yeah.
context: A-all right...\Good bye.\Thank you for everything.\Yes.\We're the ones who should be thanking you.\Okay, Jinenji. Cheer up!\We have to tend to our trampled fields.\Yeah. response:	Umm...
context: Good bye.\Thank you for everything.\Yes.\We're the ones who should be thanking you.\Okay, Jinenji. Cheer up!\We have to tend to our trampled fields.\Yeah.\Umm... response:	We'll help.
context: Thank you for everything.\Yes.\We're the ones who should be thanking you.\Okay, Jinenji. Cheer up!\We have to tend to our trampled fields.\Yeah.\Umm...\We'll help. response:	As you wish.
context: Yes.\We're the ones who should be thanking you.\Okay, Jinenji. Cheer up!\We have to tend to our trampled fields.\Yeah.\Umm...\We'll help.\As you wish. response:	Say...
context: We're the ones who should be thanking you.\Okay, Jinenji. Cheer up!\We have to tend to our trampled fields.\Yeah.\Umm...\We'll help.\As you wish.\Say... response:	Huh?
context: Okay, Jinenji. Cheer up!\We have to tend to our trampled fields.\Yeah.\Umm...\We'll help.\As you wish.\Say...\Huh? response:	Did that happen to you, too, Inuyasha?
context: We have to tend to our trampled fields.\Yeah.\Umm...\We'll help.\As you wish.\Say...\Huh?\Did that happen to you, too, Inuyasha? response:	Like what?
context: Yeah.\Umm...\We'll help.\As you wish.\Say...\Huh?\Did that happen to you, too, Inuyasha?\Like what? response:	Well... like bullying...
context: Umm...\We'll help.\As you wish.\Say...\Huh?\Did that happen to you, too, Inuyasha?\Like what?\Well... like bullying... response:	No way I'd have taken it lying down!
context: We'll help.\As you wish.\Say...\Huh?\Did that happen to you, too, Inuyasha?\Like what?\Well... like bullying...\No way I'd have taken it lying down! response:	Oh, you're right.
context: As you wish.\Say...\Huh?\Did that happen to you, too, Inuyasha?\Like what?\Well... like bullying...\No way I'd have taken it lying down!\Oh, you're right. response:	He was bullied.
context: Say...\Huh?\Did that happen to you, too, Inuyasha?\Like what?\Well... like bullying...\No way I'd have taken it lying down!\Oh, you're right.\He was bullied. response:	I'm neither one nor the other.
context: Huh?\Did that happen to you, too, Inuyasha?\Like what?\Well... like bullying...\No way I'd have taken it lying down!\Oh, you're right.\He was bullied.\I'm neither one nor the other. response:	Huh?
context: Did that happen to you, too, Inuyasha?\Like what?\Well... like bullying...\No way I'd have taken it lying down!\Oh, you're right.\He was bullied.\I'm neither one nor the other.\Huh? response:	I'm not a demon... nor am I human.
context: Like what?\Well... like bullying...\No way I'd have taken it lying down!\Oh, you're right.\He was bullied.\I'm neither one nor the other.\Huh?\I'm not a demon... nor am I human. response:	I don't belong to either.
context: Well... like bullying...\No way I'd have taken it lying down!\Oh, you're right.\He was bullied.\I'm neither one nor the other.\Huh?\I'm not a demon... nor am I human.\I don't belong to either. response:	So... I always believed that...
context: No way I'd have taken it lying down!\Oh, you're right.\He was bullied.\I'm neither one nor the other.\Huh?\I'm not a demon... nor am I human.\I don't belong to either.\So... I always believed that... response:	I had to create my place in life through power.
context: Oh, you're right.\He was bullied.\I'm neither one nor the other.\Huh?\I'm not a demon... nor am I human.\I don't belong to either.\So... I always believed that...\I had to create my place in life through power. response:	That's how I lived and then I realized...
context: He was bullied.\I'm neither one nor the other.\Huh?\I'm not a demon... nor am I human.\I don't belong to either.\So... I always believed that...\I had to create my place in life through power.\That's how I lived and then I realized... response:	I was all alone.
context: I'm neither one nor the other.\Huh?\I'm not a demon... nor am I human.\I don't belong to either.\So... I always believed that...\I had to create my place in life through power.\That's how I lived and then I realized...\I was all alone. response:	That was the only way I knew how to live.
context: Huh?\I'm not a demon... nor am I human.\I don't belong to either.\So... I always believed that...\I had to create my place in life through power.\That's how I lived and then I realized...\I was all alone.\That was the only way I knew how to live. response:	Inuyasha... I...
context: I'm not a demon... nor am I human.\I don't belong to either.\So... I always believed that...\I had to create my place in life through power.\That's how I lived and then I realized...\I was all alone.\That was the only way I knew how to live.\Inuyasha... I... response:	You've made me happy.
context: I don't belong to either.\So... I always believed that...\I had to create my place in life through power.\That's how I lived and then I realized...\I was all alone.\That was the only way I knew how to live.\Inuyasha... I...\You've made me happy. response:	Happy?!
context: So... I always believed that...\I had to create my place in life through power.\That's how I lived and then I realized...\I was all alone.\That was the only way I knew how to live.\Inuyasha... I...\You've made me happy.\Happy?! response:	It's the first time you've opened up to me.
context: I had to create my place in life through power.\That's how I lived and then I realized...\I was all alone.\That was the only way I knew how to live.\Inuyasha... I...\You've made me happy.\Happy?!\It's the first time you've opened up to me. response:	I wanted to know...
context: That's how I lived and then I realized...\I was all alone.\That was the only way I knew how to live.\Inuyasha... I...\You've made me happy.\Happy?!\It's the first time you've opened up to me.\I wanted to know... response:	about your sad times... the rough times...
context: I was all alone.\That was the only way I knew how to live.\Inuyasha... I...\You've made me happy.\Happy?!\It's the first time you've opened up to me.\I wanted to know...\about your sad times... the rough times... response:	about your feelings and your thoughts.
context: That was the only way I knew how to live.\Inuyasha... I...\You've made me happy.\Happy?!\It's the first time you've opened up to me.\I wanted to know...\about your sad times... the rough times...\about your feelings and your thoughts. response:	I'm glad that you talked to me seriously.
context: Inuyasha... I...\You've made me happy.\Happy?!\It's the first time you've opened up to me.\I wanted to know...\about your sad times... the rough times...\about your feelings and your thoughts.\I'm glad that you talked to me seriously. response:	That makes you happy?
context: You've made me happy.\Happy?!\It's the first time you've opened up to me.\I wanted to know...\about your sad times... the rough times...\about your feelings and your thoughts.\I'm glad that you talked to me seriously.\That makes you happy? response:	Uh-huh... So sometimes, you can show me your weak side.
context: Happy?!\It's the first time you've opened up to me.\I wanted to know...\about your sad times... the rough times...\about your feelings and your thoughts.\I'm glad that you talked to me seriously.\That makes you happy?\Uh-huh... So sometimes, you can show me your weak side. response:	So what? You're not alone anymore.
context: It's the first time you've opened up to me.\I wanted to know...\about your sad times... the rough times...\about your feelings and your thoughts.\I'm glad that you talked to me seriously.\That makes you happy?\Uh-huh... So sometimes, you can show me your weak side.\So what? You're not alone anymore. response:	Not alone?
context: I wanted to know...\about your sad times... the rough times...\about your feelings and your thoughts.\I'm glad that you talked to me seriously.\That makes you happy?\Uh-huh... So sometimes, you can show me your weak side.\So what? You're not alone anymore.\Not alone? response:	Not alone?
context: about your sad times... the rough times...\about your feelings and your thoughts.\I'm glad that you talked to me seriously.\That makes you happy?\Uh-huh... So sometimes, you can show me your weak side.\So what? You're not alone anymore.\Not alone?\Not alone? response:	Yeah...
context: about your feelings and your thoughts.\I'm glad that you talked to me seriously.\That makes you happy?\Uh-huh... So sometimes, you can show me your weak side.\So what? You're not alone anymore.\Not alone?\Not alone?\Yeah... response:	before I knew it... and yet so naturally...
context: I'm glad that you talked to me seriously.\That makes you happy?\Uh-huh... So sometimes, you can show me your weak side.\So what? You're not alone anymore.\Not alone?\Not alone?\Yeah...\before I knew it... and yet so naturally... response:	Kagome is by my side.
context: That makes you happy?\Uh-huh... So sometimes, you can show me your weak side.\So what? You're not alone anymore.\Not alone?\Not alone?\Yeah...\before I knew it... and yet so naturally...\Kagome is by my side. response:	A strange mountain shrouded in a miasma.
context: Uh-huh... So sometimes, you can show me your weak side.\So what? You're not alone anymore.\Not alone?\Not alone?\Yeah...\before I knew it... and yet so naturally...\Kagome is by my side.\A strange mountain shrouded in a miasma. response:	The screeches of demons reverberate to the base of the mountain.
context: So what? You're not alone anymore.\Not alone?\Not alone?\Yeah...\before I knew it... and yet so naturally...\Kagome is by my side.\A strange mountain shrouded in a miasma.\The screeches of demons reverberate to the base of the mountain. response:	Inuyasha is pulled into the cave by some force.
context: Not alone?\Not alone?\Yeah...\before I knew it... and yet so naturally...\Kagome is by my side.\A strange mountain shrouded in a miasma.\The screeches of demons reverberate to the base of the mountain.\Inuyasha is pulled into the cave by some force. response:	Giant demons begin to fuse with each other!
context: Not alone?\Yeah...\before I knew it... and yet so naturally...\Kagome is by my side.\A strange mountain shrouded in a miasma.\The screeches of demons reverberate to the base of the mountain.\Inuyasha is pulled into the cave by some force.\Giant demons begin to fuse with each other! response:	If Inuyasha keeps fighting like this...
context: Yeah...\before I knew it... and yet so naturally...\Kagome is by my side.\A strange mountain shrouded in a miasma.\The screeches of demons reverberate to the base of the mountain.\Inuyasha is pulled into the cave by some force.\Giant demons begin to fuse with each other!\If Inuyasha keeps fighting like this... response:	he will become a part of the demon!
context: before I knew it... and yet so naturally...\Kagome is by my side.\A strange mountain shrouded in a miasma.\The screeches of demons reverberate to the base of the mountain.\Inuyasha is pulled into the cave by some force.\Giant demons begin to fuse with each other!\If Inuyasha keeps fighting like this...\he will become a part of the demon! response:	Kikyo...
context: Kagome is by my side.\A strange mountain shrouded in a miasma.\The screeches of demons reverberate to the base of the mountain.\Inuyasha is pulled into the cave by some force.\Giant demons begin to fuse with each other!\If Inuyasha keeps fighting like this...\he will become a part of the demon!\Kikyo... response:	are you going to... help Inuyasha?
context: A strange mountain shrouded in a miasma.\The screeches of demons reverberate to the base of the mountain.\Inuyasha is pulled into the cave by some force.\Giant demons begin to fuse with each other!\If Inuyasha keeps fighting like this...\he will become a part of the demon!\Kikyo...\are you going to... help Inuyasha? response:	Next on Inuyasha, Kikyo and Inuyasha, Into the Miasma!
context: The screeches of demons reverberate to the base of the mountain.\Inuyasha is pulled into the cave by some force.\Giant demons begin to fuse with each other!\If Inuyasha keeps fighting like this...\he will become a part of the demon!\Kikyo...\are you going to... help Inuyasha?\Next on Inuyasha, Kikyo and Inuyasha, Into the Miasma! response:	Don't miss it!
