context: I'm back. response:	I spent my summer at a place in the mountains.
context: I-I also like Souta...\Wait... What are you making me say?!\Shoukanji Kikuno here!\I love my little brother and the guy close to my heart,\and they're both Sou-kun!\S-Souta-kyu I mean Hatate-kun...\Is going to make me happy...\Peek, peek. response:	Huh?
context: Wait... What are you making me say?!\Shoukanji Kikuno here!\I love my little brother and the guy close to my heart,\and they're both Sou-kun!\S-Souta-kyu I mean Hatate-kun...\Is going to make me happy...\Peek, peek.\Huh? response:	Don't stare at me so much, Hatate-kun.
context: Shoukanji Kikuno here!\I love my little brother and the guy close to my heart,\and they're both Sou-kun!\S-Souta-kyu I mean Hatate-kun...\Is going to make me happy...\Peek, peek.\Huh?\Don't stare at me so much, Hatate-kun. response:	Huh?!
context: I love my little brother and the guy close to my heart,\and they're both Sou-kun!\S-Souta-kyu I mean Hatate-kun...\Is going to make me happy...\Peek, peek.\Huh?\Don't stare at me so much, Hatate-kun.\Huh?! response:	My name is Ninjabayashi Ruri.
context: and they're both Sou-kun!\S-Souta-kyu I mean Hatate-kun...\Is going to make me happy...\Peek, peek.\Huh?\Don't stare at me so much, Hatate-kun.\Huh?!\My name is Ninjabayashi Ruri. response:	Everything I am belongs to Souta-san.
context: S-Souta-kyu I mean Hatate-kun...\Is going to make me happy...\Peek, peek.\Huh?\Don't stare at me so much, Hatate-kun.\Huh?!\My name is Ninjabayashi Ruri.\Everything I am belongs to Souta-san. response:	That's supposed to be for the judges.
context: Is going to make me happy...\Peek, peek.\Huh?\Don't stare at me so much, Hatate-kun.\Huh?!\My name is Ninjabayashi Ruri.\Everything I am belongs to Souta-san.\That's supposed to be for the judges. response:	I-I don't really like
context: Peek, peek.\Huh?\Don't stare at me so much, Hatate-kun.\Huh?!\My name is Ninjabayashi Ruri.\Everything I am belongs to Souta-san.\That's supposed to be for the judges.\I-I don't really like response:	Hatate Souta at all.
context: Huh?\Don't stare at me so much, Hatate-kun.\Huh?!\My name is Ninjabayashi Ruri.\Everything I am belongs to Souta-san.\That's supposed to be for the judges.\I-I don't really like\Hatate Souta at all. response:	Hmph.
context: Don't stare at me so much, Hatate-kun.\Huh?!\My name is Ninjabayashi Ruri.\Everything I am belongs to Souta-san.\That's supposed to be for the judges.\I-I don't really like\Hatate Souta at all.\Hmph. response:	I'm happy just having met Souta-san.
context: Huh?!\My name is Ninjabayashi Ruri.\Everything I am belongs to Souta-san.\That's supposed to be for the judges.\I-I don't really like\Hatate Souta at all.\Hmph.\I'm happy just having met Souta-san. response:	I could happily die right now, I could.
context: My name is Ninjabayashi Ruri.\Everything I am belongs to Souta-san.\That's supposed to be for the judges.\I-I don't really like\Hatate Souta at all.\Hmph.\I'm happy just having met Souta-san.\I could happily die right now, I could. response:	Why so serious...
context: Everything I am belongs to Souta-san.\That's supposed to be for the judges.\I-I don't really like\Hatate Souta at all.\Hmph.\I'm happy just having met Souta-san.\I could happily die right now, I could.\Why so serious... response:	I'm going to do the best I can...
context: That's supposed to be for the judges.\I-I don't really like\Hatate Souta at all.\Hmph.\I'm happy just having met Souta-san.\I could happily die right now, I could.\Why so serious...\I'm going to do the best I can... response:	I swear on the bonds we have together,
context: I-I don't really like\Hatate Souta at all.\Hmph.\I'm happy just having met Souta-san.\I could happily die right now, I could.\Why so serious...\I'm going to do the best I can...\I swear on the bonds we have together, response:	that surpass normal manly friendship.
context: Hatate Souta at all.\Hmph.\I'm happy just having met Souta-san.\I could happily die right now, I could.\Why so serious...\I'm going to do the best I can...\I swear on the bonds we have together,\that surpass normal manly friendship. response:	Uh, I'm not really sure why I'm here. Guess it's a bit late for that.
context: Hmph.\I'm happy just having met Souta-san.\I could happily die right now, I could.\Why so serious...\I'm going to do the best I can...\I swear on the bonds we have together,\that surpass normal manly friendship.\Uh, I'm not really sure why I'm here. Guess it's a bit late for that. response:	I don't get it, but I'm sure it's Souta's fault!
context: I'm happy just having met Souta-san.\I could happily die right now, I could.\Why so serious...\I'm going to do the best I can...\I swear on the bonds we have together,\that surpass normal manly friendship.\Uh, I'm not really sure why I'm here. Guess it's a bit late for that.\I don't get it, but I'm sure it's Souta's fault! response:	Huh?
context: I could happily die right now, I could.\Why so serious...\I'm going to do the best I can...\I swear on the bonds we have together,\that surpass normal manly friendship.\Uh, I'm not really sure why I'm here. Guess it's a bit late for that.\I don't get it, but I'm sure it's Souta's fault!\Huh? response:	Okay, that's all nine!
context: Why so serious...\I'm going to do the best I can...\I swear on the bonds we have together,\that surpass normal manly friendship.\Uh, I'm not really sure why I'm here. Guess it's a bit late for that.\I don't get it, but I'm sure it's Souta's fault!\Huh?\Okay, that's all nine! response:	So we'll have our audience
context: I'm going to do the best I can...\I swear on the bonds we have together,\that surpass normal manly friendship.\Uh, I'm not really sure why I'm here. Guess it's a bit late for that.\I don't get it, but I'm sure it's Souta's fault!\Huh?\Okay, that's all nine!\So we'll have our audience response:	vote in real time.
context: I swear on the bonds we have together,\that surpass normal manly friendship.\Uh, I'm not really sure why I'm here. Guess it's a bit late for that.\I don't get it, but I'm sure it's Souta's fault!\Huh?\Okay, that's all nine!\So we'll have our audience\vote in real time. response:	First is our swimsuit competition!
context: that surpass normal manly friendship.\Uh, I'm not really sure why I'm here. Guess it's a bit late for that.\I don't get it, but I'm sure it's Souta's fault!\Huh?\Okay, that's all nine!\So we'll have our audience\vote in real time.\First is our swimsuit competition! response:	Swimsuit Competition
context: Uh, I'm not really sure why I'm here. Guess it's a bit late for that.\I don't get it, but I'm sure it's Souta's fault!\Huh?\Okay, that's all nine!\So we'll have our audience\vote in real time.\First is our swimsuit competition!\Swimsuit Competition response:	Huh? This is supposed to be a swimsuit competition, right?
context: I don't get it, but I'm sure it's Souta's fault!\Huh?\Okay, that's all nine!\So we'll have our audience\vote in real time.\First is our swimsuit competition!\Swimsuit Competition\Huh? This is supposed to be a swimsuit competition, right? response:	Nonomiya-san?
context: Huh?\Okay, that's all nine!\So we'll have our audience\vote in real time.\First is our swimsuit competition!\Swimsuit Competition\Huh? This is supposed to be a swimsuit competition, right?\Nonomiya-san? response:	Yes.
context: Okay, that's all nine!\So we'll have our audience\vote in real time.\First is our swimsuit competition!\Swimsuit Competition\Huh? This is supposed to be a swimsuit competition, right?\Nonomiya-san?\Yes. response:	Why is everyone
context: So we'll have our audience\vote in real time.\First is our swimsuit competition!\Swimsuit Competition\Huh? This is supposed to be a swimsuit competition, right?\Nonomiya-san?\Yes.\Why is everyone response:	hiding their swimsuit with a shirt?
context: vote in real time.\First is our swimsuit competition!\Swimsuit Competition\Huh? This is supposed to be a swimsuit competition, right?\Nonomiya-san?\Yes.\Why is everyone\hiding their swimsuit with a shirt? response:	So what happens when we have Hatate Souta
context: First is our swimsuit competition!\Swimsuit Competition\Huh? This is supposed to be a swimsuit competition, right?\Nonomiya-san?\Yes.\Why is everyone\hiding their swimsuit with a shirt?\So what happens when we have Hatate Souta response:	stand over there with a water gun.
context: Swimsuit Competition\Huh? This is supposed to be a swimsuit competition, right?\Nonomiya-san?\Yes.\Why is everyone\hiding their swimsuit with a shirt?\So what happens when we have Hatate Souta\stand over there with a water gun. response:	Huh?
context: Huh? This is supposed to be a swimsuit competition, right?\Nonomiya-san?\Yes.\Why is everyone\hiding their swimsuit with a shirt?\So what happens when we have Hatate Souta\stand over there with a water gun.\Huh? response:	I know now!
context: Nonomiya-san?\Yes.\Why is everyone\hiding their swimsuit with a shirt?\So what happens when we have Hatate Souta\stand over there with a water gun.\Huh?\I know now! response:	We're having a wet t-shirt plus swimsuit competition.
context: Yes.\Why is everyone\hiding their swimsuit with a shirt?\So what happens when we have Hatate Souta\stand over there with a water gun.\Huh?\I know now!\We're having a wet t-shirt plus swimsuit competition. response:	That's right!
context: Why is everyone\hiding their swimsuit with a shirt?\So what happens when we have Hatate Souta\stand over there with a water gun.\Huh?\I know now!\We're having a wet t-shirt plus swimsuit competition.\That's right! response:	That's pretty perverse!
context: hiding their swimsuit with a shirt?\So what happens when we have Hatate Souta\stand over there with a water gun.\Huh?\I know now!\We're having a wet t-shirt plus swimsuit competition.\That's right!\That's pretty perverse! response:	But that's what we like!
context: So what happens when we have Hatate Souta\stand over there with a water gun.\Huh?\I know now!\We're having a wet t-shirt plus swimsuit competition.\That's right!\That's pretty perverse!\But that's what we like! response:	Now go at it, Hatate-kun.
context: stand over there with a water gun.\Huh?\I know now!\We're having a wet t-shirt plus swimsuit competition.\That's right!\That's pretty perverse!\But that's what we like!\Now go at it, Hatate-kun. response:	I can't do that!
context: Huh?\I know now!\We're having a wet t-shirt plus swimsuit competition.\That's right!\That's pretty perverse!\But that's what we like!\Now go at it, Hatate-kun.\I can't do that! response:	Don't get so bothered, Sou-kun.
context: I know now!\We're having a wet t-shirt plus swimsuit competition.\That's right!\That's pretty perverse!\But that's what we like!\Now go at it, Hatate-kun.\I can't do that!\Don't get so bothered, Sou-kun. response:	It's fine.
context: We're having a wet t-shirt plus swimsuit competition.\That's right!\That's pretty perverse!\But that's what we like!\Now go at it, Hatate-kun.\I can't do that!\Don't get so bothered, Sou-kun.\It's fine. response:	Come on, spray it all over me.
context: That's right!\That's pretty perverse!\But that's what we like!\Now go at it, Hatate-kun.\I can't do that!\Don't get so bothered, Sou-kun.\It's fine.\Come on, spray it all over me. response:	F-Fine.
context: That's pretty perverse!\But that's what we like!\Now go at it, Hatate-kun.\I can't do that!\Don't get so bothered, Sou-kun.\It's fine.\Come on, spray it all over me.\F-Fine. response:	Here I go.
context: But that's what we like!\Now go at it, Hatate-kun.\I can't do that!\Don't get so bothered, Sou-kun.\It's fine.\Come on, spray it all over me.\F-Fine.\Here I go. response:	Sou-kun, don't get so much on me.
context: Now go at it, Hatate-kun.\I can't do that!\Don't get so bothered, Sou-kun.\It's fine.\Come on, spray it all over me.\F-Fine.\Here I go.\Sou-kun, don't get so much on me. response:	I want lots on me, too!
context: I can't do that!\Don't get so bothered, Sou-kun.\It's fine.\Come on, spray it all over me.\F-Fine.\Here I go.\Sou-kun, don't get so much on me.\I want lots on me, too! response:	Spray it all over me, too!
context: Don't get so bothered, Sou-kun.\It's fine.\Come on, spray it all over me.\F-Fine.\Here I go.\Sou-kun, don't get so much on me.\I want lots on me, too!\Spray it all over me, too! response:	No...
context: It's fine.\Come on, spray it all over me.\F-Fine.\Here I go.\Sou-kun, don't get so much on me.\I want lots on me, too!\Spray it all over me, too!\No... response:	I want more, Hatate-kun!
context: Come on, spray it all over me.\F-Fine.\Here I go.\Sou-kun, don't get so much on me.\I want lots on me, too!\Spray it all over me, too!\No...\I want more, Hatate-kun! response:	I want some, too, Souta-kun!
context: F-Fine.\Here I go.\Sou-kun, don't get so much on me.\I want lots on me, too!\Spray it all over me, too!\No...\I want more, Hatate-kun!\I want some, too, Souta-kun! response:	I want to show you my upgraded waterproof features.
context: Here I go.\Sou-kun, don't get so much on me.\I want lots on me, too!\Spray it all over me, too!\No...\I want more, Hatate-kun!\I want some, too, Souta-kun!\I want to show you my upgraded waterproof features. response:	Yes or no?
context: Sou-kun, don't get so much on me.\I want lots on me, too!\Spray it all over me, too!\No...\I want more, Hatate-kun!\I want some, too, Souta-kun!\I want to show you my upgraded waterproof features.\Yes or no? response:	I'll do anything for you Souta-san, I will!
context: I want lots on me, too!\Spray it all over me, too!\No...\I want more, Hatate-kun!\I want some, too, Souta-kun!\I want to show you my upgraded waterproof features.\Yes or no?\I'll do anything for you Souta-san, I will! response:	Ooh!
context: Spray it all over me, too!\No...\I want more, Hatate-kun!\I want some, too, Souta-kun!\I want to show you my upgraded waterproof features.\Yes or no?\I'll do anything for you Souta-san, I will!\Ooh! response:	So cold!
context: No...\I want more, Hatate-kun!\I want some, too, Souta-kun!\I want to show you my upgraded waterproof features.\Yes or no?\I'll do anything for you Souta-san, I will!\Ooh!\So cold! response:	Hey, Souta,
context: I want more, Hatate-kun!\I want some, too, Souta-kun!\I want to show you my upgraded waterproof features.\Yes or no?\I'll do anything for you Souta-san, I will!\Ooh!\So cold!\Hey, Souta, response:	aren't you getting a little too much on me?
context: I want some, too, Souta-kun!\I want to show you my upgraded waterproof features.\Yes or no?\I'll do anything for you Souta-san, I will!\Ooh!\So cold!\Hey, Souta,\aren't you getting a little too much on me? response:	Hey, Souta!
context: I want to show you my upgraded waterproof features.\Yes or no?\I'll do anything for you Souta-san, I will!\Ooh!\So cold!\Hey, Souta,\aren't you getting a little too much on me?\Hey, Souta! response:	Why are you getting it on me?!
context: Yes or no?\I'll do anything for you Souta-san, I will!\Ooh!\So cold!\Hey, Souta,\aren't you getting a little too much on me?\Hey, Souta!\Why are you getting it on me?! response:	Jump!
context: I'll do anything for you Souta-san, I will!\Ooh!\So cold!\Hey, Souta,\aren't you getting a little too much on me?\Hey, Souta!\Why are you getting it on me?!\Jump! response:	What have I done to...
context: Ooh!\So cold!\Hey, Souta,\aren't you getting a little too much on me?\Hey, Souta!\Why are you getting it on me?!\Jump!\What have I done to... response:	Okay, that brings our swimsuit competition to an end!
context: So cold!\Hey, Souta,\aren't you getting a little too much on me?\Hey, Souta!\Why are you getting it on me?!\Jump!\What have I done to...\Okay, that brings our swimsuit competition to an end! response:	We have a lot more to go!
context: Hey, Souta,\aren't you getting a little too much on me?\Hey, Souta!\Why are you getting it on me?!\Jump!\What have I done to...\Okay, that brings our swimsuit competition to an end!\We have a lot more to go! response:	Cooking competition!
context: aren't you getting a little too much on me?\Hey, Souta!\Why are you getting it on me?!\Jump!\What have I done to...\Okay, that brings our swimsuit competition to an end!\We have a lot more to go!\Cooking competition! response:	Karaoke!
context: Hey, Souta!\Why are you getting it on me?!\Jump!\What have I done to...\Okay, that brings our swimsuit competition to an end!\We have a lot more to go!\Cooking competition!\Karaoke! response:	Quiz competition!
context: Why are you getting it on me?!\Jump!\What have I done to...\Okay, that brings our swimsuit competition to an end!\We have a lot more to go!\Cooking competition!\Karaoke!\Quiz competition! response:	So everyone has the same amount of votes from the audience.
context: Jump!\What have I done to...\Okay, that brings our swimsuit competition to an end!\We have a lot more to go!\Cooking competition!\Karaoke!\Quiz competition!\So everyone has the same amount of votes from the audience. response:	And if we add in the votes from our judges...
context: What have I done to...\Okay, that brings our swimsuit competition to an end!\We have a lot more to go!\Cooking competition!\Karaoke!\Quiz competition!\So everyone has the same amount of votes from the audience.\And if we add in the votes from our judges... response:	We got the same amount votes again...
context: Okay, that brings our swimsuit competition to an end!\We have a lot more to go!\Cooking competition!\Karaoke!\Quiz competition!\So everyone has the same amount of votes from the audience.\And if we add in the votes from our judges...\We got the same amount votes again... response:	Hey, get it right, judge!
context: We have a lot more to go!\Cooking competition!\Karaoke!\Quiz competition!\So everyone has the same amount of votes from the audience.\And if we add in the votes from our judges...\We got the same amount votes again...\Hey, get it right, judge! response:	I can't rate them...
context: Cooking competition!\Karaoke!\Quiz competition!\So everyone has the same amount of votes from the audience.\And if we add in the votes from our judges...\We got the same amount votes again...\Hey, get it right, judge!\I can't rate them... response:	In that case...
context: Karaoke!\Quiz competition!\So everyone has the same amount of votes from the audience.\And if we add in the votes from our judges...\We got the same amount votes again...\Hey, get it right, judge!\I can't rate them...\In that case... response:	We'll have to add another competition to settle this.
context: Quiz competition!\So everyone has the same amount of votes from the audience.\And if we add in the votes from our judges...\We got the same amount votes again...\Hey, get it right, judge!\I can't rate them...\In that case...\We'll have to add another competition to settle this. response:	Our final competition is an
context: So everyone has the same amount of votes from the audience.\And if we add in the votes from our judges...\We got the same amount votes again...\Hey, get it right, judge!\I can't rate them...\In that case...\We'll have to add another competition to settle this.\Our final competition is an response:	Ardently Confess Your Love to the Judges
context: And if we add in the votes from our judges...\We got the same amount votes again...\Hey, get it right, judge!\I can't rate them...\In that case...\We'll have to add another competition to settle this.\Our final competition is an\Ardently Confess Your Love to the Judges response:	ardently confess your love to the judges competition!
context: We got the same amount votes again...\Hey, get it right, judge!\I can't rate them...\In that case...\We'll have to add another competition to settle this.\Our final competition is an\Ardently Confess Your Love to the Judges\ardently confess your love to the judges competition! response:	Wh
context: Hey, get it right, judge!\I can't rate them...\In that case...\We'll have to add another competition to settle this.\Our final competition is an\Ardently Confess Your Love to the Judges\ardently confess your love to the judges competition!\Wh response:	What the heck?!
context: I can't rate them...\In that case...\We'll have to add another competition to settle this.\Our final competition is an\Ardently Confess Your Love to the Judges\ardently confess your love to the judges competition!\Wh\What the heck?! response:	You think the audience is going to like
context: In that case...\We'll have to add another competition to settle this.\Our final competition is an\Ardently Confess Your Love to the Judges\ardently confess your love to the judges competition!\Wh\What the heck?!\You think the audience is going to like response:	that in a beauty competition?
context: We'll have to add another competition to settle this.\Our final competition is an\Ardently Confess Your Love to the Judges\ardently confess your love to the judges competition!\Wh\What the heck?!\You think the audience is going to like\that in a beauty competition? response:	They've all seen just how much
context: Our final competition is an\Ardently Confess Your Love to the Judges\ardently confess your love to the judges competition!\Wh\What the heck?!\You think the audience is going to like\that in a beauty competition?\They've all seen just how much response:	these girls are trying to impress Hatate-kun.
context: Ardently Confess Your Love to the Judges\ardently confess your love to the judges competition!\Wh\What the heck?!\You think the audience is going to like\that in a beauty competition?\They've all seen just how much\these girls are trying to impress Hatate-kun. response:	Hatagaya Academy is all about wishing the best for these girls,
context: ardently confess your love to the judges competition!\Wh\What the heck?!\You think the audience is going to like\that in a beauty competition?\They've all seen just how much\these girls are trying to impress Hatate-kun.\Hatagaya Academy is all about wishing the best for these girls, response:	even if you don't get them yourself!
context: Wh\What the heck?!\You think the audience is going to like\that in a beauty competition?\They've all seen just how much\these girls are trying to impress Hatate-kun.\Hatagaya Academy is all about wishing the best for these girls,\even if you don't get them yourself! response:	Okay, Knight-san, you go first.
context: What the heck?!\You think the audience is going to like\that in a beauty competition?\They've all seen just how much\these girls are trying to impress Hatate-kun.\Hatagaya Academy is all about wishing the best for these girls,\even if you don't get them yourself!\Okay, Knight-san, you go first. response:	Why me?!
context: You think the audience is going to like\that in a beauty competition?\They've all seen just how much\these girls are trying to impress Hatate-kun.\Hatagaya Academy is all about wishing the best for these girls,\even if you don't get them yourself!\Okay, Knight-san, you go first.\Why me?! response:	Poem fight!!
context: that in a beauty competition?\They've all seen just how much\these girls are trying to impress Hatate-kun.\Hatagaya Academy is all about wishing the best for these girls,\even if you don't get them yourself!\Okay, Knight-san, you go first.\Why me?!\Poem fight!! response:	Fight, Nanami-chan!
context: They've all seen just how much\these girls are trying to impress Hatate-kun.\Hatagaya Academy is all about wishing the best for these girls,\even if you don't get them yourself!\Okay, Knight-san, you go first.\Why me?!\Poem fight!!\Fight, Nanami-chan! response:	Tell him how you feel!
context: these girls are trying to impress Hatate-kun.\Hatagaya Academy is all about wishing the best for these girls,\even if you don't get them yourself!\Okay, Knight-san, you go first.\Why me?!\Poem fight!!\Fight, Nanami-chan!\Tell him how you feel! response:	Hmph!
context: Hatagaya Academy is all about wishing the best for these girls,\even if you don't get them yourself!\Okay, Knight-san, you go first.\Why me?!\Poem fight!!\Fight, Nanami-chan!\Tell him how you feel!\Hmph! response:	I guess I'm a little less nervous now.
context: even if you don't get them yourself!\Okay, Knight-san, you go first.\Why me?!\Poem fight!!\Fight, Nanami-chan!\Tell him how you feel!\Hmph!\I guess I'm a little less nervous now. response:	In that case...
context: Okay, Knight-san, you go first.\Why me?!\Poem fight!!\Fight, Nanami-chan!\Tell him how you feel!\Hmph!\I guess I'm a little less nervous now.\In that case... response:	To be honest, I don't like you that much.
context: Why me?!\Poem fight!!\Fight, Nanami-chan!\Tell him how you feel!\Hmph!\I guess I'm a little less nervous now.\In that case...\To be honest, I don't like you that much. response:	It started when we first met.
context: Poem fight!!\Fight, Nanami-chan!\Tell him how you feel!\Hmph!\I guess I'm a little less nervous now.\In that case...\To be honest, I don't like you that much.\It started when we first met. response:	You were a wimp, hated yourself, and were always so gloomy.
context: Fight, Nanami-chan!\Tell him how you feel!\Hmph!\I guess I'm a little less nervous now.\In that case...\To be honest, I don't like you that much.\It started when we first met.\You were a wimp, hated yourself, and were always so gloomy. response:	You looked like you were carrying the
context: Tell him how you feel!\Hmph!\I guess I'm a little less nervous now.\In that case...\To be honest, I don't like you that much.\It started when we first met.\You were a wimp, hated yourself, and were always so gloomy.\You looked like you were carrying the response:	misfortune of the entire world on your back.
context: Hmph!\I guess I'm a little less nervous now.\In that case...\To be honest, I don't like you that much.\It started when we first met.\You were a wimp, hated yourself, and were always so gloomy.\You looked like you were carrying the\misfortune of the entire world on your back. response:	And well, I guess a lot happened.
context: I guess I'm a little less nervous now.\In that case...\To be honest, I don't like you that much.\It started when we first met.\You were a wimp, hated yourself, and were always so gloomy.\You looked like you were carrying the\misfortune of the entire world on your back.\And well, I guess a lot happened. response:	I thought I had seen you crack a smile or two,
context: In that case...\To be honest, I don't like you that much.\It started when we first met.\You were a wimp, hated yourself, and were always so gloomy.\You looked like you were carrying the\misfortune of the entire world on your back.\And well, I guess a lot happened.\I thought I had seen you crack a smile or two, response:	but now you're back to your old self.
context: To be honest, I don't like you that much.\It started when we first met.\You were a wimp, hated yourself, and were always so gloomy.\You looked like you were carrying the\misfortune of the entire world on your back.\And well, I guess a lot happened.\I thought I had seen you crack a smile or two,\but now you're back to your old self. response:	I thought I should just
context: It started when we first met.\You were a wimp, hated yourself, and were always so gloomy.\You looked like you were carrying the\misfortune of the entire world on your back.\And well, I guess a lot happened.\I thought I had seen you crack a smile or two,\but now you're back to your old self.\I thought I should just response:	headbutt you again,
context: You were a wimp, hated yourself, and were always so gloomy.\You looked like you were carrying the\misfortune of the entire world on your back.\And well, I guess a lot happened.\I thought I had seen you crack a smile or two,\but now you're back to your old self.\I thought I should just\headbutt you again, response:	but it seems that won't be necessary.
context: You looked like you were carrying the\misfortune of the entire world on your back.\And well, I guess a lot happened.\I thought I had seen you crack a smile or two,\but now you're back to your old self.\I thought I should just\headbutt you again,\but it seems that won't be necessary. response:	I don't know what happened,
context: misfortune of the entire world on your back.\And well, I guess a lot happened.\I thought I had seen you crack a smile or two,\but now you're back to your old self.\I thought I should just\headbutt you again,\but it seems that won't be necessary.\I don't know what happened, response:	but I'm sure you're thinking about it in your own way.
context: And well, I guess a lot happened.\I thought I had seen you crack a smile or two,\but now you're back to your old self.\I thought I should just\headbutt you again,\but it seems that won't be necessary.\I don't know what happened,\but I'm sure you're thinking about it in your own way. response:	So, well...
context: I thought I had seen you crack a smile or two,\but now you're back to your old self.\I thought I should just\headbutt you again,\but it seems that won't be necessary.\I don't know what happened,\but I'm sure you're thinking about it in your own way.\So, well... response:	Thanks for hanging in there.
context: but now you're back to your old self.\I thought I should just\headbutt you again,\but it seems that won't be necessary.\I don't know what happened,\but I'm sure you're thinking about it in your own way.\So, well...\Thanks for hanging in there. response:	It wasn't like something changed because of that.
context: I thought I should just\headbutt you again,\but it seems that won't be necessary.\I don't know what happened,\but I'm sure you're thinking about it in your own way.\So, well...\Thanks for hanging in there.\It wasn't like something changed because of that. response:	My fate and the death flag were still...
context: headbutt you again,\but it seems that won't be necessary.\I don't know what happened,\but I'm sure you're thinking about it in your own way.\So, well...\Thanks for hanging in there.\It wasn't like something changed because of that.\My fate and the death flag were still... response:	But someone noticed.
context: but it seems that won't be necessary.\I don't know what happened,\but I'm sure you're thinking about it in your own way.\So, well...\Thanks for hanging in there.\It wasn't like something changed because of that.\My fate and the death flag were still...\But someone noticed. response:	I never thought
context: I don't know what happened,\but I'm sure you're thinking about it in your own way.\So, well...\Thanks for hanging in there.\It wasn't like something changed because of that.\My fate and the death flag were still...\But someone noticed.\I never thought response:	that'd make me so happy.
context: but I'm sure you're thinking about it in your own way.\So, well...\Thanks for hanging in there.\It wasn't like something changed because of that.\My fate and the death flag were still...\But someone noticed.\I never thought\that'd make me so happy. response:	H-Hey, why are you crying?!
context: So, well...\Thanks for hanging in there.\It wasn't like something changed because of that.\My fate and the death flag were still...\But someone noticed.\I never thought\that'd make me so happy.\H-Hey, why are you crying?! response:	Oh, sorry.
context: Thanks for hanging in there.\It wasn't like something changed because of that.\My fate and the death flag were still...\But someone noticed.\I never thought\that'd make me so happy.\H-Hey, why are you crying?!\Oh, sorry. response:	I was just a little tired.
context: It wasn't like something changed because of that.\My fate and the death flag were still...\But someone noticed.\I never thought\that'd make me so happy.\H-Hey, why are you crying?!\Oh, sorry.\I was just a little tired. response:	Was my confession of love that boring?!
context: My fate and the death flag were still...\But someone noticed.\I never thought\that'd make me so happy.\H-Hey, why are you crying?!\Oh, sorry.\I was just a little tired.\Was my confession of love that boring?! response:	What's wrong with you guys?!
context: But someone noticed.\I never thought\that'd make me so happy.\H-Hey, why are you crying?!\Oh, sorry.\I was just a little tired.\Was my confession of love that boring?!\What's wrong with you guys?! response:	You care about him so much...
context: I never thought\that'd make me so happy.\H-Hey, why are you crying?!\Oh, sorry.\I was just a little tired.\Was my confession of love that boring?!\What's wrong with you guys?!\You care about him so much... response:	It just touched me.
context: that'd make me so happy.\H-Hey, why are you crying?!\Oh, sorry.\I was just a little tired.\Was my confession of love that boring?!\What's wrong with you guys?!\You care about him so much...\It just touched me. response:	There's nothing left for us to say.
context: H-Hey, why are you crying?!\Oh, sorry.\I was just a little tired.\Was my confession of love that boring?!\What's wrong with you guys?!\You care about him so much...\It just touched me.\There's nothing left for us to say. response:	You won, Princess Nanami.
context: Oh, sorry.\I was just a little tired.\Was my confession of love that boring?!\What's wrong with you guys?!\You care about him so much...\It just touched me.\There's nothing left for us to say.\You won, Princess Nanami. response:	No, I don't need to win.
context: I was just a little tired.\Was my confession of love that boring?!\What's wrong with you guys?!\You care about him so much...\It just touched me.\There's nothing left for us to say.\You won, Princess Nanami.\No, I don't need to win. response:	You made use of your differing attitudes for that speech.
context: Was my confession of love that boring?!\What's wrong with you guys?!\You care about him so much...\It just touched me.\There's nothing left for us to say.\You won, Princess Nanami.\No, I don't need to win.\You made use of your differing attitudes for that speech. response:	I detected a tsundere level of 530,000.
context: What's wrong with you guys?!\You care about him so much...\It just touched me.\There's nothing left for us to say.\You won, Princess Nanami.\No, I don't need to win.\You made use of your differing attitudes for that speech.\I detected a tsundere level of 530,000. response:	Today Nanami's Sou-kun's older sister.
context: You care about him so much...\It just touched me.\There's nothing left for us to say.\You won, Princess Nanami.\No, I don't need to win.\You made use of your differing attitudes for that speech.\I detected a tsundere level of 530,000.\Today Nanami's Sou-kun's older sister. response:	Points for Knight-san!
context: It just touched me.\There's nothing left for us to say.\You won, Princess Nanami.\No, I don't need to win.\You made use of your differing attitudes for that speech.\I detected a tsundere level of 530,000.\Today Nanami's Sou-kun's older sister.\Points for Knight-san! response:	She broke through the limit!
context: There's nothing left for us to say.\You won, Princess Nanami.\No, I don't need to win.\You made use of your differing attitudes for that speech.\I detected a tsundere level of 530,000.\Today Nanami's Sou-kun's older sister.\Points for Knight-san!\She broke through the limit! response:	She might as well have won already.
context: You won, Princess Nanami.\No, I don't need to win.\You made use of your differing attitudes for that speech.\I detected a tsundere level of 530,000.\Today Nanami's Sou-kun's older sister.\Points for Knight-san!\She broke through the limit!\She might as well have won already. response:	No complaints here!
context: No, I don't need to win.\You made use of your differing attitudes for that speech.\I detected a tsundere level of 530,000.\Today Nanami's Sou-kun's older sister.\Points for Knight-san!\She broke through the limit!\She might as well have won already.\No complaints here! response:	Winner
context: You made use of your differing attitudes for that speech.\I detected a tsundere level of 530,000.\Today Nanami's Sou-kun's older sister.\Points for Knight-san!\She broke through the limit!\She might as well have won already.\No complaints here!\Winner response:	So that makes Nanami Knight Bladefield-san the winner!
context: I detected a tsundere level of 530,000.\Today Nanami's Sou-kun's older sister.\Points for Knight-san!\She broke through the limit!\She might as well have won already.\No complaints here!\Winner\So that makes Nanami Knight Bladefield-san the winner! response:	What?!
