context: The old woman in Egypt, Enyaba, told me response:	to shoot the arrow at those it desires.
context: I've got two wins and two losses,\which means we're both on the edge.\But you know, I really don't feel like I'm going to lose now.\After I lost twice at first, I won twice in a row.\You're the opposite, Rohan-sensei. You've lost twice in a row.\You're currently on the downhill slope in this match!\This is amazing!\No wonder the arrow picked this kid! response:	If this kid is able to obtain Rohan Kishibe's ability
context: which means we're both on the edge.\But you know, I really don't feel like I'm going to lose now.\After I lost twice at first, I won twice in a row.\You're the opposite, Rohan-sensei. You've lost twice in a row.\You're currently on the downhill slope in this match!\This is amazing!\No wonder the arrow picked this kid!\If this kid is able to obtain Rohan Kishibe's ability response:	to read minds, we'll be invincible!
context: But you know, I really don't feel like I'm going to lose now.\After I lost twice at first, I won twice in a row.\You're the opposite, Rohan-sensei. You've lost twice in a row.\You're currently on the downhill slope in this match!\This is amazing!\No wonder the arrow picked this kid!\If this kid is able to obtain Rohan Kishibe's ability\to read minds, we'll be invincible! response:	It'll help out my Yoshikage.
context: After I lost twice at first, I won twice in a row.\You're the opposite, Rohan-sensei. You've lost twice in a row.\You're currently on the downhill slope in this match!\This is amazing!\No wonder the arrow picked this kid!\If this kid is able to obtain Rohan Kishibe's ability\to read minds, we'll be invincible!\It'll help out my Yoshikage. response:	You brat...
context: You're the opposite, Rohan-sensei. You've lost twice in a row.\You're currently on the downhill slope in this match!\This is amazing!\No wonder the arrow picked this kid!\If this kid is able to obtain Rohan Kishibe's ability\to read minds, we'll be invincible!\It'll help out my Yoshikage.\You brat... response:	It seems you've gotten better at pressuring your opponent.
context: You're currently on the downhill slope in this match!\This is amazing!\No wonder the arrow picked this kid!\If this kid is able to obtain Rohan Kishibe's ability\to read minds, we'll be invincible!\It'll help out my Yoshikage.\You brat...\It seems you've gotten better at pressuring your opponent. response:	It's the truth that you've lost twice in a row.
context: This is amazing!\No wonder the arrow picked this kid!\If this kid is able to obtain Rohan Kishibe's ability\to read minds, we'll be invincible!\It'll help out my Yoshikage.\You brat...\It seems you've gotten better at pressuring your opponent.\It's the truth that you've lost twice in a row. response:	The truth, huh... Indeed.
context: No wonder the arrow picked this kid!\If this kid is able to obtain Rohan Kishibe's ability\to read minds, we'll be invincible!\It'll help out my Yoshikage.\You brat...\It seems you've gotten better at pressuring your opponent.\It's the truth that you've lost twice in a row.\The truth, huh... Indeed. response:	In that case, let me give you a dose of truth, as well.
context: If this kid is able to obtain Rohan Kishibe's ability\to read minds, we'll be invincible!\It'll help out my Yoshikage.\You brat...\It seems you've gotten better at pressuring your opponent.\It's the truth that you've lost twice in a row.\The truth, huh... Indeed.\In that case, let me give you a dose of truth, as well. response:	In our next match, you will definitely not use paper.
context: to read minds, we'll be invincible!\It'll help out my Yoshikage.\You brat...\It seems you've gotten better at pressuring your opponent.\It's the truth that you've lost twice in a row.\The truth, huh... Indeed.\In that case, let me give you a dose of truth, as well.\In our next match, you will definitely not use paper. response:	I'm not so sure about that.
context: It'll help out my Yoshikage.\You brat...\It seems you've gotten better at pressuring your opponent.\It's the truth that you've lost twice in a row.\The truth, huh... Indeed.\In that case, let me give you a dose of truth, as well.\In our next match, you will definitely not use paper.\I'm not so sure about that. response:	Hey, hey, hey, hey, hey, hey, hold it.
context: You brat...\It seems you've gotten better at pressuring your opponent.\It's the truth that you've lost twice in a row.\The truth, huh... Indeed.\In that case, let me give you a dose of truth, as well.\In our next match, you will definitely not use paper.\I'm not so sure about that.\Hey, hey, hey, hey, hey, hey, hold it. response:	I used rock twice in a row and lost.
context: It seems you've gotten better at pressuring your opponent.\It's the truth that you've lost twice in a row.\The truth, huh... Indeed.\In that case, let me give you a dose of truth, as well.\In our next match, you will definitely not use paper.\I'm not so sure about that.\Hey, hey, hey, hey, hey, hey, hold it.\I used rock twice in a row and lost. response:	Which means that rock is the unluckiest choice for me.
context: It's the truth that you've lost twice in a row.\The truth, huh... Indeed.\In that case, let me give you a dose of truth, as well.\In our next match, you will definitely not use paper.\I'm not so sure about that.\Hey, hey, hey, hey, hey, hey, hold it.\I used rock twice in a row and lost.\Which means that rock is the unluckiest choice for me. response:	Am I wrong?
context: The truth, huh... Indeed.\In that case, let me give you a dose of truth, as well.\In our next match, you will definitely not use paper.\I'm not so sure about that.\Hey, hey, hey, hey, hey, hey, hold it.\I used rock twice in a row and lost.\Which means that rock is the unluckiest choice for me.\Am I wrong? response:	It's only natural that I wouldn't be able to use the unlucky rock a third time.
context: In that case, let me give you a dose of truth, as well.\In our next match, you will definitely not use paper.\I'm not so sure about that.\Hey, hey, hey, hey, hey, hey, hold it.\I used rock twice in a row and lost.\Which means that rock is the unluckiest choice for me.\Am I wrong?\It's only natural that I wouldn't be able to use the unlucky rock a third time. response:	Since you said I was on a downhill slope,
context: In our next match, you will definitely not use paper.\I'm not so sure about that.\Hey, hey, hey, hey, hey, hey, hold it.\I used rock twice in a row and lost.\Which means that rock is the unluckiest choice for me.\Am I wrong?\It's only natural that I wouldn't be able to use the unlucky rock a third time.\Since you said I was on a downhill slope, response:	you won't be able to use paper.
context: I'm not so sure about that.\Hey, hey, hey, hey, hey, hey, hold it.\I used rock twice in a row and lost.\Which means that rock is the unluckiest choice for me.\Am I wrong?\It's only natural that I wouldn't be able to use the unlucky rock a third time.\Since you said I was on a downhill slope,\you won't be able to use paper. response:	If you use paper, it's like admitting that I am actually not going downhill.
context: Hey, hey, hey, hey, hey, hey, hold it.\I used rock twice in a row and lost.\Which means that rock is the unluckiest choice for me.\Am I wrong?\It's only natural that I wouldn't be able to use the unlucky rock a third time.\Since you said I was on a downhill slope,\you won't be able to use paper.\If you use paper, it's like admitting that I am actually not going downhill. response:	I'll force my hand and beat you!
context: I used rock twice in a row and lost.\Which means that rock is the unluckiest choice for me.\Am I wrong?\It's only natural that I wouldn't be able to use the unlucky rock a third time.\Since you said I was on a downhill slope,\you won't be able to use paper.\If you use paper, it's like admitting that I am actually not going downhill.\I'll force my hand and beat you! response:	Let's go, Rohan Kishibe!
context: Which means that rock is the unluckiest choice for me.\Am I wrong?\It's only natural that I wouldn't be able to use the unlucky rock a third time.\Since you said I was on a downhill slope,\you won't be able to use paper.\If you use paper, it's like admitting that I am actually not going downhill.\I'll force my hand and beat you!\Let's go, Rohan Kishibe! response:	It's on!
context: Am I wrong?\It's only natural that I wouldn't be able to use the unlucky rock a third time.\Since you said I was on a downhill slope,\you won't be able to use paper.\If you use paper, it's like admitting that I am actually not going downhill.\I'll force my hand and beat you!\Let's go, Rohan Kishibe!\It's on! response:	Jan...
context: It's only natural that I wouldn't be able to use the unlucky rock a third time.\Since you said I was on a downhill slope,\you won't be able to use paper.\If you use paper, it's like admitting that I am actually not going downhill.\I'll force my hand and beat you!\Let's go, Rohan Kishibe!\It's on!\Jan... response:	After all that pressure, he still used paper.
context: Since you said I was on a downhill slope,\you won't be able to use paper.\If you use paper, it's like admitting that I am actually not going downhill.\I'll force my hand and beat you!\Let's go, Rohan Kishibe!\It's on!\Jan...\After all that pressure, he still used paper. response:	His mental strength is remarkable.
context: you won't be able to use paper.\If you use paper, it's like admitting that I am actually not going downhill.\I'll force my hand and beat you!\Let's go, Rohan Kishibe!\It's on!\Jan...\After all that pressure, he still used paper.\His mental strength is remarkable. response:	There's no way I'll lose!
context: If you use paper, it's like admitting that I am actually not going downhill.\I'll force my hand and beat you!\Let's go, Rohan Kishibe!\It's on!\Jan...\After all that pressure, he still used paper.\His mental strength is remarkable.\There's no way I'll lose! response:	I definitely still have the upper hand in this match!
context: I'll force my hand and beat you!\Let's go, Rohan Kishibe!\It's on!\Jan...\After all that pressure, he still used paper.\His mental strength is remarkable.\There's no way I'll lose!\I definitely still have the upper hand in this match! response:	I'll use paper four times in a row! I'm gonna force my hand!
context: Let's go, Rohan Kishibe!\It's on!\Jan...\After all that pressure, he still used paper.\His mental strength is remarkable.\There's no way I'll lose!\I definitely still have the upper hand in this match!\I'll use paper four times in a row! I'm gonna force my hand! response:	All right! Rock! I'll get the unlucky rock on my side!
context: It's on!\Jan...\After all that pressure, he still used paper.\His mental strength is remarkable.\There's no way I'll lose!\I definitely still have the upper hand in this match!\I'll use paper four times in a row! I'm gonna force my hand!\All right! Rock! I'll get the unlucky rock on my side! response:	One more...
context: Jan...\After all that pressure, he still used paper.\His mental strength is remarkable.\There's no way I'll lose!\I definitely still have the upper hand in this match!\I'll use paper four times in a row! I'm gonna force my hand!\All right! Rock! I'll get the unlucky rock on my side!\One more... response:	Th-The strength in my knees...
context: After all that pressure, he still used paper.\His mental strength is remarkable.\There's no way I'll lose!\I definitely still have the upper hand in this match!\I'll use paper four times in a row! I'm gonna force my hand!\All right! Rock! I'll get the unlucky rock on my side!\One more...\Th-The strength in my knees... response:	What? He's using a different form than before!
context: His mental strength is remarkable.\There's no way I'll lose!\I definitely still have the upper hand in this match!\I'll use paper four times in a row! I'm gonna force my hand!\All right! Rock! I'll get the unlucky rock on my side!\One more...\Th-The strength in my knees...\What? He's using a different form than before! response:	The only one Rohan hasn't used yet is scissors...
context: There's no way I'll lose!\I definitely still have the upper hand in this match!\I'll use paper four times in a row! I'm gonna force my hand!\All right! Rock! I'll get the unlucky rock on my side!\One more...\Th-The strength in my knees...\What? He's using a different form than before!\The only one Rohan hasn't used yet is scissors... response:	Crap... Going with paper again is dangerous!
context: I definitely still have the upper hand in this match!\I'll use paper four times in a row! I'm gonna force my hand!\All right! Rock! I'll get the unlucky rock on my side!\One more...\Th-The strength in my knees...\What? He's using a different form than before!\The only one Rohan hasn't used yet is scissors...\Crap... Going with paper again is dangerous! response:	Crap!
context: I'll use paper four times in a row! I'm gonna force my hand!\All right! Rock! I'll get the unlucky rock on my side!\One more...\Th-The strength in my knees...\What? He's using a different form than before!\The only one Rohan hasn't used yet is scissors...\Crap... Going with paper again is dangerous!\Crap! response:	I guess rock wasn't unlucky after all!
context: All right! Rock! I'll get the unlucky rock on my side!\One more...\Th-The strength in my knees...\What? He's using a different form than before!\The only one Rohan hasn't used yet is scissors...\Crap... Going with paper again is dangerous!\Crap!\I guess rock wasn't unlucky after all! response:	Damn that Rohan!
context: One more...\Th-The strength in my knees...\What? He's using a different form than before!\The only one Rohan hasn't used yet is scissors...\Crap... Going with paper again is dangerous!\Crap!\I guess rock wasn't unlucky after all!\Damn that Rohan! response:	Th-That's...
context: Th-The strength in my knees...\What? He's using a different form than before!\The only one Rohan hasn't used yet is scissors...\Crap... Going with paper again is dangerous!\Crap!\I guess rock wasn't unlucky after all!\Damn that Rohan!\Th-That's... response:	Hey, Mister!
context: What? He's using a different form than before!\The only one Rohan hasn't used yet is scissors...\Crap... Going with paper again is dangerous!\Crap!\I guess rock wasn't unlucky after all!\Damn that Rohan!\Th-That's...\Hey, Mister! response:	Hey, Rohan-sensei. Those two are probably Stand users, too, right?
context: The only one Rohan hasn't used yet is scissors...\Crap... Going with paper again is dangerous!\Crap!\I guess rock wasn't unlucky after all!\Damn that Rohan!\Th-That's...\Hey, Mister!\Hey, Rohan-sensei. Those two are probably Stand users, too, right? response:	They are, right? I can feel it.
context: Crap... Going with paper again is dangerous!\Crap!\I guess rock wasn't unlucky after all!\Damn that Rohan!\Th-That's...\Hey, Mister!\Hey, Rohan-sensei. Those two are probably Stand users, too, right?\They are, right? I can feel it. response:	Let's test my luck.
context: Crap!\I guess rock wasn't unlucky after all!\Damn that Rohan!\Th-That's...\Hey, Mister!\Hey, Rohan-sensei. Those two are probably Stand users, too, right?\They are, right? I can feel it.\Let's test my luck. response:	If I'm out of luck, those two will come over here.
context: I guess rock wasn't unlucky after all!\Damn that Rohan!\Th-That's...\Hey, Mister!\Hey, Rohan-sensei. Those two are probably Stand users, too, right?\They are, right? I can feel it.\Let's test my luck.\If I'm out of luck, those two will come over here. response:	If I'm protected by strong luck, they definitely won't come over here.
context: Damn that Rohan!\Th-That's...\Hey, Mister!\Hey, Rohan-sensei. Those two are probably Stand users, too, right?\They are, right? I can feel it.\Let's test my luck.\If I'm out of luck, those two will come over here.\If I'm protected by strong luck, they definitely won't come over here. response:	Hey, that's Rohan.
context: Th-That's...\Hey, Mister!\Hey, Rohan-sensei. Those two are probably Stand users, too, right?\They are, right? I can feel it.\Let's test my luck.\If I'm out of luck, those two will come over here.\If I'm protected by strong luck, they definitely won't come over here.\Hey, that's Rohan. response:	Hey! Hey!
context: Hey, Mister!\Hey, Rohan-sensei. Those two are probably Stand users, too, right?\They are, right? I can feel it.\Let's test my luck.\If I'm out of luck, those two will come over here.\If I'm protected by strong luck, they definitely won't come over here.\Hey, that's Rohan.\Hey! Hey! response:	I really hate that guy.
context: Hey, Rohan-sensei. Those two are probably Stand users, too, right?\They are, right? I can feel it.\Let's test my luck.\If I'm out of luck, those two will come over here.\If I'm protected by strong luck, they definitely won't come over here.\Hey, that's Rohan.\Hey! Hey!\I really hate that guy. response:	Let's just smile and walk away.
context: They are, right? I can feel it.\Let's test my luck.\If I'm out of luck, those two will come over here.\If I'm protected by strong luck, they definitely won't come over here.\Hey, that's Rohan.\Hey! Hey!\I really hate that guy.\Let's just smile and walk away. response:	Hmm... Well, hmm...
context: Let's test my luck.\If I'm out of luck, those two will come over here.\If I'm protected by strong luck, they definitely won't come over here.\Hey, that's Rohan.\Hey! Hey!\I really hate that guy.\Let's just smile and walk away.\Hmm... Well, hmm... response:	Menacing
context: If I'm out of luck, those two will come over here.\If I'm protected by strong luck, they definitely won't come over here.\Hey, that's Rohan.\Hey! Hey!\I really hate that guy.\Let's just smile and walk away.\Hmm... Well, hmm...\Menacing response:	That child...
context: If I'm protected by strong luck, they definitely won't come over here.\Hey, that's Rohan.\Hey! Hey!\I really hate that guy.\Let's just smile and walk away.\Hmm... Well, hmm...\Menacing\That child... response:	Menacing
context: Hey, that's Rohan.\Hey! Hey!\I really hate that guy.\Let's just smile and walk away.\Hmm... Well, hmm...\Menacing\That child...\Menacing response:	I do believe he's...
context: Hey! Hey!\I really hate that guy.\Let's just smile and walk away.\Hmm... Well, hmm...\Menacing\That child...\Menacing\I do believe he's... response:	a fan of his.
context: I really hate that guy.\Let's just smile and walk away.\Hmm... Well, hmm...\Menacing\That child...\Menacing\I do believe he's...\a fan of his. response:	See you later.
context: Let's just smile and walk away.\Hmm... Well, hmm...\Menacing\That child...\Menacing\I do believe he's...\a fan of his.\See you later. response:	See ya.
context: Hmm... Well, hmm...\Menacing\That child...\Menacing\I do believe he's...\a fan of his.\See you later.\See ya. response:	It looks like strong luck is on my side, Rohan-sensei.
context: Menacing\That child...\Menacing\I do believe he's...\a fan of his.\See you later.\See ya.\It looks like strong luck is on my side, Rohan-sensei. response:	I feel like there's no way I can lose right now,
context: That child...\Menacing\I do believe he's...\a fan of his.\See you later.\See ya.\It looks like strong luck is on my side, Rohan-sensei.\I feel like there's no way I can lose right now, response:	because I'm protected by strong luck!
context: Menacing\I do believe he's...\a fan of his.\See you later.\See ya.\It looks like strong luck is on my side, Rohan-sensei.\I feel like there's no way I can lose right now,\because I'm protected by strong luck! response:	Right now, I feel like I could survive Russian roulette
context: I do believe he's...\a fan of his.\See you later.\See ya.\It looks like strong luck is on my side, Rohan-sensei.\I feel like there's no way I can lose right now,\because I'm protected by strong luck!\Right now, I feel like I could survive Russian roulette response:	with five out of six bullets in the chamber!
context: a fan of his.\See you later.\See ya.\It looks like strong luck is on my side, Rohan-sensei.\I feel like there's no way I can lose right now,\because I'm protected by strong luck!\Right now, I feel like I could survive Russian roulette\with five out of six bullets in the chamber! response:	Crash
context: See you later.\See ya.\It looks like strong luck is on my side, Rohan-sensei.\I feel like there's no way I can lose right now,\because I'm protected by strong luck!\Right now, I feel like I could survive Russian roulette\with five out of six bullets in the chamber!\Crash response:	It's a shower of glass!
context: See ya.\It looks like strong luck is on my side, Rohan-sensei.\I feel like there's no way I can lose right now,\because I'm protected by strong luck!\Right now, I feel like I could survive Russian roulette\with five out of six bullets in the chamber!\Crash\It's a shower of glass! response:	Now, let's have our final match to see who'll win, Rohan-sensei!
context: It looks like strong luck is on my side, Rohan-sensei.\I feel like there's no way I can lose right now,\because I'm protected by strong luck!\Right now, I feel like I could survive Russian roulette\with five out of six bullets in the chamber!\Crash\It's a shower of glass!\Now, let's have our final match to see who'll win, Rohan-sensei! response:	What are you doing?
context: I feel like there's no way I can lose right now,\because I'm protected by strong luck!\Right now, I feel like I could survive Russian roulette\with five out of six bullets in the chamber!\Crash\It's a shower of glass!\Now, let's have our final match to see who'll win, Rohan-sensei!\What are you doing? response:	Hurry up and get into your janken pose.
context: because I'm protected by strong luck!\Right now, I feel like I could survive Russian roulette\with five out of six bullets in the chamber!\Crash\It's a shower of glass!\Now, let's have our final match to see who'll win, Rohan-sensei!\What are you doing?\Hurry up and get into your janken pose. response:	You're the one who needs to hurry up and get started.
context: Right now, I feel like I could survive Russian roulette\with five out of six bullets in the chamber!\Crash\It's a shower of glass!\Now, let's have our final match to see who'll win, Rohan-sensei!\What are you doing?\Hurry up and get into your janken pose.\You're the one who needs to hurry up and get started. response:	I'm going to go with this.
context: with five out of six bullets in the chamber!\Crash\It's a shower of glass!\Now, let's have our final match to see who'll win, Rohan-sensei!\What are you doing?\Hurry up and get into your janken pose.\You're the one who needs to hurry up and get started.\I'm going to go with this. response:	Stop messing around.
context: Crash\It's a shower of glass!\Now, let's have our final match to see who'll win, Rohan-sensei!\What are you doing?\Hurry up and get into your janken pose.\You're the one who needs to hurry up and get started.\I'm going to go with this.\Stop messing around. response:	No, I'm dead serious.
context: It's a shower of glass!\Now, let's have our final match to see who'll win, Rohan-sensei!\What are you doing?\Hurry up and get into your janken pose.\You're the one who needs to hurry up and get started.\I'm going to go with this.\Stop messing around.\No, I'm dead serious. response:	You said you were going to surpass me,
context: Now, let's have our final match to see who'll win, Rohan-sensei!\What are you doing?\Hurry up and get into your janken pose.\You're the one who needs to hurry up and get started.\I'm going to go with this.\Stop messing around.\No, I'm dead serious.\You said you were going to surpass me, response:	but since I've lived nine years longer than you, I'll let you in on something...
context: What are you doing?\Hurry up and get into your janken pose.\You're the one who needs to hurry up and get started.\I'm going to go with this.\Stop messing around.\No, I'm dead serious.\You said you were going to surpass me,\but since I've lived nine years longer than you, I'll let you in on something... response:	It's not very hard to make others lose.
context: Hurry up and get into your janken pose.\You're the one who needs to hurry up and get started.\I'm going to go with this.\Stop messing around.\No, I'm dead serious.\You said you were going to surpass me,\but since I've lived nine years longer than you, I'll let you in on something...\It's not very hard to make others lose. response:	The most difficult thing is... Listen carefully, now...
context: You're the one who needs to hurry up and get started.\I'm going to go with this.\Stop messing around.\No, I'm dead serious.\You said you were going to surpass me,\but since I've lived nine years longer than you, I'll let you in on something...\It's not very hard to make others lose.\The most difficult thing is... Listen carefully, now... response:	The most difficult thing is
context: I'm going to go with this.\Stop messing around.\No, I'm dead serious.\You said you were going to surpass me,\but since I've lived nine years longer than you, I'll let you in on something...\It's not very hard to make others lose.\The most difficult thing is... Listen carefully, now...\The most difficult thing is response:	to surpass yourself!
context: Stop messing around.\No, I'm dead serious.\You said you were going to surpass me,\but since I've lived nine years longer than you, I'll let you in on something...\It's not very hard to make others lose.\The most difficult thing is... Listen carefully, now...\The most difficult thing is\to surpass yourself! response:	I'm now going to surpass my own luck!
context: No, I'm dead serious.\You said you were going to surpass me,\but since I've lived nine years longer than you, I'll let you in on something...\It's not very hard to make others lose.\The most difficult thing is... Listen carefully, now...\The most difficult thing is\to surpass yourself!\I'm now going to surpass my own luck! response:	Let's go, Rohan!
context: You said you were going to surpass me,\but since I've lived nine years longer than you, I'll let you in on something...\It's not very hard to make others lose.\The most difficult thing is... Listen carefully, now...\The most difficult thing is\to surpass yourself!\I'm now going to surpass my own luck!\Let's go, Rohan! response:	It's on!
context: but since I've lived nine years longer than you, I'll let you in on something...\It's not very hard to make others lose.\The most difficult thing is... Listen carefully, now...\The most difficult thing is\to surpass yourself!\I'm now going to surpass my own luck!\Let's go, Rohan!\It's on! response:	Janken hoi!
context: It's not very hard to make others lose.\The most difficult thing is... Listen carefully, now...\The most difficult thing is\to surpass yourself!\I'm now going to surpass my own luck!\Let's go, Rohan!\It's on!\Janken hoi! response:	Yes! How's that, Rohan Kishibe?!
context: The most difficult thing is... Listen carefully, now...\The most difficult thing is\to surpass yourself!\I'm now going to surpass my own luck!\Let's go, Rohan!\It's on!\Janken hoi!\Yes! How's that, Rohan Kishibe?! response:	Wh-What?
context: The most difficult thing is\to surpass yourself!\I'm now going to surpass my own luck!\Let's go, Rohan!\It's on!\Janken hoi!\Yes! How's that, Rohan Kishibe?!\Wh-What? response:	What?!
context: to surpass yourself!\I'm now going to surpass my own luck!\Let's go, Rohan!\It's on!\Janken hoi!\Yes! How's that, Rohan Kishibe?!\Wh-What?\What?! response:	Huh?
context: I'm now going to surpass my own luck!\Let's go, Rohan!\It's on!\Janken hoi!\Yes! How's that, Rohan Kishibe?!\Wh-What?\What?!\Huh? response:	Wh-What the?
context: Let's go, Rohan!\It's on!\Janken hoi!\Yes! How's that, Rohan Kishibe?!\Wh-What?\What?!\Huh?\Wh-What the? response:	Why is my hand shaped as rock?!
context: It's on!\Janken hoi!\Yes! How's that, Rohan Kishibe?!\Wh-What?\What?!\Huh?\Wh-What the?\Why is my hand shaped as rock?! response:	Now I have three wins and two losses.
context: Janken hoi!\Yes! How's that, Rohan Kishibe?!\Wh-What?\What?!\Huh?\Wh-What the?\Why is my hand shaped as rock?!\Now I have three wins and two losses. response:	You have the unlucky rock.
context: Yes! How's that, Rohan Kishibe?!\Wh-What?\What?!\Huh?\Wh-What the?\Why is my hand shaped as rock?!\Now I have three wins and two losses.\You have the unlucky rock. response:	Strong luck came to me a moment ago, along with Joseph Joestar.
context: Wh-What?\What?!\Huh?\Wh-What the?\Why is my hand shaped as rock?!\Now I have three wins and two losses.\You have the unlucky rock.\Strong luck came to me a moment ago, along with Joseph Joestar. response:	The Invisible Baby.
context: What?!\Huh?\Wh-What the?\Why is my hand shaped as rock?!\Now I have three wins and two losses.\You have the unlucky rock.\Strong luck came to me a moment ago, along with Joseph Joestar.\The Invisible Baby. response:	Huh?!
context: Huh?\Wh-What the?\Why is my hand shaped as rock?!\Now I have three wins and two losses.\You have the unlucky rock.\Strong luck came to me a moment ago, along with Joseph Joestar.\The Invisible Baby.\Huh?! response:	Will save Rohan when he's in danger. Will become invisible and make the kid's hand into rock.
context: Wh-What the?\Why is my hand shaped as rock?!\Now I have three wins and two losses.\You have the unlucky rock.\Strong luck came to me a moment ago, along with Joseph Joestar.\The Invisible Baby.\Huh?!\Will save Rohan when he's in danger. Will become invisible and make the kid's hand into rock. response:	You only relied on your strong luck, and I changed my luck.
context: Why is my hand shaped as rock?!\Now I have three wins and two losses.\You have the unlucky rock.\Strong luck came to me a moment ago, along with Joseph Joestar.\The Invisible Baby.\Huh?!\Will save Rohan when he's in danger. Will become invisible and make the kid's hand into rock.\You only relied on your strong luck, and I changed my luck. response:	That's what it means to surpass yourself.
context: Now I have three wins and two losses.\You have the unlucky rock.\Strong luck came to me a moment ago, along with Joseph Joestar.\The Invisible Baby.\Huh?!\Will save Rohan when he's in danger. Will become invisible and make the kid's hand into rock.\You only relied on your strong luck, and I changed my luck.\That's what it means to surpass yourself. response:	Boom
context: You have the unlucky rock.\Strong luck came to me a moment ago, along with Joseph Joestar.\The Invisible Baby.\Huh?!\Will save Rohan when he's in danger. Will become invisible and make the kid's hand into rock.\You only relied on your strong luck, and I changed my luck.\That's what it means to surpass yourself.\Boom response:	Now, then. I'm going to knock you out now, as I promised.
context: Strong luck came to me a moment ago, along with Joseph Joestar.\The Invisible Baby.\Huh?!\Will save Rohan when he's in danger. Will become invisible and make the kid's hand into rock.\You only relied on your strong luck, and I changed my luck.\That's what it means to surpass yourself.\Boom\Now, then. I'm going to knock you out now, as I promised. response:	I'll write,
context: The Invisible Baby.\Huh?!\Will save Rohan when he's in danger. Will become invisible and make the kid's hand into rock.\You only relied on your strong luck, and I changed my luck.\That's what it means to surpass yourself.\Boom\Now, then. I'm going to knock you out now, as I promised.\I'll write, response:	You'll never be able to win at janken again.
context: Huh?!\Will save Rohan when he's in danger. Will become invisible and make the kid's hand into rock.\You only relied on your strong luck, and I changed my luck.\That's what it means to surpass yourself.\Boom\Now, then. I'm going to knock you out now, as I promised.\I'll write,\You'll never be able to win at janken again. response:	Your Stand will be destroyed.
context: Will save Rohan when he's in danger. Will become invisible and make the kid's hand into rock.\You only relied on your strong luck, and I changed my luck.\That's what it means to surpass yourself.\Boom\Now, then. I'm going to knock you out now, as I promised.\I'll write,\You'll never be able to win at janken again.\Your Stand will be destroyed. response:	Sh-Shut up!
context: You only relied on your strong luck, and I changed my luck.\That's what it means to surpass yourself.\Boom\Now, then. I'm going to knock you out now, as I promised.\I'll write,\You'll never be able to win at janken again.\Your Stand will be destroyed.\Sh-Shut up! response:	Stay away from me, Rohan!
context: That's what it means to surpass yourself.\Boom\Now, then. I'm going to knock you out now, as I promised.\I'll write,\You'll never be able to win at janken again.\Your Stand will be destroyed.\Sh-Shut up!\Stay away from me, Rohan! response:	O-Otherwise, this baby's gonna...
context: Boom\Now, then. I'm going to knock you out now, as I promised.\I'll write,\You'll never be able to win at janken again.\Your Stand will be destroyed.\Sh-Shut up!\Stay away from me, Rohan!\O-Otherwise, this baby's gonna... response:	Do you understand what you're doing?
context: Now, then. I'm going to knock you out now, as I promised.\I'll write,\You'll never be able to win at janken again.\Your Stand will be destroyed.\Sh-Shut up!\Stay away from me, Rohan!\O-Otherwise, this baby's gonna...\Do you understand what you're doing? response:	Hmph! Right now, our match is a verbal argument!
context: I'll write,\You'll never be able to win at janken again.\Your Stand will be destroyed.\Sh-Shut up!\Stay away from me, Rohan!\O-Otherwise, this baby's gonna...\Do you understand what you're doing?\Hmph! Right now, our match is a verbal argument! response:	You haven't really won against me!
context: You'll never be able to win at janken again.\Your Stand will be destroyed.\Sh-Shut up!\Stay away from me, Rohan!\O-Otherwise, this baby's gonna...\Do you understand what you're doing?\Hmph! Right now, our match is a verbal argument!\You haven't really won against me! response:	You won because you cheated, you coward!
context: Your Stand will be destroyed.\Sh-Shut up!\Stay away from me, Rohan!\O-Otherwise, this baby's gonna...\Do you understand what you're doing?\Hmph! Right now, our match is a verbal argument!\You haven't really won against me!\You won because you cheated, you coward! response:	Let the baby go.
context: Sh-Shut up!\Stay away from me, Rohan!\O-Otherwise, this baby's gonna...\Do you understand what you're doing?\Hmph! Right now, our match is a verbal argument!\You haven't really won against me!\You won because you cheated, you coward!\Let the baby go. response:	Fight me one more time!
context: Stay away from me, Rohan!\O-Otherwise, this baby's gonna...\Do you understand what you're doing?\Hmph! Right now, our match is a verbal argument!\You haven't really won against me!\You won because you cheated, you coward!\Let the baby go.\Fight me one more time! response:	Then I won't do anything to this baby.
context: O-Otherwise, this baby's gonna...\Do you understand what you're doing?\Hmph! Right now, our match is a verbal argument!\You haven't really won against me!\You won because you cheated, you coward!\Let the baby go.\Fight me one more time!\Then I won't do anything to this baby. response:	And I'm telling you to let the baby go.
context: Do you understand what you're doing?\Hmph! Right now, our match is a verbal argument!\You haven't really won against me!\You won because you cheated, you coward!\Let the baby go.\Fight me one more time!\Then I won't do anything to this baby.\And I'm telling you to let the baby go. response:	I'll fight you.
context: Hmph! Right now, our match is a verbal argument!\You haven't really won against me!\You won because you cheated, you coward!\Let the baby go.\Fight me one more time!\Then I won't do anything to this baby.\And I'm telling you to let the baby go.\I'll fight you. response:	I'll make you lose! Janken, hoi! Hoi! Hoi!
context: You haven't really won against me!\You won because you cheated, you coward!\Let the baby go.\Fight me one more time!\Then I won't do anything to this baby.\And I'm telling you to let the baby go.\I'll fight you.\I'll make you lose! Janken, hoi! Hoi! Hoi! response:	I-I-I can't win!
