context: The year 850, in Trost... response:	The sight of Eren Jaeger unleashing
context: I hate losing more than anything.\But unfortunately, I've been losing for my entire life.\I want to win against the Titans...\I want to beat those giant freaks\more than anything in the world.\S-So do we!\Then betting on him is our only option.\You're right, we know nothing about him. response:	But he's the only chance we have to defeat the Titans.
context: But unfortunately, I've been losing for my entire life.\I want to win against the Titans...\I want to beat those giant freaks\more than anything in the world.\S-So do we!\Then betting on him is our only option.\You're right, we know nothing about him.\But he's the only chance we have to defeat the Titans. response:	Commander, it's time for the decoy operation to begin.
context: I want to win against the Titans...\I want to beat those giant freaks\more than anything in the world.\S-So do we!\Then betting on him is our only option.\You're right, we know nothing about him.\But he's the only chance we have to defeat the Titans.\Commander, it's time for the decoy operation to begin. response:	Ian Dietrich,
context: I want to beat those giant freaks\more than anything in the world.\S-So do we!\Then betting on him is our only option.\You're right, we know nothing about him.\But he's the only chance we have to defeat the Titans.\Commander, it's time for the decoy operation to begin.\Ian Dietrich, response:	Riko Brzenska,
context: more than anything in the world.\S-So do we!\Then betting on him is our only option.\You're right, we know nothing about him.\But he's the only chance we have to defeat the Titans.\Commander, it's time for the decoy operation to begin.\Ian Dietrich,\Riko Brzenska, response:	Mitabi Jarnach...
context: S-So do we!\Then betting on him is our only option.\You're right, we know nothing about him.\But he's the only chance we have to defeat the Titans.\Commander, it's time for the decoy operation to begin.\Ian Dietrich,\Riko Brzenska,\Mitabi Jarnach... response:	You are the Garrison's most elite troops.
context: Then betting on him is our only option.\You're right, we know nothing about him.\But he's the only chance we have to defeat the Titans.\Commander, it's time for the decoy operation to begin.\Ian Dietrich,\Riko Brzenska,\Mitabi Jarnach...\You are the Garrison's most elite troops. response:	I'm entrusting humanity's fate to you.
context: You're right, we know nothing about him.\But he's the only chance we have to defeat the Titans.\Commander, it's time for the decoy operation to begin.\Ian Dietrich,\Riko Brzenska,\Mitabi Jarnach...\You are the Garrison's most elite troops.\I'm entrusting humanity's fate to you. response:	Yes, sir!
context: But he's the only chance we have to defeat the Titans.\Commander, it's time for the decoy operation to begin.\Ian Dietrich,\Riko Brzenska,\Mitabi Jarnach...\You are the Garrison's most elite troops.\I'm entrusting humanity's fate to you.\Yes, sir! response:	Ian, you take command.
context: Commander, it's time for the decoy operation to begin.\Ian Dietrich,\Riko Brzenska,\Mitabi Jarnach...\You are the Garrison's most elite troops.\I'm entrusting humanity's fate to you.\Yes, sir!\Ian, you take command. response:	You have full authority out there.
context: Ian Dietrich,\Riko Brzenska,\Mitabi Jarnach...\You are the Garrison's most elite troops.\I'm entrusting humanity's fate to you.\Yes, sir!\Ian, you take command.\You have full authority out there. response:	Me?
context: Riko Brzenska,\Mitabi Jarnach...\You are the Garrison's most elite troops.\I'm entrusting humanity's fate to you.\Yes, sir!\Ian, you take command.\You have full authority out there.\Me? response:	I have no objections.
context: Mitabi Jarnach...\You are the Garrison's most elite troops.\I'm entrusting humanity's fate to you.\Yes, sir!\Ian, you take command.\You have full authority out there.\Me?\I have no objections. response:	Nor do I.
context: You are the Garrison's most elite troops.\I'm entrusting humanity's fate to you.\Yes, sir!\Ian, you take command.\You have full authority out there.\Me?\I have no objections.\Nor do I. response:	But I'm not capable...
context: I'm entrusting humanity's fate to you.\Yes, sir!\Ian, you take command.\You have full authority out there.\Me?\I have no objections.\Nor do I.\But I'm not capable... response:	Don't worry.
context: Yes, sir!\Ian, you take command.\You have full authority out there.\Me?\I have no objections.\Nor do I.\But I'm not capable...\Don't worry. response:	You're a man who knows his drinks.
context: Ian, you take command.\You have full authority out there.\Me?\I have no objections.\Nor do I.\But I'm not capable...\Don't worry.\You're a man who knows his drinks. response:	You're well-acquainted with drink both bitter and sweet.
context: You have full authority out there.\Me?\I have no objections.\Nor do I.\But I'm not capable...\Don't worry.\You're a man who knows his drinks.\You're well-acquainted with drink both bitter and sweet. response:	I'm counting on you!
context: Me?\I have no objections.\Nor do I.\But I'm not capable...\Don't worry.\You're a man who knows his drinks.\You're well-acquainted with drink both bitter and sweet.\I'm counting on you! response:	Yes, sir!
context: I have no objections.\Nor do I.\But I'm not capable...\Don't worry.\You're a man who knows his drinks.\You're well-acquainted with drink both bitter and sweet.\I'm counting on you!\Yes, sir! response:	Eren, I'm sorry...
context: Nor do I.\But I'm not capable...\Don't worry.\You're a man who knows his drinks.\You're well-acquainted with drink both bitter and sweet.\I'm counting on you!\Yes, sir!\Eren, I'm sorry... response:	I ended up making you responsible for everything.
context: But I'm not capable...\Don't worry.\You're a man who knows his drinks.\You're well-acquainted with drink both bitter and sweet.\I'm counting on you!\Yes, sir!\Eren, I'm sorry...\I ended up making you responsible for everything. response:	It's like I said before.
context: Don't worry.\You're a man who knows his drinks.\You're well-acquainted with drink both bitter and sweet.\I'm counting on you!\Yes, sir!\Eren, I'm sorry...\I ended up making you responsible for everything.\It's like I said before. response:	You have the ability to find the right answer.
context: You're a man who knows his drinks.\You're well-acquainted with drink both bitter and sweet.\I'm counting on you!\Yes, sir!\Eren, I'm sorry...\I ended up making you responsible for everything.\It's like I said before.\You have the ability to find the right answer. response:	I believe in that.
context: You're well-acquainted with drink both bitter and sweet.\I'm counting on you!\Yes, sir!\Eren, I'm sorry...\I ended up making you responsible for everything.\It's like I said before.\You have the ability to find the right answer.\I believe in that. response:	Eren, I'm going to
context: I'm counting on you!\Yes, sir!\Eren, I'm sorry...\I ended up making you responsible for everything.\It's like I said before.\You have the ability to find the right answer.\I believe in that.\Eren, I'm going to response:	Don't tell me you're going to come with me.
context: Yes, sir!\Eren, I'm sorry...\I ended up making you responsible for everything.\It's like I said before.\You have the ability to find the right answer.\I believe in that.\Eren, I'm going to\Don't tell me you're going to come with me. response:	You've been assigned to the decoy team.
context: Eren, I'm sorry...\I ended up making you responsible for everything.\It's like I said before.\You have the ability to find the right answer.\I believe in that.\Eren, I'm going to\Don't tell me you're going to come with me.\You've been assigned to the decoy team. response:	But I can't leave you alone...
context: I ended up making you responsible for everything.\It's like I said before.\You have the ability to find the right answer.\I believe in that.\Eren, I'm going to\Don't tell me you're going to come with me.\You've been assigned to the decoy team.\But I can't leave you alone... response:	If you're alone, you'll
context: It's like I said before.\You have the ability to find the right answer.\I believe in that.\Eren, I'm going to\Don't tell me you're going to come with me.\You've been assigned to the decoy team.\But I can't leave you alone...\If you're alone, you'll response:	Enough!
context: You have the ability to find the right answer.\I believe in that.\Eren, I'm going to\Don't tell me you're going to come with me.\You've been assigned to the decoy team.\But I can't leave you alone...\If you're alone, you'll\Enough! response:	I'm not your little brother or a child...
context: I believe in that.\Eren, I'm going to\Don't tell me you're going to come with me.\You've been assigned to the decoy team.\But I can't leave you alone...\If you're alone, you'll\Enough!\I'm not your little brother or a child... response:	I told you that!
context: Eren, I'm going to\Don't tell me you're going to come with me.\You've been assigned to the decoy team.\But I can't leave you alone...\If you're alone, you'll\Enough!\I'm not your little brother or a child...\I told you that! response:	Ackerman,
context: Don't tell me you're going to come with me.\You've been assigned to the decoy team.\But I can't leave you alone...\If you're alone, you'll\Enough!\I'm not your little brother or a child...\I told you that!\Ackerman, response:	join the elite force protecting Jaeger.
context: You've been assigned to the decoy team.\But I can't leave you alone...\If you're alone, you'll\Enough!\I'm not your little brother or a child...\I told you that!\Ackerman,\join the elite force protecting Jaeger. response:	We need your skill.
context: But I can't leave you alone...\If you're alone, you'll\Enough!\I'm not your little brother or a child...\I told you that!\Ackerman,\join the elite force protecting Jaeger.\We need your skill. response:	Let's go... It's time!
context: If you're alone, you'll\Enough!\I'm not your little brother or a child...\I told you that!\Ackerman,\join the elite force protecting Jaeger.\We need your skill.\Let's go... It's time! response:	Bye, Armin.
context: Enough!\I'm not your little brother or a child...\I told you that!\Ackerman,\join the elite force protecting Jaeger.\We need your skill.\Let's go... It's time!\Bye, Armin. response:	Don't die.
context: I'm not your little brother or a child...\I told you that!\Ackerman,\join the elite force protecting Jaeger.\We need your skill.\Let's go... It's time!\Bye, Armin.\Don't die. response:	Yeah, you neither.
context: I told you that!\Ackerman,\join the elite force protecting Jaeger.\We need your skill.\Let's go... It's time!\Bye, Armin.\Don't die.\Yeah, you neither. response:	A top-secret human weapon, was it?
context: Ackerman,\join the elite force protecting Jaeger.\We need your skill.\Let's go... It's time!\Bye, Armin.\Don't die.\Yeah, you neither.\A top-secret human weapon, was it? response:	As long as you can seal that hole, it doesn't matter.
context: join the elite force protecting Jaeger.\We need your skill.\Let's go... It's time!\Bye, Armin.\Don't die.\Yeah, you neither.\A top-secret human weapon, was it?\As long as you can seal that hole, it doesn't matter. response:	Our priority is to protect you.
context: We need your skill.\Let's go... It's time!\Bye, Armin.\Don't die.\Yeah, you neither.\A top-secret human weapon, was it?\As long as you can seal that hole, it doesn't matter.\Our priority is to protect you. response:	We're counting on you.
context: Let's go... It's time!\Bye, Armin.\Don't die.\Yeah, you neither.\A top-secret human weapon, was it?\As long as you can seal that hole, it doesn't matter.\Our priority is to protect you.\We're counting on you. response:	Yes, sir!
context: Bye, Armin.\Don't die.\Yeah, you neither.\A top-secret human weapon, was it?\As long as you can seal that hole, it doesn't matter.\Our priority is to protect you.\We're counting on you.\Yes, sir! response:	Eren, are you feeling okay?
context: Don't die.\Yeah, you neither.\A top-secret human weapon, was it?\As long as you can seal that hole, it doesn't matter.\Our priority is to protect you.\We're counting on you.\Yes, sir!\Eren, are you feeling okay? response:	Yeah!
context: Yeah, you neither.\A top-secret human weapon, was it?\As long as you can seal that hole, it doesn't matter.\Our priority is to protect you.\We're counting on you.\Yes, sir!\Eren, are you feeling okay?\Yeah! response:	Eren...
context: A top-secret human weapon, was it?\As long as you can seal that hole, it doesn't matter.\Our priority is to protect you.\We're counting on you.\Yes, sir!\Eren, are you feeling okay?\Yeah!\Eren... response:	I said I'm fine!
context: As long as you can seal that hole, it doesn't matter.\Our priority is to protect you.\We're counting on you.\Yes, sir!\Eren, are you feeling okay?\Yeah!\Eren...\I said I'm fine! response:	Much better than when we were surrounded.
context: Our priority is to protect you.\We're counting on you.\Yes, sir!\Eren, are you feeling okay?\Yeah!\Eren...\I said I'm fine!\Much better than when we were surrounded. response:	We aren't playing house here, Jaeger.
context: We're counting on you.\Yes, sir!\Eren, are you feeling okay?\Yeah!\Eren...\I said I'm fine!\Much better than when we were surrounded.\We aren't playing house here, Jaeger. response:	I didn't mean...
context: Yes, sir!\Eren, are you feeling okay?\Yeah!\Eren...\I said I'm fine!\Much better than when we were surrounded.\We aren't playing house here, Jaeger.\I didn't mean... response:	I can't believe we have to
context: Eren, are you feeling okay?\Yeah!\Eren...\I said I'm fine!\Much better than when we were surrounded.\We aren't playing house here, Jaeger.\I didn't mean...\I can't believe we have to response:	leave humanity's fate up to a spoiled kid like you.
context: Yeah!\Eren...\I said I'm fine!\Much better than when we were surrounded.\We aren't playing house here, Jaeger.\I didn't mean...\I can't believe we have to\leave humanity's fate up to a spoiled kid like you. response:	Enough, guys!
context: Eren...\I said I'm fine!\Much better than when we were surrounded.\We aren't playing house here, Jaeger.\I didn't mean...\I can't believe we have to\leave humanity's fate up to a spoiled kid like you.\Enough, guys! response:	We'll soon reach the shortest route to the boulder.
context: I said I'm fine!\Much better than when we were surrounded.\We aren't playing house here, Jaeger.\I didn't mean...\I can't believe we have to\leave humanity's fate up to a spoiled kid like you.\Enough, guys!\We'll soon reach the shortest route to the boulder. response:	I'm not seeing any Titans...
context: Much better than when we were surrounded.\We aren't playing house here, Jaeger.\I didn't mean...\I can't believe we have to\leave humanity's fate up to a spoiled kid like you.\Enough, guys!\We'll soon reach the shortest route to the boulder.\I'm not seeing any Titans... response:	Everyone must have succeeded in luring them away.
context: We aren't playing house here, Jaeger.\I didn't mean...\I can't believe we have to\leave humanity's fate up to a spoiled kid like you.\Enough, guys!\We'll soon reach the shortest route to the boulder.\I'm not seeing any Titans...\Everyone must have succeeded in luring them away. response:	Listen!
context: I didn't mean...\I can't believe we have to\leave humanity's fate up to a spoiled kid like you.\Enough, guys!\We'll soon reach the shortest route to the boulder.\I'm not seeing any Titans...\Everyone must have succeeded in luring them away.\Listen! response:	You only need to get them to the edge of town!
context: I can't believe we have to\leave humanity's fate up to a spoiled kid like you.\Enough, guys!\We'll soon reach the shortest route to the boulder.\I'm not seeing any Titans...\Everyone must have succeeded in luring them away.\Listen!\You only need to get them to the edge of town! response:	Avoid unnecessary combat!
context: leave humanity's fate up to a spoiled kid like you.\Enough, guys!\We'll soon reach the shortest route to the boulder.\I'm not seeing any Titans...\Everyone must have succeeded in luring them away.\Listen!\You only need to get them to the edge of town!\Avoid unnecessary combat! response:	Listen, Jaeger.
context: Enough, guys!\We'll soon reach the shortest route to the boulder.\I'm not seeing any Titans...\Everyone must have succeeded in luring them away.\Listen!\You only need to get them to the edge of town!\Avoid unnecessary combat!\Listen, Jaeger. response:	During this operation, more than just a few will die.
context: We'll soon reach the shortest route to the boulder.\I'm not seeing any Titans...\Everyone must have succeeded in luring them away.\Listen!\You only need to get them to the edge of town!\Avoid unnecessary combat!\Listen, Jaeger.\During this operation, more than just a few will die. response:	For you.
context: I'm not seeing any Titans...\Everyone must have succeeded in luring them away.\Listen!\You only need to get them to the edge of town!\Avoid unnecessary combat!\Listen, Jaeger.\During this operation, more than just a few will die.\For you. response:	They will be our fellows, ranked both above and below us.
context: Everyone must have succeeded in luring them away.\Listen!\You only need to get them to the edge of town!\Avoid unnecessary combat!\Listen, Jaeger.\During this operation, more than just a few will die.\For you.\They will be our fellows, ranked both above and below us. response:	As soldiers, they're prepared to die, of course.
context: Listen!\You only need to get them to the edge of town!\Avoid unnecessary combat!\Listen, Jaeger.\During this operation, more than just a few will die.\For you.\They will be our fellows, ranked both above and below us.\As soldiers, they're prepared to die, of course. response:	But they are not pawns without a voice.
context: You only need to get them to the edge of town!\Avoid unnecessary combat!\Listen, Jaeger.\During this operation, more than just a few will die.\For you.\They will be our fellows, ranked both above and below us.\As soldiers, they're prepared to die, of course.\But they are not pawns without a voice. response:	Wait.
context: Avoid unnecessary combat!\Listen, Jaeger.\During this operation, more than just a few will die.\For you.\They will be our fellows, ranked both above and below us.\As soldiers, they're prepared to die, of course.\But they are not pawns without a voice.\Wait. response:	Not yet.
context: Listen, Jaeger.\During this operation, more than just a few will die.\For you.\They will be our fellows, ranked both above and below us.\As soldiers, they're prepared to die, of course.\But they are not pawns without a voice.\Wait.\Not yet. response:	A little more...
context: During this operation, more than just a few will die.\For you.\They will be our fellows, ranked both above and below us.\As soldiers, they're prepared to die, of course.\But they are not pawns without a voice.\Wait.\Not yet.\A little more... response:	Go!
context: For you.\They will be our fellows, ranked both above and below us.\As soldiers, they're prepared to die, of course.\But they are not pawns without a voice.\Wait.\Not yet.\A little more...\Go! response:	They have names and families.
context: They will be our fellows, ranked both above and below us.\As soldiers, they're prepared to die, of course.\But they are not pawns without a voice.\Wait.\Not yet.\A little more...\Go!\They have names and families. response:	And all the feelings that those entail.
context: As soldiers, they're prepared to die, of course.\But they are not pawns without a voice.\Wait.\Not yet.\A little more...\Go!\They have names and families.\And all the feelings that those entail. response:	Alyosha, Dominic, Phine, Isabel,
context: But they are not pawns without a voice.\Wait.\Not yet.\A little more...\Go!\They have names and families.\And all the feelings that those entail.\Alyosha, Dominic, Phine, Isabel, response:	Ludwig, Martina, Guido, Hans...
context: Wait.\Not yet.\A little more...\Go!\They have names and families.\And all the feelings that those entail.\Alyosha, Dominic, Phine, Isabel,\Ludwig, Martina, Guido, Hans... response:	They're all humans as alive as either of us.
context: Not yet.\A little more...\Go!\They have names and families.\And all the feelings that those entail.\Alyosha, Dominic, Phine, Isabel,\Ludwig, Martina, Guido, Hans...\They're all humans as alive as either of us. response:	I've known some of them since my trainee days.
context: A little more...\Go!\They have names and families.\And all the feelings that those entail.\Alyosha, Dominic, Phine, Isabel,\Ludwig, Martina, Guido, Hans...\They're all humans as alive as either of us.\I've known some of them since my trainee days. response:	And today, many will die for you.
context: Go!\They have names and families.\And all the feelings that those entail.\Alyosha, Dominic, Phine, Isabel,\Ludwig, Martina, Guido, Hans...\They're all humans as alive as either of us.\I've known some of them since my trainee days.\And today, many will die for you. response:	You have a responsibility to ensure that their deaths will mean something.
context: They have names and families.\And all the feelings that those entail.\Alyosha, Dominic, Phine, Isabel,\Ludwig, Martina, Guido, Hans...\They're all humans as alive as either of us.\I've known some of them since my trainee days.\And today, many will die for you.\You have a responsibility to ensure that their deaths will mean something. response:	No matter what happens.
context: And all the feelings that those entail.\Alyosha, Dominic, Phine, Isabel,\Ludwig, Martina, Guido, Hans...\They're all humans as alive as either of us.\I've known some of them since my trainee days.\And today, many will die for you.\You have a responsibility to ensure that their deaths will mean something.\No matter what happens. response:	Never let yourself forget that.
context: Alyosha, Dominic, Phine, Isabel,\Ludwig, Martina, Guido, Hans...\They're all humans as alive as either of us.\I've known some of them since my trainee days.\And today, many will die for you.\You have a responsibility to ensure that their deaths will mean something.\No matter what happens.\Never let yourself forget that. response:	And be prepared to die for that responsibility.
context: Ludwig, Martina, Guido, Hans...\They're all humans as alive as either of us.\I've known some of them since my trainee days.\And today, many will die for you.\You have a responsibility to ensure that their deaths will mean something.\No matter what happens.\Never let yourself forget that.\And be prepared to die for that responsibility. response:	Right!
context: They're all humans as alive as either of us.\I've known some of them since my trainee days.\And today, many will die for you.\You have a responsibility to ensure that their deaths will mean something.\No matter what happens.\Never let yourself forget that.\And be prepared to die for that responsibility.\Right! response:	I'll do it...
context: I've known some of them since my trainee days.\And today, many will die for you.\You have a responsibility to ensure that their deaths will mean something.\No matter what happens.\Never let yourself forget that.\And be prepared to die for that responsibility.\Right!\I'll do it... response:	I'll make this happen!
context: And today, many will die for you.\You have a responsibility to ensure that their deaths will mean something.\No matter what happens.\Never let yourself forget that.\And be prepared to die for that responsibility.\Right!\I'll do it...\I'll make this happen! response:	Since the Titans appeared, humanity has never won against them.
context: You have a responsibility to ensure that their deaths will mean something.\No matter what happens.\Never let yourself forget that.\And be prepared to die for that responsibility.\Right!\I'll do it...\I'll make this happen!\Since the Titans appeared, humanity has never won against them. response:	Their continuous advance has meant
context: No matter what happens.\Never let yourself forget that.\And be prepared to die for that responsibility.\Right!\I'll do it...\I'll make this happen!\Since the Titans appeared, humanity has never won against them.\Their continuous advance has meant response:	humanity's continuous retreat and loss of territory.
context: Never let yourself forget that.\And be prepared to die for that responsibility.\Right!\I'll do it...\I'll make this happen!\Since the Titans appeared, humanity has never won against them.\Their continuous advance has meant\humanity's continuous retreat and loss of territory. response:	But when this mission succeeds,
context: And be prepared to die for that responsibility.\Right!\I'll do it...\I'll make this happen!\Since the Titans appeared, humanity has never won against them.\Their continuous advance has meant\humanity's continuous retreat and loss of territory.\But when this mission succeeds, response:	humanity will have retaken its territory from them
context: Right!\I'll do it...\I'll make this happen!\Since the Titans appeared, humanity has never won against them.\Their continuous advance has meant\humanity's continuous retreat and loss of territory.\But when this mission succeeds,\humanity will have retaken its territory from them response:	for the very first time.
context: I'll do it...\I'll make this happen!\Since the Titans appeared, humanity has never won against them.\Their continuous advance has meant\humanity's continuous retreat and loss of territory.\But when this mission succeeds,\humanity will have retaken its territory from them\for the very first time. response:	Right here.
context: I'll make this happen!\Since the Titans appeared, humanity has never won against them.\Their continuous advance has meant\humanity's continuous retreat and loss of territory.\But when this mission succeeds,\humanity will have retaken its territory from them\for the very first time.\Right here. response:	Let's go!
context: Since the Titans appeared, humanity has never won against them.\Their continuous advance has meant\humanity's continuous retreat and loss of territory.\But when this mission succeeds,\humanity will have retaken its territory from them\for the very first time.\Right here.\Let's go! response:	This will be humanity's first victory against the Titans!
context: Their continuous advance has meant\humanity's continuous retreat and loss of territory.\But when this mission succeeds,\humanity will have retaken its territory from them\for the very first time.\Right here.\Let's go!\This will be humanity's first victory against the Titans! response:	Green smoke round, confirmed.
context: humanity's continuous retreat and loss of territory.\But when this mission succeeds,\humanity will have retaken its territory from them\for the very first time.\Right here.\Let's go!\This will be humanity's first victory against the Titans!\Green smoke round, confirmed. response:	The elite force has begun the mission.
context: But when this mission succeeds,\humanity will have retaken its territory from them\for the very first time.\Right here.\Let's go!\This will be humanity's first victory against the Titans!\Green smoke round, confirmed.\The elite force has begun the mission. response:	Compared to all that humanity has lost, it may seem insignificant.
context: humanity will have retaken its territory from them\for the very first time.\Right here.\Let's go!\This will be humanity's first victory against the Titans!\Green smoke round, confirmed.\The elite force has begun the mission.\Compared to all that humanity has lost, it may seem insignificant. response:	But for humanity, that step will be a great advance in our attack on the Titans!
context: for the very first time.\Right here.\Let's go!\This will be humanity's first victory against the Titans!\Green smoke round, confirmed.\The elite force has begun the mission.\Compared to all that humanity has lost, it may seem insignificant.\But for humanity, that step will be a great advance in our attack on the Titans! response:	I doubt a human of that size
context: Right here.\Let's go!\This will be humanity's first victory against the Titans!\Green smoke round, confirmed.\The elite force has begun the mission.\Compared to all that humanity has lost, it may seem insignificant.\But for humanity, that step will be a great advance in our attack on the Titans!\I doubt a human of that size response:	could lift that boulder.
context: Let's go!\This will be humanity's first victory against the Titans!\Green smoke round, confirmed.\The elite force has begun the mission.\Compared to all that humanity has lost, it may seem insignificant.\But for humanity, that step will be a great advance in our attack on the Titans!\I doubt a human of that size\could lift that boulder. response:	But I believe Eren has the strength to lead us forward...
context: This will be humanity's first victory against the Titans!\Green smoke round, confirmed.\The elite force has begun the mission.\Compared to all that humanity has lost, it may seem insignificant.\But for humanity, that step will be a great advance in our attack on the Titans!\I doubt a human of that size\could lift that boulder.\But I believe Eren has the strength to lead us forward... response:	Eren?
context: Green smoke round, confirmed.\The elite force has begun the mission.\Compared to all that humanity has lost, it may seem insignificant.\But for humanity, that step will be a great advance in our attack on the Titans!\I doubt a human of that size\could lift that boulder.\But I believe Eren has the strength to lead us forward...\Eren? response:	The operation to retake Trost has begun.
context: The elite force has begun the mission.\Compared to all that humanity has lost, it may seem insignificant.\But for humanity, that step will be a great advance in our attack on the Titans!\I doubt a human of that size\could lift that boulder.\But I believe Eren has the strength to lead us forward...\Eren?\The operation to retake Trost has begun. response:	As many soldiers die,
context: Compared to all that humanity has lost, it may seem insignificant.\But for humanity, that step will be a great advance in our attack on the Titans!\I doubt a human of that size\could lift that boulder.\But I believe Eren has the strength to lead us forward...\Eren?\The operation to retake Trost has begun.\As many soldiers die, response:	Eren, now a Titan, loses control
context: But for humanity, that step will be a great advance in our attack on the Titans!\I doubt a human of that size\could lift that boulder.\But I believe Eren has the strength to lead us forward...\Eren?\The operation to retake Trost has begun.\As many soldiers die,\Eren, now a Titan, loses control response:	and destroys his own head.
context: I doubt a human of that size\could lift that boulder.\But I believe Eren has the strength to lead us forward...\Eren?\The operation to retake Trost has begun.\As many soldiers die,\Eren, now a Titan, loses control\and destroys his own head. response:	The operation seems to have failed, but...
context: could lift that boulder.\But I believe Eren has the strength to lead us forward...\Eren?\The operation to retake Trost has begun.\As many soldiers die,\Eren, now a Titan, loses control\and destroys his own head.\The operation seems to have failed, but... response:	Wound The Battle for Trost (8)
