context: It's been five days since I debuted as a professional hero. response:	There haven't been any serious incidents so far.
context: Indeed, we mustn't let our guard down.\But, why here? Why the increase in monsters here?\That's the mystery.\A colony of monsters here is naturally producing more of them.\Or perhaps a queen exists, birthing more of her kind.\Of course I have no proof yet,\but there is something to this ghost town\Or rather, something in it. response:	Of that you can be sure.
context: But, why here? Why the increase in monsters here?\That's the mystery.\A colony of monsters here is naturally producing more of them.\Or perhaps a queen exists, birthing more of her kind.\Of course I have no proof yet,\but there is something to this ghost town\Or rather, something in it.\Of that you can be sure. response:	The proximity alarm?
context: That's the mystery.\A colony of monsters here is naturally producing more of them.\Or perhaps a queen exists, birthing more of her kind.\Of course I have no proof yet,\but there is something to this ghost town\Or rather, something in it.\Of that you can be sure.\The proximity alarm? response:	If we can hunt down this mysterious being,
context: A colony of monsters here is naturally producing more of them.\Or perhaps a queen exists, birthing more of her kind.\Of course I have no proof yet,\but there is something to this ghost town\Or rather, something in it.\Of that you can be sure.\The proximity alarm?\If we can hunt down this mysterious being, response:	we'll go straight to the top of the rankings.
context: Or perhaps a queen exists, birthing more of her kind.\Of course I have no proof yet,\but there is something to this ghost town\Or rather, something in it.\Of that you can be sure.\The proximity alarm?\If we can hunt down this mysterious being,\we'll go straight to the top of the rankings. response:	That's true.
context: Of course I have no proof yet,\but there is something to this ghost town\Or rather, something in it.\Of that you can be sure.\The proximity alarm?\If we can hunt down this mysterious being,\we'll go straight to the top of the rankings.\That's true. response:	We can't let Mr. Amai Mask remain first for
context: but there is something to this ghost town\Or rather, something in it.\Of that you can be sure.\The proximity alarm?\If we can hunt down this mysterious being,\we'll go straight to the top of the rankings.\That's true.\We can't let Mr. Amai Mask remain first for response:	Something's there?! Something's there?!
context: Or rather, something in it.\Of that you can be sure.\The proximity alarm?\If we can hunt down this mysterious being,\we'll go straight to the top of the rankings.\That's true.\We can't let Mr. Amai Mask remain first for\Something's there?! Something's there?! response:	Was that a monster?
context: Of that you can be sure.\The proximity alarm?\If we can hunt down this mysterious being,\we'll go straight to the top of the rankings.\That's true.\We can't let Mr. Amai Mask remain first for\Something's there?! Something's there?!\Was that a monster? response:	No way to be sure
context: The proximity alarm?\If we can hunt down this mysterious being,\we'll go straight to the top of the rankings.\That's true.\We can't let Mr. Amai Mask remain first for\Something's there?! Something's there?!\Was that a monster?\No way to be sure response:	But it's hard to imagine a human still living in these conditions.
context: If we can hunt down this mysterious being,\we'll go straight to the top of the rankings.\That's true.\We can't let Mr. Amai Mask remain first for\Something's there?! Something's there?!\Was that a monster?\No way to be sure\But it's hard to imagine a human still living in these conditions. response:	Let's pursue it!
context: we'll go straight to the top of the rankings.\That's true.\We can't let Mr. Amai Mask remain first for\Something's there?! Something's there?!\Was that a monster?\No way to be sure\But it's hard to imagine a human still living in these conditions.\Let's pursue it! response:	Seems they are not after us.
context: That's true.\We can't let Mr. Amai Mask remain first for\Something's there?! Something's there?!\Was that a monster?\No way to be sure\But it's hard to imagine a human still living in these conditions.\Let's pursue it!\Seems they are not after us. response:	Can this be the place I heard about?
context: We can't let Mr. Amai Mask remain first for\Something's there?! Something's there?!\Was that a monster?\No way to be sure\But it's hard to imagine a human still living in these conditions.\Let's pursue it!\Seems they are not after us.\Can this be the place I heard about? response:	Sure don't seem like it
context: Something's there?! Something's there?!\Was that a monster?\No way to be sure\But it's hard to imagine a human still living in these conditions.\Let's pursue it!\Seems they are not after us.\Can this be the place I heard about?\Sure don't seem like it response:	Aw man, I came all this way. Isn't anyone around?
context: Was that a monster?\No way to be sure\But it's hard to imagine a human still living in these conditions.\Let's pursue it!\Seems they are not after us.\Can this be the place I heard about?\Sure don't seem like it\Aw man, I came all this way. Isn't anyone around? response:	A monster. It popped up out of nowhere.
context: No way to be sure\But it's hard to imagine a human still living in these conditions.\Let's pursue it!\Seems they are not after us.\Can this be the place I heard about?\Sure don't seem like it\Aw man, I came all this way. Isn't anyone around?\A monster. It popped up out of nowhere. response:	Golden Ball, are you ready?
context: But it's hard to imagine a human still living in these conditions.\Let's pursue it!\Seems they are not after us.\Can this be the place I heard about?\Sure don't seem like it\Aw man, I came all this way. Isn't anyone around?\A monster. It popped up out of nowhere.\Golden Ball, are you ready? response:	Hell yes.
context: Let's pursue it!\Seems they are not after us.\Can this be the place I heard about?\Sure don't seem like it\Aw man, I came all this way. Isn't anyone around?\A monster. It popped up out of nowhere.\Golden Ball, are you ready?\Hell yes. response:	Victory to the swift!
context: Seems they are not after us.\Can this be the place I heard about?\Sure don't seem like it\Aw man, I came all this way. Isn't anyone around?\A monster. It popped up out of nowhere.\Golden Ball, are you ready?\Hell yes.\Victory to the swift! response:	Hey, people!
context: Can this be the place I heard about?\Sure don't seem like it\Aw man, I came all this way. Isn't anyone around?\A monster. It popped up out of nowhere.\Golden Ball, are you ready?\Hell yes.\Victory to the swift!\Hey, people! response:	I can blast through a 20mm steel plate
context: Sure don't seem like it\Aw man, I came all this way. Isn't anyone around?\A monster. It popped up out of nowhere.\Golden Ball, are you ready?\Hell yes.\Victory to the swift!\Hey, people!\I can blast through a 20mm steel plate response:	with one of my shape-memory golden bullets!
context: Aw man, I came all this way. Isn't anyone around?\A monster. It popped up out of nowhere.\Golden Ball, are you ready?\Hell yes.\Victory to the swift!\Hey, people!\I can blast through a 20mm steel plate\with one of my shape-memory golden bullets! response:	Eat this!
context: A monster. It popped up out of nowhere.\Golden Ball, are you ready?\Hell yes.\Victory to the swift!\Hey, people!\I can blast through a 20mm steel plate\with one of my shape-memory golden bullets!\Eat this! response:	He flicked it away like nothing.
context: Golden Ball, are you ready?\Hell yes.\Victory to the swift!\Hey, people!\I can blast through a 20mm steel plate\with one of my shape-memory golden bullets!\Eat this!\He flicked it away like nothing. response:	Golden Ball!
context: Hell yes.\Victory to the swift!\Hey, people!\I can blast through a 20mm steel plate\with one of my shape-memory golden bullets!\Eat this!\He flicked it away like nothing.\Golden Ball! response:	Wow!
context: Victory to the swift!\Hey, people!\I can blast through a 20mm steel plate\with one of my shape-memory golden bullets!\Eat this!\He flicked it away like nothing.\Golden Ball!\Wow! response:	Tomboy
context: Hey, people!\I can blast through a 20mm steel plate\with one of my shape-memory golden bullets!\Eat this!\He flicked it away like nothing.\Golden Ball!\Wow!\Tomboy response:	thrust!
context: I can blast through a 20mm steel plate\with one of my shape-memory golden bullets!\Eat this!\He flicked it away like nothing.\Golden Ball!\Wow!\Tomboy\thrust! response:	It slipped past my Tomboy?
context: with one of my shape-memory golden bullets!\Eat this!\He flicked it away like nothing.\Golden Ball!\Wow!\Tomboy\thrust!\It slipped past my Tomboy? response:	Not bad.
context: Eat this!\He flicked it away like nothing.\Golden Ball!\Wow!\Tomboy\thrust!\It slipped past my Tomboy?\Not bad. response:	Those tentacles
context: He flicked it away like nothing.\Golden Ball!\Wow!\Tomboy\thrust!\It slipped past my Tomboy?\Not bad.\Those tentacles response:	From the way they react, they're tough as steel.
context: Golden Ball!\Wow!\Tomboy\thrust!\It slipped past my Tomboy?\Not bad.\Those tentacles\From the way they react, they're tough as steel. response:	A monster that can use its infinite number of tentacles
context: Wow!\Tomboy\thrust!\It slipped past my Tomboy?\Not bad.\Those tentacles\From the way they react, they're tough as steel.\A monster that can use its infinite number of tentacles response:	like steel whips
context: Tomboy\thrust!\It slipped past my Tomboy?\Not bad.\Those tentacles\From the way they react, they're tough as steel.\A monster that can use its infinite number of tentacles\like steel whips response:	Such power!
context: thrust!\It slipped past my Tomboy?\Not bad.\Those tentacles\From the way they react, they're tough as steel.\A monster that can use its infinite number of tentacles\like steel whips\Such power! response:	I must call in reinforcements from the Association.
context: It slipped past my Tomboy?\Not bad.\Those tentacles\From the way they react, they're tough as steel.\A monster that can use its infinite number of tentacles\like steel whips\Such power!\I must call in reinforcements from the Association. response:	May I ask if you were born in this neighborhood?
context: Not bad.\Those tentacles\From the way they react, they're tough as steel.\A monster that can use its infinite number of tentacles\like steel whips\Such power!\I must call in reinforcements from the Association.\May I ask if you were born in this neighborhood? response:	Nah, I'm from out of town.
context: Those tentacles\From the way they react, they're tough as steel.\A monster that can use its infinite number of tentacles\like steel whips\Such power!\I must call in reinforcements from the Association.\May I ask if you were born in this neighborhood?\Nah, I'm from out of town. response:	I heard a bunch of crazy strong monsters were all getting together here.
context: From the way they react, they're tough as steel.\A monster that can use its infinite number of tentacles\like steel whips\Such power!\I must call in reinforcements from the Association.\May I ask if you were born in this neighborhood?\Nah, I'm from out of town.\I heard a bunch of crazy strong monsters were all getting together here. response:	Looks like it was just a rumor though.
context: A monster that can use its infinite number of tentacles\like steel whips\Such power!\I must call in reinforcements from the Association.\May I ask if you were born in this neighborhood?\Nah, I'm from out of town.\I heard a bunch of crazy strong monsters were all getting together here.\Looks like it was just a rumor though. response:	But now,
context: like steel whips\Such power!\I must call in reinforcements from the Association.\May I ask if you were born in this neighborhood?\Nah, I'm from out of town.\I heard a bunch of crazy strong monsters were all getting together here.\Looks like it was just a rumor though.\But now, response:	I feel like it'd be kinda fun to stick around and make the rumor true.
context: Such power!\I must call in reinforcements from the Association.\May I ask if you were born in this neighborhood?\Nah, I'm from out of town.\I heard a bunch of crazy strong monsters were all getting together here.\Looks like it was just a rumor though.\But now,\I feel like it'd be kinda fun to stick around and make the rumor true. response:	The Ghost Town Monster
context: I must call in reinforcements from the Association.\May I ask if you were born in this neighborhood?\Nah, I'm from out of town.\I heard a bunch of crazy strong monsters were all getting together here.\Looks like it was just a rumor though.\But now,\I feel like it'd be kinda fun to stick around and make the rumor true.\The Ghost Town Monster response:	It's got a nice ring to it!
context: May I ask if you were born in this neighborhood?\Nah, I'm from out of town.\I heard a bunch of crazy strong monsters were all getting together here.\Looks like it was just a rumor though.\But now,\I feel like it'd be kinda fun to stick around and make the rumor true.\The Ghost Town Monster\It's got a nice ring to it! response:	We have a backup request from the heroes dispatched to City Z.
context: Nah, I'm from out of town.\I heard a bunch of crazy strong monsters were all getting together here.\Looks like it was just a rumor though.\But now,\I feel like it'd be kinda fun to stick around and make the rumor true.\The Ghost Town Monster\It's got a nice ring to it!\We have a backup request from the heroes dispatched to City Z. response:	Class A rank 29, Golden Ball, has been knocked out.
context: I heard a bunch of crazy strong monsters were all getting together here.\Looks like it was just a rumor though.\But now,\I feel like it'd be kinda fun to stick around and make the rumor true.\The Ghost Town Monster\It's got a nice ring to it!\We have a backup request from the heroes dispatched to City Z.\Class A rank 29, Golden Ball, has been knocked out. response:	Class A rank 33, Spring Mustachio, is in trouble.
context: Looks like it was just a rumor though.\But now,\I feel like it'd be kinda fun to stick around and make the rumor true.\The Ghost Town Monster\It's got a nice ring to it!\We have a backup request from the heroes dispatched to City Z.\Class A rank 29, Golden Ball, has been knocked out.\Class A rank 33, Spring Mustachio, is in trouble. response:	They're in the abandoned city.
context: But now,\I feel like it'd be kinda fun to stick around and make the rumor true.\The Ghost Town Monster\It's got a nice ring to it!\We have a backup request from the heroes dispatched to City Z.\Class A rank 29, Golden Ball, has been knocked out.\Class A rank 33, Spring Mustachio, is in trouble.\They're in the abandoned city. response:	Call in all nearby heroes for immediate assistance!
context: I feel like it'd be kinda fun to stick around and make the rumor true.\The Ghost Town Monster\It's got a nice ring to it!\We have a backup request from the heroes dispatched to City Z.\Class A rank 29, Golden Ball, has been knocked out.\Class A rank 33, Spring Mustachio, is in trouble.\They're in the abandoned city.\Call in all nearby heroes for immediate assistance! response:	Class A and above!
context: The Ghost Town Monster\It's got a nice ring to it!\We have a backup request from the heroes dispatched to City Z.\Class A rank 29, Golden Ball, has been knocked out.\Class A rank 33, Spring Mustachio, is in trouble.\They're in the abandoned city.\Call in all nearby heroes for immediate assistance!\Class A and above! response:	See the monster alert for City Z?
context: It's got a nice ring to it!\We have a backup request from the heroes dispatched to City Z.\Class A rank 29, Golden Ball, has been knocked out.\Class A rank 33, Spring Mustachio, is in trouble.\They're in the abandoned city.\Call in all nearby heroes for immediate assistance!\Class A and above!\See the monster alert for City Z? response:	The threat level seems to be Tiger or higher.
context: We have a backup request from the heroes dispatched to City Z.\Class A rank 29, Golden Ball, has been knocked out.\Class A rank 33, Spring Mustachio, is in trouble.\They're in the abandoned city.\Call in all nearby heroes for immediate assistance!\Class A and above!\See the monster alert for City Z?\The threat level seems to be Tiger or higher. response:	Is it the ghost town monster?
context: Class A rank 29, Golden Ball, has been knocked out.\Class A rank 33, Spring Mustachio, is in trouble.\They're in the abandoned city.\Call in all nearby heroes for immediate assistance!\Class A and above!\See the monster alert for City Z?\The threat level seems to be Tiger or higher.\Is it the ghost town monster? response:	They're not sure yet.
context: Class A rank 33, Spring Mustachio, is in trouble.\They're in the abandoned city.\Call in all nearby heroes for immediate assistance!\Class A and above!\See the monster alert for City Z?\The threat level seems to be Tiger or higher.\Is it the ghost town monster?\They're not sure yet. response:	I'll go
context: They're in the abandoned city.\Call in all nearby heroes for immediate assistance!\Class A and above!\See the monster alert for City Z?\The threat level seems to be Tiger or higher.\Is it the ghost town monster?\They're not sure yet.\I'll go response:	I want to catch the tiger by its tail.
context: Call in all nearby heroes for immediate assistance!\Class A and above!\See the monster alert for City Z?\The threat level seems to be Tiger or higher.\Is it the ghost town monster?\They're not sure yet.\I'll go\I want to catch the tiger by its tail. response:	Now I see
context: Class A and above!\See the monster alert for City Z?\The threat level seems to be Tiger or higher.\Is it the ghost town monster?\They're not sure yet.\I'll go\I want to catch the tiger by its tail.\Now I see response:	If it means running into monsters like this all the time
context: See the monster alert for City Z?\The threat level seems to be Tiger or higher.\Is it the ghost town monster?\They're not sure yet.\I'll go\I want to catch the tiger by its tail.\Now I see\If it means running into monsters like this all the time response:	I wouldn't want to live here either.
context: The threat level seems to be Tiger or higher.\Is it the ghost town monster?\They're not sure yet.\I'll go\I want to catch the tiger by its tail.\Now I see\If it means running into monsters like this all the time\I wouldn't want to live here either. response:	Man, boring. This is boring me!
context: Is it the ghost town monster?\They're not sure yet.\I'll go\I want to catch the tiger by its tail.\Now I see\If it means running into monsters like this all the time\I wouldn't want to live here either.\Man, boring. This is boring me! response:	I finally kick a hero's butt and I don't get even a single scream.
context: They're not sure yet.\I'll go\I want to catch the tiger by its tail.\Now I see\If it means running into monsters like this all the time\I wouldn't want to live here either.\Man, boring. This is boring me!\I finally kick a hero's butt and I don't get even a single scream. response:	Now that I think about it, even if I start living here,
context: I'll go\I want to catch the tiger by its tail.\Now I see\If it means running into monsters like this all the time\I wouldn't want to live here either.\Man, boring. This is boring me!\I finally kick a hero's butt and I don't get even a single scream.\Now that I think about it, even if I start living here, response:	I'll never be famous if there's no people.
context: I want to catch the tiger by its tail.\Now I see\If it means running into monsters like this all the time\I wouldn't want to live here either.\Man, boring. This is boring me!\I finally kick a hero's butt and I don't get even a single scream.\Now that I think about it, even if I start living here,\I'll never be famous if there's no people. response:	Guess I'll keep going. Gotta find where they live.
context: Now I see\If it means running into monsters like this all the time\I wouldn't want to live here either.\Man, boring. This is boring me!\I finally kick a hero's butt and I don't get even a single scream.\Now that I think about it, even if I start living here,\I'll never be famous if there's no people.\Guess I'll keep going. Gotta find where they live. response:	There's somebody.
context: If it means running into monsters like this all the time\I wouldn't want to live here either.\Man, boring. This is boring me!\I finally kick a hero's butt and I don't get even a single scream.\Now that I think about it, even if I start living here,\I'll never be famous if there's no people.\Guess I'll keep going. Gotta find where they live.\There's somebody. response:	Another hero?
context: I wouldn't want to live here either.\Man, boring. This is boring me!\I finally kick a hero's butt and I don't get even a single scream.\Now that I think about it, even if I start living here,\I'll never be famous if there's no people.\Guess I'll keep going. Gotta find where they live.\There's somebody.\Another hero? response:	Or a regular guy?
context: Man, boring. This is boring me!\I finally kick a hero's butt and I don't get even a single scream.\Now that I think about it, even if I start living here,\I'll never be famous if there's no people.\Guess I'll keep going. Gotta find where they live.\There's somebody.\Another hero?\Or a regular guy? response:	I thought all the humans cleared out.
context: I finally kick a hero's butt and I don't get even a single scream.\Now that I think about it, even if I start living here,\I'll never be famous if there's no people.\Guess I'll keep going. Gotta find where they live.\There's somebody.\Another hero?\Or a regular guy?\I thought all the humans cleared out. response:	If all those monsters were really around,
context: Now that I think about it, even if I start living here,\I'll never be famous if there's no people.\Guess I'll keep going. Gotta find where they live.\There's somebody.\Another hero?\Or a regular guy?\I thought all the humans cleared out.\If all those monsters were really around, response:	there's no way he could live here
context: I'll never be famous if there's no people.\Guess I'll keep going. Gotta find where they live.\There's somebody.\Another hero?\Or a regular guy?\I thought all the humans cleared out.\If all those monsters were really around,\there's no way he could live here response:	I guess that means it was just a rumor.
context: Guess I'll keep going. Gotta find where they live.\There's somebody.\Another hero?\Or a regular guy?\I thought all the humans cleared out.\If all those monsters were really around,\there's no way he could live here\I guess that means it was just a rumor. response:	Shoot
context: There's somebody.\Another hero?\Or a regular guy?\I thought all the humans cleared out.\If all those monsters were really around,\there's no way he could live here\I guess that means it was just a rumor.\Shoot response:	I forgot to buy konbu soup stock.
context: Another hero?\Or a regular guy?\I thought all the humans cleared out.\If all those monsters were really around,\there's no way he could live here\I guess that means it was just a rumor.\Shoot\I forgot to buy konbu soup stock. response:	Master, I saw a lot of konbu right outside the door.
context: Or a regular guy?\I thought all the humans cleared out.\If all those monsters were really around,\there's no way he could live here\I guess that means it was just a rumor.\Shoot\I forgot to buy konbu soup stock.\Master, I saw a lot of konbu right outside the door. response:	Oh yeah, I just
context: I thought all the humans cleared out.\If all those monsters were really around,\there's no way he could live here\I guess that means it was just a rumor.\Shoot\I forgot to buy konbu soup stock.\Master, I saw a lot of konbu right outside the door.\Oh yeah, I just response:	just happened to get it for cheap.
context: If all those monsters were really around,\there's no way he could live here\I guess that means it was just a rumor.\Shoot\I forgot to buy konbu soup stock.\Master, I saw a lot of konbu right outside the door.\Oh yeah, I just\just happened to get it for cheap. response:	Yes, people say that konbu is good for hair growth,
context: there's no way he could live here\I guess that means it was just a rumor.\Shoot\I forgot to buy konbu soup stock.\Master, I saw a lot of konbu right outside the door.\Oh yeah, I just\just happened to get it for cheap.\Yes, people say that konbu is good for hair growth, response:	but since there is no real scientific proof,
context: I guess that means it was just a rumor.\Shoot\I forgot to buy konbu soup stock.\Master, I saw a lot of konbu right outside the door.\Oh yeah, I just\just happened to get it for cheap.\Yes, people say that konbu is good for hair growth,\but since there is no real scientific proof, response:	its real effects are yet to be confirmed.
context: Shoot\I forgot to buy konbu soup stock.\Master, I saw a lot of konbu right outside the door.\Oh yeah, I just\just happened to get it for cheap.\Yes, people say that konbu is good for hair growth,\but since there is no real scientific proof,\its real effects are yet to be confirmed. response:	I did some research, so I am sure, Master.
context: I forgot to buy konbu soup stock.\Master, I saw a lot of konbu right outside the door.\Oh yeah, I just\just happened to get it for cheap.\Yes, people say that konbu is good for hair growth,\but since there is no real scientific proof,\its real effects are yet to be confirmed.\I did some research, so I am sure, Master. response:	For example, according to this site
context: Master, I saw a lot of konbu right outside the door.\Oh yeah, I just\just happened to get it for cheap.\Yes, people say that konbu is good for hair growth,\but since there is no real scientific proof,\its real effects are yet to be confirmed.\I did some research, so I am sure, Master.\For example, according to this site response:	No one said anything about hair!
context: Oh yeah, I just\just happened to get it for cheap.\Yes, people say that konbu is good for hair growth,\but since there is no real scientific proof,\its real effects are yet to be confirmed.\I did some research, so I am sure, Master.\For example, according to this site\No one said anything about hair! response:	City Z Investigative Report.
context: just happened to get it for cheap.\Yes, people say that konbu is good for hair growth,\but since there is no real scientific proof,\its real effects are yet to be confirmed.\I did some research, so I am sure, Master.\For example, according to this site\No one said anything about hair!\City Z Investigative Report. response:	Nothing noteworthy about the downtown or residential areas.
context: Yes, people say that konbu is good for hair growth,\but since there is no real scientific proof,\its real effects are yet to be confirmed.\I did some research, so I am sure, Master.\For example, according to this site\No one said anything about hair!\City Z Investigative Report.\Nothing noteworthy about the downtown or residential areas. response:	aEDuring our investigation,aE
context: but since there is no real scientific proof,\its real effects are yet to be confirmed.\I did some research, so I am sure, Master.\For example, according to this site\No one said anything about hair!\City Z Investigative Report.\Nothing noteworthy about the downtown or residential areas.\aEDuring our investigation,aE response:	we encountered a ferocious monster in the abandoned area,
context: its real effects are yet to be confirmed.\I did some research, so I am sure, Master.\For example, according to this site\No one said anything about hair!\City Z Investigative Report.\Nothing noteworthy about the downtown or residential areas.\aEDuring our investigation,aE\we encountered a ferocious monster in the abandoned area, response:	but were unable to exterminate it.
context: I did some research, so I am sure, Master.\For example, according to this site\No one said anything about hair!\City Z Investigative Report.\Nothing noteworthy about the downtown or residential areas.\aEDuring our investigation,aE\we encountered a ferocious monster in the abandoned area,\but were unable to exterminate it. response:	We escaped death,
context: For example, according to this site\No one said anything about hair!\City Z Investigative Report.\Nothing noteworthy about the downtown or residential areas.\aEDuring our investigation,aE\we encountered a ferocious monster in the abandoned area,\but were unable to exterminate it.\We escaped death, response:	but the monster we encountered disappeared
context: No one said anything about hair!\City Z Investigative Report.\Nothing noteworthy about the downtown or residential areas.\aEDuring our investigation,aE\we encountered a ferocious monster in the abandoned area,\but were unable to exterminate it.\We escaped death,\but the monster we encountered disappeared response:	and it is possible that it still roams the area.
context: City Z Investigative Report.\Nothing noteworthy about the downtown or residential areas.\aEDuring our investigation,aE\we encountered a ferocious monster in the abandoned area,\but were unable to exterminate it.\We escaped death,\but the monster we encountered disappeared\and it is possible that it still roams the area. response:	Also, according to this monster, there's a rumor that
context: Nothing noteworthy about the downtown or residential areas.\aEDuring our investigation,aE\we encountered a ferocious monster in the abandoned area,\but were unable to exterminate it.\We escaped death,\but the monster we encountered disappeared\and it is possible that it still roams the area.\Also, according to this monster, there's a rumor that response:	powerful monsters already exist in this area.
context: aEDuring our investigation,aE\we encountered a ferocious monster in the abandoned area,\but were unable to exterminate it.\We escaped death,\but the monster we encountered disappeared\and it is possible that it still roams the area.\Also, according to this monster, there's a rumor that\powerful monsters already exist in this area. response:	Sounds like it was pretty brutal.
context: we encountered a ferocious monster in the abandoned area,\but were unable to exterminate it.\We escaped death,\but the monster we encountered disappeared\and it is possible that it still roams the area.\Also, according to this monster, there's a rumor that\powerful monsters already exist in this area.\Sounds like it was pretty brutal. response:	A monster?
context: but were unable to exterminate it.\We escaped death,\but the monster we encountered disappeared\and it is possible that it still roams the area.\Also, according to this monster, there's a rumor that\powerful monsters already exist in this area.\Sounds like it was pretty brutal.\A monster? response:	Yes.
context: We escaped death,\but the monster we encountered disappeared\and it is possible that it still roams the area.\Also, according to this monster, there's a rumor that\powerful monsters already exist in this area.\Sounds like it was pretty brutal.\A monster?\Yes. response:	I think I'll pass this time.
context: but the monster we encountered disappeared\and it is possible that it still roams the area.\Also, according to this monster, there's a rumor that\powerful monsters already exist in this area.\Sounds like it was pretty brutal.\A monster?\Yes.\I think I'll pass this time. response:	See? I told you I should have gone!
context: and it is possible that it still roams the area.\Also, according to this monster, there's a rumor that\powerful monsters already exist in this area.\Sounds like it was pretty brutal.\A monster?\Yes.\I think I'll pass this time.\See? I told you I should have gone! response:	But
context: Also, according to this monster, there's a rumor that\powerful monsters already exist in this area.\Sounds like it was pretty brutal.\A monster?\Yes.\I think I'll pass this time.\See? I told you I should have gone!\But response:	faced with this,
context: powerful monsters already exist in this area.\Sounds like it was pretty brutal.\A monster?\Yes.\I think I'll pass this time.\See? I told you I should have gone!\But\faced with this, response:	I'm sure even you would have had a tough time.
context: Sounds like it was pretty brutal.\A monster?\Yes.\I think I'll pass this time.\See? I told you I should have gone!\But\faced with this,\I'm sure even you would have had a tough time. response:	I would have been fine, idiot!
context: A monster?\Yes.\I think I'll pass this time.\See? I told you I should have gone!\But\faced with this,\I'm sure even you would have had a tough time.\I would have been fine, idiot! response:	The rumor has not been confirmed, but the reinforcements saw signs
context: Yes.\I think I'll pass this time.\See? I told you I should have gone!\But\faced with this,\I'm sure even you would have had a tough time.\I would have been fine, idiot!\The rumor has not been confirmed, but the reinforcements saw signs response:	that point to the existence of some horrible monstrosity.
context: I think I'll pass this time.\See? I told you I should have gone!\But\faced with this,\I'm sure even you would have had a tough time.\I would have been fine, idiot!\The rumor has not been confirmed, but the reinforcements saw signs\that point to the existence of some horrible monstrosity. response:	Holy crap, what is this?
context: See? I told you I should have gone!\But\faced with this,\I'm sure even you would have had a tough time.\I would have been fine, idiot!\The rumor has not been confirmed, but the reinforcements saw signs\that point to the existence of some horrible monstrosity.\Holy crap, what is this? response:	What kind of monster could cause such violence?
context: But\faced with this,\I'm sure even you would have had a tough time.\I would have been fine, idiot!\The rumor has not been confirmed, but the reinforcements saw signs\that point to the existence of some horrible monstrosity.\Holy crap, what is this?\What kind of monster could cause such violence? response:	I'd hate to face off against this thing.
context: faced with this,\I'm sure even you would have had a tough time.\I would have been fine, idiot!\The rumor has not been confirmed, but the reinforcements saw signs\that point to the existence of some horrible monstrosity.\Holy crap, what is this?\What kind of monster could cause such violence?\I'd hate to face off against this thing. response:	Hey, what's this?
context: I'm sure even you would have had a tough time.\I would have been fine, idiot!\The rumor has not been confirmed, but the reinforcements saw signs\that point to the existence of some horrible monstrosity.\Holy crap, what is this?\What kind of monster could cause such violence?\I'd hate to face off against this thing.\Hey, what's this? response:	Is it a part of the monster Spring Mustachio fought?
context: I would have been fine, idiot!\The rumor has not been confirmed, but the reinforcements saw signs\that point to the existence of some horrible monstrosity.\Holy crap, what is this?\What kind of monster could cause such violence?\I'd hate to face off against this thing.\Hey, what's this?\Is it a part of the monster Spring Mustachio fought? response:	There may have been a territorial dispute
context: The rumor has not been confirmed, but the reinforcements saw signs\that point to the existence of some horrible monstrosity.\Holy crap, what is this?\What kind of monster could cause such violence?\I'd hate to face off against this thing.\Hey, what's this?\Is it a part of the monster Spring Mustachio fought?\There may have been a territorial dispute response:	between the monsters
context: that point to the existence of some horrible monstrosity.\Holy crap, what is this?\What kind of monster could cause such violence?\I'd hate to face off against this thing.\Hey, what's this?\Is it a part of the monster Spring Mustachio fought?\There may have been a territorial dispute\between the monsters response:	Seems like there's definitely something here.
context: Holy crap, what is this?\What kind of monster could cause such violence?\I'd hate to face off against this thing.\Hey, what's this?\Is it a part of the monster Spring Mustachio fought?\There may have been a territorial dispute\between the monsters\Seems like there's definitely something here. response:	We must continue our investigation and maintain vigilance over City Z.
context: What kind of monster could cause such violence?\I'd hate to face off against this thing.\Hey, what's this?\Is it a part of the monster Spring Mustachio fought?\There may have been a territorial dispute\between the monsters\Seems like there's definitely something here.\We must continue our investigation and maintain vigilance over City Z. response:	Hey, did you hear?
context: I'd hate to face off against this thing.\Hey, what's this?\Is it a part of the monster Spring Mustachio fought?\There may have been a territorial dispute\between the monsters\Seems like there's definitely something here.\We must continue our investigation and maintain vigilance over City Z.\Hey, did you hear? response:	There are monsters living in the City Z ghost town.
context: Hey, what's this?\Is it a part of the monster Spring Mustachio fought?\There may have been a territorial dispute\between the monsters\Seems like there's definitely something here.\We must continue our investigation and maintain vigilance over City Z.\Hey, did you hear?\There are monsters living in the City Z ghost town. response:	Yeah, rumor has it the toughest ones are secretly plotting something.
context: Is it a part of the monster Spring Mustachio fought?\There may have been a territorial dispute\between the monsters\Seems like there's definitely something here.\We must continue our investigation and maintain vigilance over City Z.\Hey, did you hear?\There are monsters living in the City Z ghost town.\Yeah, rumor has it the toughest ones are secretly plotting something. response:	No, no. Not that rumor. It's about a more dangerous monster.
context: There may have been a territorial dispute\between the monsters\Seems like there's definitely something here.\We must continue our investigation and maintain vigilance over City Z.\Hey, did you hear?\There are monsters living in the City Z ghost town.\Yeah, rumor has it the toughest ones are secretly plotting something.\No, no. Not that rumor. It's about a more dangerous monster. response:	What's that?
context: between the monsters\Seems like there's definitely something here.\We must continue our investigation and maintain vigilance over City Z.\Hey, did you hear?\There are monsters living in the City Z ghost town.\Yeah, rumor has it the toughest ones are secretly plotting something.\No, no. Not that rumor. It's about a more dangerous monster.\What's that? response:	You didn't hear?
