context: Am I gonna die? response:	You did die...
context: on whether to launch an investigation.\The criminal is in this hall!\The person who murdered Kanou Nobuzane!\The issue may be not who did it, but rather why...\Darling!\Representative Kanda! Member Ono!\What is it?\Where were you two when the lights went out? response:	What are you saying?!
context: The criminal is in this hall!\The person who murdered Kanou Nobuzane!\The issue may be not who did it, but rather why...\Darling!\Representative Kanda! Member Ono!\What is it?\Where were you two when the lights went out?\What are you saying?! response:	Imitating your father, Chairman Kaishou, are you?
context: The person who murdered Kanou Nobuzane!\The issue may be not who did it, but rather why...\Darling!\Representative Kanda! Member Ono!\What is it?\Where were you two when the lights went out?\What are you saying?!\Imitating your father, Chairman Kaishou, are you? response:	After all, guided by him, a number of difficult cases have been solved...
context: The issue may be not who did it, but rather why...\Darling!\Representative Kanda! Member Ono!\What is it?\Where were you two when the lights went out?\What are you saying?!\Imitating your father, Chairman Kaishou, are you?\After all, guided by him, a number of difficult cases have been solved... response:	Before the lights went out,
context: Darling!\Representative Kanda! Member Ono!\What is it?\Where were you two when the lights went out?\What are you saying?!\Imitating your father, Chairman Kaishou, are you?\After all, guided by him, a number of difficult cases have been solved...\Before the lights went out, response:	someone wearing a Napoleon outfit was near the podium.
context: Representative Kanda! Member Ono!\What is it?\Where were you two when the lights went out?\What are you saying?!\Imitating your father, Chairman Kaishou, are you?\After all, guided by him, a number of difficult cases have been solved...\Before the lights went out,\someone wearing a Napoleon outfit was near the podium. response:	Several people have said so.
context: What is it?\Where were you two when the lights went out?\What are you saying?!\Imitating your father, Chairman Kaishou, are you?\After all, guided by him, a number of difficult cases have been solved...\Before the lights went out,\someone wearing a Napoleon outfit was near the podium.\Several people have said so. response:	Which one of us are you accusing of the crime?
context: Where were you two when the lights went out?\What are you saying?!\Imitating your father, Chairman Kaishou, are you?\After all, guided by him, a number of difficult cases have been solved...\Before the lights went out,\someone wearing a Napoleon outfit was near the podium.\Several people have said so.\Which one of us are you accusing of the crime? response:	Perhaps both of you.
context: What are you saying?!\Imitating your father, Chairman Kaishou, are you?\After all, guided by him, a number of difficult cases have been solved...\Before the lights went out,\someone wearing a Napoleon outfit was near the podium.\Several people have said so.\Which one of us are you accusing of the crime?\Perhaps both of you. response:	What?!
context: Imitating your father, Chairman Kaishou, are you?\After all, guided by him, a number of difficult cases have been solved...\Before the lights went out,\someone wearing a Napoleon outfit was near the podium.\Several people have said so.\Which one of us are you accusing of the crime?\Perhaps both of you.\What?! response:	Mr. Kanou is suspected of embezzling funds
context: After all, guided by him, a number of difficult cases have been solved...\Before the lights went out,\someone wearing a Napoleon outfit was near the podium.\Several people have said so.\Which one of us are you accusing of the crime?\Perhaps both of you.\What?!\Mr. Kanou is suspected of embezzling funds response:	for reconstruction support from other countries.
context: Before the lights went out,\someone wearing a Napoleon outfit was near the podium.\Several people have said so.\Which one of us are you accusing of the crime?\Perhaps both of you.\What?!\Mr. Kanou is suspected of embezzling funds\for reconstruction support from other countries. response:	Member Ono and Mr. Kanda, you're both connected to that.
context: someone wearing a Napoleon outfit was near the podium.\Several people have said so.\Which one of us are you accusing of the crime?\Perhaps both of you.\What?!\Mr. Kanou is suspected of embezzling funds\for reconstruction support from other countries.\Member Ono and Mr. Kanda, you're both connected to that. response:	If Mr. Kanou had been arrested, you both would've been in hot water...
context: Several people have said so.\Which one of us are you accusing of the crime?\Perhaps both of you.\What?!\Mr. Kanou is suspected of embezzling funds\for reconstruction support from other countries.\Member Ono and Mr. Kanda, you're both connected to that.\If Mr. Kanou had been arrested, you both would've been in hot water... response:	Ridiculous! When the lights went out, I was talking to Kanda-kun!
context: Which one of us are you accusing of the crime?\Perhaps both of you.\What?!\Mr. Kanou is suspected of embezzling funds\for reconstruction support from other countries.\Member Ono and Mr. Kanda, you're both connected to that.\If Mr. Kanou had been arrested, you both would've been in hot water...\Ridiculous! When the lights went out, I was talking to Kanda-kun! response:	And I can establish Member Ono's innocence, too!
context: Perhaps both of you.\What?!\Mr. Kanou is suspected of embezzling funds\for reconstruction support from other countries.\Member Ono and Mr. Kanda, you're both connected to that.\If Mr. Kanou had been arrested, you both would've been in hot water...\Ridiculous! When the lights went out, I was talking to Kanda-kun!\And I can establish Member Ono's innocence, too! response:	You both purposely chose to dress as Napoleon, a costume that would stand out!
context: What?!\Mr. Kanou is suspected of embezzling funds\for reconstruction support from other countries.\Member Ono and Mr. Kanda, you're both connected to that.\If Mr. Kanou had been arrested, you both would've been in hot water...\Ridiculous! When the lights went out, I was talking to Kanda-kun!\And I can establish Member Ono's innocence, too!\You both purposely chose to dress as Napoleon, a costume that would stand out! response:	You figured it would support each other's alibi...
context: Mr. Kanou is suspected of embezzling funds\for reconstruction support from other countries.\Member Ono and Mr. Kanda, you're both connected to that.\If Mr. Kanou had been arrested, you both would've been in hot water...\Ridiculous! When the lights went out, I was talking to Kanda-kun!\And I can establish Member Ono's innocence, too!\You both purposely chose to dress as Napoleon, a costume that would stand out!\You figured it would support each other's alibi... response:	Yes...
context: for reconstruction support from other countries.\Member Ono and Mr. Kanda, you're both connected to that.\If Mr. Kanou had been arrested, you both would've been in hot water...\Ridiculous! When the lights went out, I was talking to Kanda-kun!\And I can establish Member Ono's innocence, too!\You both purposely chose to dress as Napoleon, a costume that would stand out!\You figured it would support each other's alibi...\Yes... response:	Understood.
context: Member Ono and Mr. Kanda, you're both connected to that.\If Mr. Kanou had been arrested, you both would've been in hot water...\Ridiculous! When the lights went out, I was talking to Kanda-kun!\And I can establish Member Ono's innocence, too!\You both purposely chose to dress as Napoleon, a costume that would stand out!\You figured it would support each other's alibi...\Yes...\Understood. response:	Mr. Defeated Detective!
context: If Mr. Kanou had been arrested, you both would've been in hot water...\Ridiculous! When the lights went out, I was talking to Kanda-kun!\And I can establish Member Ono's innocence, too!\You both purposely chose to dress as Napoleon, a costume that would stand out!\You figured it would support each other's alibi...\Yes...\Understood.\Mr. Defeated Detective! response:	There's nothing for you to do here.
context: Ridiculous! When the lights went out, I was talking to Kanda-kun!\And I can establish Member Ono's innocence, too!\You both purposely chose to dress as Napoleon, a costume that would stand out!\You figured it would support each other's alibi...\Yes...\Understood.\Mr. Defeated Detective!\There's nothing for you to do here. response:	Your father also acts like a detective, but...
context: And I can establish Member Ono's innocence, too!\You both purposely chose to dress as Napoleon, a costume that would stand out!\You figured it would support each other's alibi...\Yes...\Understood.\Mr. Defeated Detective!\There's nothing for you to do here.\Your father also acts like a detective, but... response:	My father is different from you!
context: You both purposely chose to dress as Napoleon, a costume that would stand out!\You figured it would support each other's alibi...\Yes...\Understood.\Mr. Defeated Detective!\There's nothing for you to do here.\Your father also acts like a detective, but...\My father is different from you! response:	He just gives advice for the sake of this country's future!
context: You figured it would support each other's alibi...\Yes...\Understood.\Mr. Defeated Detective!\There's nothing for you to do here.\Your father also acts like a detective, but...\My father is different from you!\He just gives advice for the sake of this country's future! response:	Sorry, Rie.
context: Yes...\Understood.\Mr. Defeated Detective!\There's nothing for you to do here.\Your father also acts like a detective, but...\My father is different from you!\He just gives advice for the sake of this country's future!\Sorry, Rie. response:	Would you move out of the way a little?
context: Understood.\Mr. Defeated Detective!\There's nothing for you to do here.\Your father also acts like a detective, but...\My father is different from you!\He just gives advice for the sake of this country's future!\Sorry, Rie.\Would you move out of the way a little? response:	Everyone, this is Chairman Kaishou.
context: Mr. Defeated Detective!\There's nothing for you to do here.\Your father also acts like a detective, but...\My father is different from you!\He just gives advice for the sake of this country's future!\Sorry, Rie.\Would you move out of the way a little?\Everyone, this is Chairman Kaishou. response:	I'm Kaishou Rinroku.
context: There's nothing for you to do here.\Your father also acts like a detective, but...\My father is different from you!\He just gives advice for the sake of this country's future!\Sorry, Rie.\Would you move out of the way a little?\Everyone, this is Chairman Kaishou.\I'm Kaishou Rinroku. response:	I was friends with Kanou-san.
context: Your father also acts like a detective, but...\My father is different from you!\He just gives advice for the sake of this country's future!\Sorry, Rie.\Would you move out of the way a little?\Everyone, this is Chairman Kaishou.\I'm Kaishou Rinroku.\I was friends with Kanou-san. response:	I'm not there now, but I will give you my opinion.
context: My father is different from you!\He just gives advice for the sake of this country's future!\Sorry, Rie.\Would you move out of the way a little?\Everyone, this is Chairman Kaishou.\I'm Kaishou Rinroku.\I was friends with Kanou-san.\I'm not there now, but I will give you my opinion. response:	Innumerable difficult cases have been solved
context: He just gives advice for the sake of this country's future!\Sorry, Rie.\Would you move out of the way a little?\Everyone, this is Chairman Kaishou.\I'm Kaishou Rinroku.\I was friends with Kanou-san.\I'm not there now, but I will give you my opinion.\Innumerable difficult cases have been solved response:	due to the wisdom of Chairman Kaishou.
context: Sorry, Rie.\Would you move out of the way a little?\Everyone, this is Chairman Kaishou.\I'm Kaishou Rinroku.\I was friends with Kanou-san.\I'm not there now, but I will give you my opinion.\Innumerable difficult cases have been solved\due to the wisdom of Chairman Kaishou. response:	He's a special adviser to the Joint Coordinating Dept.
context: Would you move out of the way a little?\Everyone, this is Chairman Kaishou.\I'm Kaishou Rinroku.\I was friends with Kanou-san.\I'm not there now, but I will give you my opinion.\Innumerable difficult cases have been solved\due to the wisdom of Chairman Kaishou.\He's a special adviser to the Joint Coordinating Dept. response:	of the Public Prosecutor's Office.
context: Everyone, this is Chairman Kaishou.\I'm Kaishou Rinroku.\I was friends with Kanou-san.\I'm not there now, but I will give you my opinion.\Innumerable difficult cases have been solved\due to the wisdom of Chairman Kaishou.\He's a special adviser to the Joint Coordinating Dept.\of the Public Prosecutor's Office. response:	Father, the criminals are Member Ono and Representative Kanda!
context: I'm Kaishou Rinroku.\I was friends with Kanou-san.\I'm not there now, but I will give you my opinion.\Innumerable difficult cases have been solved\due to the wisdom of Chairman Kaishou.\He's a special adviser to the Joint Coordinating Dept.\of the Public Prosecutor's Office.\Father, the criminals are Member Ono and Representative Kanda! response:	That isn't possible.
context: I was friends with Kanou-san.\I'm not there now, but I will give you my opinion.\Innumerable difficult cases have been solved\due to the wisdom of Chairman Kaishou.\He's a special adviser to the Joint Coordinating Dept.\of the Public Prosecutor's Office.\Father, the criminals are Member Ono and Representative Kanda!\That isn't possible. response:	Father?!
context: I'm not there now, but I will give you my opinion.\Innumerable difficult cases have been solved\due to the wisdom of Chairman Kaishou.\He's a special adviser to the Joint Coordinating Dept.\of the Public Prosecutor's Office.\Father, the criminals are Member Ono and Representative Kanda!\That isn't possible.\Father?! response:	Certainly, they're wearing the same outfit, but they stand out too much.
context: Innumerable difficult cases have been solved\due to the wisdom of Chairman Kaishou.\He's a special adviser to the Joint Coordinating Dept.\of the Public Prosecutor's Office.\Father, the criminals are Member Ono and Representative Kanda!\That isn't possible.\Father?!\Certainly, they're wearing the same outfit, but they stand out too much. response:	However, other than that, no one saw anyone suspicious near the podium
context: due to the wisdom of Chairman Kaishou.\He's a special adviser to the Joint Coordinating Dept.\of the Public Prosecutor's Office.\Father, the criminals are Member Ono and Representative Kanda!\That isn't possible.\Father?!\Certainly, they're wearing the same outfit, but they stand out too much.\However, other than that, no one saw anyone suspicious near the podium response:	just before the lights went out.
context: He's a special adviser to the Joint Coordinating Dept.\of the Public Prosecutor's Office.\Father, the criminals are Member Ono and Representative Kanda!\That isn't possible.\Father?!\Certainly, they're wearing the same outfit, but they stand out too much.\However, other than that, no one saw anyone suspicious near the podium\just before the lights went out. response:	Oh, but they were there.
context: of the Public Prosecutor's Office.\Father, the criminals are Member Ono and Representative Kanda!\That isn't possible.\Father?!\Certainly, they're wearing the same outfit, but they stand out too much.\However, other than that, no one saw anyone suspicious near the podium\just before the lights went out.\Oh, but they were there. response:	Certainly, they were there, but at some point,
context: Father, the criminals are Member Ono and Representative Kanda!\That isn't possible.\Father?!\Certainly, they're wearing the same outfit, but they stand out too much.\However, other than that, no one saw anyone suspicious near the podium\just before the lights went out.\Oh, but they were there.\Certainly, they were there, but at some point, response:	they slipped from everyone's consciousness...
context: That isn't possible.\Father?!\Certainly, they're wearing the same outfit, but they stand out too much.\However, other than that, no one saw anyone suspicious near the podium\just before the lights went out.\Oh, but they were there.\Certainly, they were there, but at some point,\they slipped from everyone's consciousness... response:	In fact, they're still there.
context: Father?!\Certainly, they're wearing the same outfit, but they stand out too much.\However, other than that, no one saw anyone suspicious near the podium\just before the lights went out.\Oh, but they were there.\Certainly, they were there, but at some point,\they slipped from everyone's consciousness...\In fact, they're still there. response:	I see... SP...
context: Certainly, they're wearing the same outfit, but they stand out too much.\However, other than that, no one saw anyone suspicious near the podium\just before the lights went out.\Oh, but they were there.\Certainly, they were there, but at some point,\they slipped from everyone's consciousness...\In fact, they're still there.\I see... SP... response:	The security guards!
context: However, other than that, no one saw anyone suspicious near the podium\just before the lights went out.\Oh, but they were there.\Certainly, they were there, but at some point,\they slipped from everyone's consciousness...\In fact, they're still there.\I see... SP...\The security guards! response:	These days, when VIPs get together somewhere, it's taken for granted
context: just before the lights went out.\Oh, but they were there.\Certainly, they were there, but at some point,\they slipped from everyone's consciousness...\In fact, they're still there.\I see... SP...\The security guards!\These days, when VIPs get together somewhere, it's taken for granted response:	that security guards or the SP are in position,
context: Oh, but they were there.\Certainly, they were there, but at some point,\they slipped from everyone's consciousness...\In fact, they're still there.\I see... SP...\The security guards!\These days, when VIPs get together somewhere, it's taken for granted\that security guards or the SP are in position, response:	to the point where they fall under people's radar.
context: Certainly, they were there, but at some point,\they slipped from everyone's consciousness...\In fact, they're still there.\I see... SP...\The security guards!\These days, when VIPs get together somewhere, it's taken for granted\that security guards or the SP are in position,\to the point where they fall under people's radar. response:	Are you saying that the SP murdered Kanou?!
context: they slipped from everyone's consciousness...\In fact, they're still there.\I see... SP...\The security guards!\These days, when VIPs get together somewhere, it's taken for granted\that security guards or the SP are in position,\to the point where they fall under people's radar.\Are you saying that the SP murdered Kanou?! response:	I see... That's it!
context: In fact, they're still there.\I see... SP...\The security guards!\These days, when VIPs get together somewhere, it's taken for granted\that security guards or the SP are in position,\to the point where they fall under people's radar.\Are you saying that the SP murdered Kanou?!\I see... That's it! response:	Madam?
context: I see... SP...\The security guards!\These days, when VIPs get together somewhere, it's taken for granted\that security guards or the SP are in position,\to the point where they fall under people's radar.\Are you saying that the SP murdered Kanou?!\I see... That's it!\Madam? response:	Kanou... My husband didn't stuff his own pockets!
context: The security guards!\These days, when VIPs get together somewhere, it's taken for granted\that security guards or the SP are in position,\to the point where they fall under people's radar.\Are you saying that the SP murdered Kanou?!\I see... That's it!\Madam?\Kanou... My husband didn't stuff his own pockets! response:	The truth is he took part of the reconstruction funds and supplies
context: These days, when VIPs get together somewhere, it's taken for granted\that security guards or the SP are in position,\to the point where they fall under people's radar.\Are you saying that the SP murdered Kanou?!\I see... That's it!\Madam?\Kanou... My husband didn't stuff his own pockets!\The truth is he took part of the reconstruction funds and supplies response:	and stashed them somewhere at the request of someone from the government!
context: that security guards or the SP are in position,\to the point where they fall under people's radar.\Are you saying that the SP murdered Kanou?!\I see... That's it!\Madam?\Kanou... My husband didn't stuff his own pockets!\The truth is he took part of the reconstruction funds and supplies\and stashed them somewhere at the request of someone from the government! response:	He intended to reveal that here tonight!
context: to the point where they fall under people's radar.\Are you saying that the SP murdered Kanou?!\I see... That's it!\Madam?\Kanou... My husband didn't stuff his own pockets!\The truth is he took part of the reconstruction funds and supplies\and stashed them somewhere at the request of someone from the government!\He intended to reveal that here tonight! response:	But before he could, a government dog...
context: Are you saying that the SP murdered Kanou?!\I see... That's it!\Madam?\Kanou... My husband didn't stuff his own pockets!\The truth is he took part of the reconstruction funds and supplies\and stashed them somewhere at the request of someone from the government!\He intended to reveal that here tonight!\But before he could, a government dog... response:	That's ridiculous!
context: I see... That's it!\Madam?\Kanou... My husband didn't stuff his own pockets!\The truth is he took part of the reconstruction funds and supplies\and stashed them somewhere at the request of someone from the government!\He intended to reveal that here tonight!\But before he could, a government dog...\That's ridiculous! response:	The residents' elevator...
context: Madam?\Kanou... My husband didn't stuff his own pockets!\The truth is he took part of the reconstruction funds and supplies\and stashed them somewhere at the request of someone from the government!\He intended to reveal that here tonight!\But before he could, a government dog...\That's ridiculous!\The residents' elevator... response:	She pretended to leave the hall with us, but then went right back
context: Kanou... My husband didn't stuff his own pockets!\The truth is he took part of the reconstruction funds and supplies\and stashed them somewhere at the request of someone from the government!\He intended to reveal that here tonight!\But before he could, a government dog...\That's ridiculous!\The residents' elevator...\She pretended to leave the hall with us, but then went right back response:	and when the room went dark, she...
context: The truth is he took part of the reconstruction funds and supplies\and stashed them somewhere at the request of someone from the government!\He intended to reveal that here tonight!\But before he could, a government dog...\That's ridiculous!\The residents' elevator...\She pretended to leave the hall with us, but then went right back\and when the room went dark, she... response:	I'm sure she would have been informed of the timing schedule...
context: and stashed them somewhere at the request of someone from the government!\He intended to reveal that here tonight!\But before he could, a government dog...\That's ridiculous!\The residents' elevator...\She pretended to leave the hall with us, but then went right back\and when the room went dark, she...\I'm sure she would have been informed of the timing schedule... response:	How could you?! Why would you people do this?!
context: He intended to reveal that here tonight!\But before he could, a government dog...\That's ridiculous!\The residents' elevator...\She pretended to leave the hall with us, but then went right back\and when the room went dark, she...\I'm sure she would have been informed of the timing schedule...\How could you?! Why would you people do this?! response:	You're mistaken, Madam!
context: But before he could, a government dog...\That's ridiculous!\The residents' elevator...\She pretended to leave the hall with us, but then went right back\and when the room went dark, she...\I'm sure she would have been informed of the timing schedule...\How could you?! Why would you people do this?!\You're mistaken, Madam! response:	How am I mistaken?!
context: That's ridiculous!\The residents' elevator...\She pretended to leave the hall with us, but then went right back\and when the room went dark, she...\I'm sure she would have been informed of the timing schedule...\How could you?! Why would you people do this?!\You're mistaken, Madam!\How am I mistaken?! response:	Shinjurou...
context: The residents' elevator...\She pretended to leave the hall with us, but then went right back\and when the room went dark, she...\I'm sure she would have been informed of the timing schedule...\How could you?! Why would you people do this?!\You're mistaken, Madam!\How am I mistaken?!\Shinjurou... response:	I can't hold it in any more...
context: She pretended to leave the hall with us, but then went right back\and when the room went dark, she...\I'm sure she would have been informed of the timing schedule...\How could you?! Why would you people do this?!\You're mistaken, Madam!\How am I mistaken?!\Shinjurou...\I can't hold it in any more... response:	Just hang on!
context: and when the room went dark, she...\I'm sure she would have been informed of the timing schedule...\How could you?! Why would you people do this?!\You're mistaken, Madam!\How am I mistaken?!\Shinjurou...\I can't hold it in any more...\Just hang on! response:	Inga!
context: I'm sure she would have been informed of the timing schedule...\How could you?! Why would you people do this?!\You're mistaken, Madam!\How am I mistaken?!\Shinjurou...\I can't hold it in any more...\Just hang on!\Inga! response:	The police did it! The prosecutors did it!
context: How could you?! Why would you people do this?!\You're mistaken, Madam!\How am I mistaken?!\Shinjurou...\I can't hold it in any more...\Just hang on!\Inga!\The police did it! The prosecutors did it! response:	No, even higher than you!
context: You're mistaken, Madam!\How am I mistaken?!\Shinjurou...\I can't hold it in any more...\Just hang on!\Inga!\The police did it! The prosecutors did it!\No, even higher than you! response:	You ganged up on Kanou with the Ministry of Self-Defense and killed him!
context: How am I mistaken?!\Shinjurou...\I can't hold it in any more...\Just hang on!\Inga!\The police did it! The prosecutors did it!\No, even higher than you!\You ganged up on Kanou with the Ministry of Self-Defense and killed him! response:	You're wrong!
context: Shinjurou...\I can't hold it in any more...\Just hang on!\Inga!\The police did it! The prosecutors did it!\No, even higher than you!\You ganged up on Kanou with the Ministry of Self-Defense and killed him!\You're wrong! response:	No, I'm not!
context: I can't hold it in any more...\Just hang on!\Inga!\The police did it! The prosecutors did it!\No, even higher than you!\You ganged up on Kanou with the Ministry of Self-Defense and killed him!\You're wrong!\No, I'm not! response:	You are wrong. You're certainly wrong.
context: Just hang on!\Inga!\The police did it! The prosecutors did it!\No, even higher than you!\You ganged up on Kanou with the Ministry of Self-Defense and killed him!\You're wrong!\No, I'm not!\You are wrong. You're certainly wrong. response:	Why is her jacket the only thing that's off?
context: Inga!\The police did it! The prosecutors did it!\No, even higher than you!\You ganged up on Kanou with the Ministry of Self-Defense and killed him!\You're wrong!\No, I'm not!\You are wrong. You're certainly wrong.\Why is her jacket the only thing that's off? response:	If the police or prosecutors used this woman to assassinate Kanou Nobuzane...
context: The police did it! The prosecutors did it!\No, even higher than you!\You ganged up on Kanou with the Ministry of Self-Defense and killed him!\You're wrong!\No, I'm not!\You are wrong. You're certainly wrong.\Why is her jacket the only thing that's off?\If the police or prosecutors used this woman to assassinate Kanou Nobuzane... response:	And they did!
context: No, even higher than you!\You ganged up on Kanou with the Ministry of Self-Defense and killed him!\You're wrong!\No, I'm not!\You are wrong. You're certainly wrong.\Why is her jacket the only thing that's off?\If the police or prosecutors used this woman to assassinate Kanou Nobuzane...\And they did! response:	This is a luxurious place for just the two of you.
context: You ganged up on Kanou with the Ministry of Self-Defense and killed him!\You're wrong!\No, I'm not!\You are wrong. You're certainly wrong.\Why is her jacket the only thing that's off?\If the police or prosecutors used this woman to assassinate Kanou Nobuzane...\And they did!\This is a luxurious place for just the two of you. response:	If the police assassinated him,
context: You're wrong!\No, I'm not!\You are wrong. You're certainly wrong.\Why is her jacket the only thing that's off?\If the police or prosecutors used this woman to assassinate Kanou Nobuzane...\And they did!\This is a luxurious place for just the two of you.\If the police assassinated him, response:	it would be pointless if we found out soon after that an SP did it.
context: No, I'm not!\You are wrong. You're certainly wrong.\Why is her jacket the only thing that's off?\If the police or prosecutors used this woman to assassinate Kanou Nobuzane...\And they did!\This is a luxurious place for just the two of you.\If the police assassinated him,\it would be pointless if we found out soon after that an SP did it. response:	That's why you say suicide is out of the question, right?
context: You are wrong. You're certainly wrong.\Why is her jacket the only thing that's off?\If the police or prosecutors used this woman to assassinate Kanou Nobuzane...\And they did!\This is a luxurious place for just the two of you.\If the police assassinated him,\it would be pointless if we found out soon after that an SP did it.\That's why you say suicide is out of the question, right? response:	But if she meant to exact vengeance on Kanou on her own,
context: Why is her jacket the only thing that's off?\If the police or prosecutors used this woman to assassinate Kanou Nobuzane...\And they did!\This is a luxurious place for just the two of you.\If the police assassinated him,\it would be pointless if we found out soon after that an SP did it.\That's why you say suicide is out of the question, right?\But if she meant to exact vengeance on Kanou on her own, response:	it's possible she killed herself afterward...
context: If the police or prosecutors used this woman to assassinate Kanou Nobuzane...\And they did!\This is a luxurious place for just the two of you.\If the police assassinated him,\it would be pointless if we found out soon after that an SP did it.\That's why you say suicide is out of the question, right?\But if she meant to exact vengeance on Kanou on her own,\it's possible she killed herself afterward... response:	In that case, she just would've killed him out in the open with a gun.
context: And they did!\This is a luxurious place for just the two of you.\If the police assassinated him,\it would be pointless if we found out soon after that an SP did it.\That's why you say suicide is out of the question, right?\But if she meant to exact vengeance on Kanou on her own,\it's possible she killed herself afterward...\In that case, she just would've killed him out in the open with a gun. response:	Why a knife?
context: This is a luxurious place for just the two of you.\If the police assassinated him,\it would be pointless if we found out soon after that an SP did it.\That's why you say suicide is out of the question, right?\But if she meant to exact vengeance on Kanou on her own,\it's possible she killed herself afterward...\In that case, she just would've killed him out in the open with a gun.\Why a knife? response:	Well...
context: If the police assassinated him,\it would be pointless if we found out soon after that an SP did it.\That's why you say suicide is out of the question, right?\But if she meant to exact vengeance on Kanou on her own,\it's possible she killed herself afterward...\In that case, she just would've killed him out in the open with a gun.\Why a knife?\Well... response:	If anyone wore a black suit here, they could be taken for the SP...
context: it would be pointless if we found out soon after that an SP did it.\That's why you say suicide is out of the question, right?\But if she meant to exact vengeance on Kanou on her own,\it's possible she killed herself afterward...\In that case, she just would've killed him out in the open with a gun.\Why a knife?\Well...\If anyone wore a black suit here, they could be taken for the SP... response:	Someone impersonated the SP?!
context: That's why you say suicide is out of the question, right?\But if she meant to exact vengeance on Kanou on her own,\it's possible she killed herself afterward...\In that case, she just would've killed him out in the open with a gun.\Why a knife?\Well...\If anyone wore a black suit here, they could be taken for the SP...\Someone impersonated the SP?! response:	Of course, that person must have chosen
context: But if she meant to exact vengeance on Kanou on her own,\it's possible she killed herself afterward...\In that case, she just would've killed him out in the open with a gun.\Why a knife?\Well...\If anyone wore a black suit here, they could be taken for the SP...\Someone impersonated the SP?!\Of course, that person must have chosen response:	the moment the lights went out from the very beginning.
context: it's possible she killed herself afterward...\In that case, she just would've killed him out in the open with a gun.\Why a knife?\Well...\If anyone wore a black suit here, they could be taken for the SP...\Someone impersonated the SP?!\Of course, that person must have chosen\the moment the lights went out from the very beginning. response:	The person caught the SP off guard, shot her to death,
context: In that case, she just would've killed him out in the open with a gun.\Why a knife?\Well...\If anyone wore a black suit here, they could be taken for the SP...\Someone impersonated the SP?!\Of course, that person must have chosen\the moment the lights went out from the very beginning.\The person caught the SP off guard, shot her to death, response:	impersonated her, and returned to the hall.
context: Why a knife?\Well...\If anyone wore a black suit here, they could be taken for the SP...\Someone impersonated the SP?!\Of course, that person must have chosen\the moment the lights went out from the very beginning.\The person caught the SP off guard, shot her to death,\impersonated her, and returned to the hall. response:	Then, moving naturally, she approached Mr. Kanou...
context: Well...\If anyone wore a black suit here, they could be taken for the SP...\Someone impersonated the SP?!\Of course, that person must have chosen\the moment the lights went out from the very beginning.\The person caught the SP off guard, shot her to death,\impersonated her, and returned to the hall.\Then, moving naturally, she approached Mr. Kanou... response:	At the time, there were only two people outside of the hall...
context: If anyone wore a black suit here, they could be taken for the SP...\Someone impersonated the SP?!\Of course, that person must have chosen\the moment the lights went out from the very beginning.\The person caught the SP off guard, shot her to death,\impersonated her, and returned to the hall.\Then, moving naturally, she approached Mr. Kanou...\At the time, there were only two people outside of the hall... response:	I-It wasn't me!
context: Someone impersonated the SP?!\Of course, that person must have chosen\the moment the lights went out from the very beginning.\The person caught the SP off guard, shot her to death,\impersonated her, and returned to the hall.\Then, moving naturally, she approached Mr. Kanou...\At the time, there were only two people outside of the hall...\I-It wasn't me! response:	Mrs. Kanou...?
context: Of course, that person must have chosen\the moment the lights went out from the very beginning.\The person caught the SP off guard, shot her to death,\impersonated her, and returned to the hall.\Then, moving naturally, she approached Mr. Kanou...\At the time, there were only two people outside of the hall...\I-It wasn't me!\Mrs. Kanou...? response:	Don't even joke about such a thing!
context: the moment the lights went out from the very beginning.\The person caught the SP off guard, shot her to death,\impersonated her, and returned to the hall.\Then, moving naturally, she approached Mr. Kanou...\At the time, there were only two people outside of the hall...\I-It wasn't me!\Mrs. Kanou...?\Don't even joke about such a thing! response:	My husband was just murdered!
context: The person caught the SP off guard, shot her to death,\impersonated her, and returned to the hall.\Then, moving naturally, she approached Mr. Kanou...\At the time, there were only two people outside of the hall...\I-It wasn't me!\Mrs. Kanou...?\Don't even joke about such a thing!\My husband was just murdered! response:	Suspecting me!
context: impersonated her, and returned to the hall.\Then, moving naturally, she approached Mr. Kanou...\At the time, there were only two people outside of the hall...\I-It wasn't me!\Mrs. Kanou...?\Don't even joke about such a thing!\My husband was just murdered!\Suspecting me! response:	What reason could I have to kill him?!
context: Then, moving naturally, she approached Mr. Kanou...\At the time, there were only two people outside of the hall...\I-It wasn't me!\Mrs. Kanou...?\Don't even joke about such a thing!\My husband was just murdered!\Suspecting me!\What reason could I have to kill him?! response:	Yes. I want to know the reason for that, too.
context: At the time, there were only two people outside of the hall...\I-It wasn't me!\Mrs. Kanou...?\Don't even joke about such a thing!\My husband was just murdered!\Suspecting me!\What reason could I have to kill him?!\Yes. I want to know the reason for that, too. response:	That one's out again...
context: I-It wasn't me!\Mrs. Kanou...?\Don't even joke about such a thing!\My husband was just murdered!\Suspecting me!\What reason could I have to kill him?!\Yes. I want to know the reason for that, too.\That one's out again... response:	Who is that?!
context: Mrs. Kanou...?\Don't even joke about such a thing!\My husband was just murdered!\Suspecting me!\What reason could I have to kill him?!\Yes. I want to know the reason for that, too.\That one's out again...\Who is that?! response:	This person is... my boss...
context: Don't even joke about such a thing!\My husband was just murdered!\Suspecting me!\What reason could I have to kill him?!\Yes. I want to know the reason for that, too.\That one's out again...\Who is that?!\This person is... my boss... response:	I guess...
