context: Fly response:	I didn't know we had that.
context: It's nothing.\Oikawa-san, can I take a picture with you?\A picture? Sure.\Oikawa-san?\Ouch. Not even the coach hits me...\Sorry. Let's do the pictures another time.\Hey, it's turnip head.\Turning-head? What's that? response:	It's you. Who else?
context: Oikawa-san, can I take a picture with you?\A picture? Sure.\Oikawa-san?\Ouch. Not even the coach hits me...\Sorry. Let's do the pictures another time.\Hey, it's turnip head.\Turning-head? What's that?\It's you. Who else? response:	What?
context: A picture? Sure.\Oikawa-san?\Ouch. Not even the coach hits me...\Sorry. Let's do the pictures another time.\Hey, it's turnip head.\Turning-head? What's that?\It's you. Who else?\What? response:	Um...
context: Oikawa-san?\Ouch. Not even the coach hits me...\Sorry. Let's do the pictures another time.\Hey, it's turnip head.\Turning-head? What's that?\It's you. Who else?\What?\Um... response:	Yoohoo.
context: Ouch. Not even the coach hits me...\Sorry. Let's do the pictures another time.\Hey, it's turnip head.\Turning-head? What's that?\It's you. Who else?\What?\Um...\Yoohoo. response:	Tobio-chan, shrimp-chan. How's the freak duo doing?
context: Sorry. Let's do the pictures another time.\Hey, it's turnip head.\Turning-head? What's that?\It's you. Who else?\What?\Um...\Yoohoo.\Tobio-chan, shrimp-chan. How's the freak duo doing? response:	It's the Great King.
context: Hey, it's turnip head.\Turning-head? What's that?\It's you. Who else?\What?\Um...\Yoohoo.\Tobio-chan, shrimp-chan. How's the freak duo doing?\It's the Great King. response:	That hurt, Iwa-chan.
context: Turning-head? What's that?\It's you. Who else?\What?\Um...\Yoohoo.\Tobio-chan, shrimp-chan. How's the freak duo doing?\It's the Great King.\That hurt, Iwa-chan. response:	Huh?
context: It's you. Who else?\What?\Um...\Yoohoo.\Tobio-chan, shrimp-chan. How's the freak duo doing?\It's the Great King.\That hurt, Iwa-chan.\Huh? response:	They have a libero.
context: What?\Um...\Yoohoo.\Tobio-chan, shrimp-chan. How's the freak duo doing?\It's the Great King.\That hurt, Iwa-chan.\Huh?\They have a libero. response:	Give me another one.
context: Um...\Yoohoo.\Tobio-chan, shrimp-chan. How's the freak duo doing?\It's the Great King.\That hurt, Iwa-chan.\Huh?\They have a libero.\Give me another one. response:	He wasn't there for the practice match.
context: Yoohoo.\Tobio-chan, shrimp-chan. How's the freak duo doing?\It's the Great King.\That hurt, Iwa-chan.\Huh?\They have a libero.\Give me another one.\He wasn't there for the practice match. response:	And that big guy wasn't there, either.
context: Tobio-chan, shrimp-chan. How's the freak duo doing?\It's the Great King.\That hurt, Iwa-chan.\Huh?\They have a libero.\Give me another one.\He wasn't there for the practice match.\And that big guy wasn't there, either. response:	Oh?
context: It's the Great King.\That hurt, Iwa-chan.\Huh?\They have a libero.\Give me another one.\He wasn't there for the practice match.\And that big guy wasn't there, either.\Oh? response:	And their coach is new, too, right?
context: That hurt, Iwa-chan.\Huh?\They have a libero.\Give me another one.\He wasn't there for the practice match.\And that big guy wasn't there, either.\Oh?\And their coach is new, too, right? response:	Hinata, don't dilly-dally.
context: Huh?\They have a libero.\Give me another one.\He wasn't there for the practice match.\And that big guy wasn't there, either.\Oh?\And their coach is new, too, right?\Hinata, don't dilly-dally. response:	Right.
context: They have a libero.\Give me another one.\He wasn't there for the practice match.\And that big guy wasn't there, either.\Oh?\And their coach is new, too, right?\Hinata, don't dilly-dally.\Right. response:	New players and a new coach.
context: Give me another one.\He wasn't there for the practice match.\And that big guy wasn't there, either.\Oh?\And their coach is new, too, right?\Hinata, don't dilly-dally.\Right.\New players and a new coach. response:	I wonder how Karasuno has changed.
context: He wasn't there for the practice match.\And that big guy wasn't there, either.\Oh?\And their coach is new, too, right?\Hinata, don't dilly-dally.\Right.\New players and a new coach.\I wonder how Karasuno has changed. response:	It's finally happening.
context: And that big guy wasn't there, either.\Oh?\And their coach is new, too, right?\Hinata, don't dilly-dally.\Right.\New players and a new coach.\I wonder how Karasuno has changed.\It's finally happening. response:	Teams will compete in this enormous place,
context: Oh?\And their coach is new, too, right?\Hinata, don't dilly-dally.\Right.\New players and a new coach.\I wonder how Karasuno has changed.\It's finally happening.\Teams will compete in this enormous place, response:	in front of a crowd.
context: And their coach is new, too, right?\Hinata, don't dilly-dally.\Right.\New players and a new coach.\I wonder how Karasuno has changed.\It's finally happening.\Teams will compete in this enormous place,\in front of a crowd. response:	I think I'm more nervous than our players.
context: Hinata, don't dilly-dally.\Right.\New players and a new coach.\I wonder how Karasuno has changed.\It's finally happening.\Teams will compete in this enormous place,\in front of a crowd.\I think I'm more nervous than our players. response:	Let's do everything
context: Right.\New players and a new coach.\I wonder how Karasuno has changed.\It's finally happening.\Teams will compete in this enormous place,\in front of a crowd.\I think I'm more nervous than our players.\Let's do everything response:	we can for them, to the best of our ability.
context: New players and a new coach.\I wonder how Karasuno has changed.\It's finally happening.\Teams will compete in this enormous place,\in front of a crowd.\I think I'm more nervous than our players.\Let's do everything\we can for them, to the best of our ability. response:	Yes.
context: I wonder how Karasuno has changed.\It's finally happening.\Teams will compete in this enormous place,\in front of a crowd.\I think I'm more nervous than our players.\Let's do everything\we can for them, to the best of our ability.\Yes. response:	One, two!
context: It's finally happening.\Teams will compete in this enormous place,\in front of a crowd.\I think I'm more nervous than our players.\Let's do everything\we can for them, to the best of our ability.\Yes.\One, two! response:	Dateko...
context: Teams will compete in this enormous place,\in front of a crowd.\I think I'm more nervous than our players.\Let's do everything\we can for them, to the best of our ability.\Yes.\One, two!\Dateko... response:	Asahi-san.
context: in front of a crowd.\I think I'm more nervous than our players.\Let's do everything\we can for them, to the best of our ability.\Yes.\One, two!\Dateko...\Asahi-san. response:	I'm worried about Dateko, too,
context: I think I'm more nervous than our players.\Let's do everything\we can for them, to the best of our ability.\Yes.\One, two!\Dateko...\Asahi-san.\I'm worried about Dateko, too, response:	but I'm not going to lose.
context: Let's do everything\we can for them, to the best of our ability.\Yes.\One, two!\Dateko...\Asahi-san.\I'm worried about Dateko, too,\but I'm not going to lose. response:	I think of winning, and that's all.
context: we can for them, to the best of our ability.\Yes.\One, two!\Dateko...\Asahi-san.\I'm worried about Dateko, too,\but I'm not going to lose.\I think of winning, and that's all. response:	So let's focus on our opponents now.
context: Yes.\One, two!\Dateko...\Asahi-san.\I'm worried about Dateko, too,\but I'm not going to lose.\I think of winning, and that's all.\So let's focus on our opponents now. response:	Yeah.
context: One, two!\Dateko...\Asahi-san.\I'm worried about Dateko, too,\but I'm not going to lose.\I think of winning, and that's all.\So let's focus on our opponents now.\Yeah. response:	Captains.
context: Dateko...\Asahi-san.\I'm worried about Dateko, too,\but I'm not going to lose.\I think of winning, and that's all.\So let's focus on our opponents now.\Yeah.\Captains. response:	All the best.
context: Asahi-san.\I'm worried about Dateko, too,\but I'm not going to lose.\I think of winning, and that's all.\So let's focus on our opponents now.\Yeah.\Captains.\All the best. response:	Only Volleyball
context: I'm worried about Dateko, too,\but I'm not going to lose.\I think of winning, and that's all.\So let's focus on our opponents now.\Yeah.\Captains.\All the best.\Only Volleyball response:	Volleyball and Nothing Else
context: but I'm not going to lose.\I think of winning, and that's all.\So let's focus on our opponents now.\Yeah.\Captains.\All the best.\Only Volleyball\Volleyball and Nothing Else response:	Huddle.
context: I think of winning, and that's all.\So let's focus on our opponents now.\Yeah.\Captains.\All the best.\Only Volleyball\Volleyball and Nothing Else\Huddle. response:	Line up.
context: So let's focus on our opponents now.\Yeah.\Captains.\All the best.\Only Volleyball\Volleyball and Nothing Else\Huddle.\Line up. response:	Tokonami
context: Yeah.\Captains.\All the best.\Only Volleyball\Volleyball and Nothing Else\Huddle.\Line up.\Tokonami response:	Wakudani-minami
context: Captains.\All the best.\Only Volleyball\Volleyball and Nothing Else\Huddle.\Line up.\Tokonami\Wakudani-minami response:	Shiratorizawa Academy Volleyball Club
context: All the best.\Only Volleyball\Volleyball and Nothing Else\Huddle.\Line up.\Tokonami\Wakudani-minami\Shiratorizawa Academy Volleyball Club response:	Shiratorizawa Academy Volleyball Club
context: Only Volleyball\Volleyball and Nothing Else\Huddle.\Line up.\Tokonami\Wakudani-minami\Shiratorizawa Academy Volleyball Club\Shiratorizawa Academy Volleyball Club response:	Let's play.
context: Volleyball and Nothing Else\Huddle.\Line up.\Tokonami\Wakudani-minami\Shiratorizawa Academy Volleyball Club\Shiratorizawa Academy Volleyball Club\Let's play. response:	Go! Go! Let's go! Let's go, Dateko!
context: Huddle.\Line up.\Tokonami\Wakudani-minami\Shiratorizawa Academy Volleyball Club\Shiratorizawa Academy Volleyball Club\Let's play.\Go! Go! Let's go! Let's go, Dateko! response:	Go! Go! Let's go! Let's go, Dateko!
context: Line up.\Tokonami\Wakudani-minami\Shiratorizawa Academy Volleyball Club\Shiratorizawa Academy Volleyball Club\Let's play.\Go! Go! Let's go! Let's go, Dateko!\Go! Go! Let's go! Let's go, Dateko! response:	Date's Iron Wall
context: Tokonami\Wakudani-minami\Shiratorizawa Academy Volleyball Club\Shiratorizawa Academy Volleyball Club\Let's play.\Go! Go! Let's go! Let's go, Dateko!\Go! Go! Let's go! Let's go, Dateko!\Date's Iron Wall response:	Listen up. This is everyone's first match.
context: Wakudani-minami\Shiratorizawa Academy Volleyball Club\Shiratorizawa Academy Volleyball Club\Let's play.\Go! Go! Let's go! Let's go, Dateko!\Go! Go! Let's go! Let's go, Dateko!\Date's Iron Wall\Listen up. This is everyone's first match. response:	Everyone's nervous, everyone's anxious,
context: Shiratorizawa Academy Volleyball Club\Shiratorizawa Academy Volleyball Club\Let's play.\Go! Go! Let's go! Let's go, Dateko!\Go! Go! Let's go! Let's go, Dateko!\Date's Iron Wall\Listen up. This is everyone's first match.\Everyone's nervous, everyone's anxious, response:	everyone's not their usual self.
context: Shiratorizawa Academy Volleyball Club\Let's play.\Go! Go! Let's go! Let's go, Dateko!\Go! Go! Let's go! Let's go, Dateko!\Date's Iron Wall\Listen up. This is everyone's first match.\Everyone's nervous, everyone's anxious,\everyone's not their usual self. response:	But you have to overcome those things before they do.
context: Let's play.\Go! Go! Let's go! Let's go, Dateko!\Go! Go! Let's go! Let's go, Dateko!\Date's Iron Wall\Listen up. This is everyone's first match.\Everyone's nervous, everyone's anxious,\everyone's not their usual self.\But you have to overcome those things before they do. response:	Score a big victory first, and find your groove.
context: Go! Go! Let's go! Let's go, Dateko!\Go! Go! Let's go! Let's go, Dateko!\Date's Iron Wall\Listen up. This is everyone's first match.\Everyone's nervous, everyone's anxious,\everyone's not their usual self.\But you have to overcome those things before they do.\Score a big victory first, and find your groove. response:	Yeah.
context: Go! Go! Let's go! Let's go, Dateko!\Date's Iron Wall\Listen up. This is everyone's first match.\Everyone's nervous, everyone's anxious,\everyone's not their usual self.\But you have to overcome those things before they do.\Score a big victory first, and find your groove.\Yeah. response:	I'm mean what I'm going to say, and it's no empty compliment.
context: Date's Iron Wall\Listen up. This is everyone's first match.\Everyone's nervous, everyone's anxious,\everyone's not their usual self.\But you have to overcome those things before they do.\Score a big victory first, and find your groove.\Yeah.\I'm mean what I'm going to say, and it's no empty compliment. response:	You are all strong.
context: Listen up. This is everyone's first match.\Everyone's nervous, everyone's anxious,\everyone's not their usual self.\But you have to overcome those things before they do.\Score a big victory first, and find your groove.\Yeah.\I'm mean what I'm going to say, and it's no empty compliment.\You are all strong. response:	Karasuno is strong.
context: Everyone's nervous, everyone's anxious,\everyone's not their usual self.\But you have to overcome those things before they do.\Score a big victory first, and find your groove.\Yeah.\I'm mean what I'm going to say, and it's no empty compliment.\You are all strong.\Karasuno is strong. response:	Let's show everyone in the gym how ravens fly.
context: everyone's not their usual self.\But you have to overcome those things before they do.\Score a big victory first, and find your groove.\Yeah.\I'm mean what I'm going to say, and it's no empty compliment.\You are all strong.\Karasuno is strong.\Let's show everyone in the gym how ravens fly. response:	Take-chan, good one!
context: But you have to overcome those things before they do.\Score a big victory first, and find your groove.\Yeah.\I'm mean what I'm going to say, and it's no empty compliment.\You are all strong.\Karasuno is strong.\Let's show everyone in the gym how ravens fly.\Take-chan, good one! response:	They say that inauspicious line everywhere we go.
context: Score a big victory first, and find your groove.\Yeah.\I'm mean what I'm going to say, and it's no empty compliment.\You are all strong.\Karasuno is strong.\Let's show everyone in the gym how ravens fly.\Take-chan, good one!\They say that inauspicious line everywhere we go. response:	Fallen powerhouse. Flightless ravens.
context: Yeah.\I'm mean what I'm going to say, and it's no empty compliment.\You are all strong.\Karasuno is strong.\Let's show everyone in the gym how ravens fly.\Take-chan, good one!\They say that inauspicious line everywhere we go.\Fallen powerhouse. Flightless ravens. response:	But let's show them,
context: I'm mean what I'm going to say, and it's no empty compliment.\You are all strong.\Karasuno is strong.\Let's show everyone in the gym how ravens fly.\Take-chan, good one!\They say that inauspicious line everywhere we go.\Fallen powerhouse. Flightless ravens.\But let's show them, response:	Look! We, Karasuno, are the champions of old. We are winners.
context: You are all strong.\Karasuno is strong.\Let's show everyone in the gym how ravens fly.\Take-chan, good one!\They say that inauspicious line everywhere we go.\Fallen powerhouse. Flightless ravens.\But let's show them,\Look! We, Karasuno, are the champions of old. We are winners. response:	Yeah.
context: Karasuno is strong.\Let's show everyone in the gym how ravens fly.\Take-chan, good one!\They say that inauspicious line everywhere we go.\Fallen powerhouse. Flightless ravens.\But let's show them,\Look! We, Karasuno, are the champions of old. We are winners.\Yeah. response:	Was that poetic? Was it moving?
context: Let's show everyone in the gym how ravens fly.\Take-chan, good one!\They say that inauspicious line everywhere we go.\Fallen powerhouse. Flightless ravens.\But let's show them,\Look! We, Karasuno, are the champions of old. We are winners.\Yeah.\Was that poetic? Was it moving? response:	It was fine. Fine.
context: Take-chan, good one!\They say that inauspicious line everywhere we go.\Fallen powerhouse. Flightless ravens.\But let's show them,\Look! We, Karasuno, are the champions of old. We are winners.\Yeah.\Was that poetic? Was it moving?\It was fine. Fine. response:	What does he mean, champions of old?
context: They say that inauspicious line everywhere we go.\Fallen powerhouse. Flightless ravens.\But let's show them,\Look! We, Karasuno, are the champions of old. We are winners.\Yeah.\Was that poetic? Was it moving?\It was fine. Fine.\What does he mean, champions of old? response:	How am I supposed to know?
context: Fallen powerhouse. Flightless ravens.\But let's show them,\Look! We, Karasuno, are the champions of old. We are winners.\Yeah.\Was that poetic? Was it moving?\It was fine. Fine.\What does he mean, champions of old?\How am I supposed to know? response:	We aren't really, but the nuance seems to be that we were strong in the past.
context: But let's show them,\Look! We, Karasuno, are the champions of old. We are winners.\Yeah.\Was that poetic? Was it moving?\It was fine. Fine.\What does he mean, champions of old?\How am I supposed to know?\We aren't really, but the nuance seems to be that we were strong in the past. response:	Hey, let's get going.
context: Look! We, Karasuno, are the champions of old. We are winners.\Yeah.\Was that poetic? Was it moving?\It was fine. Fine.\What does he mean, champions of old?\How am I supposed to know?\We aren't really, but the nuance seems to be that we were strong in the past.\Hey, let's get going. response:	Karasuno, fight.
context: Yeah.\Was that poetic? Was it moving?\It was fine. Fine.\What does he mean, champions of old?\How am I supposed to know?\We aren't really, but the nuance seems to be that we were strong in the past.\Hey, let's get going.\Karasuno, fight. response:	Yeah.
context: Was that poetic? Was it moving?\It was fine. Fine.\What does he mean, champions of old?\How am I supposed to know?\We aren't really, but the nuance seems to be that we were strong in the past.\Hey, let's get going.\Karasuno, fight.\Yeah. response:	Relax, and score your first point.
context: It was fine. Fine.\What does he mean, champions of old?\How am I supposed to know?\We aren't really, but the nuance seems to be that we were strong in the past.\Hey, let's get going.\Karasuno, fight.\Yeah.\Relax, and score your first point. response:	Don't worry. Your training won't betray you.
context: What does he mean, champions of old?\How am I supposed to know?\We aren't really, but the nuance seems to be that we were strong in the past.\Hey, let's get going.\Karasuno, fight.\Yeah.\Relax, and score your first point.\Don't worry. Your training won't betray you. response:	Tokonami
context: How am I supposed to know?\We aren't really, but the nuance seems to be that we were strong in the past.\Hey, let's get going.\Karasuno, fight.\Yeah.\Relax, and score your first point.\Don't worry. Your training won't betray you.\Tokonami response:	Just keep receiving and connecting.
context: We aren't really, but the nuance seems to be that we were strong in the past.\Hey, let's get going.\Karasuno, fight.\Yeah.\Relax, and score your first point.\Don't worry. Your training won't betray you.\Tokonami\Just keep receiving and connecting. response:	Yeah.
context: Hey, let's get going.\Karasuno, fight.\Yeah.\Relax, and score your first point.\Don't worry. Your training won't betray you.\Tokonami\Just keep receiving and connecting.\Yeah. response:	You mean 10 is their middle blocker?
context: Karasuno, fight.\Yeah.\Relax, and score your first point.\Don't worry. Your training won't betray you.\Tokonami\Just keep receiving and connecting.\Yeah.\You mean 10 is their middle blocker? response:	But he can't be more than 160 cm tall.
context: Yeah.\Relax, and score your first point.\Don't worry. Your training won't betray you.\Tokonami\Just keep receiving and connecting.\Yeah.\You mean 10 is their middle blocker?\But he can't be more than 160 cm tall. response:	Why are taller guys sitting on the bench?
context: Relax, and score your first point.\Don't worry. Your training won't betray you.\Tokonami\Just keep receiving and connecting.\Yeah.\You mean 10 is their middle blocker?\But he can't be more than 160 cm tall.\Why are taller guys sitting on the bench? response:	Their opponents are confused,
context: Don't worry. Your training won't betray you.\Tokonami\Just keep receiving and connecting.\Yeah.\You mean 10 is their middle blocker?\But he can't be more than 160 cm tall.\Why are taller guys sitting on the bench?\Their opponents are confused, response:	but you can't blame them.
context: Tokonami\Just keep receiving and connecting.\Yeah.\You mean 10 is their middle blocker?\But he can't be more than 160 cm tall.\Why are taller guys sitting on the bench?\Their opponents are confused,\but you can't blame them. response:	I mean, a middle blocker competes with the tallest players.
context: Just keep receiving and connecting.\Yeah.\You mean 10 is their middle blocker?\But he can't be more than 160 cm tall.\Why are taller guys sitting on the bench?\Their opponents are confused,\but you can't blame them.\I mean, a middle blocker competes with the tallest players. response:	Little 10 is a starter?
context: Yeah.\You mean 10 is their middle blocker?\But he can't be more than 160 cm tall.\Why are taller guys sitting on the bench?\Their opponents are confused,\but you can't blame them.\I mean, a middle blocker competes with the tallest players.\Little 10 is a starter? response:	He's not their libero, either.
context: You mean 10 is their middle blocker?\But he can't be more than 160 cm tall.\Why are taller guys sitting on the bench?\Their opponents are confused,\but you can't blame them.\I mean, a middle blocker competes with the tallest players.\Little 10 is a starter?\He's not their libero, either. response:	Those who underestimate him have another thing coming.
context: But he can't be more than 160 cm tall.\Why are taller guys sitting on the bench?\Their opponents are confused,\but you can't blame them.\I mean, a middle blocker competes with the tallest players.\Little 10 is a starter?\He's not their libero, either.\Those who underestimate him have another thing coming. response:	Spoken from experience.
context: Why are taller guys sitting on the bench?\Their opponents are confused,\but you can't blame them.\I mean, a middle blocker competes with the tallest players.\Little 10 is a starter?\He's not their libero, either.\Those who underestimate him have another thing coming.\Spoken from experience. response:	I'll grind them to dust next time.
context: Their opponents are confused,\but you can't blame them.\I mean, a middle blocker competes with the tallest players.\Little 10 is a starter?\He's not their libero, either.\Those who underestimate him have another thing coming.\Spoken from experience.\I'll grind them to dust next time. response:	Bring it on.
context: but you can't blame them.\I mean, a middle blocker competes with the tallest players.\Little 10 is a starter?\He's not their libero, either.\Those who underestimate him have another thing coming.\Spoken from experience.\I'll grind them to dust next time.\Bring it on. response:	Komaki, nice serve.
context: I mean, a middle blocker competes with the tallest players.\Little 10 is a starter?\He's not their libero, either.\Those who underestimate him have another thing coming.\Spoken from experience.\I'll grind them to dust next time.\Bring it on.\Komaki, nice serve. response:	Asahi.
context: Little 10 is a starter?\He's not their libero, either.\Those who underestimate him have another thing coming.\Spoken from experience.\I'll grind them to dust next time.\Bring it on.\Komaki, nice serve.\Asahi. response:	All right.
context: He's not their libero, either.\Those who underestimate him have another thing coming.\Spoken from experience.\I'll grind them to dust next time.\Bring it on.\Komaki, nice serve.\Asahi.\All right. response:	The first score... who do I choose?
context: Those who underestimate him have another thing coming.\Spoken from experience.\I'll grind them to dust next time.\Bring it on.\Komaki, nice serve.\Asahi.\All right.\The first score... who do I choose? response:	Nice receive.
context: Spoken from experience.\I'll grind them to dust next time.\Bring it on.\Komaki, nice serve.\Asahi.\All right.\The first score... who do I choose?\Nice receive. response:	If we score first,
context: I'll grind them to dust next time.\Bring it on.\Komaki, nice serve.\Asahi.\All right.\The first score... who do I choose?\Nice receive.\If we score first, response:	it'll boost our morale.
context: Bring it on.\Komaki, nice serve.\Asahi.\All right.\The first score... who do I choose?\Nice receive.\If we score first,\it'll boost our morale. response:	The first to score has to be...
context: Komaki, nice serve.\Asahi.\All right.\The first score... who do I choose?\Nice receive.\If we score first,\it'll boost our morale.\The first to score has to be... response:	Him.
context: Asahi.\All right.\The first score... who do I choose?\Nice receive.\If we score first,\it'll boost our morale.\The first to score has to be...\Him. response:	This one's mine.
context: All right.\The first score... who do I choose?\Nice receive.\If we score first,\it'll boost our morale.\The first to score has to be...\Him.\This one's mine. response:	Tanaka, nice serve
context: The first score... who do I choose?\Nice receive.\If we score first,\it'll boost our morale.\The first to score has to be...\Him.\This one's mine.\Tanaka, nice serve response:	Take that!
context: Nice receive.\If we score first,\it'll boost our morale.\The first to score has to be...\Him.\This one's mine.\Tanaka, nice serve\Take that! response:	Nice opening
context: If we score first,\it'll boost our morale.\The first to score has to be...\Him.\This one's mine.\Tanaka, nice serve\Take that!\Nice opening response:	Shut up! That's too much!
context: it'll boost our morale.\The first to score has to be...\Him.\This one's mine.\Tanaka, nice serve\Take that!\Nice opening\Shut up! That's too much! response:	Karasuno's already in trouble.
context: The first to score has to be...\Him.\This one's mine.\Tanaka, nice serve\Take that!\Nice opening\Shut up! That's too much!\Karasuno's already in trouble. response:	That was fast. How dumb.
context: Him.\This one's mine.\Tanaka, nice serve\Take that!\Nice opening\Shut up! That's too much!\Karasuno's already in trouble.\That was fast. How dumb. response:	Don't worry. Don't worry.
context: This one's mine.\Tanaka, nice serve\Take that!\Nice opening\Shut up! That's too much!\Karasuno's already in trouble.\That was fast. How dumb.\Don't worry. Don't worry. response:	Let's turn the tables on them.
context: Tanaka, nice serve\Take that!\Nice opening\Shut up! That's too much!\Karasuno's already in trouble.\That was fast. How dumb.\Don't worry. Don't worry.\Let's turn the tables on them. response:	Relax. We'll score back.
context: Take that!\Nice opening\Shut up! That's too much!\Karasuno's already in trouble.\That was fast. How dumb.\Don't worry. Don't worry.\Let's turn the tables on them.\Relax. We'll score back. response:	Tanaka, nice serve.
context: Nice opening\Shut up! That's too much!\Karasuno's already in trouble.\That was fast. How dumb.\Don't worry. Don't worry.\Let's turn the tables on them.\Relax. We'll score back.\Tanaka, nice serve. response:	It's that baldie.
context: Shut up! That's too much!\Karasuno's already in trouble.\That was fast. How dumb.\Don't worry. Don't worry.\Let's turn the tables on them.\Relax. We'll score back.\Tanaka, nice serve.\It's that baldie. response:	Okay.
context: Karasuno's already in trouble.\That was fast. How dumb.\Don't worry. Don't worry.\Let's turn the tables on them.\Relax. We'll score back.\Tanaka, nice serve.\It's that baldie.\Okay. response:	Nice receive.
context: That was fast. How dumb.\Don't worry. Don't worry.\Let's turn the tables on them.\Relax. We'll score back.\Tanaka, nice serve.\It's that baldie.\Okay.\Nice receive. response:	Ikejiri-san.
context: Don't worry. Don't worry.\Let's turn the tables on them.\Relax. We'll score back.\Tanaka, nice serve.\It's that baldie.\Okay.\Nice receive.\Ikejiri-san. response:	Amazing, he saved it.
context: Let's turn the tables on them.\Relax. We'll score back.\Tanaka, nice serve.\It's that baldie.\Okay.\Nice receive.\Ikejiri-san.\Amazing, he saved it. response:	That libero is fast.
context: Relax. We'll score back.\Tanaka, nice serve.\It's that baldie.\Okay.\Nice receive.\Ikejiri-san.\Amazing, he saved it.\That libero is fast. response:	Damn it. Couldn't get it to the setter.
context: Tanaka, nice serve.\It's that baldie.\Okay.\Nice receive.\Ikejiri-san.\Amazing, he saved it.\That libero is fast.\Damn it. Couldn't get it to the setter. response:	Asahi.
context: It's that baldie.\Okay.\Nice receive.\Ikejiri-san.\Amazing, he saved it.\That libero is fast.\Damn it. Couldn't get it to the setter.\Asahi. response:	Here it comes. Let's get ready.
context: Okay.\Nice receive.\Ikejiri-san.\Amazing, he saved it.\That libero is fast.\Damn it. Couldn't get it to the setter.\Asahi.\Here it comes. Let's get ready. response:	This one's yours, Ace.
context: Nice receive.\Ikejiri-san.\Amazing, he saved it.\That libero is fast.\Damn it. Couldn't get it to the setter.\Asahi.\Here it comes. Let's get ready.\This one's yours, Ace. response:	That old guy is awesome.
context: Ikejiri-san.\Amazing, he saved it.\That libero is fast.\Damn it. Couldn't get it to the setter.\Asahi.\Here it comes. Let's get ready.\This one's yours, Ace.\That old guy is awesome. response:	I hear it's his fifth year in high school.
context: Amazing, he saved it.\That libero is fast.\Damn it. Couldn't get it to the setter.\Asahi.\Here it comes. Let's get ready.\This one's yours, Ace.\That old guy is awesome.\I hear it's his fifth year in high school. response:	Are you serious? Is that even allowed?
context: That libero is fast.\Damn it. Couldn't get it to the setter.\Asahi.\Here it comes. Let's get ready.\This one's yours, Ace.\That old guy is awesome.\I hear it's his fifth year in high school.\Are you serious? Is that even allowed? response:	Maybe he can't get out.
context: Damn it. Couldn't get it to the setter.\Asahi.\Here it comes. Let's get ready.\This one's yours, Ace.\That old guy is awesome.\I hear it's his fifth year in high school.\Are you serious? Is that even allowed?\Maybe he can't get out. response:	Asahi, don't let it get to you.
context: Asahi.\Here it comes. Let's get ready.\This one's yours, Ace.\That old guy is awesome.\I hear it's his fifth year in high school.\Are you serious? Is that even allowed?\Maybe he can't get out.\Asahi, don't let it get to you. response:	Wow, that's awesome power.
context: Here it comes. Let's get ready.\This one's yours, Ace.\That old guy is awesome.\I hear it's his fifth year in high school.\Are you serious? Is that even allowed?\Maybe he can't get out.\Asahi, don't let it get to you.\Wow, that's awesome power. response:	Yes.
context: This one's yours, Ace.\That old guy is awesome.\I hear it's his fifth year in high school.\Are you serious? Is that even allowed?\Maybe he can't get out.\Asahi, don't let it get to you.\Wow, that's awesome power.\Yes. response:	Did you see the power of our left side?
context: That old guy is awesome.\I hear it's his fifth year in high school.\Are you serious? Is that even allowed?\Maybe he can't get out.\Asahi, don't let it get to you.\Wow, that's awesome power.\Yes.\Did you see the power of our left side? response:	But we have other weapons, too...
context: I hear it's his fifth year in high school.\Are you serious? Is that even allowed?\Maybe he can't get out.\Asahi, don't let it get to you.\Wow, that's awesome power.\Yes.\Did you see the power of our left side?\But we have other weapons, too... response:	Shut up. I know.
context: Are you serious? Is that even allowed?\Maybe he can't get out.\Asahi, don't let it get to you.\Wow, that's awesome power.\Yes.\Did you see the power of our left side?\But we have other weapons, too...\Shut up. I know. response:	Tanaka, another nice serve.
context: Maybe he can't get out.\Asahi, don't let it get to you.\Wow, that's awesome power.\Yes.\Did you see the power of our left side?\But we have other weapons, too...\Shut up. I know.\Tanaka, another nice serve. response:	All right.
context: Asahi, don't let it get to you.\Wow, that's awesome power.\Yes.\Did you see the power of our left side?\But we have other weapons, too...\Shut up. I know.\Tanaka, another nice serve.\All right. response:	You are all strong. Karasuno is strong.
context: Wow, that's awesome power.\Yes.\Did you see the power of our left side?\But we have other weapons, too...\Shut up. I know.\Tanaka, another nice serve.\All right.\You are all strong. Karasuno is strong. response:	Let's show everyone in the stadium
context: Yes.\Did you see the power of our left side?\But we have other weapons, too...\Shut up. I know.\Tanaka, another nice serve.\All right.\You are all strong. Karasuno is strong.\Let's show everyone in the stadium response:	that we ravens can fly.
context: Did you see the power of our left side?\But we have other weapons, too...\Shut up. I know.\Tanaka, another nice serve.\All right.\You are all strong. Karasuno is strong.\Let's show everyone in the stadium\that we ravens can fly. response:	He's flying.
context: But we have other weapons, too...\Shut up. I know.\Tanaka, another nice serve.\All right.\You are all strong. Karasuno is strong.\Let's show everyone in the stadium\that we ravens can fly.\He's flying. response:	Look!
context: Shut up. I know.\Tanaka, another nice serve.\All right.\You are all strong. Karasuno is strong.\Let's show everyone in the stadium\that we ravens can fly.\He's flying.\Look! response:	Fly
