context: Subaru, I'm coming in. response:	O-Ojou-sama, please wait one moment.
context: What happened between you and Subaru nyu.\The way Subaru acts toward you...\You should've noticed too nyu.\What did you say to Subaru nyu?\I d-d-didn't say anything.\Liar.\If you won't tell me...\Stop! response:	Ow...
context: The way Subaru acts toward you...\You should've noticed too nyu.\What did you say to Subaru nyu?\I d-d-didn't say anything.\Liar.\If you won't tell me...\Stop!\Ow... response:	What's this?
context: You should've noticed too nyu.\What did you say to Subaru nyu?\I d-d-didn't say anything.\Liar.\If you won't tell me...\Stop!\Ow...\What's this? response:	It's the equipment to stop the hiccups.
context: What did you say to Subaru nyu?\I d-d-didn't say anything.\Liar.\If you won't tell me...\Stop!\Ow...\What's this?\It's the equipment to stop the hiccups. response:	I brought it from the mansion.
context: I d-d-didn't say anything.\Liar.\If you won't tell me...\Stop!\Ow...\What's this?\It's the equipment to stop the hiccups.\I brought it from the mansion. response:	Wasn't that way too quick?
context: Liar.\If you won't tell me...\Stop!\Ow...\What's this?\It's the equipment to stop the hiccups.\I brought it from the mansion.\Wasn't that way too quick? response:	But Jirou, what's up with your clothes?
context: If you won't tell me...\Stop!\Ow...\What's this?\It's the equipment to stop the hiccups.\I brought it from the mansion.\Wasn't that way too quick?\But Jirou, what's up with your clothes? response:	And Ojou-sama too.
context: Stop!\Ow...\What's this?\It's the equipment to stop the hiccups.\I brought it from the mansion.\Wasn't that way too quick?\But Jirou, what's up with your clothes?\And Ojou-sama too. response:	It's nothing, Subaru.
context: Ow...\What's this?\It's the equipment to stop the hiccups.\I brought it from the mansion.\Wasn't that way too quick?\But Jirou, what's up with your clothes?\And Ojou-sama too.\It's nothing, Subaru. response:	Jirou just tried to take advantage of me.
context: What's this?\It's the equipment to stop the hiccups.\I brought it from the mansion.\Wasn't that way too quick?\But Jirou, what's up with your clothes?\And Ojou-sama too.\It's nothing, Subaru.\Jirou just tried to take advantage of me. response:	It's you who tried to take advantage of me!
context: It's the equipment to stop the hiccups.\I brought it from the mansion.\Wasn't that way too quick?\But Jirou, what's up with your clothes?\And Ojou-sama too.\It's nothing, Subaru.\Jirou just tried to take advantage of me.\It's you who tried to take advantage of me! response:	Well, my hiccups stopped so let's go back to class.
context: I brought it from the mansion.\Wasn't that way too quick?\But Jirou, what's up with your clothes?\And Ojou-sama too.\It's nothing, Subaru.\Jirou just tried to take advantage of me.\It's you who tried to take advantage of me!\Well, my hiccups stopped so let's go back to class. response:	When did it stop?
context: Wasn't that way too quick?\But Jirou, what's up with your clothes?\And Ojou-sama too.\It's nothing, Subaru.\Jirou just tried to take advantage of me.\It's you who tried to take advantage of me!\Well, my hiccups stopped so let's go back to class.\When did it stop? response:	Let's go, Jirou-kun.
context: But Jirou, what's up with your clothes?\And Ojou-sama too.\It's nothing, Subaru.\Jirou just tried to take advantage of me.\It's you who tried to take advantage of me!\Well, my hiccups stopped so let's go back to class.\When did it stop?\Let's go, Jirou-kun. response:	It stopped so suddenly.
context: And Ojou-sama too.\It's nothing, Subaru.\Jirou just tried to take advantage of me.\It's you who tried to take advantage of me!\Well, my hiccups stopped so let's go back to class.\When did it stop?\Let's go, Jirou-kun.\It stopped so suddenly. response:	You did say that it's your only weakness.
context: It's nothing, Subaru.\Jirou just tried to take advantage of me.\It's you who tried to take advantage of me!\Well, my hiccups stopped so let's go back to class.\When did it stop?\Let's go, Jirou-kun.\It stopped so suddenly.\You did say that it's your only weakness. response:	Did you do it on purpose?
context: Jirou just tried to take advantage of me.\It's you who tried to take advantage of me!\Well, my hiccups stopped so let's go back to class.\When did it stop?\Let's go, Jirou-kun.\It stopped so suddenly.\You did say that it's your only weakness.\Did you do it on purpose? response:	Girls hold many secrets nyu.
context: It's you who tried to take advantage of me!\Well, my hiccups stopped so let's go back to class.\When did it stop?\Let's go, Jirou-kun.\It stopped so suddenly.\You did say that it's your only weakness.\Did you do it on purpose?\Girls hold many secrets nyu. response:	But Jirou-kun, you really are too nice.
context: Well, my hiccups stopped so let's go back to class.\When did it stop?\Let's go, Jirou-kun.\It stopped so suddenly.\You did say that it's your only weakness.\Did you do it on purpose?\Girls hold many secrets nyu.\But Jirou-kun, you really are too nice. response:	It was fun being alone with you.
context: When did it stop?\Let's go, Jirou-kun.\It stopped so suddenly.\You did say that it's your only weakness.\Did you do it on purpose?\Girls hold many secrets nyu.\But Jirou-kun, you really are too nice.\It was fun being alone with you. response:	What are you saying?
context: Let's go, Jirou-kun.\It stopped so suddenly.\You did say that it's your only weakness.\Did you do it on purpose?\Girls hold many secrets nyu.\But Jirou-kun, you really are too nice.\It was fun being alone with you.\What are you saying? response:	What's that supposed to mean?
context: It stopped so suddenly.\You did say that it's your only weakness.\Did you do it on purpose?\Girls hold many secrets nyu.\But Jirou-kun, you really are too nice.\It was fun being alone with you.\What are you saying?\What's that supposed to mean? response:	What?
context: You did say that it's your only weakness.\Did you do it on purpose?\Girls hold many secrets nyu.\But Jirou-kun, you really are too nice.\It was fun being alone with you.\What are you saying?\What's that supposed to mean?\What? response:	It's not like I really meant-
context: Did you do it on purpose?\Girls hold many secrets nyu.\But Jirou-kun, you really are too nice.\It was fun being alone with you.\What are you saying?\What's that supposed to mean?\What?\It's not like I really meant- response:	Suzutsuki!
context: Girls hold many secrets nyu.\But Jirou-kun, you really are too nice.\It was fun being alone with you.\What are you saying?\What's that supposed to mean?\What?\It's not like I really meant-\Suzutsuki! response:	Ojou-sama!
context: But Jirou-kun, you really are too nice.\It was fun being alone with you.\What are you saying?\What's that supposed to mean?\What?\It's not like I really meant-\Suzutsuki!\Ojou-sama! response:	Konoe!
context: It was fun being alone with you.\What are you saying?\What's that supposed to mean?\What?\It's not like I really meant-\Suzutsuki!\Ojou-sama!\Konoe! response:	Suzutsuki!
context: What are you saying?\What's that supposed to mean?\What?\It's not like I really meant-\Suzutsuki!\Ojou-sama!\Konoe!\Suzutsuki! response:	Are you alright?!
context: What's that supposed to mean?\What?\It's not like I really meant-\Suzutsuki!\Ojou-sama!\Konoe!\Suzutsuki!\Are you alright?! response:	I'm fine.
context: What?\It's not like I really meant-\Suzutsuki!\Ojou-sama!\Konoe!\Suzutsuki!\Are you alright?!\I'm fine. response:	Ojou-sama, can you stand?
context: It's not like I really meant-\Suzutsuki!\Ojou-sama!\Konoe!\Suzutsuki!\Are you alright?!\I'm fine.\Ojou-sama, can you stand? response:	Yes...
context: Suzutsuki!\Ojou-sama!\Konoe!\Suzutsuki!\Are you alright?!\I'm fine.\Ojou-sama, can you stand?\Yes... response:	Ojou-sama?
context: Ojou-sama!\Konoe!\Suzutsuki!\Are you alright?!\I'm fine.\Ojou-sama, can you stand?\Yes...\Ojou-sama? response:	Ojou-sama?!
context: Konoe!\Suzutsuki!\Are you alright?!\I'm fine.\Ojou-sama, can you stand?\Yes...\Ojou-sama?\Ojou-sama?! response:	Ojou-sama?!
context: Suzutsuki!\Are you alright?!\I'm fine.\Ojou-sama, can you stand?\Yes...\Ojou-sama?\Ojou-sama?!\Ojou-sama?! response:	Suzutsuki-san's in trouble.
context: Are you alright?!\I'm fine.\Ojou-sama, can you stand?\Yes...\Ojou-sama?\Ojou-sama?!\Ojou-sama?!\Suzutsuki-san's in trouble. response:	What?
context: I'm fine.\Ojou-sama, can you stand?\Yes...\Ojou-sama?\Ojou-sama?!\Ojou-sama?!\Suzutsuki-san's in trouble.\What? response:	They even have a hospital under their management?
context: Ojou-sama, can you stand?\Yes...\Ojou-sama?\Ojou-sama?!\Ojou-sama?!\Suzutsuki-san's in trouble.\What?\They even have a hospital under their management? response:	You're making too much of a fuss over a sprained ankle.
context: Yes...\Ojou-sama?\Ojou-sama?!\Ojou-sama?!\Suzutsuki-san's in trouble.\What?\They even have a hospital under their management?\You're making too much of a fuss over a sprained ankle. response:	Just to make sure, please get a thorough check up.
context: Ojou-sama?\Ojou-sama?!\Ojou-sama?!\Suzutsuki-san's in trouble.\What?\They even have a hospital under their management?\You're making too much of a fuss over a sprained ankle.\Just to make sure, please get a thorough check up. response:	I'm very sorry.
context: Ojou-sama?!\Ojou-sama?!\Suzutsuki-san's in trouble.\What?\They even have a hospital under their management?\You're making too much of a fuss over a sprained ankle.\Just to make sure, please get a thorough check up.\I'm very sorry. response:	Even though I was with you.
context: Ojou-sama?!\Suzutsuki-san's in trouble.\What?\They even have a hospital under their management?\You're making too much of a fuss over a sprained ankle.\Just to make sure, please get a thorough check up.\I'm very sorry.\Even though I was with you. response:	It's fine.
context: Suzutsuki-san's in trouble.\What?\They even have a hospital under their management?\You're making too much of a fuss over a sprained ankle.\Just to make sure, please get a thorough check up.\I'm very sorry.\Even though I was with you.\It's fine. response:	It's not your fault.
context: What?\They even have a hospital under their management?\You're making too much of a fuss over a sprained ankle.\Just to make sure, please get a thorough check up.\I'm very sorry.\Even though I was with you.\It's fine.\It's not your fault. response:	It was my carelessness.
context: They even have a hospital under their management?\You're making too much of a fuss over a sprained ankle.\Just to make sure, please get a thorough check up.\I'm very sorry.\Even though I was with you.\It's fine.\It's not your fault.\It was my carelessness. response:	But...
context: You're making too much of a fuss over a sprained ankle.\Just to make sure, please get a thorough check up.\I'm very sorry.\Even though I was with you.\It's fine.\It's not your fault.\It was my carelessness.\But... response:	I'll tell father too.
context: Just to make sure, please get a thorough check up.\I'm very sorry.\Even though I was with you.\It's fine.\It's not your fault.\It was my carelessness.\But...\I'll tell father too. response:	That's why you don't have to worry.
context: I'm very sorry.\Even though I was with you.\It's fine.\It's not your fault.\It was my carelessness.\But...\I'll tell father too.\That's why you don't have to worry. response:	I will bring you something to drink.
context: Even though I was with you.\It's fine.\It's not your fault.\It was my carelessness.\But...\I'll tell father too.\That's why you don't have to worry.\I will bring you something to drink. response:	Konoe.
context: It's fine.\It's not your fault.\It was my carelessness.\But...\I'll tell father too.\That's why you don't have to worry.\I will bring you something to drink.\Konoe. response:	You look like the one that's seriously ill.
context: It's not your fault.\It was my carelessness.\But...\I'll tell father too.\That's why you don't have to worry.\I will bring you something to drink.\Konoe.\You look like the one that's seriously ill. response:	Hey.
context: It was my carelessness.\But...\I'll tell father too.\That's why you don't have to worry.\I will bring you something to drink.\Konoe.\You look like the one that's seriously ill.\Hey. response:	What's wrong?
context: But...\I'll tell father too.\That's why you don't have to worry.\I will bring you something to drink.\Konoe.\You look like the one that's seriously ill.\Hey.\What's wrong? response:	Hey...
context: I'll tell father too.\That's why you don't have to worry.\I will bring you something to drink.\Konoe.\You look like the one that's seriously ill.\Hey.\What's wrong?\Hey... response:	What the hell are you doing?!
context: That's why you don't have to worry.\I will bring you something to drink.\Konoe.\You look like the one that's seriously ill.\Hey.\What's wrong?\Hey...\What the hell are you doing?! response:	Old man!
context: I will bring you something to drink.\Konoe.\You look like the one that's seriously ill.\Hey.\What's wrong?\Hey...\What the hell are you doing?!\Old man! response:	You look like you want to be admitted.
context: Konoe.\You look like the one that's seriously ill.\Hey.\What's wrong?\Hey...\What the hell are you doing?!\Old man!\You look like you want to be admitted. response:	It's not what it looks like!
context: You look like the one that's seriously ill.\Hey.\What's wrong?\Hey...\What the hell are you doing?!\Old man!\You look like you want to be admitted.\It's not what it looks like! response:	Subaru.
context: Hey.\What's wrong?\Hey...\What the hell are you doing?!\Old man!\You look like you want to be admitted.\It's not what it looks like!\Subaru. response:	I'm sorry. Even though I was with her, I allowed her to get hurt.
context: What's wrong?\Hey...\What the hell are you doing?!\Old man!\You look like you want to be admitted.\It's not what it looks like!\Subaru.\I'm sorry. Even though I was with her, I allowed her to get hurt. response:	Go home and rest.
context: Hey...\What the hell are you doing?!\Old man!\You look like you want to be admitted.\It's not what it looks like!\Subaru.\I'm sorry. Even though I was with her, I allowed her to get hurt.\Go home and rest. response:	No, I will stay at the hospital.
context: What the hell are you doing?!\Old man!\You look like you want to be admitted.\It's not what it looks like!\Subaru.\I'm sorry. Even though I was with her, I allowed her to get hurt.\Go home and rest.\No, I will stay at the hospital. response:	I'm telling you to go home and rest.
context: Old man!\You look like you want to be admitted.\It's not what it looks like!\Subaru.\I'm sorry. Even though I was with her, I allowed her to get hurt.\Go home and rest.\No, I will stay at the hospital.\I'm telling you to go home and rest. response:	But, I have the responsibility of taking care of Ojou-sama's belongings.
context: You look like you want to be admitted.\It's not what it looks like!\Subaru.\I'm sorry. Even though I was with her, I allowed her to get hurt.\Go home and rest.\No, I will stay at the hospital.\I'm telling you to go home and rest.\But, I have the responsibility of taking care of Ojou-sama's belongings. response:	I'll do that.
context: It's not what it looks like!\Subaru.\I'm sorry. Even though I was with her, I allowed her to get hurt.\Go home and rest.\No, I will stay at the hospital.\I'm telling you to go home and rest.\But, I have the responsibility of taking care of Ojou-sama's belongings.\I'll do that. response:	You're not a butler anymore.
context: Subaru.\I'm sorry. Even though I was with her, I allowed her to get hurt.\Go home and rest.\No, I will stay at the hospital.\I'm telling you to go home and rest.\But, I have the responsibility of taking care of Ojou-sama's belongings.\I'll do that.\You're not a butler anymore. response:	Why, old man?
context: I'm sorry. Even though I was with her, I allowed her to get hurt.\Go home and rest.\No, I will stay at the hospital.\I'm telling you to go home and rest.\But, I have the responsibility of taking care of Ojou-sama's belongings.\I'll do that.\You're not a butler anymore.\Why, old man? response:	She let her precious Ojou-sama get injured.
context: Go home and rest.\No, I will stay at the hospital.\I'm telling you to go home and rest.\But, I have the responsibility of taking care of Ojou-sama's belongings.\I'll do that.\You're not a butler anymore.\Why, old man?\She let her precious Ojou-sama get injured. response:	It's obvious that as a butler, she has to take responsibility.
context: No, I will stay at the hospital.\I'm telling you to go home and rest.\But, I have the responsibility of taking care of Ojou-sama's belongings.\I'll do that.\You're not a butler anymore.\Why, old man?\She let her precious Ojou-sama get injured.\It's obvious that as a butler, she has to take responsibility. response:	Subaru, you've done well.
context: I'm telling you to go home and rest.\But, I have the responsibility of taking care of Ojou-sama's belongings.\I'll do that.\You're not a butler anymore.\Why, old man?\She let her precious Ojou-sama get injured.\It's obvious that as a butler, she has to take responsibility.\Subaru, you've done well. response:	You gave it your all.
context: But, I have the responsibility of taking care of Ojou-sama's belongings.\I'll do that.\You're not a butler anymore.\Why, old man?\She let her precious Ojou-sama get injured.\It's obvious that as a butler, she has to take responsibility.\Subaru, you've done well.\You gave it your all. response:	So rest now.
context: I'll do that.\You're not a butler anymore.\Why, old man?\She let her precious Ojou-sama get injured.\It's obvious that as a butler, she has to take responsibility.\Subaru, you've done well.\You gave it your all.\So rest now. response:	Wait!
context: You're not a butler anymore.\Why, old man?\She let her precious Ojou-sama get injured.\It's obvious that as a butler, she has to take responsibility.\Subaru, you've done well.\You gave it your all.\So rest now.\Wait! response:	I won't forgive Subaru if she quits
context: Why, old man?\She let her precious Ojou-sama get injured.\It's obvious that as a butler, she has to take responsibility.\Subaru, you've done well.\You gave it your all.\So rest now.\Wait!\I won't forgive Subaru if she quits response:	because Subaru is the best butler.
context: She let her precious Ojou-sama get injured.\It's obvious that as a butler, she has to take responsibility.\Subaru, you've done well.\You gave it your all.\So rest now.\Wait!\I won't forgive Subaru if she quits\because Subaru is the best butler. response:	Ojou-sama, this has already been decided.
context: It's obvious that as a butler, she has to take responsibility.\Subaru, you've done well.\You gave it your all.\So rest now.\Wait!\I won't forgive Subaru if she quits\because Subaru is the best butler.\Ojou-sama, this has already been decided. response:	I'll tell my father.
context: Subaru, you've done well.\You gave it your all.\So rest now.\Wait!\I won't forgive Subaru if she quits\because Subaru is the best butler.\Ojou-sama, this has already been decided.\I'll tell my father. response:	I'll definitely persuade my father.
context: You gave it your all.\So rest now.\Wait!\I won't forgive Subaru if she quits\because Subaru is the best butler.\Ojou-sama, this has already been decided.\I'll tell my father.\I'll definitely persuade my father. response:	It's impossible for Subaru.
context: So rest now.\Wait!\I won't forgive Subaru if she quits\because Subaru is the best butler.\Ojou-sama, this has already been decided.\I'll tell my father.\I'll definitely persuade my father.\It's impossible for Subaru. response:	And if she stops being a butler, she doesn't need to be a boy.
context: Wait!\I won't forgive Subaru if she quits\because Subaru is the best butler.\Ojou-sama, this has already been decided.\I'll tell my father.\I'll definitely persuade my father.\It's impossible for Subaru.\And if she stops being a butler, she doesn't need to be a boy. response:	If Subaru goes to school as a girl, she would...
context: I won't forgive Subaru if she quits\because Subaru is the best butler.\Ojou-sama, this has already been decided.\I'll tell my father.\I'll definitely persuade my father.\It's impossible for Subaru.\And if she stops being a butler, she doesn't need to be a boy.\If Subaru goes to school as a girl, she would... response:	Ojou-sama, where are you going?
context: because Subaru is the best butler.\Ojou-sama, this has already been decided.\I'll tell my father.\I'll definitely persuade my father.\It's impossible for Subaru.\And if she stops being a butler, she doesn't need to be a boy.\If Subaru goes to school as a girl, she would...\Ojou-sama, where are you going? response:	It's obvious. To see my father.
context: Ojou-sama, this has already been decided.\I'll tell my father.\I'll definitely persuade my father.\It's impossible for Subaru.\And if she stops being a butler, she doesn't need to be a boy.\If Subaru goes to school as a girl, she would...\Ojou-sama, where are you going?\It's obvious. To see my father. response:	Ojou-sama, it's fine!
context: I'll tell my father.\I'll definitely persuade my father.\It's impossible for Subaru.\And if she stops being a butler, she doesn't need to be a boy.\If Subaru goes to school as a girl, she would...\Ojou-sama, where are you going?\It's obvious. To see my father.\Ojou-sama, it's fine! response:	Subaru...?
context: I'll definitely persuade my father.\It's impossible for Subaru.\And if she stops being a butler, she doesn't need to be a boy.\If Subaru goes to school as a girl, she would...\Ojou-sama, where are you going?\It's obvious. To see my father.\Ojou-sama, it's fine!\Subaru...? response:	Thank you for taking care of me up until now.
context: It's impossible for Subaru.\And if she stops being a butler, she doesn't need to be a boy.\If Subaru goes to school as a girl, she would...\Ojou-sama, where are you going?\It's obvious. To see my father.\Ojou-sama, it's fine!\Subaru...?\Thank you for taking care of me up until now. response:	Although I wasn't perfect, being your butler really...
context: And if she stops being a butler, she doesn't need to be a boy.\If Subaru goes to school as a girl, she would...\Ojou-sama, where are you going?\It's obvious. To see my father.\Ojou-sama, it's fine!\Subaru...?\Thank you for taking care of me up until now.\Although I wasn't perfect, being your butler really... response:	Made me happy.
context: If Subaru goes to school as a girl, she would...\Ojou-sama, where are you going?\It's obvious. To see my father.\Ojou-sama, it's fine!\Subaru...?\Thank you for taking care of me up until now.\Although I wasn't perfect, being your butler really...\Made me happy. response:	Jirou-kun, please!
context: Ojou-sama, where are you going?\It's obvious. To see my father.\Ojou-sama, it's fine!\Subaru...?\Thank you for taking care of me up until now.\Although I wasn't perfect, being your butler really...\Made me happy.\Jirou-kun, please! response:	Konoe!
context: It's obvious. To see my father.\Ojou-sama, it's fine!\Subaru...?\Thank you for taking care of me up until now.\Although I wasn't perfect, being your butler really...\Made me happy.\Jirou-kun, please!\Konoe! response:	Wait, Konoe!
context: Ojou-sama, it's fine!\Subaru...?\Thank you for taking care of me up until now.\Although I wasn't perfect, being your butler really...\Made me happy.\Jirou-kun, please!\Konoe!\Wait, Konoe! response:	Let go!
context: Subaru...?\Thank you for taking care of me up until now.\Although I wasn't perfect, being your butler really...\Made me happy.\Jirou-kun, please!\Konoe!\Wait, Konoe!\Let go! response:	Like I would!
context: Thank you for taking care of me up until now.\Although I wasn't perfect, being your butler really...\Made me happy.\Jirou-kun, please!\Konoe!\Wait, Konoe!\Let go!\Like I would! response:	Even if I fall, I won't let you go.
context: Although I wasn't perfect, being your butler really...\Made me happy.\Jirou-kun, please!\Konoe!\Wait, Konoe!\Let go!\Like I would!\Even if I fall, I won't let you go. response:	Jirou...
context: Made me happy.\Jirou-kun, please!\Konoe!\Wait, Konoe!\Let go!\Like I would!\Even if I fall, I won't let you go.\Jirou... response:	Don't shoulder everything by yourself.
context: Jirou-kun, please!\Konoe!\Wait, Konoe!\Let go!\Like I would!\Even if I fall, I won't let you go.\Jirou...\Don't shoulder everything by yourself. response:	Your feelings of sadness.
context: Konoe!\Wait, Konoe!\Let go!\Like I would!\Even if I fall, I won't let you go.\Jirou...\Don't shoulder everything by yourself.\Your feelings of sadness. response:	Your feelings of regret.
context: Wait, Konoe!\Let go!\Like I would!\Even if I fall, I won't let you go.\Jirou...\Don't shoulder everything by yourself.\Your feelings of sadness.\Your feelings of regret. response:	Let me shoulder them.
context: Let go!\Like I would!\Even if I fall, I won't let you go.\Jirou...\Don't shoulder everything by yourself.\Your feelings of sadness.\Your feelings of regret.\Let me shoulder them. response:	I'll bear anything.
context: Like I would!\Even if I fall, I won't let you go.\Jirou...\Don't shoulder everything by yourself.\Your feelings of sadness.\Your feelings of regret.\Let me shoulder them.\I'll bear anything. response:	After all, I've been putting up with Kureha's techniques every morning.
context: Even if I fall, I won't let you go.\Jirou...\Don't shoulder everything by yourself.\Your feelings of sadness.\Your feelings of regret.\Let me shoulder them.\I'll bear anything.\After all, I've been putting up with Kureha's techniques every morning. response:	Jirou...
context: Jirou...\Don't shoulder everything by yourself.\Your feelings of sadness.\Your feelings of regret.\Let me shoulder them.\I'll bear anything.\After all, I've been putting up with Kureha's techniques every morning.\Jirou... response:	But it's okay.
context: Don't shoulder everything by yourself.\Your feelings of sadness.\Your feelings of regret.\Let me shoulder them.\I'll bear anything.\After all, I've been putting up with Kureha's techniques every morning.\Jirou...\But it's okay. response:	Now you don't have to keep the secret.
context: Your feelings of sadness.\Your feelings of regret.\Let me shoulder them.\I'll bear anything.\After all, I've been putting up with Kureha's techniques every morning.\Jirou...\But it's okay.\Now you don't have to keep the secret. response:	So it's time to say goodbye.
context: Your feelings of regret.\Let me shoulder them.\I'll bear anything.\After all, I've been putting up with Kureha's techniques every morning.\Jirou...\But it's okay.\Now you don't have to keep the secret.\So it's time to say goodbye. response:	I'm at my limit...
context: Let me shoulder them.\I'll bear anything.\After all, I've been putting up with Kureha's techniques every morning.\Jirou...\But it's okay.\Now you don't have to keep the secret.\So it's time to say goodbye.\I'm at my limit... response:	Konoe...
context: I'll bear anything.\After all, I've been putting up with Kureha's techniques every morning.\Jirou...\But it's okay.\Now you don't have to keep the secret.\So it's time to say goodbye.\I'm at my limit...\Konoe... response:	I'm not a butler anymore.
context: After all, I've been putting up with Kureha's techniques every morning.\Jirou...\But it's okay.\Now you don't have to keep the secret.\So it's time to say goodbye.\I'm at my limit...\Konoe...\I'm not a butler anymore. response:	I'm not a chicken-
context: Jirou...\But it's okay.\Now you don't have to keep the secret.\So it's time to say goodbye.\I'm at my limit...\Konoe...\I'm not a butler anymore.\I'm not a chicken- response:	You're not?
context: But it's okay.\Now you don't have to keep the secret.\So it's time to say goodbye.\I'm at my limit...\Konoe...\I'm not a butler anymore.\I'm not a chicken-\You're not? response:	I'll be a beast now.
context: Now you don't have to keep the secret.\So it's time to say goodbye.\I'm at my limit...\Konoe...\I'm not a butler anymore.\I'm not a chicken-\You're not?\I'll be a beast now. response:	I'll be a bold and wild man.
context: So it's time to say goodbye.\I'm at my limit...\Konoe...\I'm not a butler anymore.\I'm not a chicken-\You're not?\I'll be a beast now.\I'll be a bold and wild man. response:	Let's go, Konoe.
context: I'm at my limit...\Konoe...\I'm not a butler anymore.\I'm not a chicken-\You're not?\I'll be a beast now.\I'll be a bold and wild man.\Let's go, Konoe. response:	Jirou!
context: Konoe...\I'm not a butler anymore.\I'm not a chicken-\You're not?\I'll be a beast now.\I'll be a bold and wild man.\Let's go, Konoe.\Jirou! response:	Leave it to me.
context: I'm not a butler anymore.\I'm not a chicken-\You're not?\I'll be a beast now.\I'll be a bold and wild man.\Let's go, Konoe.\Jirou!\Leave it to me. response:	Okay, but make sure to put it on.
context: I'm not a chicken-\You're not?\I'll be a beast now.\I'll be a bold and wild man.\Let's go, Konoe.\Jirou!\Leave it to me.\Okay, but make sure to put it on. response:	I know...
context: You're not?\I'll be a beast now.\I'll be a bold and wild man.\Let's go, Konoe.\Jirou!\Leave it to me.\Okay, but make sure to put it on.\I know... response:	Put it on thick.
context: I'll be a beast now.\I'll be a bold and wild man.\Let's go, Konoe.\Jirou!\Leave it to me.\Okay, but make sure to put it on.\I know...\Put it on thick. response:	If you don't, I'll...
context: I'll be a bold and wild man.\Let's go, Konoe.\Jirou!\Leave it to me.\Okay, but make sure to put it on.\I know...\Put it on thick.\If you don't, I'll... response:	You really do have to put mayonnaise on takoyaki.
context: Let's go, Konoe.\Jirou!\Leave it to me.\Okay, but make sure to put it on.\I know...\Put it on thick.\If you don't, I'll...\You really do have to put mayonnaise on takoyaki. response:	The Butler Who Got Lost and I, the Chicken.
context: Jirou!\Leave it to me.\Okay, but make sure to put it on.\I know...\Put it on thick.\If you don't, I'll...\You really do have to put mayonnaise on takoyaki.\The Butler Who Got Lost and I, the Chicken. response:	The Butler Who Got Lost and I, the Chicken.
context: Leave it to me.\Okay, but make sure to put it on.\I know...\Put it on thick.\If you don't, I'll...\You really do have to put mayonnaise on takoyaki.\The Butler Who Got Lost and I, the Chicken.\The Butler Who Got Lost and I, the Chicken. response:	The Butler Who Got Lost and I, the Chicken.
context: Okay, but make sure to put it on.\I know...\Put it on thick.\If you don't, I'll...\You really do have to put mayonnaise on takoyaki.\The Butler Who Got Lost and I, the Chicken.\The Butler Who Got Lost and I, the Chicken.\The Butler Who Got Lost and I, the Chicken. response:	Can the two of us start over again?
