context: It is the end of the 1990's. response:	Japan was suffering the greatest economic recession since the War.
context: That voice!\It's dark!\I can't see anything!\1-A has no chance of winning no matter how much you talk!\Say what?!\The all-around winner is going to be 1-F.\Asapin! You're so disgusting.\What do you want? response:	You sound pretty confident. What did 1-F decide to do? (Text:But still the girls gather)
context: It's dark!\I can't see anything!\1-A has no chance of winning no matter how much you talk!\Say what?!\The all-around winner is going to be 1-F.\Asapin! You're so disgusting.\What do you want?\You sound pretty confident. What did 1-F decide to do? (Text:But still the girls gather) response:	Us?
context: I can't see anything!\1-A has no chance of winning no matter how much you talk!\Say what?!\The all-around winner is going to be 1-F.\Asapin! You're so disgusting.\What do you want?\You sound pretty confident. What did 1-F decide to do? (Text:But still the girls gather)\Us? response:	The Asaba Hideaki Dinner Show!
context: 1-A has no chance of winning no matter how much you talk!\Say what?!\The all-around winner is going to be 1-F.\Asapin! You're so disgusting.\What do you want?\You sound pretty confident. What did 1-F decide to do? (Text:But still the girls gather)\Us?\The Asaba Hideaki Dinner Show! response:	Huh?
context: Say what?!\The all-around winner is going to be 1-F.\Asapin! You're so disgusting.\What do you want?\You sound pretty confident. What did 1-F decide to do? (Text:But still the girls gather)\Us?\The Asaba Hideaki Dinner Show!\Huh? response:	Asaba Hideaki Dinner Show?
context: The all-around winner is going to be 1-F.\Asapin! You're so disgusting.\What do you want?\You sound pretty confident. What did 1-F decide to do? (Text:But still the girls gather)\Us?\The Asaba Hideaki Dinner Show!\Huh?\Asaba Hideaki Dinner Show? response:	Huh? (Text:The girls want to go already)
context: Asapin! You're so disgusting.\What do you want?\You sound pretty confident. What did 1-F decide to do? (Text:But still the girls gather)\Us?\The Asaba Hideaki Dinner Show!\Huh?\Asaba Hideaki Dinner Show?\Huh? (Text:The girls want to go already) response:	I'll be waiting with my pheromones at full blast.
context: What do you want?\You sound pretty confident. What did 1-F decide to do? (Text:But still the girls gather)\Us?\The Asaba Hideaki Dinner Show!\Huh?\Asaba Hideaki Dinner Show?\Huh? (Text:The girls want to go already)\I'll be waiting with my pheromones at full blast. response:	Adios, my lovely little kittens.
context: You sound pretty confident. What did 1-F decide to do? (Text:But still the girls gather)\Us?\The Asaba Hideaki Dinner Show!\Huh?\Asaba Hideaki Dinner Show?\Huh? (Text:The girls want to go already)\I'll be waiting with my pheromones at full blast.\Adios, my lovely little kittens. response:	DAMMIT! Now what do we do?!
context: Us?\The Asaba Hideaki Dinner Show!\Huh?\Asaba Hideaki Dinner Show?\Huh? (Text:The girls want to go already)\I'll be waiting with my pheromones at full blast.\Adios, my lovely little kittens.\DAMMIT! Now what do we do?! response:	I hate to admit it, but even 10 of us together are no match for
context: The Asaba Hideaki Dinner Show!\Huh?\Asaba Hideaki Dinner Show?\Huh? (Text:The girls want to go already)\I'll be waiting with my pheromones at full blast.\Adios, my lovely little kittens.\DAMMIT! Now what do we do?!\I hate to admit it, but even 10 of us together are no match for response:	the pheromones he has by himself!
context: Huh?\Asaba Hideaki Dinner Show?\Huh? (Text:The girls want to go already)\I'll be waiting with my pheromones at full blast.\Adios, my lovely little kittens.\DAMMIT! Now what do we do?!\I hate to admit it, but even 10 of us together are no match for\the pheromones he has by himself! response:	No kidding.
context: Asaba Hideaki Dinner Show?\Huh? (Text:The girls want to go already)\I'll be waiting with my pheromones at full blast.\Adios, my lovely little kittens.\DAMMIT! Now what do we do?!\I hate to admit it, but even 10 of us together are no match for\the pheromones he has by himself!\No kidding. response:	Arima! You should do it too! Don't worry, we can win!
context: Huh? (Text:The girls want to go already)\I'll be waiting with my pheromones at full blast.\Adios, my lovely little kittens.\DAMMIT! Now what do we do?!\I hate to admit it, but even 10 of us together are no match for\the pheromones he has by himself!\No kidding.\Arima! You should do it too! Don't worry, we can win! response:	Like hell, what are you thinking?!
context: I'll be waiting with my pheromones at full blast.\Adios, my lovely little kittens.\DAMMIT! Now what do we do?!\I hate to admit it, but even 10 of us together are no match for\the pheromones he has by himself!\No kidding.\Arima! You should do it too! Don't worry, we can win!\Like hell, what are you thinking?! response:	Arima-kun too?!
context: Adios, my lovely little kittens.\DAMMIT! Now what do we do?!\I hate to admit it, but even 10 of us together are no match for\the pheromones he has by himself!\No kidding.\Arima! You should do it too! Don't worry, we can win!\Like hell, what are you thinking?!\Arima-kun too?! response:	Do you want us to lose?!
context: DAMMIT! Now what do we do?!\I hate to admit it, but even 10 of us together are no match for\the pheromones he has by himself!\No kidding.\Arima! You should do it too! Don't worry, we can win!\Like hell, what are you thinking?!\Arima-kun too?!\Do you want us to lose?! response:	You're our class representative!
context: I hate to admit it, but even 10 of us together are no match for\the pheromones he has by himself!\No kidding.\Arima! You should do it too! Don't worry, we can win!\Like hell, what are you thinking?!\Arima-kun too?!\Do you want us to lose?!\You're our class representative! response:	I said I'm not doing it!!
context: the pheromones he has by himself!\No kidding.\Arima! You should do it too! Don't worry, we can win!\Like hell, what are you thinking?!\Arima-kun too?!\Do you want us to lose?!\You're our class representative!\I said I'm not doing it!! response:	Think of your class! (Eyes:The Best)
context: No kidding.\Arima! You should do it too! Don't worry, we can win!\Like hell, what are you thinking?!\Arima-kun too?!\Do you want us to lose?!\You're our class representative!\I said I'm not doing it!!\Think of your class! (Eyes:The Best) response:	Now, strip! C'mon!
context: Arima! You should do it too! Don't worry, we can win!\Like hell, what are you thinking?!\Arima-kun too?!\Do you want us to lose?!\You're our class representative!\I said I'm not doing it!!\Think of your class! (Eyes:The Best)\Now, strip! C'mon! response:	Miyazawa, y...you have a glazed look in your eyes!
context: Like hell, what are you thinking?!\Arima-kun too?!\Do you want us to lose?!\You're our class representative!\I said I'm not doing it!!\Think of your class! (Eyes:The Best)\Now, strip! C'mon!\Miyazawa, y...you have a glazed look in your eyes! response:	NOOO!!
context: Arima-kun too?!\Do you want us to lose?!\You're our class representative!\I said I'm not doing it!!\Think of your class! (Eyes:The Best)\Now, strip! C'mon!\Miyazawa, y...you have a glazed look in your eyes!\NOOO!! response:	Rika-chan, Rika-chan!
context: Do you want us to lose?!\You're our class representative!\I said I'm not doing it!!\Think of your class! (Eyes:The Best)\Now, strip! C'mon!\Miyazawa, y...you have a glazed look in your eyes!\NOOO!!\Rika-chan, Rika-chan! response:	What's up?
context: You're our class representative!\I said I'm not doing it!!\Think of your class! (Eyes:The Best)\Now, strip! C'mon!\Miyazawa, y...you have a glazed look in your eyes!\NOOO!!\Rika-chan, Rika-chan!\What's up? response:	A new student just transferred into our class.
context: I said I'm not doing it!!\Think of your class! (Eyes:The Best)\Now, strip! C'mon!\Miyazawa, y...you have a glazed look in your eyes!\NOOO!!\Rika-chan, Rika-chan!\What's up?\A new student just transferred into our class. response:	He's so cool! Check him out!
context: Think of your class! (Eyes:The Best)\Now, strip! C'mon!\Miyazawa, y...you have a glazed look in your eyes!\NOOO!!\Rika-chan, Rika-chan!\What's up?\A new student just transferred into our class.\He's so cool! Check him out! response:	His name is Tonami Takefumi-kun,
context: Now, strip! C'mon!\Miyazawa, y...you have a glazed look in your eyes!\NOOO!!\Rika-chan, Rika-chan!\What's up?\A new student just transferred into our class.\He's so cool! Check him out!\His name is Tonami Takefumi-kun, response:	and he came from Okinawa!
context: Miyazawa, y...you have a glazed look in your eyes!\NOOO!!\Rika-chan, Rika-chan!\What's up?\A new student just transferred into our class.\He's so cool! Check him out!\His name is Tonami Takefumi-kun,\and he came from Okinawa! response:	Tonami Takefumi?
context: NOOO!!\Rika-chan, Rika-chan!\What's up?\A new student just transferred into our class.\He's so cool! Check him out!\His name is Tonami Takefumi-kun,\and he came from Okinawa!\Tonami Takefumi? response:	Do you know him?
context: Rika-chan, Rika-chan!\What's up?\A new student just transferred into our class.\He's so cool! Check him out!\His name is Tonami Takefumi-kun,\and he came from Okinawa!\Tonami Takefumi?\Do you know him? response:	Oh...Um... no, it must be someone else.
context: What's up?\A new student just transferred into our class.\He's so cool! Check him out!\His name is Tonami Takefumi-kun,\and he came from Okinawa!\Tonami Takefumi?\Do you know him?\Oh...Um... no, it must be someone else. response:	Oh, but I hear Tonami-kun used to live around here.
context: A new student just transferred into our class.\He's so cool! Check him out!\His name is Tonami Takefumi-kun,\and he came from Okinawa!\Tonami Takefumi?\Do you know him?\Oh...Um... no, it must be someone else.\Oh, but I hear Tonami-kun used to live around here. response:	Sena Rika...
context: He's so cool! Check him out!\His name is Tonami Takefumi-kun,\and he came from Okinawa!\Tonami Takefumi?\Do you know him?\Oh...Um... no, it must be someone else.\Oh, but I hear Tonami-kun used to live around here.\Sena Rika... response:	What? Takefumi's HERE?!
context: His name is Tonami Takefumi-kun,\and he came from Okinawa!\Tonami Takefumi?\Do you know him?\Oh...Um... no, it must be someone else.\Oh, but I hear Tonami-kun used to live around here.\Sena Rika...\What? Takefumi's HERE?! response:	It must be someone else.
context: and he came from Okinawa!\Tonami Takefumi?\Do you know him?\Oh...Um... no, it must be someone else.\Oh, but I hear Tonami-kun used to live around here.\Sena Rika...\What? Takefumi's HERE?!\It must be someone else. response:	I thought it might be him too, but he was a totally different person.
context: Tonami Takefumi?\Do you know him?\Oh...Um... no, it must be someone else.\Oh, but I hear Tonami-kun used to live around here.\Sena Rika...\What? Takefumi's HERE?!\It must be someone else.\I thought it might be him too, but he was a totally different person. response:	I guess there are people with the same name.
context: Do you know him?\Oh...Um... no, it must be someone else.\Oh, but I hear Tonami-kun used to live around here.\Sena Rika...\What? Takefumi's HERE?!\It must be someone else.\I thought it might be him too, but he was a totally different person.\I guess there are people with the same name. response:	Oh...
context: Oh...Um... no, it must be someone else.\Oh, but I hear Tonami-kun used to live around here.\Sena Rika...\What? Takefumi's HERE?!\It must be someone else.\I thought it might be him too, but he was a totally different person.\I guess there are people with the same name.\Oh... response:	Ahhh, Takefumi... it really brings back memories.
context: Oh, but I hear Tonami-kun used to live around here.\Sena Rika...\What? Takefumi's HERE?!\It must be someone else.\I thought it might be him too, but he was a totally different person.\I guess there are people with the same name.\Oh...\Ahhh, Takefumi... it really brings back memories. response:	I hope he didn't get picked on in Okinawa.
context: Sena Rika...\What? Takefumi's HERE?!\It must be someone else.\I thought it might be him too, but he was a totally different person.\I guess there are people with the same name.\Oh...\Ahhh, Takefumi... it really brings back memories.\I hope he didn't get picked on in Okinawa. response:	What?
context: What? Takefumi's HERE?!\It must be someone else.\I thought it might be him too, but he was a totally different person.\I guess there are people with the same name.\Oh...\Ahhh, Takefumi... it really brings back memories.\I hope he didn't get picked on in Okinawa.\What? response:	Aren't you the one who'd be in the most hot water if Tonami came back?
context: It must be someone else.\I thought it might be him too, but he was a totally different person.\I guess there are people with the same name.\Oh...\Ahhh, Takefumi... it really brings back memories.\I hope he didn't get picked on in Okinawa.\What?\Aren't you the one who'd be in the most hot water if Tonami came back? response:	Why?
context: I thought it might be him too, but he was a totally different person.\I guess there are people with the same name.\Oh...\Ahhh, Takefumi... it really brings back memories.\I hope he didn't get picked on in Okinawa.\What?\Aren't you the one who'd be in the most hot water if Tonami came back?\Why? response:	You've quieted down a lot recently, but you were really mean back in middle school.
context: I guess there are people with the same name.\Oh...\Ahhh, Takefumi... it really brings back memories.\I hope he didn't get picked on in Okinawa.\What?\Aren't you the one who'd be in the most hot water if Tonami came back?\Why?\You've quieted down a lot recently, but you were really mean back in middle school. response:	You used Tonami as your gopher, or rather, your lackey or even, your very own servant.
context: Oh...\Ahhh, Takefumi... it really brings back memories.\I hope he didn't get picked on in Okinawa.\What?\Aren't you the one who'd be in the most hot water if Tonami came back?\Why?\You've quieted down a lot recently, but you were really mean back in middle school.\You used Tonami as your gopher, or rather, your lackey or even, your very own servant. response:	I bet Tonami really resented it.
context: Ahhh, Takefumi... it really brings back memories.\I hope he didn't get picked on in Okinawa.\What?\Aren't you the one who'd be in the most hot water if Tonami came back?\Why?\You've quieted down a lot recently, but you were really mean back in middle school.\You used Tonami as your gopher, or rather, your lackey or even, your very own servant.\I bet Tonami really resented it. response:	You'll definitely be a target for revenge some day.
context: I hope he didn't get picked on in Okinawa.\What?\Aren't you the one who'd be in the most hot water if Tonami came back?\Why?\You've quieted down a lot recently, but you were really mean back in middle school.\You used Tonami as your gopher, or rather, your lackey or even, your very own servant.\I bet Tonami really resented it.\You'll definitely be a target for revenge some day. response:	Sakura Tsubaki.
context: What?\Aren't you the one who'd be in the most hot water if Tonami came back?\Why?\You've quieted down a lot recently, but you were really mean back in middle school.\You used Tonami as your gopher, or rather, your lackey or even, your very own servant.\I bet Tonami really resented it.\You'll definitely be a target for revenge some day.\Sakura Tsubaki. response:	I'm opposed!
context: Aren't you the one who'd be in the most hot water if Tonami came back?\Why?\You've quieted down a lot recently, but you were really mean back in middle school.\You used Tonami as your gopher, or rather, your lackey or even, your very own servant.\I bet Tonami really resented it.\You'll definitely be a target for revenge some day.\Sakura Tsubaki.\I'm opposed! response:	Should we allow such an extremely frivolous feature as a dinner show...
context: Why?\You've quieted down a lot recently, but you were really mean back in middle school.\You used Tonami as your gopher, or rather, your lackey or even, your very own servant.\I bet Tonami really resented it.\You'll definitely be a target for revenge some day.\Sakura Tsubaki.\I'm opposed!\Should we allow such an extremely frivolous feature as a dinner show... response:	This only has profits in mind
context: You've quieted down a lot recently, but you were really mean back in middle school.\You used Tonami as your gopher, or rather, your lackey or even, your very own servant.\I bet Tonami really resented it.\You'll definitely be a target for revenge some day.\Sakura Tsubaki.\I'm opposed!\Should we allow such an extremely frivolous feature as a dinner show...\This only has profits in mind response:	and deviates from the original objective of a Culture Fair! (Text: *Culture* fair)
context: You used Tonami as your gopher, or rather, your lackey or even, your very own servant.\I bet Tonami really resented it.\You'll definitely be a target for revenge some day.\Sakura Tsubaki.\I'm opposed!\Should we allow such an extremely frivolous feature as a dinner show...\This only has profits in mind\and deviates from the original objective of a Culture Fair! (Text: *Culture* fair) response:	But the girls sports teams' hostess lounge has been approved...
context: I bet Tonami really resented it.\You'll definitely be a target for revenge some day.\Sakura Tsubaki.\I'm opposed!\Should we allow such an extremely frivolous feature as a dinner show...\This only has profits in mind\and deviates from the original objective of a Culture Fair! (Text: *Culture* fair)\But the girls sports teams' hostess lounge has been approved... response:	Huh?
context: You'll definitely be a target for revenge some day.\Sakura Tsubaki.\I'm opposed!\Should we allow such an extremely frivolous feature as a dinner show...\This only has profits in mind\and deviates from the original objective of a Culture Fair! (Text: *Culture* fair)\But the girls sports teams' hostess lounge has been approved...\Huh? response:	It appears that 1-A is concerned that we will have high profits.
context: Sakura Tsubaki.\I'm opposed!\Should we allow such an extremely frivolous feature as a dinner show...\This only has profits in mind\and deviates from the original objective of a Culture Fair! (Text: *Culture* fair)\But the girls sports teams' hostess lounge has been approved...\Huh?\It appears that 1-A is concerned that we will have high profits. response:	They must be really afraid of us.
context: I'm opposed!\Should we allow such an extremely frivolous feature as a dinner show...\This only has profits in mind\and deviates from the original objective of a Culture Fair! (Text: *Culture* fair)\But the girls sports teams' hostess lounge has been approved...\Huh?\It appears that 1-A is concerned that we will have high profits.\They must be really afraid of us. response:	Who are you?
context: Should we allow such an extremely frivolous feature as a dinner show...\This only has profits in mind\and deviates from the original objective of a Culture Fair! (Text: *Culture* fair)\But the girls sports teams' hostess lounge has been approved...\Huh?\It appears that 1-A is concerned that we will have high profits.\They must be really afraid of us.\Who are you? response:	Fukada Kouhei, 1-F representative.
context: This only has profits in mind\and deviates from the original objective of a Culture Fair! (Text: *Culture* fair)\But the girls sports teams' hostess lounge has been approved...\Huh?\It appears that 1-A is concerned that we will have high profits.\They must be really afraid of us.\Who are you?\Fukada Kouhei, 1-F representative. response:	The proposer of the Asaba Hideaki Dinner Show project.
context: and deviates from the original objective of a Culture Fair! (Text: *Culture* fair)\But the girls sports teams' hostess lounge has been approved...\Huh?\It appears that 1-A is concerned that we will have high profits.\They must be really afraid of us.\Who are you?\Fukada Kouhei, 1-F representative.\The proposer of the Asaba Hideaki Dinner Show project. response:	The producer, I suppose.
context: But the girls sports teams' hostess lounge has been approved...\Huh?\It appears that 1-A is concerned that we will have high profits.\They must be really afraid of us.\Who are you?\Fukada Kouhei, 1-F representative.\The proposer of the Asaba Hideaki Dinner Show project.\The producer, I suppose. response:	Who the hell is this guy?! He's really annoying, especially his face.
context: Huh?\It appears that 1-A is concerned that we will have high profits.\They must be really afraid of us.\Who are you?\Fukada Kouhei, 1-F representative.\The proposer of the Asaba Hideaki Dinner Show project.\The producer, I suppose.\Who the hell is this guy?! He's really annoying, especially his face. response:	Do you really think you can hold a dinner show in a high school?! Stop it at once!
context: It appears that 1-A is concerned that we will have high profits.\They must be really afraid of us.\Who are you?\Fukada Kouhei, 1-F representative.\The proposer of the Asaba Hideaki Dinner Show project.\The producer, I suppose.\Who the hell is this guy?! He's really annoying, especially his face.\Do you really think you can hold a dinner show in a high school?! Stop it at once! response:	I'll never give it up!
context: They must be really afraid of us.\Who are you?\Fukada Kouhei, 1-F representative.\The proposer of the Asaba Hideaki Dinner Show project.\The producer, I suppose.\Who the hell is this guy?! He's really annoying, especially his face.\Do you really think you can hold a dinner show in a high school?! Stop it at once!\I'll never give it up! response:	1-A never had a chance of winning.
context: Who are you?\Fukada Kouhei, 1-F representative.\The proposer of the Asaba Hideaki Dinner Show project.\The producer, I suppose.\Who the hell is this guy?! He's really annoying, especially his face.\Do you really think you can hold a dinner show in a high school?! Stop it at once!\I'll never give it up!\1-A never had a chance of winning. response:	The overall winner will be 1-F.
context: Fukada Kouhei, 1-F representative.\The proposer of the Asaba Hideaki Dinner Show project.\The producer, I suppose.\Who the hell is this guy?! He's really annoying, especially his face.\Do you really think you can hold a dinner show in a high school?! Stop it at once!\I'll never give it up!\1-A never had a chance of winning.\The overall winner will be 1-F. response:	1-A is sure to finish last... LAST!
context: The proposer of the Asaba Hideaki Dinner Show project.\The producer, I suppose.\Who the hell is this guy?! He's really annoying, especially his face.\Do you really think you can hold a dinner show in a high school?! Stop it at once!\I'll never give it up!\1-A never had a chance of winning.\The overall winner will be 1-F.\1-A is sure to finish last... LAST! response:	Last?!
context: The producer, I suppose.\Who the hell is this guy?! He's really annoying, especially his face.\Do you really think you can hold a dinner show in a high school?! Stop it at once!\I'll never give it up!\1-A never had a chance of winning.\The overall winner will be 1-F.\1-A is sure to finish last... LAST!\Last?! response:	Don't say that!
context: Who the hell is this guy?! He's really annoying, especially his face.\Do you really think you can hold a dinner show in a high school?! Stop it at once!\I'll never give it up!\1-A never had a chance of winning.\The overall winner will be 1-F.\1-A is sure to finish last... LAST!\Last?!\Don't say that! response:	Miyazawa's going to...
context: Do you really think you can hold a dinner show in a high school?! Stop it at once!\I'll never give it up!\1-A never had a chance of winning.\The overall winner will be 1-F.\1-A is sure to finish last... LAST!\Last?!\Don't say that!\Miyazawa's going to... response:	Ah
context: I'll never give it up!\1-A never had a chance of winning.\The overall winner will be 1-F.\1-A is sure to finish last... LAST!\Last?!\Don't say that!\Miyazawa's going to...\Ah response:	I'm number one!!
context: 1-A never had a chance of winning.\The overall winner will be 1-F.\1-A is sure to finish last... LAST!\Last?!\Don't say that!\Miyazawa's going to...\Ah\I'm number one!! response:	I SAID, 1-F will be number one!
context: The overall winner will be 1-F.\1-A is sure to finish last... LAST!\Last?!\Don't say that!\Miyazawa's going to...\Ah\I'm number one!!\I SAID, 1-F will be number one! response:	Well, when I hear words like first place and profit, my battle-thirsty blood gets boiling.
context: 1-A is sure to finish last... LAST!\Last?!\Don't say that!\Miyazawa's going to...\Ah\I'm number one!!\I SAID, 1-F will be number one!\Well, when I hear words like first place and profit, my battle-thirsty blood gets boiling. response:	And you were just saying that you weren't interested in the Culture Fair.
context: Last?!\Don't say that!\Miyazawa's going to...\Ah\I'm number one!!\I SAID, 1-F will be number one!\Well, when I hear words like first place and profit, my battle-thirsty blood gets boiling.\And you were just saying that you weren't interested in the Culture Fair. response:	I hate to admit it, but this dinner show is a good plan.
context: Don't say that!\Miyazawa's going to...\Ah\I'm number one!!\I SAID, 1-F will be number one!\Well, when I hear words like first place and profit, my battle-thirsty blood gets boiling.\And you were just saying that you weren't interested in the Culture Fair.\I hate to admit it, but this dinner show is a good plan. response:	It's a good choice that thoroughly makes the most of pheromone-boy's sexy energy.
context: Miyazawa's going to...\Ah\I'm number one!!\I SAID, 1-F will be number one!\Well, when I hear words like first place and profit, my battle-thirsty blood gets boiling.\And you were just saying that you weren't interested in the Culture Fair.\I hate to admit it, but this dinner show is a good plan.\It's a good choice that thoroughly makes the most of pheromone-boy's sexy energy. response:	And we shouldn't underestimate Fukada's producing and political power.
context: Ah\I'm number one!!\I SAID, 1-F will be number one!\Well, when I hear words like first place and profit, my battle-thirsty blood gets boiling.\And you were just saying that you weren't interested in the Culture Fair.\I hate to admit it, but this dinner show is a good plan.\It's a good choice that thoroughly makes the most of pheromone-boy's sexy energy.\And we shouldn't underestimate Fukada's producing and political power. response:	1-A is rather lacking in a winning tactic.
context: I'm number one!!\I SAID, 1-F will be number one!\Well, when I hear words like first place and profit, my battle-thirsty blood gets boiling.\And you were just saying that you weren't interested in the Culture Fair.\I hate to admit it, but this dinner show is a good plan.\It's a good choice that thoroughly makes the most of pheromone-boy's sexy energy.\And we shouldn't underestimate Fukada's producing and political power.\1-A is rather lacking in a winning tactic. response:	Even if we can't take first place,
context: I SAID, 1-F will be number one!\Well, when I hear words like first place and profit, my battle-thirsty blood gets boiling.\And you were just saying that you weren't interested in the Culture Fair.\I hate to admit it, but this dinner show is a good plan.\It's a good choice that thoroughly makes the most of pheromone-boy's sexy energy.\And we shouldn't underestimate Fukada's producing and political power.\1-A is rather lacking in a winning tactic.\Even if we can't take first place, response:	it'll be enough if everyone in 1-A has fun.
context: Well, when I hear words like first place and profit, my battle-thirsty blood gets boiling.\And you were just saying that you weren't interested in the Culture Fair.\I hate to admit it, but this dinner show is a good plan.\It's a good choice that thoroughly makes the most of pheromone-boy's sexy energy.\And we shouldn't underestimate Fukada's producing and political power.\1-A is rather lacking in a winning tactic.\Even if we can't take first place,\it'll be enough if everyone in 1-A has fun. response:	How disgustingly beautiful!
context: And you were just saying that you weren't interested in the Culture Fair.\I hate to admit it, but this dinner show is a good plan.\It's a good choice that thoroughly makes the most of pheromone-boy's sexy energy.\And we shouldn't underestimate Fukada's producing and political power.\1-A is rather lacking in a winning tactic.\Even if we can't take first place,\it'll be enough if everyone in 1-A has fun.\How disgustingly beautiful! response:	I can't stand such pure ideals!
context: I hate to admit it, but this dinner show is a good plan.\It's a good choice that thoroughly makes the most of pheromone-boy's sexy energy.\And we shouldn't underestimate Fukada's producing and political power.\1-A is rather lacking in a winning tactic.\Even if we can't take first place,\it'll be enough if everyone in 1-A has fun.\How disgustingly beautiful!\I can't stand such pure ideals! response:	There's no point if you can't come in first!
context: It's a good choice that thoroughly makes the most of pheromone-boy's sexy energy.\And we shouldn't underestimate Fukada's producing and political power.\1-A is rather lacking in a winning tactic.\Even if we can't take first place,\it'll be enough if everyone in 1-A has fun.\How disgustingly beautiful!\I can't stand such pure ideals!\There's no point if you can't come in first! response:	Oh, um... we're all alone, aren't we.
context: And we shouldn't underestimate Fukada's producing and political power.\1-A is rather lacking in a winning tactic.\Even if we can't take first place,\it'll be enough if everyone in 1-A has fun.\How disgustingly beautiful!\I can't stand such pure ideals!\There's no point if you can't come in first!\Oh, um... we're all alone, aren't we. response:	Your body...
context: 1-A is rather lacking in a winning tactic.\Even if we can't take first place,\it'll be enough if everyone in 1-A has fun.\How disgustingly beautiful!\I can't stand such pure ideals!\There's no point if you can't come in first!\Oh, um... we're all alone, aren't we.\Your body... response:	I'm a guy, so I don't know much about that kind of thing...
context: Even if we can't take first place,\it'll be enough if everyone in 1-A has fun.\How disgustingly beautiful!\I can't stand such pure ideals!\There's no point if you can't come in first!\Oh, um... we're all alone, aren't we.\Your body...\I'm a guy, so I don't know much about that kind of thing... response:	Oh, I'm fine. Don't worry.
context: it'll be enough if everyone in 1-A has fun.\How disgustingly beautiful!\I can't stand such pure ideals!\There's no point if you can't come in first!\Oh, um... we're all alone, aren't we.\Your body...\I'm a guy, so I don't know much about that kind of thing...\Oh, I'm fine. Don't worry. response:	Besides, how should I put it...
context: How disgustingly beautiful!\I can't stand such pure ideals!\There's no point if you can't come in first!\Oh, um... we're all alone, aren't we.\Your body...\I'm a guy, so I don't know much about that kind of thing...\Oh, I'm fine. Don't worry.\Besides, how should I put it... response:	I was so happy.
context: I can't stand such pure ideals!\There's no point if you can't come in first!\Oh, um... we're all alone, aren't we.\Your body...\I'm a guy, so I don't know much about that kind of thing...\Oh, I'm fine. Don't worry.\Besides, how should I put it...\I was so happy. response:	Happy?
context: There's no point if you can't come in first!\Oh, um... we're all alone, aren't we.\Your body...\I'm a guy, so I don't know much about that kind of thing...\Oh, I'm fine. Don't worry.\Besides, how should I put it...\I was so happy.\Happy? response:	You're always gentle when you touch me.
context: Oh, um... we're all alone, aren't we.\Your body...\I'm a guy, so I don't know much about that kind of thing...\Oh, I'm fine. Don't worry.\Besides, how should I put it...\I was so happy.\Happy?\You're always gentle when you touch me. response:	I can tell that you care about me.
context: Your body...\I'm a guy, so I don't know much about that kind of thing...\Oh, I'm fine. Don't worry.\Besides, how should I put it...\I was so happy.\Happy?\You're always gentle when you touch me.\I can tell that you care about me. response:	Oh, I do try to do that for you too,
context: I'm a guy, so I don't know much about that kind of thing...\Oh, I'm fine. Don't worry.\Besides, how should I put it...\I was so happy.\Happy?\You're always gentle when you touch me.\I can tell that you care about me.\Oh, I do try to do that for you too, response:	although I end up kicking and hitting you all the time!
context: Oh, I'm fine. Don't worry.\Besides, how should I put it...\I was so happy.\Happy?\You're always gentle when you touch me.\I can tell that you care about me.\Oh, I do try to do that for you too,\although I end up kicking and hitting you all the time! response:	But I do have good intentions!
context: Besides, how should I put it...\I was so happy.\Happy?\You're always gentle when you touch me.\I can tell that you care about me.\Oh, I do try to do that for you too,\although I end up kicking and hitting you all the time!\But I do have good intentions! response:	Doing work together like this really makes me realize we're back in school again.
context: I was so happy.\Happy?\You're always gentle when you touch me.\I can tell that you care about me.\Oh, I do try to do that for you too,\although I end up kicking and hitting you all the time!\But I do have good intentions!\Doing work together like this really makes me realize we're back in school again. response:	Yeah.
context: Happy?\You're always gentle when you touch me.\I can tell that you care about me.\Oh, I do try to do that for you too,\although I end up kicking and hitting you all the time!\But I do have good intentions!\Doing work together like this really makes me realize we're back in school again.\Yeah. response:	I wonder if we won't be able to see each other much like during the Athletics Festival.
context: You're always gentle when you touch me.\I can tell that you care about me.\Oh, I do try to do that for you too,\although I end up kicking and hitting you all the time!\But I do have good intentions!\Doing work together like this really makes me realize we're back in school again.\Yeah.\I wonder if we won't be able to see each other much like during the Athletics Festival. response:	Who knows. I wouldn't want to think about that.
context: I can tell that you care about me.\Oh, I do try to do that for you too,\although I end up kicking and hitting you all the time!\But I do have good intentions!\Doing work together like this really makes me realize we're back in school again.\Yeah.\I wonder if we won't be able to see each other much like during the Athletics Festival.\Who knows. I wouldn't want to think about that. response:	As long as you are by my side, I am...
context: Oh, I do try to do that for you too,\although I end up kicking and hitting you all the time!\But I do have good intentions!\Doing work together like this really makes me realize we're back in school again.\Yeah.\I wonder if we won't be able to see each other much like during the Athletics Festival.\Who knows. I wouldn't want to think about that.\As long as you are by my side, I am... response:	I'm home!
context: although I end up kicking and hitting you all the time!\But I do have good intentions!\Doing work together like this really makes me realize we're back in school again.\Yeah.\I wonder if we won't be able to see each other much like during the Athletics Festival.\Who knows. I wouldn't want to think about that.\As long as you are by my side, I am...\I'm home! response:	Let's eat!
context: But I do have good intentions!\Doing work together like this really makes me realize we're back in school again.\Yeah.\I wonder if we won't be able to see each other much like during the Athletics Festival.\Who knows. I wouldn't want to think about that.\As long as you are by my side, I am...\I'm home!\Let's eat! response:	Thanks for the meal! Good night!
