context: -So, do your time-leap, and change this world for us! -Big Brother Yu! response:	-Is this world really going to change? -Just make sure to time it right.
context: The future from hereon will be fine. Please rest assured and live on...\I'll always love you. Goodbye.\So, shall we go?\Yes.\And so, I left from the lives of you and Ayumi.\There. The end.\You created the current educational institution by repeatedly time-leaping?\That's amazing... response:	Nao, I'm sorry we didn't make it in time for your big brother.
context: I'll always love you. Goodbye.\So, shall we go?\Yes.\And so, I left from the lives of you and Ayumi.\There. The end.\You created the current educational institution by repeatedly time-leaping?\That's amazing...\Nao, I'm sorry we didn't make it in time for your big brother. response:	No, he's steadily heading towards recovery now, so it's all right.
context: So, shall we go?\Yes.\And so, I left from the lives of you and Ayumi.\There. The end.\You created the current educational institution by repeatedly time-leaping?\That's amazing...\Nao, I'm sorry we didn't make it in time for your big brother.\No, he's steadily heading towards recovery now, so it's all right. response:	So an ability had erased my memory of you, Big Brother?
context: Yes.\And so, I left from the lives of you and Ayumi.\There. The end.\You created the current educational institution by repeatedly time-leaping?\That's amazing...\Nao, I'm sorry we didn't make it in time for your big brother.\No, he's steadily heading towards recovery now, so it's all right.\So an ability had erased my memory of you, Big Brother? response:	Yeah, that's how it was.
context: And so, I left from the lives of you and Ayumi.\There. The end.\You created the current educational institution by repeatedly time-leaping?\That's amazing...\Nao, I'm sorry we didn't make it in time for your big brother.\No, he's steadily heading towards recovery now, so it's all right.\So an ability had erased my memory of you, Big Brother?\Yeah, that's how it was. response:	You even lost your eyesight...
context: There. The end.\You created the current educational institution by repeatedly time-leaping?\That's amazing...\Nao, I'm sorry we didn't make it in time for your big brother.\No, he's steadily heading towards recovery now, so it's all right.\So an ability had erased my memory of you, Big Brother?\Yeah, that's how it was.\You even lost your eyesight... response:	I tried it out, but I couldn't leap anymore.
context: You created the current educational institution by repeatedly time-leaping?\That's amazing...\Nao, I'm sorry we didn't make it in time for your big brother.\No, he's steadily heading towards recovery now, so it's all right.\So an ability had erased my memory of you, Big Brother?\Yeah, that's how it was.\You even lost your eyesight...\I tried it out, but I couldn't leap anymore. response:	But, there is something I still have left undone.
context: That's amazing...\Nao, I'm sorry we didn't make it in time for your big brother.\No, he's steadily heading towards recovery now, so it's all right.\So an ability had erased my memory of you, Big Brother?\Yeah, that's how it was.\You even lost your eyesight...\I tried it out, but I couldn't leap anymore.\But, there is something I still have left undone. response:	That was supposed to be a promise between us
context: Nao, I'm sorry we didn't make it in time for your big brother.\No, he's steadily heading towards recovery now, so it's all right.\So an ability had erased my memory of you, Big Brother?\Yeah, that's how it was.\You even lost your eyesight...\I tried it out, but I couldn't leap anymore.\But, there is something I still have left undone.\That was supposed to be a promise between us response:	that we absolutely have to fulfill, right?
context: No, he's steadily heading towards recovery now, so it's all right.\So an ability had erased my memory of you, Big Brother?\Yeah, that's how it was.\You even lost your eyesight...\I tried it out, but I couldn't leap anymore.\But, there is something I still have left undone.\That was supposed to be a promise between us\that we absolutely have to fulfill, right? response:	You can't mean... saving Ayumi...
context: So an ability had erased my memory of you, Big Brother?\Yeah, that's how it was.\You even lost your eyesight...\I tried it out, but I couldn't leap anymore.\But, there is something I still have left undone.\That was supposed to be a promise between us\that we absolutely have to fulfill, right?\You can't mean... saving Ayumi... response:	But how?
context: Yeah, that's how it was.\You even lost your eyesight...\I tried it out, but I couldn't leap anymore.\But, there is something I still have left undone.\That was supposed to be a promise between us\that we absolutely have to fulfill, right?\You can't mean... saving Ayumi...\But how? response:	With your ability to loot, take my time-leap as yours.
context: You even lost your eyesight...\I tried it out, but I couldn't leap anymore.\But, there is something I still have left undone.\That was supposed to be a promise between us\that we absolutely have to fulfill, right?\You can't mean... saving Ayumi...\But how?\With your ability to loot, take my time-leap as yours. response:	Loot... come to think, also in the dream...
context: I tried it out, but I couldn't leap anymore.\But, there is something I still have left undone.\That was supposed to be a promise between us\that we absolutely have to fulfill, right?\You can't mean... saving Ayumi...\But how?\With your ability to loot, take my time-leap as yours.\Loot... come to think, also in the dream... response:	Taking the ability of a wielder as your own.
context: But, there is something I still have left undone.\That was supposed to be a promise between us\that we absolutely have to fulfill, right?\You can't mean... saving Ayumi...\But how?\With your ability to loot, take my time-leap as yours.\Loot... come to think, also in the dream...\Taking the ability of a wielder as your own. response:	That is your true power.
context: That was supposed to be a promise between us\that we absolutely have to fulfill, right?\You can't mean... saving Ayumi...\But how?\With your ability to loot, take my time-leap as yours.\Loot... come to think, also in the dream...\Taking the ability of a wielder as your own.\That is your true power. response:	What's up with that?
context: that we absolutely have to fulfill, right?\You can't mean... saving Ayumi...\But how?\With your ability to loot, take my time-leap as yours.\Loot... come to think, also in the dream...\Taking the ability of a wielder as your own.\That is your true power.\What's up with that? response:	Takajo and I were aware of it.
context: You can't mean... saving Ayumi...\But how?\With your ability to loot, take my time-leap as yours.\Loot... come to think, also in the dream...\Taking the ability of a wielder as your own.\That is your true power.\What's up with that?\Takajo and I were aware of it. response:	Huh?
context: But how?\With your ability to loot, take my time-leap as yours.\Loot... come to think, also in the dream...\Taking the ability of a wielder as your own.\That is your true power.\What's up with that?\Takajo and I were aware of it.\Huh? response:	From the very beginning, he had seen through your ability.
context: With your ability to loot, take my time-leap as yours.\Loot... come to think, also in the dream...\Taking the ability of a wielder as your own.\That is your true power.\What's up with that?\Takajo and I were aware of it.\Huh?\From the very beginning, he had seen through your ability. response:	His ability... is the looting of special abilities.
context: Loot... come to think, also in the dream...\Taking the ability of a wielder as your own.\That is your true power.\What's up with that?\Takajo and I were aware of it.\Huh?\From the very beginning, he had seen through your ability.\His ability... is the looting of special abilities. response:	Oh dear, to think such an ability existed...
context: Taking the ability of a wielder as your own.\That is your true power.\What's up with that?\Takajo and I were aware of it.\Huh?\From the very beginning, he had seen through your ability.\His ability... is the looting of special abilities.\Oh dear, to think such an ability existed... response:	It's way too strong...
context: That is your true power.\What's up with that?\Takajo and I were aware of it.\Huh?\From the very beginning, he had seen through your ability.\His ability... is the looting of special abilities.\Oh dear, to think such an ability existed...\It's way too strong... response:	we must first investigate on how the abilities are looted.
context: What's up with that?\Takajo and I were aware of it.\Huh?\From the very beginning, he had seen through your ability.\His ability... is the looting of special abilities.\Oh dear, to think such an ability existed...\It's way too strong...\we must first investigate on how the abilities are looted. response:	Right.
context: Takajo and I were aware of it.\Huh?\From the very beginning, he had seen through your ability.\His ability... is the looting of special abilities.\Oh dear, to think such an ability existed...\It's way too strong...\we must first investigate on how the abilities are looted.\Right. response:	We should both act very carefully as well.
context: Huh?\From the very beginning, he had seen through your ability.\His ability... is the looting of special abilities.\Oh dear, to think such an ability existed...\It's way too strong...\we must first investigate on how the abilities are looted.\Right.\We should both act very carefully as well. response:	As a result of our investigation,
context: From the very beginning, he had seen through your ability.\His ability... is the looting of special abilities.\Oh dear, to think such an ability existed...\It's way too strong...\we must first investigate on how the abilities are looted.\Right.\We should both act very carefully as well.\As a result of our investigation, response:	we found out that you had misunderstood what your ability was.
context: His ability... is the looting of special abilities.\Oh dear, to think such an ability existed...\It's way too strong...\we must first investigate on how the abilities are looted.\Right.\We should both act very carefully as well.\As a result of our investigation,\we found out that you had misunderstood what your ability was. response:	It's not that you are merely possessing them.
context: Oh dear, to think such an ability existed...\It's way too strong...\we must first investigate on how the abilities are looted.\Right.\We should both act very carefully as well.\As a result of our investigation,\we found out that you had misunderstood what your ability was.\It's not that you are merely possessing them. response:	The method with which you looted abilities was by possessing them.
context: It's way too strong...\we must first investigate on how the abilities are looted.\Right.\We should both act very carefully as well.\As a result of our investigation,\we found out that you had misunderstood what your ability was.\It's not that you are merely possessing them.\The method with which you looted abilities was by possessing them. response:	As proof of that, everyone who you have possessed until now
context: we must first investigate on how the abilities are looted.\Right.\We should both act very carefully as well.\As a result of our investigation,\we found out that you had misunderstood what your ability was.\It's not that you are merely possessing them.\The method with which you looted abilities was by possessing them.\As proof of that, everyone who you have possessed until now response:	have lost their abilities.
context: Right.\We should both act very carefully as well.\As a result of our investigation,\we found out that you had misunderstood what your ability was.\It's not that you are merely possessing them.\The method with which you looted abilities was by possessing them.\As proof of that, everyone who you have possessed until now\have lost their abilities. response:	Wait! Then, you didn't have to make such a big deal every time!
context: We should both act very carefully as well.\As a result of our investigation,\we found out that you had misunderstood what your ability was.\It's not that you are merely possessing them.\The method with which you looted abilities was by possessing them.\As proof of that, everyone who you have possessed until now\have lost their abilities.\Wait! Then, you didn't have to make such a big deal every time! response:	Everything would have been fine if I just possessed the target, right?
context: As a result of our investigation,\we found out that you had misunderstood what your ability was.\It's not that you are merely possessing them.\The method with which you looted abilities was by possessing them.\As proof of that, everyone who you have possessed until now\have lost their abilities.\Wait! Then, you didn't have to make such a big deal every time!\Everything would have been fine if I just possessed the target, right? response:	That, even for wielders of special abilities, goes against human ethics.
context: we found out that you had misunderstood what your ability was.\It's not that you are merely possessing them.\The method with which you looted abilities was by possessing them.\As proof of that, everyone who you have possessed until now\have lost their abilities.\Wait! Then, you didn't have to make such a big deal every time!\Everything would have been fine if I just possessed the target, right?\That, even for wielders of special abilities, goes against human ethics. response:	We figured that you needed to know why
context: It's not that you are merely possessing them.\The method with which you looted abilities was by possessing them.\As proof of that, everyone who you have possessed until now\have lost their abilities.\Wait! Then, you didn't have to make such a big deal every time!\Everything would have been fine if I just possessed the target, right?\That, even for wielders of special abilities, goes against human ethics.\We figured that you needed to know why response:	you should not be using that ability.
context: The method with which you looted abilities was by possessing them.\As proof of that, everyone who you have possessed until now\have lost their abilities.\Wait! Then, you didn't have to make such a big deal every time!\Everything would have been fine if I just possessed the target, right?\That, even for wielders of special abilities, goes against human ethics.\We figured that you needed to know why\you should not be using that ability. response:	Furthermore, how dangerous of an existence
context: As proof of that, everyone who you have possessed until now\have lost their abilities.\Wait! Then, you didn't have to make such a big deal every time!\Everything would have been fine if I just possessed the target, right?\That, even for wielders of special abilities, goes against human ethics.\We figured that you needed to know why\you should not be using that ability.\Furthermore, how dangerous of an existence response:	you become if you keep looting abilities...
context: have lost their abilities.\Wait! Then, you didn't have to make such a big deal every time!\Everything would have been fine if I just possessed the target, right?\That, even for wielders of special abilities, goes against human ethics.\We figured that you needed to know why\you should not be using that ability.\Furthermore, how dangerous of an existence\you become if you keep looting abilities... response:	It was fortunate that you didn't realize this until now.
context: Wait! Then, you didn't have to make such a big deal every time!\Everything would have been fine if I just possessed the target, right?\That, even for wielders of special abilities, goes against human ethics.\We figured that you needed to know why\you should not be using that ability.\Furthermore, how dangerous of an existence\you become if you keep looting abilities...\It was fortunate that you didn't realize this until now. response:	Nothing less from Nao! You really got this!
context: Everything would have been fine if I just possessed the target, right?\That, even for wielders of special abilities, goes against human ethics.\We figured that you needed to know why\you should not be using that ability.\Furthermore, how dangerous of an existence\you become if you keep looting abilities...\It was fortunate that you didn't realize this until now.\Nothing less from Nao! You really got this! response:	Then, I...
context: That, even for wielders of special abilities, goes against human ethics.\We figured that you needed to know why\you should not be using that ability.\Furthermore, how dangerous of an existence\you become if you keep looting abilities...\It was fortunate that you didn't realize this until now.\Nothing less from Nao! You really got this!\Then, I... response:	My ability itself should not have been lost.
context: We figured that you needed to know why\you should not be using that ability.\Furthermore, how dangerous of an existence\you become if you keep looting abilities...\It was fortunate that you didn't realize this until now.\Nothing less from Nao! You really got this!\Then, I...\My ability itself should not have been lost. response:	Loot that, so you can leap to the past, and save Ayumi.
context: you should not be using that ability.\Furthermore, how dangerous of an existence\you become if you keep looting abilities...\It was fortunate that you didn't realize this until now.\Nothing less from Nao! You really got this!\Then, I...\My ability itself should not have been lost.\Loot that, so you can leap to the past, and save Ayumi. response:	All right?
context: Furthermore, how dangerous of an existence\you become if you keep looting abilities...\It was fortunate that you didn't realize this until now.\Nothing less from Nao! You really got this!\Then, I...\My ability itself should not have been lost.\Loot that, so you can leap to the past, and save Ayumi.\All right? response:	The day you leap to is the day that Ayumi develops her ability.
context: you become if you keep looting abilities...\It was fortunate that you didn't realize this until now.\Nothing less from Nao! You really got this!\Then, I...\My ability itself should not have been lost.\Loot that, so you can leap to the past, and save Ayumi.\All right?\The day you leap to is the day that Ayumi develops her ability. response:	Leap to that day, and loot the dangerous ability of
context: It was fortunate that you didn't realize this until now.\Nothing less from Nao! You really got this!\Then, I...\My ability itself should not have been lost.\Loot that, so you can leap to the past, and save Ayumi.\All right?\The day you leap to is the day that Ayumi develops her ability.\Leap to that day, and loot the dangerous ability of response:	collapse from Ayumi.
context: Nothing less from Nao! You really got this!\Then, I...\My ability itself should not have been lost.\Loot that, so you can leap to the past, and save Ayumi.\All right?\The day you leap to is the day that Ayumi develops her ability.\Leap to that day, and loot the dangerous ability of\collapse from Ayumi. response:	Afterwards, come to me who is ignorant of all this,
context: Then, I...\My ability itself should not have been lost.\Loot that, so you can leap to the past, and save Ayumi.\All right?\The day you leap to is the day that Ayumi develops her ability.\Leap to that day, and loot the dangerous ability of\collapse from Ayumi.\Afterwards, come to me who is ignorant of all this, response:	and explain to me what is going to happen from thereon.
context: My ability itself should not have been lost.\Loot that, so you can leap to the past, and save Ayumi.\All right?\The day you leap to is the day that Ayumi develops her ability.\Leap to that day, and loot the dangerous ability of\collapse from Ayumi.\Afterwards, come to me who is ignorant of all this,\and explain to me what is going to happen from thereon. response:	Got that?
context: Loot that, so you can leap to the past, and save Ayumi.\All right?\The day you leap to is the day that Ayumi develops her ability.\Leap to that day, and loot the dangerous ability of\collapse from Ayumi.\Afterwards, come to me who is ignorant of all this,\and explain to me what is going to happen from thereon.\Got that? response:	I can save Ayumi...
context: All right?\The day you leap to is the day that Ayumi develops her ability.\Leap to that day, and loot the dangerous ability of\collapse from Ayumi.\Afterwards, come to me who is ignorant of all this,\and explain to me what is going to happen from thereon.\Got that?\I can save Ayumi... response:	All right.
context: The day you leap to is the day that Ayumi develops her ability.\Leap to that day, and loot the dangerous ability of\collapse from Ayumi.\Afterwards, come to me who is ignorant of all this,\and explain to me what is going to happen from thereon.\Got that?\I can save Ayumi...\All right. response:	Good. Then, I'm counting on you.
context: Leap to that day, and loot the dangerous ability of\collapse from Ayumi.\Afterwards, come to me who is ignorant of all this,\and explain to me what is going to happen from thereon.\Got that?\I can save Ayumi...\All right.\Good. Then, I'm counting on you. response:	I'm leaving you to do the rest, Yu...
context: collapse from Ayumi.\Afterwards, come to me who is ignorant of all this,\and explain to me what is going to happen from thereon.\Got that?\I can save Ayumi...\All right.\Good. Then, I'm counting on you.\I'm leaving you to do the rest, Yu... response:	Yeah. To save Ayumi.
context: Afterwards, come to me who is ignorant of all this,\and explain to me what is going to happen from thereon.\Got that?\I can save Ayumi...\All right.\Good. Then, I'm counting on you.\I'm leaving you to do the rest, Yu...\Yeah. To save Ayumi. response:	Go!
context: and explain to me what is going to happen from thereon.\Got that?\I can save Ayumi...\All right.\Good. Then, I'm counting on you.\I'm leaving you to do the rest, Yu...\Yeah. To save Ayumi.\Go! response:	Ayumi...
context: Got that?\I can save Ayumi...\All right.\Good. Then, I'm counting on you.\I'm leaving you to do the rest, Yu...\Yeah. To save Ayumi.\Go!\Ayumi... response:	Today's date is...
context: I can save Ayumi...\All right.\Good. Then, I'm counting on you.\I'm leaving you to do the rest, Yu...\Yeah. To save Ayumi.\Go!\Ayumi...\Today's date is... response:	All right, I was able to get back!
context: All right.\Good. Then, I'm counting on you.\I'm leaving you to do the rest, Yu...\Yeah. To save Ayumi.\Go!\Ayumi...\Today's date is...\All right, I was able to get back! response:	The ability is... collapse.
context: Good. Then, I'm counting on you.\I'm leaving you to do the rest, Yu...\Yeah. To save Ayumi.\Go!\Ayumi...\Today's date is...\All right, I was able to get back!\The ability is... collapse. response:	Here we go!
context: I'm leaving you to do the rest, Yu...\Yeah. To save Ayumi.\Go!\Ayumi...\Today's date is...\All right, I was able to get back!\The ability is... collapse.\Here we go! response:	What kind of ability is that?
context: Yeah. To save Ayumi.\Go!\Ayumi...\Today's date is...\All right, I was able to get back!\The ability is... collapse.\Here we go!\What kind of ability is that? response:	Who knows?
context: Go!\Ayumi...\Today's date is...\All right, I was able to get back!\The ability is... collapse.\Here we go!\What kind of ability is that?\Who knows? response:	Probably something like able to destroy anything he targets or thereabouts.
context: Ayumi...\Today's date is...\All right, I was able to get back!\The ability is... collapse.\Here we go!\What kind of ability is that?\Who knows?\Probably something like able to destroy anything he targets or thereabouts. response:	So, where's this guy?
context: Today's date is...\All right, I was able to get back!\The ability is... collapse.\Here we go!\What kind of ability is that?\Who knows?\Probably something like able to destroy anything he targets or thereabouts.\So, where's this guy? response:	This is our condo complex that is attached to this academy.
context: All right, I was able to get back!\The ability is... collapse.\Here we go!\What kind of ability is that?\Who knows?\Probably something like able to destroy anything he targets or thereabouts.\So, where's this guy?\This is our condo complex that is attached to this academy. response:	Can I have a minute?
context: The ability is... collapse.\Here we go!\What kind of ability is that?\Who knows?\Probably something like able to destroy anything he targets or thereabouts.\So, where's this guy?\This is our condo complex that is attached to this academy.\Can I have a minute? response:	What is it?
context: Here we go!\What kind of ability is that?\Who knows?\Probably something like able to destroy anything he targets or thereabouts.\So, where's this guy?\This is our condo complex that is attached to this academy.\Can I have a minute?\What is it? response:	It's probably my little sister.
context: What kind of ability is that?\Who knows?\Probably something like able to destroy anything he targets or thereabouts.\So, where's this guy?\This is our condo complex that is attached to this academy.\Can I have a minute?\What is it?\It's probably my little sister. response:	What's your basis to say that?
context: Who knows?\Probably something like able to destroy anything he targets or thereabouts.\So, where's this guy?\This is our condo complex that is attached to this academy.\Can I have a minute?\What is it?\It's probably my little sister.\What's your basis to say that? response:	She's absent from school today with a cold.
context: Probably something like able to destroy anything he targets or thereabouts.\So, where's this guy?\This is our condo complex that is attached to this academy.\Can I have a minute?\What is it?\It's probably my little sister.\What's your basis to say that?\She's absent from school today with a cold. response:	To be at home at this time of the day means it has to be my little sister.
context: So, where's this guy?\This is our condo complex that is attached to this academy.\Can I have a minute?\What is it?\It's probably my little sister.\What's your basis to say that?\She's absent from school today with a cold.\To be at home at this time of the day means it has to be my little sister. response:	You're unusually sharp... it's not like you to be like this.
context: This is our condo complex that is attached to this academy.\Can I have a minute?\What is it?\It's probably my little sister.\What's your basis to say that?\She's absent from school today with a cold.\To be at home at this time of the day means it has to be my little sister.\You're unusually sharp... it's not like you to be like this. response:	Well, we're no scientists,
context: Can I have a minute?\What is it?\It's probably my little sister.\What's your basis to say that?\She's absent from school today with a cold.\To be at home at this time of the day means it has to be my little sister.\You're unusually sharp... it's not like you to be like this.\Well, we're no scientists, response:	so let's go visit Ayumi, and see if she really turned into
context: What is it?\It's probably my little sister.\What's your basis to say that?\She's absent from school today with a cold.\To be at home at this time of the day means it has to be my little sister.\You're unusually sharp... it's not like you to be like this.\Well, we're no scientists,\so let's go visit Ayumi, and see if she really turned into response:	a wielder of a special ability while we're at it.
context: It's probably my little sister.\What's your basis to say that?\She's absent from school today with a cold.\To be at home at this time of the day means it has to be my little sister.\You're unusually sharp... it's not like you to be like this.\Well, we're no scientists,\so let's go visit Ayumi, and see if she really turned into\a wielder of a special ability while we're at it. response:	Wait, are all of you going to drop by? We're talking about a sick girl here.
context: What's your basis to say that?\She's absent from school today with a cold.\To be at home at this time of the day means it has to be my little sister.\You're unusually sharp... it's not like you to be like this.\Well, we're no scientists,\so let's go visit Ayumi, and see if she really turned into\a wielder of a special ability while we're at it.\Wait, are all of you going to drop by? We're talking about a sick girl here. response:	Tomori, let's keep it to just you visiting.
context: She's absent from school today with a cold.\To be at home at this time of the day means it has to be my little sister.\You're unusually sharp... it's not like you to be like this.\Well, we're no scientists,\so let's go visit Ayumi, and see if she really turned into\a wielder of a special ability while we're at it.\Wait, are all of you going to drop by? We're talking about a sick girl here.\Tomori, let's keep it to just you visiting. response:	I see... you're right... you're right indeed. Let's do that.
context: To be at home at this time of the day means it has to be my little sister.\You're unusually sharp... it's not like you to be like this.\Well, we're no scientists,\so let's go visit Ayumi, and see if she really turned into\a wielder of a special ability while we're at it.\Wait, are all of you going to drop by? We're talking about a sick girl here.\Tomori, let's keep it to just you visiting.\I see... you're right... you're right indeed. Let's do that. response:	Come on, both of you, let's go home!
context: You're unusually sharp... it's not like you to be like this.\Well, we're no scientists,\so let's go visit Ayumi, and see if she really turned into\a wielder of a special ability while we're at it.\Wait, are all of you going to drop by? We're talking about a sick girl here.\Tomori, let's keep it to just you visiting.\I see... you're right... you're right indeed. Let's do that.\Come on, both of you, let's go home! response:	And Ayucchi, get better soon!
context: Well, we're no scientists,\so let's go visit Ayumi, and see if she really turned into\a wielder of a special ability while we're at it.\Wait, are all of you going to drop by? We're talking about a sick girl here.\Tomori, let's keep it to just you visiting.\I see... you're right... you're right indeed. Let's do that.\Come on, both of you, let's go home!\And Ayucchi, get better soon! response:	Elder brother sir, sorry to be so rowdy!
context: so let's go visit Ayumi, and see if she really turned into\a wielder of a special ability while we're at it.\Wait, are all of you going to drop by? We're talking about a sick girl here.\Tomori, let's keep it to just you visiting.\I see... you're right... you're right indeed. Let's do that.\Come on, both of you, let's go home!\And Ayucchi, get better soon!\Elder brother sir, sorry to be so rowdy! response:	So this is the person...
context: a wielder of a special ability while we're at it.\Wait, are all of you going to drop by? We're talking about a sick girl here.\Tomori, let's keep it to just you visiting.\I see... you're right... you're right indeed. Let's do that.\Come on, both of you, let's go home!\And Ayucchi, get better soon!\Elder brother sir, sorry to be so rowdy!\So this is the person... response:	Then, I'll be going now. Sorry to have bothered you.
context: Wait, are all of you going to drop by? We're talking about a sick girl here.\Tomori, let's keep it to just you visiting.\I see... you're right... you're right indeed. Let's do that.\Come on, both of you, let's go home!\And Ayucchi, get better soon!\Elder brother sir, sorry to be so rowdy!\So this is the person...\Then, I'll be going now. Sorry to have bothered you. response:	I am eagerly awaiting your next patronage.
context: Tomori, let's keep it to just you visiting.\I see... you're right... you're right indeed. Let's do that.\Come on, both of you, let's go home!\And Ayucchi, get better soon!\Elder brother sir, sorry to be so rowdy!\So this is the person...\Then, I'll be going now. Sorry to have bothered you.\I am eagerly awaiting your next patronage. response:	I'll see her off. I'll be right back.
context: I see... you're right... you're right indeed. Let's do that.\Come on, both of you, let's go home!\And Ayucchi, get better soon!\Elder brother sir, sorry to be so rowdy!\So this is the person...\Then, I'll be going now. Sorry to have bothered you.\I am eagerly awaiting your next patronage.\I'll see her off. I'll be right back. response:	It's nothing like that.
context: Come on, both of you, let's go home!\And Ayucchi, get better soon!\Elder brother sir, sorry to be so rowdy!\So this is the person...\Then, I'll be going now. Sorry to have bothered you.\I am eagerly awaiting your next patronage.\I'll see her off. I'll be right back.\It's nothing like that. response:	Please ask her what the nightmare was about.
context: And Ayucchi, get better soon!\Elder brother sir, sorry to be so rowdy!\So this is the person...\Then, I'll be going now. Sorry to have bothered you.\I am eagerly awaiting your next patronage.\I'll see her off. I'll be right back.\It's nothing like that.\Please ask her what the nightmare was about. response:	It might be a clue in figuring out what the collapse ability is.
context: Elder brother sir, sorry to be so rowdy!\So this is the person...\Then, I'll be going now. Sorry to have bothered you.\I am eagerly awaiting your next patronage.\I'll see her off. I'll be right back.\It's nothing like that.\Please ask her what the nightmare was about.\It might be a clue in figuring out what the collapse ability is. response:	You know, Tomori...
context: So this is the person...\Then, I'll be going now. Sorry to have bothered you.\I am eagerly awaiting your next patronage.\I'll see her off. I'll be right back.\It's nothing like that.\Please ask her what the nightmare was about.\It might be a clue in figuring out what the collapse ability is.\You know, Tomori... response:	If I said I time-leaped here from the future, would you believe me?
context: Then, I'll be going now. Sorry to have bothered you.\I am eagerly awaiting your next patronage.\I'll see her off. I'll be right back.\It's nothing like that.\Please ask her what the nightmare was about.\It might be a clue in figuring out what the collapse ability is.\You know, Tomori...\If I said I time-leaped here from the future, would you believe me? response:	I would believe you.
context: I am eagerly awaiting your next patronage.\I'll see her off. I'll be right back.\It's nothing like that.\Please ask her what the nightmare was about.\It might be a clue in figuring out what the collapse ability is.\You know, Tomori...\If I said I time-leaped here from the future, would you believe me?\I would believe you. response:	If it was for Ayumi's sake, you would do something of that level.
context: I'll see her off. I'll be right back.\It's nothing like that.\Please ask her what the nightmare was about.\It might be a clue in figuring out what the collapse ability is.\You know, Tomori...\If I said I time-leaped here from the future, would you believe me?\I would believe you.\If it was for Ayumi's sake, you would do something of that level. response:	I know that.
context: It's nothing like that.\Please ask her what the nightmare was about.\It might be a clue in figuring out what the collapse ability is.\You know, Tomori...\If I said I time-leaped here from the future, would you believe me?\I would believe you.\If it was for Ayumi's sake, you would do something of that level.\I know that. response:	Your understanding really saves me here.
context: Please ask her what the nightmare was about.\It might be a clue in figuring out what the collapse ability is.\You know, Tomori...\If I said I time-leaped here from the future, would you believe me?\I would believe you.\If it was for Ayumi's sake, you would do something of that level.\I know that.\Your understanding really saves me here. response:	The day after tomorrow... Ayumi dies from that ability of collapse.
context: It might be a clue in figuring out what the collapse ability is.\You know, Tomori...\If I said I time-leaped here from the future, would you believe me?\I would believe you.\If it was for Ayumi's sake, you would do something of that level.\I know that.\Your understanding really saves me here.\The day after tomorrow... Ayumi dies from that ability of collapse. response:	I used a time-leap to save her by preventing that from happening.
context: You know, Tomori...\If I said I time-leaped here from the future, would you believe me?\I would believe you.\If it was for Ayumi's sake, you would do something of that level.\I know that.\Your understanding really saves me here.\The day after tomorrow... Ayumi dies from that ability of collapse.\I used a time-leap to save her by preventing that from happening. response:	So that's how it is...
context: If I said I time-leaped here from the future, would you believe me?\I would believe you.\If it was for Ayumi's sake, you would do something of that level.\I know that.\Your understanding really saves me here.\The day after tomorrow... Ayumi dies from that ability of collapse.\I used a time-leap to save her by preventing that from happening.\So that's how it is... response:	Then, I am worried if it's just you, so the student council will help you as well.
context: I would believe you.\If it was for Ayumi's sake, you would do something of that level.\I know that.\Your understanding really saves me here.\The day after tomorrow... Ayumi dies from that ability of collapse.\I used a time-leap to save her by preventing that from happening.\So that's how it is...\Then, I am worried if it's just you, so the student council will help you as well. response:	That is so promising...
context: If it was for Ayumi's sake, you would do something of that level.\I know that.\Your understanding really saves me here.\The day after tomorrow... Ayumi dies from that ability of collapse.\I used a time-leap to save her by preventing that from happening.\So that's how it is...\Then, I am worried if it's just you, so the student council will help you as well.\That is so promising... response:	You know...
context: I know that.\Your understanding really saves me here.\The day after tomorrow... Ayumi dies from that ability of collapse.\I used a time-leap to save her by preventing that from happening.\So that's how it is...\Then, I am worried if it's just you, so the student council will help you as well.\That is so promising...\You know... response:	Yes?
context: Your understanding really saves me here.\The day after tomorrow... Ayumi dies from that ability of collapse.\I used a time-leap to save her by preventing that from happening.\So that's how it is...\Then, I am worried if it's just you, so the student council will help you as well.\That is so promising...\You know...\Yes? response:	I think I may have had a misunderstanding about you.
context: The day after tomorrow... Ayumi dies from that ability of collapse.\I used a time-leap to save her by preventing that from happening.\So that's how it is...\Then, I am worried if it's just you, so the student council will help you as well.\That is so promising...\You know...\Yes?\I think I may have had a misunderstanding about you. response:	After I lost Ayumi once, I became reckless and started falling down...
context: I used a time-leap to save her by preventing that from happening.\So that's how it is...\Then, I am worried if it's just you, so the student council will help you as well.\That is so promising...\You know...\Yes?\I think I may have had a misunderstanding about you.\After I lost Ayumi once, I became reckless and started falling down... response:	And the person that saved me from that was you, Tomori.
context: So that's how it is...\Then, I am worried if it's just you, so the student council will help you as well.\That is so promising...\You know...\Yes?\I think I may have had a misunderstanding about you.\After I lost Ayumi once, I became reckless and started falling down...\And the person that saved me from that was you, Tomori. response:	Since you're talking about the future, I don't recall any of this.
context: Then, I am worried if it's just you, so the student council will help you as well.\That is so promising...\You know...\Yes?\I think I may have had a misunderstanding about you.\After I lost Ayumi once, I became reckless and started falling down...\And the person that saved me from that was you, Tomori.\Since you're talking about the future, I don't recall any of this. response:	But, if you're saying so, I guess that's how things went.
