context: Up until now, I've insisted on using One For All. response:	I should've turned the switch on throughout from the beginning!
context: Come! I will dispose of you with these hands.\Tenya Iida Quirk: Engine He can run very fast with the engines on his calves.\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Stain Quirk: Unknown Unknown\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Internships - Day 3\Keeping the 5\and attacking. response:	Let's stop now.
context: Tenya Iida Quirk: Engine He can run very fast with the engines on his calves.\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Stain Quirk: Unknown Unknown\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Internships - Day 3\Keeping the 5\and attacking.\Let's stop now. response:	If you fight against my tactics more than this, you might fall into weird habits.
context: Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Stain Quirk: Unknown Unknown\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Internships - Day 3\Keeping the 5\and attacking.\Let's stop now.\If you fight against my tactics more than this, you might fall into weird habits. response:	I can't even think about tactics right now. I'm still not used to this!
context: Stain Quirk: Unknown Unknown\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Internships - Day 3\Keeping the 5\and attacking.\Let's stop now.\If you fight against my tactics more than this, you might fall into weird habits.\I can't even think about tactics right now. I'm still not used to this! response:	Please let me fight more!
context: Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Internships - Day 3\Keeping the 5\and attacking.\Let's stop now.\If you fight against my tactics more than this, you might fall into weird habits.\I can't even think about tactics right now. I'm still not used to this!\Please let me fight more! response:	No, that's enough.
context: Internships - Day 3\Keeping the 5\and attacking.\Let's stop now.\If you fight against my tactics more than this, you might fall into weird habits.\I can't even think about tactics right now. I'm still not used to this!\Please let me fight more!\No, that's enough. response:	Change into your costume. Let's move on to Phase 2!
context: Keeping the 5\and attacking.\Let's stop now.\If you fight against my tactics more than this, you might fall into weird habits.\I can't even think about tactics right now. I'm still not used to this!\Please let me fight more!\No, that's enough.\Change into your costume. Let's move on to Phase 2! response:	Huh?
context: and attacking.\Let's stop now.\If you fight against my tactics more than this, you might fall into weird habits.\I can't even think about tactics right now. I'm still not used to this!\Please let me fight more!\No, that's enough.\Change into your costume. Let's move on to Phase 2!\Huh? response:	In other words-
context: Let's stop now.\If you fight against my tactics more than this, you might fall into weird habits.\I can't even think about tactics right now. I'm still not used to this!\Please let me fight more!\No, that's enough.\Change into your costume. Let's move on to Phase 2!\Huh?\In other words- response:	Let's go fight some villains!
context: If you fight against my tactics more than this, you might fall into weird habits.\I can't even think about tactics right now. I'm still not used to this!\Please let me fight more!\No, that's enough.\Change into your costume. Let's move on to Phase 2!\Huh?\In other words-\Let's go fight some villains! response:	What? All of a sudden?!
context: I can't even think about tactics right now. I'm still not used to this!\Please let me fight more!\No, that's enough.\Change into your costume. Let's move on to Phase 2!\Huh?\In other words-\Let's go fight some villains!\What? All of a sudden?! response:	If you only fight against me,
context: Please let me fight more!\No, that's enough.\Change into your costume. Let's move on to Phase 2!\Huh?\In other words-\Let's go fight some villains!\What? All of a sudden?!\If you only fight against me, response:	then you'll have trouble when you come across a completely different type!
context: No, that's enough.\Change into your costume. Let's move on to Phase 2!\Huh?\In other words-\Let's go fight some villains!\What? All of a sudden?!\If you only fight against me,\then you'll have trouble when you come across a completely different type! response:	The next phase is to let you experience different types and situations!
context: Change into your costume. Let's move on to Phase 2!\Huh?\In other words-\Let's go fight some villains!\What? All of a sudden?!\If you only fight against me,\then you'll have trouble when you come across a completely different type!\The next phase is to let you experience different types and situations! response:	In the first place, this is an internship.
context: Huh?\In other words-\Let's go fight some villains!\What? All of a sudden?!\If you only fight against me,\then you'll have trouble when you come across a completely different type!\The next phase is to let you experience different types and situations!\In the first place, this is an internship. response:	Of course you'll be fighting villains.
context: In other words-\Let's go fight some villains!\What? All of a sudden?!\If you only fight against me,\then you'll have trouble when you come across a completely different type!\The next phase is to let you experience different types and situations!\In the first place, this is an internship.\Of course you'll be fighting villains. response:	What you are saying is quite right,
context: Let's go fight some villains!\What? All of a sudden?!\If you only fight against me,\then you'll have trouble when you come across a completely different type!\The next phase is to let you experience different types and situations!\In the first place, this is an internship.\Of course you'll be fighting villains.\What you are saying is quite right, response:	but I need more time to prepare myself...
context: What? All of a sudden?!\If you only fight against me,\then you'll have trouble when you come across a completely different type!\The next phase is to let you experience different types and situations!\In the first place, this is an internship.\Of course you'll be fighting villains.\What you are saying is quite right,\but I need more time to prepare myself... response:	You've already experienced combat against villains, right?
context: If you only fight against me,\then you'll have trouble when you come across a completely different type!\The next phase is to let you experience different types and situations!\In the first place, this is an internship.\Of course you'll be fighting villains.\What you are saying is quite right,\but I need more time to prepare myself...\You've already experienced combat against villains, right? response:	Besides, we're not gonna touch anything that big.
context: then you'll have trouble when you come across a completely different type!\The next phase is to let you experience different types and situations!\In the first place, this is an internship.\Of course you'll be fighting villains.\What you are saying is quite right,\but I need more time to prepare myself...\You've already experienced combat against villains, right?\Besides, we're not gonna touch anything that big. response:	We'll go on a little excursion.
context: The next phase is to let you experience different types and situations!\In the first place, this is an internship.\Of course you'll be fighting villains.\What you are saying is quite right,\but I need more time to prepare myself...\You've already experienced combat against villains, right?\Besides, we're not gonna touch anything that big.\We'll go on a little excursion. response:	Because of the decreasing population in this area, the crime rate is also low.
context: In the first place, this is an internship.\Of course you'll be fighting villains.\What you are saying is quite right,\but I need more time to prepare myself...\You've already experienced combat against villains, right?\Besides, we're not gonna touch anything that big.\We'll go on a little excursion.\Because of the decreasing population in this area, the crime rate is also low. response:	The reason there are a lot of hero agencies in urban areas is that there is a lot of crime.
context: Of course you'll be fighting villains.\What you are saying is quite right,\but I need more time to prepare myself...\You've already experienced combat against villains, right?\Besides, we're not gonna touch anything that big.\We'll go on a little excursion.\Because of the decreasing population in this area, the crime rate is also low.\The reason there are a lot of hero agencies in urban areas is that there is a lot of crime. response:	And the higher the population density, the more trouble you'll find.
context: What you are saying is quite right,\but I need more time to prepare myself...\You've already experienced combat against villains, right?\Besides, we're not gonna touch anything that big.\We'll go on a little excursion.\Because of the decreasing population in this area, the crime rate is also low.\The reason there are a lot of hero agencies in urban areas is that there is a lot of crime.\And the higher the population density, the more trouble you'll find. response:	Around Shibuya, you'll find lots of small fights that break out on a daily basis.
context: but I need more time to prepare myself...\You've already experienced combat against villains, right?\Besides, we're not gonna touch anything that big.\We'll go on a little excursion.\Because of the decreasing population in this area, the crime rate is also low.\The reason there are a lot of hero agencies in urban areas is that there is a lot of crime.\And the higher the population density, the more trouble you'll find.\Around Shibuya, you'll find lots of small fights that break out on a daily basis. response:	By Shibuya, you mean the one in Tokyo?!
context: You've already experienced combat against villains, right?\Besides, we're not gonna touch anything that big.\We'll go on a little excursion.\Because of the decreasing population in this area, the crime rate is also low.\The reason there are a lot of hero agencies in urban areas is that there is a lot of crime.\And the higher the population density, the more trouble you'll find.\Around Shibuya, you'll find lots of small fights that break out on a daily basis.\By Shibuya, you mean the one in Tokyo?! response:	I didn't think I'd be wearing my hero costume in such a fashionable town!
context: Besides, we're not gonna touch anything that big.\We'll go on a little excursion.\Because of the decreasing population in this area, the crime rate is also low.\The reason there are a lot of hero agencies in urban areas is that there is a lot of crime.\And the higher the population density, the more trouble you'll find.\Around Shibuya, you'll find lots of small fights that break out on a daily basis.\By Shibuya, you mean the one in Tokyo?!\I didn't think I'd be wearing my hero costume in such a fashionable town! response:	You wouldn't get to wear it if you weren't with a hero, right?
context: We'll go on a little excursion.\Because of the decreasing population in this area, the crime rate is also low.\The reason there are a lot of hero agencies in urban areas is that there is a lot of crime.\And the higher the population density, the more trouble you'll find.\Around Shibuya, you'll find lots of small fights that break out on a daily basis.\By Shibuya, you mean the one in Tokyo?!\I didn't think I'd be wearing my hero costume in such a fashionable town!\You wouldn't get to wear it if you weren't with a hero, right? response:	Be happy that you'll get to display it on such a wonderful stage!
context: Because of the decreasing population in this area, the crime rate is also low.\The reason there are a lot of hero agencies in urban areas is that there is a lot of crime.\And the higher the population density, the more trouble you'll find.\Around Shibuya, you'll find lots of small fights that break out on a daily basis.\By Shibuya, you mean the one in Tokyo?!\I didn't think I'd be wearing my hero costume in such a fashionable town!\You wouldn't get to wear it if you weren't with a hero, right?\Be happy that you'll get to display it on such a wonderful stage! response:	Which means,
context: The reason there are a lot of hero agencies in urban areas is that there is a lot of crime.\And the higher the population density, the more trouble you'll find.\Around Shibuya, you'll find lots of small fights that break out on a daily basis.\By Shibuya, you mean the one in Tokyo?!\I didn't think I'd be wearing my hero costume in such a fashionable town!\You wouldn't get to wear it if you weren't with a hero, right?\Be happy that you'll get to display it on such a wonderful stage!\Which means, response:	we'll take the bullet train from Kofu heading toward Shinjuku?
context: And the higher the population density, the more trouble you'll find.\Around Shibuya, you'll find lots of small fights that break out on a daily basis.\By Shibuya, you mean the one in Tokyo?!\I didn't think I'd be wearing my hero costume in such a fashionable town!\You wouldn't get to wear it if you weren't with a hero, right?\Be happy that you'll get to display it on such a wonderful stage!\Which means,\we'll take the bullet train from Kofu heading toward Shinjuku? response:	Yeah.
context: Around Shibuya, you'll find lots of small fights that break out on a daily basis.\By Shibuya, you mean the one in Tokyo?!\I didn't think I'd be wearing my hero costume in such a fashionable town!\You wouldn't get to wear it if you weren't with a hero, right?\Be happy that you'll get to display it on such a wonderful stage!\Which means,\we'll take the bullet train from Kofu heading toward Shinjuku?\Yeah. response:	We'll pass Hosu City...
context: By Shibuya, you mean the one in Tokyo?!\I didn't think I'd be wearing my hero costume in such a fashionable town!\You wouldn't get to wear it if you weren't with a hero, right?\Be happy that you'll get to display it on such a wonderful stage!\Which means,\we'll take the bullet train from Kofu heading toward Shinjuku?\Yeah.\We'll pass Hosu City... response:	I wonder how Iida's doing...
context: I didn't think I'd be wearing my hero costume in such a fashionable town!\You wouldn't get to wear it if you weren't with a hero, right?\Be happy that you'll get to display it on such a wonderful stage!\Which means,\we'll take the bullet train from Kofu heading toward Shinjuku?\Yeah.\We'll pass Hosu City...\I wonder how Iida's doing... response:	Same Time - Hosu City
context: You wouldn't get to wear it if you weren't with a hero, right?\Be happy that you'll get to display it on such a wonderful stage!\Which means,\we'll take the bullet train from Kofu heading toward Shinjuku?\Yeah.\We'll pass Hosu City...\I wonder how Iida's doing...\Same Time - Hosu City response:	I'll try to get in touch with him later.
context: Be happy that you'll get to display it on such a wonderful stage!\Which means,\we'll take the bullet train from Kofu heading toward Shinjuku?\Yeah.\We'll pass Hosu City...\I wonder how Iida's doing...\Same Time - Hosu City\I'll try to get in touch with him later. response:	We'll be patrolling Kyoto today, too.
context: Which means,\we'll take the bullet train from Kofu heading toward Shinjuku?\Yeah.\We'll pass Hosu City...\I wonder how Iida's doing...\Same Time - Hosu City\I'll try to get in touch with him later.\We'll be patrolling Kyoto today, too. response:	Sorry it's so monotonous.
context: we'll take the bullet train from Kofu heading toward Shinjuku?\Yeah.\We'll pass Hosu City...\I wonder how Iida's doing...\Same Time - Hosu City\I'll try to get in touch with him later.\We'll be patrolling Kyoto today, too.\Sorry it's so monotonous. response:	It's fine. It is actually better this way.
context: Yeah.\We'll pass Hosu City...\I wonder how Iida's doing...\Same Time - Hosu City\I'll try to get in touch with him later.\We'll be patrolling Kyoto today, too.\Sorry it's so monotonous.\It's fine. It is actually better this way. response:	Hey.
context: We'll pass Hosu City...\I wonder how Iida's doing...\Same Time - Hosu City\I'll try to get in touch with him later.\We'll be patrolling Kyoto today, too.\Sorry it's so monotonous.\It's fine. It is actually better this way.\Hey. response:	This is kind of hard to ask,
context: I wonder how Iida's doing...\Same Time - Hosu City\I'll try to get in touch with him later.\We'll be patrolling Kyoto today, too.\Sorry it's so monotonous.\It's fine. It is actually better this way.\Hey.\This is kind of hard to ask, response:	but you're chasing after the hero killer, aren't you?
context: Same Time - Hosu City\I'll try to get in touch with him later.\We'll be patrolling Kyoto today, too.\Sorry it's so monotonous.\It's fine. It is actually better this way.\Hey.\This is kind of hard to ask,\but you're chasing after the hero killer, aren't you? response:	That's...
context: I'll try to get in touch with him later.\We'll be patrolling Kyoto today, too.\Sorry it's so monotonous.\It's fine. It is actually better this way.\Hey.\This is kind of hard to ask,\but you're chasing after the hero killer, aren't you?\That's... response:	I couldn't think of any other reason why you'd come to my agency.
context: We'll be patrolling Kyoto today, too.\Sorry it's so monotonous.\It's fine. It is actually better this way.\Hey.\This is kind of hard to ask,\but you're chasing after the hero killer, aren't you?\That's...\I couldn't think of any other reason why you'd come to my agency. response:	Oh, but I'm really glad you came!
context: Sorry it's so monotonous.\It's fine. It is actually better this way.\Hey.\This is kind of hard to ask,\but you're chasing after the hero killer, aren't you?\That's...\I couldn't think of any other reason why you'd come to my agency.\Oh, but I'm really glad you came! response:	It's just, you shouldn't act on a personal grudge.
context: It's fine. It is actually better this way.\Hey.\This is kind of hard to ask,\but you're chasing after the hero killer, aren't you?\That's...\I couldn't think of any other reason why you'd come to my agency.\Oh, but I'm really glad you came!\It's just, you shouldn't act on a personal grudge. response:	We heroes do not have the authority to arrest or punish.
context: Hey.\This is kind of hard to ask,\but you're chasing after the hero killer, aren't you?\That's...\I couldn't think of any other reason why you'd come to my agency.\Oh, but I'm really glad you came!\It's just, you shouldn't act on a personal grudge.\We heroes do not have the authority to arrest or punish. response:	The use of Quirks has been allowed through their regulation.
context: This is kind of hard to ask,\but you're chasing after the hero killer, aren't you?\That's...\I couldn't think of any other reason why you'd come to my agency.\Oh, but I'm really glad you came!\It's just, you shouldn't act on a personal grudge.\We heroes do not have the authority to arrest or punish.\The use of Quirks has been allowed through their regulation. response:	That is why, no matter what the reason,
context: but you're chasing after the hero killer, aren't you?\That's...\I couldn't think of any other reason why you'd come to my agency.\Oh, but I'm really glad you came!\It's just, you shouldn't act on a personal grudge.\We heroes do not have the authority to arrest or punish.\The use of Quirks has been allowed through their regulation.\That is why, no matter what the reason, response:	heroes must not use their Quirks for themselves.
context: That's...\I couldn't think of any other reason why you'd come to my agency.\Oh, but I'm really glad you came!\It's just, you shouldn't act on a personal grudge.\We heroes do not have the authority to arrest or punish.\The use of Quirks has been allowed through their regulation.\That is why, no matter what the reason,\heroes must not use their Quirks for themselves. response:	If anyone used their Quirk for their own selfish desires,
context: I couldn't think of any other reason why you'd come to my agency.\Oh, but I'm really glad you came!\It's just, you shouldn't act on a personal grudge.\We heroes do not have the authority to arrest or punish.\The use of Quirks has been allowed through their regulation.\That is why, no matter what the reason,\heroes must not use their Quirks for themselves.\If anyone used their Quirk for their own selfish desires, response:	it would be a very serious crime.
context: Oh, but I'm really glad you came!\It's just, you shouldn't act on a personal grudge.\We heroes do not have the authority to arrest or punish.\The use of Quirks has been allowed through their regulation.\That is why, no matter what the reason,\heroes must not use their Quirks for themselves.\If anyone used their Quirk for their own selfish desires,\it would be a very serious crime. response:	Oh, it's not that I'm saying the hero killer isn't guilty.
context: It's just, you shouldn't act on a personal grudge.\We heroes do not have the authority to arrest or punish.\The use of Quirks has been allowed through their regulation.\That is why, no matter what the reason,\heroes must not use their Quirks for themselves.\If anyone used their Quirk for their own selfish desires,\it would be a very serious crime.\Oh, it's not that I'm saying the hero killer isn't guilty. response:	It's just because you seem so earnest,
context: We heroes do not have the authority to arrest or punish.\The use of Quirks has been allowed through their regulation.\That is why, no matter what the reason,\heroes must not use their Quirks for themselves.\If anyone used their Quirk for their own selfish desires,\it would be a very serious crime.\Oh, it's not that I'm saying the hero killer isn't guilty.\It's just because you seem so earnest, response:	like you'd focus on one thing and ignore everything else,
context: The use of Quirks has been allowed through their regulation.\That is why, no matter what the reason,\heroes must not use their Quirks for themselves.\If anyone used their Quirk for their own selfish desires,\it would be a very serious crime.\Oh, it's not that I'm saying the hero killer isn't guilty.\It's just because you seem so earnest,\like you'd focus on one thing and ignore everything else, response:	so I was worried.
context: That is why, no matter what the reason,\heroes must not use their Quirks for themselves.\If anyone used their Quirk for their own selfish desires,\it would be a very serious crime.\Oh, it's not that I'm saying the hero killer isn't guilty.\It's just because you seem so earnest,\like you'd focus on one thing and ignore everything else,\so I was worried. response:	Thank you for the warning.
context: heroes must not use their Quirks for themselves.\If anyone used their Quirk for their own selfish desires,\it would be a very serious crime.\Oh, it's not that I'm saying the hero killer isn't guilty.\It's just because you seem so earnest,\like you'd focus on one thing and ignore everything else,\so I was worried.\Thank you for the warning. response:	Oh, it's fine as long as you understand.
context: If anyone used their Quirk for their own selfish desires,\it would be a very serious crime.\Oh, it's not that I'm saying the hero killer isn't guilty.\It's just because you seem so earnest,\like you'd focus on one thing and ignore everything else,\so I was worried.\Thank you for the warning.\Oh, it's fine as long as you understand. response:	Now, shall we go?
context: it would be a very serious crime.\Oh, it's not that I'm saying the hero killer isn't guilty.\It's just because you seem so earnest,\like you'd focus on one thing and ignore everything else,\so I was worried.\Thank you for the warning.\Oh, it's fine as long as you understand.\Now, shall we go? response:	But...
context: Oh, it's not that I'm saying the hero killer isn't guilty.\It's just because you seem so earnest,\like you'd focus on one thing and ignore everything else,\so I was worried.\Thank you for the warning.\Oh, it's fine as long as you understand.\Now, shall we go?\But... response:	But then... what am I supposed to do... about these feelings?!
context: It's just because you seem so earnest,\like you'd focus on one thing and ignore everything else,\so I was worried.\Thank you for the warning.\Oh, it's fine as long as you understand.\Now, shall we go?\But...\But then... what am I supposed to do... about these feelings?! response:	Hosu City looks nicer than I expected.
context: like you'd focus on one thing and ignore everything else,\so I was worried.\Thank you for the warning.\Oh, it's fine as long as you understand.\Now, shall we go?\But...\But then... what am I supposed to do... about these feelings?!\Hosu City looks nicer than I expected. response:	So, what are you gonna do?
context: so I was worried.\Thank you for the warning.\Oh, it's fine as long as you understand.\Now, shall we go?\But...\But then... what am I supposed to do... about these feelings?!\Hosu City looks nicer than I expected.\So, what are you gonna do? response:	I will reform this city.
context: Thank you for the warning.\Oh, it's fine as long as you understand.\Now, shall we go?\But...\But then... what am I supposed to do... about these feelings?!\Hosu City looks nicer than I expected.\So, what are you gonna do?\I will reform this city. response:	In order to do so, I require more victims.
context: Oh, it's fine as long as you understand.\Now, shall we go?\But...\But then... what am I supposed to do... about these feelings?!\Hosu City looks nicer than I expected.\So, what are you gonna do?\I will reform this city.\In order to do so, I require more victims. response:	Is this what you meant the other day when you said you had business to take care of?
context: Now, shall we go?\But...\But then... what am I supposed to do... about these feelings?!\Hosu City looks nicer than I expected.\So, what are you gonna do?\I will reform this city.\In order to do so, I require more victims.\Is this what you meant the other day when you said you had business to take care of? response:	I see you're someone who understands.
context: But...\But then... what am I supposed to do... about these feelings?!\Hosu City looks nicer than I expected.\So, what are you gonna do?\I will reform this city.\In order to do so, I require more victims.\Is this what you meant the other day when you said you had business to take care of?\I see you're someone who understands. response:	Hey, what're you trying to say about me?
context: But then... what am I supposed to do... about these feelings?!\Hosu City looks nicer than I expected.\So, what are you gonna do?\I will reform this city.\In order to do so, I require more victims.\Is this what you meant the other day when you said you had business to take care of?\I see you're someone who understands.\Hey, what're you trying to say about me? response:	Hero is a title given only to those who have accomplished great deeds!
context: Hosu City looks nicer than I expected.\So, what are you gonna do?\I will reform this city.\In order to do so, I require more victims.\Is this what you meant the other day when you said you had business to take care of?\I see you're someone who understands.\Hey, what're you trying to say about me?\Hero is a title given only to those who have accomplished great deeds! response:	There are too many...
context: So, what are you gonna do?\I will reform this city.\In order to do so, I require more victims.\Is this what you meant the other day when you said you had business to take care of?\I see you're someone who understands.\Hey, what're you trying to say about me?\Hero is a title given only to those who have accomplished great deeds!\There are too many... response:	Too many who act like heroes but are really money-worshippers.
context: I will reform this city.\In order to do so, I require more victims.\Is this what you meant the other day when you said you had business to take care of?\I see you're someone who understands.\Hey, what're you trying to say about me?\Hero is a title given only to those who have accomplished great deeds!\There are too many...\Too many who act like heroes but are really money-worshippers. response:	Until this world realizes its mistake,
context: In order to do so, I require more victims.\Is this what you meant the other day when you said you had business to take care of?\I see you're someone who understands.\Hey, what're you trying to say about me?\Hero is a title given only to those who have accomplished great deeds!\There are too many...\Too many who act like heroes but are really money-worshippers.\Until this world realizes its mistake, response:	I will continue to appear.
context: Is this what you meant the other day when you said you had business to take care of?\I see you're someone who understands.\Hey, what're you trying to say about me?\Hero is a title given only to those who have accomplished great deeds!\There are too many...\Too many who act like heroes but are really money-worshippers.\Until this world realizes its mistake,\I will continue to appear. response:	He talks all high and mighty like that,
context: I see you're someone who understands.\Hey, what're you trying to say about me?\Hero is a title given only to those who have accomplished great deeds!\There are too many...\Too many who act like heroes but are really money-worshippers.\Until this world realizes its mistake,\I will continue to appear.\He talks all high and mighty like that, response:	but basically he's trying to start a grassroots movement, huh?
context: Hey, what're you trying to say about me?\Hero is a title given only to those who have accomplished great deeds!\There are too many...\Too many who act like heroes but are really money-worshippers.\Until this world realizes its mistake,\I will continue to appear.\He talks all high and mighty like that,\but basically he's trying to start a grassroots movement, huh? response:	He's so noble I could cry.
context: Hero is a title given only to those who have accomplished great deeds!\There are too many...\Too many who act like heroes but are really money-worshippers.\Until this world realizes its mistake,\I will continue to appear.\He talks all high and mighty like that,\but basically he's trying to start a grassroots movement, huh?\He's so noble I could cry. response:	You can't make fun of him too much.
context: There are too many...\Too many who act like heroes but are really money-worshippers.\Until this world realizes its mistake,\I will continue to appear.\He talks all high and mighty like that,\but basically he's trying to start a grassroots movement, huh?\He's so noble I could cry.\You can't make fun of him too much. response:	The reality is that in all the cities where Stain has appeared,
context: Too many who act like heroes but are really money-worshippers.\Until this world realizes its mistake,\I will continue to appear.\He talks all high and mighty like that,\but basically he's trying to start a grassroots movement, huh?\He's so noble I could cry.\You can't make fun of him too much.\The reality is that in all the cities where Stain has appeared, response:	the crime rate has fallen.
context: Until this world realizes its mistake,\I will continue to appear.\He talks all high and mighty like that,\but basically he's trying to start a grassroots movement, huh?\He's so noble I could cry.\You can't make fun of him too much.\The reality is that in all the cities where Stain has appeared,\the crime rate has fallen. response:	Some critics attribute this to a rise in heroes' consciousness
context: I will continue to appear.\He talks all high and mighty like that,\but basically he's trying to start a grassroots movement, huh?\He's so noble I could cry.\You can't make fun of him too much.\The reality is that in all the cities where Stain has appeared,\the crime rate has fallen.\Some critics attribute this to a rise in heroes' consciousness response:	and shoot him down, though.
context: He talks all high and mighty like that,\but basically he's trying to start a grassroots movement, huh?\He's so noble I could cry.\You can't make fun of him too much.\The reality is that in all the cities where Stain has appeared,\the crime rate has fallen.\Some critics attribute this to a rise in heroes' consciousness\and shoot him down, though. response:	That's wonderful!
context: but basically he's trying to start a grassroots movement, huh?\He's so noble I could cry.\You can't make fun of him too much.\The reality is that in all the cities where Stain has appeared,\the crime rate has fallen.\Some critics attribute this to a rise in heroes' consciousness\and shoot him down, though.\That's wonderful! response:	Heroes are working hard to bring down the cost of food, huh?
context: He's so noble I could cry.\You can't make fun of him too much.\The reality is that in all the cities where Stain has appeared,\the crime rate has fallen.\Some critics attribute this to a rise in heroes' consciousness\and shoot him down, though.\That's wonderful!\Heroes are working hard to bring down the cost of food, huh? response:	So the hero killer is also a hero breeder!
context: You can't make fun of him too much.\The reality is that in all the cities where Stain has appeared,\the crime rate has fallen.\Some critics attribute this to a rise in heroes' consciousness\and shoot him down, though.\That's wonderful!\Heroes are working hard to bring down the cost of food, huh?\So the hero killer is also a hero breeder! response:	It's too roundabout.
context: The reality is that in all the cities where Stain has appeared,\the crime rate has fallen.\Some critics attribute this to a rise in heroes' consciousness\and shoot him down, though.\That's wonderful!\Heroes are working hard to bring down the cost of food, huh?\So the hero killer is also a hero breeder!\It's too roundabout. response:	We just can't agree at a basic level.
context: the crime rate has fallen.\Some critics attribute this to a rise in heroes' consciousness\and shoot him down, though.\That's wonderful!\Heroes are working hard to bring down the cost of food, huh?\So the hero killer is also a hero breeder!\It's too roundabout.\We just can't agree at a basic level. response:	And he annoys me...
context: Some critics attribute this to a rise in heroes' consciousness\and shoot him down, though.\That's wonderful!\Heroes are working hard to bring down the cost of food, huh?\So the hero killer is also a hero breeder!\It's too roundabout.\We just can't agree at a basic level.\And he annoys me... response:	Kurogiri, bring out the Nomus.
context: and shoot him down, though.\That's wonderful!\Heroes are working hard to bring down the cost of food, huh?\So the hero killer is also a hero breeder!\It's too roundabout.\We just can't agree at a basic level.\And he annoys me...\Kurogiri, bring out the Nomus. response:	You think you can get away with stabbing me?
context: That's wonderful!\Heroes are working hard to bring down the cost of food, huh?\So the hero killer is also a hero breeder!\It's too roundabout.\We just can't agree at a basic level.\And he annoys me...\Kurogiri, bring out the Nomus.\You think you can get away with stabbing me? response:	If I want to kill you, I just will. That's all.
context: Heroes are working hard to bring down the cost of food, huh?\So the hero killer is also a hero breeder!\It's too roundabout.\We just can't agree at a basic level.\And he annoys me...\Kurogiri, bring out the Nomus.\You think you can get away with stabbing me?\If I want to kill you, I just will. That's all. response:	It'll be a wild contest.
context: So the hero killer is also a hero breeder!\It's too roundabout.\We just can't agree at a basic level.\And he annoys me...\Kurogiri, bring out the Nomus.\You think you can get away with stabbing me?\If I want to kill you, I just will. That's all.\It'll be a wild contest. response:	I'll crush your honor and your pride, sir.
context: It's too roundabout.\We just can't agree at a basic level.\And he annoys me...\Kurogiri, bring out the Nomus.\You think you can get away with stabbing me?\If I want to kill you, I just will. That's all.\It'll be a wild contest.\I'll crush your honor and your pride, sir. response:	Near Hosu City
context: We just can't agree at a basic level.\And he annoys me...\Kurogiri, bring out the Nomus.\You think you can get away with stabbing me?\If I want to kill you, I just will. That's all.\It'll be a wild contest.\I'll crush your honor and your pride, sir.\Near Hosu City response:	Um, this train won't arrive until night. Is that okay?
context: And he annoys me...\Kurogiri, bring out the Nomus.\You think you can get away with stabbing me?\If I want to kill you, I just will. That's all.\It'll be a wild contest.\I'll crush your honor and your pride, sir.\Near Hosu City\Um, this train won't arrive until night. Is that okay? response:	That's why it's good!
context: Kurogiri, bring out the Nomus.\You think you can get away with stabbing me?\If I want to kill you, I just will. That's all.\It'll be a wild contest.\I'll crush your honor and your pride, sir.\Near Hosu City\Um, this train won't arrive until night. Is that okay?\That's why it's good! response:	There'll be more skirmishes then, so it'll be more fun!
context: You think you can get away with stabbing me?\If I want to kill you, I just will. That's all.\It'll be a wild contest.\I'll crush your honor and your pride, sir.\Near Hosu City\Um, this train won't arrive until night. Is that okay?\That's why it's good!\There'll be more skirmishes then, so it'll be more fun! response:	It doesn't sound fun, but I guess I understand.
context: If I want to kill you, I just will. That's all.\It'll be a wild contest.\I'll crush your honor and your pride, sir.\Near Hosu City\Um, this train won't arrive until night. Is that okay?\That's why it's good!\There'll be more skirmishes then, so it'll be more fun!\It doesn't sound fun, but I guess I understand. response:	Using his smartphone with someone next to him! Kids these days!
context: It'll be a wild contest.\I'll crush your honor and your pride, sir.\Near Hosu City\Um, this train won't arrive until night. Is that okay?\That's why it's good!\There'll be more skirmishes then, so it'll be more fun!\It doesn't sound fun, but I guess I understand.\Using his smartphone with someone next to him! Kids these days! response:	See you tomorrow! (read) Yeah! See you tomorrow, then! (read)
context: I'll crush your honor and your pride, sir.\Near Hosu City\Um, this train won't arrive until night. Is that okay?\That's why it's good!\There'll be more skirmishes then, so it'll be more fun!\It doesn't sound fun, but I guess I understand.\Using his smartphone with someone next to him! Kids these days!\See you tomorrow! (read) Yeah! See you tomorrow, then! (read) response:	Today I'll be passing near Hosu!! How are things going with you, Iida? (read)
