context: When I was a child, I dreamed of being a hero of justice. response:	What do you mean, dreamed? Did you give up?
context: J-Just so you know, I'd never do something like that!\Listen, I know.\You'd never do that.\I'm talking about our fight.\Want to keep at it?\Tohsaka? I mean...\What do you want to do?\I don't want to. Let's call it a day. response:	For one thing, I owe you again.
context: Listen, I know.\You'd never do that.\I'm talking about our fight.\Want to keep at it?\Tohsaka? I mean...\What do you want to do?\I don't want to. Let's call it a day.\For one thing, I owe you again. response:	Okay, let's go.
context: You'd never do that.\I'm talking about our fight.\Want to keep at it?\Tohsaka? I mean...\What do you want to do?\I don't want to. Let's call it a day.\For one thing, I owe you again.\Okay, let's go. response:	We need to get your wound treated.
context: I'm talking about our fight.\Want to keep at it?\Tohsaka? I mean...\What do you want to do?\I don't want to. Let's call it a day.\For one thing, I owe you again.\Okay, let's go.\We need to get your wound treated. response:	Please bear it until we get to my place.
context: Want to keep at it?\Tohsaka? I mean...\What do you want to do?\I don't want to. Let's call it a day.\For one thing, I owe you again.\Okay, let's go.\We need to get your wound treated.\Please bear it until we get to my place. response:	Your place?
context: Tohsaka? I mean...\What do you want to do?\I don't want to. Let's call it a day.\For one thing, I owe you again.\Okay, let's go.\We need to get your wound treated.\Please bear it until we get to my place.\Your place? response:	Put simply, there's another Master at school,
context: What do you want to do?\I don't want to. Let's call it a day.\For one thing, I owe you again.\Okay, let's go.\We need to get your wound treated.\Please bear it until we get to my place.\Your place?\Put simply, there's another Master at school, response:	doing what was done to that girl again and again.
context: I don't want to. Let's call it a day.\For one thing, I owe you again.\Okay, let's go.\We need to get your wound treated.\Please bear it until we get to my place.\Your place?\Put simply, there's another Master at school,\doing what was done to that girl again and again. response:	Why would they do that?
context: For one thing, I owe you again.\Okay, let's go.\We need to get your wound treated.\Please bear it until we get to my place.\Your place?\Put simply, there's another Master at school,\doing what was done to that girl again and again.\Why would they do that? response:	To win the Holy Grail War, of course.
context: Okay, let's go.\We need to get your wound treated.\Please bear it until we get to my place.\Your place?\Put simply, there's another Master at school,\doing what was done to that girl again and again.\Why would they do that?\To win the Holy Grail War, of course. response:	Their plan is to sacrifice the students to strengthen their own Servant.
context: We need to get your wound treated.\Please bear it until we get to my place.\Your place?\Put simply, there's another Master at school,\doing what was done to that girl again and again.\Why would they do that?\To win the Holy Grail War, of course.\Their plan is to sacrifice the students to strengthen their own Servant. response:	Are they nuts?
context: Please bear it until we get to my place.\Your place?\Put simply, there's another Master at school,\doing what was done to that girl again and again.\Why would they do that?\To win the Holy Grail War, of course.\Their plan is to sacrifice the students to strengthen their own Servant.\Are they nuts? response:	Who knows? But there's already a Bounded Field around the school.
context: Your place?\Put simply, there's another Master at school,\doing what was done to that girl again and again.\Why would they do that?\To win the Holy Grail War, of course.\Their plan is to sacrifice the students to strengthen their own Servant.\Are they nuts?\Who knows? But there's already a Bounded Field around the school. response:	Once it's activated, everyone inside will probably weaken and die.
context: Put simply, there's another Master at school,\doing what was done to that girl again and again.\Why would they do that?\To win the Holy Grail War, of course.\Their plan is to sacrifice the students to strengthen their own Servant.\Are they nuts?\Who knows? But there's already a Bounded Field around the school.\Once it's activated, everyone inside will probably weaken and die. response:	Emiya-kun...
context: doing what was done to that girl again and again.\Why would they do that?\To win the Holy Grail War, of course.\Their plan is to sacrifice the students to strengthen their own Servant.\Are they nuts?\Who knows? But there's already a Bounded Field around the school.\Once it's activated, everyone inside will probably weaken and die.\Emiya-kun... response:	Coming from me, you might reject this,
context: Why would they do that?\To win the Holy Grail War, of course.\Their plan is to sacrifice the students to strengthen their own Servant.\Are they nuts?\Who knows? But there's already a Bounded Field around the school.\Once it's activated, everyone inside will probably weaken and die.\Emiya-kun...\Coming from me, you might reject this, response:	but I think we should call a truce.
context: To win the Holy Grail War, of course.\Their plan is to sacrifice the students to strengthen their own Servant.\Are they nuts?\Who knows? But there's already a Bounded Field around the school.\Once it's activated, everyone inside will probably weaken and die.\Emiya-kun...\Coming from me, you might reject this,\but I think we should call a truce. response:	A truce? Between you and me?
context: Their plan is to sacrifice the students to strengthen their own Servant.\Are they nuts?\Who knows? But there's already a Bounded Field around the school.\Once it's activated, everyone inside will probably weaken and die.\Emiya-kun...\Coming from me, you might reject this,\but I think we should call a truce.\A truce? Between you and me? response:	I want to deal with this other Master first.
context: Are they nuts?\Who knows? But there's already a Bounded Field around the school.\Once it's activated, everyone inside will probably weaken and die.\Emiya-kun...\Coming from me, you might reject this,\but I think we should call a truce.\A truce? Between you and me?\I want to deal with this other Master first. response:	So until then, want to call a truce and help me track them down?
context: Who knows? But there's already a Bounded Field around the school.\Once it's activated, everyone inside will probably weaken and die.\Emiya-kun...\Coming from me, you might reject this,\but I think we should call a truce.\A truce? Between you and me?\I want to deal with this other Master first.\So until then, want to call a truce and help me track them down? response:	Well? Personally, I think it's a good deal.
context: Once it's activated, everyone inside will probably weaken and die.\Emiya-kun...\Coming from me, you might reject this,\but I think we should call a truce.\A truce? Between you and me?\I want to deal with this other Master first.\So until then, want to call a truce and help me track them down?\Well? Personally, I think it's a good deal. response:	Sure, I'll feel better about my chances with your help.
context: Emiya-kun...\Coming from me, you might reject this,\but I think we should call a truce.\A truce? Between you and me?\I want to deal with this other Master first.\So until then, want to call a truce and help me track them down?\Well? Personally, I think it's a good deal.\Sure, I'll feel better about my chances with your help. response:	I'm not really helping you. We've simply agreed to a ceasefire.
context: Coming from me, you might reject this,\but I think we should call a truce.\A truce? Between you and me?\I want to deal with this other Master first.\So until then, want to call a truce and help me track them down?\Well? Personally, I think it's a good deal.\Sure, I'll feel better about my chances with your help.\I'm not really helping you. We've simply agreed to a ceasefire. response:	But as long as you don't betray me, I'll assist you, Emiya-kun.
context: but I think we should call a truce.\A truce? Between you and me?\I want to deal with this other Master first.\So until then, want to call a truce and help me track them down?\Well? Personally, I think it's a good deal.\Sure, I'll feel better about my chances with your help.\I'm not really helping you. We've simply agreed to a ceasefire.\But as long as you don't betray me, I'll assist you, Emiya-kun. response:	So you're on my side for good, then. Let's do our best, Tohsaka.
context: A truce? Between you and me?\I want to deal with this other Master first.\So until then, want to call a truce and help me track them down?\Well? Personally, I think it's a good deal.\Sure, I'll feel better about my chances with your help.\I'm not really helping you. We've simply agreed to a ceasefire.\But as long as you don't betray me, I'll assist you, Emiya-kun.\So you're on my side for good, then. Let's do our best, Tohsaka. response:	It won't be quite that long, but try to make yourself useful.
context: I want to deal with this other Master first.\So until then, want to call a truce and help me track them down?\Well? Personally, I think it's a good deal.\Sure, I'll feel better about my chances with your help.\I'm not really helping you. We've simply agreed to a ceasefire.\But as long as you don't betray me, I'll assist you, Emiya-kun.\So you're on my side for good, then. Let's do our best, Tohsaka.\It won't be quite that long, but try to make yourself useful. response:	Now I understand.
context: So until then, want to call a truce and help me track them down?\Well? Personally, I think it's a good deal.\Sure, I'll feel better about my chances with your help.\I'm not really helping you. We've simply agreed to a ceasefire.\But as long as you don't betray me, I'll assist you, Emiya-kun.\So you're on my side for good, then. Let's do our best, Tohsaka.\It won't be quite that long, but try to make yourself useful.\Now I understand. response:	You aren't a legitimate heir.
context: Well? Personally, I think it's a good deal.\Sure, I'll feel better about my chances with your help.\I'm not really helping you. We've simply agreed to a ceasefire.\But as long as you don't betray me, I'll assist you, Emiya-kun.\So you're on my side for good, then. Let's do our best, Tohsaka.\It won't be quite that long, but try to make yourself useful.\Now I understand.\You aren't a legitimate heir. response:	Your father died before he could pass his Magic Crest on to you.
context: Sure, I'll feel better about my chances with your help.\I'm not really helping you. We've simply agreed to a ceasefire.\But as long as you don't betray me, I'll assist you, Emiya-kun.\So you're on my side for good, then. Let's do our best, Tohsaka.\It won't be quite that long, but try to make yourself useful.\Now I understand.\You aren't a legitimate heir.\Your father died before he could pass his Magic Crest on to you. response:	I'm not so sure...
context: I'm not really helping you. We've simply agreed to a ceasefire.\But as long as you don't betray me, I'll assist you, Emiya-kun.\So you're on my side for good, then. Let's do our best, Tohsaka.\It won't be quite that long, but try to make yourself useful.\Now I understand.\You aren't a legitimate heir.\Your father died before he could pass his Magic Crest on to you.\I'm not so sure... response:	He was always against my becoming a mage.
context: But as long as you don't betray me, I'll assist you, Emiya-kun.\So you're on my side for good, then. Let's do our best, Tohsaka.\It won't be quite that long, but try to make yourself useful.\Now I understand.\You aren't a legitimate heir.\Your father died before he could pass his Magic Crest on to you.\I'm not so sure...\He was always against my becoming a mage. response:	Isn't that contradictory?
context: So you're on my side for good, then. Let's do our best, Tohsaka.\It won't be quite that long, but try to make yourself useful.\Now I understand.\You aren't a legitimate heir.\Your father died before he could pass his Magic Crest on to you.\I'm not so sure...\He was always against my becoming a mage.\Isn't that contradictory? response:	Maybe.
context: It won't be quite that long, but try to make yourself useful.\Now I understand.\You aren't a legitimate heir.\Your father died before he could pass his Magic Crest on to you.\I'm not so sure...\He was always against my becoming a mage.\Isn't that contradictory?\Maybe. response:	It always seemed like Dad only taught me because I refused to give up.
context: Now I understand.\You aren't a legitimate heir.\Your father died before he could pass his Magic Crest on to you.\I'm not so sure...\He was always against my becoming a mage.\Isn't that contradictory?\Maybe.\It always seemed like Dad only taught me because I refused to give up. response:	In the end, he only taught me strengthening magic,
context: You aren't a legitimate heir.\Your father died before he could pass his Magic Crest on to you.\I'm not so sure...\He was always against my becoming a mage.\Isn't that contradictory?\Maybe.\It always seemed like Dad only taught me because I refused to give up.\In the end, he only taught me strengthening magic, response:	so that's all I can use.
context: Your father died before he could pass his Magic Crest on to you.\I'm not so sure...\He was always against my becoming a mage.\Isn't that contradictory?\Maybe.\It always seemed like Dad only taught me because I refused to give up.\In the end, he only taught me strengthening magic,\so that's all I can use. response:	Hold on... Why would you tell me that?
context: I'm not so sure...\He was always against my becoming a mage.\Isn't that contradictory?\Maybe.\It always seemed like Dad only taught me because I refused to give up.\In the end, he only taught me strengthening magic,\so that's all I can use.\Hold on... Why would you tell me that? response:	Tohsaka?
context: He was always against my becoming a mage.\Isn't that contradictory?\Maybe.\It always seemed like Dad only taught me because I refused to give up.\In the end, he only taught me strengthening magic,\so that's all I can use.\Hold on... Why would you tell me that?\Tohsaka? response:	Look, Emiya-kun, we might be partners for the time being,
context: Isn't that contradictory?\Maybe.\It always seemed like Dad only taught me because I refused to give up.\In the end, he only taught me strengthening magic,\so that's all I can use.\Hold on... Why would you tell me that?\Tohsaka?\Look, Emiya-kun, we might be partners for the time being, response:	but mages should always keep their arts secret.
context: Maybe.\It always seemed like Dad only taught me because I refused to give up.\In the end, he only taught me strengthening magic,\so that's all I can use.\Hold on... Why would you tell me that?\Tohsaka?\Look, Emiya-kun, we might be partners for the time being,\but mages should always keep their arts secret. response:	What's the point of hiding it now?
context: It always seemed like Dad only taught me because I refused to give up.\In the end, he only taught me strengthening magic,\so that's all I can use.\Hold on... Why would you tell me that?\Tohsaka?\Look, Emiya-kun, we might be partners for the time being,\but mages should always keep their arts secret.\What's the point of hiding it now? response:	Dad always said that magic isn't something you should go out of your way to hide.
context: In the end, he only taught me strengthening magic,\so that's all I can use.\Hold on... Why would you tell me that?\Tohsaka?\Look, Emiya-kun, we might be partners for the time being,\but mages should always keep their arts secret.\What's the point of hiding it now?\Dad always said that magic isn't something you should go out of your way to hide. response:	He really said that?
context: so that's all I can use.\Hold on... Why would you tell me that?\Tohsaka?\Look, Emiya-kun, we might be partners for the time being,\but mages should always keep their arts secret.\What's the point of hiding it now?\Dad always said that magic isn't something you should go out of your way to hide.\He really said that? response:	Yeah, I think he was trying to say to not let myself be bound by rules.
context: Hold on... Why would you tell me that?\Tohsaka?\Look, Emiya-kun, we might be partners for the time being,\but mages should always keep their arts secret.\What's the point of hiding it now?\Dad always said that magic isn't something you should go out of your way to hide.\He really said that?\Yeah, I think he was trying to say to not let myself be bound by rules. response:	He always said to quit if I wanted to.
context: Tohsaka?\Look, Emiya-kun, we might be partners for the time being,\but mages should always keep their arts secret.\What's the point of hiding it now?\Dad always said that magic isn't something you should go out of your way to hide.\He really said that?\Yeah, I think he was trying to say to not let myself be bound by rules.\He always said to quit if I wanted to. response:	That's ridiculous! Your father was no mage!
context: Look, Emiya-kun, we might be partners for the time being,\but mages should always keep their arts secret.\What's the point of hiding it now?\Dad always said that magic isn't something you should go out of your way to hide.\He really said that?\Yeah, I think he was trying to say to not let myself be bound by rules.\He always said to quit if I wanted to.\That's ridiculous! Your father was no mage! response:	If he trained you, I can't recognize you as a mage!
context: but mages should always keep their arts secret.\What's the point of hiding it now?\Dad always said that magic isn't something you should go out of your way to hide.\He really said that?\Yeah, I think he was trying to say to not let myself be bound by rules.\He always said to quit if I wanted to.\That's ridiculous! Your father was no mage!\If he trained you, I can't recognize you as a mage! response:	Why are you mad?
context: What's the point of hiding it now?\Dad always said that magic isn't something you should go out of your way to hide.\He really said that?\Yeah, I think he was trying to say to not let myself be bound by rules.\He always said to quit if I wanted to.\That's ridiculous! Your father was no mage!\If he trained you, I can't recognize you as a mage!\Why are you mad? response:	I know I can't call myself a mage, but my dad was the real deal.
context: Dad always said that magic isn't something you should go out of your way to hide.\He really said that?\Yeah, I think he was trying to say to not let myself be bound by rules.\He always said to quit if I wanted to.\That's ridiculous! Your father was no mage!\If he trained you, I can't recognize you as a mage!\Why are you mad?\I know I can't call myself a mage, but my dad was the real deal. response:	That's not what I mean.
context: He really said that?\Yeah, I think he was trying to say to not let myself be bound by rules.\He always said to quit if I wanted to.\That's ridiculous! Your father was no mage!\If he trained you, I can't recognize you as a mage!\Why are you mad?\I know I can't call myself a mage, but my dad was the real deal.\That's not what I mean. response:	I'm trying to say...
context: Yeah, I think he was trying to say to not let myself be bound by rules.\He always said to quit if I wanted to.\That's ridiculous! Your father was no mage!\If he trained you, I can't recognize you as a mage!\Why are you mad?\I know I can't call myself a mage, but my dad was the real deal.\That's not what I mean.\I'm trying to say... response:	Well...
context: He always said to quit if I wanted to.\That's ridiculous! Your father was no mage!\If he trained you, I can't recognize you as a mage!\Why are you mad?\I know I can't call myself a mage, but my dad was the real deal.\That's not what I mean.\I'm trying to say...\Well... response:	Yeah, I do have a problem with your lack of training.
context: That's ridiculous! Your father was no mage!\If he trained you, I can't recognize you as a mage!\Why are you mad?\I know I can't call myself a mage, but my dad was the real deal.\That's not what I mean.\I'm trying to say...\Well...\Yeah, I do have a problem with your lack of training. response:	What can I do? My old man's dead.
context: If he trained you, I can't recognize you as a mage!\Why are you mad?\I know I can't call myself a mage, but my dad was the real deal.\That's not what I mean.\I'm trying to say...\Well...\Yeah, I do have a problem with your lack of training.\What can I do? My old man's dead. response:	Yeah, that's the inherent limit of a single mage.
context: Why are you mad?\I know I can't call myself a mage, but my dad was the real deal.\That's not what I mean.\I'm trying to say...\Well...\Yeah, I do have a problem with your lack of training.\What can I do? My old man's dead.\Yeah, that's the inherent limit of a single mage. response:	Mages never know when they'll die, so they leave behind a Magic Crest.
context: I know I can't call myself a mage, but my dad was the real deal.\That's not what I mean.\I'm trying to say...\Well...\Yeah, I do have a problem with your lack of training.\What can I do? My old man's dead.\Yeah, that's the inherent limit of a single mage.\Mages never know when they'll die, so they leave behind a Magic Crest. response:	I was just angry at your father for not taking the proper steps to prepare.
context: That's not what I mean.\I'm trying to say...\Well...\Yeah, I do have a problem with your lack of training.\What can I do? My old man's dead.\Yeah, that's the inherent limit of a single mage.\Mages never know when they'll die, so they leave behind a Magic Crest.\I was just angry at your father for not taking the proper steps to prepare. response:	Magic is the culmination of lifetimes of work,
context: I'm trying to say...\Well...\Yeah, I do have a problem with your lack of training.\What can I do? My old man's dead.\Yeah, that's the inherent limit of a single mage.\Mages never know when they'll die, so they leave behind a Magic Crest.\I was just angry at your father for not taking the proper steps to prepare.\Magic is the culmination of lifetimes of work, response:	handed down from parent to child, for generation after generation.
context: Well...\Yeah, I do have a problem with your lack of training.\What can I do? My old man's dead.\Yeah, that's the inherent limit of a single mage.\Mages never know when they'll die, so they leave behind a Magic Crest.\I was just angry at your father for not taking the proper steps to prepare.\Magic is the culmination of lifetimes of work,\handed down from parent to child, for generation after generation. response:	The instant a child is born into a mage family,
context: Yeah, I do have a problem with your lack of training.\What can I do? My old man's dead.\Yeah, that's the inherent limit of a single mage.\Mages never know when they'll die, so they leave behind a Magic Crest.\I was just angry at your father for not taking the proper steps to prepare.\Magic is the culmination of lifetimes of work,\handed down from parent to child, for generation after generation.\The instant a child is born into a mage family, response:	that child becomes heir and successor.
context: What can I do? My old man's dead.\Yeah, that's the inherent limit of a single mage.\Mages never know when they'll die, so they leave behind a Magic Crest.\I was just angry at your father for not taking the proper steps to prepare.\Magic is the culmination of lifetimes of work,\handed down from parent to child, for generation after generation.\The instant a child is born into a mage family,\that child becomes heir and successor. response:	That's the reason we're born, and it's what we die for.
context: Yeah, that's the inherent limit of a single mage.\Mages never know when they'll die, so they leave behind a Magic Crest.\I was just angry at your father for not taking the proper steps to prepare.\Magic is the culmination of lifetimes of work,\handed down from parent to child, for generation after generation.\The instant a child is born into a mage family,\that child becomes heir and successor.\That's the reason we're born, and it's what we die for. response:	A mage family's duty is to take the human child they gave birth to
context: Mages never know when they'll die, so they leave behind a Magic Crest.\I was just angry at your father for not taking the proper steps to prepare.\Magic is the culmination of lifetimes of work,\handed down from parent to child, for generation after generation.\The instant a child is born into a mage family,\that child becomes heir and successor.\That's the reason we're born, and it's what we die for.\A mage family's duty is to take the human child they gave birth to response:	and turn it into something else, over long years of rigorous training.
context: I was just angry at your father for not taking the proper steps to prepare.\Magic is the culmination of lifetimes of work,\handed down from parent to child, for generation after generation.\The instant a child is born into a mage family,\that child becomes heir and successor.\That's the reason we're born, and it's what we die for.\A mage family's duty is to take the human child they gave birth to\and turn it into something else, over long years of rigorous training. response:	That's why your father was no mage, Emiya-kun.
context: Magic is the culmination of lifetimes of work,\handed down from parent to child, for generation after generation.\The instant a child is born into a mage family,\that child becomes heir and successor.\That's the reason we're born, and it's what we die for.\A mage family's duty is to take the human child they gave birth to\and turn it into something else, over long years of rigorous training.\That's why your father was no mage, Emiya-kun. response:	He put being a father ahead of being a mage.
context: handed down from parent to child, for generation after generation.\The instant a child is born into a mage family,\that child becomes heir and successor.\That's the reason we're born, and it's what we die for.\A mage family's duty is to take the human child they gave birth to\and turn it into something else, over long years of rigorous training.\That's why your father was no mage, Emiya-kun.\He put being a father ahead of being a mage. response:	Is this Ryuudou Temple?
context: The instant a child is born into a mage family,\that child becomes heir and successor.\That's the reason we're born, and it's what we die for.\A mage family's duty is to take the human child they gave birth to\and turn it into something else, over long years of rigorous training.\That's why your father was no mage, Emiya-kun.\He put being a father ahead of being a mage.\Is this Ryuudou Temple? response:	Please don't be so stiff, Emiya.
context: that child becomes heir and successor.\That's the reason we're born, and it's what we die for.\A mage family's duty is to take the human child they gave birth to\and turn it into something else, over long years of rigorous training.\That's why your father was no mage, Emiya-kun.\He put being a father ahead of being a mage.\Is this Ryuudou Temple?\Please don't be so stiff, Emiya. response:	All the people in this town belong to me.
context: That's the reason we're born, and it's what we die for.\A mage family's duty is to take the human child they gave birth to\and turn it into something else, over long years of rigorous training.\That's why your father was no mage, Emiya-kun.\He put being a father ahead of being a mage.\Is this Ryuudou Temple?\Please don't be so stiff, Emiya.\All the people in this town belong to me. response:	Although I am inexperienced, I am still a mage.
context: A mage family's duty is to take the human child they gave birth to\and turn it into something else, over long years of rigorous training.\That's why your father was no mage, Emiya-kun.\He put being a father ahead of being a mage.\Is this Ryuudou Temple?\Please don't be so stiff, Emiya.\All the people in this town belong to me.\Although I am inexperienced, I am still a mage. response:	Next Time Mirage
context: and turn it into something else, over long years of rigorous training.\That's why your father was no mage, Emiya-kun.\He put being a father ahead of being a mage.\Is this Ryuudou Temple?\Please don't be so stiff, Emiya.\All the people in this town belong to me.\Although I am inexperienced, I am still a mage.\Next Time Mirage response:	If you wish to pass, then force your way through.
