context: You got that? Let me say it again just to be sure. response:	You are to kill a hundred of this planet's people
context: Just being stronger in a fight ain't everything!\We've got ourselves a strategy!\I've had enough of your smart-mouth.\Kakarrot, I've decided not to let you join our group any longer.\It appears you'd just slow us down, anyhow.\You're a disgrace to our family! Die!!\H - he's fast! What speed!\And he came at us head - on! For him to get behind us in that one moment! response:	Your defense, at least, appears to be pretty strong.
context: We've got ourselves a strategy!\I've had enough of your smart-mouth.\Kakarrot, I've decided not to let you join our group any longer.\It appears you'd just slow us down, anyhow.\You're a disgrace to our family! Die!!\H - he's fast! What speed!\And he came at us head - on! For him to get behind us in that one moment!\Your defense, at least, appears to be pretty strong. response:	However, your deaths are only a matter of time now.
context: I've had enough of your smart-mouth.\Kakarrot, I've decided not to let you join our group any longer.\It appears you'd just slow us down, anyhow.\You're a disgrace to our family! Die!!\H - he's fast! What speed!\And he came at us head - on! For him to get behind us in that one moment!\Your defense, at least, appears to be pretty strong.\However, your deaths are only a matter of time now. response:	Little by little, I'm going to increase the strength of my attacks!
context: Kakarrot, I've decided not to let you join our group any longer.\It appears you'd just slow us down, anyhow.\You're a disgrace to our family! Die!!\H - he's fast! What speed!\And he came at us head - on! For him to get behind us in that one moment!\Your defense, at least, appears to be pretty strong.\However, your deaths are only a matter of time now.\Little by little, I'm going to increase the strength of my attacks! response:	T - to think that the difference in our levels would be this great!
context: It appears you'd just slow us down, anyhow.\You're a disgrace to our family! Die!!\H - he's fast! What speed!\And he came at us head - on! For him to get behind us in that one moment!\Your defense, at least, appears to be pretty strong.\However, your deaths are only a matter of time now.\Little by little, I'm going to increase the strength of my attacks!\T - to think that the difference in our levels would be this great! response:	Somehow, I have to grab his tail, and make his power drop!
context: You're a disgrace to our family! Die!!\H - he's fast! What speed!\And he came at us head - on! For him to get behind us in that one moment!\Your defense, at least, appears to be pretty strong.\However, your deaths are only a matter of time now.\Little by little, I'm going to increase the strength of my attacks!\T - to think that the difference in our levels would be this great!\Somehow, I have to grab his tail, and make his power drop! response:	It's hopeless! No matter what strategy you may have come up with,
context: H - he's fast! What speed!\And he came at us head - on! For him to get behind us in that one moment!\Your defense, at least, appears to be pretty strong.\However, your deaths are only a matter of time now.\Little by little, I'm going to increase the strength of my attacks!\T - to think that the difference in our levels would be this great!\Somehow, I have to grab his tail, and make his power drop!\It's hopeless! No matter what strategy you may have come up with, response:	there's no way you can beat me!
context: And he came at us head - on! For him to get behind us in that one moment!\Your defense, at least, appears to be pretty strong.\However, your deaths are only a matter of time now.\Little by little, I'm going to increase the strength of my attacks!\T - to think that the difference in our levels would be this great!\Somehow, I have to grab his tail, and make his power drop!\It's hopeless! No matter what strategy you may have come up with,\there's no way you can beat me! response:	I know... Why don't I let you in on something good before you die?
context: Your defense, at least, appears to be pretty strong.\However, your deaths are only a matter of time now.\Little by little, I'm going to increase the strength of my attacks!\T - to think that the difference in our levels would be this great!\Somehow, I have to grab his tail, and make his power drop!\It's hopeless! No matter what strategy you may have come up with,\there's no way you can beat me!\I know... Why don't I let you in on something good before you die? response:	The two other Saiyans besides me who are still alive
context: However, your deaths are only a matter of time now.\Little by little, I'm going to increase the strength of my attacks!\T - to think that the difference in our levels would be this great!\Somehow, I have to grab his tail, and make his power drop!\It's hopeless! No matter what strategy you may have come up with,\there's no way you can beat me!\I know... Why don't I let you in on something good before you die?\The two other Saiyans besides me who are still alive response:	have an even higher battle power than I do!
context: Little by little, I'm going to increase the strength of my attacks!\T - to think that the difference in our levels would be this great!\Somehow, I have to grab his tail, and make his power drop!\It's hopeless! No matter what strategy you may have come up with,\there's no way you can beat me!\I know... Why don't I let you in on something good before you die?\The two other Saiyans besides me who are still alive\have an even higher battle power than I do! response:	What unprecedented terror! Even if Raditz is defeated,
context: T - to think that the difference in our levels would be this great!\Somehow, I have to grab his tail, and make his power drop!\It's hopeless! No matter what strategy you may have come up with,\there's no way you can beat me!\I know... Why don't I let you in on something good before you die?\The two other Saiyans besides me who are still alive\have an even higher battle power than I do!\What unprecedented terror! Even if Raditz is defeated, response:	there are still even more powerful warriors?
context: Somehow, I have to grab his tail, and make his power drop!\It's hopeless! No matter what strategy you may have come up with,\there's no way you can beat me!\I know... Why don't I let you in on something good before you die?\The two other Saiyans besides me who are still alive\have an even higher battle power than I do!\What unprecedented terror! Even if Raditz is defeated,\there are still even more powerful warriors? response:	There is nothing that Goku and Piccolo can do!
