context: Stop! response:	Don't hurt Saizo any more!
context: I don't plan to die here.\I've got people and the whole wide ocean waiting for me.\I bet there's plenty of good women out there, too.\Sorry, but you're going to die here.\It's your fate.\My fate?\You can't tie me down with that!\I don't take orders from anyone! response:	I live freely!
context: I've got people and the whole wide ocean waiting for me.\I bet there's plenty of good women out there, too.\Sorry, but you're going to die here.\It's your fate.\My fate?\You can't tie me down with that!\I don't take orders from anyone!\I live freely! response:	I won't have anyone force their ideals on me!
context: I bet there's plenty of good women out there, too.\Sorry, but you're going to die here.\It's your fate.\My fate?\You can't tie me down with that!\I don't take orders from anyone!\I live freely!\I won't have anyone force their ideals on me! response:	Freely?
context: Sorry, but you're going to die here.\It's your fate.\My fate?\You can't tie me down with that!\I don't take orders from anyone!\I live freely!\I won't have anyone force their ideals on me!\Freely? response:	Are you stupid?
context: It's your fate.\My fate?\You can't tie me down with that!\I don't take orders from anyone!\I live freely!\I won't have anyone force their ideals on me!\Freely?\Are you stupid? response:	The strong will always control the weak.
context: My fate?\You can't tie me down with that!\I don't take orders from anyone!\I live freely!\I won't have anyone force their ideals on me!\Freely?\Are you stupid?\The strong will always control the weak. response:	You have no freedom!
context: You can't tie me down with that!\I don't take orders from anyone!\I live freely!\I won't have anyone force their ideals on me!\Freely?\Are you stupid?\The strong will always control the weak.\You have no freedom! response:	Are you the same way?
context: I don't take orders from anyone!\I live freely!\I won't have anyone force their ideals on me!\Freely?\Are you stupid?\The strong will always control the weak.\You have no freedom!\Are you the same way? response:	Bingo.
context: I live freely!\I won't have anyone force their ideals on me!\Freely?\Are you stupid?\The strong will always control the weak.\You have no freedom!\Are you the same way?\Bingo. response:	Shut your mouth!
context: I won't have anyone force their ideals on me!\Freely?\Are you stupid?\The strong will always control the weak.\You have no freedom!\Are you the same way?\Bingo.\Shut your mouth! response:	Iga Ice Technique!
context: Freely?\Are you stupid?\The strong will always control the weak.\You have no freedom!\Are you the same way?\Bingo.\Shut your mouth!\Iga Ice Technique! response:	Eikyu Todo!
context: Are you stupid?\The strong will always control the weak.\You have no freedom!\Are you the same way?\Bingo.\Shut your mouth!\Iga Ice Technique!\Eikyu Todo! response:	You finally shut up.
context: The strong will always control the weak.\You have no freedom!\Are you the same way?\Bingo.\Shut your mouth!\Iga Ice Technique!\Eikyu Todo!\You finally shut up. response:	Now you're imprisoned forever.
context: You have no freedom!\Are you the same way?\Bingo.\Shut your mouth!\Iga Ice Technique!\Eikyu Todo!\You finally shut up.\Now you're imprisoned forever. response:	I abandoned my freedom.
context: Are you the same way?\Bingo.\Shut your mouth!\Iga Ice Technique!\Eikyu Todo!\You finally shut up.\Now you're imprisoned forever.\I abandoned my freedom. response:	I live coldly, strongly.
context: Bingo.\Shut your mouth!\Iga Ice Technique!\Eikyu Todo!\You finally shut up.\Now you're imprisoned forever.\I abandoned my freedom.\I live coldly, strongly. response:	Strength is all I need.
context: Shut your mouth!\Iga Ice Technique!\Eikyu Todo!\You finally shut up.\Now you're imprisoned forever.\I abandoned my freedom.\I live coldly, strongly.\Strength is all I need. response:	I know nothing else.
context: Iga Ice Technique!\Eikyu Todo!\You finally shut up.\Now you're imprisoned forever.\I abandoned my freedom.\I live coldly, strongly.\Strength is all I need.\I know nothing else. response:	Your frozen face is melting.
context: Eikyu Todo!\You finally shut up.\Now you're imprisoned forever.\I abandoned my freedom.\I live coldly, strongly.\Strength is all I need.\I know nothing else.\Your frozen face is melting. response:	You could never...
context: You finally shut up.\Now you're imprisoned forever.\I abandoned my freedom.\I live coldly, strongly.\Strength is all I need.\I know nothing else.\Your frozen face is melting.\You could never... response:	You think this'll kill me?
context: Now you're imprisoned forever.\I abandoned my freedom.\I live coldly, strongly.\Strength is all I need.\I know nothing else.\Your frozen face is melting.\You could never...\You think this'll kill me? response:	Just run, Saizo.
context: I abandoned my freedom.\I live coldly, strongly.\Strength is all I need.\I know nothing else.\Your frozen face is melting.\You could never...\You think this'll kill me?\Just run, Saizo. response:	You know he can't do that.
context: I live coldly, strongly.\Strength is all I need.\I know nothing else.\Your frozen face is melting.\You could never...\You think this'll kill me?\Just run, Saizo.\You know he can't do that. response:	Let's not give him false hope.
context: Strength is all I need.\I know nothing else.\Your frozen face is melting.\You could never...\You think this'll kill me?\Just run, Saizo.\You know he can't do that.\Let's not give him false hope. response:	Don't cry, Isanami!
context: I know nothing else.\Your frozen face is melting.\You could never...\You think this'll kill me?\Just run, Saizo.\You know he can't do that.\Let's not give him false hope.\Don't cry, Isanami! response:	No one's gonna die.
context: Your frozen face is melting.\You could never...\You think this'll kill me?\Just run, Saizo.\You know he can't do that.\Let's not give him false hope.\Don't cry, Isanami!\No one's gonna die. response:	I promise I'll be fine.
context: You could never...\You think this'll kill me?\Just run, Saizo.\You know he can't do that.\Let's not give him false hope.\Don't cry, Isanami!\No one's gonna die.\I promise I'll be fine. response:	It's my fault.
context: You think this'll kill me?\Just run, Saizo.\You know he can't do that.\Let's not give him false hope.\Don't cry, Isanami!\No one's gonna die.\I promise I'll be fine.\It's my fault. response:	It's because I'm weak.
context: Just run, Saizo.\You know he can't do that.\Let's not give him false hope.\Don't cry, Isanami!\No one's gonna die.\I promise I'll be fine.\It's my fault.\It's because I'm weak. response:	Because I can't fight like everyone else.
context: You know he can't do that.\Let's not give him false hope.\Don't cry, Isanami!\No one's gonna die.\I promise I'll be fine.\It's my fault.\It's because I'm weak.\Because I can't fight like everyone else. response:	I cause everyone pain.
context: Let's not give him false hope.\Don't cry, Isanami!\No one's gonna die.\I promise I'll be fine.\It's my fault.\It's because I'm weak.\Because I can't fight like everyone else.\I cause everyone pain. response:	I'm useless.
context: Don't cry, Isanami!\No one's gonna die.\I promise I'll be fine.\It's my fault.\It's because I'm weak.\Because I can't fight like everyone else.\I cause everyone pain.\I'm useless. response:	Worthless.
context: No one's gonna die.\I promise I'll be fine.\It's my fault.\It's because I'm weak.\Because I can't fight like everyone else.\I cause everyone pain.\I'm useless.\Worthless. response:	Do you want power?
context: I promise I'll be fine.\It's my fault.\It's because I'm weak.\Because I can't fight like everyone else.\I cause everyone pain.\I'm useless.\Worthless.\Do you want power? response:	I do.
context: It's my fault.\It's because I'm weak.\Because I can't fight like everyone else.\I cause everyone pain.\I'm useless.\Worthless.\Do you want power?\I do. response:	Great power?
context: It's because I'm weak.\Because I can't fight like everyone else.\I cause everyone pain.\I'm useless.\Worthless.\Do you want power?\I do.\Great power? response:	I do.
context: Because I can't fight like everyone else.\I cause everyone pain.\I'm useless.\Worthless.\Do you want power?\I do.\Great power?\I do. response:	Overwhelming power?
context: I cause everyone pain.\I'm useless.\Worthless.\Do you want power?\I do.\Great power?\I do.\Overwhelming power? response:	I do!
context: I'm useless.\Worthless.\Do you want power?\I do.\Great power?\I do.\Overwhelming power?\I do! response:	Then cast aside your hairpin.
context: Worthless.\Do you want power?\I do.\Great power?\I do.\Overwhelming power?\I do!\Then cast aside your hairpin. response:	Do this, and the power will be yours.
context: Do you want power?\I do.\Great power?\I do.\Overwhelming power?\I do!\Then cast aside your hairpin.\Do this, and the power will be yours. response:	Don't, Isanami!
context: I do.\Great power?\I do.\Overwhelming power?\I do!\Then cast aside your hairpin.\Do this, and the power will be yours.\Don't, Isanami! response:	Power!
context: Great power?\I do.\Overwhelming power?\I do!\Then cast aside your hairpin.\Do this, and the power will be yours.\Don't, Isanami!\Power! response:	The sun...
context: I do.\Overwhelming power?\I do!\Then cast aside your hairpin.\Do this, and the power will be yours.\Don't, Isanami!\Power!\The sun... response:	It's disappearing?
context: Overwhelming power?\I do!\Then cast aside your hairpin.\Do this, and the power will be yours.\Don't, Isanami!\Power!\The sun...\It's disappearing? response:	What's going on?
context: I do!\Then cast aside your hairpin.\Do this, and the power will be yours.\Don't, Isanami!\Power!\The sun...\It's disappearing?\What's going on? response:	Isanami.
context: Then cast aside your hairpin.\Do this, and the power will be yours.\Don't, Isanami!\Power!\The sun...\It's disappearing?\What's going on?\Isanami. response:	Isanami...
context: Do this, and the power will be yours.\Don't, Isanami!\Power!\The sun...\It's disappearing?\What's going on?\Isanami.\Isanami... response:	Sasuke, Kakei-san, Rokuro-san, old sea dog,
context: Don't, Isanami!\Power!\The sun...\It's disappearing?\What's going on?\Isanami.\Isanami...\Sasuke, Kakei-san, Rokuro-san, old sea dog, response:	Seikai, Benmaru, Kamanosuke.
context: Power!\The sun...\It's disappearing?\What's going on?\Isanami.\Isanami...\Sasuke, Kakei-san, Rokuro-san, old sea dog,\Seikai, Benmaru, Kamanosuke. response:	I won't let your deaths be in vain.
context: The sun...\It's disappearing?\What's going on?\Isanami.\Isanami...\Sasuke, Kakei-san, Rokuro-san, old sea dog,\Seikai, Benmaru, Kamanosuke.\I won't let your deaths be in vain. response:	I will save Isanami!
context: It's disappearing?\What's going on?\Isanami.\Isanami...\Sasuke, Kakei-san, Rokuro-san, old sea dog,\Seikai, Benmaru, Kamanosuke.\I won't let your deaths be in vain.\I will save Isanami! response:	Hold up!
context: What's going on?\Isanami.\Isanami...\Sasuke, Kakei-san, Rokuro-san, old sea dog,\Seikai, Benmaru, Kamanosuke.\I won't let your deaths be in vain.\I will save Isanami!\Hold up! response:	We're not dead yet!
context: Isanami.\Isanami...\Sasuke, Kakei-san, Rokuro-san, old sea dog,\Seikai, Benmaru, Kamanosuke.\I won't let your deaths be in vain.\I will save Isanami!\Hold up!\We're not dead yet! response:	This isn't over.
context: Isanami...\Sasuke, Kakei-san, Rokuro-san, old sea dog,\Seikai, Benmaru, Kamanosuke.\I won't let your deaths be in vain.\I will save Isanami!\Hold up!\We're not dead yet!\This isn't over. response:	I will not lose.
context: Sasuke, Kakei-san, Rokuro-san, old sea dog,\Seikai, Benmaru, Kamanosuke.\I won't let your deaths be in vain.\I will save Isanami!\Hold up!\We're not dead yet!\This isn't over.\I will not lose. response:	Neither will I!
context: Seikai, Benmaru, Kamanosuke.\I won't let your deaths be in vain.\I will save Isanami!\Hold up!\We're not dead yet!\This isn't over.\I will not lose.\Neither will I! response:	Isanami!
context: I won't let your deaths be in vain.\I will save Isanami!\Hold up!\We're not dead yet!\This isn't over.\I will not lose.\Neither will I!\Isanami! response:	Who are you calling a pervert?!
context: I will save Isanami!\Hold up!\We're not dead yet!\This isn't over.\I will not lose.\Neither will I!\Isanami!\Who are you calling a pervert?! response:	I didn't call you one!
context: Hold up!\We're not dead yet!\This isn't over.\I will not lose.\Neither will I!\Isanami!\Who are you calling a pervert?!\I didn't call you one! response:	And shut up! I wish you would've stayed asleep!
context: We're not dead yet!\This isn't over.\I will not lose.\Neither will I!\Isanami!\Who are you calling a pervert?!\I didn't call you one!\And shut up! I wish you would've stayed asleep! response:	The final episode of Brave 10 is The Warrior of Light.
context: This isn't over.\I will not lose.\Neither will I!\Isanami!\Who are you calling a pervert?!\I didn't call you one!\And shut up! I wish you would've stayed asleep!\The final episode of Brave 10 is The Warrior of Light. response:	The Warrior of Light
context: I will not lose.\Neither will I!\Isanami!\Who are you calling a pervert?!\I didn't call you one!\And shut up! I wish you would've stayed asleep!\The final episode of Brave 10 is The Warrior of Light.\The Warrior of Light response:	Bring it on!
