context: 29th Suimei University of the Arts High School Graduation Ceremony response:	Yeah, everything's fine here.
context: Kouhai-kun?\What?\I felt so anxious when I was kicked out of the regular dorms,\but you created a place where I belonged!\A place called Sakura Hall!\That's why I\Cut it out, Kanda!\Like hell I will! response:	Kouhai-kun!
context: What?\I felt so anxious when I was kicked out of the regular dorms,\but you created a place where I belonged!\A place called Sakura Hall!\That's why I\Cut it out, Kanda!\Like hell I will!\Kouhai-kun! response:	It's all thanks to
context: I felt so anxious when I was kicked out of the regular dorms,\but you created a place where I belonged!\A place called Sakura Hall!\That's why I\Cut it out, Kanda!\Like hell I will!\Kouhai-kun!\It's all thanks to response:	Shut up!
context: but you created a place where I belonged!\A place called Sakura Hall!\That's why I\Cut it out, Kanda!\Like hell I will!\Kouhai-kun!\It's all thanks to\Shut up! response:	Senpai, you...
context: A place called Sakura Hall!\That's why I\Cut it out, Kanda!\Like hell I will!\Kouhai-kun!\It's all thanks to\Shut up!\Senpai, you... response:	No matter what happened, you always bore the brunt of it!
context: That's why I\Cut it out, Kanda!\Like hell I will!\Kouhai-kun!\It's all thanks to\Shut up!\Senpai, you...\No matter what happened, you always bore the brunt of it! response:	When I was lost, you always dragged me into taking action!
context: Cut it out, Kanda!\Like hell I will!\Kouhai-kun!\It's all thanks to\Shut up!\Senpai, you...\No matter what happened, you always bore the brunt of it!\When I was lost, you always dragged me into taking action! response:	Hey, you...
context: Like hell I will!\Kouhai-kun!\It's all thanks to\Shut up!\Senpai, you...\No matter what happened, you always bore the brunt of it!\When I was lost, you always dragged me into taking action!\Hey, you... response:	Aoyama!
context: Kouhai-kun!\It's all thanks to\Shut up!\Senpai, you...\No matter what happened, you always bore the brunt of it!\When I was lost, you always dragged me into taking action!\Hey, you...\Aoyama! response:	I love Sakura Hall.
context: It's all thanks to\Shut up!\Senpai, you...\No matter what happened, you always bore the brunt of it!\When I was lost, you always dragged me into taking action!\Hey, you...\Aoyama!\I love Sakura Hall. response:	Don't take away our Sakura Hall.
context: Shut up!\Senpai, you...\No matter what happened, you always bore the brunt of it!\When I was lost, you always dragged me into taking action!\Hey, you...\Aoyama!\I love Sakura Hall.\Don't take away our Sakura Hall. response:	Nanamin, Mashiron...
context: Senpai, you...\No matter what happened, you always bore the brunt of it!\When I was lost, you always dragged me into taking action!\Hey, you...\Aoyama!\I love Sakura Hall.\Don't take away our Sakura Hall.\Nanamin, Mashiron... response:	Show'em, guys!
context: No matter what happened, you always bore the brunt of it!\When I was lost, you always dragged me into taking action!\Hey, you...\Aoyama!\I love Sakura Hall.\Don't take away our Sakura Hall.\Nanamin, Mashiron...\Show'em, guys! response:	I know Sakura Hall can do more than that!
context: When I was lost, you always dragged me into taking action!\Hey, you...\Aoyama!\I love Sakura Hall.\Don't take away our Sakura Hall.\Nanamin, Mashiron...\Show'em, guys!\I know Sakura Hall can do more than that! response:	Miyahara-kun?
context: Hey, you...\Aoyama!\I love Sakura Hall.\Don't take away our Sakura Hall.\Nanamin, Mashiron...\Show'em, guys!\I know Sakura Hall can do more than that!\Miyahara-kun? response:	Nanami, you can do it!
context: Aoyama!\I love Sakura Hall.\Don't take away our Sakura Hall.\Nanamin, Mashiron...\Show'em, guys!\I know Sakura Hall can do more than that!\Miyahara-kun?\Nanami, you can do it! response:	Yeah, give them hell!
context: I love Sakura Hall.\Don't take away our Sakura Hall.\Nanamin, Mashiron...\Show'em, guys!\I know Sakura Hall can do more than that!\Miyahara-kun?\Nanami, you can do it!\Yeah, give them hell! response:	Sh-Shiina-san, fight!
context: Don't take away our Sakura Hall.\Nanamin, Mashiron...\Show'em, guys!\I know Sakura Hall can do more than that!\Miyahara-kun?\Nanami, you can do it!\Yeah, give them hell!\Sh-Shiina-san, fight! response:	Quiet!
context: Nanamin, Mashiron...\Show'em, guys!\I know Sakura Hall can do more than that!\Miyahara-kun?\Nanami, you can do it!\Yeah, give them hell!\Sh-Shiina-san, fight!\Quiet! response:	You can do it, Sakura Hall!
context: Show'em, guys!\I know Sakura Hall can do more than that!\Miyahara-kun?\Nanami, you can do it!\Yeah, give them hell!\Sh-Shiina-san, fight!\Quiet!\You can do it, Sakura Hall! response:	Sakura Hall!
context: I know Sakura Hall can do more than that!\Miyahara-kun?\Nanami, you can do it!\Yeah, give them hell!\Sh-Shiina-san, fight!\Quiet!\You can do it, Sakura Hall!\Sakura Hall! response:	You can do it!
context: Miyahara-kun?\Nanami, you can do it!\Yeah, give them hell!\Sh-Shiina-san, fight!\Quiet!\You can do it, Sakura Hall!\Sakura Hall!\You can do it! response:	That's the way, Sakura Hall!
context: Nanami, you can do it!\Yeah, give them hell!\Sh-Shiina-san, fight!\Quiet!\You can do it, Sakura Hall!\Sakura Hall!\You can do it!\That's the way, Sakura Hall! response:	Way to go, Sakura Hall!
context: Yeah, give them hell!\Sh-Shiina-san, fight!\Quiet!\You can do it, Sakura Hall!\Sakura Hall!\You can do it!\That's the way, Sakura Hall!\Way to go, Sakura Hall! response:	Sakura Hall! Sakura Hall! Sakura Hall!
context: Sh-Shiina-san, fight!\Quiet!\You can do it, Sakura Hall!\Sakura Hall!\You can do it!\That's the way, Sakura Hall!\Way to go, Sakura Hall!\Sakura Hall! Sakura Hall! Sakura Hall! response:	We couldn't gather enough signatures,
context: Quiet!\You can do it, Sakura Hall!\Sakura Hall!\You can do it!\That's the way, Sakura Hall!\Way to go, Sakura Hall!\Sakura Hall! Sakura Hall! Sakura Hall!\We couldn't gather enough signatures, response:	but...
context: You can do it, Sakura Hall!\Sakura Hall!\You can do it!\That's the way, Sakura Hall!\Way to go, Sakura Hall!\Sakura Hall! Sakura Hall! Sakura Hall!\We couldn't gather enough signatures,\but... response:	But...
context: Sakura Hall!\You can do it!\That's the way, Sakura Hall!\Way to go, Sakura Hall!\Sakura Hall! Sakura Hall! Sakura Hall!\We couldn't gather enough signatures,\but...\But... response:	We just got through to them.
context: You can do it!\That's the way, Sakura Hall!\Way to go, Sakura Hall!\Sakura Hall! Sakura Hall! Sakura Hall!\We couldn't gather enough signatures,\but...\But...\We just got through to them. response:	I'm sorry for doing this at your graduation.
context: That's the way, Sakura Hall!\Way to go, Sakura Hall!\Sakura Hall! Sakura Hall! Sakura Hall!\We couldn't gather enough signatures,\but...\But...\We just got through to them.\I'm sorry for doing this at your graduation. response:	But it's not just Sakura Hall...
context: Way to go, Sakura Hall!\Sakura Hall! Sakura Hall! Sakura Hall!\We couldn't gather enough signatures,\but...\But...\We just got through to them.\I'm sorry for doing this at your graduation.\But it's not just Sakura Hall... response:	Everyone at Suimei is the best!
context: Sakura Hall! Sakura Hall! Sakura Hall!\We couldn't gather enough signatures,\but...\But...\We just got through to them.\I'm sorry for doing this at your graduation.\But it's not just Sakura Hall...\Everyone at Suimei is the best! response:	Misaki-senpai!
context: We couldn't gather enough signatures,\but...\But...\We just got through to them.\I'm sorry for doing this at your graduation.\But it's not just Sakura Hall...\Everyone at Suimei is the best!\Misaki-senpai! response:	Kouhai-kun!
context: but...\But...\We just got through to them.\I'm sorry for doing this at your graduation.\But it's not just Sakura Hall...\Everyone at Suimei is the best!\Misaki-senpai!\Kouhai-kun! response:	I wish I could have spent more time with you guys!
context: But...\We just got through to them.\I'm sorry for doing this at your graduation.\But it's not just Sakura Hall...\Everyone at Suimei is the best!\Misaki-senpai!\Kouhai-kun!\I wish I could have spent more time with you guys! response:	Kouhai-kun...
context: We just got through to them.\I'm sorry for doing this at your graduation.\But it's not just Sakura Hall...\Everyone at Suimei is the best!\Misaki-senpai!\Kouhai-kun!\I wish I could have spent more time with you guys!\Kouhai-kun... response:	I wish we could have done more stupid stuff together!
context: I'm sorry for doing this at your graduation.\But it's not just Sakura Hall...\Everyone at Suimei is the best!\Misaki-senpai!\Kouhai-kun!\I wish I could have spent more time with you guys!\Kouhai-kun...\I wish we could have done more stupid stuff together! response:	There are still a lot of things we haven't done!
context: But it's not just Sakura Hall...\Everyone at Suimei is the best!\Misaki-senpai!\Kouhai-kun!\I wish I could have spent more time with you guys!\Kouhai-kun...\I wish we could have done more stupid stuff together!\There are still a lot of things we haven't done! response:	The truth is, I don't want you to graduate!
context: Everyone at Suimei is the best!\Misaki-senpai!\Kouhai-kun!\I wish I could have spent more time with you guys!\Kouhai-kun...\I wish we could have done more stupid stuff together!\There are still a lot of things we haven't done!\The truth is, I don't want you to graduate! response:	I wish we could be together forever!
context: Misaki-senpai!\Kouhai-kun!\I wish I could have spent more time with you guys!\Kouhai-kun...\I wish we could have done more stupid stuff together!\There are still a lot of things we haven't done!\The truth is, I don't want you to graduate!\I wish we could be together forever! response:	It's okay.
context: Kouhai-kun!\I wish I could have spent more time with you guys!\Kouhai-kun...\I wish we could have done more stupid stuff together!\There are still a lot of things we haven't done!\The truth is, I don't want you to graduate!\I wish we could be together forever!\It's okay. response:	You've still got a year of high school left.
context: I wish I could have spent more time with you guys!\Kouhai-kun...\I wish we could have done more stupid stuff together!\There are still a lot of things we haven't done!\The truth is, I don't want you to graduate!\I wish we could be together forever!\It's okay.\You've still got a year of high school left. response:	But you guys won't be there...
context: Kouhai-kun...\I wish we could have done more stupid stuff together!\There are still a lot of things we haven't done!\The truth is, I don't want you to graduate!\I wish we could be together forever!\It's okay.\You've still got a year of high school left.\But you guys won't be there... response:	So make it even better than the year we spent together!
context: I wish we could have done more stupid stuff together!\There are still a lot of things we haven't done!\The truth is, I don't want you to graduate!\I wish we could be together forever!\It's okay.\You've still got a year of high school left.\But you guys won't be there...\So make it even better than the year we spent together! response:	Spend it with the all the kouhai-kuns...
context: There are still a lot of things we haven't done!\The truth is, I don't want you to graduate!\I wish we could be together forever!\It's okay.\You've still got a year of high school left.\But you guys won't be there...\So make it even better than the year we spent together!\Spend it with the all the kouhai-kuns... response:	who will be joining you next year!
context: The truth is, I don't want you to graduate!\I wish we could be together forever!\It's okay.\You've still got a year of high school left.\But you guys won't be there...\So make it even better than the year we spent together!\Spend it with the all the kouhai-kuns...\who will be joining you next year! response:	You can do all the things with them that you weren't able to do with us!
context: I wish we could be together forever!\It's okay.\You've still got a year of high school left.\But you guys won't be there...\So make it even better than the year we spent together!\Spend it with the all the kouhai-kuns...\who will be joining you next year!\You can do all the things with them that you weren't able to do with us! response:	Senpai...
context: It's okay.\You've still got a year of high school left.\But you guys won't be there...\So make it even better than the year we spent together!\Spend it with the all the kouhai-kuns...\who will be joining you next year!\You can do all the things with them that you weren't able to do with us!\Senpai... response:	So don't cry!
context: You've still got a year of high school left.\But you guys won't be there...\So make it even better than the year we spent together!\Spend it with the all the kouhai-kuns...\who will be joining you next year!\You can do all the things with them that you weren't able to do with us!\Senpai...\So don't cry! response:	I'm rooting for you, kouhai-kun!
context: But you guys won't be there...\So make it even better than the year we spent together!\Spend it with the all the kouhai-kuns...\who will be joining you next year!\You can do all the things with them that you weren't able to do with us!\Senpai...\So don't cry!\I'm rooting for you, kouhai-kun! response:	I'm rooting for all of you!
context: So make it even better than the year we spent together!\Spend it with the all the kouhai-kuns...\who will be joining you next year!\You can do all the things with them that you weren't able to do with us!\Senpai...\So don't cry!\I'm rooting for you, kouhai-kun!\I'm rooting for all of you! response:	I'm rooting for Sakura Hall!
context: Spend it with the all the kouhai-kuns...\who will be joining you next year!\You can do all the things with them that you weren't able to do with us!\Senpai...\So don't cry!\I'm rooting for you, kouhai-kun!\I'm rooting for all of you!\I'm rooting for Sakura Hall! response:	What do you say?
context: who will be joining you next year!\You can do all the things with them that you weren't able to do with us!\Senpai...\So don't cry!\I'm rooting for you, kouhai-kun!\I'm rooting for all of you!\I'm rooting for Sakura Hall!\What do you say? response:	Yes...
context: You can do all the things with them that you weren't able to do with us!\Senpai...\So don't cry!\I'm rooting for you, kouhai-kun!\I'm rooting for all of you!\I'm rooting for Sakura Hall!\What do you say?\Yes... response:	I can't hear you!
context: Senpai...\So don't cry!\I'm rooting for you, kouhai-kun!\I'm rooting for all of you!\I'm rooting for Sakura Hall!\What do you say?\Yes...\I can't hear you! response:	Yes!
context: So don't cry!\I'm rooting for you, kouhai-kun!\I'm rooting for all of you!\I'm rooting for Sakura Hall!\What do you say?\Yes...\I can't hear you!\Yes! response:	That's enough!
context: I'm rooting for you, kouhai-kun!\I'm rooting for all of you!\I'm rooting for Sakura Hall!\What do you say?\Yes...\I can't hear you!\Yes!\That's enough! response:	Go back to your seats!
context: I'm rooting for all of you!\I'm rooting for Sakura Hall!\What do you say?\Yes...\I can't hear you!\Yes!\That's enough!\Go back to your seats! response:	Come on, let's try to keep this peaceful...
context: I'm rooting for Sakura Hall!\What do you say?\Yes...\I can't hear you!\Yes!\That's enough!\Go back to your seats!\Come on, let's try to keep this peaceful... response:	What are you doing? Sit back down!
context: What do you say?\Yes...\I can't hear you!\Yes!\That's enough!\Go back to your seats!\Come on, let's try to keep this peaceful...\What are you doing? Sit back down! response:	Good grief.
context: Yes...\I can't hear you!\Yes!\That's enough!\Go back to your seats!\Come on, let's try to keep this peaceful...\What are you doing? Sit back down!\Good grief. response:	You're all idiots.
context: I can't hear you!\Yes!\That's enough!\Go back to your seats!\Come on, let's try to keep this peaceful...\What are you doing? Sit back down!\Good grief.\You're all idiots. response:	This is why none of your lectures are worth listening to.
context: Yes!\That's enough!\Go back to your seats!\Come on, let's try to keep this peaceful...\What are you doing? Sit back down!\Good grief.\You're all idiots.\This is why none of your lectures are worth listening to. response:	What did you say?
context: That's enough!\Go back to your seats!\Come on, let's try to keep this peaceful...\What are you doing? Sit back down!\Good grief.\You're all idiots.\This is why none of your lectures are worth listening to.\What did you say? response:	You still don't understand?
context: Go back to your seats!\Come on, let's try to keep this peaceful...\What are you doing? Sit back down!\Good grief.\You're all idiots.\This is why none of your lectures are worth listening to.\What did you say?\You still don't understand? response:	Everyone in here is on our side.
context: Come on, let's try to keep this peaceful...\What are you doing? Sit back down!\Good grief.\You're all idiots.\This is why none of your lectures are worth listening to.\What did you say?\You still don't understand?\Everyone in here is on our side. response:	Why don't you accept it already?
context: What are you doing? Sit back down!\Good grief.\You're all idiots.\This is why none of your lectures are worth listening to.\What did you say?\You still don't understand?\Everyone in here is on our side.\Why don't you accept it already? response:	Tatebayashi...
context: Good grief.\You're all idiots.\This is why none of your lectures are worth listening to.\What did you say?\You still don't understand?\Everyone in here is on our side.\Why don't you accept it already?\Tatebayashi... response:	I heard Sakura Hall was originally created to nurture...
context: You're all idiots.\This is why none of your lectures are worth listening to.\What did you say?\You still don't understand?\Everyone in here is on our side.\Why don't you accept it already?\Tatebayashi...\I heard Sakura Hall was originally created to nurture... response:	the talents of art students, regardless of society's framework.
context: This is why none of your lectures are worth listening to.\What did you say?\You still don't understand?\Everyone in here is on our side.\Why don't you accept it already?\Tatebayashi...\I heard Sakura Hall was originally created to nurture...\the talents of art students, regardless of society's framework. response:	I don't mean to say that the problem children of Sakura Hall...
context: What did you say?\You still don't understand?\Everyone in here is on our side.\Why don't you accept it already?\Tatebayashi...\I heard Sakura Hall was originally created to nurture...\the talents of art students, regardless of society's framework.\I don't mean to say that the problem children of Sakura Hall... response:	who cannot follow the rules are necessarily right.
context: You still don't understand?\Everyone in here is on our side.\Why don't you accept it already?\Tatebayashi...\I heard Sakura Hall was originally created to nurture...\the talents of art students, regardless of society's framework.\I don't mean to say that the problem children of Sakura Hall...\who cannot follow the rules are necessarily right. response:	But the way they are true to themselves and see their own potential,
context: Everyone in here is on our side.\Why don't you accept it already?\Tatebayashi...\I heard Sakura Hall was originally created to nurture...\the talents of art students, regardless of society's framework.\I don't mean to say that the problem children of Sakura Hall...\who cannot follow the rules are necessarily right.\But the way they are true to themselves and see their own potential, response:	and the strong bond they share...
context: Why don't you accept it already?\Tatebayashi...\I heard Sakura Hall was originally created to nurture...\the talents of art students, regardless of society's framework.\I don't mean to say that the problem children of Sakura Hall...\who cannot follow the rules are necessarily right.\But the way they are true to themselves and see their own potential,\and the strong bond they share... response:	has made me feel jealous of Sakura Hall.
context: Tatebayashi...\I heard Sakura Hall was originally created to nurture...\the talents of art students, regardless of society's framework.\I don't mean to say that the problem children of Sakura Hall...\who cannot follow the rules are necessarily right.\But the way they are true to themselves and see their own potential,\and the strong bond they share...\has made me feel jealous of Sakura Hall. response:	I'm sure I'm not the only one who has felt this way.
context: I heard Sakura Hall was originally created to nurture...\the talents of art students, regardless of society's framework.\I don't mean to say that the problem children of Sakura Hall...\who cannot follow the rules are necessarily right.\But the way they are true to themselves and see their own potential,\and the strong bond they share...\has made me feel jealous of Sakura Hall.\I'm sure I'm not the only one who has felt this way. response:	Principal.
context: the talents of art students, regardless of society's framework.\I don't mean to say that the problem children of Sakura Hall...\who cannot follow the rules are necessarily right.\But the way they are true to themselves and see their own potential,\and the strong bond they share...\has made me feel jealous of Sakura Hall.\I'm sure I'm not the only one who has felt this way.\Principal. response:	Why don't you make your decision here?
context: I don't mean to say that the problem children of Sakura Hall...\who cannot follow the rules are necessarily right.\But the way they are true to themselves and see their own potential,\and the strong bond they share...\has made me feel jealous of Sakura Hall.\I'm sure I'm not the only one who has felt this way.\Principal.\Why don't you make your decision here? response:	What do you mean?
context: who cannot follow the rules are necessarily right.\But the way they are true to themselves and see their own potential,\and the strong bond they share...\has made me feel jealous of Sakura Hall.\I'm sure I'm not the only one who has felt this way.\Principal.\Why don't you make your decision here?\What do you mean? response:	As luck would have it,
context: But the way they are true to themselves and see their own potential,\and the strong bond they share...\has made me feel jealous of Sakura Hall.\I'm sure I'm not the only one who has felt this way.\Principal.\Why don't you make your decision here?\What do you mean?\As luck would have it, response:	the entire student body is in attendance.
context: and the strong bond they share...\has made me feel jealous of Sakura Hall.\I'm sure I'm not the only one who has felt this way.\Principal.\Why don't you make your decision here?\What do you mean?\As luck would have it,\the entire student body is in attendance. response:	Do you support or oppose repealing the decision to tear down Sakura Hall?
context: has made me feel jealous of Sakura Hall.\I'm sure I'm not the only one who has felt this way.\Principal.\Why don't you make your decision here?\What do you mean?\As luck would have it,\the entire student body is in attendance.\Do you support or oppose repealing the decision to tear down Sakura Hall? response:	P-P-Principal!
context: I'm sure I'm not the only one who has felt this way.\Principal.\Why don't you make your decision here?\What do you mean?\As luck would have it,\the entire student body is in attendance.\Do you support or oppose repealing the decision to tear down Sakura Hall?\P-P-Principal! response:	I'll leave the rest to you.
context: Principal.\Why don't you make your decision here?\What do you mean?\As luck would have it,\the entire student body is in attendance.\Do you support or oppose repealing the decision to tear down Sakura Hall?\P-P-Principal!\I'll leave the rest to you. response:	Why me?
context: Why don't you make your decision here?\What do you mean?\As luck would have it,\the entire student body is in attendance.\Do you support or oppose repealing the decision to tear down Sakura Hall?\P-P-Principal!\I'll leave the rest to you.\Why me? response:	Kanda-kun!
context: What do you mean?\As luck would have it,\the entire student body is in attendance.\Do you support or oppose repealing the decision to tear down Sakura Hall?\P-P-Principal!\I'll leave the rest to you.\Why me?\Kanda-kun! response:	Aoyama.
context: As luck would have it,\the entire student body is in attendance.\Do you support or oppose repealing the decision to tear down Sakura Hall?\P-P-Principal!\I'll leave the rest to you.\Why me?\Kanda-kun!\Aoyama. response:	Go, Ryunosuke.
context: the entire student body is in attendance.\Do you support or oppose repealing the decision to tear down Sakura Hall?\P-P-Principal!\I'll leave the rest to you.\Why me?\Kanda-kun!\Aoyama.\Go, Ryunosuke. response:	Very well.
context: Do you support or oppose repealing the decision to tear down Sakura Hall?\P-P-Principal!\I'll leave the rest to you.\Why me?\Kanda-kun!\Aoyama.\Go, Ryunosuke.\Very well. response:	Applaud if you support repealing the decision to tear down...
context: P-P-Principal!\I'll leave the rest to you.\Why me?\Kanda-kun!\Aoyama.\Go, Ryunosuke.\Very well.\Applaud if you support repealing the decision to tear down... response:	That's no fun.
context: I'll leave the rest to you.\Why me?\Kanda-kun!\Aoyama.\Go, Ryunosuke.\Very well.\Applaud if you support repealing the decision to tear down...\That's no fun. response:	What are you doing?
context: Why me?\Kanda-kun!\Aoyama.\Go, Ryunosuke.\Very well.\Applaud if you support repealing the decision to tear down...\That's no fun.\What are you doing? response:	Those who support repealing the decision to tear down Sakura Hall...
context: Kanda-kun!\Aoyama.\Go, Ryunosuke.\Very well.\Applaud if you support repealing the decision to tear down...\That's no fun.\What are you doing?\Those who support repealing the decision to tear down Sakura Hall... response:	throw your cherry blossoms in the air!
context: Aoyama.\Go, Ryunosuke.\Very well.\Applaud if you support repealing the decision to tear down...\That's no fun.\What are you doing?\Those who support repealing the decision to tear down Sakura Hall...\throw your cherry blossoms in the air! response:	The sky is blue.
context: Go, Ryunosuke.\Very well.\Applaud if you support repealing the decision to tear down...\That's no fun.\What are you doing?\Those who support repealing the decision to tear down Sakura Hall...\throw your cherry blossoms in the air!\The sky is blue. response:	It sure is.
context: Very well.\Applaud if you support repealing the decision to tear down...\That's no fun.\What are you doing?\Those who support repealing the decision to tear down Sakura Hall...\throw your cherry blossoms in the air!\The sky is blue.\It sure is. response:	Why do you look so unhappy, kouhai-kun?
context: Applaud if you support repealing the decision to tear down...\That's no fun.\What are you doing?\Those who support repealing the decision to tear down Sakura Hall...\throw your cherry blossoms in the air!\The sky is blue.\It sure is.\Why do you look so unhappy, kouhai-kun? response:	Of course I'm unhappy!
context: That's no fun.\What are you doing?\Those who support repealing the decision to tear down Sakura Hall...\throw your cherry blossoms in the air!\The sky is blue.\It sure is.\Why do you look so unhappy, kouhai-kun?\Of course I'm unhappy! response:	Why are we standing out here during the graduation ceremony?
context: What are you doing?\Those who support repealing the decision to tear down Sakura Hall...\throw your cherry blossoms in the air!\The sky is blue.\It sure is.\Why do you look so unhappy, kouhai-kun?\Of course I'm unhappy!\Why are we standing out here during the graduation ceremony? response:	Tell me about it.
context: Those who support repealing the decision to tear down Sakura Hall...\throw your cherry blossoms in the air!\The sky is blue.\It sure is.\Why do you look so unhappy, kouhai-kun?\Of course I'm unhappy!\Why are we standing out here during the graduation ceremony?\Tell me about it. response:	I won't be satisfied unless I bully Kanda-kun later.
context: throw your cherry blossoms in the air!\The sky is blue.\It sure is.\Why do you look so unhappy, kouhai-kun?\Of course I'm unhappy!\Why are we standing out here during the graduation ceremony?\Tell me about it.\I won't be satisfied unless I bully Kanda-kun later. response:	It's only natural for you to be standing out here!
context: The sky is blue.\It sure is.\Why do you look so unhappy, kouhai-kun?\Of course I'm unhappy!\Why are we standing out here during the graduation ceremony?\Tell me about it.\I won't be satisfied unless I bully Kanda-kun later.\It's only natural for you to be standing out here! response:	When did you prepare that speech?
context: It sure is.\Why do you look so unhappy, kouhai-kun?\Of course I'm unhappy!\Why are we standing out here during the graduation ceremony?\Tell me about it.\I won't be satisfied unless I bully Kanda-kun later.\It's only natural for you to be standing out here!\When did you prepare that speech? response:	You should have told us.
context: Why do you look so unhappy, kouhai-kun?\Of course I'm unhappy!\Why are we standing out here during the graduation ceremony?\Tell me about it.\I won't be satisfied unless I bully Kanda-kun later.\It's only natural for you to be standing out here!\When did you prepare that speech?\You should have told us. response:	Don't you think Aoyama-san would have opposed it?
context: Of course I'm unhappy!\Why are we standing out here during the graduation ceremony?\Tell me about it.\I won't be satisfied unless I bully Kanda-kun later.\It's only natural for you to be standing out here!\When did you prepare that speech?\You should have told us.\Don't you think Aoyama-san would have opposed it? response:	Of course I would have!
context: Why are we standing out here during the graduation ceremony?\Tell me about it.\I won't be satisfied unless I bully Kanda-kun later.\It's only natural for you to be standing out here!\When did you prepare that speech?\You should have told us.\Don't you think Aoyama-san would have opposed it?\Of course I would have! response:	But even if I had, I think you would have done it anyway.
context: Tell me about it.\I won't be satisfied unless I bully Kanda-kun later.\It's only natural for you to be standing out here!\When did you prepare that speech?\You should have told us.\Don't you think Aoyama-san would have opposed it?\Of course I would have!\But even if I had, I think you would have done it anyway. response:	Good point.
context: I won't be satisfied unless I bully Kanda-kun later.\It's only natural for you to be standing out here!\When did you prepare that speech?\You should have told us.\Don't you think Aoyama-san would have opposed it?\Of course I would have!\But even if I had, I think you would have done it anyway.\Good point. response:	It was an impressive plan.
context: It's only natural for you to be standing out here!\When did you prepare that speech?\You should have told us.\Don't you think Aoyama-san would have opposed it?\Of course I would have!\But even if I had, I think you would have done it anyway.\Good point.\It was an impressive plan. response:	Influencing people with a speech,
context: When did you prepare that speech?\You should have told us.\Don't you think Aoyama-san would have opposed it?\Of course I would have!\But even if I had, I think you would have done it anyway.\Good point.\It was an impressive plan.\Influencing people with a speech, response:	showing them the incompetence of the teachers,
context: You should have told us.\Don't you think Aoyama-san would have opposed it?\Of course I would have!\But even if I had, I think you would have done it anyway.\Good point.\It was an impressive plan.\Influencing people with a speech,\showing them the incompetence of the teachers, response:	and conducting a vote in which everyone felt compelled...
context: Don't you think Aoyama-san would have opposed it?\Of course I would have!\But even if I had, I think you would have done it anyway.\Good point.\It was an impressive plan.\Influencing people with a speech,\showing them the incompetence of the teachers,\and conducting a vote in which everyone felt compelled... response:	to oppose the demolition of Sakura Hall.
context: Of course I would have!\But even if I had, I think you would have done it anyway.\Good point.\It was an impressive plan.\Influencing people with a speech,\showing them the incompetence of the teachers,\and conducting a vote in which everyone felt compelled...\to oppose the demolition of Sakura Hall. response:	Under those conditions, even students...
context: But even if I had, I think you would have done it anyway.\Good point.\It was an impressive plan.\Influencing people with a speech,\showing them the incompetence of the teachers,\and conducting a vote in which everyone felt compelled...\to oppose the demolition of Sakura Hall.\Under those conditions, even students... response:	who hadn't signed our petition would throw their flowers in the air.
context: Good point.\It was an impressive plan.\Influencing people with a speech,\showing them the incompetence of the teachers,\and conducting a vote in which everyone felt compelled...\to oppose the demolition of Sakura Hall.\Under those conditions, even students...\who hadn't signed our petition would throw their flowers in the air. response:	You make it sound like some kind of awful scam.
context: It was an impressive plan.\Influencing people with a speech,\showing them the incompetence of the teachers,\and conducting a vote in which everyone felt compelled...\to oppose the demolition of Sakura Hall.\Under those conditions, even students...\who hadn't signed our petition would throw their flowers in the air.\You make it sound like some kind of awful scam. response:	It doesn't just sound like one...
context: Influencing people with a speech,\showing them the incompetence of the teachers,\and conducting a vote in which everyone felt compelled...\to oppose the demolition of Sakura Hall.\Under those conditions, even students...\who hadn't signed our petition would throw their flowers in the air.\You make it sound like some kind of awful scam.\It doesn't just sound like one... response:	Well, it all worked out, Nanamin!
context: showing them the incompetence of the teachers,\and conducting a vote in which everyone felt compelled...\to oppose the demolition of Sakura Hall.\Under those conditions, even students...\who hadn't signed our petition would throw their flowers in the air.\You make it sound like some kind of awful scam.\It doesn't just sound like one...\Well, it all worked out, Nanamin! response:	Sakura Hall will never be destroyed!
context: and conducting a vote in which everyone felt compelled...\to oppose the demolition of Sakura Hall.\Under those conditions, even students...\who hadn't signed our petition would throw their flowers in the air.\You make it sound like some kind of awful scam.\It doesn't just sound like one...\Well, it all worked out, Nanamin!\Sakura Hall will never be destroyed! response:	Yeah! Sakura Hall is indestructible!
context: to oppose the demolition of Sakura Hall.\Under those conditions, even students...\who hadn't signed our petition would throw their flowers in the air.\You make it sound like some kind of awful scam.\It doesn't just sound like one...\Well, it all worked out, Nanamin!\Sakura Hall will never be destroyed!\Yeah! Sakura Hall is indestructible! response:	Just stand there in silence!
context: Under those conditions, even students...\who hadn't signed our petition would throw their flowers in the air.\You make it sound like some kind of awful scam.\It doesn't just sound like one...\Well, it all worked out, Nanamin!\Sakura Hall will never be destroyed!\Yeah! Sakura Hall is indestructible!\Just stand there in silence! response:	It's Sorata's fault we got in trouble.
context: who hadn't signed our petition would throw their flowers in the air.\You make it sound like some kind of awful scam.\It doesn't just sound like one...\Well, it all worked out, Nanamin!\Sakura Hall will never be destroyed!\Yeah! Sakura Hall is indestructible!\Just stand there in silence!\It's Sorata's fault we got in trouble. response:	Kanda, keep your mouth shut.
