context: Today, I overslept and didn't have time, so it's omelet rice again. response:	You know, I don't need lunches anymore.
context: That guy has no sense at all...\I'm surprised.\So she can't call the spirit forth on her own will, and Misa actually controls it all.\You got a problem with that?\Another ability that is somehow imperfect!\That means, she has an unparalleled ability to be possessed.\And Misa, who possesses Yusa, has the pyrokinetic ability.\Yeah. response:	What is your relationship with these two?
context: I'm surprised.\So she can't call the spirit forth on her own will, and Misa actually controls it all.\You got a problem with that?\Another ability that is somehow imperfect!\That means, she has an unparalleled ability to be possessed.\And Misa, who possesses Yusa, has the pyrokinetic ability.\Yeah.\What is your relationship with these two? response:	They're my buddies from back when I was alive and mischievous.
context: So she can't call the spirit forth on her own will, and Misa actually controls it all.\You got a problem with that?\Another ability that is somehow imperfect!\That means, she has an unparalleled ability to be possessed.\And Misa, who possesses Yusa, has the pyrokinetic ability.\Yeah.\What is your relationship with these two?\They're my buddies from back when I was alive and mischievous. response:	Do you know the reason why your little sister is being chased?
context: You got a problem with that?\Another ability that is somehow imperfect!\That means, she has an unparalleled ability to be possessed.\And Misa, who possesses Yusa, has the pyrokinetic ability.\Yeah.\What is your relationship with these two?\They're my buddies from back when I was alive and mischievous.\Do you know the reason why your little sister is being chased? response:	It's this.
context: Another ability that is somehow imperfect!\That means, she has an unparalleled ability to be possessed.\And Misa, who possesses Yusa, has the pyrokinetic ability.\Yeah.\What is your relationship with these two?\They're my buddies from back when I was alive and mischievous.\Do you know the reason why your little sister is being chased?\It's this. response:	Yusa accidentally brought this home on accident from some shoot.
context: That means, she has an unparalleled ability to be possessed.\And Misa, who possesses Yusa, has the pyrokinetic ability.\Yeah.\What is your relationship with these two?\They're my buddies from back when I was alive and mischievous.\Do you know the reason why your little sister is being chased?\It's this.\Yusa accidentally brought this home on accident from some shoot. response:	It belongs to one of the bigger-named producers at the TV station.
context: And Misa, who possesses Yusa, has the pyrokinetic ability.\Yeah.\What is your relationship with these two?\They're my buddies from back when I was alive and mischievous.\Do you know the reason why your little sister is being chased?\It's this.\Yusa accidentally brought this home on accident from some shoot.\It belongs to one of the bigger-named producers at the TV station. response:	Yusa accidentally read a text that was sent to this.
context: Yeah.\What is your relationship with these two?\They're my buddies from back when I was alive and mischievous.\Do you know the reason why your little sister is being chased?\It's this.\Yusa accidentally brought this home on accident from some shoot.\It belongs to one of the bigger-named producers at the TV station.\Yusa accidentally read a text that was sent to this. response:	Using up company money, connections to a dangerous crowd -
context: What is your relationship with these two?\They're my buddies from back when I was alive and mischievous.\Do you know the reason why your little sister is being chased?\It's this.\Yusa accidentally brought this home on accident from some shoot.\It belongs to one of the bigger-named producers at the TV station.\Yusa accidentally read a text that was sent to this.\Using up company money, connections to a dangerous crowd - response:	stuff that will get the guy under arrest if this was taken to the cops.
context: They're my buddies from back when I was alive and mischievous.\Do you know the reason why your little sister is being chased?\It's this.\Yusa accidentally brought this home on accident from some shoot.\It belongs to one of the bigger-named producers at the TV station.\Yusa accidentally read a text that was sent to this.\Using up company money, connections to a dangerous crowd -\stuff that will get the guy under arrest if this was taken to the cops. response:	Did you turn the power off?
context: Do you know the reason why your little sister is being chased?\It's this.\Yusa accidentally brought this home on accident from some shoot.\It belongs to one of the bigger-named producers at the TV station.\Yusa accidentally read a text that was sent to this.\Using up company money, connections to a dangerous crowd -\stuff that will get the guy under arrest if this was taken to the cops.\Did you turn the power off? response:	Yeah. But it wasn't turned off until yesterday.
context: It's this.\Yusa accidentally brought this home on accident from some shoot.\It belongs to one of the bigger-named producers at the TV station.\Yusa accidentally read a text that was sent to this.\Using up company money, connections to a dangerous crowd -\stuff that will get the guy under arrest if this was taken to the cops.\Did you turn the power off?\Yeah. But it wasn't turned off until yesterday. response:	Then they probably know already that you're
context: Yusa accidentally brought this home on accident from some shoot.\It belongs to one of the bigger-named producers at the TV station.\Yusa accidentally read a text that was sent to this.\Using up company money, connections to a dangerous crowd -\stuff that will get the guy under arrest if this was taken to the cops.\Did you turn the power off?\Yeah. But it wasn't turned off until yesterday.\Then they probably know already that you're response:	hiding somewhere in this area from the GPS.
context: It belongs to one of the bigger-named producers at the TV station.\Yusa accidentally read a text that was sent to this.\Using up company money, connections to a dangerous crowd -\stuff that will get the guy under arrest if this was taken to the cops.\Did you turn the power off?\Yeah. But it wasn't turned off until yesterday.\Then they probably know already that you're\hiding somewhere in this area from the GPS. response:	Even if you returned the smartphone now, you won't stay safe.
context: Yusa accidentally read a text that was sent to this.\Using up company money, connections to a dangerous crowd -\stuff that will get the guy under arrest if this was taken to the cops.\Did you turn the power off?\Yeah. But it wasn't turned off until yesterday.\Then they probably know already that you're\hiding somewhere in this area from the GPS.\Even if you returned the smartphone now, you won't stay safe. response:	And even if you handed it to the police,
context: Using up company money, connections to a dangerous crowd -\stuff that will get the guy under arrest if this was taken to the cops.\Did you turn the power off?\Yeah. But it wasn't turned off until yesterday.\Then they probably know already that you're\hiding somewhere in this area from the GPS.\Even if you returned the smartphone now, you won't stay safe.\And even if you handed it to the police, response:	that would mean Kurobane sold off that producer off...
context: stuff that will get the guy under arrest if this was taken to the cops.\Did you turn the power off?\Yeah. But it wasn't turned off until yesterday.\Then they probably know already that you're\hiding somewhere in this area from the GPS.\Even if you returned the smartphone now, you won't stay safe.\And even if you handed it to the police,\that would mean Kurobane sold off that producer off... response:	Then, I'll burn it all down, TV station and all.
context: Did you turn the power off?\Yeah. But it wasn't turned off until yesterday.\Then they probably know already that you're\hiding somewhere in this area from the GPS.\Even if you returned the smartphone now, you won't stay safe.\And even if you handed it to the police,\that would mean Kurobane sold off that producer off...\Then, I'll burn it all down, TV station and all. response:	Are you stupid? You do that, and your little sister will be arrested.
context: Yeah. But it wasn't turned off until yesterday.\Then they probably know already that you're\hiding somewhere in this area from the GPS.\Even if you returned the smartphone now, you won't stay safe.\And even if you handed it to the police,\that would mean Kurobane sold off that producer off...\Then, I'll burn it all down, TV station and all.\Are you stupid? You do that, and your little sister will be arrested. response:	Who the hell do you think you are, huh?
context: Then they probably know already that you're\hiding somewhere in this area from the GPS.\Even if you returned the smartphone now, you won't stay safe.\And even if you handed it to the police,\that would mean Kurobane sold off that producer off...\Then, I'll burn it all down, TV station and all.\Are you stupid? You do that, and your little sister will be arrested.\Who the hell do you think you are, huh? response:	And you really want to send your little sister off to juvenile hall or something?
context: hiding somewhere in this area from the GPS.\Even if you returned the smartphone now, you won't stay safe.\And even if you handed it to the police,\that would mean Kurobane sold off that producer off...\Then, I'll burn it all down, TV station and all.\Are you stupid? You do that, and your little sister will be arrested.\Who the hell do you think you are, huh?\And you really want to send your little sister off to juvenile hall or something? response:	That would be in bad sense...
context: Even if you returned the smartphone now, you won't stay safe.\And even if you handed it to the police,\that would mean Kurobane sold off that producer off...\Then, I'll burn it all down, TV station and all.\Are you stupid? You do that, and your little sister will be arrested.\Who the hell do you think you are, huh?\And you really want to send your little sister off to juvenile hall or something?\That would be in bad sense... response:	Please calm down. You want to save your little sister, right?
context: And even if you handed it to the police,\that would mean Kurobane sold off that producer off...\Then, I'll burn it all down, TV station and all.\Are you stupid? You do that, and your little sister will be arrested.\Who the hell do you think you are, huh?\And you really want to send your little sister off to juvenile hall or something?\That would be in bad sense...\Please calm down. You want to save your little sister, right? response:	Of course...
context: that would mean Kurobane sold off that producer off...\Then, I'll burn it all down, TV station and all.\Are you stupid? You do that, and your little sister will be arrested.\Who the hell do you think you are, huh?\And you really want to send your little sister off to juvenile hall or something?\That would be in bad sense...\Please calm down. You want to save your little sister, right?\Of course... response:	Then, we should help each other, and instead threaten this guy instead.
context: Then, I'll burn it all down, TV station and all.\Are you stupid? You do that, and your little sister will be arrested.\Who the hell do you think you are, huh?\And you really want to send your little sister off to juvenile hall or something?\That would be in bad sense...\Please calm down. You want to save your little sister, right?\Of course...\Then, we should help each other, and instead threaten this guy instead. response:	What's the chances of winning?
context: Are you stupid? You do that, and your little sister will be arrested.\Who the hell do you think you are, huh?\And you really want to send your little sister off to juvenile hall or something?\That would be in bad sense...\Please calm down. You want to save your little sister, right?\Of course...\Then, we should help each other, and instead threaten this guy instead.\What's the chances of winning? response:	I'm really good at creating plans for threatening others! Please trust me!
context: Who the hell do you think you are, huh?\And you really want to send your little sister off to juvenile hall or something?\That would be in bad sense...\Please calm down. You want to save your little sister, right?\Of course...\Then, we should help each other, and instead threaten this guy instead.\What's the chances of winning?\I'm really good at creating plans for threatening others! Please trust me! response:	You've got good character. All right, I'll do as you say.
context: And you really want to send your little sister off to juvenile hall or something?\That would be in bad sense...\Please calm down. You want to save your little sister, right?\Of course...\Then, we should help each other, and instead threaten this guy instead.\What's the chances of winning?\I'm really good at creating plans for threatening others! Please trust me!\You've got good character. All right, I'll do as you say. response:	I'd like both of you to help as well.
context: That would be in bad sense...\Please calm down. You want to save your little sister, right?\Of course...\Then, we should help each other, and instead threaten this guy instead.\What's the chances of winning?\I'm really good at creating plans for threatening others! Please trust me!\You've got good character. All right, I'll do as you say.\I'd like both of you to help as well. response:	Of course.
context: Please calm down. You want to save your little sister, right?\Of course...\Then, we should help each other, and instead threaten this guy instead.\What's the chances of winning?\I'm really good at creating plans for threatening others! Please trust me!\You've got good character. All right, I'll do as you say.\I'd like both of you to help as well.\Of course. response:	If Misa says so.
context: Of course...\Then, we should help each other, and instead threaten this guy instead.\What's the chances of winning?\I'm really good at creating plans for threatening others! Please trust me!\You've got good character. All right, I'll do as you say.\I'd like both of you to help as well.\Of course.\If Misa says so. response:	Huh? Right now... was I asleep again?
context: Then, we should help each other, and instead threaten this guy instead.\What's the chances of winning?\I'm really good at creating plans for threatening others! Please trust me!\You've got good character. All right, I'll do as you say.\I'd like both of you to help as well.\Of course.\If Misa says so.\Huh? Right now... was I asleep again? response:	You must be tired. It's all right. Have some roasted marshmallows and calm down.
context: What's the chances of winning?\I'm really good at creating plans for threatening others! Please trust me!\You've got good character. All right, I'll do as you say.\I'd like both of you to help as well.\Of course.\If Misa says so.\Huh? Right now... was I asleep again?\You must be tired. It's all right. Have some roasted marshmallows and calm down. response:	Oh, the marshmallows turned into freshly-roasted marshmallows!
context: I'm really good at creating plans for threatening others! Please trust me!\You've got good character. All right, I'll do as you say.\I'd like both of you to help as well.\Of course.\If Misa says so.\Huh? Right now... was I asleep again?\You must be tired. It's all right. Have some roasted marshmallows and calm down.\Oh, the marshmallows turned into freshly-roasted marshmallows! response:	I have absolutely no clue how I should approach Yusarin from now on...
context: You've got good character. All right, I'll do as you say.\I'd like both of you to help as well.\Of course.\If Misa says so.\Huh? Right now... was I asleep again?\You must be tired. It's all right. Have some roasted marshmallows and calm down.\Oh, the marshmallows turned into freshly-roasted marshmallows!\I have absolutely no clue how I should approach Yusarin from now on... response:	You're a scary guy.
context: I'd like both of you to help as well.\Of course.\If Misa says so.\Huh? Right now... was I asleep again?\You must be tired. It's all right. Have some roasted marshmallows and calm down.\Oh, the marshmallows turned into freshly-roasted marshmallows!\I have absolutely no clue how I should approach Yusarin from now on...\You're a scary guy. response:	Then, we should first head to a shop that sells work clothes.
context: Of course.\If Misa says so.\Huh? Right now... was I asleep again?\You must be tired. It's all right. Have some roasted marshmallows and calm down.\Oh, the marshmallows turned into freshly-roasted marshmallows!\I have absolutely no clue how I should approach Yusarin from now on...\You're a scary guy.\Then, we should first head to a shop that sells work clothes. response:	Why?
context: If Misa says so.\Huh? Right now... was I asleep again?\You must be tired. It's all right. Have some roasted marshmallows and calm down.\Oh, the marshmallows turned into freshly-roasted marshmallows!\I have absolutely no clue how I should approach Yusarin from now on...\You're a scary guy.\Then, we should first head to a shop that sells work clothes.\Why? response:	The two of you will need fireproof clothing.
context: Huh? Right now... was I asleep again?\You must be tired. It's all right. Have some roasted marshmallows and calm down.\Oh, the marshmallows turned into freshly-roasted marshmallows!\I have absolutely no clue how I should approach Yusarin from now on...\You're a scary guy.\Then, we should first head to a shop that sells work clothes.\Why?\The two of you will need fireproof clothing. response:	It's me...
context: You must be tired. It's all right. Have some roasted marshmallows and calm down.\Oh, the marshmallows turned into freshly-roasted marshmallows!\I have absolutely no clue how I should approach Yusarin from now on...\You're a scary guy.\Then, we should first head to a shop that sells work clothes.\Why?\The two of you will need fireproof clothing.\It's me... response:	So you finally show up.
context: Oh, the marshmallows turned into freshly-roasted marshmallows!\I have absolutely no clue how I should approach Yusarin from now on...\You're a scary guy.\Then, we should first head to a shop that sells work clothes.\Why?\The two of you will need fireproof clothing.\It's me...\So you finally show up. response:	You realized that you can't escape?
context: I have absolutely no clue how I should approach Yusarin from now on...\You're a scary guy.\Then, we should first head to a shop that sells work clothes.\Why?\The two of you will need fireproof clothing.\It's me...\So you finally show up.\You realized that you can't escape? response:	Um, I really don't know the reason why I'm being chased so much.
context: You're a scary guy.\Then, we should first head to a shop that sells work clothes.\Why?\The two of you will need fireproof clothing.\It's me...\So you finally show up.\You realized that you can't escape?\Um, I really don't know the reason why I'm being chased so much. response:	Did Yusarin do something wrong?
context: Then, we should first head to a shop that sells work clothes.\Why?\The two of you will need fireproof clothing.\It's me...\So you finally show up.\You realized that you can't escape?\Um, I really don't know the reason why I'm being chased so much.\Did Yusarin do something wrong? response:	Give me back my smartphone!
context: Why?\The two of you will need fireproof clothing.\It's me...\So you finally show up.\You realized that you can't escape?\Um, I really don't know the reason why I'm being chased so much.\Did Yusarin do something wrong?\Give me back my smartphone! response:	Is this it?
context: The two of you will need fireproof clothing.\It's me...\So you finally show up.\You realized that you can't escape?\Um, I really don't know the reason why I'm being chased so much.\Did Yusarin do something wrong?\Give me back my smartphone!\Is this it? response:	That's it!
context: It's me...\So you finally show up.\You realized that you can't escape?\Um, I really don't know the reason why I'm being chased so much.\Did Yusarin do something wrong?\Give me back my smartphone!\Is this it?\That's it! response:	Even if I return it, like, is Yusarin still in a crisis?
context: So you finally show up.\You realized that you can't escape?\Um, I really don't know the reason why I'm being chased so much.\Did Yusarin do something wrong?\Give me back my smartphone!\Is this it?\That's it!\Even if I return it, like, is Yusarin still in a crisis? response:	Whatever happens, there is no future for you in this industry.
context: You realized that you can't escape?\Um, I really don't know the reason why I'm being chased so much.\Did Yusarin do something wrong?\Give me back my smartphone!\Is this it?\That's it!\Even if I return it, like, is Yusarin still in a crisis?\Whatever happens, there is no future for you in this industry. response:	I don't have a future?
context: Um, I really don't know the reason why I'm being chased so much.\Did Yusarin do something wrong?\Give me back my smartphone!\Is this it?\That's it!\Even if I return it, like, is Yusarin still in a crisis?\Whatever happens, there is no future for you in this industry.\I don't have a future? response:	You bastard! Such a person is more like you!
context: Did Yusarin do something wrong?\Give me back my smartphone!\Is this it?\That's it!\Even if I return it, like, is Yusarin still in a crisis?\Whatever happens, there is no future for you in this industry.\I don't have a future?\You bastard! Such a person is more like you! response:	I guess I'll take out one more of them...
context: Give me back my smartphone!\Is this it?\That's it!\Even if I return it, like, is Yusarin still in a crisis?\Whatever happens, there is no future for you in this industry.\I don't have a future?\You bastard! Such a person is more like you!\I guess I'll take out one more of them... response:	What... what the hell is going on?
context: Is this it?\That's it!\Even if I return it, like, is Yusarin still in a crisis?\Whatever happens, there is no future for you in this industry.\I don't have a future?\You bastard! Such a person is more like you!\I guess I'll take out one more of them...\What... what the hell is going on? response:	You probably thought that you cornered me,
context: That's it!\Even if I return it, like, is Yusarin still in a crisis?\Whatever happens, there is no future for you in this industry.\I don't have a future?\You bastard! Such a person is more like you!\I guess I'll take out one more of them...\What... what the hell is going on?\You probably thought that you cornered me, response:	but you really didn't realize that it was me cornering you. You really are senseless.
context: Even if I return it, like, is Yusarin still in a crisis?\Whatever happens, there is no future for you in this industry.\I don't have a future?\You bastard! Such a person is more like you!\I guess I'll take out one more of them...\What... what the hell is going on?\You probably thought that you cornered me,\but you really didn't realize that it was me cornering you. You really are senseless. response:	What the hell are you... are you really Yusa Nishimori?
context: Whatever happens, there is no future for you in this industry.\I don't have a future?\You bastard! Such a person is more like you!\I guess I'll take out one more of them...\What... what the hell is going on?\You probably thought that you cornered me,\but you really didn't realize that it was me cornering you. You really are senseless.\What the hell are you... are you really Yusa Nishimori? response:	Of course, I'm Yusa Nishimori, the real Yusarin.
context: I don't have a future?\You bastard! Such a person is more like you!\I guess I'll take out one more of them...\What... what the hell is going on?\You probably thought that you cornered me,\but you really didn't realize that it was me cornering you. You really are senseless.\What the hell are you... are you really Yusa Nishimori?\Of course, I'm Yusa Nishimori, the real Yusarin. response:	In order for me to succeed, I can kill anyone, just like those guys!
context: You bastard! Such a person is more like you!\I guess I'll take out one more of them...\What... what the hell is going on?\You probably thought that you cornered me,\but you really didn't realize that it was me cornering you. You really are senseless.\What the hell are you... are you really Yusa Nishimori?\Of course, I'm Yusa Nishimori, the real Yusarin.\In order for me to succeed, I can kill anyone, just like those guys! response:	It does hurt after all!
context: I guess I'll take out one more of them...\What... what the hell is going on?\You probably thought that you cornered me,\but you really didn't realize that it was me cornering you. You really are senseless.\What the hell are you... are you really Yusa Nishimori?\Of course, I'm Yusa Nishimori, the real Yusarin.\In order for me to succeed, I can kill anyone, just like those guys!\It does hurt after all! response:	This is cumbersome. I'll get rid of them at once.
context: What... what the hell is going on?\You probably thought that you cornered me,\but you really didn't realize that it was me cornering you. You really are senseless.\What the hell are you... are you really Yusa Nishimori?\Of course, I'm Yusa Nishimori, the real Yusarin.\In order for me to succeed, I can kill anyone, just like those guys!\It does hurt after all!\This is cumbersome. I'll get rid of them at once. response:	W-W-Wait! Hold on!
context: You probably thought that you cornered me,\but you really didn't realize that it was me cornering you. You really are senseless.\What the hell are you... are you really Yusa Nishimori?\Of course, I'm Yusa Nishimori, the real Yusarin.\In order for me to succeed, I can kill anyone, just like those guys!\It does hurt after all!\This is cumbersome. I'll get rid of them at once.\W-W-Wait! Hold on! response:	Like I'm gonna wait!
context: but you really didn't realize that it was me cornering you. You really are senseless.\What the hell are you... are you really Yusa Nishimori?\Of course, I'm Yusa Nishimori, the real Yusarin.\In order for me to succeed, I can kill anyone, just like those guys!\It does hurt after all!\This is cumbersome. I'll get rid of them at once.\W-W-Wait! Hold on!\Like I'm gonna wait! response:	What the hell is going on?
context: What the hell are you... are you really Yusa Nishimori?\Of course, I'm Yusa Nishimori, the real Yusarin.\In order for me to succeed, I can kill anyone, just like those guys!\It does hurt after all!\This is cumbersome. I'll get rid of them at once.\W-W-Wait! Hold on!\Like I'm gonna wait!\What the hell is going on? response:	We can bury you into the shadows at any point we want.
context: Of course, I'm Yusa Nishimori, the real Yusarin.\In order for me to succeed, I can kill anyone, just like those guys!\It does hurt after all!\This is cumbersome. I'll get rid of them at once.\W-W-Wait! Hold on!\Like I'm gonna wait!\What the hell is going on?\We can bury you into the shadows at any point we want. response:	I get it! I give up! Help me!
context: In order for me to succeed, I can kill anyone, just like those guys!\It does hurt after all!\This is cumbersome. I'll get rid of them at once.\W-W-Wait! Hold on!\Like I'm gonna wait!\What the hell is going on?\We can bury you into the shadows at any point we want.\I get it! I give up! Help me! response:	I'll give this back to you.
context: It does hurt after all!\This is cumbersome. I'll get rid of them at once.\W-W-Wait! Hold on!\Like I'm gonna wait!\What the hell is going on?\We can bury you into the shadows at any point we want.\I get it! I give up! Help me!\I'll give this back to you. response:	But, there is no next time.
context: This is cumbersome. I'll get rid of them at once.\W-W-Wait! Hold on!\Like I'm gonna wait!\What the hell is going on?\We can bury you into the shadows at any point we want.\I get it! I give up! Help me!\I'll give this back to you.\But, there is no next time. response:	I'll eradicate you, no ifs, ands, or buts.
context: W-W-Wait! Hold on!\Like I'm gonna wait!\What the hell is going on?\We can bury you into the shadows at any point we want.\I get it! I give up! Help me!\I'll give this back to you.\But, there is no next time.\I'll eradicate you, no ifs, ands, or buts. response:	Thank you for your assistance.
context: Like I'm gonna wait!\What the hell is going on?\We can bury you into the shadows at any point we want.\I get it! I give up! Help me!\I'll give this back to you.\But, there is no next time.\I'll eradicate you, no ifs, ands, or buts.\Thank you for your assistance. response:	No, you helped us.
context: What the hell is going on?\We can bury you into the shadows at any point we want.\I get it! I give up! Help me!\I'll give this back to you.\But, there is no next time.\I'll eradicate you, no ifs, ands, or buts.\Thank you for your assistance.\No, you helped us. response:	He believed that everything that happened just now was done by Yusa alone.
context: We can bury you into the shadows at any point we want.\I get it! I give up! Help me!\I'll give this back to you.\But, there is no next time.\I'll eradicate you, no ifs, ands, or buts.\Thank you for your assistance.\No, you helped us.\He believed that everything that happened just now was done by Yusa alone. response:	That producer will no longer be able to go against Yusa.
context: I get it! I give up! Help me!\I'll give this back to you.\But, there is no next time.\I'll eradicate you, no ifs, ands, or buts.\Thank you for your assistance.\No, you helped us.\He believed that everything that happened just now was done by Yusa alone.\That producer will no longer be able to go against Yusa. response:	No.
context: I'll give this back to you.\But, there is no next time.\I'll eradicate you, no ifs, ands, or buts.\Thank you for your assistance.\No, you helped us.\He believed that everything that happened just now was done by Yusa alone.\That producer will no longer be able to go against Yusa.\No. response:	It's not settled in stone quite yet.
context: But, there is no next time.\I'll eradicate you, no ifs, ands, or buts.\Thank you for your assistance.\No, you helped us.\He believed that everything that happened just now was done by Yusa alone.\That producer will no longer be able to go against Yusa.\No.\It's not settled in stone quite yet. response:	And so, I'd like you to transfer into Hoshinoumi Academy,
context: I'll eradicate you, no ifs, ands, or buts.\Thank you for your assistance.\No, you helped us.\He believed that everything that happened just now was done by Yusa alone.\That producer will no longer be able to go against Yusa.\No.\It's not settled in stone quite yet.\And so, I'd like you to transfer into Hoshinoumi Academy, response:	and do everything alongside us.
context: Thank you for your assistance.\No, you helped us.\He believed that everything that happened just now was done by Yusa alone.\That producer will no longer be able to go against Yusa.\No.\It's not settled in stone quite yet.\And so, I'd like you to transfer into Hoshinoumi Academy,\and do everything alongside us. response:	Why's that?!
context: No, you helped us.\He believed that everything that happened just now was done by Yusa alone.\That producer will no longer be able to go against Yusa.\No.\It's not settled in stone quite yet.\And so, I'd like you to transfer into Hoshinoumi Academy,\and do everything alongside us.\Why's that?! response:	Just like how I explained earlier,
context: He believed that everything that happened just now was done by Yusa alone.\That producer will no longer be able to go against Yusa.\No.\It's not settled in stone quite yet.\And so, I'd like you to transfer into Hoshinoumi Academy,\and do everything alongside us.\Why's that?!\Just like how I explained earlier, response:	she'd get caught by the scientists and her days as a guinea pig will begin.
context: That producer will no longer be able to go against Yusa.\No.\It's not settled in stone quite yet.\And so, I'd like you to transfer into Hoshinoumi Academy,\and do everything alongside us.\Why's that?!\Just like how I explained earlier,\she'd get caught by the scientists and her days as a guinea pig will begin. response:	She will never be able to return to normal life ever again, you know?
context: No.\It's not settled in stone quite yet.\And so, I'd like you to transfer into Hoshinoumi Academy,\and do everything alongside us.\Why's that?!\Just like how I explained earlier,\she'd get caught by the scientists and her days as a guinea pig will begin.\She will never be able to return to normal life ever again, you know? response:	The condo next to our academy will be the
context: It's not settled in stone quite yet.\And so, I'd like you to transfer into Hoshinoumi Academy,\and do everything alongside us.\Why's that?!\Just like how I explained earlier,\she'd get caught by the scientists and her days as a guinea pig will begin.\She will never be able to return to normal life ever again, you know?\The condo next to our academy will be the response:	safest place in all of Japan for Kurobane.
context: And so, I'd like you to transfer into Hoshinoumi Academy,\and do everything alongside us.\Why's that?!\Just like how I explained earlier,\she'd get caught by the scientists and her days as a guinea pig will begin.\She will never be able to return to normal life ever again, you know?\The condo next to our academy will be the\safest place in all of Japan for Kurobane. response:	That's a life-saving story for Yusa.
context: and do everything alongside us.\Why's that?!\Just like how I explained earlier,\she'd get caught by the scientists and her days as a guinea pig will begin.\She will never be able to return to normal life ever again, you know?\The condo next to our academy will be the\safest place in all of Japan for Kurobane.\That's a life-saving story for Yusa. response:	Please go ahead and do that.
context: Why's that?!\Just like how I explained earlier,\she'd get caught by the scientists and her days as a guinea pig will begin.\She will never be able to return to normal life ever again, you know?\The condo next to our academy will be the\safest place in all of Japan for Kurobane.\That's a life-saving story for Yusa.\Please go ahead and do that. response:	Hold on... then, well...
context: Just like how I explained earlier,\she'd get caught by the scientists and her days as a guinea pig will begin.\She will never be able to return to normal life ever again, you know?\The condo next to our academy will be the\safest place in all of Japan for Kurobane.\That's a life-saving story for Yusa.\Please go ahead and do that.\Hold on... then, well... response:	If Yusa's powers disappear... we can never meet Misa again?
context: she'd get caught by the scientists and her days as a guinea pig will begin.\She will never be able to return to normal life ever again, you know?\The condo next to our academy will be the\safest place in all of Japan for Kurobane.\That's a life-saving story for Yusa.\Please go ahead and do that.\Hold on... then, well...\If Yusa's powers disappear... we can never meet Misa again? response:	That's what I wanted to ask.
context: She will never be able to return to normal life ever again, you know?\The condo next to our academy will be the\safest place in all of Japan for Kurobane.\That's a life-saving story for Yusa.\Please go ahead and do that.\Hold on... then, well...\If Yusa's powers disappear... we can never meet Misa again?\That's what I wanted to ask. response:	Well, I guess that will happen.
context: The condo next to our academy will be the\safest place in all of Japan for Kurobane.\That's a life-saving story for Yusa.\Please go ahead and do that.\Hold on... then, well...\If Yusa's powers disappear... we can never meet Misa again?\That's what I wanted to ask.\Well, I guess that will happen. response:	But she's already dead first and foremost, isn't she?
context: safest place in all of Japan for Kurobane.\That's a life-saving story for Yusa.\Please go ahead and do that.\Hold on... then, well...\If Yusa's powers disappear... we can never meet Misa again?\That's what I wanted to ask.\Well, I guess that will happen.\But she's already dead first and foremost, isn't she? response:	Isn't it more abnormal that you were able to see her for all this time?
context: That's a life-saving story for Yusa.\Please go ahead and do that.\Hold on... then, well...\If Yusa's powers disappear... we can never meet Misa again?\That's what I wanted to ask.\Well, I guess that will happen.\But she's already dead first and foremost, isn't she?\Isn't it more abnormal that you were able to see her for all this time? response:	But!
context: Please go ahead and do that.\Hold on... then, well...\If Yusa's powers disappear... we can never meet Misa again?\That's what I wanted to ask.\Well, I guess that will happen.\But she's already dead first and foremost, isn't she?\Isn't it more abnormal that you were able to see her for all this time?\But! response:	Sho, everything is like what she says.
context: Hold on... then, well...\If Yusa's powers disappear... we can never meet Misa again?\That's what I wanted to ask.\Well, I guess that will happen.\But she's already dead first and foremost, isn't she?\Isn't it more abnormal that you were able to see her for all this time?\But!\Sho, everything is like what she says. response:	In reality, she no longer exists.
context: If Yusa's powers disappear... we can never meet Misa again?\That's what I wanted to ask.\Well, I guess that will happen.\But she's already dead first and foremost, isn't she?\Isn't it more abnormal that you were able to see her for all this time?\But!\Sho, everything is like what she says.\In reality, she no longer exists. response:	Maybe this is time for us to say goodbye to Misa...
context: That's what I wanted to ask.\Well, I guess that will happen.\But she's already dead first and foremost, isn't she?\Isn't it more abnormal that you were able to see her for all this time?\But!\Sho, everything is like what she says.\In reality, she no longer exists.\Maybe this is time for us to say goodbye to Misa... response:	why don't we decide on that?
context: Well, I guess that will happen.\But she's already dead first and foremost, isn't she?\Isn't it more abnormal that you were able to see her for all this time?\But!\Sho, everything is like what she says.\In reality, she no longer exists.\Maybe this is time for us to say goodbye to Misa...\why don't we decide on that? response:	Then, let me tell her how I truly feel...
context: But she's already dead first and foremost, isn't she?\Isn't it more abnormal that you were able to see her for all this time?\But!\Sho, everything is like what she says.\In reality, she no longer exists.\Maybe this is time for us to say goodbye to Misa...\why don't we decide on that?\Then, let me tell her how I truly feel... response:	Well, how to put it...
context: Isn't it more abnormal that you were able to see her for all this time?\But!\Sho, everything is like what she says.\In reality, she no longer exists.\Maybe this is time for us to say goodbye to Misa...\why don't we decide on that?\Then, let me tell her how I truly feel...\Well, how to put it... response:	This has to be when I can't think of anything to say...
context: But!\Sho, everything is like what she says.\In reality, she no longer exists.\Maybe this is time for us to say goodbye to Misa...\why don't we decide on that?\Then, let me tell her how I truly feel...\Well, how to put it...\This has to be when I can't think of anything to say... response:	Sho, did you have the hots for me?
