context: Final check of internal Kivotos systems. response:	Communication systems.
context: We will now begin Operation Summer.\In terms of size, that monster's as big as the Tenkaidou.\It's entering our firing range, Captain.\Mid-sized Impacters are splitting off from the Garm Engine!\It's Cerberus!\Cerberus?\I'll head out in the Earth.\Take care of the ship, Teppei. response:	You understand, don't you, Captain?
context: In terms of size, that monster's as big as the Tenkaidou.\It's entering our firing range, Captain.\Mid-sized Impacters are splitting off from the Garm Engine!\It's Cerberus!\Cerberus?\I'll head out in the Earth.\Take care of the ship, Teppei.\You understand, don't you, Captain? response:	If something happens to you, Hana won't be able to leave the Blume.
context: It's entering our firing range, Captain.\Mid-sized Impacters are splitting off from the Garm Engine!\It's Cerberus!\Cerberus?\I'll head out in the Earth.\Take care of the ship, Teppei.\You understand, don't you, Captain?\If something happens to you, Hana won't be able to leave the Blume. response:	Yeah, I know.
context: Mid-sized Impacters are splitting off from the Garm Engine!\It's Cerberus!\Cerberus?\I'll head out in the Earth.\Take care of the ship, Teppei.\You understand, don't you, Captain?\If something happens to you, Hana won't be able to leave the Blume.\Yeah, I know. response:	A beam cannon?
context: It's Cerberus!\Cerberus?\I'll head out in the Earth.\Take care of the ship, Teppei.\You understand, don't you, Captain?\If something happens to you, Hana won't be able to leave the Blume.\Yeah, I know.\A beam cannon? response:	The Earth Engine has left the ship and engaged Cerberus.
context: Cerberus?\I'll head out in the Earth.\Take care of the ship, Teppei.\You understand, don't you, Captain?\If something happens to you, Hana won't be able to leave the Blume.\Yeah, I know.\A beam cannon?\The Earth Engine has left the ship and engaged Cerberus. response:	It's leaving the Blume behind.
context: I'll head out in the Earth.\Take care of the ship, Teppei.\You understand, don't you, Captain?\If something happens to you, Hana won't be able to leave the Blume.\Yeah, I know.\A beam cannon?\The Earth Engine has left the ship and engaged Cerberus.\It's leaving the Blume behind. response:	The Blume has engaged the Garm Engine.
context: Take care of the ship, Teppei.\You understand, don't you, Captain?\If something happens to you, Hana won't be able to leave the Blume.\Yeah, I know.\A beam cannon?\The Earth Engine has left the ship and engaged Cerberus.\It's leaving the Blume behind.\The Blume has engaged the Garm Engine. response:	That's the Livlaster DC's barrier.
context: You understand, don't you, Captain?\If something happens to you, Hana won't be able to leave the Blume.\Yeah, I know.\A beam cannon?\The Earth Engine has left the ship and engaged Cerberus.\It's leaving the Blume behind.\The Blume has engaged the Garm Engine.\That's the Livlaster DC's barrier. response:	Wow.
context: If something happens to you, Hana won't be able to leave the Blume.\Yeah, I know.\A beam cannon?\The Earth Engine has left the ship and engaged Cerberus.\It's leaving the Blume behind.\The Blume has engaged the Garm Engine.\That's the Livlaster DC's barrier.\Wow. response:	He can use it from the Kivotos.
context: Yeah, I know.\A beam cannon?\The Earth Engine has left the ship and engaged Cerberus.\It's leaving the Blume behind.\The Blume has engaged the Garm Engine.\That's the Livlaster DC's barrier.\Wow.\He can use it from the Kivotos. response:	I guess we can't damage it from long range.
context: A beam cannon?\The Earth Engine has left the ship and engaged Cerberus.\It's leaving the Blume behind.\The Blume has engaged the Garm Engine.\That's the Livlaster DC's barrier.\Wow.\He can use it from the Kivotos.\I guess we can't damage it from long range. response:	It'll hurt us, not being able to use the Blume's weapons...
context: The Earth Engine has left the ship and engaged Cerberus.\It's leaving the Blume behind.\The Blume has engaged the Garm Engine.\That's the Livlaster DC's barrier.\Wow.\He can use it from the Kivotos.\I guess we can't damage it from long range.\It'll hurt us, not being able to use the Blume's weapons... response:	What do we do?
context: It's leaving the Blume behind.\The Blume has engaged the Garm Engine.\That's the Livlaster DC's barrier.\Wow.\He can use it from the Kivotos.\I guess we can't damage it from long range.\It'll hurt us, not being able to use the Blume's weapons...\What do we do? response:	Form a strong image in your mind of the place you want to go.
context: The Blume has engaged the Garm Engine.\That's the Livlaster DC's barrier.\Wow.\He can use it from the Kivotos.\I guess we can't damage it from long range.\It'll hurt us, not being able to use the Blume's weapons...\What do we do?\Form a strong image in your mind of the place you want to go. response:	I can see it.
context: That's the Livlaster DC's barrier.\Wow.\He can use it from the Kivotos.\I guess we can't damage it from long range.\It'll hurt us, not being able to use the Blume's weapons...\What do we do?\Form a strong image in your mind of the place you want to go.\I can see it. response:	Akari,
context: Wow.\He can use it from the Kivotos.\I guess we can't damage it from long range.\It'll hurt us, not being able to use the Blume's weapons...\What do we do?\Form a strong image in your mind of the place you want to go.\I can see it.\Akari, response:	it's connected.
context: He can use it from the Kivotos.\I guess we can't damage it from long range.\It'll hurt us, not being able to use the Blume's weapons...\What do we do?\Form a strong image in your mind of the place you want to go.\I can see it.\Akari,\it's connected. response:	We can jump soon.
context: I guess we can't damage it from long range.\It'll hurt us, not being able to use the Blume's weapons...\What do we do?\Form a strong image in your mind of the place you want to go.\I can see it.\Akari,\it's connected.\We can jump soon. response:	Roger.
context: It'll hurt us, not being able to use the Blume's weapons...\What do we do?\Form a strong image in your mind of the place you want to go.\I can see it.\Akari,\it's connected.\We can jump soon.\Roger. response:	Captain, you heard that, right?
context: What do we do?\Form a strong image in your mind of the place you want to go.\I can see it.\Akari,\it's connected.\We can jump soon.\Roger.\Captain, you heard that, right? response:	The Entangle Link will begin soon!
context: Form a strong image in your mind of the place you want to go.\I can see it.\Akari,\it's connected.\We can jump soon.\Roger.\Captain, you heard that, right?\The Entangle Link will begin soon! response:	Hurry!
context: I can see it.\Akari,\it's connected.\We can jump soon.\Roger.\Captain, you heard that, right?\The Entangle Link will begin soon!\Hurry! response:	That stupid kid thinks he's a hero.
context: Akari,\it's connected.\We can jump soon.\Roger.\Captain, you heard that, right?\The Entangle Link will begin soon!\Hurry!\That stupid kid thinks he's a hero. response:	Don't interfere with our plan to save humanity!
context: it's connected.\We can jump soon.\Roger.\Captain, you heard that, right?\The Entangle Link will begin soon!\Hurry!\That stupid kid thinks he's a hero.\Don't interfere with our plan to save humanity! response:	Why are you interfering?
context: We can jump soon.\Roger.\Captain, you heard that, right?\The Entangle Link will begin soon!\Hurry!\That stupid kid thinks he's a hero.\Don't interfere with our plan to save humanity!\Why are you interfering? response:	This mission is
context: Roger.\Captain, you heard that, right?\The Entangle Link will begin soon!\Hurry!\That stupid kid thinks he's a hero.\Don't interfere with our plan to save humanity!\Why are you interfering?\This mission is response:	to save Earth!
context: Captain, you heard that, right?\The Entangle Link will begin soon!\Hurry!\That stupid kid thinks he's a hero.\Don't interfere with our plan to save humanity!\Why are you interfering?\This mission is\to save Earth! response:	We're entering the Entangle Link?
context: The Entangle Link will begin soon!\Hurry!\That stupid kid thinks he's a hero.\Don't interfere with our plan to save humanity!\Why are you interfering?\This mission is\to save Earth!\We're entering the Entangle Link? response:	But the captain isn't back yet.
context: Hurry!\That stupid kid thinks he's a hero.\Don't interfere with our plan to save humanity!\Why are you interfering?\This mission is\to save Earth!\We're entering the Entangle Link?\But the captain isn't back yet. response:	No...
context: That stupid kid thinks he's a hero.\Don't interfere with our plan to save humanity!\Why are you interfering?\This mission is\to save Earth!\We're entering the Entangle Link?\But the captain isn't back yet.\No... response:	Hana?
context: Don't interfere with our plan to save humanity!\Why are you interfering?\This mission is\to save Earth!\We're entering the Entangle Link?\But the captain isn't back yet.\No...\Hana? response:	I can't stop...
context: Why are you interfering?\This mission is\to save Earth!\We're entering the Entangle Link?\But the captain isn't back yet.\No...\Hana?\I can't stop... response:	I can't control it anymore!
context: This mission is\to save Earth!\We're entering the Entangle Link?\But the captain isn't back yet.\No...\Hana?\I can't stop...\I can't control it anymore! response:	Captain, hurry!
context: to save Earth!\We're entering the Entangle Link?\But the captain isn't back yet.\No...\Hana?\I can't stop...\I can't control it anymore!\Captain, hurry! response:	Don't let them escape, Garm!
context: We're entering the Entangle Link?\But the captain isn't back yet.\No...\Hana?\I can't stop...\I can't control it anymore!\Captain, hurry!\Don't let them escape, Garm! response:	Hana...
context: But the captain isn't back yet.\No...\Hana?\I can't stop...\I can't control it anymore!\Captain, hurry!\Don't let them escape, Garm!\Hana... response:	When this mission is over,
context: No...\Hana?\I can't stop...\I can't control it anymore!\Captain, hurry!\Don't let them escape, Garm!\Hana...\When this mission is over, response:	let's go to a festival and eat a candy apple together!
context: Hana?\I can't stop...\I can't control it anymore!\Captain, hurry!\Don't let them escape, Garm!\Hana...\When this mission is over,\let's go to a festival and eat a candy apple together! response:	Yeah,
context: I can't stop...\I can't control it anymore!\Captain, hurry!\Don't let them escape, Garm!\Hana...\When this mission is over,\let's go to a festival and eat a candy apple together!\Yeah, response:	it's a promise!
context: I can't control it anymore!\Captain, hurry!\Don't let them escape, Garm!\Hana...\When this mission is over,\let's go to a festival and eat a candy apple together!\Yeah,\it's a promise! response:	Get there!
context: Captain, hurry!\Don't let them escape, Garm!\Hana...\When this mission is over,\let's go to a festival and eat a candy apple together!\Yeah,\it's a promise!\Get there! response:	Oh, no!
context: Don't let them escape, Garm!\Hana...\When this mission is over,\let's go to a festival and eat a candy apple together!\Yeah,\it's a promise!\Get there!\Oh, no! response:	I can't dodge it!
context: Hana...\When this mission is over,\let's go to a festival and eat a candy apple together!\Yeah,\it's a promise!\Get there!\Oh, no!\I can't dodge it! response:	Daichi?
context: When this mission is over,\let's go to a festival and eat a candy apple together!\Yeah,\it's a promise!\Get there!\Oh, no!\I can't dodge it!\Daichi? response:	Time to get up.
context: let's go to a festival and eat a candy apple together!\Yeah,\it's a promise!\Get there!\Oh, no!\I can't dodge it!\Daichi?\Time to get up. response:	Okay...
context: Yeah,\it's a promise!\Get there!\Oh, no!\I can't dodge it!\Daichi?\Time to get up.\Okay... response:	A dream?
context: it's a promise!\Get there!\Oh, no!\I can't dodge it!\Daichi?\Time to get up.\Okay...\A dream? response:	I woke up to find myself in my room.
context: Get there!\Oh, no!\I can't dodge it!\Daichi?\Time to get up.\Okay...\A dream?\I woke up to find myself in my room. response:	I'm Daichi Manatsu,
context: Oh, no!\I can't dodge it!\Daichi?\Time to get up.\Okay...\A dream?\I woke up to find myself in my room.\I'm Daichi Manatsu, response:	a second-year high school student.
context: I can't dodge it!\Daichi?\Time to get up.\Okay...\A dream?\I woke up to find myself in my room.\I'm Daichi Manatsu,\a second-year high school student. response:	And summer break starts tomorrow.
context: Daichi?\Time to get up.\Okay...\A dream?\I woke up to find myself in my room.\I'm Daichi Manatsu,\a second-year high school student.\And summer break starts tomorrow. response:	A normal, everyday life.
context: Time to get up.\Okay...\A dream?\I woke up to find myself in my room.\I'm Daichi Manatsu,\a second-year high school student.\And summer break starts tomorrow.\A normal, everyday life. response:	But why?
context: Okay...\A dream?\I woke up to find myself in my room.\I'm Daichi Manatsu,\a second-year high school student.\And summer break starts tomorrow.\A normal, everyday life.\But why? response:	The wind in this town feels wrong, somehow...
context: A dream?\I woke up to find myself in my room.\I'm Daichi Manatsu,\a second-year high school student.\And summer break starts tomorrow.\A normal, everyday life.\But why?\The wind in this town feels wrong, somehow... response:	And I keep thinking about the dream I had last night,
context: I woke up to find myself in my room.\I'm Daichi Manatsu,\a second-year high school student.\And summer break starts tomorrow.\A normal, everyday life.\But why?\The wind in this town feels wrong, somehow...\And I keep thinking about the dream I had last night, response:	but I can't remember it.
context: I'm Daichi Manatsu,\a second-year high school student.\And summer break starts tomorrow.\A normal, everyday life.\But why?\The wind in this town feels wrong, somehow...\And I keep thinking about the dream I had last night,\but I can't remember it. response:	A Midsummer Night's Dream
context: a second-year high school student.\And summer break starts tomorrow.\A normal, everyday life.\But why?\The wind in this town feels wrong, somehow...\And I keep thinking about the dream I had last night,\but I can't remember it.\A Midsummer Night's Dream response:	A Midsummer Night's Dream.
context: And summer break starts tomorrow.\A normal, everyday life.\But why?\The wind in this town feels wrong, somehow...\And I keep thinking about the dream I had last night,\but I can't remember it.\A Midsummer Night's Dream\A Midsummer Night's Dream. response:	Earth Engine... What's that, again?
