context: I meant for you to hide here. response:	If I don't forget, I'll come back and dig you out.
context: You stole my Jewel fragment, didn't you?\Now that wasn't nice at all.\Where is it?! Where is Yura's weak spot?\That woman...\You shouldn't have looked away!\You are becoming a pain!\You didn't bat an eyelid when you were struck or hurt.\Now, you seem awfully upset. response:	Something worrying you over there?
context: Now that wasn't nice at all.\Where is it?! Where is Yura's weak spot?\That woman...\You shouldn't have looked away!\You are becoming a pain!\You didn't bat an eyelid when you were struck or hurt.\Now, you seem awfully upset.\Something worrying you over there? response:	Inuyasha!
context: Where is it?! Where is Yura's weak spot?\That woman...\You shouldn't have looked away!\You are becoming a pain!\You didn't bat an eyelid when you were struck or hurt.\Now, you seem awfully upset.\Something worrying you over there?\Inuyasha! response:	There's something inside that...that red skull!
context: That woman...\You shouldn't have looked away!\You are becoming a pain!\You didn't bat an eyelid when you were struck or hurt.\Now, you seem awfully upset.\Something worrying you over there?\Inuyasha!\There's something inside that...that red skull! response:	Red Skull?!
context: You shouldn't have looked away!\You are becoming a pain!\You didn't bat an eyelid when you were struck or hurt.\Now, you seem awfully upset.\Something worrying you over there?\Inuyasha!\There's something inside that...that red skull!\Red Skull?! response:	You're not getting away!
context: You are becoming a pain!\You didn't bat an eyelid when you were struck or hurt.\Now, you seem awfully upset.\Something worrying you over there?\Inuyasha!\There's something inside that...that red skull!\Red Skull?!\You're not getting away! response:	My web of hair!
context: You didn't bat an eyelid when you were struck or hurt.\Now, you seem awfully upset.\Something worrying you over there?\Inuyasha!\There's something inside that...that red skull!\Red Skull?!\You're not getting away!\My web of hair! response:	Damn!
context: Now, you seem awfully upset.\Something worrying you over there?\Inuyasha!\There's something inside that...that red skull!\Red Skull?!\You're not getting away!\My web of hair!\Damn! response:	If it hurts you, let go.
context: Something worrying you over there?\Inuyasha!\There's something inside that...that red skull!\Red Skull?!\You're not getting away!\My web of hair!\Damn!\If it hurts you, let go. response:	I did it!
context: Inuyasha!\There's something inside that...that red skull!\Red Skull?!\You're not getting away!\My web of hair!\Damn!\If it hurts you, let go.\I did it! response:	What are you? Why don't you bleed?
context: There's something inside that...that red skull!\Red Skull?!\You're not getting away!\My web of hair!\Damn!\If it hurts you, let go.\I did it!\What are you? Why don't you bleed? response:	Now that she mentions it...
context: Red Skull?!\You're not getting away!\My web of hair!\Damn!\If it hurts you, let go.\I did it!\What are you? Why don't you bleed?\Now that she mentions it... response:	Even when engulfed in flames...
context: You're not getting away!\My web of hair!\Damn!\If it hurts you, let go.\I did it!\What are you? Why don't you bleed?\Now that she mentions it...\Even when engulfed in flames... response:	Is it because of this robe?
context: My web of hair!\Damn!\If it hurts you, let go.\I did it!\What are you? Why don't you bleed?\Now that she mentions it...\Even when engulfed in flames...\Is it because of this robe? response:	It's an armor made from the fur of the Fire Rat.
context: Damn!\If it hurts you, let go.\I did it!\What are you? Why don't you bleed?\Now that she mentions it...\Even when engulfed in flames...\Is it because of this robe?\It's an armor made from the fur of the Fire Rat. response:	It's much stronger than ordinary metal.
context: If it hurts you, let go.\I did it!\What are you? Why don't you bleed?\Now that she mentions it...\Even when engulfed in flames...\Is it because of this robe?\It's an armor made from the fur of the Fire Rat.\It's much stronger than ordinary metal. response:	Inuyasha...
context: I did it!\What are you? Why don't you bleed?\Now that she mentions it...\Even when engulfed in flames...\Is it because of this robe?\It's an armor made from the fur of the Fire Rat.\It's much stronger than ordinary metal.\Inuyasha... response:	You seem like an ordinary mortal...
context: What are you? Why don't you bleed?\Now that she mentions it...\Even when engulfed in flames...\Is it because of this robe?\It's an armor made from the fur of the Fire Rat.\It's much stronger than ordinary metal.\Inuyasha...\You seem like an ordinary mortal... response:	How's this then?
context: Now that she mentions it...\Even when engulfed in flames...\Is it because of this robe?\It's an armor made from the fur of the Fire Rat.\It's much stronger than ordinary metal.\Inuyasha...\You seem like an ordinary mortal...\How's this then? response:	Blades of Blood!
context: Even when engulfed in flames...\Is it because of this robe?\It's an armor made from the fur of the Fire Rat.\It's much stronger than ordinary metal.\Inuyasha...\You seem like an ordinary mortal...\How's this then?\Blades of Blood! response:	Don't you faint on me! I can't be looking after you!
context: Is it because of this robe?\It's an armor made from the fur of the Fire Rat.\It's much stronger than ordinary metal.\Inuyasha...\You seem like an ordinary mortal...\How's this then?\Blades of Blood!\Don't you faint on me! I can't be looking after you! response:	Watch out, Inuyasha!
context: It's an armor made from the fur of the Fire Rat.\It's much stronger than ordinary metal.\Inuyasha...\You seem like an ordinary mortal...\How's this then?\Blades of Blood!\Don't you faint on me! I can't be looking after you!\Watch out, Inuyasha! response:	Why that!
context: It's much stronger than ordinary metal.\Inuyasha...\You seem like an ordinary mortal...\How's this then?\Blades of Blood!\Don't you faint on me! I can't be looking after you!\Watch out, Inuyasha!\Why that! response:	I am immortal, you know!
context: Inuyasha...\You seem like an ordinary mortal...\How's this then?\Blades of Blood!\Don't you faint on me! I can't be looking after you!\Watch out, Inuyasha!\Why that!\I am immortal, you know! response:	That's it! The strand coming out of this red skull...
context: You seem like an ordinary mortal...\How's this then?\Blades of Blood!\Don't you faint on me! I can't be looking after you!\Watch out, Inuyasha!\Why that!\I am immortal, you know!\That's it! The strand coming out of this red skull... response:	It's connected to Yura's hand!
context: How's this then?\Blades of Blood!\Don't you faint on me! I can't be looking after you!\Watch out, Inuyasha!\Why that!\I am immortal, you know!\That's it! The strand coming out of this red skull...\It's connected to Yura's hand! response:	That woman... I'll kill her!
context: Blades of Blood!\Don't you faint on me! I can't be looking after you!\Watch out, Inuyasha!\Why that!\I am immortal, you know!\That's it! The strand coming out of this red skull...\It's connected to Yura's hand!\That woman... I'll kill her! response:	So that's Yura's true form...
context: Don't you faint on me! I can't be looking after you!\Watch out, Inuyasha!\Why that!\I am immortal, you know!\That's it! The strand coming out of this red skull...\It's connected to Yura's hand!\That woman... I'll kill her!\So that's Yura's true form... response:	This red comb?
context: Watch out, Inuyasha!\Why that!\I am immortal, you know!\That's it! The strand coming out of this red skull...\It's connected to Yura's hand!\That woman... I'll kill her!\So that's Yura's true form...\This red comb? response:	That's the Adornment Comb of the Dead.
context: Why that!\I am immortal, you know!\That's it! The strand coming out of this red skull...\It's connected to Yura's hand!\That woman... I'll kill her!\So that's Yura's true form...\This red comb?\That's the Adornment Comb of the Dead. response:	It was used to comb the hair of the dead...
context: I am immortal, you know!\That's it! The strand coming out of this red skull...\It's connected to Yura's hand!\That woman... I'll kill her!\So that's Yura's true form...\This red comb?\That's the Adornment Comb of the Dead.\It was used to comb the hair of the dead... response:	that's how it probably got bewitched.
context: That's it! The strand coming out of this red skull...\It's connected to Yura's hand!\That woman... I'll kill her!\So that's Yura's true form...\This red comb?\That's the Adornment Comb of the Dead.\It was used to comb the hair of the dead...\that's how it probably got bewitched. response:	In this day and age, an enchanted comb or two...
context: It's connected to Yura's hand!\That woman... I'll kill her!\So that's Yura's true form...\This red comb?\That's the Adornment Comb of the Dead.\It was used to comb the hair of the dead...\that's how it probably got bewitched.\In this day and age, an enchanted comb or two... response:	is nothing to be surprised at.
context: That woman... I'll kill her!\So that's Yura's true form...\This red comb?\That's the Adornment Comb of the Dead.\It was used to comb the hair of the dead...\that's how it probably got bewitched.\In this day and age, an enchanted comb or two...\is nothing to be surprised at. response:	Inuyasha... you're badly hurt.
context: So that's Yura's true form...\This red comb?\That's the Adornment Comb of the Dead.\It was used to comb the hair of the dead...\that's how it probably got bewitched.\In this day and age, an enchanted comb or two...\is nothing to be surprised at.\Inuyasha... you're badly hurt. response:	Because you let me wear your Fire Rat armor.
context: This red comb?\That's the Adornment Comb of the Dead.\It was used to comb the hair of the dead...\that's how it probably got bewitched.\In this day and age, an enchanted comb or two...\is nothing to be surprised at.\Inuyasha... you're badly hurt.\Because you let me wear your Fire Rat armor. response:	It's nothing.
context: That's the Adornment Comb of the Dead.\It was used to comb the hair of the dead...\that's how it probably got bewitched.\In this day and age, an enchanted comb or two...\is nothing to be surprised at.\Inuyasha... you're badly hurt.\Because you let me wear your Fire Rat armor.\It's nothing. response:	But the Sacred Jewel!
context: It was used to comb the hair of the dead...\that's how it probably got bewitched.\In this day and age, an enchanted comb or two...\is nothing to be surprised at.\Inuyasha... you're badly hurt.\Because you let me wear your Fire Rat armor.\It's nothing.\But the Sacred Jewel! response:	I found it.
context: that's how it probably got bewitched.\In this day and age, an enchanted comb or two...\is nothing to be surprised at.\Inuyasha... you're badly hurt.\Because you let me wear your Fire Rat armor.\It's nothing.\But the Sacred Jewel!\I found it. response:	I wonder how long it'll take to accumulate them all?
context: In this day and age, an enchanted comb or two...\is nothing to be surprised at.\Inuyasha... you're badly hurt.\Because you let me wear your Fire Rat armor.\It's nothing.\But the Sacred Jewel!\I found it.\I wonder how long it'll take to accumulate them all? response:	Let's go, Kagome.
context: is nothing to be surprised at.\Inuyasha... you're badly hurt.\Because you let me wear your Fire Rat armor.\It's nothing.\But the Sacred Jewel!\I found it.\I wonder how long it'll take to accumulate them all?\Let's go, Kagome. response:	Huh?
context: Inuyasha... you're badly hurt.\Because you let me wear your Fire Rat armor.\It's nothing.\But the Sacred Jewel!\I found it.\I wonder how long it'll take to accumulate them all?\Let's go, Kagome.\Huh? response:	What?
context: Because you let me wear your Fire Rat armor.\It's nothing.\But the Sacred Jewel!\I found it.\I wonder how long it'll take to accumulate them all?\Let's go, Kagome.\Huh?\What? response:	It's the first time you said my name.
context: It's nothing.\But the Sacred Jewel!\I found it.\I wonder how long it'll take to accumulate them all?\Let's go, Kagome.\Huh?\What?\It's the first time you said my name. response:	So what?
context: But the Sacred Jewel!\I found it.\I wonder how long it'll take to accumulate them all?\Let's go, Kagome.\Huh?\What?\It's the first time you said my name.\So what? response:	Maybe you've decided to be a bit nicer to me?
context: I found it.\I wonder how long it'll take to accumulate them all?\Let's go, Kagome.\Huh?\What?\It's the first time you said my name.\So what?\Maybe you've decided to be a bit nicer to me? response:	Hey! Don't get cheeky!
context: I wonder how long it'll take to accumulate them all?\Let's go, Kagome.\Huh?\What?\It's the first time you said my name.\So what?\Maybe you've decided to be a bit nicer to me?\Hey! Don't get cheeky! response:	Who'd be chums with a girl like you?!
context: Let's go, Kagome.\Huh?\What?\It's the first time you said my name.\So what?\Maybe you've decided to be a bit nicer to me?\Hey! Don't get cheeky!\Who'd be chums with a girl like you?! response:	What?! And who was it that just saved you?
context: Huh?\What?\It's the first time you said my name.\So what?\Maybe you've decided to be a bit nicer to me?\Hey! Don't get cheeky!\Who'd be chums with a girl like you?!\What?! And who was it that just saved you? response:	Look... if it hurts, just speak up and say so!
context: What?\It's the first time you said my name.\So what?\Maybe you've decided to be a bit nicer to me?\Hey! Don't get cheeky!\Who'd be chums with a girl like you?!\What?! And who was it that just saved you?\Look... if it hurts, just speak up and say so! response:	Shut up!
context: It's the first time you said my name.\So what?\Maybe you've decided to be a bit nicer to me?\Hey! Don't get cheeky!\Who'd be chums with a girl like you?!\What?! And who was it that just saved you?\Look... if it hurts, just speak up and say so!\Shut up! response:	Inuyasha...
context: So what?\Maybe you've decided to be a bit nicer to me?\Hey! Don't get cheeky!\Who'd be chums with a girl like you?!\What?! And who was it that just saved you?\Look... if it hurts, just speak up and say so!\Shut up!\Inuyasha... response:	Join your powers and fight!
context: Maybe you've decided to be a bit nicer to me?\Hey! Don't get cheeky!\Who'd be chums with a girl like you?!\What?! And who was it that just saved you?\Look... if it hurts, just speak up and say so!\Shut up!\Inuyasha...\Join your powers and fight! response:	And hurry up and remember that you buried me!
context: Hey! Don't get cheeky!\Who'd be chums with a girl like you?!\What?! And who was it that just saved you?\Look... if it hurts, just speak up and say so!\Shut up!\Inuyasha...\Join your powers and fight!\And hurry up and remember that you buried me! response:	I was saved by the Fire Rat robe thanks to Inuyasha...
context: Who'd be chums with a girl like you?!\What?! And who was it that just saved you?\Look... if it hurts, just speak up and say so!\Shut up!\Inuyasha...\Join your powers and fight!\And hurry up and remember that you buried me!\I was saved by the Fire Rat robe thanks to Inuyasha... response:	That reminds me of a story of Princess Kaguya from the Tale of Taketori.
context: What?! And who was it that just saved you?\Look... if it hurts, just speak up and say so!\Shut up!\Inuyasha...\Join your powers and fight!\And hurry up and remember that you buried me!\I was saved by the Fire Rat robe thanks to Inuyasha...\That reminds me of a story of Princess Kaguya from the Tale of Taketori. response:	She didn't want to get married so she gave away the Fire Rat robe instead.
context: Look... if it hurts, just speak up and say so!\Shut up!\Inuyasha...\Join your powers and fight!\And hurry up and remember that you buried me!\I was saved by the Fire Rat robe thanks to Inuyasha...\That reminds me of a story of Princess Kaguya from the Tale of Taketori.\She didn't want to get married so she gave away the Fire Rat robe instead. response:	So that robe was from the demon world.
context: Shut up!\Inuyasha...\Join your powers and fight!\And hurry up and remember that you buried me!\I was saved by the Fire Rat robe thanks to Inuyasha...\That reminds me of a story of Princess Kaguya from the Tale of Taketori.\She didn't want to get married so she gave away the Fire Rat robe instead.\So that robe was from the demon world. response:	And now the phantom sword Tetsusaiga?!
context: Inuyasha...\Join your powers and fight!\And hurry up and remember that you buried me!\I was saved by the Fire Rat robe thanks to Inuyasha...\That reminds me of a story of Princess Kaguya from the Tale of Taketori.\She didn't want to get married so she gave away the Fire Rat robe instead.\So that robe was from the demon world.\And now the phantom sword Tetsusaiga?! response:	Battle begins between two brothers for the possession of the sword.
context: Join your powers and fight!\And hurry up and remember that you buried me!\I was saved by the Fire Rat robe thanks to Inuyasha...\That reminds me of a story of Princess Kaguya from the Tale of Taketori.\She didn't want to get married so she gave away the Fire Rat robe instead.\So that robe was from the demon world.\And now the phantom sword Tetsusaiga?!\Battle begins between two brothers for the possession of the sword. response:	Next time, Inuyasha Aristocratic Assassin, Sesshomaru See you soon!
