context: Goshinki, a demon created out of Naraku's body... response:	His fangs were used to forge the evil sword Tokijin...
context: Inuyasha!\No! It's like David and Goliath!\D-damn!\Master Inuyasha, hurry and get a hold of the Tetsusaiga!\Old Myoga...\I don't need it!\Huh? No sword?\No, Inuyasha! response:	He plans to fight Sesshomaru with only his bare hands!
context: No! It's like David and Goliath!\D-damn!\Master Inuyasha, hurry and get a hold of the Tetsusaiga!\Old Myoga...\I don't need it!\Huh? No sword?\No, Inuyasha!\He plans to fight Sesshomaru with only his bare hands! response:	Master Inuyasha, don't be rash!
context: D-damn!\Master Inuyasha, hurry and get a hold of the Tetsusaiga!\Old Myoga...\I don't need it!\Huh? No sword?\No, Inuyasha!\He plans to fight Sesshomaru with only his bare hands!\Master Inuyasha, don't be rash! response:	With such a heavy sword I'd lose even a match I can win!
context: Master Inuyasha, hurry and get a hold of the Tetsusaiga!\Old Myoga...\I don't need it!\Huh? No sword?\No, Inuyasha!\He plans to fight Sesshomaru with only his bare hands!\Master Inuyasha, don't be rash!\With such a heavy sword I'd lose even a match I can win! response:	Master Inuyasha!
context: Old Myoga...\I don't need it!\Huh? No sword?\No, Inuyasha!\He plans to fight Sesshomaru with only his bare hands!\Master Inuyasha, don't be rash!\With such a heavy sword I'd lose even a match I can win!\Master Inuyasha! response:	Shaddup! Just stay back!
context: I don't need it!\Huh? No sword?\No, Inuyasha!\He plans to fight Sesshomaru with only his bare hands!\Master Inuyasha, don't be rash!\With such a heavy sword I'd lose even a match I can win!\Master Inuyasha!\Shaddup! Just stay back! response:	Ouch!
context: Huh? No sword?\No, Inuyasha!\He plans to fight Sesshomaru with only his bare hands!\Master Inuyasha, don't be rash!\With such a heavy sword I'd lose even a match I can win!\Master Inuyasha!\Shaddup! Just stay back!\Ouch! response:	He's been thrown by the power of the sword!
context: No, Inuyasha!\He plans to fight Sesshomaru with only his bare hands!\Master Inuyasha, don't be rash!\With such a heavy sword I'd lose even a match I can win!\Master Inuyasha!\Shaddup! Just stay back!\Ouch!\He's been thrown by the power of the sword! response:	Why you!
context: He plans to fight Sesshomaru with only his bare hands!\Master Inuyasha, don't be rash!\With such a heavy sword I'd lose even a match I can win!\Master Inuyasha!\Shaddup! Just stay back!\Ouch!\He's been thrown by the power of the sword!\Why you! response:	I see now. Enough of this.
context: Master Inuyasha, don't be rash!\With such a heavy sword I'd lose even a match I can win!\Master Inuyasha!\Shaddup! Just stay back!\Ouch!\He's been thrown by the power of the sword!\Why you!\I see now. Enough of this. response:	Die!
context: With such a heavy sword I'd lose even a match I can win!\Master Inuyasha!\Shaddup! Just stay back!\Ouch!\He's been thrown by the power of the sword!\Why you!\I see now. Enough of this.\Die! response:	No! Run, Inuyasha!
context: Master Inuyasha!\Shaddup! Just stay back!\Ouch!\He's been thrown by the power of the sword!\Why you!\I see now. Enough of this.\Die!\No! Run, Inuyasha! response:	This smell...
context: Shaddup! Just stay back!\Ouch!\He's been thrown by the power of the sword!\Why you!\I see now. Enough of this.\Die!\No! Run, Inuyasha!\This smell... response:	Inuyasha!
context: Ouch!\He's been thrown by the power of the sword!\Why you!\I see now. Enough of this.\Die!\No! Run, Inuyasha!\This smell...\Inuyasha! response:	He can't be...
context: He's been thrown by the power of the sword!\Why you!\I see now. Enough of this.\Die!\No! Run, Inuyasha!\This smell...\Inuyasha!\He can't be... response:	transforming again!
context: Why you!\I see now. Enough of this.\Die!\No! Run, Inuyasha!\This smell...\Inuyasha!\He can't be...\transforming again! response:	Everyone, take Inuyasha and get away.
context: I see now. Enough of this.\Die!\No! Run, Inuyasha!\This smell...\Inuyasha!\He can't be...\transforming again!\Everyone, take Inuyasha and get away. response:	Totosai...
context: Die!\No! Run, Inuyasha!\This smell...\Inuyasha!\He can't be...\transforming again!\Everyone, take Inuyasha and get away.\Totosai... response:	Hurry!
context: No! Run, Inuyasha!\This smell...\Inuyasha!\He can't be...\transforming again!\Everyone, take Inuyasha and get away.\Totosai...\Hurry! response:	Miss Kagome!
context: This smell...\Inuyasha!\He can't be...\transforming again!\Everyone, take Inuyasha and get away.\Totosai...\Hurry!\Miss Kagome! response:	Sit!
context: Inuyasha!\He can't be...\transforming again!\Everyone, take Inuyasha and get away.\Totosai...\Hurry!\Miss Kagome!\Sit! response:	But why didn't you go after him when you had cornered him?
context: He can't be...\transforming again!\Everyone, take Inuyasha and get away.\Totosai...\Hurry!\Miss Kagome!\Sit!\But why didn't you go after him when you had cornered him? response:	Lord Sesshomaru?
context: transforming again!\Everyone, take Inuyasha and get away.\Totosai...\Hurry!\Miss Kagome!\Sit!\But why didn't you go after him when you had cornered him?\Lord Sesshomaru? response:	To think that he made me, Sesshomaru, tremble with fear for a second.
context: Everyone, take Inuyasha and get away.\Totosai...\Hurry!\Miss Kagome!\Sit!\But why didn't you go after him when you had cornered him?\Lord Sesshomaru?\To think that he made me, Sesshomaru, tremble with fear for a second. response:	Inuyasha was, at that moment...
context: Totosai...\Hurry!\Miss Kagome!\Sit!\But why didn't you go after him when you had cornered him?\Lord Sesshomaru?\To think that he made me, Sesshomaru, tremble with fear for a second.\Inuyasha was, at that moment... response:	He's strong.
context: Hurry!\Miss Kagome!\Sit!\But why didn't you go after him when you had cornered him?\Lord Sesshomaru?\To think that he made me, Sesshomaru, tremble with fear for a second.\Inuyasha was, at that moment...\He's strong. response:	He might be able to kill Naraku.
context: Miss Kagome!\Sit!\But why didn't you go after him when you had cornered him?\Lord Sesshomaru?\To think that he made me, Sesshomaru, tremble with fear for a second.\Inuyasha was, at that moment...\He's strong.\He might be able to kill Naraku. response:	My heart is in Naraku's hands.
context: Sit!\But why didn't you go after him when you had cornered him?\Lord Sesshomaru?\To think that he made me, Sesshomaru, tremble with fear for a second.\Inuyasha was, at that moment...\He's strong.\He might be able to kill Naraku.\My heart is in Naraku's hands. response:	However, no way will I remain a servant forever to him!
context: But why didn't you go after him when you had cornered him?\Lord Sesshomaru?\To think that he made me, Sesshomaru, tremble with fear for a second.\Inuyasha was, at that moment...\He's strong.\He might be able to kill Naraku.\My heart is in Naraku's hands.\However, no way will I remain a servant forever to him! response:	I am the wind! One day, I shall be free!
context: Lord Sesshomaru?\To think that he made me, Sesshomaru, tremble with fear for a second.\Inuyasha was, at that moment...\He's strong.\He might be able to kill Naraku.\My heart is in Naraku's hands.\However, no way will I remain a servant forever to him!\I am the wind! One day, I shall be free! response:	Juromaru... Naraku's fourth demonic incarnation!
context: To think that he made me, Sesshomaru, tremble with fear for a second.\Inuyasha was, at that moment...\He's strong.\He might be able to kill Naraku.\My heart is in Naraku's hands.\However, no way will I remain a servant forever to him!\I am the wind! One day, I shall be free!\Juromaru... Naraku's fourth demonic incarnation! response:	He's expressionless and you can't tell where he's looking...
context: Inuyasha was, at that moment...\He's strong.\He might be able to kill Naraku.\My heart is in Naraku's hands.\However, no way will I remain a servant forever to him!\I am the wind! One day, I shall be free!\Juromaru... Naraku's fourth demonic incarnation!\He's expressionless and you can't tell where he's looking... response:	but he moves with super speed and even Inuyasha is no match for him!
context: He's strong.\He might be able to kill Naraku.\My heart is in Naraku's hands.\However, no way will I remain a servant forever to him!\I am the wind! One day, I shall be free!\Juromaru... Naraku's fourth demonic incarnation!\He's expressionless and you can't tell where he's looking...\but he moves with super speed and even Inuyasha is no match for him! response:	Juromaru has an older brother named Kageromaru...
context: He might be able to kill Naraku.\My heart is in Naraku's hands.\However, no way will I remain a servant forever to him!\I am the wind! One day, I shall be free!\Juromaru... Naraku's fourth demonic incarnation!\He's expressionless and you can't tell where he's looking...\but he moves with super speed and even Inuyasha is no match for him!\Juromaru has an older brother named Kageromaru... response:	and they've come at us like a tag team!
context: My heart is in Naraku's hands.\However, no way will I remain a servant forever to him!\I am the wind! One day, I shall be free!\Juromaru... Naraku's fourth demonic incarnation!\He's expressionless and you can't tell where he's looking...\but he moves with super speed and even Inuyasha is no match for him!\Juromaru has an older brother named Kageromaru...\and they've come at us like a tag team! response:	But our side has Miroku and Sango, too!
context: However, no way will I remain a servant forever to him!\I am the wind! One day, I shall be free!\Juromaru... Naraku's fourth demonic incarnation!\He's expressionless and you can't tell where he's looking...\but he moves with super speed and even Inuyasha is no match for him!\Juromaru has an older brother named Kageromaru...\and they've come at us like a tag team!\But our side has Miroku and Sango, too! response:	And even Koga comes to our aid! No way can we lose!
context: I am the wind! One day, I shall be free!\Juromaru... Naraku's fourth demonic incarnation!\He's expressionless and you can't tell where he's looking...\but he moves with super speed and even Inuyasha is no match for him!\Juromaru has an older brother named Kageromaru...\and they've come at us like a tag team!\But our side has Miroku and Sango, too!\And even Koga comes to our aid! No way can we lose! response:	Next on Inuyasha: Juromaru and Kageromaru
context: Juromaru... Naraku's fourth demonic incarnation!\He's expressionless and you can't tell where he's looking...\but he moves with super speed and even Inuyasha is no match for him!\Juromaru has an older brother named Kageromaru...\and they've come at us like a tag team!\But our side has Miroku and Sango, too!\And even Koga comes to our aid! No way can we lose!\Next on Inuyasha: Juromaru and Kageromaru response:	Don't miss it!
