context: Only three of you are running under thirty minutes. response:	I'm impressed you're all able to run a 10K now, but...
context: I'm glad it's the ten of us.\We wouldn't be here if anyone had been missing.\Don't make it sound like the final episode of something.\This is the starting line.\You're right.\There are different numbers of guys wearing uniforms.\I was wondering about that, too.\They've got more than ten guys. response:	A team can register up to fourteen runners for the qualifier.
context: We wouldn't be here if anyone had been missing.\Don't make it sound like the final episode of something.\This is the starting line.\You're right.\There are different numbers of guys wearing uniforms.\I was wondering about that, too.\They've got more than ten guys.\A team can register up to fourteen runners for the qualifier. response:	Then they'll reduce their numbers to twelve based on their physical condition.
context: Don't make it sound like the final episode of something.\This is the starting line.\You're right.\There are different numbers of guys wearing uniforms.\I was wondering about that, too.\They've got more than ten guys.\A team can register up to fourteen runners for the qualifier.\Then they'll reduce their numbers to twelve based on their physical condition. response:	What? So they calculate your total time based on your ten fastest runners?
context: This is the starting line.\You're right.\There are different numbers of guys wearing uniforms.\I was wondering about that, too.\They've got more than ten guys.\A team can register up to fourteen runners for the qualifier.\Then they'll reduce their numbers to twelve based on their physical condition.\What? So they calculate your total time based on your ten fastest runners? response:	Yeah. Teams with lots of runners have two runners as insurance.
context: You're right.\There are different numbers of guys wearing uniforms.\I was wondering about that, too.\They've got more than ten guys.\A team can register up to fourteen runners for the qualifier.\Then they'll reduce their numbers to twelve based on their physical condition.\What? So they calculate your total time based on your ten fastest runners?\Yeah. Teams with lots of runners have two runners as insurance. response:	So this is what they call a numbers game.
context: There are different numbers of guys wearing uniforms.\I was wondering about that, too.\They've got more than ten guys.\A team can register up to fourteen runners for the qualifier.\Then they'll reduce their numbers to twelve based on their physical condition.\What? So they calculate your total time based on your ten fastest runners?\Yeah. Teams with lots of runners have two runners as insurance.\So this is what they call a numbers game. response:	It also means Kansei is finished if a single one of their runners
context: I was wondering about that, too.\They've got more than ten guys.\A team can register up to fourteen runners for the qualifier.\Then they'll reduce their numbers to twelve based on their physical condition.\What? So they calculate your total time based on your ten fastest runners?\Yeah. Teams with lots of runners have two runners as insurance.\So this is what they call a numbers game.\It also means Kansei is finished if a single one of their runners response:	doesn't make it to the finish line.
context: They've got more than ten guys.\A team can register up to fourteen runners for the qualifier.\Then they'll reduce their numbers to twelve based on their physical condition.\What? So they calculate your total time based on your ten fastest runners?\Yeah. Teams with lots of runners have two runners as insurance.\So this is what they call a numbers game.\It also means Kansei is finished if a single one of their runners\doesn't make it to the finish line. response:	It's okay. They'll all come back.
context: A team can register up to fourteen runners for the qualifier.\Then they'll reduce their numbers to twelve based on their physical condition.\What? So they calculate your total time based on your ten fastest runners?\Yeah. Teams with lots of runners have two runners as insurance.\So this is what they call a numbers game.\It also means Kansei is finished if a single one of their runners\doesn't make it to the finish line.\It's okay. They'll all come back. response:	I know it.
context: Then they'll reduce their numbers to twelve based on their physical condition.\What? So they calculate your total time based on your ten fastest runners?\Yeah. Teams with lots of runners have two runners as insurance.\So this is what they call a numbers game.\It also means Kansei is finished if a single one of their runners\doesn't make it to the finish line.\It's okay. They'll all come back.\I know it. response:	Prince.
context: What? So they calculate your total time based on your ten fastest runners?\Yeah. Teams with lots of runners have two runners as insurance.\So this is what they call a numbers game.\It also means Kansei is finished if a single one of their runners\doesn't make it to the finish line.\It's okay. They'll all come back.\I know it.\Prince. response:	I'll do it.
context: Yeah. Teams with lots of runners have two runners as insurance.\So this is what they call a numbers game.\It also means Kansei is finished if a single one of their runners\doesn't make it to the finish line.\It's okay. They'll all come back.\I know it.\Prince.\I'll do it. response:	Okay.
context: So this is what they call a numbers game.\It also means Kansei is finished if a single one of their runners\doesn't make it to the finish line.\It's okay. They'll all come back.\I know it.\Prince.\I'll do it.\Okay. response:	I'll do the best I can.
context: It also means Kansei is finished if a single one of their runners\doesn't make it to the finish line.\It's okay. They'll all come back.\I know it.\Prince.\I'll do it.\Okay.\I'll do the best I can. response:	Okay.
context: doesn't make it to the finish line.\It's okay. They'll all come back.\I know it.\Prince.\I'll do it.\Okay.\I'll do the best I can.\Okay. response:	Runners, please gather at the starting line.
context: It's okay. They'll all come back.\I know it.\Prince.\I'll do it.\Okay.\I'll do the best I can.\Okay.\Runners, please gather at the starting line. response:	Runners, please gather at the starting line. Gather round.
context: I know it.\Prince.\I'll do it.\Okay.\I'll do the best I can.\Okay.\Runners, please gather at the starting line.\Runners, please gather at the starting line. Gather round. response:	Let's go.
context: Prince.\I'll do it.\Okay.\I'll do the best I can.\Okay.\Runners, please gather at the starting line.\Runners, please gather at the starting line. Gather round.\Let's go. response:	Line up by school. By school.
context: I'll do it.\Okay.\I'll do the best I can.\Okay.\Runners, please gather at the starting line.\Runners, please gather at the starting line. Gather round.\Let's go.\Line up by school. By school. response:	Teito Univesity. Saikyo University.
context: Okay.\I'll do the best I can.\Okay.\Runners, please gather at the starting line.\Runners, please gather at the starting line. Gather round.\Let's go.\Line up by school. By school.\Teito Univesity. Saikyo University. response:	Tokyo Sport University.
context: I'll do the best I can.\Okay.\Runners, please gather at the starting line.\Runners, please gather at the starting line. Gather round.\Let's go.\Line up by school. By school.\Teito Univesity. Saikyo University.\Tokyo Sport University. response:	Isn't our starting position kind of a big handicap?
context: Okay.\Runners, please gather at the starting line.\Runners, please gather at the starting line. Gather round.\Let's go.\Line up by school. By school.\Teito Univesity. Saikyo University.\Tokyo Sport University.\Isn't our starting position kind of a big handicap? response:	It's based on performance. We can't complain.
context: Runners, please gather at the starting line.\Runners, please gather at the starting line. Gather round.\Let's go.\Line up by school. By school.\Teito Univesity. Saikyo University.\Tokyo Sport University.\Isn't our starting position kind of a big handicap?\It's based on performance. We can't complain. response:	They really are different.
context: Runners, please gather at the starting line. Gather round.\Let's go.\Line up by school. By school.\Teito Univesity. Saikyo University.\Tokyo Sport University.\Isn't our starting position kind of a big handicap?\It's based on performance. We can't complain.\They really are different. response:	Even if they weren't seeded, the people who ran at Hakone last year feel different.
context: Let's go.\Line up by school. By school.\Teito Univesity. Saikyo University.\Tokyo Sport University.\Isn't our starting position kind of a big handicap?\It's based on performance. We can't complain.\They really are different.\Even if they weren't seeded, the people who ran at Hakone last year feel different. response:	Yes.
context: Line up by school. By school.\Teito Univesity. Saikyo University.\Tokyo Sport University.\Isn't our starting position kind of a big handicap?\It's based on performance. We can't complain.\They really are different.\Even if they weren't seeded, the people who ran at Hakone last year feel different.\Yes. response:	We're just as good.
context: Teito Univesity. Saikyo University.\Tokyo Sport University.\Isn't our starting position kind of a big handicap?\It's based on performance. We can't complain.\They really are different.\Even if they weren't seeded, the people who ran at Hakone last year feel different.\Yes.\We're just as good. response:	I forgot.
context: Tokyo Sport University.\Isn't our starting position kind of a big handicap?\It's based on performance. We can't complain.\They really are different.\Even if they weren't seeded, the people who ran at Hakone last year feel different.\Yes.\We're just as good.\I forgot. response:	Forgot what?
context: Isn't our starting position kind of a big handicap?\It's based on performance. We can't complain.\They really are different.\Even if they weren't seeded, the people who ran at Hakone last year feel different.\Yes.\We're just as good.\I forgot.\Forgot what? response:	The mountains of Hakone are?
context: It's based on performance. We can't complain.\They really are different.\Even if they weren't seeded, the people who ran at Hakone last year feel different.\Yes.\We're just as good.\I forgot.\Forgot what?\The mountains of Hakone are? response:	The steepest in the world.
context: They really are different.\Even if they weren't seeded, the people who ran at Hakone last year feel different.\Yes.\We're just as good.\I forgot.\Forgot what?\The mountains of Hakone are?\The steepest in the world. response:	Starting in thirty seconds.
context: Even if they weren't seeded, the people who ran at Hakone last year feel different.\Yes.\We're just as good.\I forgot.\Forgot what?\The mountains of Hakone are?\The steepest in the world.\Starting in thirty seconds. response:	Starting in ten,
context: Yes.\We're just as good.\I forgot.\Forgot what?\The mountains of Hakone are?\The steepest in the world.\Starting in thirty seconds.\Starting in ten, response:	nine,
context: We're just as good.\I forgot.\Forgot what?\The mountains of Hakone are?\The steepest in the world.\Starting in thirty seconds.\Starting in ten,\nine, response:	eight,
context: I forgot.\Forgot what?\The mountains of Hakone are?\The steepest in the world.\Starting in thirty seconds.\Starting in ten,\nine,\eight, response:	seven,
context: Forgot what?\The mountains of Hakone are?\The steepest in the world.\Starting in thirty seconds.\Starting in ten,\nine,\eight,\seven, response:	six,
context: The mountains of Hakone are?\The steepest in the world.\Starting in thirty seconds.\Starting in ten,\nine,\eight,\seven,\six, response:	five,
context: The steepest in the world.\Starting in thirty seconds.\Starting in ten,\nine,\eight,\seven,\six,\five, response:	four,
context: Starting in thirty seconds.\Starting in ten,\nine,\eight,\seven,\six,\five,\four, response:	three,
context: Starting in ten,\nine,\eight,\seven,\six,\five,\four,\three, response:	two,
context: nine,\eight,\seven,\six,\five,\four,\three,\two, response:	one.
context: eight,\seven,\six,\five,\four,\three,\two,\one. response:	Go, Kansei University!
context: seven,\six,\five,\four,\three,\two,\one.\Go, Kansei University! response:	Go!
context: six,\five,\four,\three,\two,\one.\Go, Kansei University!\Go! response:	Finish the first five kilometers in 3:10 each.
context: five,\four,\three,\two,\one.\Go, Kansei University!\Go!\Finish the first five kilometers in 3:10 each. response:	After that, use your own judgment.
context: four,\three,\two,\one.\Go, Kansei University!\Go!\Finish the first five kilometers in 3:10 each.\After that, use your own judgment. response:	Just two laps of this makes me feel faint.
context: three,\two,\one.\Go, Kansei University!\Go!\Finish the first five kilometers in 3:10 each.\After that, use your own judgment.\Just two laps of this makes me feel faint. response:	Huh? Where's Hanako?
context: two,\one.\Go, Kansei University!\Go!\Finish the first five kilometers in 3:10 each.\After that, use your own judgment.\Just two laps of this makes me feel faint.\Huh? Where's Hanako? response:	The runners are starting their second lap!
context: one.\Go, Kansei University!\Go!\Finish the first five kilometers in 3:10 each.\After that, use your own judgment.\Just two laps of this makes me feel faint.\Huh? Where's Hanako?\The runners are starting their second lap! response:	Is everyone ready?
context: Go, Kansei University!\Go!\Finish the first five kilometers in 3:10 each.\After that, use your own judgment.\Just two laps of this makes me feel faint.\Huh? Where's Hanako?\The runners are starting their second lap!\Is everyone ready? response:	Sorry. Excuse me. Sorry.
context: Go!\Finish the first five kilometers in 3:10 each.\After that, use your own judgment.\Just two laps of this makes me feel faint.\Huh? Where's Hanako?\The runners are starting their second lap!\Is everyone ready?\Sorry. Excuse me. Sorry. response:	The lead pack's pace is 2:49!
context: Finish the first five kilometers in 3:10 each.\After that, use your own judgment.\Just two laps of this makes me feel faint.\Huh? Where's Hanako?\The runners are starting their second lap!\Is everyone ready?\Sorry. Excuse me. Sorry.\The lead pack's pace is 2:49! response:	The lead pack's pace is 2:49!
context: After that, use your own judgment.\Just two laps of this makes me feel faint.\Huh? Where's Hanako?\The runners are starting their second lap!\Is everyone ready?\Sorry. Excuse me. Sorry.\The lead pack's pace is 2:49!\The lead pack's pace is 2:49! response:	Don't let them drag you ahead!
context: Just two laps of this makes me feel faint.\Huh? Where's Hanako?\The runners are starting their second lap!\Is everyone ready?\Sorry. Excuse me. Sorry.\The lead pack's pace is 2:49!\The lead pack's pace is 2:49!\Don't let them drag you ahead! response:	Please don't lose...
context: Huh? Where's Hanako?\The runners are starting their second lap!\Is everyone ready?\Sorry. Excuse me. Sorry.\The lead pack's pace is 2:49!\The lead pack's pace is 2:49!\Don't let them drag you ahead!\Please don't lose... response:	Go.
context: The runners are starting their second lap!\Is everyone ready?\Sorry. Excuse me. Sorry.\The lead pack's pace is 2:49!\The lead pack's pace is 2:49!\Don't let them drag you ahead!\Please don't lose...\Go. response:	They're coming!
context: Is everyone ready?\Sorry. Excuse me. Sorry.\The lead pack's pace is 2:49!\The lead pack's pace is 2:49!\Don't let them drag you ahead!\Please don't lose...\Go.\They're coming! response:	The second lap is ending!
context: Sorry. Excuse me. Sorry.\The lead pack's pace is 2:49!\The lead pack's pace is 2:49!\Don't let them drag you ahead!\Please don't lose...\Go.\They're coming!\The second lap is ending! response:	Haiji!
context: The lead pack's pace is 2:49!\The lead pack's pace is 2:49!\Don't let them drag you ahead!\Please don't lose...\Go.\They're coming!\The second lap is ending!\Haiji! response:	Next time: Dreams and Reality
context: The lead pack's pace is 2:49!\Don't let them drag you ahead!\Please don't lose...\Go.\They're coming!\The second lap is ending!\Haiji!\Next time: Dreams and Reality response:	Next time: Dreams and Reality.”
