context: Surrounded by Zentradi forces, response:	the Macross launches a desperate Daedalus Attack on Britai's ship
context: this is all because he looks like someone I was once in love with.\But he hates me because I'm a soldier.\I even started to doubt the military's way of doing things.\Finding someone so opposed to war was such a shock.\It was probably like what those defectors felt when they found out about our peaceful lifestyle.\When I realized that their arrival may have given us a way to end this war, I suddenly...\just lost interest in him.\So that's how it goes. response:	Is that strange of me? Anyway, Kaifun has his parents
context: But he hates me because I'm a soldier.\I even started to doubt the military's way of doing things.\Finding someone so opposed to war was such a shock.\It was probably like what those defectors felt when they found out about our peaceful lifestyle.\When I realized that their arrival may have given us a way to end this war, I suddenly...\just lost interest in him.\So that's how it goes.\Is that strange of me? Anyway, Kaifun has his parents response:	and Minmay, too.
context: I even started to doubt the military's way of doing things.\Finding someone so opposed to war was such a shock.\It was probably like what those defectors felt when they found out about our peaceful lifestyle.\When I realized that their arrival may have given us a way to end this war, I suddenly...\just lost interest in him.\So that's how it goes.\Is that strange of me? Anyway, Kaifun has his parents\and Minmay, too. response:	Haven't you even told her how you feel?
context: Finding someone so opposed to war was such a shock.\It was probably like what those defectors felt when they found out about our peaceful lifestyle.\When I realized that their arrival may have given us a way to end this war, I suddenly...\just lost interest in him.\So that's how it goes.\Is that strange of me? Anyway, Kaifun has his parents\and Minmay, too.\Haven't you even told her how you feel? response:	That doesn't matter, does it?
context: It was probably like what those defectors felt when they found out about our peaceful lifestyle.\When I realized that their arrival may have given us a way to end this war, I suddenly...\just lost interest in him.\So that's how it goes.\Is that strange of me? Anyway, Kaifun has his parents\and Minmay, too.\Haven't you even told her how you feel?\That doesn't matter, does it? response:	You still haven't, have you?
context: When I realized that their arrival may have given us a way to end this war, I suddenly...\just lost interest in him.\So that's how it goes.\Is that strange of me? Anyway, Kaifun has his parents\and Minmay, too.\Haven't you even told her how you feel?\That doesn't matter, does it?\You still haven't, have you? response:	You can't expect her to know how you feel if you don't tell her!
context: just lost interest in him.\So that's how it goes.\Is that strange of me? Anyway, Kaifun has his parents\and Minmay, too.\Haven't you even told her how you feel?\That doesn't matter, does it?\You still haven't, have you?\You can't expect her to know how you feel if you don't tell her! response:	Do you want Kaifun to take her away from you?
context: So that's how it goes.\Is that strange of me? Anyway, Kaifun has his parents\and Minmay, too.\Haven't you even told her how you feel?\That doesn't matter, does it?\You still haven't, have you?\You can't expect her to know how you feel if you don't tell her!\Do you want Kaifun to take her away from you? response:	If you don't tell her, you'll regret it later!
context: Is that strange of me? Anyway, Kaifun has his parents\and Minmay, too.\Haven't you even told her how you feel?\That doesn't matter, does it?\You still haven't, have you?\You can't expect her to know how you feel if you don't tell her!\Do you want Kaifun to take her away from you?\If you don't tell her, you'll regret it later! response:	Oh, I'm sorry. I didn't mean to lecture you like that.
context: and Minmay, too.\Haven't you even told her how you feel?\That doesn't matter, does it?\You still haven't, have you?\You can't expect her to know how you feel if you don't tell her!\Do you want Kaifun to take her away from you?\If you don't tell her, you'll regret it later!\Oh, I'm sorry. I didn't mean to lecture you like that. response:	When I see you, I just...
context: Haven't you even told her how you feel?\That doesn't matter, does it?\You still haven't, have you?\You can't expect her to know how you feel if you don't tell her!\Do you want Kaifun to take her away from you?\If you don't tell her, you'll regret it later!\Oh, I'm sorry. I didn't mean to lecture you like that.\When I see you, I just... response:	Lieutenant Ichijo, you go on ahead!
context: That doesn't matter, does it?\You still haven't, have you?\You can't expect her to know how you feel if you don't tell her!\Do you want Kaifun to take her away from you?\If you don't tell her, you'll regret it later!\Oh, I'm sorry. I didn't mean to lecture you like that.\When I see you, I just...\Lieutenant Ichijo, you go on ahead! response:	I'll find someone to watch the restaurant!
context: You still haven't, have you?\You can't expect her to know how you feel if you don't tell her!\Do you want Kaifun to take her away from you?\If you don't tell her, you'll regret it later!\Oh, I'm sorry. I didn't mean to lecture you like that.\When I see you, I just...\Lieutenant Ichijo, you go on ahead!\I'll find someone to watch the restaurant! response:	Roger!
context: You can't expect her to know how you feel if you don't tell her!\Do you want Kaifun to take her away from you?\If you don't tell her, you'll regret it later!\Oh, I'm sorry. I didn't mean to lecture you like that.\When I see you, I just...\Lieutenant Ichijo, you go on ahead!\I'll find someone to watch the restaurant!\Roger! response:	Skull Squadron, launch!
context: Do you want Kaifun to take her away from you?\If you don't tell her, you'll regret it later!\Oh, I'm sorry. I didn't mean to lecture you like that.\When I see you, I just...\Lieutenant Ichijo, you go on ahead!\I'll find someone to watch the restaurant!\Roger!\Skull Squadron, launch! response:	Spartan Company, stand by at blocks 4 and 8!
context: If you don't tell her, you'll regret it later!\Oh, I'm sorry. I didn't mean to lecture you like that.\When I see you, I just...\Lieutenant Ichijo, you go on ahead!\I'll find someone to watch the restaurant!\Roger!\Skull Squadron, launch!\Spartan Company, stand by at blocks 4 and 8! response:	Kirkland Company, move to defend the Prometheus!
context: Oh, I'm sorry. I didn't mean to lecture you like that.\When I see you, I just...\Lieutenant Ichijo, you go on ahead!\I'll find someone to watch the restaurant!\Roger!\Skull Squadron, launch!\Spartan Company, stand by at blocks 4 and 8!\Kirkland Company, move to defend the Prometheus! response:	Captain, hurry up and switch with me, please!
context: When I see you, I just...\Lieutenant Ichijo, you go on ahead!\I'll find someone to watch the restaurant!\Roger!\Skull Squadron, launch!\Spartan Company, stand by at blocks 4 and 8!\Kirkland Company, move to defend the Prometheus!\Captain, hurry up and switch with me, please! response:	Sorry I'm late.
context: Lieutenant Ichijo, you go on ahead!\I'll find someone to watch the restaurant!\Roger!\Skull Squadron, launch!\Spartan Company, stand by at blocks 4 and 8!\Kirkland Company, move to defend the Prometheus!\Captain, hurry up and switch with me, please!\Sorry I'm late. response:	I got caught up in traffic. What are we up against?
context: I'll find someone to watch the restaurant!\Roger!\Skull Squadron, launch!\Spartan Company, stand by at blocks 4 and 8!\Kirkland Company, move to defend the Prometheus!\Captain, hurry up and switch with me, please!\Sorry I'm late.\I got caught up in traffic. What are we up against? response:	A small force. I think they could be stragglers.
context: Roger!\Skull Squadron, launch!\Spartan Company, stand by at blocks 4 and 8!\Kirkland Company, move to defend the Prometheus!\Captain, hurry up and switch with me, please!\Sorry I'm late.\I got caught up in traffic. What are we up against?\A small force. I think they could be stragglers. response:	Where were they hiding all this time?
context: Skull Squadron, launch!\Spartan Company, stand by at blocks 4 and 8!\Kirkland Company, move to defend the Prometheus!\Captain, hurry up and switch with me, please!\Sorry I'm late.\I got caught up in traffic. What are we up against?\A small force. I think they could be stragglers.\Where were they hiding all this time? response:	We may have finally found the answer,
context: Spartan Company, stand by at blocks 4 and 8!\Kirkland Company, move to defend the Prometheus!\Captain, hurry up and switch with me, please!\Sorry I'm late.\I got caught up in traffic. What are we up against?\A small force. I think they could be stragglers.\Where were they hiding all this time?\We may have finally found the answer, response:	but now we have to fight again.
context: Kirkland Company, move to defend the Prometheus!\Captain, hurry up and switch with me, please!\Sorry I'm late.\I got caught up in traffic. What are we up against?\A small force. I think they could be stragglers.\Where were they hiding all this time?\We may have finally found the answer,\but now we have to fight again. response:	Skull Leader!
context: Captain, hurry up and switch with me, please!\Sorry I'm late.\I got caught up in traffic. What are we up against?\A small force. I think they could be stragglers.\Where were they hiding all this time?\We may have finally found the answer,\but now we have to fight again.\Skull Leader! response:	Don't push yourself out there.
context: Sorry I'm late.\I got caught up in traffic. What are we up against?\A small force. I think they could be stragglers.\Where were they hiding all this time?\We may have finally found the answer,\but now we have to fight again.\Skull Leader!\Don't push yourself out there. response:	Roger.
context: I got caught up in traffic. What are we up against?\A small force. I think they could be stragglers.\Where were they hiding all this time?\We may have finally found the answer,\but now we have to fight again.\Skull Leader!\Don't push yourself out there.\Roger. response:	You sure are polite today.
context: A small force. I think they could be stragglers.\Where were they hiding all this time?\We may have finally found the answer,\but now we have to fight again.\Skull Leader!\Don't push yourself out there.\Roger.\You sure are polite today. response:	Is that so?
context: Where were they hiding all this time?\We may have finally found the answer,\but now we have to fight again.\Skull Leader!\Don't push yourself out there.\Roger.\You sure are polite today.\Is that so? response:	Here they come!
context: We may have finally found the answer,\but now we have to fight again.\Skull Leader!\Don't push yourself out there.\Roger.\You sure are polite today.\Is that so?\Here they come! response:	Leader!
context: but now we have to fight again.\Skull Leader!\Don't push yourself out there.\Roger.\You sure are polite today.\Is that so?\Here they come!\Leader! response:	Watch your six!
context: Skull Leader!\Don't push yourself out there.\Roger.\You sure are polite today.\Is that so?\Here they come!\Leader!\Watch your six! response:	I guess it's over.
context: Don't push yourself out there.\Roger.\You sure are polite today.\Is that so?\Here they come!\Leader!\Watch your six!\I guess it's over. response:	Capt. Hayase, please don't tell me we have any more small forces like this headed for us.
context: Roger.\You sure are polite today.\Is that so?\Here they come!\Leader!\Watch your six!\I guess it's over.\Capt. Hayase, please don't tell me we have any more small forces like this headed for us. response:	Doesn't look like it.
context: You sure are polite today.\Is that so?\Here they come!\Leader!\Watch your six!\I guess it's over.\Capt. Hayase, please don't tell me we have any more small forces like this headed for us.\Doesn't look like it. response:	How long is this going to last?
context: Is that so?\Here they come!\Leader!\Watch your six!\I guess it's over.\Capt. Hayase, please don't tell me we have any more small forces like this headed for us.\Doesn't look like it.\How long is this going to last? response:	Who can say? War is the only thing our enemies know, right?
context: Here they come!\Leader!\Watch your six!\I guess it's over.\Capt. Hayase, please don't tell me we have any more small forces like this headed for us.\Doesn't look like it.\How long is this going to last?\Who can say? War is the only thing our enemies know, right? response:	But we'll have to put an end to this someday.
context: Leader!\Watch your six!\I guess it's over.\Capt. Hayase, please don't tell me we have any more small forces like this headed for us.\Doesn't look like it.\How long is this going to last?\Who can say? War is the only thing our enemies know, right?\But we'll have to put an end to this someday. response:	Yes...
context: Watch your six!\I guess it's over.\Capt. Hayase, please don't tell me we have any more small forces like this headed for us.\Doesn't look like it.\How long is this going to last?\Who can say? War is the only thing our enemies know, right?\But we'll have to put an end to this someday.\Yes... response:	We have to end it as soon as we can.
context: I guess it's over.\Capt. Hayase, please don't tell me we have any more small forces like this headed for us.\Doesn't look like it.\How long is this going to last?\Who can say? War is the only thing our enemies know, right?\But we'll have to put an end to this someday.\Yes...\We have to end it as soon as we can. response:	Captain, please!
context: Capt. Hayase, please don't tell me we have any more small forces like this headed for us.\Doesn't look like it.\How long is this going to last?\Who can say? War is the only thing our enemies know, right?\But we'll have to put an end to this someday.\Yes...\We have to end it as soon as we can.\Captain, please! response:	Please allow me to go to High Command!
context: Doesn't look like it.\How long is this going to last?\Who can say? War is the only thing our enemies know, right?\But we'll have to put an end to this someday.\Yes...\We have to end it as soon as we can.\Captain, please!\Please allow me to go to High Command! response:	Let me explain the situation regarding our defectors!
context: How long is this going to last?\Who can say? War is the only thing our enemies know, right?\But we'll have to put an end to this someday.\Yes...\We have to end it as soon as we can.\Captain, please!\Please allow me to go to High Command!\Let me explain the situation regarding our defectors! response:	Explain? That's all?
context: Who can say? War is the only thing our enemies know, right?\But we'll have to put an end to this someday.\Yes...\We have to end it as soon as we can.\Captain, please!\Please allow me to go to High Command!\Let me explain the situation regarding our defectors!\Explain? That's all? response:	I'll do my absolute best to make them understand.
context: But we'll have to put an end to this someday.\Yes...\We have to end it as soon as we can.\Captain, please!\Please allow me to go to High Command!\Let me explain the situation regarding our defectors!\Explain? That's all?\I'll do my absolute best to make them understand. response:	I may even be able to rely on my father for help.
context: Yes...\We have to end it as soon as we can.\Captain, please!\Please allow me to go to High Command!\Let me explain the situation regarding our defectors!\Explain? That's all?\I'll do my absolute best to make them understand.\I may even be able to rely on my father for help. response:	And you can do this without taking those three along?
context: We have to end it as soon as we can.\Captain, please!\Please allow me to go to High Command!\Let me explain the situation regarding our defectors!\Explain? That's all?\I'll do my absolute best to make them understand.\I may even be able to rely on my father for help.\And you can do this without taking those three along? response:	Yes, I'll go alone first, then send for them once I've explained things.
context: Captain, please!\Please allow me to go to High Command!\Let me explain the situation regarding our defectors!\Explain? That's all?\I'll do my absolute best to make them understand.\I may even be able to rely on my father for help.\And you can do this without taking those three along?\Yes, I'll go alone first, then send for them once I've explained things. response:	If I just take them along with me, who knows what could happen?
context: Please allow me to go to High Command!\Let me explain the situation regarding our defectors!\Explain? That's all?\I'll do my absolute best to make them understand.\I may even be able to rely on my father for help.\And you can do this without taking those three along?\Yes, I'll go alone first, then send for them once I've explained things.\If I just take them along with me, who knows what could happen? response:	I see.
context: Let me explain the situation regarding our defectors!\Explain? That's all?\I'll do my absolute best to make them understand.\I may even be able to rely on my father for help.\And you can do this without taking those three along?\Yes, I'll go alone first, then send for them once I've explained things.\If I just take them along with me, who knows what could happen?\I see. response:	Please let me do this.
context: Explain? That's all?\I'll do my absolute best to make them understand.\I may even be able to rely on my father for help.\And you can do this without taking those three along?\Yes, I'll go alone first, then send for them once I've explained things.\If I just take them along with me, who knows what could happen?\I see.\Please let me do this. response:	Please, Captain!
context: I'll do my absolute best to make them understand.\I may even be able to rely on my father for help.\And you can do this without taking those three along?\Yes, I'll go alone first, then send for them once I've explained things.\If I just take them along with me, who knows what could happen?\I see.\Please let me do this.\Please, Captain! response:	Very well, I will leave this to you.
context: I may even be able to rely on my father for help.\And you can do this without taking those three along?\Yes, I'll go alone first, then send for them once I've explained things.\If I just take them along with me, who knows what could happen?\I see.\Please let me do this.\Please, Captain!\Very well, I will leave this to you. response:	We'll ready a shuttle at once.
context: And you can do this without taking those three along?\Yes, I'll go alone first, then send for them once I've explained things.\If I just take them along with me, who knows what could happen?\I see.\Please let me do this.\Please, Captain!\Very well, I will leave this to you.\We'll ready a shuttle at once. response:	You may leave when ready.
context: Yes, I'll go alone first, then send for them once I've explained things.\If I just take them along with me, who knows what could happen?\I see.\Please let me do this.\Please, Captain!\Very well, I will leave this to you.\We'll ready a shuttle at once.\You may leave when ready. response:	Then I'll prepare to leave at once.
context: If I just take them along with me, who knows what could happen?\I see.\Please let me do this.\Please, Captain!\Very well, I will leave this to you.\We'll ready a shuttle at once.\You may leave when ready.\Then I'll prepare to leave at once. response:	Next Episode
context: I see.\Please let me do this.\Please, Captain!\Very well, I will leave this to you.\We'll ready a shuttle at once.\You may leave when ready.\Then I'll prepare to leave at once.\Next Episode response:	Preview
context: Please let me do this.\Please, Captain!\Very well, I will leave this to you.\We'll ready a shuttle at once.\You may leave when ready.\Then I'll prepare to leave at once.\Next Episode\Preview response:	Misa's shuttle heads for Earth,
context: Please, Captain!\Very well, I will leave this to you.\We'll ready a shuttle at once.\You may leave when ready.\Then I'll prepare to leave at once.\Next Episode\Preview\Misa's shuttle heads for Earth, response:	where she will plead her case to the heads of the UN Forces High Command.
context: Very well, I will leave this to you.\We'll ready a shuttle at once.\You may leave when ready.\Then I'll prepare to leave at once.\Next Episode\Preview\Misa's shuttle heads for Earth,\where she will plead her case to the heads of the UN Forces High Command. response:	But once separated from the Macross, the shuttle is attacked by Kamujin's forces.
context: We'll ready a shuttle at once.\You may leave when ready.\Then I'll prepare to leave at once.\Next Episode\Preview\Misa's shuttle heads for Earth,\where she will plead her case to the heads of the UN Forces High Command.\But once separated from the Macross, the shuttle is attacked by Kamujin's forces. response:	Hikaru and Max race out in their Valkyries to rescue her.
context: You may leave when ready.\Then I'll prepare to leave at once.\Next Episode\Preview\Misa's shuttle heads for Earth,\where she will plead her case to the heads of the UN Forces High Command.\But once separated from the Macross, the shuttle is attacked by Kamujin's forces.\Hikaru and Max race out in their Valkyries to rescue her. response:	GOODBYE GIRL
context: Then I'll prepare to leave at once.\Next Episode\Preview\Misa's shuttle heads for Earth,\where she will plead her case to the heads of the UN Forces High Command.\But once separated from the Macross, the shuttle is attacked by Kamujin's forces.\Hikaru and Max race out in their Valkyries to rescue her.\GOODBYE GIRL response:	Piercing through the Macro sky,
context: Next Episode\Preview\Misa's shuttle heads for Earth,\where she will plead her case to the heads of the UN Forces High Command.\But once separated from the Macross, the shuttle is attacked by Kamujin's forces.\Hikaru and Max race out in their Valkyries to rescue her.\GOODBYE GIRL\Piercing through the Macro sky, response:	A thunderbolt strikes the Earth
context: Preview\Misa's shuttle heads for Earth,\where she will plead her case to the heads of the UN Forces High Command.\But once separated from the Macross, the shuttle is attacked by Kamujin's forces.\Hikaru and Max race out in their Valkyries to rescue her.\GOODBYE GIRL\Piercing through the Macro sky,\A thunderbolt strikes the Earth response:	To awaken us, the young mankind
context: Misa's shuttle heads for Earth,\where she will plead her case to the heads of the UN Forces High Command.\But once separated from the Macross, the shuttle is attacked by Kamujin's forces.\Hikaru and Max race out in their Valkyries to rescue her.\GOODBYE GIRL\Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind response:	The Light struck.
context: where she will plead her case to the heads of the UN Forces High Command.\But once separated from the Macross, the shuttle is attacked by Kamujin's forces.\Hikaru and Max race out in their Valkyries to rescue her.\GOODBYE GIRL\Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck. response:	Macross! Macross!
context: But once separated from the Macross, the shuttle is attacked by Kamujin's forces.\Hikaru and Max race out in their Valkyries to rescue her.\GOODBYE GIRL\Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross! response:	The brave youths who arise
context: Hikaru and Max race out in their Valkyries to rescue her.\GOODBYE GIRL\Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise response:	And fight to protect their loved ones
context: GOODBYE GIRL\Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones response:	Will set out on their journey As the war rages on.
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on. response:	Will you love me tomorrow?
context: A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow? response:	Slicing through the darkness they fly toward
context: To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward response:	That blue planet that shines in the distance
context: The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross! response:	I won't follow it anymore
context: And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\I won't follow it anymore response:	The shadow you cast as you run away
context: Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\I won't follow it anymore\The shadow you cast as you run away response:	We all keep running to the end
context: Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\I won't follow it anymore\The shadow you cast as you run away\We all keep running to the end response:	But we still can't see the goal
context: Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\I won't follow it anymore\The shadow you cast as you run away\We all keep running to the end\But we still can't see the goal response:	What awaits us after today?
context: That blue planet that shines in the distance\Macross! Macross!\Macross!\I won't follow it anymore\The shadow you cast as you run away\We all keep running to the end\But we still can't see the goal\What awaits us after today? response:	What awaits us beyond tomorrow?
context: Macross! Macross!\Macross!\I won't follow it anymore\The shadow you cast as you run away\We all keep running to the end\But we still can't see the goal\What awaits us after today?\What awaits us beyond tomorrow? response:	Even now, I keep running toward
context: Macross!\I won't follow it anymore\The shadow you cast as you run away\We all keep running to the end\But we still can't see the goal\What awaits us after today?\What awaits us beyond tomorrow?\Even now, I keep running toward response:	The light that shines so far away
context: I won't follow it anymore\The shadow you cast as you run away\We all keep running to the end\But we still can't see the goal\What awaits us after today?\What awaits us beyond tomorrow?\Even now, I keep running toward\The light that shines so far away response:	GOODBYE GIRL
