context: The number one hero, All Might. response:	Age unknown, Quirk unidentified.
context: Eat this.\I swallowed the hair, but did I really receive his power...?\Outta my way, Deku!\Kacchan!\Don't stand in front of me. I'll kill you.\M-Morning!\L-Let's both do our best...!\Hey, isn't that Bakugou? The one with the sludge villain? response:	Oh, he's the real thing!
context: I swallowed the hair, but did I really receive his power...?\Outta my way, Deku!\Kacchan!\Don't stand in front of me. I'll kill you.\M-Morning!\L-Let's both do our best...!\Hey, isn't that Bakugou? The one with the sludge villain?\Oh, he's the real thing! response:	Ever since that day, Kacchan didn't do anything to me.
context: Outta my way, Deku!\Kacchan!\Don't stand in front of me. I'll kill you.\M-Morning!\L-Let's both do our best...!\Hey, isn't that Bakugou? The one with the sludge villain?\Oh, he's the real thing!\Ever since that day, Kacchan didn't do anything to me. response:	I was just scared of him out of habit!
context: Kacchan!\Don't stand in front of me. I'll kill you.\M-Morning!\L-Let's both do our best...!\Hey, isn't that Bakugou? The one with the sludge villain?\Oh, he's the real thing!\Ever since that day, Kacchan didn't do anything to me.\I was just scared of him out of habit! response:	I'm different from before!
context: Don't stand in front of me. I'll kill you.\M-Morning!\L-Let's both do our best...!\Hey, isn't that Bakugou? The one with the sludge villain?\Oh, he's the real thing!\Ever since that day, Kacchan didn't do anything to me.\I was just scared of him out of habit!\I'm different from before! response:	Remember these past ten months!
context: M-Morning!\L-Let's both do our best...!\Hey, isn't that Bakugou? The one with the sludge villain?\Oh, he's the real thing!\Ever since that day, Kacchan didn't do anything to me.\I was just scared of him out of habit!\I'm different from before!\Remember these past ten months! response:	Take the first step...
context: L-Let's both do our best...!\Hey, isn't that Bakugou? The one with the sludge villain?\Oh, he's the real thing!\Ever since that day, Kacchan didn't do anything to me.\I was just scared of him out of habit!\I'm different from before!\Remember these past ten months!\Take the first step... response:	This is it!
context: Hey, isn't that Bakugou? The one with the sludge villain?\Oh, he's the real thing!\Ever since that day, Kacchan didn't do anything to me.\I was just scared of him out of habit!\I'm different from before!\Remember these past ten months!\Take the first step...\This is it! response:	Are you all right?
context: Oh, he's the real thing!\Ever since that day, Kacchan didn't do anything to me.\I was just scared of him out of habit!\I'm different from before!\Remember these past ten months!\Take the first step...\This is it!\Are you all right? response:	It's my Quirk. Sorry for using it without asking first.
context: Ever since that day, Kacchan didn't do anything to me.\I was just scared of him out of habit!\I'm different from before!\Remember these past ten months!\Take the first step...\This is it!\Are you all right?\It's my Quirk. Sorry for using it without asking first. response:	But it'd be bad luck if you fell, right?
context: I was just scared of him out of habit!\I'm different from before!\Remember these past ten months!\Take the first step...\This is it!\Are you all right?\It's my Quirk. Sorry for using it without asking first.\But it'd be bad luck if you fell, right? response:	Aren't you nervous?
context: I'm different from before!\Remember these past ten months!\Take the first step...\This is it!\Are you all right?\It's my Quirk. Sorry for using it without asking first.\But it'd be bad luck if you fell, right?\Aren't you nervous? response:	Ah... Uh...
context: Remember these past ten months!\Take the first step...\This is it!\Are you all right?\It's my Quirk. Sorry for using it without asking first.\But it'd be bad luck if you fell, right?\Aren't you nervous?\Ah... Uh... response:	Let's do our best. See ya!
context: Take the first step...\This is it!\Are you all right?\It's my Quirk. Sorry for using it without asking first.\But it'd be bad luck if you fell, right?\Aren't you nervous?\Ah... Uh...\Let's do our best. See ya! response:	I talked to a girl!
context: This is it!\Are you all right?\It's my Quirk. Sorry for using it without asking first.\But it'd be bad luck if you fell, right?\Aren't you nervous?\Ah... Uh...\Let's do our best. See ya!\I talked to a girl! response:	For all you examinee listeners tuning in...
context: Are you all right?\It's my Quirk. Sorry for using it without asking first.\But it'd be bad luck if you fell, right?\Aren't you nervous?\Ah... Uh...\Let's do our best. See ya!\I talked to a girl!\For all you examinee listeners tuning in... response:	Everybody say hey!
context: It's my Quirk. Sorry for using it without asking first.\But it'd be bad luck if you fell, right?\Aren't you nervous?\Ah... Uh...\Let's do our best. See ya!\I talked to a girl!\For all you examinee listeners tuning in...\Everybody say hey! response:	What a refined response.
context: But it'd be bad luck if you fell, right?\Aren't you nervous?\Ah... Uh...\Let's do our best. See ya!\I talked to a girl!\For all you examinee listeners tuning in...\Everybody say hey!\What a refined response. response:	Then I'll quickly present to you the rundown on the practical exam!
context: Aren't you nervous?\Ah... Uh...\Let's do our best. See ya!\I talked to a girl!\For all you examinee listeners tuning in...\Everybody say hey!\What a refined response.\Then I'll quickly present to you the rundown on the practical exam! response:	Are you ready?
context: Ah... Uh...\Let's do our best. See ya!\I talked to a girl!\For all you examinee listeners tuning in...\Everybody say hey!\What a refined response.\Then I'll quickly present to you the rundown on the practical exam!\Are you ready? response:	Yeah!
context: Let's do our best. See ya!\I talked to a girl!\For all you examinee listeners tuning in...\Everybody say hey!\What a refined response.\Then I'll quickly present to you the rundown on the practical exam!\Are you ready?\Yeah! response:	It's the Voice Hero, Present Mic! Wow...!
context: I talked to a girl!\For all you examinee listeners tuning in...\Everybody say hey!\What a refined response.\Then I'll quickly present to you the rundown on the practical exam!\Are you ready?\Yeah!\It's the Voice Hero, Present Mic! Wow...! response:	I listen to him every week on the radio.
context: For all you examinee listeners tuning in...\Everybody say hey!\What a refined response.\Then I'll quickly present to you the rundown on the practical exam!\Are you ready?\Yeah!\It's the Voice Hero, Present Mic! Wow...!\I listen to him every week on the radio. response:	I'm so moved!
context: Everybody say hey!\What a refined response.\Then I'll quickly present to you the rundown on the practical exam!\Are you ready?\Yeah!\It's the Voice Hero, Present Mic! Wow...!\I listen to him every week on the radio.\I'm so moved! response:	All the teachers at U.A. are pro heroes!
context: What a refined response.\Then I'll quickly present to you the rundown on the practical exam!\Are you ready?\Yeah!\It's the Voice Hero, Present Mic! Wow...!\I listen to him every week on the radio.\I'm so moved!\All the teachers at U.A. are pro heroes! response:	Shut up.
context: Then I'll quickly present to you the rundown on the practical exam!\Are you ready?\Yeah!\It's the Voice Hero, Present Mic! Wow...!\I listen to him every week on the radio.\I'm so moved!\All the teachers at U.A. are pro heroes!\Shut up. response:	As it says in the application requirements, you listeners will be conducting ten-minute mock urban battles after this!
context: Are you ready?\Yeah!\It's the Voice Hero, Present Mic! Wow...!\I listen to him every week on the radio.\I'm so moved!\All the teachers at U.A. are pro heroes!\Shut up.\As it says in the application requirements, you listeners will be conducting ten-minute mock urban battles after this! response:	You can bring whatever you want with you.
context: Yeah!\It's the Voice Hero, Present Mic! Wow...!\I listen to him every week on the radio.\I'm so moved!\All the teachers at U.A. are pro heroes!\Shut up.\As it says in the application requirements, you listeners will be conducting ten-minute mock urban battles after this!\You can bring whatever you want with you. response:	After the presentation, you'll head to the specified battle center, okay?
context: It's the Voice Hero, Present Mic! Wow...!\I listen to him every week on the radio.\I'm so moved!\All the teachers at U.A. are pro heroes!\Shut up.\As it says in the application requirements, you listeners will be conducting ten-minute mock urban battles after this!\You can bring whatever you want with you.\After the presentation, you'll head to the specified battle center, okay? response:	Okay?!
context: I listen to him every week on the radio.\I'm so moved!\All the teachers at U.A. are pro heroes!\Shut up.\As it says in the application requirements, you listeners will be conducting ten-minute mock urban battles after this!\You can bring whatever you want with you.\After the presentation, you'll head to the specified battle center, okay?\Okay?! response:	In other words, they won't let you work with your friends, huh?
context: I'm so moved!\All the teachers at U.A. are pro heroes!\Shut up.\As it says in the application requirements, you listeners will be conducting ten-minute mock urban battles after this!\You can bring whatever you want with you.\After the presentation, you'll head to the specified battle center, okay?\Okay?!\In other words, they won't let you work with your friends, huh? response:	Y-You're right.
context: All the teachers at U.A. are pro heroes!\Shut up.\As it says in the application requirements, you listeners will be conducting ten-minute mock urban battles after this!\You can bring whatever you want with you.\After the presentation, you'll head to the specified battle center, okay?\Okay?!\In other words, they won't let you work with your friends, huh?\Y-You're right. response:	Even though our examinee numbers are consecutive,
context: Shut up.\As it says in the application requirements, you listeners will be conducting ten-minute mock urban battles after this!\You can bring whatever you want with you.\After the presentation, you'll head to the specified battle center, okay?\Okay?!\In other words, they won't let you work with your friends, huh?\Y-You're right.\Even though our examinee numbers are consecutive, response:	we're assigned to different battle centers.
context: As it says in the application requirements, you listeners will be conducting ten-minute mock urban battles after this!\You can bring whatever you want with you.\After the presentation, you'll head to the specified battle center, okay?\Okay?!\In other words, they won't let you work with your friends, huh?\Y-You're right.\Even though our examinee numbers are consecutive,\we're assigned to different battle centers. response:	Don't look. I'll kill you.
context: You can bring whatever you want with you.\After the presentation, you'll head to the specified battle center, okay?\Okay?!\In other words, they won't let you work with your friends, huh?\Y-You're right.\Even though our examinee numbers are consecutive,\we're assigned to different battle centers.\Don't look. I'll kill you. response:	Damn, now I can't crush you.
context: After the presentation, you'll head to the specified battle center, okay?\Okay?!\In other words, they won't let you work with your friends, huh?\Y-You're right.\Even though our examinee numbers are consecutive,\we're assigned to different battle centers.\Don't look. I'll kill you.\Damn, now I can't crush you. response:	Three different types of faux villains are stationed in each battle center.
context: Okay?!\In other words, they won't let you work with your friends, huh?\Y-You're right.\Even though our examinee numbers are consecutive,\we're assigned to different battle centers.\Don't look. I'll kill you.\Damn, now I can't crush you.\Three different types of faux villains are stationed in each battle center. response:	You earn points for each of them based on their level of difficulty.
context: In other words, they won't let you work with your friends, huh?\Y-You're right.\Even though our examinee numbers are consecutive,\we're assigned to different battle centers.\Don't look. I'll kill you.\Damn, now I can't crush you.\Three different types of faux villains are stationed in each battle center.\You earn points for each of them based on their level of difficulty. response:	Your goal, dear listeners, is to use your Quirks to earn points by immobilizing the faux villains.
context: Y-You're right.\Even though our examinee numbers are consecutive,\we're assigned to different battle centers.\Don't look. I'll kill you.\Damn, now I can't crush you.\Three different types of faux villains are stationed in each battle center.\You earn points for each of them based on their level of difficulty.\Your goal, dear listeners, is to use your Quirks to earn points by immobilizing the faux villains. response:	Of course, attacking other examinees and any other unheroic actions are prohibited!
context: Even though our examinee numbers are consecutive,\we're assigned to different battle centers.\Don't look. I'll kill you.\Damn, now I can't crush you.\Three different types of faux villains are stationed in each battle center.\You earn points for each of them based on their level of difficulty.\Your goal, dear listeners, is to use your Quirks to earn points by immobilizing the faux villains.\Of course, attacking other examinees and any other unheroic actions are prohibited! response:	May I ask a question?
context: we're assigned to different battle centers.\Don't look. I'll kill you.\Damn, now I can't crush you.\Three different types of faux villains are stationed in each battle center.\You earn points for each of them based on their level of difficulty.\Your goal, dear listeners, is to use your Quirks to earn points by immobilizing the faux villains.\Of course, attacking other examinees and any other unheroic actions are prohibited!\May I ask a question? response:	Okay!
context: Don't look. I'll kill you.\Damn, now I can't crush you.\Three different types of faux villains are stationed in each battle center.\You earn points for each of them based on their level of difficulty.\Your goal, dear listeners, is to use your Quirks to earn points by immobilizing the faux villains.\Of course, attacking other examinees and any other unheroic actions are prohibited!\May I ask a question?\Okay! response:	On the printout, there are four types of villains.
context: Damn, now I can't crush you.\Three different types of faux villains are stationed in each battle center.\You earn points for each of them based on their level of difficulty.\Your goal, dear listeners, is to use your Quirks to earn points by immobilizing the faux villains.\Of course, attacking other examinees and any other unheroic actions are prohibited!\May I ask a question?\Okay!\On the printout, there are four types of villains. response:	If that is a misprint, then U.A., the most prominent school in Japan,
context: Three different types of faux villains are stationed in each battle center.\You earn points for each of them based on their level of difficulty.\Your goal, dear listeners, is to use your Quirks to earn points by immobilizing the faux villains.\Of course, attacking other examinees and any other unheroic actions are prohibited!\May I ask a question?\Okay!\On the printout, there are four types of villains.\If that is a misprint, then U.A., the most prominent school in Japan, response:	should be ashamed of that foolish mistake.
context: You earn points for each of them based on their level of difficulty.\Your goal, dear listeners, is to use your Quirks to earn points by immobilizing the faux villains.\Of course, attacking other examinees and any other unheroic actions are prohibited!\May I ask a question?\Okay!\On the printout, there are four types of villains.\If that is a misprint, then U.A., the most prominent school in Japan,\should be ashamed of that foolish mistake. response:	We examinees are here in this place
context: Your goal, dear listeners, is to use your Quirks to earn points by immobilizing the faux villains.\Of course, attacking other examinees and any other unheroic actions are prohibited!\May I ask a question?\Okay!\On the printout, there are four types of villains.\If that is a misprint, then U.A., the most prominent school in Japan,\should be ashamed of that foolish mistake.\We examinees are here in this place response:	because we wish to be molded into exemplary heroes.
context: Of course, attacking other examinees and any other unheroic actions are prohibited!\May I ask a question?\Okay!\On the printout, there are four types of villains.\If that is a misprint, then U.A., the most prominent school in Japan,\should be ashamed of that foolish mistake.\We examinees are here in this place\because we wish to be molded into exemplary heroes. response:	In addition, you over there with the curly hair
context: May I ask a question?\Okay!\On the printout, there are four types of villains.\If that is a misprint, then U.A., the most prominent school in Japan,\should be ashamed of that foolish mistake.\We examinees are here in this place\because we wish to be molded into exemplary heroes.\In addition, you over there with the curly hair response:	You've been muttering this whole time.
context: Okay!\On the printout, there are four types of villains.\If that is a misprint, then U.A., the most prominent school in Japan,\should be ashamed of that foolish mistake.\We examinees are here in this place\because we wish to be molded into exemplary heroes.\In addition, you over there with the curly hair\You've been muttering this whole time. response:	It's distracting!
context: On the printout, there are four types of villains.\If that is a misprint, then U.A., the most prominent school in Japan,\should be ashamed of that foolish mistake.\We examinees are here in this place\because we wish to be molded into exemplary heroes.\In addition, you over there with the curly hair\You've been muttering this whole time.\It's distracting! response:	If you're here on a pleasure trip, then you should leave immediately!
context: If that is a misprint, then U.A., the most prominent school in Japan,\should be ashamed of that foolish mistake.\We examinees are here in this place\because we wish to be molded into exemplary heroes.\In addition, you over there with the curly hair\You've been muttering this whole time.\It's distracting!\If you're here on a pleasure trip, then you should leave immediately! response:	I'm sorry...
context: should be ashamed of that foolish mistake.\We examinees are here in this place\because we wish to be molded into exemplary heroes.\In addition, you over there with the curly hair\You've been muttering this whole time.\It's distracting!\If you're here on a pleasure trip, then you should leave immediately!\I'm sorry... response:	Okay, okay, Examinee Number 7111.
context: We examinees are here in this place\because we wish to be molded into exemplary heroes.\In addition, you over there with the curly hair\You've been muttering this whole time.\It's distracting!\If you're here on a pleasure trip, then you should leave immediately!\I'm sorry...\Okay, okay, Examinee Number 7111. response:	Thanks for the great message.
context: because we wish to be molded into exemplary heroes.\In addition, you over there with the curly hair\You've been muttering this whole time.\It's distracting!\If you're here on a pleasure trip, then you should leave immediately!\I'm sorry...\Okay, okay, Examinee Number 7111.\Thanks for the great message. response:	The fourth type of villain is worth zero points.
context: In addition, you over there with the curly hair\You've been muttering this whole time.\It's distracting!\If you're here on a pleasure trip, then you should leave immediately!\I'm sorry...\Okay, okay, Examinee Number 7111.\Thanks for the great message.\The fourth type of villain is worth zero points. response:	That guy's an obstacle, so to speak.
context: You've been muttering this whole time.\It's distracting!\If you're here on a pleasure trip, then you should leave immediately!\I'm sorry...\Okay, okay, Examinee Number 7111.\Thanks for the great message.\The fourth type of villain is worth zero points.\That guy's an obstacle, so to speak. response:	There's one in every battle center
context: It's distracting!\If you're here on a pleasure trip, then you should leave immediately!\I'm sorry...\Okay, okay, Examinee Number 7111.\Thanks for the great message.\The fourth type of villain is worth zero points.\That guy's an obstacle, so to speak.\There's one in every battle center response:	An obstacle that will go crazy in narrow spaces.
context: If you're here on a pleasure trip, then you should leave immediately!\I'm sorry...\Okay, okay, Examinee Number 7111.\Thanks for the great message.\The fourth type of villain is worth zero points.\That guy's an obstacle, so to speak.\There's one in every battle center\An obstacle that will go crazy in narrow spaces. response:	It's not impossible to defeat, but there's no reason to defeat it, either.
context: I'm sorry...\Okay, okay, Examinee Number 7111.\Thanks for the great message.\The fourth type of villain is worth zero points.\That guy's an obstacle, so to speak.\There's one in every battle center\An obstacle that will go crazy in narrow spaces.\It's not impossible to defeat, but there's no reason to defeat it, either. response:	I recommend that you listeners try to avoid it.
context: Okay, okay, Examinee Number 7111.\Thanks for the great message.\The fourth type of villain is worth zero points.\That guy's an obstacle, so to speak.\There's one in every battle center\An obstacle that will go crazy in narrow spaces.\It's not impossible to defeat, but there's no reason to defeat it, either.\I recommend that you listeners try to avoid it. response:	Thank you very much!
context: Thanks for the great message.\The fourth type of villain is worth zero points.\That guy's an obstacle, so to speak.\There's one in every battle center\An obstacle that will go crazy in narrow spaces.\It's not impossible to defeat, but there's no reason to defeat it, either.\I recommend that you listeners try to avoid it.\Thank you very much! response:	Please excuse the interruption!
context: The fourth type of villain is worth zero points.\That guy's an obstacle, so to speak.\There's one in every battle center\An obstacle that will go crazy in narrow spaces.\It's not impossible to defeat, but there's no reason to defeat it, either.\I recommend that you listeners try to avoid it.\Thank you very much!\Please excuse the interruption! response:	I see...
context: That guy's an obstacle, so to speak.\There's one in every battle center\An obstacle that will go crazy in narrow spaces.\It's not impossible to defeat, but there's no reason to defeat it, either.\I recommend that you listeners try to avoid it.\Thank you very much!\Please excuse the interruption!\I see... response:	It's like the obstacles you avoid in videos games, huh?
context: There's one in every battle center\An obstacle that will go crazy in narrow spaces.\It's not impossible to defeat, but there's no reason to defeat it, either.\I recommend that you listeners try to avoid it.\Thank you very much!\Please excuse the interruption!\I see...\It's like the obstacles you avoid in videos games, huh? response:	The whole thing is like a video game.
context: An obstacle that will go crazy in narrow spaces.\It's not impossible to defeat, but there's no reason to defeat it, either.\I recommend that you listeners try to avoid it.\Thank you very much!\Please excuse the interruption!\I see...\It's like the obstacles you avoid in videos games, huh?\The whole thing is like a video game. response:	That's all from me!
context: It's not impossible to defeat, but there's no reason to defeat it, either.\I recommend that you listeners try to avoid it.\Thank you very much!\Please excuse the interruption!\I see...\It's like the obstacles you avoid in videos games, huh?\The whole thing is like a video game.\That's all from me! response:	Finally, I'll give you listeners a presentour school motto!
context: I recommend that you listeners try to avoid it.\Thank you very much!\Please excuse the interruption!\I see...\It's like the obstacles you avoid in videos games, huh?\The whole thing is like a video game.\That's all from me!\Finally, I'll give you listeners a presentour school motto! response:	A true hero is someone who overcomes life's misfortunes.
context: Thank you very much!\Please excuse the interruption!\I see...\It's like the obstacles you avoid in videos games, huh?\The whole thing is like a video game.\That's all from me!\Finally, I'll give you listeners a presentour school motto!\A true hero is someone who overcomes life's misfortunes. response:	Go beyond.
context: Please excuse the interruption!\I see...\It's like the obstacles you avoid in videos games, huh?\The whole thing is like a video game.\That's all from me!\Finally, I'll give you listeners a presentour school motto!\A true hero is someone who overcomes life's misfortunes.\Go beyond. response:	Plus Ultra!
context: I see...\It's like the obstacles you avoid in videos games, huh?\The whole thing is like a video game.\That's all from me!\Finally, I'll give you listeners a presentour school motto!\A true hero is someone who overcomes life's misfortunes.\Go beyond.\Plus Ultra! response:	Now, everyone, good luck suffering!
context: It's like the obstacles you avoid in videos games, huh?\The whole thing is like a video game.\That's all from me!\Finally, I'll give you listeners a presentour school motto!\A true hero is someone who overcomes life's misfortunes.\Go beyond.\Plus Ultra!\Now, everyone, good luck suffering! response:	I-It's time to do it.
context: The whole thing is like a video game.\That's all from me!\Finally, I'll give you listeners a presentour school motto!\A true hero is someone who overcomes life's misfortunes.\Go beyond.\Plus Ultra!\Now, everyone, good luck suffering!\I-It's time to do it. response:	It's time to give everything I got from my training with All Might these past ten months.
context: That's all from me!\Finally, I'll give you listeners a presentour school motto!\A true hero is someone who overcomes life's misfortunes.\Go beyond.\Plus Ultra!\Now, everyone, good luck suffering!\I-It's time to do it.\It's time to give everything I got from my training with All Might these past ten months. response:	I will become...
context: Finally, I'll give you listeners a presentour school motto!\A true hero is someone who overcomes life's misfortunes.\Go beyond.\Plus Ultra!\Now, everyone, good luck suffering!\I-It's time to do it.\It's time to give everything I got from my training with All Might these past ten months.\I will become... response:	The entrance exam of U.A. High School,
context: A true hero is someone who overcomes life's misfortunes.\Go beyond.\Plus Ultra!\Now, everyone, good luck suffering!\I-It's time to do it.\It's time to give everything I got from my training with All Might these past ten months.\I will become...\The entrance exam of U.A. High School, response:	the famous school that turned out many pro heroes, is starting.
context: Go beyond.\Plus Ultra!\Now, everyone, good luck suffering!\I-It's time to do it.\It's time to give everything I got from my training with All Might these past ten months.\I will become...\The entrance exam of U.A. High School,\the famous school that turned out many pro heroes, is starting. response:	Leaving aside the written exam for now, will I be able to get through the practical exam
context: Plus Ultra!\Now, everyone, good luck suffering!\I-It's time to do it.\It's time to give everything I got from my training with All Might these past ten months.\I will become...\The entrance exam of U.A. High School,\the famous school that turned out many pro heroes, is starting.\Leaving aside the written exam for now, will I be able to get through the practical exam response:	with the power I only just received from All Might?
context: Now, everyone, good luck suffering!\I-It's time to do it.\It's time to give everything I got from my training with All Might these past ten months.\I will become...\The entrance exam of U.A. High School,\the famous school that turned out many pro heroes, is starting.\Leaving aside the written exam for now, will I be able to get through the practical exam\with the power I only just received from All Might? response:	Let's do our best on the entrance exam!
context: I-It's time to do it.\It's time to give everything I got from my training with All Might these past ten months.\I will become...\The entrance exam of U.A. High School,\the famous school that turned out many pro heroes, is starting.\Leaving aside the written exam for now, will I be able to get through the practical exam\with the power I only just received from All Might?\Let's do our best on the entrance exam! response:	Huh? Who are you?
context: It's time to give everything I got from my training with All Might these past ten months.\I will become...\The entrance exam of U.A. High School,\the famous school that turned out many pro heroes, is starting.\Leaving aside the written exam for now, will I be able to get through the practical exam\with the power I only just received from All Might?\Let's do our best on the entrance exam!\Huh? Who are you? response:	More importantly, I talked to a girl!
context: I will become...\The entrance exam of U.A. High School,\the famous school that turned out many pro heroes, is starting.\Leaving aside the written exam for now, will I be able to get through the practical exam\with the power I only just received from All Might?\Let's do our best on the entrance exam!\Huh? Who are you?\More importantly, I talked to a girl! response:	Next time, Start Line!
context: The entrance exam of U.A. High School,\the famous school that turned out many pro heroes, is starting.\Leaving aside the written exam for now, will I be able to get through the practical exam\with the power I only just received from All Might?\Let's do our best on the entrance exam!\Huh? Who are you?\More importantly, I talked to a girl!\Next time, Start Line! response:	I, Ochaco, will have shiny stuff come out of my mouth!
context: the famous school that turned out many pro heroes, is starting.\Leaving aside the written exam for now, will I be able to get through the practical exam\with the power I only just received from All Might?\Let's do our best on the entrance exam!\Huh? Who are you?\More importantly, I talked to a girl!\Next time, Start Line!\I, Ochaco, will have shiny stuff come out of my mouth! response:	Go beyond!
context: Leaving aside the written exam for now, will I be able to get through the practical exam\with the power I only just received from All Might?\Let's do our best on the entrance exam!\Huh? Who are you?\More importantly, I talked to a girl!\Next time, Start Line!\I, Ochaco, will have shiny stuff come out of my mouth!\Go beyond! response:	Plus Ultra!
context: with the power I only just received from All Might?\Let's do our best on the entrance exam!\Huh? Who are you?\More importantly, I talked to a girl!\Next time, Start Line!\I, Ochaco, will have shiny stuff come out of my mouth!\Go beyond!\Plus Ultra! response:	All Might's Super Popular! All Might Gum All Might Adventure
context: Let's do our best on the entrance exam!\Huh? Who are you?\More importantly, I talked to a girl!\Next time, Start Line!\I, Ochaco, will have shiny stuff come out of my mouth!\Go beyond!\Plus Ultra!\All Might's Super Popular! All Might Gum All Might Adventure response:	Textbook of Strength
context: Huh? Who are you?\More importantly, I talked to a girl!\Next time, Start Line!\I, Ochaco, will have shiny stuff come out of my mouth!\Go beyond!\Plus Ultra!\All Might's Super Popular! All Might Gum All Might Adventure\Textbook of Strength response:	All Might Curry Movie in the works! All Might Chips
context: More importantly, I talked to a girl!\Next time, Start Line!\I, Ochaco, will have shiny stuff come out of my mouth!\Go beyond!\Plus Ultra!\All Might's Super Popular! All Might Gum All Might Adventure\Textbook of Strength\All Might Curry Movie in the works! All Might Chips response:	National Police Agency Investigation: Number of Crimes Committed by Villains
context: Next time, Start Line!\I, Ochaco, will have shiny stuff come out of my mouth!\Go beyond!\Plus Ultra!\All Might's Super Popular! All Might Gum All Might Adventure\Textbook of Strength\All Might Curry Movie in the works! All Might Chips\National Police Agency Investigation: Number of Crimes Committed by Villains response:	Summary of what's known about All Might's Quirk
context: I, Ochaco, will have shiny stuff come out of my mouth!\Go beyond!\Plus Ultra!\All Might's Super Popular! All Might Gum All Might Adventure\Textbook of Strength\All Might Curry Movie in the works! All Might Chips\National Police Agency Investigation: Number of Crimes Committed by Villains\Summary of what's known about All Might's Quirk response:	mumble mumble mumble
context: Go beyond!\Plus Ultra!\All Might's Super Popular! All Might Gum All Might Adventure\Textbook of Strength\All Might Curry Movie in the works! All Might Chips\National Police Agency Investigation: Number of Crimes Committed by Villains\Summary of what's known about All Might's Quirk\mumble mumble mumble response:	Episode 3: Roaring Muscles
context: Plus Ultra!\All Might's Super Popular! All Might Gum All Might Adventure\Textbook of Strength\All Might Curry Movie in the works! All Might Chips\National Police Agency Investigation: Number of Crimes Committed by Villains\Summary of what's known about All Might's Quirk\mumble mumble mumble\Episode 3: Roaring Muscles response:	Roaring Muscles
context: All Might's Super Popular! All Might Gum All Might Adventure\Textbook of Strength\All Might Curry Movie in the works! All Might Chips\National Police Agency Investigation: Number of Crimes Committed by Villains\Summary of what's known about All Might's Quirk\mumble mumble mumble\Episode 3: Roaring Muscles\Roaring Muscles response:	Dagoba Municipal Beach Park
context: Textbook of Strength\All Might Curry Movie in the works! All Might Chips\National Police Agency Investigation: Number of Crimes Committed by Villains\Summary of what's known about All Might's Quirk\mumble mumble mumble\Episode 3: Roaring Muscles\Roaring Muscles\Dagoba Municipal Beach Park response:	Two days later Early morning
context: All Might Curry Movie in the works! All Might Chips\National Police Agency Investigation: Number of Crimes Committed by Villains\Summary of what's known about All Might's Quirk\mumble mumble mumble\Episode 3: Roaring Muscles\Roaring Muscles\Dagoba Municipal Beach Park\Two days later Early morning response:	Daily Schedule (Weekdays) 4/8 5/31 (Weekends on different sheet) Phase 1
context: National Police Agency Investigation: Number of Crimes Committed by Villains\Summary of what's known about All Might's Quirk\mumble mumble mumble\Episode 3: Roaring Muscles\Roaring Muscles\Dagoba Municipal Beach Park\Two days later Early morning\Daily Schedule (Weekdays) 4/8 5/31 (Weekends on different sheet) Phase 1 response:	Daily Schedule (Weekends) Meal Menu Set Plan
context: Summary of what's known about All Might's Quirk\mumble mumble mumble\Episode 3: Roaring Muscles\Roaring Muscles\Dagoba Municipal Beach Park\Two days later Early morning\Daily Schedule (Weekdays) 4/8 5/31 (Weekends on different sheet) Phase 1\Daily Schedule (Weekends) Meal Menu Set Plan response:	Aldera Junior High
context: mumble mumble mumble\Episode 3: Roaring Muscles\Roaring Muscles\Dagoba Municipal Beach Park\Two days later Early morning\Daily Schedule (Weekdays) 4/8 5/31 (Weekends on different sheet) Phase 1\Daily Schedule (Weekends) Meal Menu Set Plan\Aldera Junior High response:	Proposed Independent Training Menu
context: Episode 3: Roaring Muscles\Roaring Muscles\Dagoba Municipal Beach Park\Two days later Early morning\Daily Schedule (Weekdays) 4/8 5/31 (Weekends on different sheet) Phase 1\Daily Schedule (Weekends) Meal Menu Set Plan\Aldera Junior High\Proposed Independent Training Menu response:	mumble mumble mumble
context: Roaring Muscles\Dagoba Municipal Beach Park\Two days later Early morning\Daily Schedule (Weekdays) 4/8 5/31 (Weekends on different sheet) Phase 1\Daily Schedule (Weekends) Meal Menu Set Plan\Aldera Junior High\Proposed Independent Training Menu\mumble mumble mumble response:	February 26
context: Dagoba Municipal Beach Park\Two days later Early morning\Daily Schedule (Weekdays) 4/8 5/31 (Weekends on different sheet) Phase 1\Daily Schedule (Weekends) Meal Menu Set Plan\Aldera Junior High\Proposed Independent Training Menu\mumble mumble mumble\February 26 response:	8:40 a.m. The same day
context: Two days later Early morning\Daily Schedule (Weekdays) 4/8 5/31 (Weekends on different sheet) Phase 1\Daily Schedule (Weekends) Meal Menu Set Plan\Aldera Junior High\Proposed Independent Training Menu\mumble mumble mumble\February 26\8:40 a.m. The same day response:	U.A. High School Entrance Exam Location
context: Daily Schedule (Weekdays) 4/8 5/31 (Weekends on different sheet) Phase 1\Daily Schedule (Weekends) Meal Menu Set Plan\Aldera Junior High\Proposed Independent Training Menu\mumble mumble mumble\February 26\8:40 a.m. The same day\U.A. High School Entrance Exam Location response:	U.A. High School Entrance Exam Location
context: Daily Schedule (Weekends) Meal Menu Set Plan\Aldera Junior High\Proposed Independent Training Menu\mumble mumble mumble\February 26\8:40 a.m. The same day\U.A. High School Entrance Exam Location\U.A. High School Entrance Exam Location response:	Didn't actually talk
