context: Here y'go, Onii-chan! response:	It's my recommended souvenirs list! Dun da-da-dun!
context: Ebina-san will be here soon.\I still wouldn't give up!\I'm not a very serious person, you know?\But I'm pretty serious about this!\I see. Then do the best you can, until the very end.\Yeah!\You're a good guy after all, Hikitani-kun!\I am not, idiot! response:	So you can be nice, Hikki.
context: I still wouldn't give up!\I'm not a very serious person, you know?\But I'm pretty serious about this!\I see. Then do the best you can, until the very end.\Yeah!\You're a good guy after all, Hikitani-kun!\I am not, idiot!\So you can be nice, Hikki. response:	What brought that on?
context: I'm not a very serious person, you know?\But I'm pretty serious about this!\I see. Then do the best you can, until the very end.\Yeah!\You're a good guy after all, Hikitani-kun!\I am not, idiot!\So you can be nice, Hikki.\What brought that on? response:	It's nothing like that, seriously.
context: But I'm pretty serious about this!\I see. Then do the best you can, until the very end.\Yeah!\You're a good guy after all, Hikitani-kun!\I am not, idiot!\So you can be nice, Hikki.\What brought that on?\It's nothing like that, seriously. response:	At the rate it's going, Tobe will be rejected.
context: I see. Then do the best you can, until the very end.\Yeah!\You're a good guy after all, Hikitani-kun!\I am not, idiot!\So you can be nice, Hikki.\What brought that on?\It's nothing like that, seriously.\At the rate it's going, Tobe will be rejected. response:	You may be right.
context: Yeah!\You're a good guy after all, Hikitani-kun!\I am not, idiot!\So you can be nice, Hikki.\What brought that on?\It's nothing like that, seriously.\At the rate it's going, Tobe will be rejected.\You may be right. response:	Yeah...
context: You're a good guy after all, Hikitani-kun!\I am not, idiot!\So you can be nice, Hikki.\What brought that on?\It's nothing like that, seriously.\At the rate it's going, Tobe will be rejected.\You may be right.\Yeah... response:	For what it's worth, there's a way to wrap this all up neatly.
context: I am not, idiot!\So you can be nice, Hikki.\What brought that on?\It's nothing like that, seriously.\At the rate it's going, Tobe will be rejected.\You may be right.\Yeah...\For what it's worth, there's a way to wrap this all up neatly. response:	What sort of way?
context: So you can be nice, Hikki.\What brought that on?\It's nothing like that, seriously.\At the rate it's going, Tobe will be rejected.\You may be right.\Yeah...\For what it's worth, there's a way to wrap this all up neatly.\What sort of way? response:	Well, I'll leave this to you.
context: What brought that on?\It's nothing like that, seriously.\At the rate it's going, Tobe will be rejected.\You may be right.\Yeah...\For what it's worth, there's a way to wrap this all up neatly.\What sort of way?\Well, I'll leave this to you. response:	Yep!
context: It's nothing like that, seriously.\At the rate it's going, Tobe will be rejected.\You may be right.\Yeah...\For what it's worth, there's a way to wrap this all up neatly.\What sort of way?\Well, I'll leave this to you.\Yep! response:	So, um...
context: At the rate it's going, Tobe will be rejected.\You may be right.\Yeah...\For what it's worth, there's a way to wrap this all up neatly.\What sort of way?\Well, I'll leave this to you.\Yep!\So, um... response:	Yeah.
context: You may be right.\Yeah...\For what it's worth, there's a way to wrap this all up neatly.\What sort of way?\Well, I'll leave this to you.\Yep!\So, um...\Yeah. response:	For starters, there's no doubt she'll turn him down.
context: Yeah...\For what it's worth, there's a way to wrap this all up neatly.\What sort of way?\Well, I'll leave this to you.\Yep!\So, um...\Yeah.\For starters, there's no doubt she'll turn him down. response:	Tobe must be somewhat prepared for that.
context: For what it's worth, there's a way to wrap this all up neatly.\What sort of way?\Well, I'll leave this to you.\Yep!\So, um...\Yeah.\For starters, there's no doubt she'll turn him down.\Tobe must be somewhat prepared for that. response:	But the others...
context: What sort of way?\Well, I'll leave this to you.\Yep!\So, um...\Yeah.\For starters, there's no doubt she'll turn him down.\Tobe must be somewhat prepared for that.\But the others... response:	Tobe isn't the only one who values their relationships.
context: Well, I'll leave this to you.\Yep!\So, um...\Yeah.\For starters, there's no doubt she'll turn him down.\Tobe must be somewhat prepared for that.\But the others...\Tobe isn't the only one who values their relationships. response:	That's why she came to us with that request.
context: Yep!\So, um...\Yeah.\For starters, there's no doubt she'll turn him down.\Tobe must be somewhat prepared for that.\But the others...\Tobe isn't the only one who values their relationships.\That's why she came to us with that request. response:	And that's why he suffered so much.
context: So, um...\Yeah.\For starters, there's no doubt she'll turn him down.\Tobe must be somewhat prepared for that.\But the others...\Tobe isn't the only one who values their relationships.\That's why she came to us with that request.\And that's why he suffered so much. response:	He doesn't want to lose it.
context: Yeah.\For starters, there's no doubt she'll turn him down.\Tobe must be somewhat prepared for that.\But the others...\Tobe isn't the only one who values their relationships.\That's why she came to us with that request.\And that's why he suffered so much.\He doesn't want to lose it. response:	He wants to keep it in his hand.
context: For starters, there's no doubt she'll turn him down.\Tobe must be somewhat prepared for that.\But the others...\Tobe isn't the only one who values their relationships.\That's why she came to us with that request.\And that's why he suffered so much.\He doesn't want to lose it.\He wants to keep it in his hand. response:	There's one thing all three of them want.
context: Tobe must be somewhat prepared for that.\But the others...\Tobe isn't the only one who values their relationships.\That's why she came to us with that request.\And that's why he suffered so much.\He doesn't want to lose it.\He wants to keep it in his hand.\There's one thing all three of them want. response:	Listen, I...
context: But the others...\Tobe isn't the only one who values their relationships.\That's why she came to us with that request.\And that's why he suffered so much.\He doesn't want to lose it.\He wants to keep it in his hand.\There's one thing all three of them want.\Listen, I... response:	Um... Um...
context: Tobe isn't the only one who values their relationships.\That's why she came to us with that request.\And that's why he suffered so much.\He doesn't want to lose it.\He wants to keep it in his hand.\There's one thing all three of them want.\Listen, I...\Um... Um... response:	To not see Tobe get rejected,
context: That's why she came to us with that request.\And that's why he suffered so much.\He doesn't want to lose it.\He wants to keep it in his hand.\There's one thing all three of them want.\Listen, I...\Um... Um...\To not see Tobe get rejected, response:	and to keep their group close while staying good friends with Ebina-san.
context: And that's why he suffered so much.\He doesn't want to lose it.\He wants to keep it in his hand.\There's one thing all three of them want.\Listen, I...\Um... Um...\To not see Tobe get rejected,\and to keep their group close while staying good friends with Ebina-san. response:	Then there's really only one way!
context: He doesn't want to lose it.\He wants to keep it in his hand.\There's one thing all three of them want.\Listen, I...\Um... Um...\To not see Tobe get rejected,\and to keep their group close while staying good friends with Ebina-san.\Then there's really only one way! response:	L-Listen...
context: He wants to keep it in his hand.\There's one thing all three of them want.\Listen, I...\Um... Um...\To not see Tobe get rejected,\and to keep their group close while staying good friends with Ebina-san.\Then there's really only one way!\L-Listen... response:	I've liked you for a long time.
context: There's one thing all three of them want.\Listen, I...\Um... Um...\To not see Tobe get rejected,\and to keep their group close while staying good friends with Ebina-san.\Then there's really only one way!\L-Listen...\I've liked you for a long time. response:	Please go out with me.
context: Listen, I...\Um... Um...\To not see Tobe get rejected,\and to keep their group close while staying good friends with Ebina-san.\Then there's really only one way!\L-Listen...\I've liked you for a long time.\Please go out with me. response:	I'm sorry.
context: Um... Um...\To not see Tobe get rejected,\and to keep their group close while staying good friends with Ebina-san.\Then there's really only one way!\L-Listen...\I've liked you for a long time.\Please go out with me.\I'm sorry. response:	I don't intend to go out with anyone right now.
context: To not see Tobe get rejected,\and to keep their group close while staying good friends with Ebina-san.\Then there's really only one way!\L-Listen...\I've liked you for a long time.\Please go out with me.\I'm sorry.\I don't intend to go out with anyone right now. response:	No matter who tells me they like me, I won't go out with them.
context: and to keep their group close while staying good friends with Ebina-san.\Then there's really only one way!\L-Listen...\I've liked you for a long time.\Please go out with me.\I'm sorry.\I don't intend to go out with anyone right now.\No matter who tells me they like me, I won't go out with them. response:	If that's all you wanted, I'm going now.
context: Then there's really only one way!\L-Listen...\I've liked you for a long time.\Please go out with me.\I'm sorry.\I don't intend to go out with anyone right now.\No matter who tells me they like me, I won't go out with them.\If that's all you wanted, I'm going now. response:	You heard her.
context: L-Listen...\I've liked you for a long time.\Please go out with me.\I'm sorry.\I don't intend to go out with anyone right now.\No matter who tells me they like me, I won't go out with them.\If that's all you wanted, I'm going now.\You heard her. response:	Hikitani-kun, that wasn't cool, man.
context: I've liked you for a long time.\Please go out with me.\I'm sorry.\I don't intend to go out with anyone right now.\No matter who tells me they like me, I won't go out with them.\If that's all you wanted, I'm going now.\You heard her.\Hikitani-kun, that wasn't cool, man. response:	I mean, I'm glad I found out before she could reject me,
context: Please go out with me.\I'm sorry.\I don't intend to go out with anyone right now.\No matter who tells me they like me, I won't go out with them.\If that's all you wanted, I'm going now.\You heard her.\Hikitani-kun, that wasn't cool, man.\I mean, I'm glad I found out before she could reject me, response:	but that was not cool. So not cool.
context: I'm sorry.\I don't intend to go out with anyone right now.\No matter who tells me they like me, I won't go out with them.\If that's all you wanted, I'm going now.\You heard her.\Hikitani-kun, that wasn't cool, man.\I mean, I'm glad I found out before she could reject me,\but that was not cool. So not cool. response:	That just means this isn't the time, right?
context: I don't intend to go out with anyone right now.\No matter who tells me they like me, I won't go out with them.\If that's all you wanted, I'm going now.\You heard her.\Hikitani-kun, that wasn't cool, man.\I mean, I'm glad I found out before she could reject me,\but that was not cool. So not cool.\That just means this isn't the time, right? response:	What's wrong with enjoying the friendship you have now?
context: No matter who tells me they like me, I won't go out with them.\If that's all you wanted, I'm going now.\You heard her.\Hikitani-kun, that wasn't cool, man.\I mean, I'm glad I found out before she could reject me,\but that was not cool. So not cool.\That just means this isn't the time, right?\What's wrong with enjoying the friendship you have now? response:	Yeah, I guess...
context: If that's all you wanted, I'm going now.\You heard her.\Hikitani-kun, that wasn't cool, man.\I mean, I'm glad I found out before she could reject me,\but that was not cool. So not cool.\That just means this isn't the time, right?\What's wrong with enjoying the friendship you have now?\Yeah, I guess... response:	She did say right now.
context: You heard her.\Hikitani-kun, that wasn't cool, man.\I mean, I'm glad I found out before she could reject me,\but that was not cool. So not cool.\That just means this isn't the time, right?\What's wrong with enjoying the friendship you have now?\Yeah, I guess...\She did say right now. response:	Hikitani-kun.
context: Hikitani-kun, that wasn't cool, man.\I mean, I'm glad I found out before she could reject me,\but that was not cool. So not cool.\That just means this isn't the time, right?\What's wrong with enjoying the friendship you have now?\Yeah, I guess...\She did say right now.\Hikitani-kun. response:	Sorry, but I won't let you win!
context: I mean, I'm glad I found out before she could reject me,\but that was not cool. So not cool.\That just means this isn't the time, right?\What's wrong with enjoying the friendship you have now?\Yeah, I guess...\She did say right now.\Hikitani-kun.\Sorry, but I won't let you win! response:	Come on, now.
context: but that was not cool. So not cool.\That just means this isn't the time, right?\What's wrong with enjoying the friendship you have now?\Yeah, I guess...\She did say right now.\Hikitani-kun.\Sorry, but I won't let you win!\Come on, now. response:	Sorry.
context: That just means this isn't the time, right?\What's wrong with enjoying the friendship you have now?\Yeah, I guess...\She did say right now.\Hikitani-kun.\Sorry, but I won't let you win!\Come on, now.\Sorry. response:	Huh?
context: What's wrong with enjoying the friendship you have now?\Yeah, I guess...\She did say right now.\Hikitani-kun.\Sorry, but I won't let you win!\Come on, now.\Sorry.\Huh? response:	I knew that was the only way you knew how to do things.
context: Yeah, I guess...\She did say right now.\Hikitani-kun.\Sorry, but I won't let you win!\Come on, now.\Sorry.\Huh?\I knew that was the only way you knew how to do things. response:	Sorry.
context: She did say right now.\Hikitani-kun.\Sorry, but I won't let you win!\Come on, now.\Sorry.\Huh?\I knew that was the only way you knew how to do things.\Sorry. response:	I don't want your apology.
context: Hikitani-kun.\Sorry, but I won't let you win!\Come on, now.\Sorry.\Huh?\I knew that was the only way you knew how to do things.\Sorry.\I don't want your apology. response:	I hate the way you do things.
context: Sorry, but I won't let you win!\Come on, now.\Sorry.\Huh?\I knew that was the only way you knew how to do things.\Sorry.\I don't want your apology.\I hate the way you do things. response:	Yukinon...
context: Come on, now.\Sorry.\Huh?\I knew that was the only way you knew how to do things.\Sorry.\I don't want your apology.\I hate the way you do things.\Yukinon... response:	It frustrates me that I can't explain why, but...
context: Sorry.\Huh?\I knew that was the only way you knew how to do things.\Sorry.\I don't want your apology.\I hate the way you do things.\Yukinon...\It frustrates me that I can't explain why, but... response:	I really hate that you handle things that way.
context: Huh?\I knew that was the only way you knew how to do things.\Sorry.\I don't want your apology.\I hate the way you do things.\Yukinon...\It frustrates me that I can't explain why, but...\I really hate that you handle things that way. response:	Yukinon...
context: I knew that was the only way you knew how to do things.\Sorry.\I don't want your apology.\I hate the way you do things.\Yukinon...\It frustrates me that I can't explain why, but...\I really hate that you handle things that way.\Yukinon... response:	I'm going back.
context: Sorry.\I don't want your apology.\I hate the way you do things.\Yukinon...\It frustrates me that I can't explain why, but...\I really hate that you handle things that way.\Yukinon...\I'm going back. response:	Sh-Should we head back, too?
context: I don't want your apology.\I hate the way you do things.\Yukinon...\It frustrates me that I can't explain why, but...\I really hate that you handle things that way.\Yukinon...\I'm going back.\Sh-Should we head back, too? response:	I guess.
context: I hate the way you do things.\Yukinon...\It frustrates me that I can't explain why, but...\I really hate that you handle things that way.\Yukinon...\I'm going back.\Sh-Should we head back, too?\I guess. response:	Well, that plan failed, huh?
context: Yukinon...\It frustrates me that I can't explain why, but...\I really hate that you handle things that way.\Yukinon...\I'm going back.\Sh-Should we head back, too?\I guess.\Well, that plan failed, huh? response:	I was definitely surprised,
context: It frustrates me that I can't explain why, but...\I really hate that you handle things that way.\Yukinon...\I'm going back.\Sh-Should we head back, too?\I guess.\Well, that plan failed, huh?\I was definitely surprised, response:	and Hina didn't get to say what she wanted to either, but...
context: I really hate that you handle things that way.\Yukinon...\I'm going back.\Sh-Should we head back, too?\I guess.\Well, that plan failed, huh?\I was definitely surprised,\and Hina didn't get to say what she wanted to either, but... response:	Yeah.
context: Yukinon...\I'm going back.\Sh-Should we head back, too?\I guess.\Well, that plan failed, huh?\I was definitely surprised,\and Hina didn't get to say what she wanted to either, but...\Yeah. response:	But... I was pretty shocked.
context: I'm going back.\Sh-Should we head back, too?\I guess.\Well, that plan failed, huh?\I was definitely surprised,\and Hina didn't get to say what she wanted to either, but...\Yeah.\But... I was pretty shocked. response:	For a second, I thought you were serious.
context: Sh-Should we head back, too?\I guess.\Well, that plan failed, huh?\I was definitely surprised,\and Hina didn't get to say what she wanted to either, but...\Yeah.\But... I was pretty shocked.\For a second, I thought you were serious. response:	As if.
context: I guess.\Well, that plan failed, huh?\I was definitely surprised,\and Hina didn't get to say what she wanted to either, but...\Yeah.\But... I was pretty shocked.\For a second, I thought you were serious.\As if. response:	I guess, huh?
context: Well, that plan failed, huh?\I was definitely surprised,\and Hina didn't get to say what she wanted to either, but...\Yeah.\But... I was pretty shocked.\For a second, I thought you were serious.\As if.\I guess, huh? response:	But...
context: I was definitely surprised,\and Hina didn't get to say what she wanted to either, but...\Yeah.\But... I was pretty shocked.\For a second, I thought you were serious.\As if.\I guess, huh?\But... response:	But, listen...
context: and Hina didn't get to say what she wanted to either, but...\Yeah.\But... I was pretty shocked.\For a second, I thought you were serious.\As if.\I guess, huh?\But...\But, listen... response:	Don't do stuff like that again, okay?
context: Yeah.\But... I was pretty shocked.\For a second, I thought you were serious.\As if.\I guess, huh?\But...\But, listen...\Don't do stuff like that again, okay? response:	It was the most effective way. That's all.
context: But... I was pretty shocked.\For a second, I thought you were serious.\As if.\I guess, huh?\But...\But, listen...\Don't do stuff like that again, okay?\It was the most effective way. That's all. response:	I'm not talking about effectiveness.
context: For a second, I thought you were serious.\As if.\I guess, huh?\But...\But, listen...\Don't do stuff like that again, okay?\It was the most effective way. That's all.\I'm not talking about effectiveness. response:	There are some people who don't want a solution.
context: As if.\I guess, huh?\But...\But, listen...\Don't do stuff like that again, okay?\It was the most effective way. That's all.\I'm not talking about effectiveness.\There are some people who don't want a solution. response:	Some want things to stay the way they are.
context: I guess, huh?\But...\But, listen...\Don't do stuff like that again, okay?\It was the most effective way. That's all.\I'm not talking about effectiveness.\There are some people who don't want a solution.\Some want things to stay the way they are. response:	There's no way to make things convenient for everyone.
context: But...\But, listen...\Don't do stuff like that again, okay?\It was the most effective way. That's all.\I'm not talking about effectiveness.\There are some people who don't want a solution.\Some want things to stay the way they are.\There's no way to make things convenient for everyone. response:	And as I'm saying all this, it hits me.
context: But, listen...\Don't do stuff like that again, okay?\It was the most effective way. That's all.\I'm not talking about effectiveness.\There are some people who don't want a solution.\Some want things to stay the way they are.\There's no way to make things convenient for everyone.\And as I'm saying all this, it hits me. response:	So the only option is to find a compromise.
context: Don't do stuff like that again, okay?\It was the most effective way. That's all.\I'm not talking about effectiveness.\There are some people who don't want a solution.\Some want things to stay the way they are.\There's no way to make things convenient for everyone.\And as I'm saying all this, it hits me.\So the only option is to find a compromise. response:	I'm just rationalizing.
context: It was the most effective way. That's all.\I'm not talking about effectiveness.\There are some people who don't want a solution.\Some want things to stay the way they are.\There's no way to make things convenient for everyone.\And as I'm saying all this, it hits me.\So the only option is to find a compromise.\I'm just rationalizing. response:	This is the kind of deception I hated more than anything in the world.
context: I'm not talking about effectiveness.\There are some people who don't want a solution.\Some want things to stay the way they are.\There's no way to make things convenient for everyone.\And as I'm saying all this, it hits me.\So the only option is to find a compromise.\I'm just rationalizing.\This is the kind of deception I hated more than anything in the world. response:	Tobecchi didn't get rejected,
context: There are some people who don't want a solution.\Some want things to stay the way they are.\There's no way to make things convenient for everyone.\And as I'm saying all this, it hits me.\So the only option is to find a compromise.\I'm just rationalizing.\This is the kind of deception I hated more than anything in the world.\Tobecchi didn't get rejected, response:	and the guys seem to be getting along well.
context: Some want things to stay the way they are.\There's no way to make things convenient for everyone.\And as I'm saying all this, it hits me.\So the only option is to find a compromise.\I'm just rationalizing.\This is the kind of deception I hated more than anything in the world.\Tobecchi didn't get rejected,\and the guys seem to be getting along well. response:	Hina didn't have to worry, either.
context: There's no way to make things convenient for everyone.\And as I'm saying all this, it hits me.\So the only option is to find a compromise.\I'm just rationalizing.\This is the kind of deception I hated more than anything in the world.\Tobecchi didn't get rejected,\and the guys seem to be getting along well.\Hina didn't have to worry, either. response:	Now things will be back to normal from tomorrow on.
context: And as I'm saying all this, it hits me.\So the only option is to find a compromise.\I'm just rationalizing.\This is the kind of deception I hated more than anything in the world.\Tobecchi didn't get rejected,\and the guys seem to be getting along well.\Hina didn't have to worry, either.\Now things will be back to normal from tomorrow on. response:	Maybe nothing will have to change.
context: So the only option is to find a compromise.\I'm just rationalizing.\This is the kind of deception I hated more than anything in the world.\Tobecchi didn't get rejected,\and the guys seem to be getting along well.\Hina didn't have to worry, either.\Now things will be back to normal from tomorrow on.\Maybe nothing will have to change. response:	But... But, you know...
context: I'm just rationalizing.\This is the kind of deception I hated more than anything in the world.\Tobecchi didn't get rejected,\and the guys seem to be getting along well.\Hina didn't have to worry, either.\Now things will be back to normal from tomorrow on.\Maybe nothing will have to change.\But... But, you know... response:	You should give more thought to how other people feel!
context: This is the kind of deception I hated more than anything in the world.\Tobecchi didn't get rejected,\and the guys seem to be getting along well.\Hina didn't have to worry, either.\Now things will be back to normal from tomorrow on.\Maybe nothing will have to change.\But... But, you know...\You should give more thought to how other people feel! response:	How is it you understand so much, but you don't understand that?
context: Tobecchi didn't get rejected,\and the guys seem to be getting along well.\Hina didn't have to worry, either.\Now things will be back to normal from tomorrow on.\Maybe nothing will have to change.\But... But, you know...\You should give more thought to how other people feel!\How is it you understand so much, but you don't understand that? response:	I can't stand that.
context: and the guys seem to be getting along well.\Hina didn't have to worry, either.\Now things will be back to normal from tomorrow on.\Maybe nothing will have to change.\But... But, you know...\You should give more thought to how other people feel!\How is it you understand so much, but you don't understand that?\I can't stand that. response:	Hello, hello!
context: Hina didn't have to worry, either.\Now things will be back to normal from tomorrow on.\Maybe nothing will have to change.\But... But, you know...\You should give more thought to how other people feel!\How is it you understand so much, but you don't understand that?\I can't stand that.\Hello, hello! response:	Did I keep you waiting?
context: Now things will be back to normal from tomorrow on.\Maybe nothing will have to change.\But... But, you know...\You should give more thought to how other people feel!\How is it you understand so much, but you don't understand that?\I can't stand that.\Hello, hello!\Did I keep you waiting? response:	Nope.
context: Maybe nothing will have to change.\But... But, you know...\You should give more thought to how other people feel!\How is it you understand so much, but you don't understand that?\I can't stand that.\Hello, hello!\Did I keep you waiting?\Nope. response:	I wanted to thank you.
context: But... But, you know...\You should give more thought to how other people feel!\How is it you understand so much, but you don't understand that?\I can't stand that.\Hello, hello!\Did I keep you waiting?\Nope.\I wanted to thank you. response:	You don't have to thank me.
context: You should give more thought to how other people feel!\How is it you understand so much, but you don't understand that?\I can't stand that.\Hello, hello!\Did I keep you waiting?\Nope.\I wanted to thank you.\You don't have to thank me. response:	I didn't resolve the thing you consulted me about.
context: How is it you understand so much, but you don't understand that?\I can't stand that.\Hello, hello!\Did I keep you waiting?\Nope.\I wanted to thank you.\You don't have to thank me.\I didn't resolve the thing you consulted me about. response:	Not on the surface, but...
context: I can't stand that.\Hello, hello!\Did I keep you waiting?\Nope.\I wanted to thank you.\You don't have to thank me.\I didn't resolve the thing you consulted me about.\Not on the surface, but... response:	You understood, didn't you?
context: Hello, hello!\Did I keep you waiting?\Nope.\I wanted to thank you.\You don't have to thank me.\I didn't resolve the thing you consulted me about.\Not on the surface, but...\You understood, didn't you? response:	You wanted me to get the guys closer
context: Did I keep you waiting?\Nope.\I wanted to thank you.\You don't have to thank me.\I didn't resolve the thing you consulted me about.\Not on the surface, but...\You understood, didn't you?\You wanted me to get the guys closer response:	so you could keep them at a distance from yourself,
context: Nope.\I wanted to thank you.\You don't have to thank me.\I didn't resolve the thing you consulted me about.\Not on the surface, but...\You understood, didn't you?\You wanted me to get the guys closer\so you could keep them at a distance from yourself, response:	and stop Tobe from confessing to you before it happened.
context: I wanted to thank you.\You don't have to thank me.\I didn't resolve the thing you consulted me about.\Not on the surface, but...\You understood, didn't you?\You wanted me to get the guys closer\so you could keep them at a distance from yourself,\and stop Tobe from confessing to you before it happened. response:	You probably talked to Hayama about this, too.
context: You don't have to thank me.\I didn't resolve the thing you consulted me about.\Not on the surface, but...\You understood, didn't you?\You wanted me to get the guys closer\so you could keep them at a distance from yourself,\and stop Tobe from confessing to you before it happened.\You probably talked to Hayama about this, too. response:	That's why Hayama
context: I didn't resolve the thing you consulted me about.\Not on the surface, but...\You understood, didn't you?\You wanted me to get the guys closer\so you could keep them at a distance from yourself,\and stop Tobe from confessing to you before it happened.\You probably talked to Hayama about this, too.\That's why Hayama response:	became stressed and had no choice but to act the way he did.
context: Not on the surface, but...\You understood, didn't you?\You wanted me to get the guys closer\so you could keep them at a distance from yourself,\and stop Tobe from confessing to you before it happened.\You probably talked to Hayama about this, too.\That's why Hayama\became stressed and had no choice but to act the way he did. response:	Thanks for everything you did. It really helped.
context: You understood, didn't you?\You wanted me to get the guys closer\so you could keep them at a distance from yourself,\and stop Tobe from confessing to you before it happened.\You probably talked to Hayama about this, too.\That's why Hayama\became stressed and had no choice but to act the way he did.\Thanks for everything you did. It really helped. response:	Tobe's an idiot and a loser, but he's a nice guy, I think.
context: You wanted me to get the guys closer\so you could keep them at a distance from yourself,\and stop Tobe from confessing to you before it happened.\You probably talked to Hayama about this, too.\That's why Hayama\became stressed and had no choice but to act the way he did.\Thanks for everything you did. It really helped.\Tobe's an idiot and a loser, but he's a nice guy, I think. response:	Still, I couldn't.
context: so you could keep them at a distance from yourself,\and stop Tobe from confessing to you before it happened.\You probably talked to Hayama about this, too.\That's why Hayama\became stressed and had no choice but to act the way he did.\Thanks for everything you did. It really helped.\Tobe's an idiot and a loser, but he's a nice guy, I think.\Still, I couldn't. response:	Even if I hooked up with someone right now, it wouldn't work out.
context: and stop Tobe from confessing to you before it happened.\You probably talked to Hayama about this, too.\That's why Hayama\became stressed and had no choice but to act the way he did.\Thanks for everything you did. It really helped.\Tobe's an idiot and a loser, but he's a nice guy, I think.\Still, I couldn't.\Even if I hooked up with someone right now, it wouldn't work out. response:	That's not...
context: You probably talked to Hayama about this, too.\That's why Hayama\became stressed and had no choice but to act the way he did.\Thanks for everything you did. It really helped.\Tobe's an idiot and a loser, but he's a nice guy, I think.\Still, I couldn't.\Even if I hooked up with someone right now, it wouldn't work out.\That's not... response:	It is true.
context: That's why Hayama\became stressed and had no choice but to act the way he did.\Thanks for everything you did. It really helped.\Tobe's an idiot and a loser, but he's a nice guy, I think.\Still, I couldn't.\Even if I hooked up with someone right now, it wouldn't work out.\That's not...\It is true. response:	I'm really messed up.
context: became stressed and had no choice but to act the way he did.\Thanks for everything you did. It really helped.\Tobe's an idiot and a loser, but he's a nice guy, I think.\Still, I couldn't.\Even if I hooked up with someone right now, it wouldn't work out.\That's not...\It is true.\I'm really messed up. response:	I guess there's no helping that, then.
context: Thanks for everything you did. It really helped.\Tobe's an idiot and a loser, but he's a nice guy, I think.\Still, I couldn't.\Even if I hooked up with someone right now, it wouldn't work out.\That's not...\It is true.\I'm really messed up.\I guess there's no helping that, then. response:	Nope, there's not.
context: Tobe's an idiot and a loser, but he's a nice guy, I think.\Still, I couldn't.\Even if I hooked up with someone right now, it wouldn't work out.\That's not...\It is true.\I'm really messed up.\I guess there's no helping that, then.\Nope, there's not. response:	Maybe I'd be able to go out with you, Hikitani-kun.
context: Still, I couldn't.\Even if I hooked up with someone right now, it wouldn't work out.\That's not...\It is true.\I'm really messed up.\I guess there's no helping that, then.\Nope, there's not.\Maybe I'd be able to go out with you, Hikitani-kun. response:	Don't even joke about that.
context: Even if I hooked up with someone right now, it wouldn't work out.\That's not...\It is true.\I'm really messed up.\I guess there's no helping that, then.\Nope, there's not.\Maybe I'd be able to go out with you, Hikitani-kun.\Don't even joke about that. response:	If you say stuff carelessly, someone might fall in love with you.
context: That's not...\It is true.\I'm really messed up.\I guess there's no helping that, then.\Nope, there's not.\Maybe I'd be able to go out with you, Hikitani-kun.\Don't even joke about that.\If you say stuff carelessly, someone might fall in love with you. response:	I sort of like the way you can be so honest with people
context: It is true.\I'm really messed up.\I guess there's no helping that, then.\Nope, there's not.\Maybe I'd be able to go out with you, Hikitani-kun.\Don't even joke about that.\If you say stuff carelessly, someone might fall in love with you.\I sort of like the way you can be so honest with people response:	who don't matter to you.
context: I'm really messed up.\I guess there's no helping that, then.\Nope, there's not.\Maybe I'd be able to go out with you, Hikitani-kun.\Don't even joke about that.\If you say stuff carelessly, someone might fall in love with you.\I sort of like the way you can be so honest with people\who don't matter to you. response:	What a coincidence.
context: I guess there's no helping that, then.\Nope, there's not.\Maybe I'd be able to go out with you, Hikitani-kun.\Don't even joke about that.\If you say stuff carelessly, someone might fall in love with you.\I sort of like the way you can be so honest with people\who don't matter to you.\What a coincidence. response:	I sort of like that about myself, too.
context: Nope, there's not.\Maybe I'd be able to go out with you, Hikitani-kun.\Don't even joke about that.\If you say stuff carelessly, someone might fall in love with you.\I sort of like the way you can be so honest with people\who don't matter to you.\What a coincidence.\I sort of like that about myself, too. response:	Hey, I can appreciate a person who can say things
context: Maybe I'd be able to go out with you, Hikitani-kun.\Don't even joke about that.\If you say stuff carelessly, someone might fall in love with you.\I sort of like the way you can be so honest with people\who don't matter to you.\What a coincidence.\I sort of like that about myself, too.\Hey, I can appreciate a person who can say things response:	he doesn't mean so easily.
context: Don't even joke about that.\If you say stuff carelessly, someone might fall in love with you.\I sort of like the way you can be so honest with people\who don't matter to you.\What a coincidence.\I sort of like that about myself, too.\Hey, I can appreciate a person who can say things\he doesn't mean so easily. response:	You know, I like myself and everything around me right now.
context: If you say stuff carelessly, someone might fall in love with you.\I sort of like the way you can be so honest with people\who don't matter to you.\What a coincidence.\I sort of like that about myself, too.\Hey, I can appreciate a person who can say things\he doesn't mean so easily.\You know, I like myself and everything around me right now. response:	I haven't felt like that in ages, so I don't want to lose it.
context: I sort of like the way you can be so honest with people\who don't matter to you.\What a coincidence.\I sort of like that about myself, too.\Hey, I can appreciate a person who can say things\he doesn't mean so easily.\You know, I like myself and everything around me right now.\I haven't felt like that in ages, so I don't want to lose it. response:	I like where I am, and I like the people here with me.
context: who don't matter to you.\What a coincidence.\I sort of like that about myself, too.\Hey, I can appreciate a person who can say things\he doesn't mean so easily.\You know, I like myself and everything around me right now.\I haven't felt like that in ages, so I don't want to lose it.\I like where I am, and I like the people here with me. response:	That's why...
