context: I've finally gotten rid of that father and son. response:	I'll find a place to sleep on the north bank tonight.
context: Do you know what happened 300 years ago when Qing Cang broke out of the Bell?\Hasn't the matter been resolved?\Aunt Bai Qian of Qing Qiu sealed away Qing Cang.\She was injured and was asleep for many years.\Is there nothing else?\I am not sure about anything else.\All right, I understand.\Yun Sheng. response:	Aunt, you haven't come by in many years.
context: Hasn't the matter been resolved?\Aunt Bai Qian of Qing Qiu sealed away Qing Cang.\She was injured and was asleep for many years.\Is there nothing else?\I am not sure about anything else.\All right, I understand.\Yun Sheng.\Aunt, you haven't come by in many years. response:	You've come at the wrong time. Bi Fang has run away from home.
context: Aunt Bai Qian of Qing Qiu sealed away Qing Cang.\She was injured and was asleep for many years.\Is there nothing else?\I am not sure about anything else.\All right, I understand.\Yun Sheng.\Aunt, you haven't come by in many years.\You've come at the wrong time. Bi Fang has run away from home. response:	Fourth Uncle left yesterday in search of him.
context: She was injured and was asleep for many years.\Is there nothing else?\I am not sure about anything else.\All right, I understand.\Yun Sheng.\Aunt, you haven't come by in many years.\You've come at the wrong time. Bi Fang has run away from home.\Fourth Uncle left yesterday in search of him. response:	If you do not mind, allow me to provide you my hospitality.
context: Is there nothing else?\I am not sure about anything else.\All right, I understand.\Yun Sheng.\Aunt, you haven't come by in many years.\You've come at the wrong time. Bi Fang has run away from home.\Fourth Uncle left yesterday in search of him.\If you do not mind, allow me to provide you my hospitality. response:	What a hobby he has. He's always chasing after a bird.
context: I am not sure about anything else.\All right, I understand.\Yun Sheng.\Aunt, you haven't come by in many years.\You've come at the wrong time. Bi Fang has run away from home.\Fourth Uncle left yesterday in search of him.\If you do not mind, allow me to provide you my hospitality.\What a hobby he has. He's always chasing after a bird. response:	I'm already used to it.
context: All right, I understand.\Yun Sheng.\Aunt, you haven't come by in many years.\You've come at the wrong time. Bi Fang has run away from home.\Fourth Uncle left yesterday in search of him.\If you do not mind, allow me to provide you my hospitality.\What a hobby he has. He's always chasing after a bird.\I'm already used to it. response:	Aunt, let's hurry inside.
context: Yun Sheng.\Aunt, you haven't come by in many years.\You've come at the wrong time. Bi Fang has run away from home.\Fourth Uncle left yesterday in search of him.\If you do not mind, allow me to provide you my hospitality.\What a hobby he has. He's always chasing after a bird.\I'm already used to it.\Aunt, let's hurry inside. response:	Wait.
context: Aunt, you haven't come by in many years.\You've come at the wrong time. Bi Fang has run away from home.\Fourth Uncle left yesterday in search of him.\If you do not mind, allow me to provide you my hospitality.\What a hobby he has. He's always chasing after a bird.\I'm already used to it.\Aunt, let's hurry inside.\Wait. response:	You seem to be acting strangely.
context: You've come at the wrong time. Bi Fang has run away from home.\Fourth Uncle left yesterday in search of him.\If you do not mind, allow me to provide you my hospitality.\What a hobby he has. He's always chasing after a bird.\I'm already used to it.\Aunt, let's hurry inside.\Wait.\You seem to be acting strangely. response:	Could it be that Second Brother is here?
context: Fourth Uncle left yesterday in search of him.\If you do not mind, allow me to provide you my hospitality.\What a hobby he has. He's always chasing after a bird.\I'm already used to it.\Aunt, let's hurry inside.\Wait.\You seem to be acting strangely.\Could it be that Second Brother is here? response:	Aunt, that's a really good guess.
context: If you do not mind, allow me to provide you my hospitality.\What a hobby he has. He's always chasing after a bird.\I'm already used to it.\Aunt, let's hurry inside.\Wait.\You seem to be acting strangely.\Could it be that Second Brother is here?\Aunt, that's a really good guess. response:	Second Uncle came early in the morning. He's been in a foul mood.
context: What a hobby he has. He's always chasing after a bird.\I'm already used to it.\Aunt, let's hurry inside.\Wait.\You seem to be acting strangely.\Could it be that Second Brother is here?\Aunt, that's a really good guess.\Second Uncle came early in the morning. He's been in a foul mood. response:	Didn't you see I was sitting outside? I don't dare go inside.
context: I'm already used to it.\Aunt, let's hurry inside.\Wait.\You seem to be acting strangely.\Could it be that Second Brother is here?\Aunt, that's a really good guess.\Second Uncle came early in the morning. He's been in a foul mood.\Didn't you see I was sitting outside? I don't dare go inside. response:	I should get going.
context: Aunt, let's hurry inside.\Wait.\You seem to be acting strangely.\Could it be that Second Brother is here?\Aunt, that's a really good guess.\Second Uncle came early in the morning. He's been in a foul mood.\Didn't you see I was sitting outside? I don't dare go inside.\I should get going. response:	Fifth Sister, come in.
context: Wait.\You seem to be acting strangely.\Could it be that Second Brother is here?\Aunt, that's a really good guess.\Second Uncle came early in the morning. He's been in a foul mood.\Didn't you see I was sitting outside? I don't dare go inside.\I should get going.\Fifth Sister, come in. response:	Second Brother.
context: You seem to be acting strangely.\Could it be that Second Brother is here?\Aunt, that's a really good guess.\Second Uncle came early in the morning. He's been in a foul mood.\Didn't you see I was sitting outside? I don't dare go inside.\I should get going.\Fifth Sister, come in.\Second Brother. response:	Let's go.
context: Could it be that Second Brother is here?\Aunt, that's a really good guess.\Second Uncle came early in the morning. He's been in a foul mood.\Didn't you see I was sitting outside? I don't dare go inside.\I should get going.\Fifth Sister, come in.\Second Brother.\Let's go. response:	Oh, yes! Aunt, you just arrived. You must not have had breakfast yet.
context: Aunt, that's a really good guess.\Second Uncle came early in the morning. He's been in a foul mood.\Didn't you see I was sitting outside? I don't dare go inside.\I should get going.\Fifth Sister, come in.\Second Brother.\Let's go.\Oh, yes! Aunt, you just arrived. You must not have had breakfast yet. response:	Where is Xiao Jiu?
context: Second Uncle came early in the morning. He's been in a foul mood.\Didn't you see I was sitting outside? I don't dare go inside.\I should get going.\Fifth Sister, come in.\Second Brother.\Let's go.\Oh, yes! Aunt, you just arrived. You must not have had breakfast yet.\Where is Xiao Jiu? response:	A few days ago, she was still cooking in my Fox Den.
context: Didn't you see I was sitting outside? I don't dare go inside.\I should get going.\Fifth Sister, come in.\Second Brother.\Let's go.\Oh, yes! Aunt, you just arrived. You must not have had breakfast yet.\Where is Xiao Jiu?\A few days ago, she was still cooking in my Fox Den. response:	She has already done many shameful things for Dong Hua's sake.
context: I should get going.\Fifth Sister, come in.\Second Brother.\Let's go.\Oh, yes! Aunt, you just arrived. You must not have had breakfast yet.\Where is Xiao Jiu?\A few days ago, she was still cooking in my Fox Den.\She has already done many shameful things for Dong Hua's sake. response:	When she returned to my manor 300 years ago
context: Fifth Sister, come in.\Second Brother.\Let's go.\Oh, yes! Aunt, you just arrived. You must not have had breakfast yet.\Where is Xiao Jiu?\A few days ago, she was still cooking in my Fox Den.\She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago response:	I had to hang her up and spank her twice for her to become well-behaved.
context: Second Brother.\Let's go.\Oh, yes! Aunt, you just arrived. You must not have had breakfast yet.\Where is Xiao Jiu?\A few days ago, she was still cooking in my Fox Den.\She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved. response:	If she is at your residence, then keep a good eye on her.
context: Let's go.\Oh, yes! Aunt, you just arrived. You must not have had breakfast yet.\Where is Xiao Jiu?\A few days ago, she was still cooking in my Fox Den.\She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her. response:	Rest assured, Second Brother. I'll surely keep her confined in Qing Qiu's Fox Den.
context: Oh, yes! Aunt, you just arrived. You must not have had breakfast yet.\Where is Xiao Jiu?\A few days ago, she was still cooking in my Fox Den.\She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her.\Rest assured, Second Brother. I'll surely keep her confined in Qing Qiu's Fox Den. response:	She won't be outside being a disgrace.
context: Where is Xiao Jiu?\A few days ago, she was still cooking in my Fox Den.\She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her.\Rest assured, Second Brother. I'll surely keep her confined in Qing Qiu's Fox Den.\She won't be outside being a disgrace. response:	- The life debt to Dong Hua Dijun... - Don't worry, Second Brother.
context: A few days ago, she was still cooking in my Fox Den.\She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her.\Rest assured, Second Brother. I'll surely keep her confined in Qing Qiu's Fox Den.\She won't be outside being a disgrace.\- The life debt to Dong Hua Dijun... - Don't worry, Second Brother. response:	Qing Qiu will take on the debt that Xiao Jiu owes to Dong Hua Dijun.
context: She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her.\Rest assured, Second Brother. I'll surely keep her confined in Qing Qiu's Fox Den.\She won't be outside being a disgrace.\- The life debt to Dong Hua Dijun... - Don't worry, Second Brother.\Qing Qiu will take on the debt that Xiao Jiu owes to Dong Hua Dijun. response:	As her aunt, I'll repay it in her stead.
context: When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her.\Rest assured, Second Brother. I'll surely keep her confined in Qing Qiu's Fox Den.\She won't be outside being a disgrace.\- The life debt to Dong Hua Dijun... - Don't worry, Second Brother.\Qing Qiu will take on the debt that Xiao Jiu owes to Dong Hua Dijun.\As her aunt, I'll repay it in her stead. response:	I absolutely won't allow Xiao Jiu
context: I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her.\Rest assured, Second Brother. I'll surely keep her confined in Qing Qiu's Fox Den.\She won't be outside being a disgrace.\- The life debt to Dong Hua Dijun... - Don't worry, Second Brother.\Qing Qiu will take on the debt that Xiao Jiu owes to Dong Hua Dijun.\As her aunt, I'll repay it in her stead.\I absolutely won't allow Xiao Jiu response:	to form any new ideas for that notion she's finally rid of.
context: If she is at your residence, then keep a good eye on her.\Rest assured, Second Brother. I'll surely keep her confined in Qing Qiu's Fox Den.\She won't be outside being a disgrace.\- The life debt to Dong Hua Dijun... - Don't worry, Second Brother.\Qing Qiu will take on the debt that Xiao Jiu owes to Dong Hua Dijun.\As her aunt, I'll repay it in her stead.\I absolutely won't allow Xiao Jiu\to form any new ideas for that notion she's finally rid of. response:	This Dong Hua Dijun is an immortal that sprung out of a crack in a rock.
context: Rest assured, Second Brother. I'll surely keep her confined in Qing Qiu's Fox Den.\She won't be outside being a disgrace.\- The life debt to Dong Hua Dijun... - Don't worry, Second Brother.\Qing Qiu will take on the debt that Xiao Jiu owes to Dong Hua Dijun.\As her aunt, I'll repay it in her stead.\I absolutely won't allow Xiao Jiu\to form any new ideas for that notion she's finally rid of.\This Dong Hua Dijun is an immortal that sprung out of a crack in a rock. response:	One must not love him or hold him in their heart.
context: She won't be outside being a disgrace.\- The life debt to Dong Hua Dijun... - Don't worry, Second Brother.\Qing Qiu will take on the debt that Xiao Jiu owes to Dong Hua Dijun.\As her aunt, I'll repay it in her stead.\I absolutely won't allow Xiao Jiu\to form any new ideas for that notion she's finally rid of.\This Dong Hua Dijun is an immortal that sprung out of a crack in a rock.\One must not love him or hold him in their heart. response:	He's not one to feel affection.
context: - The life debt to Dong Hua Dijun... - Don't worry, Second Brother.\Qing Qiu will take on the debt that Xiao Jiu owes to Dong Hua Dijun.\As her aunt, I'll repay it in her stead.\I absolutely won't allow Xiao Jiu\to form any new ideas for that notion she's finally rid of.\This Dong Hua Dijun is an immortal that sprung out of a crack in a rock.\One must not love him or hold him in their heart.\He's not one to feel affection. response:	Good.
context: Qing Qiu will take on the debt that Xiao Jiu owes to Dong Hua Dijun.\As her aunt, I'll repay it in her stead.\I absolutely won't allow Xiao Jiu\to form any new ideas for that notion she's finally rid of.\This Dong Hua Dijun is an immortal that sprung out of a crack in a rock.\One must not love him or hold him in their heart.\He's not one to feel affection.\Good. response:	Why did you suddenly came to the Far North?
context: As her aunt, I'll repay it in her stead.\I absolutely won't allow Xiao Jiu\to form any new ideas for that notion she's finally rid of.\This Dong Hua Dijun is an immortal that sprung out of a crack in a rock.\One must not love him or hold him in their heart.\He's not one to feel affection.\Good.\Why did you suddenly came to the Far North? response:	The Water King's son happened to turn one month old.
context: I absolutely won't allow Xiao Jiu\to form any new ideas for that notion she's finally rid of.\This Dong Hua Dijun is an immortal that sprung out of a crack in a rock.\One must not love him or hold him in their heart.\He's not one to feel affection.\Good.\Why did you suddenly came to the Far North?\The Water King's son happened to turn one month old. response:	He sent an invitation to Qing Qiu.
context: to form any new ideas for that notion she's finally rid of.\This Dong Hua Dijun is an immortal that sprung out of a crack in a rock.\One must not love him or hold him in their heart.\He's not one to feel affection.\Good.\Why did you suddenly came to the Far North?\The Water King's son happened to turn one month old.\He sent an invitation to Qing Qiu. response:	Mother and Father are traveling.
context: This Dong Hua Dijun is an immortal that sprung out of a crack in a rock.\One must not love him or hold him in their heart.\He's not one to feel affection.\Good.\Why did you suddenly came to the Far North?\The Water King's son happened to turn one month old.\He sent an invitation to Qing Qiu.\Mother and Father are traveling. response:	I had nothing much to do, so I came for a visit.
context: One must not love him or hold him in their heart.\He's not one to feel affection.\Good.\Why did you suddenly came to the Far North?\The Water King's son happened to turn one month old.\He sent an invitation to Qing Qiu.\Mother and Father are traveling.\I had nothing much to do, so I came for a visit. response:	The Eastern Sea is in the east.
context: He's not one to feel affection.\Good.\Why did you suddenly came to the Far North?\The Water King's son happened to turn one month old.\He sent an invitation to Qing Qiu.\Mother and Father are traveling.\I had nothing much to do, so I came for a visit.\The Eastern Sea is in the east. response:	If you were returning to Qing Qiu, you should be traveling in the east.
context: Good.\Why did you suddenly came to the Far North?\The Water King's son happened to turn one month old.\He sent an invitation to Qing Qiu.\Mother and Father are traveling.\I had nothing much to do, so I came for a visit.\The Eastern Sea is in the east.\If you were returning to Qing Qiu, you should be traveling in the east. response:	Oh, I forgot to mention...
context: Why did you suddenly came to the Far North?\The Water King's son happened to turn one month old.\He sent an invitation to Qing Qiu.\Mother and Father are traveling.\I had nothing much to do, so I came for a visit.\The Eastern Sea is in the east.\If you were returning to Qing Qiu, you should be traveling in the east.\Oh, I forgot to mention... response:	Fourth Brother had me bring two jars of wine from Zhe Yan's.
context: The Water King's son happened to turn one month old.\He sent an invitation to Qing Qiu.\Mother and Father are traveling.\I had nothing much to do, so I came for a visit.\The Eastern Sea is in the east.\If you were returning to Qing Qiu, you should be traveling in the east.\Oh, I forgot to mention...\Fourth Brother had me bring two jars of wine from Zhe Yan's. response:	I came to deliver them along the way.
context: He sent an invitation to Qing Qiu.\Mother and Father are traveling.\I had nothing much to do, so I came for a visit.\The Eastern Sea is in the east.\If you were returning to Qing Qiu, you should be traveling in the east.\Oh, I forgot to mention...\Fourth Brother had me bring two jars of wine from Zhe Yan's.\I came to deliver them along the way. response:	What trouble.
context: Mother and Father are traveling.\I had nothing much to do, so I came for a visit.\The Eastern Sea is in the east.\If you were returning to Qing Qiu, you should be traveling in the east.\Oh, I forgot to mention...\Fourth Brother had me bring two jars of wine from Zhe Yan's.\I came to deliver them along the way.\What trouble. response:	I'm going to take them to the kitchen now.
context: I had nothing much to do, so I came for a visit.\The Eastern Sea is in the east.\If you were returning to Qing Qiu, you should be traveling in the east.\Oh, I forgot to mention...\Fourth Brother had me bring two jars of wine from Zhe Yan's.\I came to deliver them along the way.\What trouble.\I'm going to take them to the kitchen now. response:	Aunt, do you not need breakfast anymore?
context: The Eastern Sea is in the east.\If you were returning to Qing Qiu, you should be traveling in the east.\Oh, I forgot to mention...\Fourth Brother had me bring two jars of wine from Zhe Yan's.\I came to deliver them along the way.\What trouble.\I'm going to take them to the kitchen now.\Aunt, do you not need breakfast anymore? response:	I'm leaving.
context: If you were returning to Qing Qiu, you should be traveling in the east.\Oh, I forgot to mention...\Fourth Brother had me bring two jars of wine from Zhe Yan's.\I came to deliver them along the way.\What trouble.\I'm going to take them to the kitchen now.\Aunt, do you not need breakfast anymore?\I'm leaving. response:	These contain the peach blossom wine Fourth Brother wanted.
context: Oh, I forgot to mention...\Fourth Brother had me bring two jars of wine from Zhe Yan's.\I came to deliver them along the way.\What trouble.\I'm going to take them to the kitchen now.\Aunt, do you not need breakfast anymore?\I'm leaving.\These contain the peach blossom wine Fourth Brother wanted. response:	By the way, Aunt, I heard just now that you attended the Eastern Sea banquet.
context: Fourth Brother had me bring two jars of wine from Zhe Yan's.\I came to deliver them along the way.\What trouble.\I'm going to take them to the kitchen now.\Aunt, do you not need breakfast anymore?\I'm leaving.\These contain the peach blossom wine Fourth Brother wanted.\By the way, Aunt, I heard just now that you attended the Eastern Sea banquet. response:	I did.
context: I came to deliver them along the way.\What trouble.\I'm going to take them to the kitchen now.\Aunt, do you not need breakfast anymore?\I'm leaving.\These contain the peach blossom wine Fourth Brother wanted.\By the way, Aunt, I heard just now that you attended the Eastern Sea banquet.\I did. response:	It's said the Crown Prince was there as well. Did you see him?
context: What trouble.\I'm going to take them to the kitchen now.\Aunt, do you not need breakfast anymore?\I'm leaving.\These contain the peach blossom wine Fourth Brother wanted.\By the way, Aunt, I heard just now that you attended the Eastern Sea banquet.\I did.\It's said the Crown Prince was there as well. Did you see him? response:	I did.
context: I'm going to take them to the kitchen now.\Aunt, do you not need breakfast anymore?\I'm leaving.\These contain the peach blossom wine Fourth Brother wanted.\By the way, Aunt, I heard just now that you attended the Eastern Sea banquet.\I did.\It's said the Crown Prince was there as well. Did you see him?\I did. response:	Back when the Crown Prince came to the Far North to pacify the rebellion
context: Aunt, do you not need breakfast anymore?\I'm leaving.\These contain the peach blossom wine Fourth Brother wanted.\By the way, Aunt, I heard just now that you attended the Eastern Sea banquet.\I did.\It's said the Crown Prince was there as well. Did you see him?\I did.\Back when the Crown Prince came to the Far North to pacify the rebellion response:	I had the good fortune to deliver a map of the Far North to His Highness.
context: I'm leaving.\These contain the peach blossom wine Fourth Brother wanted.\By the way, Aunt, I heard just now that you attended the Eastern Sea banquet.\I did.\It's said the Crown Prince was there as well. Did you see him?\I did.\Back when the Crown Prince came to the Far North to pacify the rebellion\I had the good fortune to deliver a map of the Far North to His Highness. response:	I will never in my life forget the Crown Prince's grace.
context: These contain the peach blossom wine Fourth Brother wanted.\By the way, Aunt, I heard just now that you attended the Eastern Sea banquet.\I did.\It's said the Crown Prince was there as well. Did you see him?\I did.\Back when the Crown Prince came to the Far North to pacify the rebellion\I had the good fortune to deliver a map of the Far North to His Highness.\I will never in my life forget the Crown Prince's grace. response:	You were merely a young child 300 years ago.
context: By the way, Aunt, I heard just now that you attended the Eastern Sea banquet.\I did.\It's said the Crown Prince was there as well. Did you see him?\I did.\Back when the Crown Prince came to the Far North to pacify the rebellion\I had the good fortune to deliver a map of the Far North to His Highness.\I will never in my life forget the Crown Prince's grace.\You were merely a young child 300 years ago. response:	How could you remember so clearly?
context: I did.\It's said the Crown Prince was there as well. Did you see him?\I did.\Back when the Crown Prince came to the Far North to pacify the rebellion\I had the good fortune to deliver a map of the Far North to His Highness.\I will never in my life forget the Crown Prince's grace.\You were merely a young child 300 years ago.\How could you remember so clearly? response:	To be honest, I love hearing others speak of the Crown Prince.
context: It's said the Crown Prince was there as well. Did you see him?\I did.\Back when the Crown Prince came to the Far North to pacify the rebellion\I had the good fortune to deliver a map of the Far North to His Highness.\I will never in my life forget the Crown Prince's grace.\You were merely a young child 300 years ago.\How could you remember so clearly?\To be honest, I love hearing others speak of the Crown Prince. response:	Aunt, did you know that in all the battles of the past 30,000 years
context: I did.\Back when the Crown Prince came to the Far North to pacify the rebellion\I had the good fortune to deliver a map of the Far North to His Highness.\I will never in my life forget the Crown Prince's grace.\You were merely a young child 300 years ago.\How could you remember so clearly?\To be honest, I love hearing others speak of the Crown Prince.\Aunt, did you know that in all the battles of the past 30,000 years response:	wherever the Crown Prince made a stand, he mowed down all resistance?
context: Back when the Crown Prince came to the Far North to pacify the rebellion\I had the good fortune to deliver a map of the Far North to His Highness.\I will never in my life forget the Crown Prince's grace.\You were merely a young child 300 years ago.\How could you remember so clearly?\To be honest, I love hearing others speak of the Crown Prince.\Aunt, did you know that in all the battles of the past 30,000 years\wherever the Crown Prince made a stand, he mowed down all resistance? response:	Should you marry the Crown Prince in the future
context: I had the good fortune to deliver a map of the Far North to His Highness.\I will never in my life forget the Crown Prince's grace.\You were merely a young child 300 years ago.\How could you remember so clearly?\To be honest, I love hearing others speak of the Crown Prince.\Aunt, did you know that in all the battles of the past 30,000 years\wherever the Crown Prince made a stand, he mowed down all resistance?\Should you marry the Crown Prince in the future response:	you must not forget to bring me with you.
context: I will never in my life forget the Crown Prince's grace.\You were merely a young child 300 years ago.\How could you remember so clearly?\To be honest, I love hearing others speak of the Crown Prince.\Aunt, did you know that in all the battles of the past 30,000 years\wherever the Crown Prince made a stand, he mowed down all resistance?\Should you marry the Crown Prince in the future\you must not forget to bring me with you. response:	I'm leaving now.
context: You were merely a young child 300 years ago.\How could you remember so clearly?\To be honest, I love hearing others speak of the Crown Prince.\Aunt, did you know that in all the battles of the past 30,000 years\wherever the Crown Prince made a stand, he mowed down all resistance?\Should you marry the Crown Prince in the future\you must not forget to bring me with you.\I'm leaving now. response:	Take care to attend to the one inside.
context: How could you remember so clearly?\To be honest, I love hearing others speak of the Crown Prince.\Aunt, did you know that in all the battles of the past 30,000 years\wherever the Crown Prince made a stand, he mowed down all resistance?\Should you marry the Crown Prince in the future\you must not forget to bring me with you.\I'm leaving now.\Take care to attend to the one inside. response:	Your Highness! Your Highness, slow down!
context: To be honest, I love hearing others speak of the Crown Prince.\Aunt, did you know that in all the battles of the past 30,000 years\wherever the Crown Prince made a stand, he mowed down all resistance?\Should you marry the Crown Prince in the future\you must not forget to bring me with you.\I'm leaving now.\Take care to attend to the one inside.\Your Highness! Your Highness, slow down! response:	Your Highness!
context: Aunt, did you know that in all the battles of the past 30,000 years\wherever the Crown Prince made a stand, he mowed down all resistance?\Should you marry the Crown Prince in the future\you must not forget to bring me with you.\I'm leaving now.\Take care to attend to the one inside.\Your Highness! Your Highness, slow down!\Your Highness! response:	Mother!
context: wherever the Crown Prince made a stand, he mowed down all resistance?\Should you marry the Crown Prince in the future\you must not forget to bring me with you.\I'm leaving now.\Take care to attend to the one inside.\Your Highness! Your Highness, slow down!\Your Highness!\Mother! response:	Mother, you lied.
context: Should you marry the Crown Prince in the future\you must not forget to bring me with you.\I'm leaving now.\Take care to attend to the one inside.\Your Highness! Your Highness, slow down!\Your Highness!\Mother!\Mother, you lied. response:	You said yesterday that you were going to return to the Celestial Palace with us.
context: you must not forget to bring me with you.\I'm leaving now.\Take care to attend to the one inside.\Your Highness! Your Highness, slow down!\Your Highness!\Mother!\Mother, you lied.\You said yesterday that you were going to return to the Celestial Palace with us. response:	I deserve to be punished.
context: I'm leaving now.\Take care to attend to the one inside.\Your Highness! Your Highness, slow down!\Your Highness!\Mother!\Mother, you lied.\You said yesterday that you were going to return to the Celestial Palace with us.\I deserve to be punished. response:	You ordered me to defend Qing Qiu.
context: Take care to attend to the one inside.\Your Highness! Your Highness, slow down!\Your Highness!\Mother!\Mother, you lied.\You said yesterday that you were going to return to the Celestial Palace with us.\I deserve to be punished.\You ordered me to defend Qing Qiu. response:	But I really could not stop the Crown Prince from coming.
context: Your Highness! Your Highness, slow down!\Your Highness!\Mother!\Mother, you lied.\You said yesterday that you were going to return to the Celestial Palace with us.\I deserve to be punished.\You ordered me to defend Qing Qiu.\But I really could not stop the Crown Prince from coming. response:	Please punish me as you will.
context: Your Highness!\Mother!\Mother, you lied.\You said yesterday that you were going to return to the Celestial Palace with us.\I deserve to be punished.\You ordered me to defend Qing Qiu.\But I really could not stop the Crown Prince from coming.\Please punish me as you will. response:	Lord Ye Hua is here too?
context: Mother!\Mother, you lied.\You said yesterday that you were going to return to the Celestial Palace with us.\I deserve to be punished.\You ordered me to defend Qing Qiu.\But I really could not stop the Crown Prince from coming.\Please punish me as you will.\Lord Ye Hua is here too? response:	Father said you do not want to return with us.
context: Mother, you lied.\You said yesterday that you were going to return to the Celestial Palace with us.\I deserve to be punished.\You ordered me to defend Qing Qiu.\But I really could not stop the Crown Prince from coming.\Please punish me as you will.\Lord Ye Hua is here too?\Father said you do not want to return with us. response:	He's afraid you cannot adapt to living in the Celestial Palace.
context: You said yesterday that you were going to return to the Celestial Palace with us.\I deserve to be punished.\You ordered me to defend Qing Qiu.\But I really could not stop the Crown Prince from coming.\Please punish me as you will.\Lord Ye Hua is here too?\Father said you do not want to return with us.\He's afraid you cannot adapt to living in the Celestial Palace. response:	That isn't a problem.
context: I deserve to be punished.\You ordered me to defend Qing Qiu.\But I really could not stop the Crown Prince from coming.\Please punish me as you will.\Lord Ye Hua is here too?\Father said you do not want to return with us.\He's afraid you cannot adapt to living in the Celestial Palace.\That isn't a problem. response:	Father and I will just move here to live with you.
context: You ordered me to defend Qing Qiu.\But I really could not stop the Crown Prince from coming.\Please punish me as you will.\Lord Ye Hua is here too?\Father said you do not want to return with us.\He's afraid you cannot adapt to living in the Celestial Palace.\That isn't a problem.\Father and I will just move here to live with you. response:	As long as Mother is present, I can live anywhere.
context: But I really could not stop the Crown Prince from coming.\Please punish me as you will.\Lord Ye Hua is here too?\Father said you do not want to return with us.\He's afraid you cannot adapt to living in the Celestial Palace.\That isn't a problem.\Father and I will just move here to live with you.\As long as Mother is present, I can live anywhere. response:	Youre going to move here to live with me?
context: Please punish me as you will.\Lord Ye Hua is here too?\Father said you do not want to return with us.\He's afraid you cannot adapt to living in the Celestial Palace.\That isn't a problem.\Father and I will just move here to live with you.\As long as Mother is present, I can live anywhere.\Youre going to move here to live with me? response:	Your father is coming as well?
context: Lord Ye Hua is here too?\Father said you do not want to return with us.\He's afraid you cannot adapt to living in the Celestial Palace.\That isn't a problem.\Father and I will just move here to live with you.\As long as Mother is present, I can live anywhere.\Youre going to move here to live with me?\Your father is coming as well? response:	Aunt, do not fret. There is precedent.
context: Father said you do not want to return with us.\He's afraid you cannot adapt to living in the Celestial Palace.\That isn't a problem.\Father and I will just move here to live with you.\As long as Mother is present, I can live anywhere.\Youre going to move here to live with me?\Your father is coming as well?\Aunt, do not fret. There is precedent. response:	Precedent?
context: He's afraid you cannot adapt to living in the Celestial Palace.\That isn't a problem.\Father and I will just move here to live with you.\As long as Mother is present, I can live anywhere.\Youre going to move here to live with me?\Your father is coming as well?\Aunt, do not fret. There is precedent.\Precedent? response:	It's said when Heavenly Lord was still a crown prince
context: That isn't a problem.\Father and I will just move here to live with you.\As long as Mother is present, I can live anywhere.\Youre going to move here to live with me?\Your father is coming as well?\Aunt, do not fret. There is precedent.\Precedent?\It's said when Heavenly Lord was still a crown prince response:	the former Heavenly Lord arranged for his cousin to be his crown princess.
context: Father and I will just move here to live with you.\As long as Mother is present, I can live anywhere.\Youre going to move here to live with me?\Your father is coming as well?\Aunt, do not fret. There is precedent.\Precedent?\It's said when Heavenly Lord was still a crown prince\the former Heavenly Lord arranged for his cousin to be his crown princess. response:	Heavenly Lord was displeased.
context: As long as Mother is present, I can live anywhere.\Youre going to move here to live with me?\Your father is coming as well?\Aunt, do not fret. There is precedent.\Precedent?\It's said when Heavenly Lord was still a crown prince\the former Heavenly Lord arranged for his cousin to be his crown princess.\Heavenly Lord was displeased. response:	The former Heavenly Lord issued a decree
context: Youre going to move here to live with me?\Your father is coming as well?\Aunt, do not fret. There is precedent.\Precedent?\It's said when Heavenly Lord was still a crown prince\the former Heavenly Lord arranged for his cousin to be his crown princess.\Heavenly Lord was displeased.\The former Heavenly Lord issued a decree response:	to have him confined in his aunt's residence.
context: Your father is coming as well?\Aunt, do not fret. There is precedent.\Precedent?\It's said when Heavenly Lord was still a crown prince\the former Heavenly Lord arranged for his cousin to be his crown princess.\Heavenly Lord was displeased.\The former Heavenly Lord issued a decree\to have him confined in his aunt's residence. response:	Who knew that after a month, affection would grow.
