context: The land of Flonyard. response:	On this continent, bathed in protective light,
context: It looks like the Genoise are out of the game for now!\That's what happens when you try to upstage the hero!\It looks like the leader of Biscotti's Secret Guard\and the Chief Researcher are both here, too!\And...\the captain of our imperial guard, Eclair, has arrived as well!\It's been a long time, Sink, Hero of Biscotti.\Your Excellency! response:	Oh, it's Leo-sama!
context: That's what happens when you try to upstage the hero!\It looks like the leader of Biscotti's Secret Guard\and the Chief Researcher are both here, too!\And...\the captain of our imperial guard, Eclair, has arrived as well!\It's been a long time, Sink, Hero of Biscotti.\Your Excellency!\Oh, it's Leo-sama! response:	I'm glad to see you've come back stronger.
context: It looks like the leader of Biscotti's Secret Guard\and the Chief Researcher are both here, too!\And...\the captain of our imperial guard, Eclair, has arrived as well!\It's been a long time, Sink, Hero of Biscotti.\Your Excellency!\Oh, it's Leo-sama!\I'm glad to see you've come back stronger. response:	However, we won't be defeated.
context: and the Chief Researcher are both here, too!\And...\the captain of our imperial guard, Eclair, has arrived as well!\It's been a long time, Sink, Hero of Biscotti.\Your Excellency!\Oh, it's Leo-sama!\I'm glad to see you've come back stronger.\However, we won't be defeated. response:	If Biscotti is using a hero, might we not do the same?
context: And...\the captain of our imperial guard, Eclair, has arrived as well!\It's been a long time, Sink, Hero of Biscotti.\Your Excellency!\Oh, it's Leo-sama!\I'm glad to see you've come back stronger.\However, we won't be defeated.\If Biscotti is using a hero, might we not do the same? response:	Behold!
context: the captain of our imperial guard, Eclair, has arrived as well!\It's been a long time, Sink, Hero of Biscotti.\Your Excellency!\Oh, it's Leo-sama!\I'm glad to see you've come back stronger.\However, we won't be defeated.\If Biscotti is using a hero, might we not do the same?\Behold! response:	This is the hero of the Galette Lion Army!
context: It's been a long time, Sink, Hero of Biscotti.\Your Excellency!\Oh, it's Leo-sama!\I'm glad to see you've come back stronger.\However, we won't be defeated.\If Biscotti is using a hero, might we not do the same?\Behold!\This is the hero of the Galette Lion Army! response:	I was summoned by Leo-sama.
context: Your Excellency!\Oh, it's Leo-sama!\I'm glad to see you've come back stronger.\However, we won't be defeated.\If Biscotti is using a hero, might we not do the same?\Behold!\This is the hero of the Galette Lion Army!\I was summoned by Leo-sama. response:	My name is Takatsuki Nanami,
context: Oh, it's Leo-sama!\I'm glad to see you've come back stronger.\However, we won't be defeated.\If Biscotti is using a hero, might we not do the same?\Behold!\This is the hero of the Galette Lion Army!\I was summoned by Leo-sama.\My name is Takatsuki Nanami, response:	here to fight as Galette's hero!
context: I'm glad to see you've come back stronger.\However, we won't be defeated.\If Biscotti is using a hero, might we not do the same?\Behold!\This is the hero of the Galette Lion Army!\I was summoned by Leo-sama.\My name is Takatsuki Nanami,\here to fight as Galette's hero! response:	I suspected Nanami-san would join the battle right away.
context: However, we won't be defeated.\If Biscotti is using a hero, might we not do the same?\Behold!\This is the hero of the Galette Lion Army!\I was summoned by Leo-sama.\My name is Takatsuki Nanami,\here to fight as Galette's hero!\I suspected Nanami-san would join the battle right away. response:	Would you like to participate, too?
context: If Biscotti is using a hero, might we not do the same?\Behold!\This is the hero of the Galette Lion Army!\I was summoned by Leo-sama.\My name is Takatsuki Nanami,\here to fight as Galette's hero!\I suspected Nanami-san would join the battle right away.\Would you like to participate, too? response:	You could be on artillery or archery!
context: Behold!\This is the hero of the Galette Lion Army!\I was summoned by Leo-sama.\My name is Takatsuki Nanami,\here to fight as Galette's hero!\I suspected Nanami-san would join the battle right away.\Would you like to participate, too?\You could be on artillery or archery! response:	Oh no, I'm not good at this type of thing at all!
context: This is the hero of the Galette Lion Army!\I was summoned by Leo-sama.\My name is Takatsuki Nanami,\here to fight as Galette's hero!\I suspected Nanami-san would join the battle right away.\Would you like to participate, too?\You could be on artillery or archery!\Oh no, I'm not good at this type of thing at all! response:	That's it!
context: I was summoned by Leo-sama.\My name is Takatsuki Nanami,\here to fight as Galette's hero!\I suspected Nanami-san would join the battle right away.\Would you like to participate, too?\You could be on artillery or archery!\Oh no, I'm not good at this type of thing at all!\That's it! response:	Why don't I introduce you
context: My name is Takatsuki Nanami,\here to fight as Galette's hero!\I suspected Nanami-san would join the battle right away.\Would you like to participate, too?\You could be on artillery or archery!\Oh no, I'm not good at this type of thing at all!\That's it!\Why don't I introduce you response:	to everyone, since you came all the way here?
context: here to fight as Galette's hero!\I suspected Nanami-san would join the battle right away.\Would you like to participate, too?\You could be on artillery or archery!\Oh no, I'm not good at this type of thing at all!\That's it!\Why don't I introduce you\to everyone, since you came all the way here? response:	Oh, I am getting a message from Princess Millihiore!
context: I suspected Nanami-san would join the battle right away.\Would you like to participate, too?\You could be on artillery or archery!\Oh no, I'm not good at this type of thing at all!\That's it!\Why don't I introduce you\to everyone, since you came all the way here?\Oh, I am getting a message from Princess Millihiore! response:	Hello!
context: Would you like to participate, too?\You could be on artillery or archery!\Oh no, I'm not good at this type of thing at all!\That's it!\Why don't I introduce you\to everyone, since you came all the way here?\Oh, I am getting a message from Princess Millihiore!\Hello! response:	I'm Millihiore, speaking to you from the Fournette fortress.
context: You could be on artillery or archery!\Oh no, I'm not good at this type of thing at all!\That's it!\Why don't I introduce you\to everyone, since you came all the way here?\Oh, I am getting a message from Princess Millihiore!\Hello!\I'm Millihiore, speaking to you from the Fournette fortress. response:	It looks like you're all having a lot of fun over there.
context: Oh no, I'm not good at this type of thing at all!\That's it!\Why don't I introduce you\to everyone, since you came all the way here?\Oh, I am getting a message from Princess Millihiore!\Hello!\I'm Millihiore, speaking to you from the Fournette fortress.\It looks like you're all having a lot of fun over there. response:	Here, we've got childhood friend
context: That's it!\Why don't I introduce you\to everyone, since you came all the way here?\Oh, I am getting a message from Princess Millihiore!\Hello!\I'm Millihiore, speaking to you from the Fournette fortress.\It looks like you're all having a lot of fun over there.\Here, we've got childhood friend response:	of both heroes: Rebecca Anderson!
context: Why don't I introduce you\to everyone, since you came all the way here?\Oh, I am getting a message from Princess Millihiore!\Hello!\I'm Millihiore, speaking to you from the Fournette fortress.\It looks like you're all having a lot of fun over there.\Here, we've got childhood friend\of both heroes: Rebecca Anderson! response:	Um, well... uh... hello!
context: to everyone, since you came all the way here?\Oh, I am getting a message from Princess Millihiore!\Hello!\I'm Millihiore, speaking to you from the Fournette fortress.\It looks like you're all having a lot of fun over there.\Here, we've got childhood friend\of both heroes: Rebecca Anderson!\Um, well... uh... hello! response:	Hello!
context: Oh, I am getting a message from Princess Millihiore!\Hello!\I'm Millihiore, speaking to you from the Fournette fortress.\It looks like you're all having a lot of fun over there.\Here, we've got childhood friend\of both heroes: Rebecca Anderson!\Um, well... uh... hello!\Hello! response:	Becky!
context: Hello!\I'm Millihiore, speaking to you from the Fournette fortress.\It looks like you're all having a lot of fun over there.\Here, we've got childhood friend\of both heroes: Rebecca Anderson!\Um, well... uh... hello!\Hello!\Becky! response:	Yes, yes...
context: I'm Millihiore, speaking to you from the Fournette fortress.\It looks like you're all having a lot of fun over there.\Here, we've got childhood friend\of both heroes: Rebecca Anderson!\Um, well... uh... hello!\Hello!\Becky!\Yes, yes... response:	Principality of Pastillage Castle Eschenbach
context: It looks like you're all having a lot of fun over there.\Here, we've got childhood friend\of both heroes: Rebecca Anderson!\Um, well... uh... hello!\Hello!\Becky!\Yes, yes...\Principality of Pastillage Castle Eschenbach response:	Both armies have resumed their advance!
context: Here, we've got childhood friend\of both heroes: Rebecca Anderson!\Um, well... uh... hello!\Hello!\Becky!\Yes, yes...\Principality of Pastillage Castle Eschenbach\Both armies have resumed their advance! response:	Is a direct clash imminent?!
context: of both heroes: Rebecca Anderson!\Um, well... uh... hello!\Hello!\Becky!\Yes, yes...\Principality of Pastillage Castle Eschenbach\Both armies have resumed their advance!\Is a direct clash imminent?! response:	They're really getting into it.
context: Um, well... uh... hello!\Hello!\Becky!\Yes, yes...\Principality of Pastillage Castle Eschenbach\Both armies have resumed their advance!\Is a direct clash imminent?!\They're really getting into it. response:	Quite so.
context: Hello!\Becky!\Yes, yes...\Principality of Pastillage Castle Eschenbach\Both armies have resumed their advance!\Is a direct clash imminent?!\They're really getting into it.\Quite so. response:	Both countries summoned a hero...
context: Becky!\Yes, yes...\Principality of Pastillage Castle Eschenbach\Both armies have resumed their advance!\Is a direct clash imminent?!\They're really getting into it.\Quite so.\Both countries summoned a hero... response:	Millihi-nee and Leo-nee are both unbelievable.
context: Yes, yes...\Principality of Pastillage Castle Eschenbach\Both armies have resumed their advance!\Is a direct clash imminent?!\They're really getting into it.\Quite so.\Both countries summoned a hero...\Millihi-nee and Leo-nee are both unbelievable. response:	First Princess of the Principality of Pastillage Feudal Lord of the Eschenbach Lands Couverte E. Pastillage
context: Principality of Pastillage Castle Eschenbach\Both armies have resumed their advance!\Is a direct clash imminent?!\They're really getting into it.\Quite so.\Both countries summoned a hero...\Millihi-nee and Leo-nee are both unbelievable.\First Princess of the Principality of Pastillage Feudal Lord of the Eschenbach Lands Couverte E. Pastillage response:	Pastillage Crystal Technique Knights Callaway Risler
context: Both armies have resumed their advance!\Is a direct clash imminent?!\They're really getting into it.\Quite so.\Both countries summoned a hero...\Millihi-nee and Leo-nee are both unbelievable.\First Princess of the Principality of Pastillage Feudal Lord of the Eschenbach Lands Couverte E. Pastillage\Pastillage Crystal Technique Knights Callaway Risler response:	Everybody seems to be enjoying themselves.
context: Is a direct clash imminent?!\They're really getting into it.\Quite so.\Both countries summoned a hero...\Millihi-nee and Leo-nee are both unbelievable.\First Princess of the Principality of Pastillage Feudal Lord of the Eschenbach Lands Couverte E. Pastillage\Pastillage Crystal Technique Knights Callaway Risler\Everybody seems to be enjoying themselves. response:	True...
context: They're really getting into it.\Quite so.\Both countries summoned a hero...\Millihi-nee and Leo-nee are both unbelievable.\First Princess of the Principality of Pastillage Feudal Lord of the Eschenbach Lands Couverte E. Pastillage\Pastillage Crystal Technique Knights Callaway Risler\Everybody seems to be enjoying themselves.\True... response:	Truth be told, I'd like Pastillage to join the fray with gusto, too.
context: Quite so.\Both countries summoned a hero...\Millihi-nee and Leo-nee are both unbelievable.\First Princess of the Principality of Pastillage Feudal Lord of the Eschenbach Lands Couverte E. Pastillage\Pastillage Crystal Technique Knights Callaway Risler\Everybody seems to be enjoying themselves.\True...\Truth be told, I'd like Pastillage to join the fray with gusto, too. response:	I concur.
context: Both countries summoned a hero...\Millihi-nee and Leo-nee are both unbelievable.\First Princess of the Principality of Pastillage Feudal Lord of the Eschenbach Lands Couverte E. Pastillage\Pastillage Crystal Technique Knights Callaway Risler\Everybody seems to be enjoying themselves.\True...\Truth be told, I'd like Pastillage to join the fray with gusto, too.\I concur. response:	On the other hand, I'm not that...
context: Millihi-nee and Leo-nee are both unbelievable.\First Princess of the Principality of Pastillage Feudal Lord of the Eschenbach Lands Couverte E. Pastillage\Pastillage Crystal Technique Knights Callaway Risler\Everybody seems to be enjoying themselves.\True...\Truth be told, I'd like Pastillage to join the fray with gusto, too.\I concur.\On the other hand, I'm not that... response:	This girl...
context: First Princess of the Principality of Pastillage Feudal Lord of the Eschenbach Lands Couverte E. Pastillage\Pastillage Crystal Technique Knights Callaway Risler\Everybody seems to be enjoying themselves.\True...\Truth be told, I'd like Pastillage to join the fray with gusto, too.\I concur.\On the other hand, I'm not that...\This girl... response:	Yes, I hear she is the friend of both heroes.
context: Pastillage Crystal Technique Knights Callaway Risler\Everybody seems to be enjoying themselves.\True...\Truth be told, I'd like Pastillage to join the fray with gusto, too.\I concur.\On the other hand, I'm not that...\This girl...\Yes, I hear she is the friend of both heroes. response:	A visitor from the other world.
context: Everybody seems to be enjoying themselves.\True...\Truth be told, I'd like Pastillage to join the fray with gusto, too.\I concur.\On the other hand, I'm not that...\This girl...\Yes, I hear she is the friend of both heroes.\A visitor from the other world. response:	I see.
context: True...\Truth be told, I'd like Pastillage to join the fray with gusto, too.\I concur.\On the other hand, I'm not that...\This girl...\Yes, I hear she is the friend of both heroes.\A visitor from the other world.\I see. response:	So she's not the hero of either country, right?
context: Truth be told, I'd like Pastillage to join the fray with gusto, too.\I concur.\On the other hand, I'm not that...\This girl...\Yes, I hear she is the friend of both heroes.\A visitor from the other world.\I see.\So she's not the hero of either country, right? response:	Yes, I believe so.
context: I concur.\On the other hand, I'm not that...\This girl...\Yes, I hear she is the friend of both heroes.\A visitor from the other world.\I see.\So she's not the hero of either country, right?\Yes, I believe so. response:	This girl... she's good.
context: On the other hand, I'm not that...\This girl...\Yes, I hear she is the friend of both heroes.\A visitor from the other world.\I see.\So she's not the hero of either country, right?\Yes, I believe so.\This girl... she's good. response:	My senses are tingling!
context: This girl...\Yes, I hear she is the friend of both heroes.\A visitor from the other world.\I see.\So she's not the hero of either country, right?\Yes, I believe so.\This girl... she's good.\My senses are tingling! response:	I'm going to go meet her!
context: Yes, I hear she is the friend of both heroes.\A visitor from the other world.\I see.\So she's not the hero of either country, right?\Yes, I believe so.\This girl... she's good.\My senses are tingling!\I'm going to go meet her! response:	Since we're going anyway, let's crash their battle, as well!
context: A visitor from the other world.\I see.\So she's not the hero of either country, right?\Yes, I believe so.\This girl... she's good.\My senses are tingling!\I'm going to go meet her!\Since we're going anyway, let's crash their battle, as well! response:	Certain What?!
context: I see.\So she's not the hero of either country, right?\Yes, I believe so.\This girl... she's good.\My senses are tingling!\I'm going to go meet her!\Since we're going anyway, let's crash their battle, as well!\Certain What?! response:	I'm coming to pick you up right now!
context: So she's not the hero of either country, right?\Yes, I believe so.\This girl... she's good.\My senses are tingling!\I'm going to go meet her!\Since we're going anyway, let's crash their battle, as well!\Certain What?!\I'm coming to pick you up right now! response:	Just wait for me, my hero!
context: Yes, I believe so.\This girl... she's good.\My senses are tingling!\I'm going to go meet her!\Since we're going anyway, let's crash their battle, as well!\Certain What?!\I'm coming to pick you up right now!\Just wait for me, my hero! response:	A Hero Appears!
context: This girl... she's good.\My senses are tingling!\I'm going to go meet her!\Since we're going anyway, let's crash their battle, as well!\Certain What?!\I'm coming to pick you up right now!\Just wait for me, my hero!\A Hero Appears! response:	Our hero's finally returned!
context: My senses are tingling!\I'm going to go meet her!\Since we're going anyway, let's crash their battle, as well!\Certain What?!\I'm coming to pick you up right now!\Just wait for me, my hero!\A Hero Appears!\Our hero's finally returned! response:	Since he's brought Rebecca-sama and Nanami-sama as well,
context: I'm going to go meet her!\Since we're going anyway, let's crash their battle, as well!\Certain What?!\I'm coming to pick you up right now!\Just wait for me, my hero!\A Hero Appears!\Our hero's finally returned!\Since he's brought Rebecca-sama and Nanami-sama as well, response:	it's going to be even more fun!
context: Since we're going anyway, let's crash their battle, as well!\Certain What?!\I'm coming to pick you up right now!\Just wait for me, my hero!\A Hero Appears!\Our hero's finally returned!\Since he's brought Rebecca-sama and Nanami-sama as well,\it's going to be even more fun! response:	Pastillage Joins The Battle!
context: Certain What?!\I'm coming to pick you up right now!\Just wait for me, my hero!\A Hero Appears!\Our hero's finally returned!\Since he's brought Rebecca-sama and Nanami-sama as well,\it's going to be even more fun!\Pastillage Joins The Battle! response:	Let's get fired up together next time, too!
