context: After being separated all of a sudden from Cana, response:	I was thrown into a battle with one of the 7 Kin of Purgatory, Kain Hikaru.
context: This woman is aiming for Gray-sama.\And for some irrational reason.\Um, but...\Do you think... Juvia can stay calm?\Juvia will never forgive this girl!\Water Nebula!\Juvia...\She's like a totally different person than the one I fought during the exam. response:	Her strong feelings for her loved one become her strength...
context: And for some irrational reason.\Um, but...\Do you think... Juvia can stay calm?\Juvia will never forgive this girl!\Water Nebula!\Juvia...\She's like a totally different person than the one I fought during the exam.\Her strong feelings for her loved one become her strength... response:	This is Juvia's true power...
context: Um, but...\Do you think... Juvia can stay calm?\Juvia will never forgive this girl!\Water Nebula!\Juvia...\She's like a totally different person than the one I fought during the exam.\Her strong feelings for her loved one become her strength...\This is Juvia's true power... response:	Erza-san, please leave this to Juvia!
context: Do you think... Juvia can stay calm?\Juvia will never forgive this girl!\Water Nebula!\Juvia...\She's like a totally different person than the one I fought during the exam.\Her strong feelings for her loved one become her strength...\This is Juvia's true power...\Erza-san, please leave this to Juvia! response:	Hurry and find Wendy and the others. And Gray-sama, as well.
context: Juvia will never forgive this girl!\Water Nebula!\Juvia...\She's like a totally different person than the one I fought during the exam.\Her strong feelings for her loved one become her strength...\This is Juvia's true power...\Erza-san, please leave this to Juvia!\Hurry and find Wendy and the others. And Gray-sama, as well. response:	Understood.
context: Water Nebula!\Juvia...\She's like a totally different person than the one I fought during the exam.\Her strong feelings for her loved one become her strength...\This is Juvia's true power...\Erza-san, please leave this to Juvia!\Hurry and find Wendy and the others. And Gray-sama, as well.\Understood. response:	I'll leave this to you!
context: Juvia...\She's like a totally different person than the one I fought during the exam.\Her strong feelings for her loved one become her strength...\This is Juvia's true power...\Erza-san, please leave this to Juvia!\Hurry and find Wendy and the others. And Gray-sama, as well.\Understood.\I'll leave this to you! response:	I won't let number 4 get away!
context: She's like a totally different person than the one I fought during the exam.\Her strong feelings for her loved one become her strength...\This is Juvia's true power...\Erza-san, please leave this to Juvia!\Hurry and find Wendy and the others. And Gray-sama, as well.\Understood.\I'll leave this to you!\I won't let number 4 get away! response:	Maguilty Lese!
context: Her strong feelings for her loved one become her strength...\This is Juvia's true power...\Erza-san, please leave this to Juvia!\Hurry and find Wendy and the others. And Gray-sama, as well.\Understood.\I'll leave this to you!\I won't let number 4 get away!\Maguilty Lese! response:	Water Slicer!
context: This is Juvia's true power...\Erza-san, please leave this to Juvia!\Hurry and find Wendy and the others. And Gray-sama, as well.\Understood.\I'll leave this to you!\I won't let number 4 get away!\Maguilty Lese!\Water Slicer! response:	It's raining...
context: Erza-san, please leave this to Juvia!\Hurry and find Wendy and the others. And Gray-sama, as well.\Understood.\I'll leave this to you!\I won't let number 4 get away!\Maguilty Lese!\Water Slicer!\It's raining... response:	Where are you headed?
context: Hurry and find Wendy and the others. And Gray-sama, as well.\Understood.\I'll leave this to you!\I won't let number 4 get away!\Maguilty Lese!\Water Slicer!\It's raining...\Where are you headed? response:	Their main camp?
context: Understood.\I'll leave this to you!\I won't let number 4 get away!\Maguilty Lese!\Water Slicer!\It's raining...\Where are you headed?\Their main camp? response:	Where Grimoire Heart's master is?
context: I'll leave this to you!\I won't let number 4 get away!\Maguilty Lese!\Water Slicer!\It's raining...\Where are you headed?\Their main camp?\Where Grimoire Heart's master is? response:	The tears put out of mind my own desires...
context: I won't let number 4 get away!\Maguilty Lese!\Water Slicer!\It's raining...\Where are you headed?\Their main camp?\Where Grimoire Heart's master is?\The tears put out of mind my own desires... response:	The evil-eye wriggles impatiently in the darkness.
context: Maguilty Lese!\Water Slicer!\It's raining...\Where are you headed?\Their main camp?\Where Grimoire Heart's master is?\The tears put out of mind my own desires...\The evil-eye wriggles impatiently in the darkness. response:	Is that from some song, Rusty?
context: Water Slicer!\It's raining...\Where are you headed?\Their main camp?\Where Grimoire Heart's master is?\The tears put out of mind my own desires...\The evil-eye wriggles impatiently in the darkness.\Is that from some song, Rusty? response:	Oh, no...
context: It's raining...\Where are you headed?\Their main camp?\Where Grimoire Heart's master is?\The tears put out of mind my own desires...\The evil-eye wriggles impatiently in the darkness.\Is that from some song, Rusty?\Oh, no... response:	Just the scream of a shattered heart.
context: Where are you headed?\Their main camp?\Where Grimoire Heart's master is?\The tears put out of mind my own desires...\The evil-eye wriggles impatiently in the darkness.\Is that from some song, Rusty?\Oh, no...\Just the scream of a shattered heart. response:	Azuma, you're quite beat up. For you.
context: Their main camp?\Where Grimoire Heart's master is?\The tears put out of mind my own desires...\The evil-eye wriggles impatiently in the darkness.\Is that from some song, Rusty?\Oh, no...\Just the scream of a shattered heart.\Azuma, you're quite beat up. For you. response:	Proof that I fought someone strong.
context: Where Grimoire Heart's master is?\The tears put out of mind my own desires...\The evil-eye wriggles impatiently in the darkness.\Is that from some song, Rusty?\Oh, no...\Just the scream of a shattered heart.\Azuma, you're quite beat up. For you.\Proof that I fought someone strong. response:	Someone strong?
context: The tears put out of mind my own desires...\The evil-eye wriggles impatiently in the darkness.\Is that from some song, Rusty?\Oh, no...\Just the scream of a shattered heart.\Azuma, you're quite beat up. For you.\Proof that I fought someone strong.\Someone strong? response:	That won't do at all. There isn't anyone like that in this guild.
context: The evil-eye wriggles impatiently in the darkness.\Is that from some song, Rusty?\Oh, no...\Just the scream of a shattered heart.\Azuma, you're quite beat up. For you.\Proof that I fought someone strong.\Someone strong?\That won't do at all. There isn't anyone like that in this guild. response:	My heart's fragment wavers not.
context: Is that from some song, Rusty?\Oh, no...\Just the scream of a shattered heart.\Azuma, you're quite beat up. For you.\Proof that I fought someone strong.\Someone strong?\That won't do at all. There isn't anyone like that in this guild.\My heart's fragment wavers not. response:	You mustn't underestimate Fairy Tail.
context: Oh, no...\Just the scream of a shattered heart.\Azuma, you're quite beat up. For you.\Proof that I fought someone strong.\Someone strong?\That won't do at all. There isn't anyone like that in this guild.\My heart's fragment wavers not.\You mustn't underestimate Fairy Tail. response:	Their weapon is not their magic power,
context: Just the scream of a shattered heart.\Azuma, you're quite beat up. For you.\Proof that I fought someone strong.\Someone strong?\That won't do at all. There isn't anyone like that in this guild.\My heart's fragment wavers not.\You mustn't underestimate Fairy Tail.\Their weapon is not their magic power, response:	but the ability to turn their conviction into a blade...
context: Azuma, you're quite beat up. For you.\Proof that I fought someone strong.\Someone strong?\That won't do at all. There isn't anyone like that in this guild.\My heart's fragment wavers not.\You mustn't underestimate Fairy Tail.\Their weapon is not their magic power,\but the ability to turn their conviction into a blade... response:	Conviction into a blade?
context: Proof that I fought someone strong.\Someone strong?\That won't do at all. There isn't anyone like that in this guild.\My heart's fragment wavers not.\You mustn't underestimate Fairy Tail.\Their weapon is not their magic power,\but the ability to turn their conviction into a blade...\Conviction into a blade? response:	Seems very much like our Meldy...
context: Someone strong?\That won't do at all. There isn't anyone like that in this guild.\My heart's fragment wavers not.\You mustn't underestimate Fairy Tail.\Their weapon is not their magic power,\but the ability to turn their conviction into a blade...\Conviction into a blade?\Seems very much like our Meldy... response:	Strange.
context: That won't do at all. There isn't anyone like that in this guild.\My heart's fragment wavers not.\You mustn't underestimate Fairy Tail.\Their weapon is not their magic power,\but the ability to turn their conviction into a blade...\Conviction into a blade?\Seems very much like our Meldy...\Strange. response:	Even though it's the same human, Gray...
context: My heart's fragment wavers not.\You mustn't underestimate Fairy Tail.\Their weapon is not their magic power,\but the ability to turn their conviction into a blade...\Conviction into a blade?\Seems very much like our Meldy...\Strange.\Even though it's the same human, Gray... response:	One of us holds hatred,
context: You mustn't underestimate Fairy Tail.\Their weapon is not their magic power,\but the ability to turn their conviction into a blade...\Conviction into a blade?\Seems very much like our Meldy...\Strange.\Even though it's the same human, Gray...\One of us holds hatred, response:	and the other holds love.
context: Their weapon is not their magic power,\but the ability to turn their conviction into a blade...\Conviction into a blade?\Seems very much like our Meldy...\Strange.\Even though it's the same human, Gray...\One of us holds hatred,\and the other holds love. response:	Though it's the same person, the different feelings cause him to be seen differently.
context: but the ability to turn their conviction into a blade...\Conviction into a blade?\Seems very much like our Meldy...\Strange.\Even though it's the same human, Gray...\One of us holds hatred,\and the other holds love.\Though it's the same person, the different feelings cause him to be seen differently. response:	It's natural.
context: Conviction into a blade?\Seems very much like our Meldy...\Strange.\Even though it's the same human, Gray...\One of us holds hatred,\and the other holds love.\Though it's the same person, the different feelings cause him to be seen differently.\It's natural. response:	A symbol of individuality.
context: Seems very much like our Meldy...\Strange.\Even though it's the same human, Gray...\One of us holds hatred,\and the other holds love.\Though it's the same person, the different feelings cause him to be seen differently.\It's natural.\A symbol of individuality. response:	It's what makes us human.
context: Strange.\Even though it's the same human, Gray...\One of us holds hatred,\and the other holds love.\Though it's the same person, the different feelings cause him to be seen differently.\It's natural.\A symbol of individuality.\It's what makes us human. response:	I am lucky.
context: Even though it's the same human, Gray...\One of us holds hatred,\and the other holds love.\Though it's the same person, the different feelings cause him to be seen differently.\It's natural.\A symbol of individuality.\It's what makes us human.\I am lucky. response:	I came here for the purpose of killing Gray.
context: One of us holds hatred,\and the other holds love.\Though it's the same person, the different feelings cause him to be seen differently.\It's natural.\A symbol of individuality.\It's what makes us human.\I am lucky.\I came here for the purpose of killing Gray. response:	And I was able to meet with a person who feels strongly for Gray.
context: and the other holds love.\Though it's the same person, the different feelings cause him to be seen differently.\It's natural.\A symbol of individuality.\It's what makes us human.\I am lucky.\I came here for the purpose of killing Gray.\And I was able to meet with a person who feels strongly for Gray. response:	What's that supposed to mean?!
context: Though it's the same person, the different feelings cause him to be seen differently.\It's natural.\A symbol of individuality.\It's what makes us human.\I am lucky.\I came here for the purpose of killing Gray.\And I was able to meet with a person who feels strongly for Gray.\What's that supposed to mean?! response:	Your feelings for Gray will kill him!
context: It's natural.\A symbol of individuality.\It's what makes us human.\I am lucky.\I came here for the purpose of killing Gray.\And I was able to meet with a person who feels strongly for Gray.\What's that supposed to mean?!\Your feelings for Gray will kill him! response:	Juvia... I will show you a little bit of heaven, and a great sea of despair!
context: A symbol of individuality.\It's what makes us human.\I am lucky.\I came here for the purpose of killing Gray.\And I was able to meet with a person who feels strongly for Gray.\What's that supposed to mean?!\Your feelings for Gray will kill him!\Juvia... I will show you a little bit of heaven, and a great sea of despair! response:	Now, think of him!
context: It's what makes us human.\I am lucky.\I came here for the purpose of killing Gray.\And I was able to meet with a person who feels strongly for Gray.\What's that supposed to mean?!\Your feelings for Gray will kill him!\Juvia... I will show you a little bit of heaven, and a great sea of despair!\Now, think of him! response:	Picture the one you love...
context: I am lucky.\I came here for the purpose of killing Gray.\And I was able to meet with a person who feels strongly for Gray.\What's that supposed to mean?!\Your feelings for Gray will kill him!\Juvia... I will show you a little bit of heaven, and a great sea of despair!\Now, think of him!\Picture the one you love... response:	Gray-sama...
context: I came here for the purpose of killing Gray.\And I was able to meet with a person who feels strongly for Gray.\What's that supposed to mean?!\Your feelings for Gray will kill him!\Juvia... I will show you a little bit of heaven, and a great sea of despair!\Now, think of him!\Picture the one you love...\Gray-sama... response:	There!
context: And I was able to meet with a person who feels strongly for Gray.\What's that supposed to mean?!\Your feelings for Gray will kill him!\Juvia... I will show you a little bit of heaven, and a great sea of despair!\Now, think of him!\Picture the one you love...\Gray-sama...\There! response:	Sense Link!
context: What's that supposed to mean?!\Your feelings for Gray will kill him!\Juvia... I will show you a little bit of heaven, and a great sea of despair!\Now, think of him!\Picture the one you love...\Gray-sama...\There!\Sense Link! response:	What's this pain?
context: Your feelings for Gray will kill him!\Juvia... I will show you a little bit of heaven, and a great sea of despair!\Now, think of him!\Picture the one you love...\Gray-sama...\There!\Sense Link!\What's this pain? response:	Lost Magic.
context: Juvia... I will show you a little bit of heaven, and a great sea of despair!\Now, think of him!\Picture the one you love...\Gray-sama...\There!\Sense Link!\What's this pain?\Lost Magic. response:	Maguilty Sense!
context: Now, think of him!\Picture the one you love...\Gray-sama...\There!\Sense Link!\What's this pain?\Lost Magic.\Maguilty Sense! response:	W-What have you done?
context: Picture the one you love...\Gray-sama...\There!\Sense Link!\What's this pain?\Lost Magic.\Maguilty Sense!\W-What have you done? response:	Juvia and Gray's senses are now one.
context: Gray-sama...\There!\Sense Link!\What's this pain?\Lost Magic.\Maguilty Sense!\W-What have you done?\Juvia and Gray's senses are now one. response:	I can only connect them if one's feelings for the other is strong enough.
context: There!\Sense Link!\What's this pain?\Lost Magic.\Maguilty Sense!\W-What have you done?\Juvia and Gray's senses are now one.\I can only connect them if one's feelings for the other is strong enough. response:	J-Juvia and Gray-sama are... one?!
context: Sense Link!\What's this pain?\Lost Magic.\Maguilty Sense!\W-What have you done?\Juvia and Gray's senses are now one.\I can only connect them if one's feelings for the other is strong enough.\J-Juvia and Gray-sama are... one?! response:	Your senses, anyway.
context: What's this pain?\Lost Magic.\Maguilty Sense!\W-What have you done?\Juvia and Gray's senses are now one.\I can only connect them if one's feelings for the other is strong enough.\J-Juvia and Gray-sama are... one?!\Your senses, anyway. response:	What is it now?
context: Lost Magic.\Maguilty Sense!\W-What have you done?\Juvia and Gray's senses are now one.\I can only connect them if one's feelings for the other is strong enough.\J-Juvia and Gray-sama are... one?!\Your senses, anyway.\What is it now? response:	I'm all light headed all of a sudden?
context: Maguilty Sense!\W-What have you done?\Juvia and Gray's senses are now one.\I can only connect them if one's feelings for the other is strong enough.\J-Juvia and Gray-sama are... one?!\Your senses, anyway.\What is it now?\I'm all light headed all of a sudden? response:	Feels good, doesn't it?
context: W-What have you done?\Juvia and Gray's senses are now one.\I can only connect them if one's feelings for the other is strong enough.\J-Juvia and Gray-sama are... one?!\Your senses, anyway.\What is it now?\I'm all light headed all of a sudden?\Feels good, doesn't it? response:	Your two senses are fully linked together.
context: Juvia and Gray's senses are now one.\I can only connect them if one's feelings for the other is strong enough.\J-Juvia and Gray-sama are... one?!\Your senses, anyway.\What is it now?\I'm all light headed all of a sudden?\Feels good, doesn't it?\Your two senses are fully linked together. response:	Juvia is in heaven!
context: I can only connect them if one's feelings for the other is strong enough.\J-Juvia and Gray-sama are... one?!\Your senses, anyway.\What is it now?\I'm all light headed all of a sudden?\Feels good, doesn't it?\Your two senses are fully linked together.\Juvia is in heaven! response:	Juvia will die in agony!
context: J-Juvia and Gray-sama are... one?!\Your senses, anyway.\What is it now?\I'm all light headed all of a sudden?\Feels good, doesn't it?\Your two senses are fully linked together.\Juvia is in heaven!\Juvia will die in agony! response:	But, this magic only shares pain!
context: Your senses, anyway.\What is it now?\I'm all light headed all of a sudden?\Feels good, doesn't it?\Your two senses are fully linked together.\Juvia is in heaven!\Juvia will die in agony!\But, this magic only shares pain! response:	All the pain you experience is felt by Gray.
context: What is it now?\I'm all light headed all of a sudden?\Feels good, doesn't it?\Your two senses are fully linked together.\Juvia is in heaven!\Juvia will die in agony!\But, this magic only shares pain!\All the pain you experience is felt by Gray. response:	No...
context: I'm all light headed all of a sudden?\Feels good, doesn't it?\Your two senses are fully linked together.\Juvia is in heaven!\Juvia will die in agony!\But, this magic only shares pain!\All the pain you experience is felt by Gray.\No... response:	You're trying to hurt Gray-sama?!
context: Feels good, doesn't it?\Your two senses are fully linked together.\Juvia is in heaven!\Juvia will die in agony!\But, this magic only shares pain!\All the pain you experience is felt by Gray.\No...\You're trying to hurt Gray-sama?! response:	Impossible...
context: Your two senses are fully linked together.\Juvia is in heaven!\Juvia will die in agony!\But, this magic only shares pain!\All the pain you experience is felt by Gray.\No...\You're trying to hurt Gray-sama?!\Impossible... response:	Her magic power continues to rise?
context: Juvia is in heaven!\Juvia will die in agony!\But, this magic only shares pain!\All the pain you experience is felt by Gray.\No...\You're trying to hurt Gray-sama?!\Impossible...\Her magic power continues to rise? response:	She was this powerful?
context: Juvia will die in agony!\But, this magic only shares pain!\All the pain you experience is felt by Gray.\No...\You're trying to hurt Gray-sama?!\Impossible...\Her magic power continues to rise?\She was this powerful? response:	Her feelings are giving her strength.
context: But, this magic only shares pain!\All the pain you experience is felt by Gray.\No...\You're trying to hurt Gray-sama?!\Impossible...\Her magic power continues to rise?\She was this powerful?\Her feelings are giving her strength. response:	Then I'll show you the power of feelings myself!
context: All the pain you experience is felt by Gray.\No...\You're trying to hurt Gray-sama?!\Impossible...\Her magic power continues to rise?\She was this powerful?\Her feelings are giving her strength.\Then I'll show you the power of feelings myself! response:	Three Spread Sense Link!
context: No...\You're trying to hurt Gray-sama?!\Impossible...\Her magic power continues to rise?\She was this powerful?\Her feelings are giving her strength.\Then I'll show you the power of feelings myself!\Three Spread Sense Link! response:	Why is Juvia hurt too?
context: You're trying to hurt Gray-sama?!\Impossible...\Her magic power continues to rise?\She was this powerful?\Her feelings are giving her strength.\Then I'll show you the power of feelings myself!\Three Spread Sense Link!\Why is Juvia hurt too? response:	W-What in the world?
context: Impossible...\Her magic power continues to rise?\She was this powerful?\Her feelings are giving her strength.\Then I'll show you the power of feelings myself!\Three Spread Sense Link!\Why is Juvia hurt too?\W-What in the world? response:	If it's for Ultear... I don't need this life of mine!
context: Her magic power continues to rise?\She was this powerful?\Her feelings are giving her strength.\Then I'll show you the power of feelings myself!\Three Spread Sense Link!\Why is Juvia hurt too?\W-What in the world?\If it's for Ultear... I don't need this life of mine! response:	I used you as a relay, and now I am linked to my target.
context: She was this powerful?\Her feelings are giving her strength.\Then I'll show you the power of feelings myself!\Three Spread Sense Link!\Why is Juvia hurt too?\W-What in the world?\If it's for Ultear... I don't need this life of mine!\I used you as a relay, and now I am linked to my target. response:	Juvia, Gray, and my senses are all linked together.
context: Her feelings are giving her strength.\Then I'll show you the power of feelings myself!\Three Spread Sense Link!\Why is Juvia hurt too?\W-What in the world?\If it's for Ultear... I don't need this life of mine!\I used you as a relay, and now I am linked to my target.\Juvia, Gray, and my senses are all linked together. response:	Now, no matter which one of us dies, Gray will die, too!
context: Then I'll show you the power of feelings myself!\Three Spread Sense Link!\Why is Juvia hurt too?\W-What in the world?\If it's for Ultear... I don't need this life of mine!\I used you as a relay, and now I am linked to my target.\Juvia, Gray, and my senses are all linked together.\Now, no matter which one of us dies, Gray will die, too! response:	This is the dead-end of despair.
context: Three Spread Sense Link!\Why is Juvia hurt too?\W-What in the world?\If it's for Ultear... I don't need this life of mine!\I used you as a relay, and now I am linked to my target.\Juvia, Gray, and my senses are all linked together.\Now, no matter which one of us dies, Gray will die, too!\This is the dead-end of despair. response:	The dead-end of Gray's life!
context: Why is Juvia hurt too?\W-What in the world?\If it's for Ultear... I don't need this life of mine!\I used you as a relay, and now I am linked to my target.\Juvia, Gray, and my senses are all linked together.\Now, no matter which one of us dies, Gray will die, too!\This is the dead-end of despair.\The dead-end of Gray's life! response:	Love is a heart of affection.
context: W-What in the world?\If it's for Ultear... I don't need this life of mine!\I used you as a relay, and now I am linked to my target.\Juvia, Gray, and my senses are all linked together.\Now, no matter which one of us dies, Gray will die, too!\This is the dead-end of despair.\The dead-end of Gray's life!\Love is a heart of affection. response:	What's wrong, Happy?
context: If it's for Ultear... I don't need this life of mine!\I used you as a relay, and now I am linked to my target.\Juvia, Gray, and my senses are all linked together.\Now, no matter which one of us dies, Gray will die, too!\This is the dead-end of despair.\The dead-end of Gray's life!\Love is a heart of affection.\What's wrong, Happy? response:	Love is the feeling of wanting to protect someone dear to you.
context: I used you as a relay, and now I am linked to my target.\Juvia, Gray, and my senses are all linked together.\Now, no matter which one of us dies, Gray will die, too!\This is the dead-end of despair.\The dead-end of Gray's life!\Love is a heart of affection.\What's wrong, Happy?\Love is the feeling of wanting to protect someone dear to you. response:	Hey!
context: Juvia, Gray, and my senses are all linked together.\Now, no matter which one of us dies, Gray will die, too!\This is the dead-end of despair.\The dead-end of Gray's life!\Love is a heart of affection.\What's wrong, Happy?\Love is the feeling of wanting to protect someone dear to you.\Hey! response:	Hello?
context: Now, no matter which one of us dies, Gray will die, too!\This is the dead-end of despair.\The dead-end of Gray's life!\Love is a heart of affection.\What's wrong, Happy?\Love is the feeling of wanting to protect someone dear to you.\Hey!\Hello? response:	Are you listening, Happy?
context: This is the dead-end of despair.\The dead-end of Gray's life!\Love is a heart of affection.\What's wrong, Happy?\Love is the feeling of wanting to protect someone dear to you.\Hey!\Hello?\Are you listening, Happy? response:	Love is an overflowing passion!
context: The dead-end of Gray's life!\Love is a heart of affection.\What's wrong, Happy?\Love is the feeling of wanting to protect someone dear to you.\Hey!\Hello?\Are you listening, Happy?\Love is an overflowing passion! response:	The two, lead to a fateful encounter, their feelings deeply entwined, play a single tune together.
context: Love is a heart of affection.\What's wrong, Happy?\Love is the feeling of wanting to protect someone dear to you.\Hey!\Hello?\Are you listening, Happy?\Love is an overflowing passion!\The two, lead to a fateful encounter, their feelings deeply entwined, play a single tune together. response:	I've got fish?
context: What's wrong, Happy?\Love is the feeling of wanting to protect someone dear to you.\Hey!\Hello?\Are you listening, Happy?\Love is an overflowing passion!\The two, lead to a fateful encounter, their feelings deeply entwined, play a single tune together.\I've got fish? response:	Ooh, Carla's over there!
context: Love is the feeling of wanting to protect someone dear to you.\Hey!\Hello?\Are you listening, Happy?\Love is an overflowing passion!\The two, lead to a fateful encounter, their feelings deeply entwined, play a single tune together.\I've got fish?\Ooh, Carla's over there! response:	Truly a love swimphony!
context: Hey!\Hello?\Are you listening, Happy?\Love is an overflowing passion!\The two, lead to a fateful encounter, their feelings deeply entwined, play a single tune together.\I've got fish?\Ooh, Carla's over there!\Truly a love swimphony! response:	This isn't working.
context: Hello?\Are you listening, Happy?\Love is an overflowing passion!\The two, lead to a fateful encounter, their feelings deeply entwined, play a single tune together.\I've got fish?\Ooh, Carla's over there!\Truly a love swimphony!\This isn't working. response:	His head's gone off somewhere.
context: Are you listening, Happy?\Love is an overflowing passion!\The two, lead to a fateful encounter, their feelings deeply entwined, play a single tune together.\I've got fish?\Ooh, Carla's over there!\Truly a love swimphony!\This isn't working.\His head's gone off somewhere. response:	Next time: Love and the Tears of Vigor.
context: Love is an overflowing passion!\The two, lead to a fateful encounter, their feelings deeply entwined, play a single tune together.\I've got fish?\Ooh, Carla's over there!\Truly a love swimphony!\This isn't working.\His head's gone off somewhere.\Next time: Love and the Tears of Vigor. response:	Screwed it up, Happy.
context: The two, lead to a fateful encounter, their feelings deeply entwined, play a single tune together.\I've got fish?\Ooh, Carla's over there!\Truly a love swimphony!\This isn't working.\His head's gone off somewhere.\Next time: Love and the Tears of Vigor.\Screwed it up, Happy. response:	I-I didn't mispronounce it! I was just twalking wike a nwative!
context: I've got fish?\Ooh, Carla's over there!\Truly a love swimphony!\This isn't working.\His head's gone off somewhere.\Next time: Love and the Tears of Vigor.\Screwed it up, Happy.\I-I didn't mispronounce it! I was just twalking wike a nwative! response:	Sure, fine, got it. Just slow down there.
